Mes y año	Mes (código)	Mes nombre	Año	AÑO-CNO	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos	CCAA nombre
Junio 2020	202006	Junio	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	609	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	154	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	2666	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	609	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2089	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	486	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	13903	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	8162	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	99	Ocupaciones militares	Hombres	1	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	1	Directores y gerentes	Hombres	21	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	1	Directores y gerentes	Mujeres	6	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	263	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	431	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	452	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	351	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	477	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	971	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	958	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	2167	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	497	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	131	Aragón
