Año	Código del municipio	Nombre del municipio	Total máquinas	Tractores	Motocultores	Cosechadoras	Otras máquinas	Explotaciones que usan maquinaria propia	Explotaciones con máquina en propiedad: tractor	Explotaciones con máquina en propiedad: motocultor	Explotaciones con máquina en propiedad: cosechadora	Explotaciones con máquina en propiedad: otra máquina	Explotaciones que usan maquinaria no en propiedad exclusiva	Explotaciones que usan maquinaria no en propiedad exclusiva: tractor	Explotaciones que usan maquinaria no en propiedad exclusiva: motocultor	Explotaciones que usan maquinaria no en propiedad exclusiva: cosechadora	Explotaciones que usan maquinaria no en propiedad exclusiva otra máquina
1989	44180	Peracense	37	20	0	2	15	14	14	0	2	9	14	3	0	14	0
1989	44181	Peralejos	18	10	1	3	4	11	10	1	3	4	23	15	0	22	2
1989	44182	Perales del Alfambra	56	39	0	5	12	34	32	0	5	12	92	60	0	63	42
1989	44183	Pitarque	10	2	7	0	1	7	2	5	0	1	3	2	0	1	1
1989	44184	Plou	8	7	0	1	0	5	5	0	1	0	17	13	0	17	5
1989	44185	Pobo (El)	55	30	1	3	21	30	29	1	3	15	50	23	0	46	32
1989	44187	Portellada (La)	85	56	27	0	2	56	52	25	0	2	36	16	0	29	6
1989	44189	Pozondón	30	24	0	0	6	23	23	0	0	5	30	7	0	30	3
1989	44190	Pozuel del Campo	34	22	0	7	5	19	19	0	6	5	18	2	1	17	4
1989	44191	Puebla de Híjar (La)	134	71	38	13	12	80	61	38	12	12	113	60	7	66	7
1989	44192	Puebla de Valverde (La)	87	59	0	7	21	48	48	0	7	21	140	101	1	107	31
1989	44193	Puertomingalvo	20	13	5	1	1	18	13	5	1	1	61	46	0	54	53
1989	44194	Ráfales	52	34	17	1	0	43	33	17	1	0	35	28	0	13	1
1989	44195	Rillo	42	30	1	4	7	24	23	1	4	7	26	8	0	25	12
1989	44196	Riodeva	23	16	5	1	1	18	16	4	1	1	66	50	2	33	8
1989	44197	Ródenas	40	25	0	4	11	23	22	0	3	6	37	18	0	36	3
1989	44198	Royuela	44	27	0	8	9	25	25	0	5	7	37	12	0	37	29
1989	44199	Rubiales	6	4	0	2	0	4	4	0	2	0	7	5	0	4	3
1989	44200	Rubielos de la Cérida	19	12	0	3	4	9	9	0	2	4	15	7	0	14	13
1989	44201	Rubielos de Mora	49	22	19	3	5	38	21	18	3	4	134	105	6	126	1
1989	44203	Salcedillo	5	3	0	1	1	2	2	0	1	1	1	0	0	1	1
1989	44204	Saldón	2	1	0	0	1	1	1	0	0	1	17	16	0	17	16
1989	44205	Samper de Calanda	152	77	51	17	7	116	72	50	16	7	117	56	9	99	2
1989	44206	San Agustín	38	20	10	2	6	26	18	10	2	4	100	88	5	50	44
1989	44207	San Martín del Río	61	25	34	1	1	52	23	34	1	1	146	139	7	29	1
1989	44208	Santa Cruz de Nogueras	12	11	0	1	0	9	9	0	1	0	8	1	1	7	3
1989	44209	Santa Eulalia	122	89	1	9	23	86	86	1	9	23	115	35	0	114	14
1989	44210	Sarrión	77	60	0	8	9	55	55	0	4	7	203	156	2	140	90
1989	44211	Segura de los Baños	18	12	0	2	4	12	12	0	2	4	15	5	0	14	5
1989	44212	Seno	15	11	4	0	0	14	11	4	0	0	27	18	0	12	8
1989	44213	Singra	54	31	0	7	16	26	25	0	6	15	23	3	0	23	2
1989	44215	Terriente	36	24	4	2	6	21	21	3	2	6	46	27	0	44	40
1989	44216	Teruel	558	319	37	70	132	315	283	35	68	101	364	138	6	321	158
1989	44217	Toril y Masegoso	8	6	0	1	1	5	5	0	1	1	10	5	0	9	9
1989	44218	Tormón	4	0	4	0	0	4	0	4	0	0	5	4	1	3	3
1989	44219	Tornos	73	50	0	16	7	39	39	0	15	7	62	37	0	62	3
1989	44220	Torralba de los Sisones	87	48	0	20	19	42	42	0	19	18	50	19	0	49	2
1989	44221	Torrecilla de Alcañiz	125	69	45	3	8	71	59	44	3	8	59	23	1	43	0
1989	44222	Torrecilla del Rebollar	63	37	1	13	12	34	34	1	13	12	26	2	0	21	15
1989	44223	Torre de Arcas	22	21	0	1	0	19	19	0	1	0	17	2	0	16	0
1989	44224	Torre de las Arcas	9	5	0	2	2	4	4	0	2	2	7	2	1	6	0
1989	44225	Torre del Compte	58	30	27	0	1	41	28	26	0	1	58	46	0	16	12
1989	44226	Torrelacárcel	71	48	0	2	21	42	41	0	2	21	70	28	0	69	6
1989	44227	Torre los Negros	32	20	0	6	6	17	16	0	6	6	29	18	1	26	3
1989	44228	Torremocha de Jiloca	45	30	0	2	13	28	28	0	2	13	44	17	0	43	13
1989	44229	Torres de Albarracín	28	16	0	6	6	15	15	0	4	4	33	19	0	33	27
1989	44230	Torrevelilla	50	35	11	1	3	32	30	11	1	3	67	49	2	21	3
1989	44231	Torrijas	16	10	0	3	3	9	9	0	3	3	19	14	1	18	0
1989	44232	Torrijo del Campo	114	65	2	22	25	70	64	2	17	24	125	69	1	120	49
1989	44234	Tramacastiel	24	16	7	0	1	20	15	7	0	1	75	73	1	1	0
1989	44235	Tramacastilla	11	6	0	3	2	6	6	0	3	2	17	11	0	17	15
1989	44236	Tronchón	19	15	1	0	3	14	13	1	0	3	32	21	0	30	5
1989	44237	Urrea de Gaén	112	46	60	5	1	84	43	59	5	1	104	26	43	61	0
1989	44238	Utrillas	40	19	10	5	6	26	18	10	4	6	17	5	0	16	4
1989	44239	Valacloche	1	1	0	0	0	1	1	0	0	0	30	29	0	13	0
1989	44240	Valbona	39	20	6	3	10	24	18	6	3	7	41	24	4	30	13
1989	44241	Valdealgorfa	128	90	34	2	2	89	86	34	2	2	125	120	0	6	1
1989	44243	Valdecuenca	4	3	0	1	0	2	2	0	1	0	4	3	2	3	4
1989	44244	Valdelinares	11	7	0	0	4	6	6	0	0	3	26	20	0	24	22
1989	44245	Valdeltormo	41	24	16	0	1	24	24	16	0	1	8	6	1	2	0
1989	44246	Valderrobres	295	190	100	2	3	231	185	99	2	3	200	105	6	122	109
1989	44247	Valjunquera	94	70	15	0	9	64	64	15	0	8	74	55	0	20	3
1989	44249	Vallecillo (El)	2	1	0	1	0	1	1	0	1	0	2	1	0	0	1
1989	44250	Veguillas de la Sierra	14	9	2	2	1	8	8	1	1	1	10	3	0	10	8
1989	44251	Villafranca del Campo	119	66	1	13	39	54	52	1	12	29	85	37	0	80	11
1989	44252	Villahermosa del Campo	27	19	1	2	5	14	14	1	2	5	21	9	0	21	6
1989	44256	Villanueva del Rebollar de la Sierra	13	10	0	1	2	9	9	0	1	2	10	2	0	10	8
1989	44257	Villar del Cobo	25	18	0	3	4	17	17	0	2	4	45	29	0	43	39
1989	44258	Villar del Salz	31	18	0	6	7	15	15	0	6	6	26	16	1	22	4
1989	44260	Villarluengo	73	27	22	2	22	34	25	22	2	14	41	19	2	35	18
1989	44261	Villarquemado	156	120	5	5	26	119	118	5	5	23	207	24	24	199	153
1989	44262	Villarroya de los Pinares	27	13	4	3	7	12	12	4	3	7	32	23	0	31	8
1989	44263	Villastar	48	28	1	6	13	28	27	1	5	9	49	30	0	47	5
1989	44264	Villel	61	44	11	1	5	47	42	11	1	4	201	183	2	29	8
1989	44265	Vinaceite	62	48	5	6	3	46	45	5	6	3	78	37	8	60	1
1989	44266	Visiedo	83	40	1	22	20	35	34	1	18	17	52	22	0	50	39
1989	44267	Vivel del Río Martín	43	24	0	8	11	21	21	0	8	11	22	8	0	21	8
1989	44268	Zoma (La)	9	8	0	0	1	8	8	0	0	1	16	7	1	14	0
1989	50001	Abanto	34	25	2	7	0	25	23	2	7	0	27	15	0	27	0
1989	50002	Acered	64	62	1	1	0	46	45	1	1	0	56	56	0	0	0
1989	50003	Agón	64	34	22	3	5	36	27	22	3	4	46	24	0	42	1
1989	50004	Aguarón	90	89	1	0	0	83	83	1	0	0	204	179	0	30	0
1989	50005	Aguilón	44	33	2	8	1	27	26	2	8	1	94	82	1	64	0
1989	50006	Ainzón	182	107	68	5	2	135	91	67	5	2	245	194	37	78	1
1989	50007	Aladrén	15	10	5	0	0	15	10	5	0	0	60	59	0	7	0
1989	50008	Alagón	197	139	40	8	10	161	123	40	8	9	711	583	30	623	64
1989	50009	Alarba	27	26	1	0	0	21	20	1	0	0	53	52	0	1	0
1989	50010	Alberite de San Juan	22	15	6	1	0	15	15	6	1	0	16	9	0	16	2
1989	50011	Albeta	2	1	1	0	0	1	1	1	0	0	3	2	0	1	0
1989	50012	Alborge	9	1	7	0	1	7	1	7	0	1	5	4	0	5	0
1989	50013	Alcalá de Ebro	69	34	33	2	0	58	34	32	2	0	103	70	4	95	4
1989	50014	Alcalá de Moncayo	21	19	0	2	0	18	18	0	2	0	41	25	0	33	2
1989	50015	Alconchel de Ariza	41	28	0	7	6	22	21	0	7	4	24	11	0	22	5
1989	50016	Aldehuela de Liestos	11	10	0	1	0	9	9	0	1	0	14	6	0	14	0
1989	50017	Alfajarín	242	122	28	58	34	110	91	28	44	34	206	136	3	199	126
1989	50018	Alfamén	187	175	1	10	1	110	110	1	10	1	313	238	0	228	2
1989	50019	Alforque	18	13	4	1	0	14	13	4	1	0	32	12	9	19	0
1989	50020	Alhama de Aragón	41	38	0	1	2	36	36	0	1	1	56	46	0	12	0
1989	50021	Almochuel	16	13	0	2	1	10	10	0	2	1	9	0	1	8	6
1989	50022	Almolda (La)	140	100	0	35	5	84	82	0	33	4	81	58	0	78	0
1989	50023	Almonacid de la Cuba	149	72	62	12	3	81	66	62	12	3	92	26	32	79	62
1989	50024	Almonacid de la Sierra	164	149	2	4	9	114	112	2	4	5	304	278	0	40	0
1989	50025	Almunia de Doña Godina (La)	368	296	68	0	4	300	251	67	0	3	437	412	8	27	0
1989	50026	Alpartir	60	58	1	0	1	55	54	1	0	1	168	168	0	0	0
1989	50027	Ambel	59	43	9	7	0	50	41	9	7	0	144	107	1	116	1
1989	50028	Anento	20	12	4	2	2	13	11	4	2	2	10	6	0	9	2
1989	50029	Aniñón	120	117	1	2	0	112	111	1	2	0	193	185	0	16	0
