Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Número de contratos	Grupo de tipo de jornada
Julio 2019	201907	Julio	2019	22	Huesca	Hombres	6521	1 - Jornada Completa
Julio 2019	201907	Julio	2019	22	Huesca	Mujeres	3858	1 - Jornada Completa
Julio 2019	201907	Julio	2019	22	Huesca	Hombres	1196	2 - Jornada Parcial
Julio 2019	201907	Julio	2019	22	Huesca	Mujeres	2021	2 - Jornada Parcial
Julio 2019	201907	Julio	2019	22	Huesca	Hombres	174	3 - Fijos Discontinuos
Julio 2019	201907	Julio	2019	22	Huesca	Mujeres	152	3 - Fijos Discontinuos
Julio 2019	201907	Julio	2019	44	Teruel	Hombres	2791	1 - Jornada Completa
Julio 2019	201907	Julio	2019	44	Teruel	Mujeres	1415	1 - Jornada Completa
Julio 2019	201907	Julio	2019	44	Teruel	Hombres	520	2 - Jornada Parcial
Julio 2019	201907	Julio	2019	44	Teruel	Mujeres	1023	2 - Jornada Parcial
Julio 2019	201907	Julio	2019	44	Teruel	Hombres	29	3 - Fijos Discontinuos
Julio 2019	201907	Julio	2019	44	Teruel	Mujeres	3	3 - Fijos Discontinuos
Julio 2019	201907	Julio	2019	50	Zaragoza	Hombres	19114	1 - Jornada Completa
Julio 2019	201907	Julio	2019	50	Zaragoza	Mujeres	11315	1 - Jornada Completa
Julio 2019	201907	Julio	2019	50	Zaragoza	Hombres	5679	2 - Jornada Parcial
Julio 2019	201907	Julio	2019	50	Zaragoza	Mujeres	8982	2 - Jornada Parcial
Julio 2019	201907	Julio	2019	50	Zaragoza	Hombres	130	3 - Fijos Discontinuos
Julio 2019	201907	Julio	2019	50	Zaragoza	Mujeres	42	3 - Fijos Discontinuos
Junio 2019	201906	Junio	2019	22	Huesca	Hombres	5741	1 - Jornada Completa
Junio 2019	201906	Junio	2019	22	Huesca	Mujeres	3241	1 - Jornada Completa
Junio 2019	201906	Junio	2019	22	Huesca	Hombres	952	2 - Jornada Parcial
Junio 2019	201906	Junio	2019	22	Huesca	Mujeres	1662	2 - Jornada Parcial
Junio 2019	201906	Junio	2019	22	Huesca	Hombres	287	3 - Fijos Discontinuos
Junio 2019	201906	Junio	2019	22	Huesca	Mujeres	204	3 - Fijos Discontinuos
Junio 2019	201906	Junio	2019	44	Teruel	Hombres	2391	1 - Jornada Completa
Junio 2019	201906	Junio	2019	44	Teruel	Mujeres	1256	1 - Jornada Completa
Junio 2019	201906	Junio	2019	44	Teruel	Hombres	466	2 - Jornada Parcial
Junio 2019	201906	Junio	2019	44	Teruel	Mujeres	808	2 - Jornada Parcial
Junio 2019	201906	Junio	2019	44	Teruel	Hombres	30	3 - Fijos Discontinuos
Junio 2019	201906	Junio	2019	44	Teruel	Mujeres	19	3 - Fijos Discontinuos
Junio 2019	201906	Junio	2019	50	Zaragoza	Hombres	19957	1 - Jornada Completa
Junio 2019	201906	Junio	2019	50	Zaragoza	Mujeres	11474	1 - Jornada Completa
Junio 2019	201906	Junio	2019	50	Zaragoza	Hombres	5334	2 - Jornada Parcial
Junio 2019	201906	Junio	2019	50	Zaragoza	Mujeres	8812	2 - Jornada Parcial
Junio 2019	201906	Junio	2019	50	Zaragoza	Hombres	261	3 - Fijos Discontinuos
Junio 2019	201906	Junio	2019	50	Zaragoza	Mujeres	116	3 - Fijos Discontinuos
Mayo 2019	201905	Mayo	2019	22	Huesca	Hombres	6655	1 - Jornada Completa
Mayo 2019	201905	Mayo	2019	22	Huesca	Mujeres	2930	1 - Jornada Completa
Mayo 2019	201905	Mayo	2019	22	Huesca	Hombres	875	2 - Jornada Parcial
Mayo 2019	201905	Mayo	2019	22	Huesca	Mujeres	1526	2 - Jornada Parcial
Mayo 2019	201905	Mayo	2019	22	Huesca	Hombres	533	3 - Fijos Discontinuos
Mayo 2019	201905	Mayo	2019	22	Huesca	Mujeres	272	3 - Fijos Discontinuos
Mayo 2019	201905	Mayo	2019	44	Teruel	Hombres	2646	1 - Jornada Completa
Mayo 2019	201905	Mayo	2019	44	Teruel	Mujeres	1252	1 - Jornada Completa
Mayo 2019	201905	Mayo	2019	44	Teruel	Hombres	429	2 - Jornada Parcial
Mayo 2019	201905	Mayo	2019	44	Teruel	Mujeres	704	2 - Jornada Parcial
Mayo 2019	201905	Mayo	2019	44	Teruel	Hombres	38	3 - Fijos Discontinuos
Mayo 2019	201905	Mayo	2019	44	Teruel	Mujeres	11	3 - Fijos Discontinuos
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Hombres	20962	1 - Jornada Completa
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Mujeres	12105	1 - Jornada Completa
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Hombres	5373	2 - Jornada Parcial
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Mujeres	9177	2 - Jornada Parcial
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Hombres	288	3 - Fijos Discontinuos
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Mujeres	157	3 - Fijos Discontinuos
Abril 2019	201904	Abril	2019	22	Huesca	Hombres	3595	1 - Jornada Completa
Abril 2019	201904	Abril	2019	22	Huesca	Mujeres	2120	1 - Jornada Completa
Abril 2019	201904	Abril	2019	22	Huesca	Hombres	860	2 - Jornada Parcial
Abril 2019	201904	Abril	2019	22	Huesca	Mujeres	1328	2 - Jornada Parcial
Abril 2019	201904	Abril	2019	22	Huesca	Hombres	204	3 - Fijos Discontinuos
Abril 2019	201904	Abril	2019	22	Huesca	Mujeres	79	3 - Fijos Discontinuos
Abril 2019	201904	Abril	2019	44	Teruel	Hombres	2111	1 - Jornada Completa
Abril 2019	201904	Abril	2019	44	Teruel	Mujeres	1144	1 - Jornada Completa
Abril 2019	201904	Abril	2019	44	Teruel	Hombres	350	2 - Jornada Parcial
Abril 2019	201904	Abril	2019	44	Teruel	Mujeres	701	2 - Jornada Parcial
Abril 2019	201904	Abril	2019	44	Teruel	Hombres	42	3 - Fijos Discontinuos
Abril 2019	201904	Abril	2019	44	Teruel	Mujeres	5	3 - Fijos Discontinuos
Abril 2019	201904	Abril	2019	50	Zaragoza	Hombres	13933	1 - Jornada Completa
Abril 2019	201904	Abril	2019	50	Zaragoza	Mujeres	8336	1 - Jornada Completa
Abril 2019	201904	Abril	2019	50	Zaragoza	Hombres	4380	2 - Jornada Parcial
Abril 2019	201904	Abril	2019	50	Zaragoza	Mujeres	7256	2 - Jornada Parcial
Abril 2019	201904	Abril	2019	50	Zaragoza	Hombres	86	3 - Fijos Discontinuos
Abril 2019	201904	Abril	2019	50	Zaragoza	Mujeres	38	3 - Fijos Discontinuos
Marzo 2019	201903	Marzo	2019	22	Huesca	Hombres	3421	1 - Jornada Completa
Marzo 2019	201903	Marzo	2019	22	Huesca	Mujeres	1824	1 - Jornada Completa
Marzo 2019	201903	Marzo	2019	22	Huesca	Hombres	851	2 - Jornada Parcial
Marzo 2019	201903	Marzo	2019	22	Huesca	Mujeres	1383	2 - Jornada Parcial
Marzo 2019	201903	Marzo	2019	22	Huesca	Hombres	133	3 - Fijos Discontinuos
