Mes y año	Mes (código)	Mes nombre	Año	Sección (1 letra) código	Sección (1 letra) descripción	Sexo	Número de contratos	CNAE año	CCAA nombre
Septiembre 2016	201609	Septiembre	2016	M	Actividades profesionales, científicas y técnicas	Hombres	561	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	M	Actividades profesionales, científicas y técnicas	Mujeres	774	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	N	Actividades administrativas y servicios auxiliares	Hombres	2241	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	N	Actividades administrativas y servicios auxiliares	Mujeres	3265	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	O	Administración Pública y defensa; Seguridad Social obligatoria	Hombres	310	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	O	Administración Pública y defensa; Seguridad Social obligatoria	Mujeres	468	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	P	Educación	Hombres	983	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	P	Educación	Mujeres	1905	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	Q	Actividades sanitarias y de servicios sociales	Hombres	394	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	Q	Actividades sanitarias y de servicios sociales	Mujeres	2051	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	R	Actividades artísticas, recreativas y de entretenimiento	Hombres	2300	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	R	Actividades artísticas, recreativas y de entretenimiento	Mujeres	1162	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	S	Otros servicios	Hombres	309	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	S	Otros servicios	Mujeres	760	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Hombres	93	CNAE - 2009	Aragón
