Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
04	La Ribagorza	Cultivos herbáceos en regadío	1143,248414	2000
04	La Ribagorza	Cárcavas y/o zonas en proceso de erosión	2921,510972	2000
04	La Ribagorza	Embalses	2118,335569	2000
04	La Ribagorza	Escombreras y vertederos	0	2000
04	La Ribagorza	Espacios orófilos altitudinales con vegetación escasa	8513,232936	2000
04	La Ribagorza	Estructura urbana abierta	18,569715	2000
04	La Ribagorza	Frutales en secano	25,040079	2000
04	La Ribagorza	Glaciares y nieves permanentes	279,068658	2000
04	La Ribagorza	Grandes formaciones de matorral denso o medianamente denso	15843,104616	2000
04	La Ribagorza	Grandes superficies de equipamientos y servicios	0	2000
04	La Ribagorza	Humedales y zonas pantanosas	0	2000
04	La Ribagorza	Lagos y lagunas	278,020638	2000
04	La Ribagorza	Landas y matorrales en climas húmedos. Vegetación mesófila	12742,995854	2000
04	La Ribagorza	Matorral boscoso de bosque mixto	4770,976282	2000
04	La Ribagorza	Matorral boscoso de coníferas	9326,926686	2000
04	La Ribagorza	Matorral boscoso de frondosas	20811,964771	2000
04	La Ribagorza	Matorrales subarbustivos o arbustivos muy poco densos	8112,23896	2000
04	La Ribagorza	Mezcla de frondosas	5547,805003	2000
04	La Ribagorza	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	108,482958	2000
04	La Ribagorza	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	4113,966984	2000
04	La Ribagorza	Mosaico de cultivos anuales con cultivos  permanentes en  secano	3306,896334	2000
04	La Ribagorza	Mosaico de cultivos anuales con cultivos permanentes en regadío	218,151122	2000
04	La Ribagorza	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
04	La Ribagorza	Mosaico de cultivos anuales con prados o praderas en secano	1023,04656	2000
04	La Ribagorza	Mosaico de cultivos permanentes en regadío	59,597548	2000
04	La Ribagorza	Mosaico de cultivos permanentes en secano	207,614757	2000
04	La Ribagorza	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	135,271339	2000
04	La Ribagorza	Olivares en regadío	0	2000
04	La Ribagorza	Olivares en secano	270,86211	2000
04	La Ribagorza	Otras frondosas de plantación	0	2000
04	La Ribagorza	Otros frutales en regadío	0	2000
04	La Ribagorza	Otros pastizales mediterráneos	4038,708074	2000
04	La Ribagorza	Pastizales supraforestales mediterráneos	0	2000
04	La Ribagorza	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	14511,788493	2000
04	La Ribagorza	Perennifolias	7025,913188	2000
04	La Ribagorza	Prados y praderas	9712,667423	2000
04	La Ribagorza	Ramblas con poca o sin vegetación	1094,019662	2000
