Mes y año	'Aragón'	Sexo	Nº parados
Noviembre 2008	Aragón	Hombres	32664
Noviembre 2008	Aragón	Mujeres	29777
Octubre 2008	Aragón	Hombres	29674
Octubre 2008	Aragón	Mujeres	28657
Septiembre 2008	Aragón	Hombres	25517
Septiembre 2008	Aragón	Mujeres	25301
Agosto 2008	Aragón	Hombres	23017
Agosto 2008	Aragón	Mujeres	23168
Julio 2008	Aragón	Hombres	21244
Julio 2008	Aragón	Mujeres	22543
Junio 2008	Aragón	Hombres	19297
Junio 2008	Aragón	Mujeres	22390
Mayo 2008	Aragón	Hombres	17887
Mayo 2008	Aragón	Mujeres	22994
Abril 2008	Aragón	Hombres	18102
Abril 2008	Aragón	Mujeres	24300
Marzo 2008	Aragón	Hombres	17451
Marzo 2008	Aragón	Mujeres	24286
Febrero 2008	Aragón	Hombres	17491
Febrero 2008	Aragón	Mujeres	24538
Enero 2008	Aragón	Hombres	16990
Enero 2008	Aragón	Mujeres	24202
Diciembre 2007	Aragón	Hombres	15929
Diciembre 2007	Aragón	Mujeres	22449
Noviembre 2007	Aragón	Hombres	14655
Noviembre 2007	Aragón	Mujeres	22716
Octubre 2007	Aragón	Hombres	14215
Octubre 2007	Aragón	Mujeres	22370
Septiembre 2007	Aragón	Hombres	13758
Septiembre 2007	Aragón	Mujeres	21627
Agosto 2007	Aragón	Hombres	14019
Agosto 2007	Aragón	Mujeres	21636
Julio 2007	Aragón	Hombres	12754
Julio 2007	Aragón	Mujeres	20947
Junio 2007	Aragón	Hombres	12335
Junio 2007	Aragón	Mujeres	20830
Mayo 2007	Aragón	Hombres	12680
Mayo 2007	Aragón	Mujeres	21631
Abril 2007	Aragón	Hombres	13583
Abril 2007	Aragón	Mujeres	22265
Marzo 2007	Aragón	Hombres	13712
Marzo 2007	Aragón	Mujeres	22563
Febrero 2007	Aragón	Hombres	13994
Febrero 2007	Aragón	Mujeres	22395
Enero 2007	Aragón	Hombres	14649
Enero 2007	Aragón	Mujeres	22716
Diciembre 2006	Aragón	Hombres	14725
Diciembre 2006	Aragón	Mujeres	21782
Noviembre 2006	Aragón	Hombres	13818
Noviembre 2006	Aragón	Mujeres	22467
Octubre 2006	Aragón	Hombres	13729
Octubre 2006	Aragón	Mujeres	22223
Septiembre 2006	Aragón	Hombres	13517
Septiembre 2006	Aragón	Mujeres	21551
Agosto 2006	Aragón	Hombres	13561
Agosto 2006	Aragón	Mujeres	21351
Julio 2006	Aragón	Hombres	12994
Julio 2006	Aragón	Mujeres	21039
Junio 2006	Aragón	Hombres	12915
Junio 2006	Aragón	Mujeres	21498
Mayo 2006	Aragón	Hombres	14218
Mayo 2006	Aragón	Mujeres	23473
Abril 2006	Aragón	Hombres	15542
Abril 2006	Aragón	Mujeres	24212
Marzo 2006	Aragón	Hombres	16512
Marzo 2006	Aragón	Mujeres	25363
Febrero 2006	Aragón	Hombres	16827
Febrero 2006	Aragón	Mujeres	25466
Enero 2006	Aragón	Hombres	17394
Enero 2006	Aragón	Mujeres	25772
Diciembre 2005	Aragón	Hombres	17159
Diciembre 2005	Aragón	Mujeres	24349
Noviembre 2005	Aragón	Hombres	16181
Noviembre 2005	Aragón	Mujeres	25093
Octubre 2005	Aragón	Hombres	16331
Octubre 2005	Aragón	Mujeres	25132
Septiembre 2005	Aragón	Hombres	15306
Septiembre 2005	Aragón	Mujeres	23663
Agosto 2005	Aragón	Hombres	15077
Agosto 2005	Aragón	Mujeres	23145
Julio 2005	Aragón	Hombres	13937
Julio 2005	Aragón	Mujeres	22305
Junio 2005	Aragón	Hombres	13388
Junio 2005	Aragón	Mujeres	22353
Mayo 2005	Aragón	Hombres	14146
Mayo 2005	Aragón	Mujeres	23185
Abril 2005	Aragón	Hombres	15775
Abril 2005	Aragón	Mujeres	25136
Marzo 2005	Aragón	Hombres	16186
Marzo 2005	Aragón	Mujeres	25228
Febrero 2005	Aragón	Hombres	15899
Febrero 2005	Aragón	Mujeres	25039
Enero 2005	Aragón	Hombres	16365
Enero 2005	Aragón	Mujeres	24774
