Municipio código	Municipio nombre	Estado civil	Personas residentes viviendas familiares
22039	Ayerbe	Solteros/as	331
22039	Ayerbe	Casados/as	535
22039	Ayerbe	Viudos/as	118
22039	Ayerbe	Separados/as	9
22039	Ayerbe	Divorciados/as	8
22040	Azanuy-Alins	Solteros/as	56
22040	Azanuy-Alins	Casados/as	78
22040	Azanuy-Alins	Viudos/as	33
22041	Azara	Solteros/as	61
22041	Azara	Casados/as	108
22041	Azara	Viudos/as	22
22042	Azlor	Solteros/as	51
22042	Azlor	Casados/as	77
22042	Azlor	Viudos/as	21
22042	Azlor	Separados/as	4
22042	Azlor	Divorciados/as	1
22043	Baells	Solteros/as	51
22043	Baells	Casados/as	58
22043	Baells	Viudos/as	29
22044	Bailo	Solteros/as	111
22044	Bailo	Casados/as	133
22044	Bailo	Viudos/as	33
22044	Bailo	Separados/as	3
22044	Bailo	Divorciados/as	2
22045	Baldellou	Solteros/as	36
22045	Baldellou	Casados/as	68
22045	Baldellou	Viudos/as	19
22045	Baldellou	Separados/as	1
22045	Baldellou	Divorciados/as	1
22046	Ballobar	Solteros/as	241
22046	Ballobar	Casados/as	539
22046	Ballobar	Viudos/as	94
22046	Ballobar	Separados/as	3
22046	Ballobar	Divorciados/as	3
22047	Banastás	Solteros/as	40
22047	Banastás	Casados/as	100
22047	Banastás	Viudos/as	11
22047	Banastás	Separados/as	3
22047	Banastás	Divorciados/as	3
22048	Barbastro	Solteros/as	3784
22048	Barbastro	Casados/as	7241
22048	Barbastro	Viudos/as	1082
22048	Barbastro	Separados/as	207
22048	Barbastro	Divorciados/as	72
22049	Barbués	Solteros/as	31
22049	Barbués	Casados/as	56
22049	Barbués	Viudos/as	12
22050	Barbuñales	Solteros/as	23
22050	Barbuñales	Casados/as	56
22050	Barbuñales	Viudos/as	15
22050	Barbuñales	Divorciados/as	1
22051	Bárcabo	Solteros/as	33
22051	Bárcabo	Casados/as	56
22051	Bárcabo	Viudos/as	9
22051	Bárcabo	Separados/as	2
22051	Bárcabo	Divorciados/as	1
22052	Belver de Cinca	Solteros/as	368
22052	Belver de Cinca	Casados/as	690
22052	Belver de Cinca	Viudos/as	105
22052	Belver de Cinca	Separados/as	8
22053	Benabarre	Solteros/as	299
22053	Benabarre	Casados/as	530
22053	Benabarre	Viudos/as	120
22053	Benabarre	Separados/as	9
22053	Benabarre	Divorciados/as	11
22054	Benasque	Solteros/as	520
22054	Benasque	Casados/as	616
22054	Benasque	Viudos/as	64
22054	Benasque	Separados/as	40
22054	Benasque	Divorciados/as	25
22055	Berbegal	Solteros/as	107
22055	Berbegal	Casados/as	228
22055	Berbegal	Viudos/as	54
22055	Berbegal	Separados/as	4
22055	Berbegal	Divorciados/as	2
22057	Bielsa	Solteros/as	129
22057	Bielsa	Casados/as	227
22057	Bielsa	Viudos/as	42
22057	Bielsa	Separados/as	3
22057	Bielsa	Divorciados/as	1
22058	Bierge	Solteros/as	62
22058	Bierge	Casados/as	113
22058	Bierge	Viudos/as	30
22058	Bierge	Separados/as	1
22058	Bierge	Divorciados/as	1
22059	Biescas	Solteros/as	343
22059	Biescas	Casados/as	638
22059	Biescas	Viudos/as	79
22059	Biescas	Separados/as	15
22059	Biescas	Divorciados/as	8
22060	Binaced	Solteros/as	453
22060	Binaced	Casados/as	815
22060	Binaced	Viudos/as	154
22060	Binaced	Separados/as	12
22060	Binaced	Divorciados/as	7
22061	Binéfar	Solteros/as	2022
22061	Binéfar	Casados/as	4287
22061	Binéfar	Viudos/as	691
22061	Binéfar	Separados/as	103
22061	Binéfar	Divorciados/as	65
22062	Bisaurri	Solteros/as	86
22062	Bisaurri	Casados/as	92
22062	Bisaurri	Viudos/as	28
22062	Bisaurri	Separados/as	4
22063	Biscarrués	Solteros/as	67
22063	Biscarrués	Casados/as	119
22063	Biscarrués	Viudos/as	17
22063	Biscarrués	Separados/as	2
22063	Biscarrués	Divorciados/as	1
22064	Blecua y Torres	Solteros/as	55
22064	Blecua y Torres	Casados/as	98
22064	Blecua y Torres	Viudos/as	24
22064	Blecua y Torres	Separados/as	5
22064	Blecua y Torres	Divorciados/as	1
22066	Boltaña	Solteros/as	258
22066	Boltaña	Casados/as	370
22066	Boltaña	Viudos/as	78
22066	Boltaña	Separados/as	5
22066	Boltaña	Divorciados/as	10
22067	Bonansa	Solteros/as	27
22067	Bonansa	Casados/as	35
22067	Bonansa	Viudos/as	8
22067	Bonansa	Separados/as	1
22067	Bonansa	Divorciados/as	2
22068	Borau	Solteros/as	32
22068	Borau	Casados/as	25
22068	Borau	Viudos/as	10
22068	Borau	Separados/as	1
22069	Broto	Solteros/as	165
22069	Broto	Casados/as	244
22069	Broto	Viudos/as	44
22069	Broto	Separados/as	4
22069	Broto	Divorciados/as	3
22072	Caldearenas	Solteros/as	75
22072	Caldearenas	Casados/as	130
22072	Caldearenas	Viudos/as	20
22072	Caldearenas	Separados/as	3
22072	Caldearenas	Divorciados/as	3
22074	Campo	Solteros/as	85
22074	Campo	Casados/as	164
22074	Campo	Viudos/as	50
22074	Campo	Separados/as	2
22074	Campo	Divorciados/as	2
22075	Camporrells	Solteros/as	75
22075	Camporrells	Casados/as	125
22075	Camporrells	Viudos/as	34
22075	Camporrells	Separados/as	3
22076	Canal de Berdún	Solteros/as	125
22076	Canal de Berdún	Casados/as	203
22076	Canal de Berdún	Viudos/as	48
22076	Canal de Berdún	Divorciados/as	2
22077	Candasnos	Solteros/as	169
22077	Candasnos	Casados/as	301
22077	Candasnos	Viudos/as	50
22077	Candasnos	Separados/as	3
22077	Candasnos	Divorciados/as	1
22078	Canfranc	Solteros/as	215
22078	Canfranc	Casados/as	214
22078	Canfranc	Viudos/as	30
22078	Canfranc	Separados/as	11
22078	Canfranc	Divorciados/as	15
22079	Capdesaso	Solteros/as	71
22079	Capdesaso	Casados/as	68
22079	Capdesaso	Viudos/as	16
22079	Capdesaso	Separados/as	1
22080	Capella	Solteros/as	95
22080	Capella	Casados/as	194
22080	Capella	Viudos/as	50
22080	Capella	Divorciados/as	2
22081	Casbas de Huesca	Solteros/as	93
22081	Casbas de Huesca	Casados/as	144
22081	Casbas de Huesca	Viudos/as	41
22081	Casbas de Huesca	Separados/as	1
22081	Casbas de Huesca	Divorciados/as	1
22082	Castejón del Puente	Solteros/as	109
22082	Castejón del Puente	Casados/as	202
22082	Castejón del Puente	Viudos/as	30
22082	Castejón del Puente	Separados/as	4
22082	Castejón del Puente	Divorciados/as	4
22083	Castejón de Monegros	Solteros/as	189
22083	Castejón de Monegros	Casados/as	329
22083	Castejón de Monegros	Viudos/as	78
22083	Castejón de Monegros	Separados/as	6
22084	Castejón de Sos	Solteros/as	193
22084	Castejón de Sos	Casados/as	265
22084	Castejón de Sos	Viudos/as	29
22084	Castejón de Sos	Separados/as	9
22084	Castejón de Sos	Divorciados/as	3
22085	Castelflorite	Solteros/as	56
22085	Castelflorite	Casados/as	56
22085	Castelflorite	Viudos/as	18
22086	Castiello de Jaca	Solteros/as	59
22086	Castiello de Jaca	Casados/as	89
22086	Castiello de Jaca	Viudos/as	14
22086	Castiello de Jaca	Separados/as	2
22086	Castiello de Jaca	Divorciados/as	3
22087	Castigaleu	Solteros/as	28
22087	Castigaleu	Casados/as	51
22087	Castigaleu	Viudos/as	8
22087	Castigaleu	Separados/as	1
22087	Castigaleu	Divorciados/as	1
22088	Castillazuelo	Solteros/as	60
22088	Castillazuelo	Casados/as	100
22088	Castillazuelo	Viudos/as	46
22088	Castillazuelo	Separados/as	5
22089	Castillonroy	Solteros/as	104
22089	Castillonroy	Casados/as	224
22089	Castillonroy	Viudos/as	45
22089	Castillonroy	Separados/as	4
22089	Castillonroy	Divorciados/as	4
22090	Colungo	Solteros/as	38
22090	Colungo	Casados/as	76
22090	Colungo	Viudos/as	15
22090	Colungo	Separados/as	1
22094	Chalamera	Solteros/as	39
22094	Chalamera	Casados/as	73
22094	Chalamera	Viudos/as	25
22094	Chalamera	Divorciados/as	1
22095	Chía	Solteros/as	37
22095	Chía	Casados/as	51
22095	Chía	Viudos/as	13
22095	Chía	Separados/as	2
22096	Chimillas	Solteros/as	53
22096	Chimillas	Casados/as	114
22096	Chimillas	Viudos/as	15
22096	Chimillas	Separados/as	2
22096	Chimillas	Divorciados/as	3
22099	Esplús	Solteros/as	192
22099	Esplús	Casados/as	367
22099	Esplús	Viudos/as	72
22099	Esplús	Separados/as	6
22102	Estada	Solteros/as	42
22102	Estada	Casados/as	94
22102	Estada	Viudos/as	24
22102	Estada	Separados/as	4
22102	Estada	Divorciados/as	2
22103	Estadilla	Solteros/as	236
22103	Estadilla	Casados/as	470
22103	Estadilla	Viudos/as	98
22103	Estadilla	Separados/as	6
22103	Estadilla	Divorciados/as	3
22105	Estopiñán del Castillo	Solteros/as	57
22105	Estopiñán del Castillo	Casados/as	102
22105	Estopiñán del Castillo	Viudos/as	32
22105	Estopiñán del Castillo	Separados/as	3
22105	Estopiñán del Castillo	Divorciados/as	4
22106	Fago	Solteros/as	16
22106	Fago	Casados/as	13
22106	Fago	Viudos/as	3
22106	Fago	Divorciados/as	1
22107	Fanlo	Solteros/as	71
22107	Fanlo	Casados/as	89
22107	Fanlo	Viudos/as	7
22107	Fanlo	Separados/as	1
22109	Fiscal	Solteros/as	98
22109	Fiscal	Casados/as	101
22109	Fiscal	Viudos/as	25
22110	Fonz	Solteros/as	252
22110	Fonz	Casados/as	570
22110	Fonz	Viudos/as	131
22110	Fonz	Separados/as	6
22110	Fonz	Divorciados/as	5
22111	Foradada del Toscar	Solteros/as	72
22111	Foradada del Toscar	Casados/as	127
22111	Foradada del Toscar	Viudos/as	39
22112	Fraga	Solteros/as	2951
22112	Fraga	Casados/as	6090
22112	Fraga	Viudos/as	829
22112	Fraga	Separados/as	139
22112	Fraga	Divorciados/as	67
22113	Fueva (La)	Solteros/as	170
22113	Fueva (La)	Casados/as	292
22113	Fueva (La)	Viudos/as	64
22113	Fueva (La)	Separados/as	4
22113	Fueva (La)	Divorciados/as	1
22114	Gistaín	Solteros/as	76
22114	Gistaín	Casados/as	67
22114	Gistaín	Viudos/as	20
22114	Gistaín	Separados/as	1
22115	Grado (El)	Solteros/as	162
22115	Grado (El)	Casados/as	241
22115	Grado (El)	Viudos/as	63
22115	Grado (El)	Separados/as	6
22115	Grado (El)	Divorciados/as	3
22116	Grañén	Solteros/as	530
22116	Grañén	Casados/as	954
22116	Grañén	Viudos/as	171
22116	Grañén	Separados/as	16
22116	Grañén	Divorciados/as	6
22117	Graus	Solteros/as	867
22117	Graus	Casados/as	1460
22117	Graus	Viudos/as	313
22117	Graus	Separados/as	25
22117	Graus	Divorciados/as	17
22119	Gurrea de Gállego	Solteros/as	498
22119	Gurrea de Gállego	Casados/as	937
22119	Gurrea de Gállego	Viudos/as	165
22119	Gurrea de Gállego	Separados/as	16
22119	Gurrea de Gállego	Divorciados/as	3
22122	Hoz de Jaca	Solteros/as	28
22122	Hoz de Jaca	Casados/as	35
22122	Hoz de Jaca	Viudos/as	11
22122	Hoz de Jaca	Divorciados/as	1
22124	Huerto	Solteros/as	70
22124	Huerto	Casados/as	135
22124	Huerto	Viudos/as	30
22124	Huerto	Separados/as	1
22124	Huerto	Divorciados/as	1
22125	Huesca	Solteros/as	12552
22125	Huesca	Casados/as	21480
22125	Huesca	Viudos/as	3004
22125	Huesca	Separados/as	704
22125	Huesca	Divorciados/as	455
22126	Ibieca	Solteros/as	26
22126	Ibieca	Casados/as	63
22126	Ibieca	Viudos/as	14
22126	Ibieca	Separados/as	2
22127	Igriés	Solteros/as	68
22127	Igriés	Casados/as	122
22127	Igriés	Viudos/as	20
22127	Igriés	Separados/as	2
22128	Ilche	Solteros/as	80
22128	Ilche	Casados/as	140
22128	Ilche	Viudos/as	27
22128	Ilche	Divorciados/as	2
22129	Isábena	Solteros/as	73
22129	Isábena	Casados/as	131
22129	Isábena	Viudos/as	35
22129	Isábena	Separados/as	5
22130	Jaca	Solteros/as	3420
22130	Jaca	Casados/as	5034
22130	Jaca	Viudos/as	770
22130	Jaca	Separados/as	182
22130	Jaca	Divorciados/as	102
22131	Jasa	Solteros/as	44
22131	Jasa	Casados/as	55
22131	Jasa	Viudos/as	10
22131	Jasa	Separados/as	1
22133	Labuerda	Solteros/as	51
22133	Labuerda	Casados/as	82
22133	Labuerda	Viudos/as	15
22133	Labuerda	Separados/as	1
22133	Labuerda	Divorciados/as	4
22135	Laluenga	Solteros/as	61
22135	Laluenga	Casados/as	143
22135	Laluenga	Viudos/as	33
22135	Laluenga	Divorciados/as	1
22136	Lalueza	Solteros/as	339
22136	Lalueza	Casados/as	597
22136	Lalueza	Viudos/as	125
22136	Lalueza	Separados/as	11
22136	Lalueza	Divorciados/as	6
22137	Lanaja	Solteros/as	427
22137	Lanaja	Casados/as	740
22137	Lanaja	Viudos/as	159
22137	Lanaja	Separados/as	23
22137	Lanaja	Divorciados/as	6
22139	Laperdiguera	Solteros/as	29
22139	Laperdiguera	Casados/as	55
22139	Laperdiguera	Viudos/as	14
22139	Laperdiguera	Divorciados/as	1
22141	Lascellas-Ponzano	Solteros/as	46
22141	Lascellas-Ponzano	Casados/as	79
22141	Lascellas-Ponzano	Viudos/as	24
22141	Lascellas-Ponzano	Separados/as	2
22142	Lascuarre	Solteros/as	43
22142	Lascuarre	Casados/as	77
22142	Lascuarre	Viudos/as	21
22142	Lascuarre	Separados/as	5
22143	Laspaúles	Solteros/as	90
22143	Laspaúles	Casados/as	137
22143	Laspaúles	Viudos/as	24
22143	Laspaúles	Separados/as	2
22143	Laspaúles	Divorciados/as	2
22144	Laspuña	Solteros/as	96
22144	Laspuña	Casados/as	120
22144	Laspuña	Viudos/as	30
22144	Laspuña	Separados/as	3
22144	Laspuña	Divorciados/as	3
22149	Loarre	Solteros/as	121
22149	Loarre	Casados/as	200
22149	Loarre	Viudos/as	43
22149	Loarre	Separados/as	5
22149	Loarre	Divorciados/as	3
22150	Loporzano	Solteros/as	165
22150	Loporzano	Casados/as	236
22150	Loporzano	Viudos/as	36
22150	Loporzano	Separados/as	4
22150	Loporzano	Divorciados/as	5
22151	Loscorrales	Solteros/as	38
22151	Loscorrales	Casados/as	57
22151	Loscorrales	Viudos/as	10
22151	Loscorrales	Separados/as	1
22155	Monesma y Cajigar	Solteros/as	30
22155	Monesma y Cajigar	Casados/as	47
22155	Monesma y Cajigar	Viudos/as	14
22155	Monesma y Cajigar	Separados/as	1
22156	Monflorite-Lascasas	Solteros/as	62
22156	Monflorite-Lascasas	Casados/as	102
22156	Monflorite-Lascasas	Viudos/as	15
22156	Monflorite-Lascasas	Separados/as	2
22157	Montanuy	Solteros/as	121
22157	Montanuy	Casados/as	114
22157	Montanuy	Viudos/as	31
22157	Montanuy	Separados/as	4
22157	Montanuy	Divorciados/as	4
22158	Monzón	Solteros/as	3620
22158	Monzón	Casados/as	7444
22158	Monzón	Viudos/as	1073
22158	Monzón	Separados/as	252
22158	Monzón	Divorciados/as	120
22160	Naval	Solteros/as	94
22160	Naval	Casados/as	139
22160	Naval	Viudos/as	35
22160	Naval	Separados/as	7
22160	Naval	Divorciados/as	3
22162	Novales	Solteros/as	39
22162	Novales	Casados/as	94
22162	Novales	Viudos/as	22
22162	Novales	Separados/as	4
22162	Novales	Divorciados/as	3
22163	Nueno	Solteros/as	111
22163	Nueno	Casados/as	181
22163	Nueno	Viudos/as	13
22163	Nueno	Separados/as	2
22163	Nueno	Divorciados/as	5
22164	Olvena	Solteros/as	10
22164	Olvena	Casados/as	27
22164	Olvena	Viudos/as	10
22165	Ontiñena	Solteros/as	137
22165	Ontiñena	Casados/as	367
22165	Ontiñena	Viudos/as	65
22165	Ontiñena	Separados/as	2
22165	Ontiñena	Divorciados/as	1
22167	Osso de Cinca	Solteros/as	199
22167	Osso de Cinca	Casados/as	377
22167	Osso de Cinca	Viudos/as	44
22167	Osso de Cinca	Separados/as	4
22167	Osso de Cinca	Divorciados/as	6
22168	Palo	Solteros/as	10
22168	Palo	Casados/as	21
22168	Palo	Viudos/as	6
22170	Panticosa	Solteros/as	214
22170	Panticosa	Casados/as	317
22170	Panticosa	Viudos/as	43
22170	Panticosa	Separados/as	16
22170	Panticosa	Divorciados/as	10
22172	Peñalba	Solteros/as	209
22172	Peñalba	Casados/as	415
22172	Peñalba	Viudos/as	59
22172	Peñalba	Separados/as	4
22173	Peñas de Riglos (Las)	Solteros/as	82
22173	Peñas de Riglos (Las)	Casados/as	124
22173	Peñas de Riglos (Las)	Viudos/as	42
22173	Peñas de Riglos (Las)	Separados/as	4
22173	Peñas de Riglos (Las)	Divorciados/as	4
22174	Peralta de Alcofea	Solteros/as	197
22174	Peralta de Alcofea	Casados/as	371
22174	Peralta de Alcofea	Viudos/as	76
22174	Peralta de Alcofea	Separados/as	2
22175	Peralta de Calasanz	Solteros/as	78
22175	Peralta de Calasanz	Casados/as	114
22175	Peralta de Calasanz	Viudos/as	43
22175	Peralta de Calasanz	Separados/as	5
22175	Peralta de Calasanz	Divorciados/as	3
22176	Peraltilla	Solteros/as	36
22176	Peraltilla	Casados/as	84
22176	Peraltilla	Viudos/as	20
22176	Peraltilla	Separados/as	1
22176	Peraltilla	Divorciados/as	2
22177	Perarrúa	Solteros/as	37
22177	Perarrúa	Casados/as	61
22177	Perarrúa	Viudos/as	18
22177	Perarrúa	Divorciados/as	1
22178	Pertusa	Solteros/as	41
22178	Pertusa	Casados/as	84
22178	Pertusa	Viudos/as	10
22178	Pertusa	Separados/as	2
22178	Pertusa	Divorciados/as	1
22181	Piracés	Solteros/as	28
22181	Piracés	Casados/as	55
22181	Piracés	Viudos/as	7
22181	Piracés	Divorciados/as	2
22182	Plan	Solteros/as	109
22182	Plan	Casados/as	134
22182	Plan	Viudos/as	32
22182	Plan	Separados/as	4
22182	Plan	Divorciados/as	1
22184	Poleñino	Solteros/as	65
22184	Poleñino	Casados/as	134
22184	Poleñino	Viudos/as	24
22184	Poleñino	Separados/as	2
22184	Poleñino	Divorciados/as	1
22186	Pozán de Vero	Solteros/as	60
22186	Pozán de Vero	Casados/as	124
22186	Pozán de Vero	Viudos/as	35
22186	Pozán de Vero	Separados/as	4
22186	Pozán de Vero	Divorciados/as	2
22187	Puebla de Castro (La)	Solteros/as	85
22187	Puebla de Castro (La)	Casados/as	151
22187	Puebla de Castro (La)	Viudos/as	39
22187	Puebla de Castro (La)	Separados/as	2
22187	Puebla de Castro (La)	Divorciados/as	4
22188	Puente de Montañana	Solteros/as	34
22188	Puente de Montañana	Casados/as	55
22188	Puente de Montañana	Viudos/as	15
22188	Puente de Montañana	Divorciados/as	2
22189	Puértolas	Solteros/as	83
22189	Puértolas	Casados/as	92
22189	Puértolas	Viudos/as	15
22189	Puértolas	Separados/as	2
22190	Pueyo de Araguás (El)	Solteros/as	45
22190	Pueyo de Araguás (El)	Casados/as	63
22190	Pueyo de Araguás (El)	Viudos/as	16
22190	Pueyo de Araguás (El)	Separados/as	2
22190	Pueyo de Araguás (El)	Divorciados/as	2
22193	Pueyo de Santa Cruz	Solteros/as	86
22193	Pueyo de Santa Cruz	Casados/as	189
22193	Pueyo de Santa Cruz	Viudos/as	29
22193	Pueyo de Santa Cruz	Separados/as	2
22195	Quicena	Solteros/as	37
22195	Quicena	Casados/as	60
22195	Quicena	Viudos/as	9
22195	Quicena	Separados/as	1
22195	Quicena	Divorciados/as	3
22197	Robres	Solteros/as	195
22197	Robres	Casados/as	337
22197	Robres	Viudos/as	57
22197	Robres	Separados/as	1
22197	Robres	Divorciados/as	7
22199	Sabiñánigo	Solteros/as	2368
22199	Sabiñánigo	Casados/as	4266
22199	Sabiñánigo	Viudos/as	637
22199	Sabiñánigo	Separados/as	81
22199	Sabiñánigo	Divorciados/as	39
22200	Sahún	Solteros/as	99
22200	Sahún	Casados/as	127
22200	Sahún	Viudos/as	25
22200	Sahún	Separados/as	3
22201	Salas Altas	Solteros/as	93
22201	Salas Altas	Casados/as	211
22201	Salas Altas	Viudos/as	45
22201	Salas Altas	Separados/as	2
22201	Salas Altas	Divorciados/as	2
22202	Salas Bajas	Solteros/as	52
22202	Salas Bajas	Casados/as	76
22202	Salas Bajas	Viudos/as	24
22203	Salillas	Solteros/as	38
22203	Salillas	Casados/as	50
22203	Salillas	Viudos/as	18
22204	Sallent de Gállego	Solteros/as	350
22204	Sallent de Gállego	Casados/as	488
22204	Sallent de Gállego	Viudos/as	62
22204	Sallent de Gállego	Separados/as	12
22204	Sallent de Gállego	Divorciados/as	5
22205	San Esteban de Litera	Solteros/as	171
22205	San Esteban de Litera	Casados/as	291
22205	San Esteban de Litera	Viudos/as	83
22205	San Esteban de Litera	Separados/as	6
22205	San Esteban de Litera	Divorciados/as	7
22206	Sangarrén	Solteros/as	73
22206	Sangarrén	Casados/as	127
22206	Sangarrén	Viudos/as	32
22206	Sangarrén	Separados/as	3
22207	San Juan de Plan	Solteros/as	49
22207	San Juan de Plan	Casados/as	73
22207	San Juan de Plan	Viudos/as	16
22207	San Juan de Plan	Separados/as	3
22208	Santa Cilia	Solteros/as	57
22208	Santa Cilia	Casados/as	88
22208	Santa Cilia	Viudos/as	13
22208	Santa Cilia	Separados/as	4
22208	Santa Cilia	Divorciados/as	2
22209	Santa Cruz de la Serós	Solteros/as	46
22209	Santa Cruz de la Serós	Casados/as	65
22209	Santa Cruz de la Serós	Viudos/as	14
22209	Santa Cruz de la Serós	Separados/as	3
22212	Santaliestra y San Quílez	Solteros/as	25
22212	Santaliestra y San Quílez	Casados/as	69
22212	Santaliestra y San Quílez	Viudos/as	22
22212	Santaliestra y San Quílez	Separados/as	1
22213	Sariñena	Solteros/as	1007
22213	Sariñena	Casados/as	1947
22213	Sariñena	Viudos/as	310
22213	Sariñena	Separados/as	49
22213	Sariñena	Divorciados/as	20
22214	Secastilla	Solteros/as	38
22214	Secastilla	Casados/as	53
22214	Secastilla	Viudos/as	22
22215	Seira	Solteros/as	55
22215	Seira	Casados/as	105
22215	Seira	Viudos/as	18
22215	Seira	Separados/as	1
22215	Seira	Divorciados/as	2
22217	Sena	Solteros/as	147
22217	Sena	Casados/as	304
22217	Sena	Viudos/as	61
22217	Sena	Separados/as	3
22218	Senés de Alcubierre	Solteros/as	16
22218	Senés de Alcubierre	Casados/as	27
22218	Senés de Alcubierre	Viudos/as	3
22220	Sesa	Solteros/as	67
22220	Sesa	Casados/as	153
22220	Sesa	Viudos/as	20
22220	Sesa	Separados/as	1
22220	Sesa	Divorciados/as	1
22221	Sesué	Solteros/as	39
22221	Sesué	Casados/as	57
22221	Sesué	Viudos/as	8
22221	Sesué	Separados/as	2
22222	Siétamo	Solteros/as	125
22222	Siétamo	Casados/as	230
22222	Siétamo	Viudos/as	40
22222	Siétamo	Separados/as	4
