Municipio codigo	Municipio nombre	Grado, código	Grado	Sexo, código	Sexo	Personas
22008	Albalatillo	2	Analfabetos o sin estudios	1	Hombre	14,7922719135
22009	Albelda	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	104,4518029344
22009	Albelda	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	220,0521050188
22009	Albelda	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	24,1783303494
22009	Albelda	2	Analfabetos o sin estudios	1	Hombre	38,6927158076
22011	Albero Alto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	9,1746477085
22011	Albero Alto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	34,7853130159
22011	Albero Alto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	10,1825591296
22011	Albero Alto	2	Analfabetos o sin estudios	1	Hombre	8,0845941896
22012	Albero Bajo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	8,8276229091
22012	Albero Bajo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	30,8375203101
22012	Albero Bajo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	8,7844215236
22012	Albero Bajo	2	Analfabetos o sin estudios	1	Hombre	5,1808067168
22013	Alberuela de Tubo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	23,3307094423
22013	Alberuela de Tubo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	127,4305695628
22013	Alberuela de Tubo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2,7626671775
22013	Alberuela de Tubo	2	Analfabetos o sin estudios	1	Hombre	12,7664079797
22014	Alcalá de Gurrea	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	32,3215773334
22014	Alcalá de Gurrea	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	78,9745182973
22014	Alcalá de Gurrea	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	13,7267790355
22014	Alcalá de Gurrea	2	Analfabetos o sin estudios	1	Hombre	12,9771253342
22015	Alcalá del Obispo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	58,9769429502
22015	Alcalá del Obispo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	107,3500520961
22015	Alcalá del Obispo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	6,2551234473
22015	Alcalá del Obispo	2	Analfabetos o sin estudios	1	Hombre	9,2745901874
22016	Alcampell	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	100,9146858354
22016	Alcampell	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	198,1891701135
22016	Alcampell	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	30,4318173148
22016	Alcampell	2	Analfabetos o sin estudios	1	Hombre	16,212560428
22017	Alcolea de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	106,5952069111
22017	Alcolea de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	272,1140557974
22017	Alcolea de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	20,0618254916
22017	Alcolea de Cinca	2	Analfabetos o sin estudios	1	Hombre	111,9184591453
22018	Alcubierre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	50,917016946
22018	Alcubierre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	120,9540921313
22018	Alcubierre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	10,2109688624
22018	Alcubierre	2	Analfabetos o sin estudios	1	Hombre	23,2082762229
22019	Alerre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	13,4911534932
22019	Alerre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	52,9746527069
22019	Alerre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	29,0683252187
22019	Alerre	2	Analfabetos o sin estudios	1	Hombre	5,4658685815
22020	Alfántega	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	12,7967602208
22020	Alfántega	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	34,7445958783
22020	Alfántega	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2,0210837201
22020	Alfántega	2	Analfabetos o sin estudios	1	Hombre	8,3306975408
22021	Almudévar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	241,4689172921
22021	Almudévar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	629,5975381602
22021	Almudévar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	176,3917811556
22021	Almudévar	2	Analfabetos o sin estudios	1	Hombre	69,9386213986
22022	Almunia de San Juan	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	86,2947700929
22022	Almunia de San Juan	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	196,6118832048
22022	Almunia de San Juan	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	19,1616177788
22022	Almunia de San Juan	2	Analfabetos o sin estudios	1	Hombre	9,1195652229
22023	Almuniente	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	51,9201712173
22023	Almuniente	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	163,1726607102
22023	Almuniente	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	19,0340124978
22023	Almuniente	2	Analfabetos o sin estudios	1	Hombre	28,8731555752
22024	Alquézar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	30,4195398276
22024	Alquézar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	80,9819374906
22024	Alquézar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	27,1384029411
22024	Alquézar	2	Analfabetos o sin estudios	1	Hombre	4,341880809
22025	Altorricón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	191,4763429906
22025	Altorricón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	445,9161656101
22025	Altorricón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	16,6188256073
22025	Altorricón	2	Analfabetos o sin estudios	1	Hombre	53,0317967615
22027	Angüés	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	62,3262168481
22027	Angüés	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	68,4020163881
22027	Angüés	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	17,4297819985
22027	Angüés	2	Analfabetos o sin estudios	1	Hombre	12,19976775
22028	Ansó	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	18,9260651106
22028	Ansó	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	152,4366720915
22028	Ansó	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	26,7552044428
22028	Ansó	2	Analfabetos o sin estudios	1	Hombre	13,0763878702
22029	Antillón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	17,289636119
22029	Antillón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	40,6823235273
22029	Antillón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	6,8145297903
22029	Antillón	2	Analfabetos o sin estudios	1	Hombre	1,7659350916
22032	Aragüés del Puerto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	9,2177948511
22032	Aragüés del Puerto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	48,032612946
22032	Aragüés del Puerto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	6,6217712724
22032	Aragüés del Puerto	2	Analfabetos o sin estudios	1	Hombre	5,1817588675
22035	Arén	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	31,1441753999
22035	Arén	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	79,831035284
22035	Arén	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	14,3859618634
22035	Arén	2	Analfabetos o sin estudios	1	Hombre	28,9513466856
22036	Argavieso	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	23,6828395741
22036	Argavieso	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	32,4744232412
22036	Argavieso	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1,2963792649
22036	Argavieso	2	Analfabetos o sin estudios	1	Hombre	6,7869790574
22037	Arguis	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	13,8803742279
22037	Arguis	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	36,3673378607
22037	Arguis	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	19,0253081332
22037	Arguis	2	Analfabetos o sin estudios	1	Hombre	3,3369121475
22039	Ayerbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	128,5930231097
22039	Ayerbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	264,1365339658
22039	Ayerbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	60,0356827385
22039	Ayerbe	2	Analfabetos o sin estudios	1	Hombre	30,0184397407
22040	Azanuy-Alins	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	18,4550203722
22040	Azanuy-Alins	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	40,5131397146
22040	Azanuy-Alins	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	11,6275209218
22040	Azanuy-Alins	2	Analfabetos o sin estudios	1	Hombre	9,6450748527
22041	Azara	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	20,5327783236
22041	Azara	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	55,6486912491
22041	Azara	2	Analfabetos o sin estudios	1	Hombre	15,5408329248
22042	Azlor	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	11,0133692413
22042	Azlor	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	40,0044722671
22042	Azlor	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3,8795054827
22042	Azlor	2	Analfabetos o sin estudios	1	Hombre	3,0845697969
22043	Baells	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	15,6193797794
22043	Baells	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	40,8106470659
22043	Baells	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	6,9726601182
22043	Baells	2	Analfabetos o sin estudios	1	Hombre	7,8509737354
22044	Bailo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	28,0349074636
22044	Bailo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	112,0679111788
22044	Bailo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	17,8583810675
22044	Bailo	2	Analfabetos o sin estudios	1	Hombre	12,3149882035
22045	Baldellou	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	20,633324096
22045	Baldellou	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	27,8025752275
22045	Baldellou	2	Analfabetos o sin estudios	1	Hombre	5,5143352197
22046	Ballobar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	77,2441078358
22046	Ballobar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	259,1553221667
22046	Ballobar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	37,0402537851
22046	Ballobar	2	Analfabetos o sin estudios	1	Hombre	53,987164318
22047	Banastás	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	8,6436967808
22047	Banastás	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	75,4876898615
22047	Banastás	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	36,0223377195
22047	Banastás	2	Analfabetos o sin estudios	1	Hombre	1,1116069484
22048	Barbastro	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1078,4260064761
22048	Barbastro	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4451,7536952737
22048	Barbastro	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	824,9895778803
22048	Barbastro	2	Analfabetos o sin estudios	1	Hombre	535,9091879855
22049	Barbués	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	15,5686267122
22049	Barbués	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	26,9889707981
22049	Barbués	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3,2851218571
22049	Barbués	2	Analfabetos o sin estudios	1	Hombre	1,1799613032
22050	Barbuñales	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	6,1225773519
22050	Barbuñales	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	37,4115356126
22050	Barbuñales	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4,6812613274
22050	Barbuñales	2	Analfabetos o sin estudios	1	Hombre	2,7533986867
22051	Bárcabo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	12,8641123864
22051	Bárcabo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	37,6975407428
22051	Bárcabo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	7,8091874486
22051	Bárcabo	2	Analfabetos o sin estudios	1	Hombre	10,1076688028
22052	Belver de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	165,797682145
22052	Belver de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	359,4958318368
22052	Belver de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	36,660726379
22052	Belver de Cinca	2	Analfabetos o sin estudios	1	Hombre	82,409072447
22053	Benabarre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	114,3471256981
22053	Benabarre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	285,5300634883
22053	Benabarre	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	47,5312677447
22053	Benabarre	2	Analfabetos o sin estudios	1	Hombre	62,7013415599
22054	Benasque	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	75,5669892646
22054	Benasque	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	744,2582138331
22054	Benasque	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	157,3653685846
22054	Benasque	2	Analfabetos o sin estudios	1	Hombre	23,6071548375
22055	Berbegal	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	53,3837836093
22055	Berbegal	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	102,3490356977
22055	Berbegal	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	28,6559691112
22055	Berbegal	2	Analfabetos o sin estudios	1	Hombre	9,8953787014
22057	Bielsa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	23,7575912712
22057	Bielsa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	138,4489988217
22057	Bielsa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	32,5098892996
22057	Bielsa	2	Analfabetos o sin estudios	1	Hombre	29,5496442538
22058	Bierge	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	33,9380179507
22058	Bierge	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	57,31698572
22058	Bierge	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	25,1002599584
22058	Bierge	2	Analfabetos o sin estudios	1	Hombre	13,0902160348
22059	Biescas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	129,5548475112
22059	Biescas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	445,5709176719
22059	Biescas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	129,3661669428
22059	Biescas	2	Analfabetos o sin estudios	1	Hombre	8,7929061898
22060	Binaced	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	132,4437197907
22060	Binaced	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	452,9117063596
22060	Binaced	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	37,3860909777
22060	Binaced	2	Analfabetos o sin estudios	1	Hombre	78,15989268
22061	Binéfar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	714,3973037827
22061	Binéfar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2548,1133078181
22061	Binéfar	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	376,5708497857
22061	Binéfar	2	Analfabetos o sin estudios	1	Hombre	403,8032877646
22062	Bisaurri	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	15,547171836
22062	Bisaurri	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	89,4528281645
22063	Biscarrués	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	18,7583615064
22063	Biscarrués	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	78,1127818742
22063	Biscarrués	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	14,1730678345
22063	Biscarrués	2	Analfabetos o sin estudios	1	Hombre	0,7949614491
22064	Blecua y Torres	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	24,2408619701
22064	Blecua y Torres	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	58,4733659627
22064	Blecua y Torres	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	19,9445263773
22064	Blecua y Torres	2	Analfabetos o sin estudios	1	Hombre	2,8172054471
22066	Boltaña	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	77,9492046942
22066	Boltaña	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	295,1219559534
22066	Boltaña	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	75,4675371812
22066	Boltaña	2	Analfabetos o sin estudios	1	Hombre	22,6278080279
22067	Bonansa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2,5557669856
22067	Bonansa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	36,053207605
22067	Bonansa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	9,8024986646
22068	Borau	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	8,2627368333
22068	Borau	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	33,3914057963
22068	Borau	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1,4661643298
22069	Broto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	52,5985504275
22069	Broto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	154,3783734856
22069	Broto	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	15,2122166448
22069	Broto	2	Analfabetos o sin estudios	1	Hombre	12,8380516365
22072	Caldearenas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	28,8849824746
22072	Caldearenas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	65,8795009359
22072	Caldearenas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	17,2766209485
22072	Caldearenas	2	Analfabetos o sin estudios	1	Hombre	11,4842749256
