Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22037	Arguis	2017	Secano	6274	294	239	55	0	1450	0	36	1414	4323	3718	92	513	207	0	44	89	74
22039	Ayerbe	2017	Regadío	685	684	534	101	49	0	0	0	0	1	1	0	0	0	0	0	0	0
22039	Ayerbe	2017	Secano	5581	2409	1713	383	313	1711	0	17	1694	1126	800	66	260	335	0	60	211	64
22040	Azanuy-Alins	2017	Regadío	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22040	Azanuy-Alins	2017	Secano	5095	2781	2100	475	206	742	0	5	737	1385	317	604	464	187	0	11	120	56
22041	Azara	2017	Regadío	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22041	Azara	2017	Secano	1453	952	695	95	162	78	0	1	77	352	111	209	32	71	0	6	55	10
22042	Azlor	2017	Regadío	13	13	1	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0
22042	Azlor	2017	Secano	1578	944	581	102	261	78	0	2	76	494	150	262	82	62	0	14	36	12
22043	Baells	2017	Regadío	29	29	20	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
22043	Baells	2017	Secano	3968	1627	1229	258	140	706	0	6	700	1536	1204	259	73	99	0	19	73	7
22044	Bailo	2017	Regadío	93	93	81	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0
22044	Bailo	2017	Secano	16257	2559	2168	384	7	57	57	0	0	13125	6972	1536	4617	516	0	59	195	262
22045	Baldellou	2017	Regadío	71	71	53	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22045	Baldellou	2017	Secano	3003	673	270	262	141	283	0	4	279	1749	1492	231	26	298	0	45	37	216
22046	Ballobar	2017	Regadío	773	773	364	112	297	0	0	0	0	0	0	0	0	0	0	0	0	0
22046	Ballobar	2017	Secano	12022	7796	3632	4000	164	2996	0	271	2725	465	455	10	0	765	0	98	561	106
22047	Banastás	2017	Regadío	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22047	Banastás	2017	Secano	467	386	379	1	6	0	0	0	0	38	32	0	6	43	0	3	24	16
22048	Barbastro	2017	Regadío	3360	3349	1534	787	1028	0	0	0	0	11	11	0	0	0	0	0	0	0
22048	Barbastro	2017	Secano	7426	2951	1262	512	1177	865	0	23	842	1984	342	761	881	1626	0	228	932	466
22049	Barbués	2017	Regadío	1684	1684	1444	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22049	Barbués	2017	Secano	280	14	11	3	0	62	0	2	60	64	0	0	64	140	0	33	58	49
22050	Barbuñales	2017	Regadío	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22050	Barbuñales	2017	Secano	1895	1089	905	128	56	77	0	5	72	657	408	167	82	72	0	7	38	27
22051	Bárcabo	2017	Regadío	8	8	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22051	Bárcabo	2017	Secano	8780	923	474	377	72	1835	0	24	1811	5819	5315	235	269	203	0	13	102	88
22052	Belver de Cinca	2017	Regadío	6172	6150	3532	771	1847	0	0	0	0	22	22	0	0	0	0	0	0	0
22052	Belver de Cinca	2017	Secano	2096	373	85	257	31	885	0	358	527	134	128	6	0	704	0	155	219	330
22053	Benabarre	2017	Regadío	26	26	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22053	Benabarre	2017	Secano	15768	4852	3835	864	153	46	46	0	0	10221	5934	3454	833	649	0	139	327	183
22054	Benasque	2017	Regadío	12	12	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22054	Benasque	2017	Secano	23306	136	69	67	0	2590	2590	0	0	10797	4894	2012	3891	9783	0	9114	275	394
22055	Berbegal	2017	Regadío	1343	1343	1231	89	23	0	0	0	0	0	0	0	0	0	0	0	0	0
22055	Berbegal	2017	Secano	3560	2696	2206	376	114	154	0	20	134	434	14	114	306	276	0	42	123	111
22057	Bielsa	2017	Regadío	24	24	17	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22057	Bielsa	2017	Secano	19579	109	103	6	0	447	447	0	0	13625	6890	895	5840	5398	0	4485	107	806
22058	Bierge	2017	Regadío	27	27	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22058	Bierge	2017	Secano	14593	1614	801	519	294	5349	0	82	5267	7356	4485	2372	499	274	0	19	141	114
22059	Biescas	2017	Regadío	265	262	212	50	0	1	1	0	0	2	2	0	0	0	0	0	0	0
22059	Biescas	2017	Secano	18375	411	234	177	0	842	842	0	0	15345	9148	1391	4806	1777	0	1206	261	310
22060	Binaced	2017	Regadío	4494	4482	3010	344	1128	0	0	0	0	12	12	0	0	0	0	0	0	0
22060	Binaced	2017	Secano	3354	646	217	356	73	492	0	21	471	561	37	12	512	1655	0	176	181	1298
22061	Binéfar	2017	Regadío	1670	1669	1366	253	50	0	0	0	0	1	1	0	0	0	0	0	0	0
22061	Binéfar	2017	Secano	806	74	53	15	6	53	0	6	47	132	12	37	83	547	0	210	286	51
22062	Bisaurri	2017	Regadío	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22062	Bisaurri	2017	Secano	6473	503	449	54	0	365	365	0	0	5336	3250	240	1846	269	0	138	90	41
22063	Biscarrués	2017	Regadío	145	145	126	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0
22063	Biscarrués	2017	Secano	2944	1483	1203	162	118	650	0	3	647	596	469	57	70	215	0	31	77	107
22064	Blecua y Torres	2017	Regadío	6	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22064	Blecua y Torres	2017	Secano	3593	2653	2388	176	89	378	0	1	377	417	2	114	301	145	0	21	82	42
22066	Boltaña	2017	Regadío	118	114	96	18	0	4	4	0	0	0	0	0	0	0	0	0	0	0
22066	Boltaña	2017	Secano	13976	335	263	71	1	253	253	0	0	12974	7553	1759	3662	414	0	40	198	176
22067	Bonansa	2017	Regadío	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22067	Bonansa	2017	Secano	3677	265	215	50	0	103	103	0	0	3204	1956	358	890	105	0	15	52	38
22068	Borau	2017	Regadío	15	15	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22068	Borau	2017	Secano	4128	63	37	26	0	20	20	0	0	3724	1710	873	1141	321	0	230	29	62
22069	Broto	2017	Regadío	28	11	4	7	0	17	17	0	0	0	0	0	0	0	0	0	0	0
22069	Broto	2017	Secano	12640	24	23	1	0	446	446	0	0	11729	7759	941	3029	441	0	32	100	309
22072	Caldearenas	2017	Regadío	43	43	17	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22072	Caldearenas	2017	Secano	19287	1466	955	509	2	44	44	0	0	17093	13029	1357	2707	684	0	83	285	316
22074	Campo	2017	Regadío	31	31	20	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
