Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción
2008	22	Huesca	37	74	Otras actividades empresariales
2004	44	Teruel	37	75	Administración pública, defensa y seguridad social obligatoria
2005	22	Huesca	36	15	Industria de productos alimenticios y bebidas
2008	22	Huesca	35	15	Industria de productos alimenticios y bebidas
2007	44	Teruel	35	75	Administración pública, defensa y seguridad social obligatoria
2006	22	Huesca	34	74	Otras actividades empresariales
2005	22	Huesca	34	74	Otras actividades empresariales
2005	44	Teruel	33	85	Actividades sanitarias y veterinarias, servicio social
2004	44	Teruel	33	85	Actividades sanitarias y veterinarias, servicio social
2007	22	Huesca	32	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2004	22	Huesca	30	15	Industria de productos alimenticios y bebidas
2007	22	Huesca	29	74	Otras actividades empresariales
2007	44	Teruel	29	26	Fabricación de otros productos minerales no metálicos
2003	44	Teruel	29	85	Actividades sanitarias y veterinarias, servicio social
2007	22	Huesca	28	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2007	44	Teruel	28	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2006	22	Huesca	28	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2003	44	Teruel	28	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2008	44	Teruel	27	26	Fabricación de otros productos minerales no metálicos
2006	44	Teruel	27	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2005	22	Huesca	27	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2005	22	Huesca	27	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2004	44	Teruel	27	55	Hostelería
2003	22	Huesca	25	15	Industria de productos alimenticios y bebidas
2003	22	Huesca	24	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2003	44	Teruel	24	15	Industria de productos alimenticios y bebidas
2008	22	Huesca	23	80	Educación
2008	22	Huesca	21	92	Actividades recreativas, culturales y deportivas
2006	22	Huesca	21	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2008	22	Huesca	20	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2006	44	Teruel	20	26	Fabricación de otros productos minerales no metálicos
2003	22	Huesca	20	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2008	44	Teruel	19	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2008	44	Teruel	19	74	Otras actividades empresariales
2007	44	Teruel	19	74	Otras actividades empresariales
2006	44	Teruel	19	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2004	22	Huesca	19	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2004	22	Huesca	19	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2007	44	Teruel	18	45	Construcción
2004	44	Teruel	18	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2007	22	Huesca	17	45	Construcción
2007	22	Huesca	17	92	Actividades recreativas, culturales y deportivas
2003	22	Huesca	17	93	Actividades diversas de servicios personales
2003	44	Teruel	17	26	Fabricación de otros productos minerales no metálicos
2003	44	Teruel	17	74	Otras actividades empresariales
2006	22	Huesca	16	80	Educación
2008	44	Teruel	15	34	Fabricación de vehículos de motor, remolques y semirremolques
2008	44	Teruel	15	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2004	44	Teruel	15	74	Otras actividades empresariales
2003	22	Huesca	15	45	Construcción
2006	44	Teruel	14	31	Fabricación de maquinaria y material eléctrico
2006	44	Teruel	14	74	Otras actividades empresariales
2005	22	Huesca	14	60	Transporte terrestre; transporte por tuberías
2005	44	Teruel	14	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2006	22	Huesca	13	25	Fabricacion de productos de caucho y materias plasticas
2005	22	Huesca	13	92	Actividades recreativas, culturales y deportivas
2005	22	Huesca	13	93	Actividades diversas de servicios personales
2005	44	Teruel	13	26	Fabricación de otros productos minerales no metálicos
2004	22	Huesca	13	60	Transporte terrestre; transporte por tuberías
2003	44	Teruel	13	34	Fabricación de vehículos de motor, remolques y semirremolques
2007	44	Teruel	12	64	Correos y telecomunicaciones
2006	44	Teruel	12	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2005	44	Teruel	12	34	Fabricación de vehículos de motor, remolques y semirremolques
2004	22	Huesca	12	24	Industria química
2004	44	Teruel	11	26	Fabricación de otros productos minerales no metálicos
2003	44	Teruel	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2005	44	Teruel	10	31	Fabricación de maquinaria y material eléctrico
2005	44	Teruel	10	45	Construcción
2005	44	Teruel	10	74	Otras actividades empresariales
2004	44	Teruel	10	31	Fabricación de maquinaria y material eléctrico
2003	44	Teruel	8	31	Fabricación de maquinaria y material eléctrico
2003	44	Teruel	8	64	Correos y telecomunicaciones
2004	44	Teruel	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2004	44	Teruel	7	80	Educación
