Mes y año	Mes (código)	Mes nombre	Año	Sexo	Provincia código	Provincia nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	2197
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	1711
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Interinidad	Interinidad	103
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Temporal	Interinidad	Interinidad	375
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Discapacitados	Temp. Minusv	4
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Temporal	Discapacitados	Temp. Minusv	2
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Ligados a la jubilación	Jubilación parcial	4
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Ligados a la jubilación	Relevo	1
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Temporal	Ligados a la jubilación	Relevo	1
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Ligados a la formación	Formación	1
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Ligados a la formación	Prácticas	8
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Temporal	Ligados a la formación	Prácticas	6
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Otros	Otros	3
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Otros	Temp. Inserción	2
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Temporal	Otros	Otros	1
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Indefinido	Indefinido	Indef. Fomento	149
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Indefinido	Indefinido	Indef. Ordinario	133
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Indefinido	Indefinido	Indef. Fomento	64
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Indefinido	Indefinido	Indef. Ordinario	91
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Indefinido	Discapacitados	Minusválidos	1
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Indefinido	Discapacitados	Minusválidos	2
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Temporal	Obra o servicio	Obra o servicio	395
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Temporal	Obra o servicio	Obra o servicio	268
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Temporal	Eventual por circunstancias de la producción	Eventual producción	1218
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Temporal	Eventual por circunstancias de la producción	Eventual producción	804
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Temporal	Interinidad	Interinidad	80
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Temporal	Interinidad	Interinidad	207
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Temporal	Ligados a la jubilación	Jubilación parcial	2
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Temporal	Ligados a la jubilación	Relevo	1
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Temporal	Ligados a la jubilación	Jubilación parcial	1
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Temporal	Ligados a la jubilación	Relevo	4
Enero 2020	202001	Enero	2020	Hombres	44	Teruel	Temporal	Ligados a la formación	Prácticas	6
Enero 2020	202001	Enero	2020	Mujeres	44	Teruel	Temporal	Ligados a la formación	Prácticas	2
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Indefinido	Indefinido	Indef. Fomento	872
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Indefinido	Indefinido	Indef. Ordinario	1037
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Indefinido	Indefinido	Indef. Fomento	686
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Indefinido	Indefinido	Indef. Ordinario	824
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Indefinido	Discapacitados	Minusválidos	14
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Indefinido	Discapacitados	Minusválidos	10
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Obra o servicio	Obra o servicio	6262
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Obra o servicio	Obra o servicio	3898
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Eventual por circunstancias de la producción	Eventual producción	9767
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Eventual por circunstancias de la producción	Eventual producción	8631
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Interinidad	Interinidad	590
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Interinidad	Interinidad	2522
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Discapacitados	Temp. Minusv	19
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Discapacitados	Temp. Minusv	20
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la jubilación	Jubilación parcial	27
