Año	Población	Comarca código	Comarca nombre
2004	685873	17	D.C. Zaragoza
2004	9230	18	Ribera Baja del Ebro
2004	12895	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004	40564	20	Comunidad de Calatayud
2004	10719	21	Campo de Cariñena
2004	5281	22	Campo de Belchite
2004	7274	23	Bajo Martín
2004	6439	24	Campo de Daroca
2004	13761	25	Jiloca
2004	9406	26	Cuencas Mineras
2004	11139	27	Andorra-Sierra de Arcos
2004	28137	28	Bajo Aragón
2004	44141	29	Comunidad de Teruel
2004	3749	30	Maestrazgo
2004	4921	31	Sierra de Albarracín
2004	8144	32	Gúdar-Javalambre
2004	8661	33	Matarraña / Matarranya
2005	17930	01	La Jacetania
2005	13121	02	Alto Gállego
2005	7151	03	Sobrarbe
2005	12705	04	La Ribagorza
2005	33361	05	Cinco Villas
2005	63434	06	Hoya de Huesca / Plana de Uesca
2005	23411	07	Somontano de Barbastro
2005	22936	08	Cinca Medio
2005	18798	09	La Litera / La Llitera
2005	20829	10	Los Monegros
2005	23446	11	Bajo Cinca / Baix Cinca
2005	14467	12	Tarazona y el Moncayo
2005	14460	13	Campo de Borja
2005	7833	14	Aranda
2005	24354	15	Ribera Alta del Ebro
2005	26084	16	Valdejalón
2005	697532	17	D.C. Zaragoza
2005	9223	18	Ribera Baja del Ebro
2005	13241	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	41027	20	Comunidad de Calatayud
2005	10861	21	Campo de Cariñena
2005	5221	22	Campo de Belchite
2005	7276	23	Bajo Martín
2005	6511	24	Campo de Daroca
2005	13940	25	Jiloca
2005	9450	26	Cuencas Mineras
2005	11158	27	Andorra-Sierra de Arcos
2005	28722	28	Bajo Aragón
2005	44806	29	Comunidad de Teruel
2005	3739	30	Maestrazgo
2005	4872	31	Sierra de Albarracín
2005	8398	32	Gúdar-Javalambre
2005	8730	33	Matarraña / Matarranya
2006	18166	01	La Jacetania
2006	13457	02	Alto Gállego
2006	7293	03	Sobrarbe
2006	12811	04	La Ribagorza
2006	33154	05	Cinco Villas
2006	64531	06	Hoya de Huesca / Plana de Uesca
2006	23464	07	Somontano de Barbastro
2006	23072	08	Cinca Medio
2006	18847	09	La Litera / La Llitera
2006	20896	10	Los Monegros
2006	23366	11	Bajo Cinca / Baix Cinca
2006	14575	12	Tarazona y el Moncayo
2006	14524	13	Campo de Borja
2006	7681	14	Aranda
2006	24875	15	Ribera Alta del Ebro
2006	26437	16	Valdejalón
2006	702662	17	D.C. Zaragoza
2006	9197	18	Ribera Baja del Ebro
2006	13606	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	40327	20	Comunidad de Calatayud
2006	10580	21	Campo de Cariñena
2006	5196	22	Campo de Belchite
2006	7252	23	Bajo Martín
2006	6594	24	Campo de Daroca
2006	13972	25	Jiloca
2006	9476	26	Cuencas Mineras
2006	11123	27	Andorra-Sierra de Arcos
2006	29128	28	Bajo Aragón
2006	45313	29	Comunidad de Teruel
2006	3737	30	Maestrazgo
2006	4912	31	Sierra de Albarracín
2006	8574	32	Gúdar-Javalambre
2006	8673	33	Matarraña / Matarranya
2007	18144	01	La Jacetania
2007	13955	02	Alto Gállego
2007	7483	03	Sobrarbe
2007	12953	04	La Ribagorza
2007	33196	05	Cinco Villas
2007	65266	06	Hoya de Huesca / Plana de Uesca
2007	23613	07	Somontano de Barbastro
2007	23084	08	Cinca Medio
2007	18867	09	La Litera / La Llitera
2007	20947	10	Los Monegros
2007	23645	11	Bajo Cinca / Baix Cinca
2007	14690	12	Tarazona y el Moncayo
2007	14914	13	Campo de Borja
2007	7627	14	Aranda
2007	25745	15	Ribera Alta del Ebro
2007	27423	16	Valdejalón
2007	714604	17	D.C. Zaragoza
2007	9155	18	Ribera Baja del Ebro
2007	13575	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	41356	20	Comunidad de Calatayud
2007	10606	21	Campo de Cariñena
2007	5222	22	Campo de Belchite
2007	7427	23	Bajo Martín
2007	6539	24	Campo de Daroca
2007	14253	25	Jiloca
2007	9496	26	Cuencas Mineras
2007	11312	27	Andorra-Sierra de Arcos
2007	29358	28	Bajo Aragón
2007	45953	29	Comunidad de Teruel
2007	3735	30	Maestrazgo
2007	5041	31	Sierra de Albarracín
2007	8674	32	Gúdar-Javalambre
2007	8797	33	Matarraña / Matarranya
2008	18511	01	La Jacetania
2008	14570	02	Alto Gállego
2008	7732	03	Sobrarbe
2008	13276	04	La Ribagorza
2008	33584	05	Cinco Villas
2008	66793	06	Hoya de Huesca / Plana de Uesca
2008	24090	07	Somontano de Barbastro
2008	23720	08	Cinca Medio
2008	19166	09	La Litera / La Llitera
2008	21238	10	Los Monegros
2008	24092	11	Bajo Cinca / Baix Cinca
2008	14747	12	Tarazona y el Moncayo
2008	15427	13	Campo de Borja
2008	7631	14	Aranda
2008	26952	15	Ribera Alta del Ebro
2008	29429	16	Valdejalón
2008	731315	17	D.C. Zaragoza
2008	9240	18	Ribera Baja del Ebro
2008	13940	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008	42379	20	Comunidad de Calatayud
2008	10987	21	Campo de Cariñena
2008	5282	22	Campo de Belchite
2008	7311	23	Bajo Martín
2008	6493	24	Campo de Daroca
2008	14589	25	Jiloca
2008	9386	26	Cuencas Mineras
2008	11542	27	Andorra-Sierra de Arcos
2008	30146	28	Bajo Aragón
2008	46961	29	Comunidad de Teruel
2008	3789	30	Maestrazgo
2008	5014	31	Sierra de Albarracín
2008	8692	32	Gúdar-Javalambre
2008	8894	33	Matarraña / Matarranya
2009	18703	01	La Jacetania
2009	14916	02	Alto Gállego
2009	7764	03	Sobrarbe
2009	13332	04	La Ribagorza
2009	33580	05	Cinco Villas
2009	67992	06	Hoya de Huesca / Plana de Uesca
2009	24381	07	Somontano de Barbastro
2009	24007	08	Cinca Medio
2009	19291	09	La Litera / La Llitera
2009	21230	10	Los Monegros
2009	24663	11	Bajo Cinca / Baix Cinca
2009	14825	12	Tarazona y el Moncayo
2009	15621	13	Campo de Borja
2009	7696	14	Aranda
2009	27810	15	Ribera Alta del Ebro
2009	30380	16	Valdejalón
2009	743280	17	D.C. Zaragoza
2009	9333	18	Ribera Baja del Ebro
2009	14775	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2009	42319	20	Comunidad de Calatayud
2009	11214	21	Campo de Cariñena
2009	5288	22	Campo de Belchite
2009	7225	23	Bajo Martín
2009	6322	24	Campo de Daroca
2009	14442	25	Jiloca
2009	9269	26	Cuencas Mineras
2009	11601	27	Andorra-Sierra de Arcos
2009	30370	28	Bajo Aragón
2009	47361	29	Comunidad de Teruel
2009	3780	30	Maestrazgo
2009	4968	31	Sierra de Albarracín
2009	8792	32	Gúdar-Javalambre
2009	8943	33	Matarraña / Matarranya
2010	18664	01	La Jacetania
2010	14921	02	Alto Gállego
2010	7718	03	Sobrarbe
2010	13473	04	La Ribagorza
2010	33331	05	Cinco Villas
2010	68428	06	Hoya de Huesca / Plana de Uesca
2010	24410	07	Somontano de Barbastro
2010	24051	08	Cinca Medio
2010	19161	09	La Litera / La Llitera
2010	20942	10	Los Monegros
2010	24670	11	Bajo Cinca / Baix Cinca
2010	14730	12	Tarazona y el Moncayo
2010	15517	13	Campo de Borja
2010	7617	14	Aranda
2010	27827	15	Ribera Alta del Ebro
2010	30533	16	Valdejalón
2010	746719	17	D.C. Zaragoza
2010	9452	18	Ribera Baja del Ebro
2010	15016	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	42013	20	Comunidad de Calatayud
2010	11173	21	Campo de Cariñena
2010	5260	22	Campo de Belchite
2010	7135	23	Bajo Martín
2010	6192	24	Campo de Daroca
2010	14142	25	Jiloca
2010	9094	26	Cuencas Mineras
2010	11523	27	Andorra-Sierra de Arcos
2010	30311	28	Bajo Aragón
2010	46957	29	Comunidad de Teruel
2010	3682	30	Maestrazgo
2010	4930	31	Sierra de Albarracín
2010	8610	32	Gúdar-Javalambre
2010	8893	33	Matarraña / Matarranya
2011	18709	01	La Jacetania
2011	14820	02	Alto Gállego
2011	7790	03	Sobrarbe
2011	13395	04	La Ribagorza
2011	33150	05	Cinco Villas
2011	68484	06	Hoya de Huesca / Plana de Uesca
2011	24304	07	Somontano de Barbastro
2011	24128	08	Cinca Medio
2011	19135	09	La Litera / La Llitera
2011	20839	10	Los Monegros
2011	24609	11	Bajo Cinca / Baix Cinca
2011	14765	12	Tarazona y el Moncayo
2011	15446	13	Campo de Borja
2011	7501	14	Aranda
2011	27775	15	Ribera Alta del Ebro
2011	30018	16	Valdejalón
2011	748360	17	D.C. Zaragoza
2011	9412	18	Ribera Baja del Ebro
2011	15077	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2011	41013	20	Comunidad de Calatayud
2011	11350	21	Campo de Cariñena
2011	5284	22	Campo de Belchite
2011	7057	23	Bajo Martín
2011	6322	24	Campo de Daroca
2011	13937	25	Jiloca
2011	9043	26	Cuencas Mineras
2011	11450	27	Andorra-Sierra de Arcos
2011	30341	28	Bajo Aragón
2011	46848	29	Comunidad de Teruel
2011	3670	30	Maestrazgo
2011	4981	31	Sierra de Albarracín
2011	8475	32	Gúdar-Javalambre
2011	8805	33	Matarraña / Matarranya
2012	18537	01	La Jacetania
2012	14641	02	Alto Gállego
2012	7812	03	Sobrarbe
2012	13182	04	La Ribagorza
2012	32661	05	Cinco Villas
2012	68186	06	Hoya de Huesca / Plana de Uesca
2012	24428	07	Somontano de Barbastro
2012	24145	08	Cinca Medio
2012	18961	09	La Litera / La Llitera
2012	20633	10	Los Monegros
2012	24828	11	Bajo Cinca / Baix Cinca
2012	14666	12	Tarazona y el Moncayo
2012	15371	13	Campo de Borja
2012	7412	14	Aranda
2012	27913	15	Ribera Alta del Ebro
2012	29730	16	Valdejalón
2012	754880	17	D.C. Zaragoza
2012	9349	18	Ribera Baja del Ebro
2012	15039	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2012	40899	20	Comunidad de Calatayud
2012	11059	21	Campo de Cariñena
2012	5188	22	Campo de Belchite
2012	6942	23	Bajo Martín
2012	6219	24	Campo de Daroca
2012	13697	25	Jiloca
2012	8894	26	Cuencas Mineras
2012	11299	27	Andorra-Sierra de Arcos
2012	30080	28	Bajo Aragón
2012	47223	29	Comunidad de Teruel
2012	3602	30	Maestrazgo
2012	4930	31	Sierra de Albarracín
2012	8328	32	Gúdar-Javalambre
2012	8733	33	Matarraña / Matarranya
2013	18421	01	La Jacetania
2013	14447	02	Alto Gállego
2013	7721	03	Sobrarbe
2013	12942	04	La Ribagorza
2013	32074	05	Cinco Villas
2013	68280	06	Hoya de Huesca / Plana de Uesca
2013	24111	07	Somontano de Barbastro
2013	24216	08	Cinca Medio
2013	18814	09	La Litera / La Llitera
2013	20172	10	Los Monegros
2013	24800	11	Bajo Cinca / Baix Cinca
2013	14471	12	Tarazona y el Moncayo
2013	14971	13	Campo de Borja
2013	7268	14	Aranda
2013	27765	15	Ribera Alta del Ebro
2013	29529	16	Valdejalón
2013	758380	17	D.C. Zaragoza
2013	9223	18	Ribera Baja del Ebro
2013	15008	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	40333	20	Comunidad de Calatayud
2013	10802	21	Campo de Cariñena
2013	5093	22	Campo de Belchite
2013	6768	23	Bajo Martín
2013	6126	24	Campo de Daroca
2013	13435	25	Jiloca
2013	8835	26	Cuencas Mineras
2013	11113	27	Andorra-Sierra de Arcos
2013	29875	28	Bajo Aragón
2013	47185	29	Comunidad de Teruel
2013	3464	30	Maestrazgo
2013	4783	31	Sierra de Albarracín
2013	8095	32	Gúdar-Javalambre
2013	8630	33	Matarraña / Matarranya
2014	18235	01	La Jacetania
2014	14139	02	Alto Gállego
2014	7926	03	Sobrarbe
2014	12624	04	La Ribagorza
2014	31442	05	Cinco Villas
2014	68286	06	Hoya de Huesca / Plana de Uesca
2014	24086	07	Somontano de Barbastro
2014	24019	08	Cinca Medio
2014	18696	09	La Litera / La Llitera
2014	19826	10	Los Monegros
2014	24817	11	Bajo Cinca / Baix Cinca
2014	14405	12	Tarazona y el Moncayo
2014	14600	13	Campo de Borja
2014	7168	14	Aranda
2014	27379	15	Ribera Alta del Ebro
2014	29179	16	Valdejalón
2014	743147	17	D.C. Zaragoza
2014	9102	18	Ribera Baja del Ebro
2014	14994	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	39587	20	Comunidad de Calatayud
2014	10663	21	Campo de Cariñena
2014	4967	22	Campo de Belchite
2014	6689	23	Bajo Martín
2014	6026	24	Campo de Daroca
2014	13205	25	Jiloca
2014	8701	26	Cuencas Mineras
2014	10906	27	Andorra-Sierra de Arcos
2014	29640	28	Bajo Aragón
2014	46724	29	Comunidad de Teruel
