Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Año
2009	44	Teruel	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	171
2009	44	Teruel	17	Industria del papel	10
2009	44	Teruel	18	Artes gráficas y reproducción de soportes grabados	57
2009	44	Teruel	20	Industria química	21
2009	44	Teruel	21	Fabricación de productos farmacéuticos	1
2009	44	Teruel	22	Fabricación de productos de caucho y plásticos	8
2009	44	Teruel	23	Fabricación de otros productos minerales no metálicos	130
2009	44	Teruel	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	7
2009	44	Teruel	25	Fabricación de productos metálicos, excepto maquinaria y equipo	235
2009	44	Teruel	26	Fabricación de productos informáticos, electrónicos y ópticos	3
2009	44	Teruel	27	Fabricación de material y equipo eléctrico	8
2009	44	Teruel	28	Fabricación de maquinaria y equipo n.c.o.p.	40
2009	44	Teruel	29	Fabricación de vehículos de motor, remolques y semirremolques	22
2009	44	Teruel	30	Fabricación de otro material de transporte	2
2009	44	Teruel	31	Fabricación de muebles	70
2009	44	Teruel	32	Otras industrias manufactureras	19
2009	44	Teruel	33	Reparación e instalación de maquinaria y equipo	36
2009	44	Teruel	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	344
2009	44	Teruel	36	Captación, depuración y distribución de agua	10
2009	44	Teruel	37	Recogida y tratamiento de aguas residuales	21
2009	44	Teruel	38	Recogida, tratamiento y eliminación de residuos; valorización	19
2009	44	Teruel	39	Actividades de descontaminación y otros servicios de gestión de residuos	18
2009	44	Teruel	41	Construcción de edificios	1430
2009	44	Teruel	42	Ingeniería civil	164
2009	44	Teruel	43	Actividades de construcción especializada	2342
2009	44	Teruel	45	Venta y reparación de vehículos de motor y motocicletas	515
2009	44	Teruel	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	725
2009	44	Teruel	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	3405
2009	44	Teruel	49	Transporte terrestre y por tubería	844
2009	44	Teruel	52	Almacenamiento y actividades anexas al transporte	60
2009	44	Teruel	53	Actividades postales y de correos	18
2009	44	Teruel	55	Servicios de alojamiento	456
2009	44	Teruel	56	Servicios de comidas y bebidas	1627
2009	44	Teruel	58	Edición	33
