Año	Municipio código	Municipio nombre	Depuradoras	Habitantes equivalentes	Colectores
2016	22084	Castejón de Sos	1	3000	0
2016	22085	Castelflorite	0		0
2016	22086	Castiello de Jaca	0		0
2016	22087	Castigaleu	0		0
2016	22088	Castillazuelo	0		0
2016	22089	Castillonroy	0		0
2016	22090	Colungo	0		0
2016	22094	Chalamera	0		0
2016	22095	Chía	0		0
2016	22096	Chimillas	0		0
2016	22099	Esplús	1	1200	0
2016	22102	Estada	0		0
2016	22103	Estadilla	1	1750	0
2016	22105	Estopiñán del Castillo	1	800	0
2016	22106	Fago	0		0
2016	22107	Fanlo	0		0
2016	22109	Fiscal	0		0
2016	22110	Fonz	1	2000	0
2016	22111	Foradada del Toscar	0		0
2016	22112	Fraga	1	11308	0
2016	22113	Fueva (La)	0		0
2016	22114	Gistaín	0		0
2016	22115	Grado (El)	1	1500	0
2016	22116	Grañén	1	4000	0
2016	22117	Graus	1	7200	0
2016	22119	Gurrea de Gállego	1	2200	0
2016	22122	Hoz de Jaca	1	400	0
2016	22124	Huerto	0		0
2016	22125	Huesca	1	130000	0
2016	22126	Ibieca	0		0
2016	22127	Igriés	0		0
2016	22128	Ilche	0		0
2016	22129	Isábena	0		0
2016	22130	Jaca	5	57040	0
2016	22131	Jasa	0		0
2016	22133	Labuerda	0		0
2016	22135	Laluenga	0		0
2016	22136	Lalueza	1	1000	0
2016	22137	Lanaja	1	1625	0
2016	22139	Laperdiguera	0		0
2016	22141	Lascellas-Ponzano	0		0
2016	22142	Lascuarre	1	529	0
2016	22143	Laspaúles	0		0
2016	22144	Laspuña	0		0
2016	22149	Loarre	0		0
2016	22150	Loporzano	0		0
2016	22151	Loscorrales	0		0
2016	22155	Monesma y Cajigar	0		0
2016	22156	Monflorite-Lascasas	0		0
2016	22157	Montanuy	0		0
2016	22158	Monzón	1	27500	0
2016	22160	Naval	0		0
2016	22162	Novales	0		0
2016	22163	Nueno	0		0
2016	22164	Olvena	0		0
2016	22165	Ontiñena	1	1146	0
2016	22167	Osso de Cinca	1	1400	0
2016	22168	Palo	0		0
2016	22170	Panticosa	0		0
2016	22172	Peñalba	1	1458	0
2016	22173	Peñas de Riglos (Las)	0		0
2016	22174	Peralta de Alcofea	1	1500	0
2016	22175	Peralta de Calasanz	0		0
2016	22176	Peraltilla	0		0
2016	22177	Perarrúa	1	300	0
2016	22178	Pertusa	0		0
2016	22181	Piracés	0		0
2016	22182	Plan	0		0
2016	22184	Poleñino	0		0
2016	22186	Pozán de Vero	0		0
2016	22187	Puebla de Castro (La)	1	1500	0
2016	22188	Puente de Montañana	0		0
2016	22189	Puértolas	0		0
2016	22190	Pueyo de Araguás (El)	0		0
2016	22193	Pueyo de Santa Cruz	0		0
2016	22195	Quicena	0		0
2016	22197	Robres	1	1000	0
2016	22199	Sabiñánigo	5	17600	0
2016	22200	Sahún	0		0
2016	22201	Salas Altas	0	1500	1
2016	22202	Salas Bajas	1	1500	0
2016	22203	Salillas	0		0
2016	22204	Sallent de Gállego	0		0
2016	22205	San Esteban de Litera	1	1042	0
2016	22206	Sangarrén	0		0
2016	22207	San Juan de Plan	0		0
2016	22208	Santa Cilia	0		0
2016	22209	Santa Cruz de la Serós	0		0
2016	22212	Santaliestra y San Quílez	0		0
2016	22213	Sariñena	1	9167	0
2016	22214	Secastilla	1	300	0
2016	22215	Seira	0		0
2016	22217	Sena	0	2000	1
2016	22218	Senés de Alcubierre	0		0
2016	22220	Sesa	0		0
2016	22221	Sesué	0		0
2016	22222	Siétamo	0		0
2016	22223	Sopeira	0		0
2016	22225	Tamarite de Litera	1	3384	0
2016	22226	Tardienta	1	1575	0
2016	22227	Tella-Sin	0		0
2016	22228	Tierz	0		0
2016	22229	Tolva	0		0
2016	22230	Torla-Ordesa	0		0
2016	22232	Torralba de Aragón	0		0
2016	22233	Torre la Ribera	0		0
2016	22234	Torrente de Cinca	1	1493	0
2016	22235	Torres de Alcanadre	0		0
2016	22236	Torres de Barbués	0		0
2016	22239	Tramaced	0		0
2016	22242	Valfarta	0		0
2016	22243	Valle de Bardají	0		0
2016	22244	Valle de Lierp	0		0
2016	22245	Velilla de Cinca	0		0
2016	22246	Beranuy	0		0
2016	22247	Viacamp y Litera	0		0
2016	22248	Vicién	0		0
2016	22249	Villanova	0		0
2016	22250	Villanúa	0		0
2016	22251	Villanueva de Sigena	1	2000	0
2016	22252	Yebra de Basa	2	400	0
2016	22253	Yésero	1	400	0
2016	22254	Zaidín	1	2260	0
2016	22901	Valle de Hecho	0		0
2016	22902	Puente la Reina de Jaca	0		0
2016	22903	San Miguel del Cinca	1	1250	0
2016	22904	Sotonera (La)	1	1417	0
2016	22905	Lupiñén-Ortilla	0		0
2016	22906	Santa María de Dulcis	0		0
2016	22907	Aínsa-Sobrarbe	0		0
2016	22908	Hoz y Costeán	0		0
2016	22909	Vencillón	0		0
2016	44001	Ababuj	0		0
2016	44002	Abejuela	0		0
2016	44003	Aguatón	0		0
2016	44004	Aguaviva	0		0
2016	44005	Aguilar del Alfambra	0		0
2016	44006	Alacón	0		0
2016	44007	Alba	1	2438	0
2016	44008	Albalate del Arzobispo	1	4340	0
2016	44009	Albarracín	1	2200	0
2016	44010	Albentosa	1	500	0
2016	44011	Alcaine	0		0
2016	44012	Alcalá de la Selva	1	5800	0
2016	44013	Alcañiz	1	19800	0
2016	44014	Alcorisa	1	5647	0
2016	44016	Alfambra	1	1167	0
2016	44017	Aliaga	1	1042	0
2016	44018	Almohaja	0		0
2016	44019	Alobras	0		0
2016	44020	Alpeñés	0		0
2016	44021	Allepuz	0		0
2016	44022	Alloza	1	1540	0
2016	44023	Allueva	0		0
2016	44024	Anadón	0		0
2016	44025	Andorra	1	15190	0
2016	44026	Arcos de las Salinas	0		0
2016	44027	Arens de Lledó	0		0
2016	44028	Argente	0		0
2016	44029	Ariño	1	1025	0
2016	44031	Azaila	0		0
2016	44032	Bádenas	0		0
2016	44033	Báguena	1	1900	0
2016	44034	Bañón	0		0
2016	44035	Barrachina	0		0
2016	44036	Bea	0		0
2016	44037	Beceite	1	1983	0
2016	44038	Belmonte de San José	0		0
2016	44039	Bello	1	1006	0
2016	44040	Berge	0		0
2016	44041	Bezas	0		0
2016	44042	Blancas	0		0
2016	44043	Blesa	0		0
2016	44044	Bordón	0		0
2016	44045	Bronchales	1	5653	0
2016	44046	Bueña	0		0
2016	44047	Burbáguena	0		0
2016	44048	Cabra de Mora	0		0
2016	44049	Calaceite	0		0
2016	44050	Calamocha	1	25000	0
2016	44051	Calanda	1	6298	0
2016	44052	Calomarde	0		0
2016	44053	Camañas	0		0
2016	44054	Camarena de la Sierra	0		0
2016	44055	Camarillas	0		0
2016	44056	Caminreal	1	4000	0
2016	44059	Cantavieja	0		0
2016	44060	Cañada de Benatanduz	0		0
2016	44061	Cañada de Verich (La)	0		0
2016	44062	Cañada Vellida	0		0
2016	44063	Cañizar del Olivar	0		0
2016	44064	Cascante del Río	0		0
2016	44065	Castejón de Tornos	0		0
2016	44066	Castel de Cabra	0		0
2016	44067	Castelnou	0		0
2016	44068	Castelserás	0		0
2016	44070	Castellar (El)	0		0
2016	44071	Castellote	0		0
2016	44074	Cedrillas	1	1167	0
2016	44075	Celadas	1	1042	0
2016	44076	Cella	1	6000	0
2016	44077	Cerollera (La)	0		0
2016	44080	Codoñera (La)	0		0
2016	44082	Corbalán	0		0
2016	44084	Cortes de Aragón	0		0
2016	44085	Cosa	0		0
2016	44086	Cretas	0		0
2016	44087	Crivillén	0		0
2016	44088	Cuba (La)	0		0
2016	44089	Cubla	0		0
2016	44090	Cucalón	0		0
2016	44092	Cuervo (El)	0		0
2016	44093	Cuevas de Almudén	0		0
2016	44094	Cuevas Labradas	0		0
2016	44096	Ejulve	0		0
2016	44097	Escorihuela	0		0
2016	44099	Escucha	1	1875	0
2016	44100	Estercuel	1	1500	0
2016	44101	Ferreruela de Huerva	0		0
2016	44102	Fonfría	0		0
2016	44103	Formiche Alto	0		0
2016	44105	Fórnoles	0		0
2016	44106	Fortanete	0		0
2016	44107	Foz-Calanda	0		0
2016	44108	Fresneda (La)	1	1925	0
2016	44109	Frías de Albarracín	0		0
2016	44110	Fuenferrada	0		0
2016	44111	Fuentes Calientes	0		0
2016	44112	Fuentes Claras	0	4000	1
2016	44113	Fuentes de Rubielos	0		0
2016	44114	Fuentespalda	0		0
2016	44115	Galve	0		0
2016	44116	Gargallo	1	250	0
2016	44117	Gea de Albarracín	1	1000	0
2016	44118	Ginebrosa (La)	0		0
2016	44119	Griegos	0		0
2016	44120	Guadalaviar	0		0
2016	44121	Gúdar	0		0
2016	44122	Híjar	1	9000	0
2016	44123	Hinojosa de Jarque	0		0
2016	44124	Hoz de la Vieja (La)	0		0
2016	44125	Huesa del Común	0		0
2016	44126	Iglesuela del Cid (La)	0		0
2016	44127	Jabaloyas	0		0
2016	44128	Jarque de la Val	0		0
2016	44129	Jatiel	0		0
2016	44130	Jorcas	0		0
2016	44131	Josa	0		0
2016	44132	Lagueruela	0		0
2016	44133	Lanzuela	0		0
2016	44135	Libros	0		0
2016	44136	Lidón	0		0
2016	44137	Linares de Mora	0		0
2016	44138	Loscos	1	1900	0
2016	44141	Lledó	0		0
2016	44142	Maicas	0		0
2016	44143	Manzanera	1	2998	1
2016	44144	Martín del Río	1	1254	0
2016	44145	Mas de las Matas	0		0
2016	44146	Mata de los Olmos (La)	0		0
2016	44147	Mazaleón	0		0
2016	44148	Mezquita de Jarque	0		0
2016	44149	Mirambel	0		0
2016	44150	Miravete de la Sierra	0		0
2016	44151	Molinos	0		0
2016	44152	Monforte de Moyuela	0		0
2016	44153	Monreal del Campo	1	15000	0
2016	44154	Monroyo	0		0
2016	44155	Montalbán	1	4000	0
2016	44156	Monteagudo del Castillo	0		0
2016	44157	Monterde de Albarracín	0		0
2016	44158	Mora de Rubielos	1	6250	0
2016	44159	Moscardón	0		0
2016	44160	Mosqueruela	1	2500	0
2016	44161	Muniesa	1	1833	0
2016	44163	Noguera de Albarracín	0		0
2016	44164	Nogueras	0		0
2016	44165	Nogueruelas	0		0
2016	44167	Obón	0		0
2016	44168	Odón	0		0
2016	44169	Ojos Negros	1	1257	0
2016	44171	Olba	0		0
2016	44172	Oliete	1	1558	0
2016	44173	Olmos (Los)	0		0
2016	44174	Orihuela del Tremedal	1	1313	0
2016	44175	Orrios	0		0
2016	44176	Palomar de Arroyos	0		0
2016	44177	Pancrudo	0		0
2016	44178	Parras de Castellote (Las)	0		0
2016	44179	Peñarroya de Tastavins	1	1041	0
2016	44180	Peracense	0		0
2016	44181	Peralejos	0		0
2016	44182	Perales del Alfambra	0		0
2016	44183	Pitarque	0		0
2016	44184	Plou	0		0
2016	44185	Pobo (El)	0		0
2016	44187	Portellada (La)	0		0
2016	44189	Pozondón	0		0
2016	44190	Pozuel del Campo	0		0
2016	44191	Puebla de Híjar (La)	1	9167	0
2016	44192	Puebla de Valverde (La)	1	2000	0
2016	44193	Puertomingalvo	0		0
2016	44194	Ráfales	0		0
2016	44195	Rillo	0		0
2016	44196	Riodeva	0		0
2016	44197	Ródenas	0		0
2016	44198	Royuela	0		0
2016	44199	Rubiales	0		0
2016	44200	Rubielos de la Cérida	0		0
2016	44201	Rubielos de Mora	1	3300	0
2016	44203	Salcedillo	0		0
2016	44204	Saldón	0		0
2016	44205	Samper de Calanda	0	9000	1
2016	44206	San Agustín	0		0
2016	44207	San Martín del Río	0	1900	1
2016	44208	Santa Cruz de Nogueras	0		0
2016	44209	Santa Eulalia	0	2438	1
2016	44210	Sarrión	1	4000	0
2016	44211	Segura de los Baños	0		0
2016	44212	Seno	0		0
2016	44213	Singra	0		0
2016	44215	Terriente	0		0
2016	44216	Teruel	1	67500	0
2016	44217	Toril y Masegoso	0		0
2016	44218	Tormón	0		0
2016	44219	Tornos	1	1083	0
2016	44220	Torralba de los Sisones	0		0
2016	44221	Torrecilla de Alcañiz	0		0
2016	44222	Torrecilla del Rebollar	0		0
2016	44223	Torre de Arcas	0		0
2016	44224	Torre de las Arcas	0		0
2016	44225	Torre del Compte	0		0
2016	44226	Torrelacárcel	0		0
2016	44227	Torre los Negros	0		0
2016	44228	Torremocha de Jiloca	0		0
2016	44229	Torres de Albarracín	0		0
2016	44230	Torrevelilla	0		0
2016	44231	Torrijas	0		0
2016	44232	Torrijo del Campo	0	4000	1
2016	44234	Tramacastiel	0		0
2016	44235	Tramacastilla	0		0
2016	44236	Tronchón	0		0
2016	44237	Urrea de Gaén	0	9000	1
2016	44238	Utrillas	1	5787	0
2016	44239	Valacloche	0		0
2016	44240	Valbona	0		0
2016	44241	Valdealgorfa	0		0
2016	44243	Valdecuenca	0		0
2016	44244	Valdelinares	0		0
2016	44245	Valdeltormo	0		0
2016	44246	Valderrobres	1	5000	0
2016	44247	Valjunquera	0		0
2016	44249	Vallecillo (El)	0		0
2016	44250	Veguillas de la Sierra	0		0
2016	44251	Villafranca del Campo	1	1021	0
2016	44252	Villahermosa del Campo	0		0
2016	44256	Villanueva del Rebollar de la Sierra	0		0
2016	44257	Villar del Cobo	0		0
2016	44258	Villar del Salz	0		0
2016	44260	Villarluengo	0		0
2016	44261	Villarquemado	1	1000	0
2016	44262	Villarroya de los Pinares	0		0
2016	44263	Villastar	0		0
2016	44264	Villel	1	1125	0
2016	44265	Vinaceite	0		0
2016	44266	Visiedo	0		0
2016	44267	Vivel del Río Martín	0		0
2016	44268	Zoma (La)	0		0
2016	50001	Abanto	0		0
2016	50002	Acered	0		0
2016	50003	Agón	0		0
2016	50004	Aguarón	0	48333	1
2016	50005	Aguilón	0		0
2016	50006	Ainzón	0	14333	1
2016	50007	Aladrén	0		0
2016	50008	Alagón	1	20000	0
2016	50009	Alarba	0		0
2016	50010	Alberite de San Juan	0		0
2016	50011	Albeta	0		0
2016	50012	Alborge	0		0
2016	50013	Alcalá de Ebro	0		0
2016	50014	Alcalá de Moncayo	0		0
2016	50015	Alconchel de Ariza	0		0
2016	50016	Aldehuela de Liestos	0		0
2016	50017	Alfajarín	0	4958	1
2016	50018	Alfamén	1	3850	0
2016	50019	Alforque	0		0
2016	50020	Alhama de Aragón	1	2500	0
2016	50021	Almochuel	0		0
2016	50022	Almolda (La)	1	1530	0
2016	50023	Almonacid de la Cuba	0		0
2016	50024	Almonacid de la Sierra	0	28350	1
2016	50025	Almunia de Doña Godina (La)	1	28350	0
2016	50026	Alpartir	0	28350	1
2016	50027	Ambel	0		0
2016	50028	Anento	0		0
2016	50029	Aniñón	1	1225	0
2016	50030	Añón de Moncayo	0		0
2016	50031	Aranda de Moncayo	0		0
2016	50032	Arándiga	1	1000	0
2016	50033	Ardisa	0		0
2016	50034	Ariza	1	1500	0
2016	50035	Artieda	0		0
2016	50036	Asín	0		0
2016	50037	Atea	0		0
2016	50038	Ateca	1	6500	0
2016	50039	Azuara	1	1333	0
2016	50040	Badules	0		0
2016	50041	Bagüés	0		0
2016	50042	Balconchán	0		0
2016	50043	Bárboles	0		0
2016	50044	Bardallur	0		0
2016	50045	Belchite	1	2175	0
2016	50046	Belmonte de Gracián	0		0
2016	50047	Berdejo	0		0
2016	50048	Berrueco	0		0
2016	50050	Bijuesca	0		0
2016	50051	Biota	1	2917	0
2016	50052	Bisimbre	0		0
2016	50053	Boquiñeni	1	5000	0
2016	50054	Bordalba	0		0
2016	50055	Borja	1	14333	0
2016	50056	Botorrita	0	44311	1
2016	50057	Brea de Aragón	1	12750	0
2016	50058	Bubierca	0		0
2016	50059	Bujaraloz	1	1625	0
2016	50060	Bulbuente	0		0
2016	50061	Bureta	0		0
2016	50062	Burgo de Ebro (El)	1	9479	1
2016	50063	Buste (El)	0		0
2016	50064	Cabañas de Ebro	0	20000	1
2016	50065	Cabolafuente	0		0
2016	50066	Cadrete	0	44311	1
2016	50067	Calatayud	2	64492	0
2016	50068	Calatorao	0	28350	1
2016	50069	Calcena	0		0
2016	50070	Calmarza	0		0
2016	50071	Campillo de Aragón	0		0
2016	50072	Carenas	0		0
2016	50073	Cariñena	1	48333	0
2016	50074	Caspe	1	28500	0
2016	50075	Castejón de Alarba	0		0
2016	50076	Castejón de las Armas	0		0
2016	50077	Castejón de Valdejasa	0		0
2016	50078	Castiliscar	0		0
2016	50079	Cervera de la Cañada	0		0
2016	50080	Cerveruela	0		0
2016	50081	Cetina	1	1875	0
2016	50082	Cimballa	0		0
2016	50083	Cinco Olivas	0		0
2016	50084	Clarés de Ribota	0		0
2016	50085	Codo	0		0
2016	50086	Codos	0		0
2016	50087	Contamina	0		0
2016	50088	Cosuenda	0		0
2016	50089	Cuarte de Huerva	1	44311	0
2016	50090	Cubel	0		0
2016	50091	Cuerlas (Las)	0		0
2016	50092	Chiprana	0		0
2016	50093	Chodes	0		0
2016	50094	Daroca	1	7100	0
2016	50095	Ejea de los Caballeros	8	65458	0
2016	50096	Embid de Ariza	0		0
2016	50098	Encinacorba	0		0
2016	50099	Épila	1	13333	0
2016	50100	Erla	0		0
2016	50101	Escatrón	1	2000	0
2016	50102	Fabara	0		0
2016	50104	Farlete	0		0
2016	50105	Fayón	0		0
2016	50106	Fayos (Los)	0		0
2016	50107	Figueruelas	1	20000	0
2016	50108	Fombuena	0		0
2016	50109	Frago (El)	0		0
2016	50110	Frasno (El)	1	1250	0
2016	50111	Fréscano	0		0
2016	50113	Fuendejalón	1	3188	0
2016	50114	Fuendetodos	0		0
2016	50115	Fuentes de Ebro	1	6875	0
2016	50116	Fuentes de Jiloca	0		0
2016	50117	Gallocanta	0		0
2016	50118	Gallur	1	6200	0
2016	50119	Gelsa	1	1750	0
2016	50120	Godojos	0		0
2016	50121	Gotor	0	12750	1
2016	50122	Grisel	0		0
2016	50123	Grisén	0		0
2016	50124	Herrera de los Navarros	1	1250	0
2016	50125	Ibdes	1	4000	0
2016	50126	Illueca	0	12750	1
2016	50128	Isuerre	0		0
2016	50129	Jaraba	0	4000	1
2016	50130	Jarque de Moncayo	0	12750	1
2016	50131	Jaulín	0		0
2016	50132	Joyosa (La)	0		0
2016	50133	Lagata	0		0
2016	50134	Langa del Castillo	0		0
2016	50135	Layana	0		0
2016	50136	Lécera	1	1250	0
2016	50137	Leciñena	1	3000	0
2016	50138	Lechón	0		0
2016	50139	Letux	0		0
2016	50140	Litago	0		0
2016	50141	Lituénigo	0		0
2016	50142	Lobera de Onsella	0		0
2016	50143	Longares	1	4008	0
2016	50144	Longás	0		0
2016	50146	Lucena de Jalón	0		0
2016	50147	Luceni	0	5000	1
2016	50148	Luesia	0		0
2016	50149	Luesma	0		0
2016	50150	Lumpiaque	1	2933	0
2016	50151	Luna	1	2500	0
2016	50152	Maella	0		0
2016	50153	Magallón	1	3833	0
2016	50154	Mainar	0		0
2016	50155	Malanquilla	0		0
2016	50156	Maleján	0	14333	1
2016	50157	Malón	0	2313	1
2016	50159	Maluenda	1	1467	0
2016	50160	Mallén	1	10500	0
2016	50161	Manchones	0		0
2016	50162	Mara	0		0
2016	50163	María de Huerva	0	44311	1
2016	50164	Mediana de Aragón	0		0
2016	50165	Mequinenza	1	8000	0
2016	50166	Mesones de Isuela	0		0
2016	50167	Mezalocha	0	44311	1
2016	50168	Mianos	0		0
2016	50169	Miedes de Aragón	1	1850	0
2016	50170	Monegrillo	0		0
2016	50171	Moneva	0		0
2016	50172	Monreal de Ariza	0		0
2016	50173	Monterde	0		0
2016	50174	Montón	0		0
2016	50175	Morata de Jalón	1	3200	0
2016	50176	Morata de Jiloca	0		0
2016	50177	Morés	0		0
2016	50178	Moros	1	1000	0
2016	50179	Moyuela	0		0
2016	50180	Mozota	0	44311	1
2016	50181	Muel	0	44311	1
2016	50182	Muela (La)	1	57000	1
2016	50183	Munébrega	0		0
2016	50184	Murero	0		0
2016	50185	Murillo de Gállego	0		0
2016	50186	Navardún	0		0
2016	50187	Nigüella	0		0
2016	50188	Nombrevilla	0		0
2016	50189	Nonaspe	0		0
2016	50190	Novallas	1	2313	0
2016	50191	Novillas	1	1400	0
2016	50192	Nuévalos	0		0
2016	50193	Nuez de Ebro	0	4958	1
2016	50194	Olvés	0		0
2016	50195	Orcajo	0		0
2016	50196	Orera	0		0
2016	50197	Orés	0		0
2016	50198	Oseja	0		0
2016	50199	Osera de Ebro	0		0
2016	50200	Paniza	0	48333	1
2016	50201	Paracuellos de Jiloca	0		0
2016	50202	Paracuellos de la Ribera	0		0
2016	50203	Pastriz	0	1200000	1
2016	50204	Pedrola	0	20000	1
2016	50205	Pedrosas (Las)	0		0
2016	50206	Perdiguera	0		0
2016	50207	Piedratajada	0		0
2016	50208	Pina de Ebro	1	4667	0
2016	50209	Pinseque	0		0
2016	50210	Pintanos (Los)	0		0
2016	50211	Plasencia de Jalón	0		0
2016	50212	Pleitas	0		0
2016	50213	Plenas	0		0
2016	50214	Pomer	0		0
2016	50215	Pozuel de Ariza	0		0
2016	50216	Pozuelo de Aragón	0		0
2016	50217	Pradilla de Ebro	1	1667	0
2016	50218	Puebla de Albortón	0		0
2016	50219	Puebla de Alfindén (La)	0	1200000	1
2016	50220	Puendeluna	0		0
2016	50221	Purujosa	0		0
2016	50222	Quinto	1	3125	0
2016	50223	Remolinos	1	4958	0
2016	50224	Retascón	0		0
2016	50225	Ricla	0	28350	1
2016	50227	Romanos	0		0
2016	50228	Rueda de Jalón	0		0
2016	50229	Ruesca	0		0
2016	50230	Sádaba	1	3000	0
2016	50231	Salillas de Jalón	0		0
2016	50232	Salvatierra de Esca	0		0
2016	50233	Samper del Salz	0		0
2016	50234	San Martín de la Virgen de Moncayo	0		0
2016	50235	San Mateo de Gállego	1	62500	0
2016	50236	Santa Cruz de Grío	0		0
2016	50237	Santa Cruz de Moncayo	0		0
2016	50238	Santa Eulalia de Gállego	0		0
2016	50239	Santed	0		0
2016	50240	Sástago	1	2700	0
2016	50241	Saviñán	1	1042	0
2016	50242	Sediles	0		0
2016	50243	Sestrica	0		0
2016	50244	Sierra de Luna	0		0
2016	50245	Sigüés	0		0
2016	50246	Sisamón	0		0
2016	50247	Sobradiel	0		0
2016	50248	Sos del Rey Católico	1	2917	0
2016	50249	Tabuenca	0		0
2016	50250	Talamantes	0		0
2016	50251	Tarazona	1	42160	0
2016	50252	Tauste	1	13125	0
2016	50253	Terrer	1	1417	0
2016	50254	Tierga	0		0
2016	50255	Tobed	0		0
2016	50256	Torralba de los Frailes	0		0
2016	50257	Torralba de Ribota	0		0
2016	50258	Torralbilla	0		0
2016	50259	Torrehermosa	0		0
2016	50260	Torrelapaja	0		0
2016	50261	Torrellas	0		0
2016	50262	Torres de Berrellén	0		0
2016	50263	Torrijo de la Cañada	1	1021	0
2016	50264	Tosos	0		0
2016	50265	Trasmoz	0		0
2016	50266	Trasobares	0		0
2016	50267	Uncastillo	1	1667	0
2016	50268	Undués de Lerda	0		0
2016	50269	Urrea de Jalón	0		0
2016	50270	Urriés	0		0
2016	50271	Used	1	833	0
2016	50272	Utebo	0		0
2016	50273	Valdehorna	0		0
2016	50274	Val de San Martín	0		0
2016	50275	Valmadrid	0		0
2016	50276	Valpalmas	0		0
2016	50277	Valtorres	0		0
2016	50278	Velilla de Ebro	0		0
2016	50279	Velilla de Jiloca	0		0
2016	50280	Vera de Moncayo	0		0
2016	50281	Vierlas	0		0
2016	50282	Vilueña (La)	0		0
2016	50283	Villadoz	0		0
2016	50284	Villafeliche	0		0
2016	50285	Villafranca de Ebro	1	4958	0
2016	50286	Villalba de Perejil	0		0
2016	50287	Villalengua	0		0
2016	50288	Villanueva de Gállego	1	20000	0
2016	50289	Villanueva de Jiloca	0		0
2016	50290	Villanueva de Huerva	1	1500	0
2016	50291	Villar de los Navarros	0		0
2016	50292	Villarreal de Huerva	0		0
2016	50293	Villarroya de la Sierra	1	1550	0
2016	50294	Villarroya del Campo	0		0
2016	50295	Vistabella	0		0
2016	50296	Zaida (La)	1	1073	0
2016	50297	Zaragoza	4	1395811	1
2016	50298	Zuera	1	64100	1
2016	50901	Biel	0		0
2016	50902	Marracos	0		0
2016	50903	Villamayor de Gállego	0	1200000	1
