Comarca codigo	Comarca nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
19	Bajo Aragón-Caspe / Baix Aragó-Casp	0	Menor de 16	1	Hombre	1198,4080232136	840,0237131123	358,3843101013
20	Comunidad de Calatayud	0	Menor de 16	1	Hombre	2703,8750429428	1902,3589934775	801,5160494653
21	Campo de Cariñena	0	Menor de 16	1	Hombre	682,6726672704	470,2191083285	212,4535589419
22	Campo de Belchite	0	Menor de 16	1	Hombre	277,9857107169	205,0097186799	72,975992037
23	Bajo Martín	0	Menor de 16	1	Hombre	379,3243085232	315,7026135112	63,621695012
24	Campo de Daroca	0	Menor de 16	1	Hombre	266,5285907685	173,2967586532	93,2318321153
25	Jiloca	0	Menor de 16	1	Hombre	800,4750453938	567,3852062857	233,0898391081
26	Cuencas Mineras	0	Menor de 16	1	Hombre	559,8092135595	378,4491708571	181,3600427024
27	Andorra-Sierra de Arcos	0	Menor de 16	1	Hombre	730,0531473788	607,1695386065	122,8836087723
28	Bajo Aragón	0	Menor de 16	1	Hombre	2625,0761877814	1995,5074497056	629,5687380758
29	Comunidad de Teruel	0	Menor de 16	1	Hombre	3517,3636561666	2840,2553227836	677,108333383
30	Maestrazgo	0	Menor de 16	1	Hombre	211,9866157052	141,6776967818	70,3089189234
31	Sierra de Albarracín	0	Menor de 16	1	Hombre	255,1707686064	219,8079252026	35,3628434038
32	Gúdar-Javalambre	0	Menor de 16	1	Hombre	517,0927049491	376,8416122136	140,2510927355
33	Matarraña / Matarranya	0	Menor de 16	1	Hombre	533,6609195242	405,5555461542	128,10537337
01	La Jacetania	1	De 16 a 25	1	Hombre	768,2515236223	755,4921234393	12,759400183
02	Alto Gállego	1	De 16 a 25	1	Hombre	579,9204263182	519,91614288	60,0042834382
03	Sobrarbe	1	De 16 a 25	1	Hombre	344,7644510763	242,9708985108	101,7935525655
04	La Ribagorza	1	De 16 a 25	1	Hombre	664,5305283187	545,7399150311	118,7906132876
05	Cinco Villas	1	De 16 a 25	1	Hombre	1403,5041444382	1293,3246590595	110,1794853787
06	Hoya de Huesca / Plana de Uesca	1	De 16 a 25	1	Hombre	3251,514599172	2832,5951064213	418,9194927507
07	Somontano de Barbastro	1	De 16 a 25	1	Hombre	1090,6105353067	867,6980577183	222,9124775884
08	Cinca Medio	1	De 16 a 25	1	Hombre	1454,1552765378	976,853422706	477,3018538318
09	La Litera / La Llitera	1	De 16 a 25	1	Hombre	909,652168006	774,2910446374	135,3611233686
10	Los Monegros	1	De 16 a 25	1	Hombre	929,6325533428	763,6732397487	165,9593135941
11	Bajo Cinca / Baix Cinca	1	De 16 a 25	1	Hombre	1681,33356804	988,5433699361	692,7901981039
12	Tarazona y el Moncayo	1	De 16 a 25	1	Hombre	662,6122144812	613,541675446	49,0705390352
13	Campo de Borja	1	De 16 a 25	1	Hombre	873,7464712549	656,9952942042	216,7511770507
14	Aranda	1	De 16 a 25	1	Hombre	310,385624698	239,408927134	70,976697564
15	Ribera Alta del Ebro	1	De 16 a 25	1	Hombre	1352,992736125	1035,225785211	317,766950914
16	Valdejalón	1	De 16 a 25	1	Hombre	1518,7818593838	773,6462675115	745,1355918723
17	D.C. Zaragoza	1	De 16 a 25	1	Hombre	37252,0250472303	29868,7741683564	7383,2508788739
18	Ribera Baja del Ebro	1	De 16 a 25	1	Hombre	431,8122352284	389,2480027803	42,5642324481
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	De 16 a 25	1	Hombre	689,2365402039	502,5240642433	186,7124759606
20	Comunidad de Calatayud	1	De 16 a 25	1	Hombre	2081,4182538949	1414,8392658321	666,5789880628
21	Campo de Cariñena	1	De 16 a 25	1	Hombre	608,3679949527	395,4994099775	212,8685849752
22	Campo de Belchite	1	De 16 a 25	1	Hombre	193,9929111822	166,222575315	27,7703358672
23	Bajo Martín	1	De 16 a 25	1	Hombre	405,8110340395	334,2275524133	71,5834816262
24	Campo de Daroca	1	De 16 a 25	1	Hombre	251,0950555475	189,3157426217	61,7793129258
25	Jiloca	1	De 16 a 25	1	Hombre	690,3077479138	587,4736926219	102,8340552919
26	Cuencas Mineras	1	De 16 a 25	1	Hombre	561,7552516221	416,0508519474	145,7043996747
27	Andorra-Sierra de Arcos	1	De 16 a 25	1	Hombre	771,911803505	631,9555005059	139,9563029991
28	Bajo Aragón	1	De 16 a 25	1	Hombre	1546,8050723349	1036,9167419687	509,8883303662
29	Comunidad de Teruel	1	De 16 a 25	1	Hombre	2746,6141606455	2188,1711183988	558,4430422467
30	Maestrazgo	1	De 16 a 25	1	Hombre	170,2423268145	141,651524271	28,5908025435
31	Sierra de Albarracín	1	De 16 a 25	1	Hombre	259,8898622447	236,5762695962	23,3135926485
32	Gúdar-Javalambre	1	De 16 a 25	1	Hombre	488,8050666853	374,0995292505	114,7055374348
33	Matarraña / Matarranya	1	De 16 a 25	1	Hombre	489,2825375212	450,732813961	38,5497235602
01	La Jacetania	2	De 26 a 45	1	Hombre	2863,5580088356	2439,2254581826	424,332550653
02	Alto Gállego	2	De 26 a 45	1	Hombre	2489,6396389477	1834,2403772291	655,3992617186
03	Sobrarbe	2	De 26 a 45	1	Hombre	1249,0353938615	911,4425123683	337,5928814932
04	La Ribagorza	2	De 26 a 45	1	Hombre	2046,0403355456	1783,7117151984	262,3286203472
05	Cinco Villas	2	De 26 a 45	1	Hombre	5221,9020055885	3946,3816504038	1275,5203551847
06	Hoya de Huesca / Plana de Uesca	2	De 26 a 45	1	Hombre	10309,2813643511	8534,7966589356	1774,4847054155
07	Somontano de Barbastro	2	De 26 a 45	1	Hombre	3445,8114389317	2776,8635561662	668,9478827655
08	Cinca Medio	2	De 26 a 45	1	Hombre	3682,0799263331	2746,9709245436	935,1090017895
09	La Litera / La Llitera	2	De 26 a 45	1	Hombre	2873,191103891	2251,5582853201	621,6328185709
10	Los Monegros	2	De 26 a 45	1	Hombre	2931,7957710435	2378,9271539229	552,8686171206
11	Bajo Cinca / Baix Cinca	2	De 26 a 45	1	Hombre	3809,9071463823	3058,1755957045	751,7315506778
12	Tarazona y el Moncayo	2	De 26 a 45	1	Hombre	2234,1844831598	1895,3393549057	338,8451282541
13	Campo de Borja	2	De 26 a 45	1	Hombre	2309,7386587381	1907,3718256359	402,3668331022
14	Aranda	2	De 26 a 45	1	Hombre	1196,4979338744	1012,3758823104	184,122051564
15	Ribera Alta del Ebro	2	De 26 a 45	1	Hombre	4733,337253562	4009,8781385758	723,4591149862
16	Valdejalón	2	De 26 a 45	1	Hombre	5507,496992448	3880,7496485015	1626,7473439465
17	D.C. Zaragoza	2	De 26 a 45	1	Hombre	123003,037377237	99032,5688856752	23970,4684915618
18	Ribera Baja del Ebro	2	De 26 a 45	1	Hombre	1320,9645700487	1223,5131748586	97,4513951901
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	De 26 a 45	1	Hombre	2696,2735921089	2073,9111167756	622,3624753333
20	Comunidad de Calatayud	2	De 26 a 45	1	Hombre	6068,9764862024	4611,9018318079	1457,0746543945
21	Campo de Cariñena	2	De 26 a 45	1	Hombre	1891,9370027838	1110,6486090912	781,2883936926
22	Campo de Belchite	2	De 26 a 45	1	Hombre	762,298427605	601,692071974	160,606355631
23	Bajo Martín	2	De 26 a 45	1	Hombre	874,2618485212	709,7438066183	164,5180419029
24	Campo de Daroca	2	De 26 a 45	1	Hombre	784,5554852048	693,6925475515	90,8629376533
25	Jiloca	2	De 26 a 45	1	Hombre	1858,7021328453	1455,7845467345	402,9175861108
26	Cuencas Mineras	2	De 26 a 45	1	Hombre	1283,5311826401	1003,8442493275	279,6869333126
27	Andorra-Sierra de Arcos	2	De 26 a 45	1	Hombre	1608,53393832	1320,1865834632	288,3473548568
28	Bajo Aragón	2	De 26 a 45	1	Hombre	4740,1366241388	3676,4124875633	1063,7241365755
29	Comunidad de Teruel	2	De 26 a 45	1	Hombre	6852,1378325856	5842,5194689817	1009,6183636039
30	Maestrazgo	2	De 26 a 45	1	Hombre	511,9484983611	438,2639928985	73,6845054626
31	Sierra de Albarracín	2	De 26 a 45	1	Hombre	688,6425445099	607,7117968075	80,9307477024
32	Gúdar-Javalambre	2	De 26 a 45	1	Hombre	1299,0582882439	1008,7291075515	290,3291806924
33	Matarraña / Matarranya	2	De 26 a 45	1	Hombre	1180,1938888823	861,6493642943	318,544524588
01	La Jacetania	3	De 46 a 64	1	Hombre	2418,8247846339	2410,948967972	7,8758166619
02	Alto Gállego	3	De 46 a 64	1	Hombre	1982,3852717878	1829,8031248574	152,5821469304
03	Sobrarbe	3	De 46 a 64	1	Hombre	1059,1067079387	949,9483711394	109,1583367993
04	La Ribagorza	3	De 46 a 64	1	Hombre	1855,0552488091	1694,295618215	160,7596305941
05	Cinco Villas	3	De 46 a 64	1	Hombre	4485,1437080039	4182,5100594384	302,6336485655
06	Hoya de Huesca / Plana de Uesca	3	De 46 a 64	1	Hombre	8508,0429963915	7881,4262176045	626,616778787
07	Somontano de Barbastro	3	De 46 a 64	1	Hombre	3394,3882249941	3115,9107426917	278,4774823024
08	Cinca Medio	3	De 46 a 64	1	Hombre	3015,3877569456	2808,9767618062	206,4109951394
09	La Litera / La Llitera	3	De 46 a 64	1	Hombre	2458,7098944828	2284,6033236559	174,1065708269
10	Los Monegros	3	De 46 a 64	1	Hombre	2900,1738764317	2758,7490299215	141,4248465102
11	Bajo Cinca / Baix Cinca	3	De 46 a 64	1	Hombre	3197,6958156022	2847,1527338735	350,5430817287
12	Tarazona y el Moncayo	3	De 46 a 64	1	Hombre	1708,4273968002	1631,0745620253	77,3528347749
13	Campo de Borja	3	De 46 a 64	1	Hombre	1935,6434872568	1723,6581381756	211,9853490812
14	Aranda	3	De 46 a 64	1	Hombre	938,893591934	870,8799593686	68,0136325654
15	Ribera Alta del Ebro	3	De 46 a 64	1	Hombre	3588,3083487429	3321,2611823153	267,0471664276
16	Valdejalón	3	De 46 a 64	1	Hombre	3403,0600215125	2870,9402305579	532,1197909546
17	D.C. Zaragoza	3	De 46 a 64	1	Hombre	89532,7590279141	83271,6621311946	6261,0968967195
18	Ribera Baja del Ebro	3	De 46 a 64	1	Hombre	1320,3813327351	1274,8492528306	45,5320799045
19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	De 46 a 64	1	Hombre	1830,1326935445	1669,4529032484	160,6797902961
20	Comunidad de Calatayud	3	De 46 a 64	1	Hombre	5019,2503994219	4552,1697055706	467,0806938513
21	Campo de Cariñena	3	De 46 a 64	1	Hombre	1487,7405450532	1322,4843213194	165,2562237338
22	Campo de Belchite	3	De 46 a 64	1	Hombre	738,4332460079	717,9661270246	20,4671189833
23	Bajo Martín	3	De 46 a 64	1	Hombre	942,3534510537	863,8746285895	78,4788224642
24	Campo de Daroca	3	De 46 a 64	1	Hombre	930,8919172792	845,4079602822	85,483956997
25	Jiloca	3	De 46 a 64	1	Hombre	1794,7228196998	1662,201591429	132,5212282708
26	Cuencas Mineras	3	De 46 a 64	1	Hombre	1326,4091339223	1187,8549772218	138,5541567005
27	Andorra-Sierra de Arcos	3	De 46 a 64	1	Hombre	1649,0394999053	1552,2838728924	96,7556270129
28	Bajo Aragón	3	De 46 a 64	1	Hombre	3537,8980692781	3244,4939944251	293,404074853
29	Comunidad de Teruel	3	De 46 a 64	1	Hombre	5755,2074317304	5264,3638769877	490,8435547427
30	Maestrazgo	3	De 46 a 64	1	Hombre	539,7827692353	509,0735116691	30,7092575662
31	Sierra de Albarracín	3	De 46 a 64	1	Hombre	751,1301286243	724,5245181268	26,6056104975
32	Gúdar-Javalambre	3	De 46 a 64	1	Hombre	1178,1100480532	1097,6878539663	80,4221940869
33	Matarraña / Matarranya	3	De 46 a 64	1	Hombre	1209,9954684025	1128,0036057651	81,9918626374
01	La Jacetania	4	De 65 a 84	1	Hombre	1367,97060366	1316,4201172233	51,5504864367
02	Alto Gállego	4	De 65 a 84	1	Hombre	1082,9070132625	1028,5785523479	54,3284609146
03	Sobrarbe	4	De 65 a 84	1	Hombre	721,470143042	713,3333819703	8,1367610717
04	La Ribagorza	4	De 65 a 84	1	Hombre	1111,197096987	1100,2601578568	10,9369391302
05	Cinco Villas	4	De 65 a 84	1	Hombre	2764,3155119567	2764,3155119567	0
06	Hoya de Huesca / Plana de Uesca	4	De 65 a 84	1	Hombre	4778,3457356746	4772,7942601706	5,551475504
07	Somontano de Barbastro	4	De 65 a 84	1	Hombre	1924,2947973519	1913,5678388174	10,7269585345
08	Cinca Medio	4	De 65 a 84	1	Hombre	1923,041393014	1911,1484169292	11,8929760848
09	La Litera / La Llitera	4	De 65 a 84	1	Hombre	1848,4004701825	1848,4004701825	0
10	Los Monegros	4	De 65 a 84	1	Hombre	2273,1425805615	2259,8093223358	13,3332582257
11	Bajo Cinca / Baix Cinca	4	De 65 a 84	1	Hombre	1925,386720657	1925,386720657	0
12	Tarazona y el Moncayo	4	De 65 a 84	1	Hombre	1385,992426629	1384,9395779371	1,0528486919
13	Campo de Borja	4	De 65 a 84	1	Hombre	1322,0923068871	1322,0923068871	0
14	Aranda	4	De 65 a 84	1	Hombre	823,713976464	819,5640423462	4,1499341178
15	Ribera Alta del Ebro	4	De 65 a 84	1	Hombre	1877,34943015	1852,615263722	24,734166428
16	Valdejalón	4	De 65 a 84	1	Hombre	2272,3370249685	2250,2405760615	22,096448907
17	D.C. Zaragoza	4	De 65 a 84	1	Hombre	48770,1814892533	48119,7093558518	650,4721334015
18	Ribera Baja del Ebro	4	De 65 a 84	1	Hombre	918,9954446835	918,9954446835	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	De 65 a 84	1	Hombre	1237,220925545	1237,220925545	0
20	Comunidad de Calatayud	4	De 65 a 84	1	Hombre	4089,1888988453	3986,6385390157	102,5503598296
21	Campo de Cariñena	4	De 65 a 84	1	Hombre	1054,3128976009	1050,2639684983	4,0489291026
22	Campo de Belchite	4	De 65 a 84	1	Hombre	741,1245795696	727,2569454072	13,8676341624
23	Bajo Martín	4	De 65 a 84	1	Hombre	797,5314923281	792,558254795	4,9732375331
24	Campo de Daroca	4	De 65 a 84	1	Hombre	925,3488490875	921,950480782	3,3983683055
25	Jiloca	4	De 65 a 84	1	Hombre	1659,0192845029	1657,2228795092	1,7964049937
26	Cuencas Mineras	4	De 65 a 84	1	Hombre	894,4011075658	888,7803660926	5,6207414732
27	Andorra-Sierra de Arcos	4	De 65 a 84	1	Hombre	856,4379517991	851,1852798881	5,252671911
28	Bajo Aragón	4	De 65 a 84	1	Hombre	2358,9254396011	2355,493347585	3,4320920161
29	Comunidad de Teruel	4	De 65 a 84	1	Hombre	3548,8765634425	3543,2827463323	5,5938171102
30	Maestrazgo	4	De 65 a 84	1	Hombre	428,5834633707	427,1174903946	1,4659729761
31	Sierra de Albarracín	4	De 65 a 84	1	Hombre	636,5806085841	634,4368044909	2,1438040932
32	Gúdar-Javalambre	4	De 65 a 84	1	Hombre	786,1884846877	786,1884846877	0
33	Matarraña / Matarranya	4	De 65 a 84	1	Hombre	956,8514854192	908,3349593936	48,5165260256
01	La Jacetania	5	85 y más	1	Hombre	291,6215591393	291,6215591393	0
02	Alto Gállego	5	85 y más	1	Hombre	151,8510302477	151,8510302477	0
03	Sobrarbe	5	85 y más	1	Hombre	109,9695353136	109,9695353136	0
04	La Ribagorza	5	85 y más	1	Hombre	258,1230819348	258,1230819348	0
05	Cinco Villas	5	85 y más	1	Hombre	424,8759729896	424,8759729896	0
06	Hoya de Huesca / Plana de Uesca	5	85 y más	1	Hombre	866,9203693476	865,9057714545	1,0145978931
07	Somontano de Barbastro	5	85 y más	1	Hombre	395,1499816056	395,1499816056	0
08	Cinca Medio	5	85 y más	1	Hombre	365,9472726987	365,9472726987	0
09	La Litera / La Llitera	5	85 y más	1	Hombre	279,3138874638	279,3138874638	0
10	Los Monegros	5	85 y más	1	Hombre	379,8474562517	379,8474562517	0
11	Bajo Cinca / Baix Cinca	5	85 y más	1	Hombre	292,7324811592	292,7324811592	0
12	Tarazona y el Moncayo	5	85 y más	1	Hombre	124,3845633082	124,3845633082	0
13	Campo de Borja	5	85 y más	1	Hombre	212,3123313062	212,3123313062	0
14	Aranda	5	85 y más	1	Hombre	77,9573521879	77,9573521879	0
15	Ribera Alta del Ebro	5	85 y más	1	Hombre	219,5896578636	219,5896578636	0
16	Valdejalón	5	85 y más	1	Hombre	315,9798140895	315,9798140895	0
17	D.C. Zaragoza	5	85 y más	1	Hombre	5939,8600193396	5918,5308808586	21,329138481
18	Ribera Baja del Ebro	5	85 y más	1	Hombre	116,8427025596	116,8427025596	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	85 y más	1	Hombre	149,3631100126	149,3631100126	0
20	Comunidad de Calatayud	5	85 y más	1	Hombre	671,8599444978	661,0580565238	10,801887974
21	Campo de Cariñena	5	85 y más	1	Hombre	137,3247923165	135,1032422242	2,2215500923
22	Campo de Belchite	5	85 y más	1	Hombre	79,5277381778	79,5277381778	0
23	Bajo Martín	5	85 y más	1	Hombre	111,1714954461	111,1714954461	0
24	Campo de Daroca	5	85 y más	1	Hombre	112,2856226459	112,2856226459	0
25	Jiloca	5	85 y más	1	Hombre	220,1527650544	220,1527650544	0
26	Cuencas Mineras	5	85 y más	1	Hombre	104,1416245998	104,1416245998	0
27	Andorra-Sierra de Arcos	5	85 y más	1	Hombre	146,4281226763	146,4281226763	0
28	Bajo Aragón	5	85 y más	1	Hombre	293,1758341502	293,1758341502	0
29	Comunidad de Teruel	5	85 y más	1	Hombre	519,2388046522	519,2388046522	0
30	Maestrazgo	5	85 y más	1	Hombre	50,6140610059	50,6140610059	0
31	Sierra de Albarracín	5	85 y más	1	Hombre	62,7961954127	62,7961954127	0
32	Gúdar-Javalambre	5	85 y más	1	Hombre	135,4529154614	133,6936816861	1,7592337753
33	Matarraña / Matarranya	5	85 y más	1	Hombre	170,6609174402	167,3026426577	3,3582747825
01	La Jacetania	0	Menor de 16	6	Mujer	1326,6425775486	1244,8632444195	81,7793331291
02	Alto Gállego	0	Menor de 16	6	Mujer	927,5108891266	702,1042947516	225,406594375
03	Sobrarbe	0	Menor de 16	6	Mujer	438,1595954754	392,8774791046	45,2821163708
04	La Ribagorza	0	Menor de 16	6	Mujer	774,8026976136	677,981978888	96,8207187256
05	Cinco Villas	0	Menor de 16	6	Mujer	2105,0480875291	1947,2283452069	157,8197423222
06	Hoya de Huesca / Plana de Uesca	0	Menor de 16	6	Mujer	5035,3324935424	4480,22078305	555,1117104924
07	Somontano de Barbastro	0	Menor de 16	6	Mujer	1733,7118103034	1482,1928476271	251,5189626763
08	Cinca Medio	0	Menor de 16	6	Mujer	1714,870817281	1481,7443258326	233,1264914484
09	La Litera / La Llitera	0	Menor de 16	6	Mujer	1245,4155182431	1073,9496458404	171,4658724027
10	Los Monegros	0	Menor de 16	6	Mujer	1135,5399008155	962,9192799506	172,6206208649
11	Bajo Cinca / Baix Cinca	0	Menor de 16	6	Mujer	1662,4107861925	1269,1575753455	393,253210847
12	Tarazona y el Moncayo	0	Menor de 16	6	Mujer	961,670984274	908,3243919072	53,3465923668
13	Campo de Borja	0	Menor de 16	6	Mujer	1026,5675187067	878,718990106	147,8485286007
14	Aranda	0	Menor de 16	6	Mujer	436,9803291959	360,4035590487	76,5767701472
15	Ribera Alta del Ebro	0	Menor de 16	6	Mujer	1996,4175311642	1762,4797106195	233,9378205447
16	Valdejalón	0	Menor de 16	6	Mujer	2175,1911376464	1542,6646054053	632,5265322411
17	D.C. Zaragoza	0	Menor de 16	6	Mujer	56896,0608540986	48921,4795096028	7974,5813444958
18	Ribera Baja del Ebro	0	Menor de 16	6	Mujer	586,0690060251	533,2596619698	52,8093440553
19	Bajo Aragón-Caspe / Baix Aragó-Casp	0	Menor de 16	6	Mujer	999,6816032768	730,5843061996	269,0972970772
20	Comunidad de Calatayud	0	Menor de 16	6	Mujer	2353,5259527899	1887,7549827098	465,7709700801
21	Campo de Cariñena	0	Menor de 16	6	Mujer	627,8086973148	456,6107992156	171,1978980992
22	Campo de Belchite	0	Menor de 16	6	Mujer	216,6299202452	196,7464146808	19,8835055644
23	Bajo Martín	0	Menor de 16	6	Mujer	372,7670060869	319,5898889926	53,1771170943
24	Campo de Daroca	0	Menor de 16	6	Mujer	257,9015187607	212,0648395267	45,836679234
25	Jiloca	0	Menor de 16	6	Mujer	825,9502535576	699,6882118053	126,2620417523
26	Cuencas Mineras	0	Menor de 16	6	Mujer	494,9384009012	436,9131219388	58,0252789624
27	Andorra-Sierra de Arcos	0	Menor de 16	6	Mujer	748,7411235751	588,746382945	159,9947406301
28	Bajo Aragón	0	Menor de 16	6	Mujer	2219,2402479846	1981,8418872638	237,3983607208
29	Comunidad de Teruel	0	Menor de 16	6	Mujer	3306,8715045315	2870,9398531096	435,9316514219
30	Maestrazgo	0	Menor de 16	6	Mujer	184,0631304516	141,7780298107	42,2851006409
31	Sierra de Albarracín	0	Menor de 16	6	Mujer	249,8352052845	222,2072551017	27,6279501828
32	Gúdar-Javalambre	0	Menor de 16	6	Mujer	544,1398474195	409,048928645	135,0909187745
33	Matarraña / Matarranya	0	Menor de 16	6	Mujer	486,524173677	421,1198641155	65,4043095615
01	La Jacetania	1	De 16 a 25	6	Mujer	789,8881940686	730,3735889927	59,5146050759
02	Alto Gállego	1	De 16 a 25	6	Mujer	654,1180923056	577,7192308905	76,3988614151
03	Sobrarbe	1	De 16 a 25	6	Mujer	341,3241470168	253,676391801	87,6477552158
04	La Ribagorza	1	De 16 a 25	6	Mujer	513,2387155591	448,262130695	64,9765848641
05	Cinco Villas	1	De 16 a 25	6	Mujer	1577,8946601676	1351,8283379309	226,0663222367
06	Hoya de Huesca / Plana de Uesca	1	De 16 a 25	6	Mujer	3322,8086553903	2804,4884297602	518,3202256301
07	Somontano de Barbastro	1	De 16 a 25	6	Mujer	1227,8334476597	977,8459687272	249,9874789325
08	Cinca Medio	1	De 16 a 25	6	Mujer	1296,3973577213	949,5964113443	346,800946377
09	La Litera / La Llitera	1	De 16 a 25	6	Mujer	680,7948449566	563,0722702463	117,7225747103
10	Los Monegros	1	De 16 a 25	6	Mujer	935,0257743423	774,9938656202	160,0319087221
11	Bajo Cinca / Baix Cinca	1	De 16 a 25	6	Mujer	1402,2774427582	1056,2516215641	346,0258211941
12	Tarazona y el Moncayo	1	De 16 a 25	6	Mujer	590,7047726297	489,8165691867	100,888203443
13	Campo de Borja	1	De 16 a 25	6	Mujer	667,3913469933	518,8929185428	148,4984284505
14	Aranda	1	De 16 a 25	6	Mujer	340,0556091502	282,7796531172	57,275956033
15	Ribera Alta del Ebro	1	De 16 a 25	6	Mujer	1368,8631668638	1145,5755519047	223,2876149591
16	Valdejalón	1	De 16 a 25	6	Mujer	1379,7402933547	960,4405709983	419,2997223564
17	D.C. Zaragoza	1	De 16 a 25	6	Mujer	36185,9759303605	29704,2802149206	6481,6957154399
18	Ribera Baja del Ebro	1	De 16 a 25	6	Mujer	429,4470802142	400,6221188453	28,8249613689
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	De 16 a 25	6	Mujer	815,6509824757	476,5611518278	339,0898306479
20	Comunidad de Calatayud	1	De 16 a 25	6	Mujer	1918,5314161826	1441,2691122393	477,2623039433
21	Campo de Cariñena	1	De 16 a 25	6	Mujer	590,7753055215	420,6422565987	170,1330489228
22	Campo de Belchite	1	De 16 a 25	6	Mujer	173,082108697	126,3497640398	46,7323446572
23	Bajo Martín	1	De 16 a 25	6	Mujer	370,1285052789	302,9460663163	67,1824389626
24	Campo de Daroca	1	De 16 a 25	6	Mujer	227,5116210329	204,3098403319	23,201780701
25	Jiloca	1	De 16 a 25	6	Mujer	620,2283809762	476,5688812275	143,6594997487
26	Cuencas Mineras	1	De 16 a 25	6	Mujer	428,8162460492	348,6664811103	80,1497649389
27	Andorra-Sierra de Arcos	1	De 16 a 25	6	Mujer	636,1254136928	512,8949152711	123,2304984217
28	Bajo Aragón	1	De 16 a 25	6	Mujer	1757,8313541909	1440,0586878483	317,7726663426
29	Comunidad de Teruel	1	De 16 a 25	6	Mujer	2604,742153708	2223,5087750656	381,2333786424
30	Maestrazgo	1	De 16 a 25	6	Mujer	169,4500226768	153,6176668926	15,8323557842
31	Sierra de Albarracín	1	De 16 a 25	6	Mujer	190,5953779073	169,5022681293	21,093109778
32	Gúdar-Javalambre	1	De 16 a 25	6	Mujer	419,9635773942	332,9518114612	87,011765933
33	Matarraña / Matarranya	1	De 16 a 25	6	Mujer	404,9639381854	348,5540915689	56,4098466165
01	La Jacetania	2	De 26 a 45	6	Mujer	2487,4680573394	2080,4137346879	407,0543226515
02	Alto Gállego	2	De 26 a 45	6	Mujer	2210,9278868244	1625,9691888253	584,9586979991
03	Sobrarbe	2	De 26 a 45	6	Mujer	1028,6342630287	805,9222591904	222,7120038383
04	La Ribagorza	2	De 26 a 45	6	Mujer	1815,4334866807	1388,1012536761	427,3322330046
05	Cinco Villas	2	De 26 a 45	6	Mujer	4138,0434370556	3413,5792260133	724,4642110423
06	Hoya de Huesca / Plana de Uesca	2	De 26 a 45	6	Mujer	9671,4930547314	8319,0608714086	1352,4321833228
07	Somontano de Barbastro	2	De 26 a 45	6	Mujer	3227,1958195705	2780,5427458304	446,6530737401
08	Cinca Medio	2	De 26 a 45	6	Mujer	3160,9999553497	2570,9909711612	590,0089841885
09	La Litera / La Llitera	2	De 26 a 45	6	Mujer	2295,4109955645	1765,1712979347	530,2396976298
10	Los Monegros	2	De 26 a 45	6	Mujer	2271,0738642354	1827,2655511081	443,8083131273
11	Bajo Cinca / Baix Cinca	2	De 26 a 45	6	Mujer	3430,3783138542	2542,7015677954	887,6767460588
12	Tarazona y el Moncayo	2	De 26 a 45	6	Mujer	2142,5103751662	1986,4691841984	156,0411909678
13	Campo de Borja	2	De 26 a 45	6	Mujer	1900,0446048408	1659,9998534297	240,0447514111
