Comarca codigo	Comarca nombre	Superficie agrícola utilizada código	Superficie agrícola utilizada	Explotaciones
06	Hoya de Huesca / Plana de Uesca	10	e) >=10 a <20 Ha de SAU	321
06	Hoya de Huesca / Plana de Uesca	11	f) >=20 a < 30 Ha de SAU	214
06	Hoya de Huesca / Plana de Uesca	12	g) >=30 a < 50 Ha de SAU	303
06	Hoya de Huesca / Plana de Uesca	13	h) >=50 a < 100 Ha de SAU	188
06	Hoya de Huesca / Plana de Uesca	14	h) >=50 a < 100 Ha de SAU	188
06	Hoya de Huesca / Plana de Uesca	15	i) >=100 Ha de SAU	217
06	Hoya de Huesca / Plana de Uesca	16	i) >=100 Ha de SAU	85
06	Hoya de Huesca / Plana de Uesca	17	i) >=100 Ha de SAU	61
06	Hoya de Huesca / Plana de Uesca	18	i) >=100 Ha de SAU	38
06	Hoya de Huesca / Plana de Uesca	19	i) >=100 Ha de SAU	20
06	Hoya de Huesca / Plana de Uesca	20	i) >=100 Ha de SAU	5
07	Somontano de Barbastro	01	a) Sin SAU	42
07	Somontano de Barbastro	02	b) <2 Ha de SAU	7
07	Somontano de Barbastro	03	b) <2 Ha de SAU	14
07	Somontano de Barbastro	04	b) <2 Ha de SAU	7
07	Somontano de Barbastro	05	b) <2 Ha de SAU	212
07	Somontano de Barbastro	06	c) >=2 a <5 Ha de SAU	164
07	Somontano de Barbastro	07	c) >=2 a <5 Ha de SAU	145
07	Somontano de Barbastro	08	c) >=2 a <5 Ha de SAU	91
07	Somontano de Barbastro	09	d) >=5 a < 10 Ha de SAU	340
07	Somontano de Barbastro	10	e) >=10 a <20 Ha de SAU	304
07	Somontano de Barbastro	11	f) >=20 a < 30 Ha de SAU	184
07	Somontano de Barbastro	12	g) >=30 a < 50 Ha de SAU	241
07	Somontano de Barbastro	13	h) >=50 a < 100 Ha de SAU	112
07	Somontano de Barbastro	14	h) >=50 a < 100 Ha de SAU	80
07	Somontano de Barbastro	15	i) >=100 Ha de SAU	78
07	Somontano de Barbastro	16	i) >=100 Ha de SAU	28
07	Somontano de Barbastro	17	i) >=100 Ha de SAU	22
07	Somontano de Barbastro	18	i) >=100 Ha de SAU	10
07	Somontano de Barbastro	19	i) >=100 Ha de SAU	3
07	Somontano de Barbastro	20	i) >=100 Ha de SAU	3
08	Cinca Medio	01	a) Sin SAU	58
08	Cinca Medio	02	b) <2 Ha de SAU	8
08	Cinca Medio	03	b) <2 Ha de SAU	13
08	Cinca Medio	04	b) <2 Ha de SAU	21
08	Cinca Medio	05	b) <2 Ha de SAU	141
08	Cinca Medio	06	c) >=2 a <5 Ha de SAU	103
08	Cinca Medio	07	c) >=2 a <5 Ha de SAU	73
08	Cinca Medio	08	c) >=2 a <5 Ha de SAU	63
08	Cinca Medio	09	d) >=5 a < 10 Ha de SAU	235
08	Cinca Medio	10	e) >=10 a <20 Ha de SAU	254
08	Cinca Medio	11	f) >=20 a < 30 Ha de SAU	178
08	Cinca Medio	12	g) >=30 a < 50 Ha de SAU	174
08	Cinca Medio	13	h) >=50 a < 100 Ha de SAU	106
08	Cinca Medio	14	h) >=50 a < 100 Ha de SAU	75
08	Cinca Medio	15	i) >=100 Ha de SAU	39
08	Cinca Medio	16	i) >=100 Ha de SAU	18
08	Cinca Medio	17	i) >=100 Ha de SAU	17
08	Cinca Medio	18	i) >=100 Ha de SAU	6
08	Cinca Medio	19	i) >=100 Ha de SAU	2
09	La Litera / La Llitera	01	a) Sin SAU	86
09	La Litera / La Llitera	02	b) <2 Ha de SAU	12
09	La Litera / La Llitera	03	b) <2 Ha de SAU	21
09	La Litera / La Llitera	04	b) <2 Ha de SAU	23
09	La Litera / La Llitera	05	b) <2 Ha de SAU	243
09	La Litera / La Llitera	06	c) >=2 a <5 Ha de SAU	164
09	La Litera / La Llitera	07	c) >=2 a <5 Ha de SAU	120
09	La Litera / La Llitera	08	c) >=2 a <5 Ha de SAU	97
09	La Litera / La Llitera	09	d) >=5 a < 10 Ha de SAU	404
09	La Litera / La Llitera	10	e) >=10 a <20 Ha de SAU	366
09	La Litera / La Llitera	11	f) >=20 a < 30 Ha de SAU	178
09	La Litera / La Llitera	12	g) >=30 a < 50 Ha de SAU	200
09	La Litera / La Llitera	13	h) >=50 a < 100 Ha de SAU	68
09	La Litera / La Llitera	14	h) >=50 a < 100 Ha de SAU	62
09	La Litera / La Llitera	15	i) >=100 Ha de SAU	32
09	La Litera / La Llitera	16	i) >=100 Ha de SAU	17
09	La Litera / La Llitera	17	i) >=100 Ha de SAU	5
09	La Litera / La Llitera	18	i) >=100 Ha de SAU	6
09	La Litera / La Llitera	19	i) >=100 Ha de SAU	7
09	La Litera / La Llitera	20	i) >=100 Ha de SAU	1
10	Los Monegros	01	a) Sin SAU	138
10	Los Monegros	02	b) <2 Ha de SAU	8
10	Los Monegros	03	b) <2 Ha de SAU	13
10	Los Monegros	04	b) <2 Ha de SAU	4
10	Los Monegros	05	b) <2 Ha de SAU	110
10	Los Monegros	06	c) >=2 a <5 Ha de SAU	70
10	Los Monegros	07	c) >=2 a <5 Ha de SAU	50
10	Los Monegros	08	c) >=2 a <5 Ha de SAU	50
10	Los Monegros	09	d) >=5 a < 10 Ha de SAU	233
10	Los Monegros	10	e) >=10 a <20 Ha de SAU	532
10	Los Monegros	11	f) >=20 a < 30 Ha de SAU	402
10	Los Monegros	12	g) >=30 a < 50 Ha de SAU	542
10	Los Monegros	13	h) >=50 a < 100 Ha de SAU	348
10	Los Monegros	14	h) >=50 a < 100 Ha de SAU	315
10	Los Monegros	15	i) >=100 Ha de SAU	222
10	Los Monegros	16	i) >=100 Ha de SAU	116
10	Los Monegros	17	i) >=100 Ha de SAU	76
10	Los Monegros	18	i) >=100 Ha de SAU	47
10	Los Monegros	19	i) >=100 Ha de SAU	13
10	Los Monegros	20	i) >=100 Ha de SAU	9
10	Los Monegros	21	i) >=100 Ha de SAU	1
11	Bajo Cinca / Baix Cinca	01	a) Sin SAU	63
11	Bajo Cinca / Baix Cinca	02	b) <2 Ha de SAU	17
11	Bajo Cinca / Baix Cinca	03	b) <2 Ha de SAU	61
11	Bajo Cinca / Baix Cinca	04	b) <2 Ha de SAU	77
11	Bajo Cinca / Baix Cinca	05	b) <2 Ha de SAU	259
11	Bajo Cinca / Baix Cinca	06	c) >=2 a <5 Ha de SAU	139
11	Bajo Cinca / Baix Cinca	07	c) >=2 a <5 Ha de SAU	140
11	Bajo Cinca / Baix Cinca	08	c) >=2 a <5 Ha de SAU	107
11	Bajo Cinca / Baix Cinca	09	d) >=5 a < 10 Ha de SAU	393
11	Bajo Cinca / Baix Cinca	10	e) >=10 a <20 Ha de SAU	357
11	Bajo Cinca / Baix Cinca	11	f) >=20 a < 30 Ha de SAU	184
11	Bajo Cinca / Baix Cinca	12	g) >=30 a < 50 Ha de SAU	229
11	Bajo Cinca / Baix Cinca	13	h) >=50 a < 100 Ha de SAU	113
11	Bajo Cinca / Baix Cinca	14	h) >=50 a < 100 Ha de SAU	111
11	Bajo Cinca / Baix Cinca	15	i) >=100 Ha de SAU	78
11	Bajo Cinca / Baix Cinca	16	i) >=100 Ha de SAU	25
11	Bajo Cinca / Baix Cinca	17	i) >=100 Ha de SAU	27
11	Bajo Cinca / Baix Cinca	18	i) >=100 Ha de SAU	14
11	Bajo Cinca / Baix Cinca	19	i) >=100 Ha de SAU	9
11	Bajo Cinca / Baix Cinca	20	i) >=100 Ha de SAU	1
11	Bajo Cinca / Baix Cinca	21	i) >=100 Ha de SAU	1
12	Tarazona y el Moncayo	01	a) Sin SAU	25
12	Tarazona y el Moncayo	02	b) <2 Ha de SAU	1
12	Tarazona y el Moncayo	03	b) <2 Ha de SAU	20
12	Tarazona y el Moncayo	04	b) <2 Ha de SAU	45
12	Tarazona y el Moncayo	05	b) <2 Ha de SAU	155
12	Tarazona y el Moncayo	06	c) >=2 a <5 Ha de SAU	84
12	Tarazona y el Moncayo	07	c) >=2 a <5 Ha de SAU	75
12	Tarazona y el Moncayo	08	c) >=2 a <5 Ha de SAU	56
12	Tarazona y el Moncayo	09	d) >=5 a < 10 Ha de SAU	122
12	Tarazona y el Moncayo	10	e) >=10 a <20 Ha de SAU	85
12	Tarazona y el Moncayo	11	f) >=20 a < 30 Ha de SAU	39
12	Tarazona y el Moncayo	12	g) >=30 a < 50 Ha de SAU	37
12	Tarazona y el Moncayo	13	h) >=50 a < 100 Ha de SAU	19
12	Tarazona y el Moncayo	14	h) >=50 a < 100 Ha de SAU	21
12	Tarazona y el Moncayo	15	i) >=100 Ha de SAU	19
12	Tarazona y el Moncayo	16	i) >=100 Ha de SAU	9
12	Tarazona y el Moncayo	17	i) >=100 Ha de SAU	5
12	Tarazona y el Moncayo	18	i) >=100 Ha de SAU	2
12	Tarazona y el Moncayo	19	i) >=100 Ha de SAU	3
13	Campo de Borja	01	a) Sin SAU	37
13	Campo de Borja	02	b) <2 Ha de SAU	1
13	Campo de Borja	03	b) <2 Ha de SAU	14
13	Campo de Borja	04	b) <2 Ha de SAU	25
13	Campo de Borja	05	b) <2 Ha de SAU	253
13	Campo de Borja	06	c) >=2 a <5 Ha de SAU	166
13	Campo de Borja	07	c) >=2 a <5 Ha de SAU	127
13	Campo de Borja	08	c) >=2 a <5 Ha de SAU	115
13	Campo de Borja	09	d) >=5 a < 10 Ha de SAU	286
13	Campo de Borja	10	e) >=10 a <20 Ha de SAU	272
13	Campo de Borja	11	f) >=20 a < 30 Ha de SAU	142
13	Campo de Borja	12	g) >=30 a < 50 Ha de SAU	152
13	Campo de Borja	13	h) >=50 a < 100 Ha de SAU	60
13	Campo de Borja	14	h) >=50 a < 100 Ha de SAU	44
13	Campo de Borja	15	i) >=100 Ha de SAU	45
13	Campo de Borja	16	i) >=100 Ha de SAU	12
13	Campo de Borja	17	i) >=100 Ha de SAU	12
13	Campo de Borja	18	i) >=100 Ha de SAU	4
13	Campo de Borja	19	i) >=100 Ha de SAU	6
13	Campo de Borja	21	i) >=100 Ha de SAU	1
14	Aranda	01	a) Sin SAU	15
14	Aranda	02	b) <2 Ha de SAU	1
14	Aranda	03	b) <2 Ha de SAU	8
14	Aranda	04	b) <2 Ha de SAU	3
14	Aranda	05	b) <2 Ha de SAU	158
14	Aranda	06	c) >=2 a <5 Ha de SAU	109
14	Aranda	07	c) >=2 a <5 Ha de SAU	59
14	Aranda	08	c) >=2 a <5 Ha de SAU	49
14	Aranda	09	d) >=5 a < 10 Ha de SAU	116
14	Aranda	10	e) >=10 a <20 Ha de SAU	56
14	Aranda	11	f) >=20 a < 30 Ha de SAU	28
14	Aranda	12	g) >=30 a < 50 Ha de SAU	23
14	Aranda	13	h) >=50 a < 100 Ha de SAU	14
14	Aranda	14	h) >=50 a < 100 Ha de SAU	7
14	Aranda	15	i) >=100 Ha de SAU	14
14	Aranda	16	i) >=100 Ha de SAU	3
14	Aranda	17	i) >=100 Ha de SAU	5
14	Aranda	18	i) >=100 Ha de SAU	6
14	Aranda	19	i) >=100 Ha de SAU	8
14	Aranda	20	i) >=100 Ha de SAU	2
14	Aranda	21	i) >=100 Ha de SAU	1
15	Ribera Alta del Ebro	01	a) Sin SAU	37
15	Ribera Alta del Ebro	02	b) <2 Ha de SAU	4
15	Ribera Alta del Ebro	03	b) <2 Ha de SAU	23
15	Ribera Alta del Ebro	04	b) <2 Ha de SAU	14
15	Ribera Alta del Ebro	05	b) <2 Ha de SAU	171
15	Ribera Alta del Ebro	06	c) >=2 a <5 Ha de SAU	105
15	Ribera Alta del Ebro	07	c) >=2 a <5 Ha de SAU	78
15	Ribera Alta del Ebro	08	c) >=2 a <5 Ha de SAU	64
15	Ribera Alta del Ebro	09	d) >=5 a < 10 Ha de SAU	195
15	Ribera Alta del Ebro	10	e) >=10 a <20 Ha de SAU	133
15	Ribera Alta del Ebro	11	f) >=20 a < 30 Ha de SAU	70
15	Ribera Alta del Ebro	12	g) >=30 a < 50 Ha de SAU	83
15	Ribera Alta del Ebro	13	h) >=50 a < 100 Ha de SAU	51
15	Ribera Alta del Ebro	14	h) >=50 a < 100 Ha de SAU	31
15	Ribera Alta del Ebro	15	i) >=100 Ha de SAU	20
15	Ribera Alta del Ebro	16	i) >=100 Ha de SAU	9
15	Ribera Alta del Ebro	17	i) >=100 Ha de SAU	4
15	Ribera Alta del Ebro	18	i) >=100 Ha de SAU	8
15	Ribera Alta del Ebro	19	i) >=100 Ha de SAU	6
15	Ribera Alta del Ebro	20	i) >=100 Ha de SAU	1
16	Valdejalón	01	a) Sin SAU	35
16	Valdejalón	02	b) <2 Ha de SAU	4
16	Valdejalón	03	b) <2 Ha de SAU	45
16	Valdejalón	04	b) <2 Ha de SAU	71
16	Valdejalón	05	b) <2 Ha de SAU	507
16	Valdejalón	06	c) >=2 a <5 Ha de SAU	320
16	Valdejalón	07	c) >=2 a <5 Ha de SAU	179
16	Valdejalón	08	c) >=2 a <5 Ha de SAU	137
16	Valdejalón	09	d) >=5 a < 10 Ha de SAU	375
16	Valdejalón	10	e) >=10 a <20 Ha de SAU	296
16	Valdejalón	11	f) >=20 a < 30 Ha de SAU	132
16	Valdejalón	12	g) >=30 a < 50 Ha de SAU	134
16	Valdejalón	13	h) >=50 a < 100 Ha de SAU	82
16	Valdejalón	14	h) >=50 a < 100 Ha de SAU	63
16	Valdejalón	15	i) >=100 Ha de SAU	60
16	Valdejalón	16	i) >=100 Ha de SAU	27
16	Valdejalón	17	i) >=100 Ha de SAU	26
16	Valdejalón	18	i) >=100 Ha de SAU	11
16	Valdejalón	19	i) >=100 Ha de SAU	10
16	Valdejalón	20	i) >=100 Ha de SAU	1
17	D.C. Zaragoza	01	a) Sin SAU	58
17	D.C. Zaragoza	02	b) <2 Ha de SAU	6
17	D.C. Zaragoza	03	b) <2 Ha de SAU	25
17	D.C. Zaragoza	04	b) <2 Ha de SAU	37
17	D.C. Zaragoza	05	b) <2 Ha de SAU	265
17	D.C. Zaragoza	06	c) >=2 a <5 Ha de SAU	173
17	D.C. Zaragoza	07	c) >=2 a <5 Ha de SAU	140
17	D.C. Zaragoza	08	c) >=2 a <5 Ha de SAU	106
17	D.C. Zaragoza	09	d) >=5 a < 10 Ha de SAU	360
17	D.C. Zaragoza	10	e) >=10 a <20 Ha de SAU	383
17	D.C. Zaragoza	11	f) >=20 a < 30 Ha de SAU	216
17	D.C. Zaragoza	12	g) >=30 a < 50 Ha de SAU	267
17	D.C. Zaragoza	13	h) >=50 a < 100 Ha de SAU	155
17	D.C. Zaragoza	14	h) >=50 a < 100 Ha de SAU	156
17	D.C. Zaragoza	15	i) >=100 Ha de SAU	130
17	D.C. Zaragoza	16	i) >=100 Ha de SAU	46
17	D.C. Zaragoza	17	i) >=100 Ha de SAU	46
17	D.C. Zaragoza	18	i) >=100 Ha de SAU	21
17	D.C. Zaragoza	19	i) >=100 Ha de SAU	14
17	D.C. Zaragoza	20	i) >=100 Ha de SAU	4
17	D.C. Zaragoza	21	i) >=100 Ha de SAU	1
18	Ribera Baja del Ebro	01	a) Sin SAU	31
18	Ribera Baja del Ebro	02	b) <2 Ha de SAU	1
18	Ribera Baja del Ebro	03	b) <2 Ha de SAU	4
18	Ribera Baja del Ebro	04	b) <2 Ha de SAU	4
18	Ribera Baja del Ebro	05	b) <2 Ha de SAU	84
18	Ribera Baja del Ebro	06	c) >=2 a <5 Ha de SAU	63
18	Ribera Baja del Ebro	07	c) >=2 a <5 Ha de SAU	40
18	Ribera Baja del Ebro	08	c) >=2 a <5 Ha de SAU	29
18	Ribera Baja del Ebro	09	d) >=5 a < 10 Ha de SAU	122
18	Ribera Baja del Ebro	10	e) >=10 a <20 Ha de SAU	137
18	Ribera Baja del Ebro	11	f) >=20 a < 30 Ha de SAU	108
18	Ribera Baja del Ebro	12	g) >=30 a < 50 Ha de SAU	132
18	Ribera Baja del Ebro	13	h) >=50 a < 100 Ha de SAU	87
18	Ribera Baja del Ebro	14	h) >=50 a < 100 Ha de SAU	74
18	Ribera Baja del Ebro	15	i) >=100 Ha de SAU	76
18	Ribera Baja del Ebro	16	i) >=100 Ha de SAU	32
18	Ribera Baja del Ebro	17	i) >=100 Ha de SAU	34
18	Ribera Baja del Ebro	18	i) >=100 Ha de SAU	12
18	Ribera Baja del Ebro	19	i) >=100 Ha de SAU	8
18	Ribera Baja del Ebro	20	i) >=100 Ha de SAU	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	01	a) Sin SAU	56
19	Bajo Aragón-Caspe / Baix Aragó-Casp	02	b) <2 Ha de SAU	7
19	Bajo Aragón-Caspe / Baix Aragó-Casp	03	b) <2 Ha de SAU	27
19	Bajo Aragón-Caspe / Baix Aragó-Casp	04	b) <2 Ha de SAU	17
19	Bajo Aragón-Caspe / Baix Aragó-Casp	05	b) <2 Ha de SAU	186
19	Bajo Aragón-Caspe / Baix Aragó-Casp	06	c) >=2 a <5 Ha de SAU	134
19	Bajo Aragón-Caspe / Baix Aragó-Casp	07	c) >=2 a <5 Ha de SAU	123
19	Bajo Aragón-Caspe / Baix Aragó-Casp	08	c) >=2 a <5 Ha de SAU	79
19	Bajo Aragón-Caspe / Baix Aragó-Casp	09	d) >=5 a < 10 Ha de SAU	265
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10	e) >=10 a <20 Ha de SAU	287
19	Bajo Aragón-Caspe / Baix Aragó-Casp	11	f) >=20 a < 30 Ha de SAU	127
19	Bajo Aragón-Caspe / Baix Aragó-Casp	12	g) >=30 a < 50 Ha de SAU	122
19	Bajo Aragón-Caspe / Baix Aragó-Casp	13	h) >=50 a < 100 Ha de SAU	50
19	Bajo Aragón-Caspe / Baix Aragó-Casp	14	h) >=50 a < 100 Ha de SAU	35
19	Bajo Aragón-Caspe / Baix Aragó-Casp	15	i) >=100 Ha de SAU	43
19	Bajo Aragón-Caspe / Baix Aragó-Casp	16	i) >=100 Ha de SAU	19
19	Bajo Aragón-Caspe / Baix Aragó-Casp	17	i) >=100 Ha de SAU	22
19	Bajo Aragón-Caspe / Baix Aragó-Casp	18	i) >=100 Ha de SAU	12
19	Bajo Aragón-Caspe / Baix Aragó-Casp	19	i) >=100 Ha de SAU	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	20	i) >=100 Ha de SAU	2
20	Comunidad de Calatayud	01	a) Sin SAU	55
20	Comunidad de Calatayud	02	b) <2 Ha de SAU	2
20	Comunidad de Calatayud	03	b) <2 Ha de SAU	44
20	Comunidad de Calatayud	04	b) <2 Ha de SAU	80
20	Comunidad de Calatayud	05	b) <2 Ha de SAU	442
20	Comunidad de Calatayud	06	c) >=2 a <5 Ha de SAU	366
20	Comunidad de Calatayud	07	c) >=2 a <5 Ha de SAU	275
20	Comunidad de Calatayud	08	c) >=2 a <5 Ha de SAU	214
20	Comunidad de Calatayud	09	d) >=5 a < 10 Ha de SAU	631
20	Comunidad de Calatayud	10	e) >=10 a <20 Ha de SAU	426
20	Comunidad de Calatayud	11	f) >=20 a < 30 Ha de SAU	202
20	Comunidad de Calatayud	12	g) >=30 a < 50 Ha de SAU	175
20	Comunidad de Calatayud	13	h) >=50 a < 100 Ha de SAU	98
20	Comunidad de Calatayud	14	h) >=50 a < 100 Ha de SAU	89
20	Comunidad de Calatayud	15	i) >=100 Ha de SAU	90
20	Comunidad de Calatayud	16	i) >=100 Ha de SAU	57
20	Comunidad de Calatayud	17	i) >=100 Ha de SAU	51
20	Comunidad de Calatayud	18	i) >=100 Ha de SAU	36
20	Comunidad de Calatayud	19	i) >=100 Ha de SAU	16
20	Comunidad de Calatayud	20	i) >=100 Ha de SAU	5
20	Comunidad de Calatayud	21	i) >=100 Ha de SAU	1
21	Campo de Cariñena	01	a) Sin SAU	11
21	Campo de Cariñena	03	b) <2 Ha de SAU	2
21	Campo de Cariñena	04	b) <2 Ha de SAU	2
21	Campo de Cariñena	05	b) <2 Ha de SAU	301
21	Campo de Cariñena	06	c) >=2 a <5 Ha de SAU	206
21	Campo de Cariñena	07	c) >=2 a <5 Ha de SAU	183
21	Campo de Cariñena	08	c) >=2 a <5 Ha de SAU	138
21	Campo de Cariñena	09	d) >=5 a < 10 Ha de SAU	357
21	Campo de Cariñena	10	e) >=10 a <20 Ha de SAU	306
21	Campo de Cariñena	11	f) >=20 a < 30 Ha de SAU	133
21	Campo de Cariñena	12	g) >=30 a < 50 Ha de SAU	114
21	Campo de Cariñena	13	h) >=50 a < 100 Ha de SAU	67
21	Campo de Cariñena	14	h) >=50 a < 100 Ha de SAU	57
21	Campo de Cariñena	15	i) >=100 Ha de SAU	51
21	Campo de Cariñena	16	i) >=100 Ha de SAU	24
21	Campo de Cariñena	17	i) >=100 Ha de SAU	14
21	Campo de Cariñena	18	i) >=100 Ha de SAU	7
21	Campo de Cariñena	19	i) >=100 Ha de SAU	2
21	Campo de Cariñena	20	i) >=100 Ha de SAU	1
22	Campo de Belchite	01	a) Sin SAU	24
22	Campo de Belchite	02	b) <2 Ha de SAU	1
22	Campo de Belchite	03	b) <2 Ha de SAU	5
22	Campo de Belchite	04	b) <2 Ha de SAU	12
