Municipio código	Municipio nombre	Refrigeración	Número hogares
22061	Binéfar	Sin refrigeración	2477
22062	Bisaurri	Con refrigeración	1
22062	Bisaurri	Sin refrigeración	90
22063	Biscarrués	Con refrigeración	3
22063	Biscarrués	Sin refrigeración	80
22064	Blecua y Torres	Sin refrigeración	70
22066	Boltaña	Con refrigeración	4
22066	Boltaña	Sin refrigeración	316
22067	Bonansa	Sin refrigeración	30
22068	Borau	Con refrigeración	1
22068	Borau	Sin refrigeración	32
22069	Broto	Con refrigeración	1
22069	Broto	Sin refrigeración	187
22072	Caldearenas	Sin refrigeración	102
22074	Campo	Con refrigeración	3
22074	Campo	Sin refrigeración	126
22075	Camporrells	Con refrigeración	1
22075	Camporrells	Sin refrigeración	110
22076	Canal de Berdún	Con refrigeración	1
22076	Canal de Berdún	Sin refrigeración	175
22077	Candasnos	Con refrigeración	27
22077	Candasnos	Sin refrigeración	169
22078	Canfranc	Con refrigeración	16
22078	Canfranc	Sin refrigeración	219
22079	Capdesaso	Sin refrigeración	65
22080	Capella	Con refrigeración	2
22080	Capella	Sin refrigeración	137
22081	Casbas de Huesca	Sin refrigeración	115
22082	Castejón del Puente	Con refrigeración	8
22082	Castejón del Puente	Sin refrigeración	132
22083	Castejón de Monegros	Sin refrigeración	246
22084	Castejón de Sos	Con refrigeración	10
22084	Castejón de Sos	Sin refrigeración	213
22085	Castelflorite	Sin refrigeración	48
22086	Castiello de Jaca	Con refrigeración	6
22086	Castiello de Jaca	Sin refrigeración	74
22087	Castigaleu	Sin refrigeración	26
22088	Castillazuelo	Con refrigeración	5
22088	Castillazuelo	Sin refrigeración	91
22089	Castillonroy	Con refrigeración	12
22089	Castillonroy	Sin refrigeración	134
22090	Colungo	Con refrigeración	1
22090	Colungo	Sin refrigeración	61
22094	Chalamera	Con refrigeración	6
22094	Chalamera	Sin refrigeración	58
22095	Chía	Sin refrigeración	43
22096	Chimillas	Con refrigeración	7
22096	Chimillas	Sin refrigeración	70
22099	Esplús	Con refrigeración	11
22099	Esplús	Sin refrigeración	236
22102	Estada	Con refrigeración	6
22102	Estada	Sin refrigeración	72
22103	Estadilla	Con refrigeración	23
22103	Estadilla	Sin refrigeración	304
22105	Estopiñán del Castillo	Con refrigeración	5
22105	Estopiñán del Castillo	Sin refrigeración	90
22106	Fago	Sin refrigeración	21
22107	Fanlo	Con refrigeración	4
22107	Fanlo	Sin refrigeración	68
22109	Fiscal	Sin refrigeración	101
22110	Fonz	Con refrigeración	37
22110	Fonz	Sin refrigeración	401
22111	Foradada del Toscar	Con refrigeración	2
22111	Foradada del Toscar	Sin refrigeración	74
22112	Fraga	Con refrigeración	958
22112	Fraga	Sin refrigeración	2964
22113	Fueva (La)	Con refrigeración	6
22113	Fueva (La)	Sin refrigeración	170
22114	Gistaín	Sin refrigeración	67
22115	Grado (El)	Con refrigeración	12
22115	Grado (El)	Sin refrigeración	213
22116	Grañén	Con refrigeración	71
22116	Grañén	Sin refrigeración	616
22117	Graus	Con refrigeración	36
22117	Graus	Sin refrigeración	1130
22119	Gurrea de Gállego	Con refrigeración	35
22119	Gurrea de Gállego	Sin refrigeración	619
22122	Hoz de Jaca	Con refrigeración	1
22122	Hoz de Jaca	Sin refrigeración	25
22124	Huerto	Con refrigeración	1
22124	Huerto	Sin refrigeración	100
22125	Huesca	Con refrigeración	1948
22125	Huesca	Sin refrigeración	14522
22126	Ibieca	Sin refrigeración	41
22127	Igriés	Sin refrigeración	83
22128	Ilche	Con refrigeración	7
22128	Ilche	Sin refrigeración	78
22129	Isábena	Con refrigeración	6
22129	Isábena	Sin refrigeración	88
22130	Jaca	Con refrigeración	80
22130	Jaca	Sin refrigeración	4047
22131	Jasa	Con refrigeración	1
22131	Jasa	Sin refrigeración	47
22133	Labuerda	Con refrigeración	4
22133	Labuerda	Sin refrigeración	62
22135	Laluenga	Sin refrigeración	100
22136	Lalueza	Con refrigeración	36
22136	Lalueza	Sin refrigeración	393
22137	Lanaja	Con refrigeración	36
22137	Lanaja	Sin refrigeración	551
22139	Laperdiguera	Sin refrigeración	35
22141	Lascellas-Ponzano	Sin refrigeración	70
22142	Lascuarre	Sin refrigeración	57
22143	Laspaúles	Con refrigeración	1
22143	Laspaúles	Sin refrigeración	101
22144	Laspuña	Con refrigeración	1
22144	Laspuña	Sin refrigeración	81
22149	Loarre	Con refrigeración	4
22149	Loarre	Sin refrigeración	153
22150	Loporzano	Con refrigeración	6
22150	Loporzano	Sin refrigeración	165
22151	Loscorrales	Con refrigeración	1
22151	Loscorrales	Sin refrigeración	44
22155	Monesma y Cajigar	Sin refrigeración	28
22156	Monflorite-Lascasas	Con refrigeración	1
22156	Monflorite-Lascasas	Sin refrigeración	73
22157	Montanuy	Con refrigeración	4
22157	Montanuy	Sin refrigeración	103
22158	Monzón	Con refrigeración	649
22158	Monzón	Sin refrigeración	4669
22160	Naval	Con refrigeración	1
22160	Naval	Sin refrigeración	120
22162	Novales	Con refrigeración	2
22162	Novales	Sin refrigeración	62
22163	Nueno	Con refrigeración	1
22163	Nueno	Sin refrigeración	130
22164	Olvena	Sin refrigeración	24
22165	Ontiñena	Con refrigeración	16
22165	Ontiñena	Sin refrigeración	215
22167	Osso de Cinca	Con refrigeración	19
22167	Osso de Cinca	Sin refrigeración	213
22168	Palo	Sin refrigeración	16
22170	Panticosa	Con refrigeración	5
22170	Panticosa	Sin refrigeración	268
22172	Peñalba	Con refrigeración	33
22172	Peñalba	Sin refrigeración	203
22173	Peñas de Riglos (Las)	Con refrigeración	2
22173	Peñas de Riglos (Las)	Sin refrigeración	127
22174	Peralta de Alcofea	Con refrigeración	5
22174	Peralta de Alcofea	Sin refrigeración	237
22175	Peralta de Calasanz	Sin refrigeración	126
22176	Peraltilla	Con refrigeración	3
22176	Peraltilla	Sin refrigeración	55
22177	Perarrúa	Con refrigeración	1
22177	Perarrúa	Sin refrigeración	53
22178	Pertusa	Con refrigeración	1
22178	Pertusa	Sin refrigeración	51
22181	Piracés	Sin refrigeración	35
22182	Plan	Sin refrigeración	113
22184	Poleñino	Con refrigeración	11
22184	Poleñino	Sin refrigeración	71
22186	Pozán de Vero	Con refrigeración	3
22186	Pozán de Vero	Sin refrigeración	88
22187	Puebla de Castro (La)	Con refrigeración	4
22187	Puebla de Castro (La)	Sin refrigeración	132
22188	Puente de Montañana	Con refrigeración	2
22188	Puente de Montañana	Sin refrigeración	49
22189	Puértolas	Con refrigeración	2
22189	Puértolas	Sin refrigeración	72
22190	Pueyo de Araguás (El)	Sin refrigeración	48
22193	Pueyo de Santa Cruz	Con refrigeración	8
22193	Pueyo de Santa Cruz	Sin refrigeración	100
22195	Quicena	Con refrigeración	2
22195	Quicena	Sin refrigeración	39
22197	Robres	Con refrigeración	4
22197	Robres	Sin refrigeración	225
22199	Sabiñánigo	Con refrigeración	50
22199	Sabiñánigo	Sin refrigeración	2988
22200	Sahún	Con refrigeración	3
22200	Sahún	Sin refrigeración	91
22201	Salas Altas	Con refrigeración	1
22201	Salas Altas	Sin refrigeración	134
22202	Salas Bajas	Con refrigeración	2
22202	Salas Bajas	Sin refrigeración	59
22203	Salillas	Con refrigeración	1
22203	Salillas	Sin refrigeración	48
22204	Sallent de Gállego	Con refrigeración	13
22204	Sallent de Gállego	Sin refrigeración	374
22205	San Esteban de Litera	Con refrigeración	8
22205	San Esteban de Litera	Sin refrigeración	222
22206	Sangarrén	Con refrigeración	1
22206	Sangarrén	Sin refrigeración	94
22207	San Juan de Plan	Sin refrigeración	51
22208	Santa Cilia	Con refrigeración	1
22208	Santa Cilia	Sin refrigeración	73
22209	Santa Cruz de la Serós	Con refrigeración	1
22209	Santa Cruz de la Serós	Sin refrigeración	52
22212	Santaliestra y San Quílez	Con refrigeración	2
22212	Santaliestra y San Quílez	Sin refrigeración	53
22213	Sariñena	Con refrigeración	98
22213	Sariñena	Sin refrigeración	1273
22214	Secastilla	Con refrigeración	4
22214	Secastilla	Sin refrigeración	40
22215	Seira	Sin refrigeración	73
22217	Sena	Con refrigeración	22
22217	Sena	Sin refrigeración	187
22218	Senés de Alcubierre	Sin refrigeración	16
22220	Sesa	Con refrigeración	3
22220	Sesa	Sin refrigeración	90
22221	Sesué	Con refrigeración	1
22221	Sesué	Sin refrigeración	51
22222	Siétamo	Con refrigeración	7
22222	Siétamo	Sin refrigeración	165
22223	Sopeira	Con refrigeración	1
22223	Sopeira	Sin refrigeración	45
22225	Tamarite de Litera	Con refrigeración	144
22225	Tamarite de Litera	Sin refrigeración	1144
22226	Tardienta	Con refrigeración	24
22226	Tardienta	Sin refrigeración	385
22227	Tella-Sin	Con refrigeración	2
22227	Tella-Sin	Sin refrigeración	112
22228	Tierz	Con refrigeración	2
22228	Tierz	Sin refrigeración	60
22229	Tolva	Con refrigeración	2
22229	Tolva	Sin refrigeración	74
22230	Torla	Con refrigeración	2
22230	Torla	Sin refrigeración	122
22232	Torralba de Aragón	Con refrigeración	2
22232	Torralba de Aragón	Sin refrigeración	47
22233	Torre la Ribera	Sin refrigeración	39
22234	Torrente de Cinca	Con refrigeración	92
22234	Torrente de Cinca	Sin refrigeración	283
22235	Torres de Alcanadre	Con refrigeración	1
22235	Torres de Alcanadre	Sin refrigeración	48
22236	Torres de Barbués	Con refrigeración	2
22236	Torres de Barbués	Sin refrigeración	120
22239	Tramaced	Con refrigeración	1
22239	Tramaced	Sin refrigeración	32
22242	Valfarta	Sin refrigeración	34
22243	Valle de Bardají	Sin refrigeración	13
22244	Valle de Lierp	Sin refrigeración	18
22245	Velilla de Cinca	Con refrigeración	5
22245	Velilla de Cinca	Sin refrigeración	157
22246	Veracruz	Sin refrigeración	49
22247	Viacamp y Litera	Sin refrigeración	13
22248	Vicién	Con refrigeración	2
22248	Vicién	Sin refrigeración	41
22249	Villanova	Sin refrigeración	51
22250	Villanúa	Sin refrigeración	145
22251	Villanueva de Sigena	Con refrigeración	18
22251	Villanueva de Sigena	Sin refrigeración	136
22252	Yebra de Basa	Sin refrigeración	54
22253	Yésero	Sin refrigeración	33
22254	Zaidín	Con refrigeración	83
22254	Zaidín	Sin refrigeración	482
22901	Valle de Hecho	Con refrigeración	6
22901	Valle de Hecho	Sin refrigeración	344
22902	Puente la Reina de Jaca	Con refrigeración	1
22902	Puente la Reina de Jaca	Sin refrigeración	93
22903	San Miguel del Cinca	Con refrigeración	21
22903	San Miguel del Cinca	Sin refrigeración	275
22904	Sotonera (La)	Con refrigeración	6
22904	Sotonera (La)	Sin refrigeración	423
22905	Lupiñén-Ortilla	Con refrigeración	5
22905	Lupiñén-Ortilla	Sin refrigeración	118
22906	Santa María de Dulcis	Con refrigeración	2
22906	Santa María de Dulcis	Sin refrigeración	84
22907	Aínsa-Sobrarbe	Con refrigeración	26
22907	Aínsa-Sobrarbe	Sin refrigeración	552
22908	Hoz y Costeán	Con refrigeración	3
22908	Hoz y Costeán	Sin refrigeración	82
22909	Vencillón	Con refrigeración	24
22909	Vencillón	Sin refrigeración	134
44001	Ababuj	Con refrigeración	11
44001	Ababuj	Sin refrigeración	23
44002	Abejuela	Sin refrigeración	32
44003	Aguatón	Con refrigeración	2
44003	Aguatón	Sin refrigeración	8
44004	Aguaviva	Con refrigeración	8
44004	Aguaviva	Sin refrigeración	252
44005	Aguilar del Alfambra	Con refrigeración	2
44005	Aguilar del Alfambra	Sin refrigeración	30
44006	Alacón	Con refrigeración	2
44006	Alacón	Sin refrigeración	164
44007	Alba	Sin refrigeración	109
44008	Albalate del Arzobispo	Con refrigeración	70
44008	Albalate del Arzobispo	Sin refrigeración	769
44009	Albarracín	Con refrigeración	2
44009	Albarracín	Sin refrigeración	364
44010	Albentosa	Con refrigeración	6
44010	Albentosa	Sin refrigeración	91
44011	Alcaine	Sin refrigeración	44
44012	Alcalá de la Selva	Con refrigeración	6
44012	Alcalá de la Selva	Sin refrigeración	200
44013	Alcañiz	Con refrigeración	933
44013	Alcañiz	Sin refrigeración	3779
44014	Alcorisa	Con refrigeración	82
44014	Alcorisa	Sin refrigeración	1088
44016	Alfambra	Sin refrigeración	252
44017	Aliaga	Sin refrigeración	171
44018	Almohaja	Sin refrigeración	11
44019	Alobras	Sin refrigeración	42
44020	Alpeñés	Sin refrigeración	12
44021	Allepuz	Sin refrigeración	56
44022	Alloza	Con refrigeración	8
44022	Alloza	Sin refrigeración	307
44023	Allueva	Sin refrigeración	9
44024	Anadón	Sin refrigeración	6
44025	Andorra	Con refrigeración	227
44025	Andorra	Sin refrigeración	2394
44026	Arcos de las Salinas	Sin refrigeración	65
44027	Arens de Lledó	Sin refrigeración	69
44028	Argente	Sin refrigeración	104
44029	Ariño	Con refrigeración	15
44029	Ariño	Sin refrigeración	310
44031	Azaila	Con refrigeración	2
44031	Azaila	Sin refrigeración	77
44032	Bádenas	Sin refrigeración	13
44033	Báguena	Sin refrigeración	197
44034	Bañón	Sin refrigeración	69
44035	Barrachina	Sin refrigeración	69
44036	Bea	Sin refrigeración	18
44037	Beceite	Con refrigeración	3
44037	Beceite	Sin refrigeración	234
44038	Belmonte de San José	Sin refrigeración	62
44039	Bello	Sin refrigeración	159
44040	Berge	Con refrigeración	1
44040	Berge	Sin refrigeración	97
44041	Bezas	Sin refrigeración	34
44042	Blancas	Con refrigeración	1
44042	Blancas	Sin refrigeración	73
44043	Blesa	Con refrigeración	1
44043	Blesa	Sin refrigeración	66
44044	Bordón	Sin refrigeración	57
44045	Bronchales	Sin refrigeración	193
44046	Bueña	Sin refrigeración	42
44047	Burbáguena	Sin refrigeración	121
44048	Cabra de Mora	Con refrigeración	1
44048	Cabra de Mora	Sin refrigeración	41
44049	Calaceite	Con refrigeración	13
44049	Calaceite	Sin refrigeración	441
44050	Calamocha	Con refrigeración	7
44050	Calamocha	Sin refrigeración	1590
44051	Calanda	Con refrigeración	191
44051	Calanda	Sin refrigeración	1033
44052	Calomarde	Sin refrigeración	33
44053	Camañas	Sin refrigeración	57
44054	Camarena de la Sierra	Con refrigeración	4
44054	Camarena de la Sierra	Sin refrigeración	62
44055	Camarillas	Con refrigeración	2
44055	Camarillas	Sin refrigeración	41
44056	Caminreal	Con refrigeración	1
44056	Caminreal	Sin refrigeración	307
44059	Cantavieja	Con refrigeración	19
44059	Cantavieja	Sin refrigeración	246
44060	Cañada de Benatanduz	Sin refrigeración	25
44061	Cañada de Verich (La)	Con refrigeración	2
44061	Cañada de Verich (La)	Sin refrigeración	43
44062	Cañada Vellida	Sin refrigeración	21
44063	Cañizar del Olivar	Sin refrigeración	44
44064	Cascante del Río	Sin refrigeración	52
44065	Castejón de Tornos	Sin refrigeración	43
44066	Castel de Cabra	Sin refrigeración	62
44067	Castelnou	Con refrigeración	1
44067	Castelnou	Sin refrigeración	41
44068	Castelserás	Con refrigeración	14
44068	Castelserás	Sin refrigeración	295
44070	Castellar (El)	Sin refrigeración	38
44071	Castellote	Con refrigeración	18
44071	Castellote	Sin refrigeración	317
44074	Cedrillas	Sin refrigeración	191
44075	Celadas	Sin refrigeración	200
44076	Cella	Con refrigeración	1
44076	Cella	Sin refrigeración	1085
44077	Cerollera (La)	Sin refrigeración	41
44080	Codoñera (La)	Con refrigeración	9
44080	Codoñera (La)	Sin refrigeración	120
44082	Corbalán	Sin refrigeración	38
44084	Cortes de Aragón	Sin refrigeración	50
44085	Cosa	Con refrigeración	1
44085	Cosa	Sin refrigeración	37
44086	Cretas	Con refrigeración	1
44086	Cretas	Sin refrigeración	217
44087	Crivillén	Sin refrigeración	48
44088	Cuba (La)	Sin refrigeración	27
44089	Cubla	Sin refrigeración	23
44090	Cucalón	Sin refrigeración	32
44092	Cuervo (El)	Sin refrigeración	56
44093	Cuevas de Almudén	Sin refrigeración	37
44094	Cuevas Labradas	Sin refrigeración	63
44096	Ejulve	Con refrigeración	2
44096	Ejulve	Sin refrigeración	86
44097	Escorihuela	Sin refrigeración	90
44099	Escucha	Con refrigeración	6
44099	Escucha	Sin refrigeración	365
44100	Estercuel	Con refrigeración	5
44100	Estercuel	Sin refrigeración	120
44101	Ferreruela de Huerva	Sin refrigeración	39
44102	Fonfría	Sin refrigeración	12
44103	Formiche Alto	Sin refrigeración	82
44105	Fórnoles	Sin refrigeración	48
44106	Fortanete	Sin refrigeración	83
44107	Foz-Calanda	Con refrigeración	3
44107	Foz-Calanda	Sin refrigeración	96
44108	Fresneda (La)	Con refrigeración	6
44108	Fresneda (La)	Sin refrigeración	176
44109	Frías de Albarracín	Sin refrigeración	65
44110	Fuenferrada	Sin refrigeración	19
44111	Fuentes Calientes	Sin refrigeración	49
44112	Fuentes Claras	Sin refrigeración	258
44113	Fuentes de Rubielos	Sin refrigeración	42
44114	Fuentespalda	Con refrigeración	3
44114	Fuentespalda	Sin refrigeración	129
44115	Galve	Sin refrigeración	53
44116	Gargallo	Sin refrigeración	47
44117	Gea de Albarracín	Sin refrigeración	178
44118	Ginebrosa (La)	Sin refrigeración	101
44119	Griegos	Con refrigeración	5
44119	Griegos	Sin refrigeración	52
44120	Guadalaviar	Sin refrigeración	104
44121	Gúdar	Con refrigeración	1
44121	Gúdar	Sin refrigeración	28
44122	Híjar	Con refrigeración	103
44122	Híjar	Sin refrigeración	649
44123	Hinojosa de Jarque	Con refrigeración	1
44123	Hinojosa de Jarque	Sin refrigeración	55
44124	Hoz de la Vieja (La)	Sin refrigeración	61
44125	Huesa del Común	Sin refrigeración	66
44126	Iglesuela del Cid (La)	Con refrigeración	1
44126	Iglesuela del Cid (La)	Sin refrigeración	190
44127	Jabaloyas	Sin refrigeración	35
44128	Jarque de la Val	Sin refrigeración	39
44129	Jatiel	Sin refrigeración	25
44130	Jorcas	Con refrigeración	3
44130	Jorcas	Sin refrigeración	17
44131	Josa	Sin refrigeración	20
44132	Lagueruela	Sin refrigeración	32
44133	Lanzuela	Sin refrigeración	14
44135	Libros	Sin refrigeración	75
44136	Lidón	Sin refrigeración	39
44137	Linares de Mora	Con refrigeración	2
44137	Linares de Mora	Sin refrigeración	120
44138	Loscos	Sin refrigeración	85
44141	Lledó	Sin refrigeración	68
44142	Maicas	Sin refrigeración	31
44143	Manzanera	Con refrigeración	2
44143	Manzanera	Sin refrigeración	201
44144	Martín del Río	Con refrigeración	5
44144	Martín del Río	Sin refrigeración	180
44145	Mas de las Matas	Con refrigeración	24
44145	Mas de las Matas	Sin refrigeración	491
44146	Mata de los Olmos (La)	Con refrigeración	2
44146	Mata de los Olmos (La)	Sin refrigeración	94
44147	Mazaleón	Con refrigeración	14
44147	Mazaleón	Sin refrigeración	210
44148	Mezquita de Jarque	Sin refrigeración	52
44149	Mirambel	Con refrigeración	1
44149	Mirambel	Sin refrigeración	52
44150	Miravete de la Sierra	Sin refrigeración	22
44151	Molinos	Sin refrigeración	126
44152	Monforte de Moyuela	Sin refrigeración	35
44153	Monreal del Campo	Con refrigeración	10
44153	Monreal del Campo	Sin refrigeración	860
44154	Monroyo	Sin refrigeración	140
44155	Montalbán	Con refrigeración	19
44155	Montalbán	Sin refrigeración	533
44156	Monteagudo del Castillo	Con refrigeración	6
44156	Monteagudo del Castillo	Sin refrigeración	20
44157	Monterde de Albarracín	Sin refrigeración	39
44158	Mora de Rubielos	Con refrigeración	2
44158	Mora de Rubielos	Sin refrigeración	534
44159	Moscardón	Sin refrigeración	27
44160	Mosqueruela	Con refrigeración	2
44160	Mosqueruela	Sin refrigeración	263
44161	Muniesa	Con refrigeración	6
44161	Muniesa	Sin refrigeración	293
44163	Noguera de Albarracín	Sin refrigeración	77
44164	Nogueras	Sin refrigeración	8
44165	Nogueruelas	Sin refrigeración	89
44167	Obón	Sin refrigeración	39
44168	Odón	Con refrigeración	1
44168	Odón	Sin refrigeración	96
44169	Ojos Negros	Con refrigeración	2
44169	Ojos Negros	Sin refrigeración	229
44171	Olba	Sin refrigeración	96
44172	Oliete	Con refrigeración	2
44172	Oliete	Sin refrigeración	216
44173	Olmos (Los)	Sin refrigeración	55
44174	Orihuela del Tremedal	Sin refrigeración	256
44175	Orrios	Sin refrigeración	62
44176	Palomar de Arroyos	Con refrigeración	1
44176	Palomar de Arroyos	Sin refrigeración	77
44177	Pancrudo	Sin refrigeración	64
44178	Parras de Castellote (Las)	Sin refrigeración	36
44179	Peñarroya de Tastavins	Con refrigeración	2
44179	Peñarroya de Tastavins	Sin refrigeración	196
44180	Peracense	Con refrigeración	1
44180	Peracense	Sin refrigeración	52
44181	Peralejos	Sin refrigeración	36
44182	Perales del Alfambra	Sin refrigeración	107
44183	Pitarque	Sin refrigeración	46
44184	Plou	Sin refrigeración	26
44185	Pobo (El)	Con refrigeración	11
44185	Pobo (El)	Sin refrigeración	49
44187	Portellada (La)	Con refrigeración	4
44187	Portellada (La)	Sin refrigeración	110
44189	Pozondón	Sin refrigeración	41
44190	Pozuel del Campo	Sin refrigeración	55
44191	Puebla de Híjar (La)	Con refrigeración	27
44191	Puebla de Híjar (La)	Sin refrigeración	384
44192	Puebla de Valverde (La)	Con refrigeración	3
44192	Puebla de Valverde (La)	Sin refrigeración	212
44193	Puertomingalvo	Sin refrigeración	67
44194	Ráfales	Sin refrigeración	86
44195	Rillo	Sin refrigeración	54
44196	Riodeva	Sin refrigeración	90
44197	Ródenas	Sin refrigeración	37
44198	Royuela	Sin refrigeración	90
44199	Rubiales	Sin refrigeración	23
44200	Rubielos de la Cérida	Sin refrigeración	25
44201	Rubielos de Mora	Con refrigeración	1
44201	Rubielos de Mora	Sin refrigeración	265
44203	Salcedillo	Sin refrigeración	6
44204	Saldón	Sin refrigeración	21
44205	Samper de Calanda	Con refrigeración	40
44205	Samper de Calanda	Sin refrigeración	368
44206	San Agustín	Sin refrigeración	64
44207	San Martín del Río	Sin refrigeración	127
44208	Santa Cruz de Nogueras	Sin refrigeración	17
44209	Santa Eulalia	Sin refrigeración	491
44210	Sarrión	Con refrigeración	11
44210	Sarrión	Sin refrigeración	396
44211	Segura de los Baños	Sin refrigeración	20
44212	Seno	Con refrigeración	1
44212	Seno	Sin refrigeración	22
44213	Singra	Con refrigeración	2
44213	Singra	Sin refrigeración	39
44215	Terriente	Con refrigeración	1
44215	Terriente	Sin refrigeración	70
44216	Teruel	Con refrigeración	618
44216	Teruel	Sin refrigeración	10103
44217	Toril y Masegoso	Sin refrigeración	14
44218	Tormón	Sin refrigeración	20
44219	Tornos	Con refrigeración	1
44219	Tornos	Sin refrigeración	111
44220	Torralba de los Sisones	Sin refrigeración	87
44221	Torrecilla de Alcañiz	Con refrigeración	12
44221	Torrecilla de Alcañiz	Sin refrigeración	149
44222	Torrecilla del Rebollar	Sin refrigeración	75
44223	Torre de Arcas	Sin refrigeración	39
44224	Torre de las Arcas	Con refrigeración	1
44224	Torre de las Arcas	Sin refrigeración	18
44225	Torre del Compte	Con refrigeración	4
44225	Torre del Compte	Sin refrigeración	74
44226	Torrelacárcel	Sin refrigeración	123
44227	Torre los Negros	Sin refrigeración	34
44228	Torremocha de Jiloca	Sin refrigeración	70
44229	Torres de Albarracín	Sin refrigeración	66
44230	Torrevelilla	Sin refrigeración	90
44231	Torrijas	Sin refrigeración	36
44232	Torrijo del Campo	Con refrigeración	2
44232	Torrijo del Campo	Sin refrigeración	230
44234	Tramacastiel	Sin refrigeración	49
44235	Tramacastilla	Sin refrigeración	58
44236	Tronchón	Sin refrigeración	46
44237	Urrea de Gaén	Con refrigeración	27
44237	Urrea de Gaén	Sin refrigeración	201
44238	Utrillas	Con refrigeración	39
44238	Utrillas	Sin refrigeración	1059
44239	Valacloche	Sin refrigeración	12
44240	Valbona	Con refrigeración	1
44240	Valbona	Sin refrigeración	86
44241	Valdealgorfa	Con refrigeración	11
44241	Valdealgorfa	Sin refrigeración	276
44243	Valdecuenca	Sin refrigeración	17
44244	Valdelinares	Con refrigeración	2
44244	Valdelinares	Sin refrigeración	53
44245	Valdeltormo	Con refrigeración	14
44245	Valdeltormo	Sin refrigeración	128
44246	Valderrobres	Con refrigeración	75
44246	Valderrobres	Sin refrigeración	662
44247	Valjunquera	Con refrigeración	3
44247	Valjunquera	Sin refrigeración	166
44249	Vallecillo (El)	Con refrigeración	1
44249	Vallecillo (El)	Sin refrigeración	26
