Año	Código del municipio	Nombre del municipio	Superficie total de las explotaciones	Superficie Agrícola Utilizada (SAU)	Hectáreas de SAU en propiedad	Hectáreas de SAU en arrendamiento	Hectáreas de SAU en aparcería	Hectáreas de SAU en otros regímenes de tenencia de las tierras
1989	22083	Castejón de Monegros	16126	10677	7542	2041	1057	38
1989	22084	Castejón de Sos	3192	775	662	113	0	0
1989	22085	Castelflorite	2941	2236	1594	85	194	364
1989	22086	Castiello de Jaca	1837	629	516	114	0	0
1989	22087	Castigaleu	2619	1563	1160	317	86	0
1989	22088	Castillazuelo	1438	1138	957	61	120	0
1989	22089	Castillonroy	2825	1792	1446	129	217	0
1989	22090	Colungo	3728	756	696	61	0	0
1989	22094	Chalamera	1055	574	453	44	75	2
1989	22095	Chía	2642	871	749	122	0	0
1989	22096	Chimillas	1047	976	846	130	0	0
1989	22099	Esplús	7061	6356	5649	621	86	1
1989	22102	Estada	1560	441	413	27	0	0
1989	22103	Estadilla	4699	2002	1644	214	144	0
1989	22105	Estopiñán del Castillo	8573	2122	1717	405	0	0
1989	22106	Fago	20	13	13	0	0	0
1989	22107	Fanlo	19425	3834	3659	175	0	0
1989	22109	Fiscal	16556	2859	1682	773	0	404
1989	22110	Fonz	5644	3684	2881	743	61	0
1989	22111	Foradada del Toscar	10417	2672	2391	281	0	0
1989	22112	Fraga	38686	20732	16856	2985	891	0
1989	22113	Fueva (La)	22594	3622	3226	372	25	0
1989	22114	Gistaín	8311	1278	1206	72	0	0
1989	22115	Grado (El)	5461	2120	1963	156	0	0
1989	22116	Grañén	10803	9490	6946	2135	399	10
1989	22117	Graus	21195	5492	4373	1042	74	3
1989	22119	Gurrea de Gállego	16046	12505	6725	1154	1007	3620
1989	22122	Hoz de Jaca	1163	488	464	24	0	0
1989	22124	Huerto	7911	5552	4083	1062	406	0
1989	22125	Huesca	12603	10171	7451	1599	928	192
1989	22126	Ibieca	1203	944	696	70	178	0
1989	22127	Igriés	1761	1157	759	382	2	14
1989	22128	Ilche	4291	4197	3355	490	94	258
1989	22129	Isábena	8280	6715	5980	413	4	318
1989	22130	Jaca	38606	9730	8183	1081	450	15
1989	22131	Jasa	786	46	39	7	0	0
1989	22133	Labuerda	1720	201	162	40	0	0
1989	22135	Laluenga	3521	2902	2011	432	12	447
1989	22136	Lalueza	7596	6658	2848	1619	2191	0
1989	22137	Lanaja	16141	11258	6262	2329	2632	35
1989	22139	Laperdiguera	743	733	491	108	33	101
1989	22141	Lascellas-Ponzano	1615	1479	956	382	139	1
1989	22142	Lascuarre	3093	877	720	157	0	0
1989	22143	Laspaúles	7977	3905	3381	524	0	0
1989	22144	Laspuña	4114	628	519	109	0	0
1989	22149	Loarre	7201	2611	1943	659	0	10
1989	22150	Loporzano	14264	7289	5067	1399	99	724
1989	22151	Loscorrales	3216	2791	1836	451	437	66
1989	22155	Monesma y Cajigar	6696	4782	3429	1270	83	0
1989	22156	Monflorite-Lascasas	2366	2323	1829	449	45	0
1989	22157	Montanuy	17288	8145	7177	968	0	0
1989	22158	Monzón	11791	10103	7369	1419	976	340
1989	22160	Naval	4209	666	624	42	0	0
1989	22162	Novales	1846	1588	1203	182	203	0
1989	22163	Nueno	13945	1647	1532	103	12	0
1989	22164	Olvena	1366	315	222	93	0	0
1989	22165	Ontiñena	12877	12775	10278	90	2407	0
1989	22167	Osso de Cinca	2176	1621	1412	111	90	9
1989	22168	Palo	1334	292	202	89	0	0
1989	22170	Panticosa	11067	6570	6514	57	0	0
1989	22172	Peñalba	12331	9081	5815	1954	1311	0
1989	22173	Peñas de Riglos (Las)	23766	1640	1174	466	0	0
1989	22174	Peralta de Alcofea	10359	10332	7370	2232	322	408
1989	22175	Peralta de Calasanz	10774	4551	3575	89	887	0
1989	22176	Peraltilla	1132	840	720	0	120	0
1989	22177	Perarrúa	2423	335	244	87	3	0
1989	22178	Pertusa	1777	1744	678	477	380	210
1989	22181	Piracés	1697	1165	605	444	117	0
1989	22182	Plan	8916	1265	1124	141	0	0
1989	22184	Poleñino	2147	1872	1299	396	177	0
1989	22186	Pozán de Vero	1318	1054	841	60	147	5
1989	22187	Puebla de Castro (La)	2335	687	553	134	0	0
1989	22188	Puente de Montañana	6332	2947	715	2232	0	0
1989	22189	Puértolas	9154	1698	1445	253	0	0
1989	22190	Pueyo de Araguás (El)	5639	1271	1149	122	0	0
1989	22193	Pueyo de Santa Cruz	876	698	529	70	99	0
1989	22195	Quicena	779	357	325	32	0	0
1989	22197	Robres	5863	3710	2405	1048	233	24
1989	22199	Sabiñánigo	53165	13296	8656	3844	201	595
1989	22200	Sahún	7106	528	325	203	0	0
1989	22201	Salas Altas	1778	1594	1519	53	22	0
1989	22202	Salas Bajas	861	632	614	18	0	0
1989	22203	Salillas	2589	1978	1460	116	402	0
1989	22204	Sallent de Gállego	13748	12345	9929	144	0	2272
1989	22205	San Esteban de Litera	5732	4281	2616	581	1084	0
1989	22206	Sangarrén	2775	2582	1979	226	197	181
1989	22207	San Juan de Plan	4550	406	322	83	0	0
1989	22208	Santa Cilia	2754	1031	605	149	277	0
1989	22209	Santa Cruz de la Serós	2690	687	668	1	18	0
1989	22212	Santaliestra y San Quílez	2724	208	105	103	0	0
1989	22213	Sariñena	21880	16544	9340	3427	1026	2751
1989	22214	Secastilla	7756	714	394	301	0	19
1989	22215	Seira	6825	352	208	143	0	0
1989	22217	Sena	8777	6138	4067	297	1085	689
1989	22218	Senés de Alcubierre	1993	1966	1598	102	267	0
1989	22220	Sesa	2405	1971	1340	228	403	0
1989	22221	Sesué	362	234	142	92	0	0
1989	22222	Siétamo	4733	3505	1981	1046	58	420
1989	22223	Sopeira	3846	1122	950	170	2	0
1989	22225	Tamarite de Litera	9682	8829	7255	794	780	0
1989	22226	Tardienta	8492	4503	3102	856	514	32
1989	22227	Tella-Sin	8495	3519	3423	97	0	0
1989	22228	Tierz	377	373	317	18	38	0
1989	22229	Tolva	6125	3189	1895	1269	26	0
1989	22230	Torla-Ordesa	14295	9258	9053	205	0	0
1989	22232	Torralba de Aragón	4068	2768	2255	175	337	1
1989	22233	Torre la Ribera	3056	2424	2072	281	17	53
1989	22234	Torrente de Cinca	4067	2418	2278	125	15	0
1989	22235	Torres de Alcanadre	1594	1556	1413	86	58	0
1989	22236	Torres de Barbués	1157	1120	706	303	100	12
1989	22239	Tramaced	1409	1334	1054	153	127	0
1989	22242	Valfarta	4096	3133	2181	71	852	29
1989	22243	Valle de Bardají	4512	267	210	57	0	0
1989	22244	Valle de Lierp	3489	1597	1350	246	0	0
1989	22245	Velilla de Cinca	1092	1052	996	47	9	0
1989	22246	Beranuy	5550	3402	2602	800	0	0
1989	22247	Viacamp y Litera	7141	2234	1921	313	0	0
1989	22248	Vicién	1576	1576	1408	167	0	0
1989	22249	Villanova	568	178	69	109	0	0
1989	22250	Villanúa	5716	2249	2108	141	0	0
1989	22251	Villanueva de Sigena	13340	9010	6672	1250	1088	0
1989	22252	Yebra de Basa	7603	926	812	114	0	0
1989	22253	Yésero	2786	764	757	7	0	0
1989	22254	Zaidín	8212	7503	6706	488	308	0
1989	22901	Valle de Hecho	22469	10237	10087	151	0	0
1989	22902	Puente la Reina de Jaca	4348	2015	1804	203	9	0
1989	22903	San Miguel del Cinca	9359	7795	4426	645	918	1806
1989	22904	Sotonera (La)	14996	10077	8956	1112	10	0
1989	22905	Lupiñén-Ortilla	10123	8860	7589	1182	90	0
1989	22906	Santa María de Dulcis	2162	1025	869	127	0	29
1989	22907	Aínsa-Sobrarbe	25974	7048	5540	1482	0	25
1989	22908	Hoz y Costeán	5352	2342	1950	325	67	0
1989	22909	Vencillón	935	817	806	11	0	0
1989	44001	Ababuj	5443	4912	3730	711	104	368
1989	44002	Abejuela	7873	409	105	305	0	0
1989	44003	Aguatón	2109	2065	1784	243	29	9
1989	44004	Aguaviva	3864	966	556	410	0	0
1989	44005	Aguilar del Alfambra	3811	3289	879	601	0	1808
1989	44006	Alacón	4570	1690	871	683	136	0
1989	44007	Alba	6666	6408	5228	902	225	53
1989	44008	Albalate del Arzobispo	20632	11489	5462	811	5042	174
1989	44009	Albarracín	46036	6407	2825	985	168	2430
1989	44010	Albentosa	6113	3755	3153	602	0	0
1989	44011	Alcaine	4912	265	28	103	34	100
1989	44012	Alcalá de la Selva	10795	4571	2962	1549	0	60
1989	44013	Alcañiz	46825	23811	12969	1971	7089	1782
1989	44014	Alcorisa	11927	5436	3387	963	1084	1
1989	44016	Alfambra	12524	9656	4972	3271	553	860
1989	44017	Aliaga	18293	12114	8621	2327	671	496
1989	44018	Almohaja	2208	1677	925	125	0	627
1989	44019	Alobras	3318	1546	1212	334	0	0
1989	44020	Alpeñés	2998	2492	1809	643	0	40
1989	44021	Allepuz	6737	5450	3013	2437	0	0
1989	44022	Alloza	8200	6114	3859	38	937	1281
1989	44023	Allueva	1296	452	447	0	5	0
1989	44024	Anadón	1703	479	61	57	361	0
1989	44025	Andorra	13429	11738	8566	696	2471	5
1989	44026	Arcos de las Salinas	9823	756	672	84	0	0
1989	44027	Arens de Lledó	2170	1022	929	37	55	0
1989	44028	Argente	6096	4626	2802	935	759	129
1989	44029	Ariño	6860	3884	3856	12	16	0
1989	44031	Azaila	8321	8321	2754	204	3447	1916
1989	44032	Bádenas	3081	1060	371	288	281	120
1989	44033	Báguena	2282	1759	1486	253	1	18
1989	44034	Bañón	5240	2451	1295	255	901	0
1989	44035	Barrachina	2165	1624	1044	378	153	50
1989	44036	Bea	2315	521	227	119	14	161
1989	44037	Beceite	10501	641	624	11	3	4
1989	44038	Belmonte de San José	1964	489	395	93	0	0
1989	44039	Bello	5050	4366	2628	900	489	349
1989	44040	Berge	3100	2491	2269	125	98	0
1989	44041	Bezas	2568	399	301	98	0	0
1989	44042	Blancas	6710	5708	3824	1070	814	0
1989	44043	Blesa	7046	2857	899	498	1457	3
1989	44044	Bordón	4000	2672	1343	1284	44	0
1989	44045	Bronchales	6022	1418	359	893	0	165
1989	44046	Bueña	3987	2482	1942	455	85	0
1989	44047	Burbáguena	3718	2229	1996	111	115	7
1989	44048	Cabra de Mora	3300	1186	745	376	0	65
1989	44049	Calaceite	6248	4267	3941	69	220	37
1989	44050	Calamocha	30186	19109	12295	3662	1738	1414
1989	44051	Calanda	10631	6654	3739	396	2228	291
1989	44052	Calomarde	2661	290	109	181	0	0
1989	44053	Camañas	7008	4437	2533	1554	350	0
1989	44054	Camarena de la Sierra	7822	2758	42	15	0	2700
1989	44055	Camarillas	4870	4482	2292	622	393	1177
1989	44056	Caminreal	4167	3264	1900	497	868	0
1989	44059	Cantavieja	12701	6606	3226	3057	0	322
1989	44060	Cañada de Benatanduz	3060	1933	556	1018	150	209
1989	44061	Cañada de Verich (La)	944	232	158	74	0	0
1989	44062	Cañada Vellida	2368	2206	1735	257	0	215
1989	44063	Cañizar del Olivar	2220	620	590	30	0	0
1989	44064	Cascante del Río	3202	538	316	222	0	0
1989	44065	Castejón de Tornos	3046	1446	772	667	0	6
1989	44066	Castel de Cabra	2901	1983	1885	98	0	0
1989	44067	Castelnou	3768	3703	2897	201	605	0
1989	44068	Castelserás	2954	2861	2463	6	392	0
1989	44070	Castellar (El)	4632	2243	1106	605	231	300
1989	44071	Castellote	18836	8206	3844	1772	183	2408
1989	44074	Cedrillas	6766	4279	2357	766	364	792
1989	44075	Celadas	9816	6668	4155	2414	98	0
1989	44076	Cella	10623	10199	7814	1637	699	48
1989	44077	Cerollera (La)	3009	155	104	50	0	0
1989	44080	Codoñera (La)	2106	1124	725	0	377	22
1989	44082	Corbalán	7218	1681	544	499	637	0
1989	44084	Cortes de Aragón	2346	1719	1164	78	477	0
1989	44085	Cosa	5476	3201	2094	683	424	0
1989	44086	Cretas	3480	2822	2547	219	56	0
1989	44087	Crivillén	4072	2435	689	630	0	1116
1989	44088	Cuba (La)	308	133	94	20	0	19
1989	44089	Cubla	4780	1937	1526	406	0	4
1989	44090	Cucalón	3134	1932	740	734	458	0
1989	44092	Cuervo (El)	1979	615	561	55	0	0
1989	44093	Cuevas de Almudén	3462	2838	2425	111	173	128
1989	44094	Cuevas Labradas	3982	1889	1221	443	0	226
1989	44096	Ejulve	10300	2721	2436	285	0	0
1989	44097	Escorihuela	5736	2532	799	946	70	717
1989	44099	Escucha	3837	3118	2859	166	93	0
1989	44100	Estercuel	5450	3824	3679	134	11	0
1989	44101	Ferreruela de Huerva	2076	1749	711	531	377	130
1989	44102	Fonfría	2365	857	275	543	0	39
1989	44103	Formiche Alto	5965	1737	1181	329	180	47
1989	44105	Fórnoles	2529	622	508	31	78	6
1989	44106	Fortanete	15694	7298	4809	2310	176	3
1989	44107	Foz-Calanda	3019	788	501	30	256	0
1989	44108	Fresneda (La)	3159	1263	1072	87	61	42
1989	44109	Frías de Albarracín	5015	812	206	506	0	100
1989	44110	Fuenferrada	2382	1219	762	457	0	0
1989	44111	Fuentes Calientes	2796	1799	897	357	232	314
1989	44112	Fuentes Claras	3755	3452	2136	369	751	196
1989	44113	Fuentes de Rubielos	3074	645	585	54	6	0
1989	44114	Fuentespalda	3535	1069	953	76	36	4
1989	44115	Galve	5676	1484	822	377	135	150
1989	44116	Gargallo	2981	1576	1428	78	0	70
1989	44117	Gea de Albarracín	5591	1807	495	710	16	586
1989	44118	Ginebrosa (La)	6881	1649	920	699	0	30
1989	44119	Griegos	3170	448	130	318	0	0
1989	44120	Guadalaviar	2826	716	307	409	0	0
1989	44121	Gúdar	5063	1987	1366	598	0	23
1989	44122	Híjar	15123	13405	7783	2229	3331	62
1989	44123	Hinojosa de Jarque	3451	3335	2817	278	186	54
1989	44124	Hoz de la Vieja (La)	4161	2815	1846	852	117	0
1989	44125	Huesa del Común	5055	4070	3350	448	140	131
1989	44126	Iglesuela del Cid (La)	3753	2717	882	1673	0	162
1989	44127	Jabaloyas	6090	869	192	190	0	487
1989	44128	Jarque de la Val	2891	2612	1987	486	44	95
1989	44129	Jatiel	564	564	75	54	105	330
1989	44130	Jorcas	2810	2607	1531	982	80	13
1989	44131	Josa	2537	945	926	0	19	0
1989	44132	Lagueruela	2650	2163	974	673	376	140
1989	44133	Lanzuela	1380	893	574	163	107	50
1989	44135	Libros	2951	453	332	40	36	45
1989	44136	Lidón	3874	3210	2472	225	463	50
1989	44137	Linares de Mora	11355	4624	1034	3319	154	118
1989	44138	Loscos	7601	6317	2596	3173	449	100
1989	44141	Lledó	1098	798	737	8	52	2
1989	44142	Maicas	2291	47	29	18	0	0
1989	44143	Manzanera	16041	7937	1440	783	7	5707
1989	44144	Martín del Río	4905	2420	1883	428	59	50
1989	44145	Mas de las Matas	2853	2093	1104	989	0	0
1989	44146	Mata de los Olmos (La)	2302	1344	574	295	404	70
1989	44147	Mazaleón	7730	3020	2389	114	322	194
1989	44148	Mezquita de Jarque	3039	2333	1389	480	199	265
1989	44149	Mirambel	3362	2812	1941	870	0	0
1989	44150	Miravete de la Sierra	3517	3247	2718	529	0	0
1989	44151	Molinos	6142	4935	4326	142	347	119
1989	44152	Monforte de Moyuela	4599	3989	2386	1534	0	69
1989	44153	Monreal del Campo	7830	6170	3983	1717	461	9
1989	44154	Monroyo	7949	1170	891	278	0	0
1989	44155	Montalbán	8159	3754	3449	105	0	200
1989	44156	Monteagudo del Castillo	4212	3362	2447	845	8	63
1989	44157	Monterde de Albarracín	4383	4383	4095	281	0	7
1989	44158	Mora de Rubielos	15928	5227	2467	1225	648	887
1989	44159	Moscardón	2754	516	347	169	0	0
1989	44160	Mosqueruela	28432	11261	3281	7827	0	154
1989	44161	Muniesa	11718	5745	3258	1388	1099	0
1989	44163	Noguera de Albarracín	5040	684	384	87	0	214
1989	44164	Nogueras	1849	969	393	536	0	40
1989	44165	Nogueruelas	9023	735	454	279	1	0
1989	44167	Obón	6431	2673	2620	53	0	0
1989	44168	Odón	8120	6681	4105	1776	298	502
1989	44169	Ojos Negros	7923	6690	3923	2737	30	0
1989	44171	Olba	1861	357	324	33	0	0
1989	44172	Oliete	7147	5407	4196	584	420	207
1989	44173	Olmos (Los)	4153	1517	1067	244	179	28
1989	44174	Orihuela del Tremedal	7161	1467	393	722	0	352
1989	44175	Orrios	4149	3742	1215	678	95	1754
1989	44176	Palomar de Arroyos	3534	2743	2529	214	0	0
1989	44177	Pancrudo	9625	8794	6747	1785	0	262
1989	44178	Parras de Castellote (Las)	1904	470	300	169	1	0
1989	44179	Peñarroya de Tastavins	9436	1299	825	472	3	0
1989	44180	Peracense	2388	828	524	304	0	0
1989	44181	Peralejos	3643	2647	875	546	15	1211
1989	44182	Perales del Alfambra	9377	4812	1109	1477	1050	1176
1989	44183	Pitarque	4651	2246	1727	462	0	57
1989	44184	Plou	1468	1111	811	50	250	0
1989	44185	Pobo (El)	6223	5927	4180	814	469	464
1989	44187	Portellada (La)	1324	786	718	14	25	30
1989	44189	Pozondón	6338	5743	4797	678	0	269
1989	44190	Pozuel del Campo	2178	1711	679	659	374	0
1989	44191	Puebla de Híjar (La)	4320	4157	2559	647	952	0
1989	44192	Puebla de Valverde (La)	28677	22077	9844	4284	484	7466
1989	44193	Puertomingalvo	9824	4857	1395	3058	0	404
1989	44194	Ráfales	1723	582	530	19	34	0
1989	44195	Rillo	5333	4267	2848	1097	192	130
1989	44196	Riodeva	4013	1980	1952	28	0	0
1989	44197	Ródenas	4458	3347	2462	885	0	0
1989	44198	Royuela	3273	668	275	394	0	0
1989	44199	Rubiales	2643	339	47	240	2	50
1989	44200	Rubielos de la Cérida	6481	1929	1343	185	401	0
1989	44201	Rubielos de Mora	6210	2725	1117	633	422	553
1989	44203	Salcedillo	1514	280	40	240	0	0
1989	44204	Saldón	2688	579	166	234	0	179
1989	44205	Samper de Calanda	11280	10386	6477	1402	2507	0
1989	44206	San Agustín	4734	2397	2088	309	0	0
1989	44207	San Martín del Río	1780	1728	1429	55	244	0
1989	44208	Santa Cruz de Nogueras	1520	1066	428	588	0	50
1989	44209	Santa Eulalia	7462	3325	1281	1781	262	0
1989	44210	Sarrión	11860	9002	6178	1175	358	1291
1989	44211	Segura de los Baños	5329	3070	365	2565	0	140
1989	44212	Seno	1989	884	651	229	0	4
1989	44213	Singra	3656	2775	1412	977	375	10
1989	44215	Terriente	5022	3659	3124	484	1	50
1989	44216	Teruel	43245	24559	14945	6412	509	2692
1989	44217	Toril y Masegoso	854	684	432	252	0	0
1989	44218	Tormón	2678	817	817	0	0	0
1989	44219	Tornos	5261	3483	1387	988	80	1029
1989	44220	Torralba de los Sisones	4350	2411	1475	599	0	338
1989	44221	Torrecilla de Alcañiz	2881	2710	1938	75	698	0
1989	44222	Torrecilla del Rebollar	6901	2614	1029	1155	200	230
1989	44223	Torre de Arcas	3416	404	247	156	0	0
1989	44224	Torre de las Arcas	3650	2673	2499	112	52	10
1989	44225	Torre del Compte	1401	798	567	156	59	15
1989	44226	Torrelacárcel	3201	2799	1651	407	742	0
1989	44227	Torre los Negros	3286	2729	1390	678	471	191
1989	44228	Torremocha de Jiloca	3324	1754	1074	448	231	1
1989	44229	Torres de Albarracín	2822	452	161	279	12	0
1989	44230	Torrevelilla	2953	2325	1848	5	472	0
1989	44231	Torrijas	5693	1223	201	522	0	500
1989	44232	Torrijo del Campo	4127	3052	1551	1020	480	1
1989	44234	Tramacastiel	4552	2995	2960	32	0	3
1989	44235	Tramacastilla	2493	260	131	130	0	0
1989	44236	Tronchón	4953	3328	1905	1382	0	40
1989	44237	Urrea de Gaén	3777	3050	1472	250	1328	0
1989	44238	Utrillas	3778	2396	1952	244	12	188
1989	44239	Valacloche	1468	39	36	3	0	0
1989	44240	Valbona	2337	943	436	154	6	346
1989	44241	Valdealgorfa	4117	2506	2024	57	425	0
1989	44243	Valdecuenca	1883	511	149	362	0	0
1989	44244	Valdelinares	5758	2914	1579	1335	0	0
1989	44245	Valdeltormo	737	545	491	21	11	21
1989	44246	Valderrobres	8084	3501	2655	243	327	276
1989	44247	Valjunquera	3665	1892	1334	178	349	31
1989	44249	Vallecillo (El)	2328	1344	1180	110	15	40
1989	44250	Veguillas de la Sierra	1467	623	355	269	0	0
1989	44251	Villafranca del Campo	5552	4524	2012	1216	388	908
1989	44252	Villahermosa del Campo	1921	1613	984	503	126	0
1989	44256	Villanueva del Rebollar de la Sierra	2107	1172	328	537	8	300
1989	44257	Villar del Cobo	5378	2963	2469	444	0	50
1989	44258	Villar del Salz	3395	1835	1538	167	0	130
1989	44260	Villarluengo	14789	8800	3363	2314	255	2868
1989	44261	Villarquemado	5103	5092	3831	796	465	0
1989	44262	Villarroya de los Pinares	5855	4261	2199	1439	0	623
1989	44263	Villastar	3769	1435	666	525	0	243
1989	44264	Villel	8231	3412	1145	48	13	2206
1989	44265	Vinaceite	4886	4880	2117	323	2439	0
1989	44266	Visiedo	5533	5037	3391	438	1198	10
1989	44267	Vivel del Río Martín	5056	1771	402	952	16	401
1989	44268	Zoma (La)	1471	642	566	73	0	3
1989	50001	Abanto	7434	3190	1707	443	0	1040
1989	50002	Acered	3153	1809	1342	20	0	447
1989	50003	Agón	1167	1017	782	218	16	0
1989	50004	Aguarón	4054	2313	2255	43	15	0
1989	50005	Aguilón	5859	4120	2481	1072	87	480
1989	50006	Ainzón	3862	2860	2414	57	373	17
1989	50007	Aladrén	1761	248	244	0	0	4
1989	50008	Alagón	1787	1603	1169	350	37	48
1989	50009	Alarba	1255	734	706	27	0	1
1989	50010	Alberite de San Juan	672	343	266	51	26	0
1989	50011	Albeta	79	41	41	0	0	0
1989	50012	Alborge	142	11	10	0	1	0
1989	50013	Alcalá de Ebro	435	367	243	83	42	0
1989	50014	Alcalá de Moncayo	1106	906	855	44	7	0
1989	50015	Alconchel de Ariza	4583	2743	797	1826	0	120
1989	50016	Aldehuela de Liestos	1693	633	265	132	236	0
1989	50017	Alfajarín	12893	8843	7009	1441	392	0
1989	50018	Alfamén	9080	8820	7896	727	196	1
1989	50019	Alforque	1174	768	327	67	374	0
1989	50020	Alhama de Aragón	3261	2824	2133	181	7	503
1989	50021	Almochuel	1762	1755	625	129	1002	0
1989	50022	Almolda (La)	13009	10755	7629	1232	943	951
1989	50023	Almonacid de la Cuba	4812	3001	1227	1727	47	0
1989	50024	Almonacid de la Sierra	5023	3817	3546	84	126	60
1989	50025	Almunia de Doña Godina (La)	4114	3260	3019	199	15	27
1989	50026	Alpartir	3533	1785	1594	102	0	90
1989	50027	Ambel	5796	1703	1391	208	55	49
1989	50028	Anento	1729	1365	853	318	0	195
1989	50029	Aniñón	6030	2434	2039	72	66	257
1989	50030	Añón de Moncayo	6092	2796	2707	89	0	0
1989	50031	Aranda de Moncayo	6344	5270	4080	93	12	1085
1989	50032	Arándiga	4626	3819	2624	1171	14	10
1989	50033	Ardisa	2552	1659	1540	41	78	0
1989	50034	Ariza	12029	8875	6390	1559	751	174
1989	50035	Artieda	1195	471	381	79	0	11
1989	50036	Asín	2837	570	370	149	16	34
1989	50037	Atea	3898	1595	1551	22	22	0
1989	50038	Ateca	6933	4727	4458	123	12	135
1989	50039	Azuara	15746	14554	7679	3041	931	2903
1989	50040	Badules	2811	1845	907	709	15	215
1989	50041	Bagüés	2642	373	285	88	0	1
1989	50042	Balconchán	1870	656	425	69	12	150
1989	50043	Bárboles	1340	1297	917	179	201	0
1989	50044	Bardallur	1729	1724	1426	128	170	0
1989	50045	Belchite	30380	23348	17235	1433	4540	140
1989	50046	Belmonte de Gracián	4126	1405	839	73	17	476
1989	50047	Berdejo	2827	209	32	10	2	165
1989	50048	Berrueco	1119	496	252	97	147	0
1989	50050	Bijuesca	5551	2389	1395	994	0	0
1989	50051	Biota	11376	9282	4435	2269	1934	644
1989	50052	Bisimbre	761	537	368	27	143	0
1989	50053	Boquiñeni	1524	1300	974	279	24	23
1989	50054	Bordalba	3931	3033	1251	1762	0	20
