Año	Código del municipio	Nombre del municipio	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	22144	Laspuña	230	149	0	149	792	91	71	21	50	6	1	119
1989	22149	Loarre	1271	38	5	33	3180	372	599	302	297	1	101	112
1989	22150	Loporzano	2728	1	1	0	5402	357	836	725	111	0	144	110
1989	22151	Loscorrales	309	0	0	0	1092	15	628	28	600	0	0	8
1989	22155	Monesma y Cajigar	553	0	0	0	3709	73	887	254	633	0	1	94
1989	22156	Monflorite-Lascasas	1183	230	0	230	1261	33	2637	440	2197	0	35	15
1989	22157	Montanuy	2824	1434	60	1374	16333	265	200	0	200	32	1	229
1989	22158	Monzón	16927	7265	678	6587	13750	68	33773	2271	31502	3	347	728
1989	22160	Naval	1151	145	4	141	1937	45	916	159	757	6	98	10
1989	22162	Novales	653	10	0	10	21	0	1967	240	1727	0	22	0
1989	22163	Nueno	1071	0	0	0	4179	137	0	0	0	1	46	0
1989	22164	Olvena	198	0	0	0	214	0	734	303	431	0	0	189
1989	22165	Ontiñena	1002	259	55	204	6160	77	442	234	208	0	0	122
1989	22167	Osso de Cinca	6169	1489	334	1155	1271	78	7277	66	7211	0	107	8
1989	22168	Palo	32	0	0	0	187	10	46	17	29	1	0	11
1989	22170	Panticosa	321	261	5	256	1156	91	0	0	0	0	0	38
1989	22172	Peñalba	2489	449	0	449	4833	61	1804	200	1604	0	169	0
1989	22173	Peñas de Riglos (Las)	525	112	0	112	3595	368	71	67	4	0	0	46
1989	22174	Peralta de Alcofea	2150	150	0	150	8474	69	3730	203	3527	0	22	0
1989	22175	Peralta de Calasanz	1472	1130	0	1130	3131	200	1627	270	1357	1	24	88
1989	22176	Peraltilla	193	110	0	110	234	14	431	181	250	0	0	95
1989	22177	Perarrúa	256	0	0	0	176	0	1020	282	738	1	0	109
1989	22178	Pertusa	674	0	0	0	942	15	2598	396	2202	0	0	4
1989	22181	Piracés	204	0	0	0	0	0	1142	281	861	0	0	2
1989	22182	Plan	761	656	12	644	2279	594	0	0	0	26	0	45
1989	22184	Poleñino	1008	378	0	378	678	0	1769	168	1601	0	32	0
1989	22186	Pozán de Vero	297	12	12	0	62	0	1168	229	939	0	0	30
1989	22187	Puebla de Castro (La)	1481	0	0	0	684	2	1985	15	1970	2	117	29
1989	22188	Puente de Montañana	278	200	0	200	1625	90	134	34	100	1	0	21
