Comarca codigo	Comarca nombre	Estado del edificio	Estado del edificio, código	Nº edificios
13	Campo de Borja	Ruinoso	1	70
13	Campo de Borja	Malo	2	105
13	Campo de Borja	Deficiente	3	535
13	Campo de Borja	Bueno	4	6971
14	Aranda	Ruinoso	1	20
14	Aranda	Malo	2	67
14	Aranda	Deficiente	3	339
14	Aranda	Bueno	4	2838
15	Ribera Alta del Ebro	Ruinoso	1	109
15	Ribera Alta del Ebro	Malo	2	277
15	Ribera Alta del Ebro	Deficiente	3	700
15	Ribera Alta del Ebro	Bueno	4	8640
16	Valdejalón	Ruinoso	1	114
16	Valdejalón	Malo	2	202
16	Valdejalón	Deficiente	3	1240
16	Valdejalón	Bueno	4	10842
17	D.C. Zaragoza	Ruinoso	1	192
17	D.C. Zaragoza	Malo	2	625
17	D.C. Zaragoza	Deficiente	3	3038
17	D.C. Zaragoza	Bueno	4	53540
18	Ribera Baja del Ebro	Ruinoso	1	51
18	Ribera Baja del Ebro	Malo	2	98
18	Ribera Baja del Ebro	Deficiente	3	333
18	Ribera Baja del Ebro	Bueno	4	4764
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ruinoso	1	91
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Malo	2	131
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Deficiente	3	423
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Bueno	4	5244
20	Comunidad de Calatayud	Ruinoso	1	226
20	Comunidad de Calatayud	Malo	2	649
20	Comunidad de Calatayud	Deficiente	3	2797
20	Comunidad de Calatayud	Bueno	4	15694
21	Campo de Cariñena	Ruinoso	1	36
21	Campo de Cariñena	Malo	2	112
21	Campo de Cariñena	Deficiente	3	406
21	Campo de Cariñena	Bueno	4	4737
22	Campo de Belchite	Ruinoso	1	53
22	Campo de Belchite	Malo	2	131
22	Campo de Belchite	Deficiente	3	474
22	Campo de Belchite	Bueno	4	3932
23	Bajo Martín	Ruinoso	1	46
23	Bajo Martín	Malo	2	242
23	Bajo Martín	Deficiente	3	658
23	Bajo Martín	Bueno	4	3483
24	Campo de Daroca	Ruinoso	1	57
24	Campo de Daroca	Malo	2	121
24	Campo de Daroca	Deficiente	3	464
24	Campo de Daroca	Bueno	4	4842
25	Jiloca	Ruinoso	1	52
25	Jiloca	Malo	2	142
25	Jiloca	Deficiente	3	912
25	Jiloca	Bueno	4	9269
26	Cuencas Mineras	Ruinoso	1	75
26	Cuencas Mineras	Malo	2	253
26	Cuencas Mineras	Deficiente	3	763
26	Cuencas Mineras	Bueno	4	5173
27	Andorra-Sierra de Arcos	Ruinoso	1	24
27	Andorra-Sierra de Arcos	Malo	2	157
27	Andorra-Sierra de Arcos	Deficiente	3	613
27	Andorra-Sierra de Arcos	Bueno	4	4413
28	Bajo Aragón	Ruinoso	1	98
28	Bajo Aragón	Malo	2	262
28	Bajo Aragón	Deficiente	3	991
28	Bajo Aragón	Bueno	4	8860
29	Comunidad de Teruel	Ruinoso	1	113
29	Comunidad de Teruel	Malo	2	262
29	Comunidad de Teruel	Deficiente	3	1019
29	Comunidad de Teruel	Bueno	4	12792
30	Maestrazgo	Ruinoso	1	14
30	Maestrazgo	Malo	2	53
30	Maestrazgo	Deficiente	3	330
30	Maestrazgo	Bueno	4	3132
31	Sierra de Albarracín	Ruinoso	1	39
31	Sierra de Albarracín	Malo	2	110
31	Sierra de Albarracín	Deficiente	3	383
31	Sierra de Albarracín	Bueno	4	4254
32	Gúdar-Javalambre	Ruinoso	1	37
32	Gúdar-Javalambre	Malo	2	158
32	Gúdar-Javalambre	Deficiente	3	633
32	Gúdar-Javalambre	Bueno	4	8366
33	Matarraña / Matarranya	Ruinoso	1	36
33	Matarraña / Matarranya	Malo	2	142
33	Matarraña / Matarranya	Deficiente	3	755
33	Matarraña / Matarranya	Bueno	4	5349
