Año	Municipio código	Municipio nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	22044	Bailo	1074645,66	46315	14360	52490,15	77724	98366,84	0	785389,67	0	0	Presupuestos	Consolidada
2004	22045	Baldellou											Presupuestos	Sin información
2004	22046	Ballobar	781492,21	134190,64	0	166676,01	199541,53	95110,46	0	185973,57	0	0	Presupuestos	Consolidada
2004	22047	Banastás	210000	35000	20000	28600	52100	1330	0	72970	0	0	Presupuestos	Consolidada
2004	22048	Barbastro	14450291,31	3190216,23	400015	2560011,38	3100335,14	99810,12	0	2452388	0	2647515,44	Presupuestos	Consolidada
2004	22049	Barbués	118371,43	20245,1	0	23628,14	14647,54	3305,56	0	56539,09	0	6	Presupuestos	Consolidada
2004	22050	Barbuñales	249099,27	15025,52	1772,99	21170,65	27101,01	3029,1	0	175000	0	6000	Presupuestos	Consolidada
2004	22051	Bárcabo	247540,73	13508,57	2000	5560,1	47900	5078,06	0	173494	0	0	Presupuestos	Consolidada
2004	22052	Belver de Cinca	1174923,54	195500	7420,68	47313,15	420459,18	26444,88	0	459785,65	0	18000	Presupuestos	Consolidada
2004	22053	Benabarre	1224900	200000	15000	477700	322000	10600	0	199600	0	0	Presupuestos	Consolidada
2004	22054	Benasque	1953212	741775	80000	364049	388840	378548	0	0	0	0	Presupuestos	Consolidada
2004	22055	Berbegal	397783	62020	6000	64037	109775	39231	0	116720	0	0	Presupuestos	Consolidada
2004	22057	Bielsa	1475400	170000	40000	72650	124000	117008,5	0	951741,5	0	0	Presupuestos	Consolidada
2004	22058	Bierge	830816,21	41363,9	42000	75659,54	73163,75	19800	0	578829,02	0	0	Presupuestos	Consolidada
2004	22059	Biescas	2373000	725660	200000	591487,37	395746,88	8740	0	224365,75	0	227000	Presupuestos	Consolidada
2004	22060	Binaced	1027460,83	317200	25000	112450	306591,69	6600	0	215850	0	43769,14	Presupuestos	Consolidada
2004	22061	Binéfar	8503119,85	1766861,87	305662,94	1315975,88	1711641,71	11000	197885,31	2318217,18	0	875874,96	Presupuestos	Consolidada
2004	22062	Bisaurri	217684	19300	50000	36799	69385	5600	0	36600	0	0	Presupuestos	Consolidada
2004	22063	Biscarrués	154647	41200	2500	17710,3	51658,72	3727,98	0	37850	0	0	Presupuestos	Consolidada
2004	22064	Blecua y Torres	507208	32487,13	0	21611,87	57699	12500	0	326910	0	56000	Presupuestos	Consolidada
2004	22066	Boltaña	2460263,49	177690,54	120202,42	192081,51	384634,84	4576,67	60,1	1136263,4	0	444754,01	Presupuestos	Consolidada
2004	22067	Bonansa											Presupuestos	Sin información
2004	22068	Borau											Presupuestos	Sin información
2004	22069	Broto	1244071,32	92300	19950	71294,78	162364,9	51220	0	786840,43	0	60101,21	Presupuestos	Consolidada
2004	22072	Caldearenas	552509,29	72314	7500	24800	172995,29	33000	0	241900	0	0	Presupuestos	Consolidada
2004	22074	Campo	1000696,77	92421,45	140000	202400	119250	422,9	0	275202,42	0	171000	Presupuestos	Consolidada
2004	22075	Camporrells	652608,49	24390	4220	71592,44	115181,77	780,3	0	406443,98	0	30000	Presupuestos	Consolidada
2004	22076	Canal de Berdún	577840	62208	10000	24896	155772	117991	5409	201264	0	300	Presupuestos	Consolidada
2004	22077	Candasnos											Presupuestos	Sin información
2004	22078	Canfranc	1545745,21	343002,72	98500	111473,96	191126,52	127431,18	6,46	674185,47	6,22	12,68	Presupuestos	Consolidada
2004	22079	Capdesaso	177988,37	23535,43	0	44575,24	37147,51	34470,53	0	38259,66	0	0	Presupuestos	Consolidada
2004	22080	Capella	210740	44000	600	53200	76290	200	0	36450	0	0	Presupuestos	Consolidada
2004	22081	Casbas de Huesca	516392,6	48672,4	0	56829	85025,2	5500	0	320366	0	0	Presupuestos	Consolidada
2004	22082	Castejón del Puente	818639,11	95879,54	10761,21	52787,47	223333,66	40249,84	0	365627,39	0	30000	Presupuestos	Consolidada
2004	22083	Castejón de Monegros	622820,45	80230	15000	81982,45	137523	41085	0	109000	0	158000	Presupuestos	Consolidada
2004	22084	Castejón de Sos	2017494	127418	184833	351356	523810	39571	0	790506	0	0	Presupuestos	Consolidada
2004	22085	Castelflorite	121730	29117	0	16090	43973	3400	0	29150	0	0	Presupuestos	Consolidada
2004	22086	Castiello de Jaca	472777,38	106854,33	150000	59117,8	39663,38	19151,82	29574,61	68415,44	0	0	Presupuestos	Consolidada
2004	22087	Castigaleu	88700	9200	0	3380	39190	8500	0	28430	0	0	Presupuestos	Consolidada
2004	22088	Castillazuelo	273414,79	27862,4	0	26629,15	73478,66	13271,11	0	132173,47	0	0	Presupuestos	Consolidada
2004	22089	Castillonroy	374610	81900	9500	67600	104800	31400	0	79410	0	0	Presupuestos	Consolidada
2004	22090	Colungo	219265,72	13710,15	4000	13196,35	44765,82	6400	0	137193,4	0	0	Presupuestos	Consolidada
2004	22094	Chalamera											Presupuestos	Sin información
2004	22095	Chía	133340	16250	15410	19510	38900	18160	0	25110	0	0	Presupuestos	Consolidada
2004	22096	Chimillas	177000	37000	20000	13680	72600	520	0	33200	0	0	Presupuestos	Consolidada
2004	22099	Esplús	559291,46	255643	13200	75700,46	170670	11528	0	32550	0	0	Presupuestos	Consolidada
2004	22102	Estada	210000	55026,26	3000	28102	61510,32	3171,42	0	59190	0	0	Presupuestos	Consolidada
2004	22103	Estadilla	1500900	149278,16	17250	282673,31	245138,93	753269,6	0	53290	0	0	Presupuestos	Consolidada
2004	22105	Estopiñán del Castillo	555684,82	110500	41000	21922,17	63200	23400	0	295662,65	0	0	Presupuestos	Consolidada
2004	22106	Fago	686307,6	3795,25	2404,05	3415	53900	200	0	599593,3	0	23000	Presupuestos	Consolidada
2004	22107	Fanlo	479152	12190	0	13505	101866	26291	0	325300	0	0	Presupuestos	Consolidada
2004	22109	Fiscal	734680,34	76412,02	15426,62	25257	121804	23001	0	297779,7	0	175000	Presupuestos	Consolidada
2004	22110	Fonz	1061175	145860	12500	173649	173296	25000	0	404981	0	125889	Presupuestos	Consolidada
2004	22111	Foradada del Toscar	122668,37	17602	0	441	54125,37	500	0	50000	0	0	Presupuestos	Consolidada
2004	22112	Fraga	14732800	3201000	450000	2444633	2505867	382500	180000	4756020	0	812780	Presupuestos	Consolidada
2004	22113	Fueva (La)	2402722,53	381762,21	0	38300	213564,32	9150	4176	1139020	0	616750	Presupuestos	Consolidada
2004	22114	Gistaín	248377,77	10813,78	0	57121,17	43963,47	13778,45	0	122700,9	0	0	Presupuestos	Consolidada
2004	22115	Grado (El)	697730	284900	15000	72450	141080	17300	0	167000	0	0	Presupuestos	Consolidada
2004	22116	Grañén	1419686,12	376000	37000	115204	405064	10234	6000	280184,12	0	190000	Presupuestos	Consolidada
2004	22117	Graus	5692116	678231	90700	1082864	1137876	46500	150000	2231104	0	274841	Presupuestos	Consolidada
2004	22119	Gurrea de Gállego	1616090	302000	210000	170300	403800	15700	10	514280	0	0	Presupuestos	Consolidada
2004	22122	Hoz de Jaca	219506,43	30671	20000	13986	22539,43	18902	60016	53392	0	0	Presupuestos	Consolidada
2004	22124	Huerto	242403	82740	3005	10865	61775	24658	0	59360	0	0	Presupuestos	Consolidada
2004	22125	Huesca	44219723,1	12961412	2329676,18	8829643,42	7609190,74	506986	6592487,26	5363327,5	27000	0	Presupuestos	Consolidada
2004	22126	Ibieca	168040	13200	2100	11790	30500	7450	0	103000	0	0	Presupuestos	Consolidada
2004	22127	Igriés	275900	55500	50000	24200	76500	27700	10000	32000	0	0	Presupuestos	Consolidada
2004	22128	Ilche	200535	69900	100	4095	80970	8220	31250	6000	0	0	Presupuestos	Consolidada
2004	22129	Isábena	461951,25	32700	6043,64	10542,02	81697,16	2651,2	0	304276,75	0	24040,48	Presupuestos	Consolidada
2004	22130	Jaca	21793000	5230640	1000010	7659275,05	3402138,73	189999,22	429187	2115350	0	1766400	Presupuestos	Consolidada
2004	22131	Jasa	145108	11390	25000	3782	37821	2340	0	64775	0	0	Presupuestos	Consolidada
2004	22133	Labuerda	369784,97	25075,1	18000	45461,29	52743,6	13906,28	0	188725,88	0	25872,82	Presupuestos	Consolidada
2004	22135	Laluenga	643467,81	42471,11	20000	48175,42	56802,64	10060,46	0	405857,18	0	60101	Presupuestos	Consolidada
2004	22136	Lalueza	773122,4	242000	16000	97174,06	267400	13315	5588,65	131644,69	0	0	Presupuestos	Consolidada
2004	22137	Lanaja	838467	280256	13050	124418	265308	41535	0	113900	0	0	Presupuestos	Consolidada
2004	22139	Laperdiguera	555514,92	13857,94	3000	20024,24	28532,68	3600	0	486500,06	0	0	Presupuestos	Consolidada
2004	22141	Lascellas-Ponzano	922343,52	27173,49	30000	39842,28	40775,32	5502,43	0	779050	0	0	Presupuestos	Consolidada
2004	22142	Lascuarre	122270	24800	0	26700	38730	4500	0	27540	0	0	Presupuestos	Consolidada
2004	22143	Laspaúles	480300	32200	90000	30210	93230	8710	0	225950	0	0	Presupuestos	Consolidada
2004	22144	Laspuña	451220,52	53000	57242,44	88300	81837,58	43800	0	127040,5	0	0	Presupuestos	Consolidada
2004	22149	Loarre	902114,92	41300	13100	47801	89298,57	65900	24749	610965,35	0	9001	Presupuestos	Consolidada
2004	22150	Loporzano	972395,57	90427,5	0	37460	221483,96	29231,78	0	593792,33	0	0	Presupuestos	Consolidada
2004	22151	Loscorrales	99880	22442	0	1290	36927	7266	0	31955	0	0	Presupuestos	Consolidada
2004	22155	Monesma y Cajigar	75000	11200	0	1310	34790	3400	0	24300	0	0	Presupuestos	Consolidada
2004	22156	Monflorite-Lascasas	291950	46239	12000	22560	67070	605	0	137476	0	6000	Presupuestos	Consolidada
2004	22157	Montanuy											Presupuestos	Sin información
2004	22158	Monzón	13529948,92	3525000	500000	3405544,5	3433597,41	45807,01	0	1570000	0	1050000	Presupuestos	Consolidada
2004	22160	Naval	923704	138500	11000	73120	116480	7000	0	577604	0	0	Presupuestos	Consolidada
2004	22162	Novales											Presupuestos	Sin información
2004	22163	Nueno	661518	90958	12000	100001	86113	23161	252300	96985	0	0	Presupuestos	Consolidada
2004	22164	Olvena	1641463,3	4810	600	6375	28430,86	18400	0	1582847,44	0	0	Presupuestos	Consolidada
2004	22165	Ontiñena	599965,65	67522,54	0	76501,96	118495,16	100231,95	0	237214,04	0	0	Presupuestos	Consolidada
2004	22167	Osso de Cinca	645950,5	114000	0	112430,12	170500	21800	0	227220,38	0	0	Presupuestos	Consolidada
2004	22168	Palo	400922,37	39165	0	3009,98	25197,39	3620	0	81330	0	248600	Presupuestos	Consolidada
2004	22170	Panticosa	2149656	372000	529848	772924	204406	54866	0	215612	0	0	Presupuestos	Consolidada
2004	22172	Peñalba	573699,8	86904,04	5000	46390,92	138796,47	193052,66	0	103555,71	0	0	Presupuestos	Consolidada
2004	22173	Peñas de Riglos (Las)	479065,64	51000	0	20500	94125,64	14100	0	299340	0	0	Presupuestos	Consolidada
2004	22174	Peralta de Alcofea	640767,41	150786,81	827,98	144657,22	112915,3	12975,97	71803,04	96801,09	0	50000	Presupuestos	Consolidada
2004	22175	Peralta de Calasanz	309193	38351	8000	57263	78438	1111	30050	95980	0	0	Presupuestos	Consolidada
2004	22176	Peraltilla	435800	18120	0	12300	53650	11150	0	340580	0	0	Presupuestos	Consolidada
2004	22177	Perarrúa	1107823,44	20580	0	19300	50690	4800	0	1012453,44	0	0	Presupuestos	Consolidada
2004	22178	Pertusa	386659,4	43405,8	19557,88	11636,92	75868,35	15490,42	0	220700,03	0	0	Presupuestos	Consolidada
2004	22181	Piracés	154216,31	19876,54	1274,68	6230,61	28852,97	7760,9	0	90220,61	0	0	Presupuestos	Consolidada
2004	22182	Plan	408534,82	60581,73	0	96847,21	102214,96	12128,45	0	118762,47	0	18000	Presupuestos	Consolidada
2004	22184	Poleñino	470881,53	74800	12000	25410,53	96300	16370	0	246000	0	1	Presupuestos	Consolidada
2004	22186	Pozán de Vero	244659,42	23282,74	0	36810,62	75137,41	6457,6	0	102971,05	0	0	Presupuestos	Consolidada
2004	22187	Puebla de Castro (La)	408555,45	104535,52	13000	95935,89	98330	52,02	12500	53622,83	0	30579,19	Presupuestos	Consolidada
2004	22188	Puente de Montañana											Presupuestos	Sin información
2004	22189	Puértolas	1098088,31	24000	11000	19114,25	68050	12540	0	795384,06	0	168000	Presupuestos	Consolidada
2004	22190	Pueyo de Araguás (El)	395031,96	17760,6	2045,16	28504,23	74486,88	35361,88	0	226944,3	0	9928,91	Presupuestos	Consolidada
2004	22193	Pueyo de Santa Cruz	371047	50675	4000	35894	70694	2145	120	177519	0	30000	Presupuestos	Consolidada
2004	22195	Quicena	149171,83	31077,52	42000	13573,61	37050,7	470	0	0	0	25000	Presupuestos	Consolidada
2004	22197	Robres	389660	100860	10000	62206	132832	14262	0	63500	0	6000	Presupuestos	Consolidada
2004	22199	Sabiñánigo	9924790	2438500	756000	3632333	1682864	335690	131904	935499	12000	0	Presupuestos	Consolidada
2004	22200	Sahún											Presupuestos	Sin información
2004	22201	Salas Altas	372100	37800	0	78012	81828	4300	0	170160	0	0	Presupuestos	Consolidada
2004	22202	Salas Bajas	370054	34174	0	50580	53800	0	0	231500	0	0	Presupuestos	Consolidada
2004	22203	Salillas											Presupuestos	Sin información
2004	22204	Sallent de Gállego	2247182,47	696200	151198	411164,88	356778,38	418050,61	0	213790,6	0	0	Presupuestos	Consolidada
2004	22205	San Esteban de Litera	647000	159100	41053,53	111755	76900,08	4500	0	253691,39	0	0	Presupuestos	Consolidada
2004	22206	Sangarrén	375000	68790	5000	29200	61050	31200	0	172760	0	7000	Presupuestos	Consolidada
2004	22207	San Juan de Plan	160145,16	11162,87	4278,12	9362,53	92865,04	6052,86	0	36423,74	0	0	Presupuestos	Consolidada
2004	22208	Santa Cilia											Presupuestos	Sin información
2004	22209	Santa Cruz de la Serós											Presupuestos	Sin información
2004	22212	Santaliestra y San Quílez	65513,89	8131	0	242	26935,89	205	0	30000	0	0	Presupuestos	Consolidada
2004	22213	Sariñena	3336497,94	879786,71	133745,06	933784,69	1035534,37	60615,11	69346	223686	0	0	Presupuestos	Consolidada
2004	22214	Secastilla											Presupuestos	Sin información
2004	22215	Seira	744680	99569	40000	9629	150357	5931	0	439194	0	0	Presupuestos	Consolidada
2004	22217	Sena	298580	119000	6000	47600	97300	1780	0	26900	0	0	Presupuestos	Consolidada
2004	22218	Senés de Alcubierre	136771	11615	0	5915	30469	8772	0	22700	0	57300	Presupuestos	Consolidada
2004	22220	Sesa											Presupuestos	Sin información
2004	22221	Sesué	552100	45500	25000	67475	39200	4300	0	310525	0	60100	Presupuestos	Consolidada
2004	22222	Siétamo	507807,94	71095,37	10000	48836,3	182313,86	5303	0	190259,41	0	0	Presupuestos	Consolidada
2004	22223	Sopeira	542000	208200	0	6900	52300	6600	0	150000	118000	0	Presupuestos	Consolidada
2004	22225	Tamarite de Litera	3981863,35	812000	80001	357542,56	750824,56	10801	171000	1228222	0	571472,23	Presupuestos	Consolidada
2004	22226	Tardienta	1190807	283302	15700	80185	250604	267133	140118	153765	0	0	Presupuestos	Consolidada
2004	22227	Tella-Sin											Presupuestos	Sin información
2004	22228	Tierz	243479,93	24064,36	65750	32264,87	45400,7	8000	0	43000	0	25000	Presupuestos	Consolidada
2004	22229	Tolva											Presupuestos	Sin información
2004	22230	Torla-Ordesa	1017563	36530	0	44821	78907	70205	0	787100	0	0	Presupuestos	Consolidada
2004	22232	Torralba de Aragón	329300	46643	0	64777	33150	2700	0	142080	0	39950	Presupuestos	Consolidada
2004	22233	Torre la Ribera	1152514,39	11700	13111,11	69870,48	61563,44	1817,59	0	964451,77	0	30000	Presupuestos	Consolidada
2004	22234	Torrente de Cinca	614701,53	179683,8	0	56366,77	224961,77	28433,34	18000	107055,85	100	100	Presupuestos	Consolidada
2004	22235	Torres de Alcanadre	162568,01	23858,23	1531,9	12809,39	39392,07	1325,99	0	76639,8	0	7010,63	Presupuestos	Consolidada
2004	22236	Torres de Barbués	224731,97	44273,38	0	18532,41	68625,25	5300,93	9069,4	78924,59	0	6,01	Presupuestos	Consolidada
2004	22239	Tramaced	254858,89	25244,41	0	11847,99	32816,11	479,9	0	141503,25	0	42967,23	Presupuestos	Consolidada
2004	22242	Valfarta	159123,5	19550,25	0	19185,33	28750,36	15168,61	0	76468,95	0	0	Presupuestos	Consolidada
2004	22243	Valle de Bardají											Presupuestos	Sin información
2004	22244	Valle de Lierp											Presupuestos	Sin información
2004	22245	Velilla de Cinca	274909,89	71896,92	0	64861,51	97897,32	6700,14	0	33554	0	0	Presupuestos	Consolidada
2004	22246	Beranuy	1148815	11017,79	4332,08	1560	30465,36	1236,5	0	1100203,27	0	0	Presupuestos	Consolidada
2004	22247	Viacamp y Litera											Presupuestos	Sin información
2004	22248	Vicién	190285,34	19653,2	0	7513,37	29389,66	12955,86	0	120773,25	0	0	Presupuestos	Consolidada
2004	22249	Villanova	168000	42900	9000	16800	45400	6800	0	47100	0	0	Presupuestos	Consolidada
2004	22250	Villanúa											Presupuestos	Sin información
2004	22251	Villanueva de Sigena	492250	108000	36000	28100	91100	25950	0	163100	0	40000	Presupuestos	Consolidada
2004	22252	Yebra de Basa	388230	18871	80	11438	49881	9000	0	298960	0	0	Presupuestos	Consolidada
2004	22253	Yésero	454007	2900	0	4019	30633	30399	0	386056	0	0	Presupuestos	Consolidada
2004	22254	Zaidín	1382580,68	249144,93	120000	151230,71	313708,92	19524,1	0	228972,02	0	300000	Presupuestos	Consolidada
2004	22901	Valle de Hecho	862900	91200	28000	71539	420561	160650	0	60950	0	30000	Presupuestos	Consolidada
2004	22902	Puente la Reina de Jaca											Presupuestos	Sin información
2004	22903	San Miguel del Cinca	1032361	158000	0	94151	123600	12700	0	643910	0	0	Presupuestos	Consolidada
2004	22904	Sotonera (La)	690480,4	205500	28115	54950	254090	7302	0	49700	0	90823,4	Presupuestos	Consolidada
2004	22905	Lupiñén-Ortilla	391035	151700	4000	27431	105551	3775	0	98578	0	0	Presupuestos	Consolidada
2004	22906	Santa María de Dulcis	183537,35	17678,98	3000	18460,1	80220,14	270	0	63908,13	0	0	Presupuestos	Consolidada
2004	22907	Aínsa-Sobrarbe											Presupuestos	Sin información
2004	22908	Hoz y Costeán	433995	24425	0	22650	86500	0	0	300420	0	0	Presupuestos	Consolidada
2004	22909	Vencillón	288961,42	60000	5000	25400	76849,25	7430	3000	35720	0	75562,17	Presupuestos	Consolidada
2004	44001	Ababuj	242000	14500	0	13000	33000	27100	0	154400	0	0	Presupuestos	Consolidada
2004	44002	Abejuela	458572,24	92728,65	0	143390,01	9518,79	28424,08	0	135227,72	0	49282,99	Presupuestos	Consolidada
2004	44003	Aguatón	76547,76	4261,11	0	17980,52	16154,71	1452,57	0	36698,85	0	0	Presupuestos	Consolidada
2004	44004	Aguaviva											Presupuestos	Sin información
2004	44005	Aguilar del Alfambra	275000	14550	0	24000	43000	10000	0	183450	0	0	Presupuestos	Consolidada
2004	44006	Alacón	1500000	63250	0	57200	125550	57000	0	1196000	0	1000	Presupuestos	Consolidada
2004	44007	Alba	270770	35445	0	30745	57350	19730	0	74200	0	53300	Presupuestos	Consolidada
2004	44008	Albalate del Arzobispo	1771700	229800	12000	239970	377000	40300	80000	732630	0	60000	Presupuestos	Consolidada
2004	44009	Albarracín	1699614,15	117830	0	139796,15	253719	472950	79400	451819	0	184100	Presupuestos	Consolidada
2004	44010	Albentosa	476083,73	76650	0	91681,36	92531,25	10111,35	12695,81	132413,96	0	60000	Presupuestos	Consolidada
2004	44011	Alcaine	142500	4723,37	0	17457,63	36799,21	2159,22	0	81360,57	0	0	Presupuestos	Consolidada
2004	44012	Alcalá de la Selva	1569751,33	139988,12	58878,07	138443,79	210097,97	40407,08	0	978931,24	0	3005,06	Presupuestos	Consolidada
2004	44013	Alcañiz	12558990,27	2702787,89	475200	1769744,66	2861727,4	246285,71	1712767	2304477,61	6000	480000	Presupuestos	Consolidada
2004	44014	Alcorisa	5406132,56	510300	65800	418450	757090	50956	234126,21	3044228,26	0	325182,09	Presupuestos	Consolidada
2004	44016	Alfambra	703310	57700	6000	56700	133860	20150	0	318900	0	110000	Presupuestos	Consolidada
2004	44017	Aliaga	1688946,6	50000,2	12500	53649,1	117494,3	14703	0	1440600	0	0	Presupuestos	Consolidada
2004	44018	Almohaja	118640	3983	0	1845	18760	8110	0	80000	0	5942	Presupuestos	Consolidada
2004	44019	Alobras	178070	9600	800	26350	28320	63500	0	49500	0	0	Presupuestos	Consolidada
2004	44020	Alpeñés	135000	10560	0	4080	10076	19284	0	91000	0	0	Presupuestos	Consolidada
2004	44021	Allepuz											Presupuestos	Sin información
2004	44022	Alloza	1127995,47	71415,13	4178,38	59518,15	117720,67	14395,53	0	860767,61	0	0	Presupuestos	Consolidada
2004	44023	Allueva	131980	2773,33	0	4026,85	15400	5829,82	0	103950	0	0	Presupuestos	Consolidada
2004	44024	Anadón	88682,97	6600	1303	3650	19770	9313,97	0	48046	0	0	Presupuestos	Consolidada
2004	44025	Andorra	14677366,3	1973158,64	150253,02	995621,98	2388048,68	37363,13	208293,09	8686555,73	0	238072,03	Presupuestos	Consolidada
2004	44026	Arcos de las Salinas	247000	18104,59	0	65469,69	14993,36	15281,93	12861,66	119576,02	0	712,75	Presupuestos	Consolidada
2004	44027	Arens de Lledó	210741	21650	4320,67	21895,76	47655,51	5405,36	0	64113,7	0	45700	Presupuestos	Consolidada
2004	44028	Argente											Presupuestos	Sin información
2004	44029	Ariño	2046108	112000	100000	122530	138600	82000	54310	1375668	0	61000	Presupuestos	Consolidada
2004	44031	Azaila	340863,65	29800	1000	27500	39195	5900	0	237468,65	0	0	Presupuestos	Consolidada
2004	44032	Bádenas											Presupuestos	Sin información
2004	44033	Báguena	356780	47000	0	45410	77240	10130	0	177000	0	0	Presupuestos	Consolidada
2004	44034	Bañón	270794,39	19010	10	26120	39274,39	10860	100	175370	0	50	Presupuestos	Consolidada
2004	44035	Barrachina	314638	19029	0	39157,3	43315	21708	0	191428,7	0	0	Presupuestos	Consolidada
2004	44036	Bea	113860	5695	0	11005	13500	8360	0	75300	0	0	Presupuestos	Consolidada
2004	44037	Beceite	911902	38000	0	83100	121702	33100	0	536000	0	100000	Presupuestos	Consolidada
2004	44038	Belmonte de San José											Presupuestos	Sin información
2004	44039	Bello	613463,5	47541,03	0	48523,39	140005,24	41990,98	145981,41	159421,45	0	30000	Presupuestos	Consolidada
2004	44040	Berge	737629	14911	3600	22052	46416	7025	0	595625	0	48000	Presupuestos	Consolidada
2004	44041	Bezas	145533,82	5378,11	0	1300	28449,71	30406	0	80000	0	0	Presupuestos	Consolidada
2004	44042	Blancas	132276	17100	6	18070	38500	24300	0	34300	0	0	Presupuestos	Consolidada
2004	44043	Blesa	193441	13975	0	29284	36696	10500	0	102986	0	0	Presupuestos	Consolidada
2004	44044	Bordón	612900	18041,48	3000	37122,85	32260,95	3313,63	0	348361,09	0	170800	Presupuestos	Consolidada
2004	44045	Bronchales	865756,07	70142,28	12020,24	55377,07	509665,69	114880,79	0	0	0	103670	Presupuestos	Consolidada
2004	44046	Bueña	260792	12550	0	17434	36500	1400	0	192908	0	0	Presupuestos	Consolidada
2004	44047	Burbáguena	205875,15	20359,43	0	28082	56057,78	6472,24	0	94903,7	0	0	Presupuestos	Consolidada
2004	44048	Cabra de Mora	486200	17664	6000	23990	39000	19100	108000	272446	0	0	Presupuestos	Consolidada
2004	44049	Calaceite	1248719,67	161000	0	112169,33	307919,66	34800	40000	592830,68	0	0	Presupuestos	Consolidada
2004	44050	Calamocha											Presupuestos	Sin información
2004	44051	Calanda	7417287,09	436371	84039,31	446689,94	639076,4	42471,12	120077,56	5488445,45	0	160116,31	Presupuestos	Consolidada
