Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas mano obra familiar sólo trabajan en la explotación	Personas mano obra familiar trabajan también en otra activ. lucrativa	Personas mano obra familiar trabajan en otra actividad como principal	Personas mano obra familiar trabajan en otra actividad como secundaria	Personas mano obra familiar titulares que sólo trabajan en la explotación	Personas mano obra familiar titulares que trabajan también en otra activ. lucrativa	Personas mano obra familiar titulares que trabajan en otra actividad como principal	Personas mano obra familiar titulares que trabajan en otra actividad como secundaria	Personas mano obra familiar cónyuges que sólo trabajan en la explotación	Personas mano obra familiar cónyuges que trabajan también en otra activ. Lucrativa	Personas mano obra familiar cónyuges que trabajan en otra actividad como principal	Personas mano obra familiar cónyuges que trabajan en otra actividad como secundaria	Personas mano obra familiar otros, que sólo trabajan en la explotación	Personas mano obra familiar otros, que  trabajan también en otra activ. lucrativa	Personas mano obra familiar otros,  trabajan en otra actividad como principal	Personas mano obra familiar otros, que trabajan en otra actividad como secundaria	Personas mano obra familiar con <25% trabajando en explotación	Personas mano obra familiar con >24,99 y <50% trabajando en explotación	Personas mano obra familiar con >49,99 y <75% trabajando en explotación	Personas mano obra familiar con >74,99 y <100% trabajando en explotación	Personas mano obra familiar con 100% trabajando en explotación
1989	22072	Caldearenas	78	43	35	31	4	37	20	18	2	1	1	1	0	5	14	12	2	44	4	9	13	8
1989	22074	Campo	40	30	10	9	1	25	10	9	1	3	0	0	0	2	0	0	0	26	1	0	0	13
1989	22075	Camporrells	156	104	52	44	8	83	40	36	4	8	1	1	0	13	11	7	4	100	10	10	5	31
1989	22076	Canal de Berdún	147	128	19	19	0	98	17	17	0	13	0	0	0	17	2	2	0	43	17	16	11	60
1989	22077	Candasnos	110	76	34	27	7	60	31	24	7	0	0	0	0	16	3	3	0	40	12	10	8	40
1989	22078	Canfranc	5	4	1	1	0	2	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	4
1989	22079	Capdesaso	56	45	11	6	5	36	8	3	5	4	1	1	0	5	2	2	0	17	7	12	13	7
1989	22080	Capella	175	129	46	34	12	104	40	31	9	19	0	0	0	6	6	3	3	103	30	3	0	39
1989	22081	Casbas de Huesca	185	140	45	43	2	105	36	34	2	26	1	1	0	9	8	8	0	94	26	7	1	57
1989	22082	Castejón del Puente	86	59	27	22	5	53	26	21	5	3	0	0	0	3	1	1	0	46	6	5	5	24
1989	22083	Castejón de Monegros	199	142	57	50	7	119	48	42	6	2	1	1	0	21	8	7	1	106	16	13	22	42
1989	22084	Castejón de Sos	70	58	12	10	2	48	11	10	1	8	0	0	0	2	1	0	1	40	4	7	2	17
1989	22085	Castelflorite	64	50	14	8	6	40	12	6	6	5	0	0	0	5	2	2	0	15	9	5	1	34
1989	22086	Castiello de Jaca	42	38	4	2	2	18	3	1	2	16	1	1	0	4	0	0	0	6	5	2	12	17
1989	22087	Castigaleu	33	29	4	4	0	20	3	3	0	6	0	0	0	3	1	1	0	14	5	0	0	14
1989	22088	Castillazuelo	96	63	33	31	2	60	29	27	2	0	0	0	0	3	4	4	0	50	25	10	8	3
1989	22089	Castillonroy	212	167	45	30	15	75	22	12	10	45	6	5	1	47	17	13	4	101	35	23	9	44
1989	22090	Colungo	94	67	27	27	0	52	13	13	0	12	0	0	0	3	14	14	0	67	7	5	15	0
1989	22094	Chalamera	72	63	9	7	2	34	3	2	1	8	0	0	0	21	6	5	1	26	4	8	1	33
1989	22095	Chía	37	34	3	3	0	23	1	1	0	7	0	0	0	4	2	2	0	3	14	1	0	19
1989	22096	Chimillas	19	13	6	6	0	13	6	6	0	0	0	0	0	0	0	0	0	5	3	9	2	0
1989	22099	Esplús	197	107	90	82	8	86	73	66	7	7	5	4	1	14	12	12	0	116	22	20	7	32
1989	22102	Estada	67	50	17	15	2	48	15	13	2	0	0	0	0	2	2	2	0	43	1	0	1	22
1989	22103	Estadilla	259	166	93	83	10	99	67	58	9	29	4	4	0	38	22	21	1	152	26	17	19	45
1989	22105	Estopiñán del Castillo	114	84	30	19	11	71	30	19	11	6	0	0	0	7	0	0	0	45	14	9	12	34
1989	22106	Fago	11	10	1	1	0	8	0	0	0	2	0	0	0	0	1	1	0	4	2	1	1	3
1989	22107	Fanlo	23	12	11	7	4	6	7	3	4	2	1	1	0	4	3	3	0	10	4	3	5	1
1989	22109	Fiscal	91	68	23	22	1	60	22	21	1	3	0	0	0	5	1	1	0	51	7	3	0	30
1989	22110	Fonz	258	154	104	51	53	133	87	42	45	8	0	0	0	13	17	9	8	109	19	18	8	104
1989	22111	Foradada del Toscar	99	84	15	11	4	44	11	8	3	18	2	2	0	22	2	1	1	48	13	5	3	30
1989	22112	Fraga	2110	1569	541	439	102	772	381	316	65	443	51	42	9	354	109	81	28	1002	196	36	16	860
1989	22113	Fueva (La)	314	225	89	71	18	152	74	57	17	47	3	2	1	26	12	12	0	142	65	47	34	26
1989	22114	Gistaín	105	88	17	11	6	55	11	8	3	23	0	0	0	10	6	3	3	49	12	6	4	34
1989	22115	Grado (El)	257	163	94	91	3	138	76	73	3	15	0	0	0	10	18	18	0	178	35	8	4	32
1989	22116	Grañén	333	233	100	93	7	178	75	70	5	27	2	2	0	28	23	21	2	104	67	5	136	21
1989	22117	Graus	622	475	147	135	12	337	114	107	7	80	13	12	1	58	20	16	4	406	52	25	4	135
1989	22119	Gurrea de Gállego	368	287	81	71	10	229	61	52	9	16	2	2	0	42	18	17	1	124	35	20	10	179
1989	22122	Hoz de Jaca	28	18	10	10	0	12	6	6	0	3	3	3	0	3	1	1	0	15	2	11	0	0
1989	22124	Huerto	110	87	23	21	2	66	20	18	2	9	1	1	0	12	2	2	0	42	28	23	10	7
1989	22125	Huesca	283	210	73	66	7	157	58	53	5	4	0	0	0	49	15	13	2	106	41	20	4	112
1989	22126	Ibieca	41	26	15	15	0	19	12	12	0	0	0	0	0	7	3	3	0	33	2	3	2	1
1989	22127	Igriés	35	28	7	6	1	18	7	6	1	0	0	0	0	10	0	0	0	13	2	2	0	18
1989	22128	Ilche	99	78	21	19	2	61	20	18	2	8	1	1	0	9	0	0	0	37	12	13	12	25
1989	22129	Isábena	102	81	21	16	5	49	10	7	3	23	0	0	0	9	11	9	2	65	15	2	0	20
1989	22130	Jaca	418	292	126	111	15	220	97	88	9	36	1	0	1	36	28	23	5	171	51	41	13	142
1989	22131	Jasa	22	16	6	6	0	11	2	2	0	3	1	1	0	2	3	3	0	5	6	2	2	7
1989	22133	Labuerda	47	35	12	11	1	33	12	11	1	1	0	0	0	1	0	0	0	33	5	1	8	0
1989	22135	Laluenga	103	87	16	11	5	69	9	5	4	2	0	0	0	16	7	6	1	46	6	20	14	17
1989	22136	Lalueza	400	308	92	81	11	235	70	59	11	46	4	4	0	27	18	18	0	209	12	5	1	173
1989	22137	Lanaja	355	263	92	85	7	218	72	66	6	29	1	1	0	16	19	18	1	204	8	5	2	136
1989	22139	Laperdiguera	31	25	6	6	0	20	4	4	0	0	1	1	0	5	1	1	0	13	2	6	4	6
1989	22141	Lascellas-Ponzano	55	32	23	19	4	30	21	19	2	1	0	0	0	1	2	0	2	31	6	9	3	6
1989	22142	Lascuarre	63	51	12	12	0	32	9	9	0	11	0	0	0	8	3	3	0	35	6	3	0	19
1989	22143	Laspaúles	98	87	11	10	1	52	10	9	1	20	0	0	0	15	1	1	0	10	32	3	0	53
1989	22144	Laspuña	92	54	38	32	6	28	34	29	5	22	0	0	0	4	4	3	1	57	25	6	4	0
1989	22149	Loarre	126	92	34	34	0	92	34	34	0	0	0	0	0	0	0	0	0	74	8	2	7	35
1989	22150	Loporzano	219	144	75	71	4	120	54	51	3	11	2	2	0	13	19	18	1	154	18	16	24	7
1989	22151	Loscorrales	49	39	10	7	3	37	10	7	3	0	0	0	0	2	0	0	0	23	4	3	3	16
1989	22155	Monesma y Cajigar	60	53	7	6	1	25	2	1	1	13	0	0	0	15	5	5	0	19	20	4	1	16
1989	22156	Monflorite-Lascasas	62	41	21	16	5	29	12	8	4	3	1	1	0	9	8	7	1	38	4	6	6	8
1989	22157	Montanuy	147	122	25	19	6	68	17	13	4	20	2	0	2	34	6	6	0	16	45	8	1	77
1989	22158	Monzón	956	625	331	300	31	520	286	265	21	41	6	6	0	64	39	29	10	612	79	25	11	229
1989	22160	Naval	103	84	19	19	0	69	16	16	0	6	0	0	0	9	3	3	0	67	13	6	2	15
1989	22162	Novales	40	32	8	8	0	29	8	8	0	0	0	0	0	3	0	0	0	16	4	15	1	4
1989	22163	Nueno	99	72	27	26	1	58	18	18	0	2	0	0	0	12	9	8	1	64	10	7	1	17
1989	22164	Olvena	36	24	12	12	0	19	9	9	0	4	0	0	0	1	3	3	0	20	7	1	3	5
1989	22165	Ontiñena	145	109	36	32	4	100	33	31	2	2	1	1	0	7	2	0	2	70	6	3	3	63
1989	22167	Osso de Cinca	293	239	54	36	18	115	24	15	9	50	4	3	1	74	26	18	8	103	33	39	13	105
1989	22168	Palo	32	21	11	10	1	21	11	10	1	0	0	0	0	0	0	0	0	26	4	1	1	0
1989	22170	Panticosa	72	52	20	19	1	40	19	18	1	5	0	0	0	7	1	1	0	43	12	2	5	10
1989	22172	Peñalba	138	95	43	36	7	77	35	30	5	2	0	0	0	16	8	6	2	72	14	23	6	23
1989	22173	Peñas de Riglos (Las)	88	57	31	30	1	57	31	30	1	0	0	0	0	0	0	0	0	63	10	0	2	13
1989	22174	Peralta de Alcofea	157	129	28	21	7	88	26	19	7	22	1	1	0	19	1	1	0	56	20	27	22	32
1989	22175	Peralta de Calasanz	278	222	56	50	6	174	45	41	4	34	4	4	0	14	7	5	2	163	30	22	22	41
1989	22176	Peraltilla	50	28	22	21	1	26	19	19	0	1	0	0	0	1	3	2	1	27	6	2	6	9
1989	22177	Perarrúa	81	52	29	23	6	34	22	18	4	11	1	1	0	7	6	4	2	59	5	4	1	12
1989	22178	Pertusa	34	27	7	5	2	18	7	5	2	1	0	0	0	8	0	0	0	12	4	7	8	3
1989	22181	Piracés	26	19	7	7	0	17	5	5	0	0	0	0	0	2	2	2	0	10	3	5	7	1
1989	22182	Plan	110	99	11	5	6	64	8	4	4	22	0	0	0	13	3	1	2	48	24	9	4	25
1989	22184	Poleñino	67	52	15	14	1	39	14	13	1	7	0	0	0	6	1	1	0	27	1	0	2	37
1989	22186	Pozán de Vero	105	76	29	26	3	70	20	18	2	3	0	0	0	3	9	8	1	21	42	22	4	16
1989	22187	Puebla de Castro (La)	114	78	36	30	6	59	34	28	6	15	0	0	0	4	2	2	0	90	8	3	2	11
1989	22188	Puente de Montañana	37	29	8	5	3	17	6	3	3	5	2	2	0	7	0	0	0	26	2	5	0	4
1989	22189	Puértolas	76	52	24	19	5	31	23	19	4	14	0	0	0	7	1	0	1	37	16	11	11	1
1989	22190	Pueyo de Araguás (El)	64	43	21	18	3	31	18	15	3	2	0	0	0	10	3	3	0	21	16	1	22	4
1989	22193	Pueyo de Santa Cruz	86	52	34	29	5	43	31	26	5	8	1	1	0	1	2	2	0	61	5	3	16	1
1989	22195	Quicena	13	9	4	4	0	6	3	3	0	1	0	0	0	2	1	1	0	8	0	2	2	1
1989	22197	Robres	145	111	34	28	6	91	25	22	3	6	0	0	0	14	9	6	3	52	12	4	2	75
1989	22199	Sabiñánigo	344	211	133	116	17	178	84	73	11	9	4	4	0	24	45	39	6	244	35	29	34	2
1989	22200	Sahún	77	62	15	13	2	39	13	12	1	17	0	0	0	6	2	1	1	22	21	7	14	13
1989	22201	Salas Altas	258	180	78	76	2	103	23	21	2	40	0	0	0	37	55	55	0	156	37	15	13	37
1989	22202	Salas Bajas	117	77	40	40	0	50	24	24	0	22	0	0	0	5	16	16	0	87	16	4	6	4
1989	22203	Salillas	40	31	9	9	0	23	8	8	0	5	0	0	0	3	1	1	0	17	13	6	3	1
1989	22204	Sallent de Gállego	115	67	48	41	7	50	32	29	3	14	5	4	1	3	11	8	3	66	27	8	5	9
1989	22205	San Esteban de Litera	363	254	109	98	11	172	88	80	8	47	8	7	1	35	13	11	2	222	22	13	24	82
1989	22206	Sangarrén	86	52	34	33	1	45	24	23	1	3	1	1	0	4	9	9	0	57	10	9	4	6
1989	22207	San Juan de Plan	64	61	3	3	0	31	1	1	0	20	1	1	0	10	1	1	0	7	16	14	8	19
1989	22208	Santa Cilia	61	46	15	15	0	32	11	11	0	10	0	0	0	4	4	4	0	21	14	2	1	23
1989	22209	Santa Cruz de la Serós	46	28	18	16	2	16	16	14	2	7	0	0	0	5	2	2	0	19	8	10	2	7
1989	22212	Santaliestra y San Quílez	32	23	9	8	1	18	7	6	1	4	1	1	0	1	1	1	0	22	2	1	0	7
1989	22213	Sariñena	656	475	181	136	45	313	162	124	38	65	2	2	0	97	17	10	7	242	79	71	76	188
1989	22214	Secastilla	83	57	26	23	3	36	19	16	3	11	2	2	0	10	5	5	0	65	6	2	1	9
1989	22215	Seira	41	36	5	4	1	24	4	3	1	7	0	0	0	5	1	1	0	16	11	4	5	5
1989	22217	Sena	156	130	26	20	6	116	25	19	6	9	0	0	0	5	1	1	0	50	31	3	0	72
1989	22218	Senés de Alcubierre	28	18	10	9	1	12	8	7	1	2	0	0	0	4	2	2	0	16	2	1	1	8
1989	22220	Sesa	69	56	13	11	2	43	13	11	2	6	0	0	0	7	0	0	0	20	15	22	6	6
1989	22221	Sesué	29	24	5	5	0	15	2	2	0	5	0	0	0	4	3	3	0	5	4	6	8	6
1989	22222	Siétamo	112	86	26	24	2	71	15	13	2	1	1	1	0	14	10	10	0	69	13	10	6	14
1989	22223	Sopeira	36	34	2	2	0	28	1	1	0	4	1	1	0	2	0	0	0	11	13	1	0	11
1989	22225	Tamarite de Litera	1190	839	351	303	48	366	195	157	38	208	24	22	2	265	132	124	8	618	194	72	31	275
1989	22226	Tardienta	237	129	108	105	3	115	97	96	1	4	0	0	0	10	11	9	2	167	20	6	9	35
1989	22227	Tella-Sin	74	54	20	20	0	35	14	14	0	15	0	0	0	4	6	6	0	41	12	8	7	6
1989	22228	Tierz	26	15	11	10	1	11	6	6	0	1	1	1	0	3	4	3	1	17	3	3	1	2
1989	22229	Tolva	105	80	25	22	3	49	20	18	2	18	0	0	0	13	5	4	1	62	13	12	0	18
1989	22230	Torla-Ordesa	73	66	7	4	3	43	6	4	2	12	0	0	0	11	1	0	1	18	7	1	0	47
1989	22232	Torralba de Aragón	52	36	16	12	4	27	15	11	4	2	0	0	0	7	1	1	0	20	6	2	3	21
1989	22233	Torre la Ribera	43	34	9	2	7	17	5	1	4	8	1	0	1	9	3	1	2	16	6	8	2	11
1989	22234	Torrente de Cinca	192	114	78	63	15	46	62	49	13	51	2	2	0	17	14	12	2	95	38	7	4	48
1989	22235	Torres de Alcanadre	37	29	8	7	1	25	4	4	0	2	0	0	0	2	4	3	1	12	9	4	4	8
1989	22236	Torres de Barbués	67	52	15	14	1	38	14	13	1	5	0	0	0	9	1	1	0	20	12	4	12	19
1989	22239	Tramaced	43	35	8	6	2	25	8	6	2	2	0	0	0	8	0	0	0	12	7	10	7	7
1989	22242	Valfarta	31	23	8	6	2	22	8	6	2	0	0	0	0	1	0	0	0	13	6	5	0	7
1989	22243	Valle de Bardají	23	19	4	3	1	11	3	2	1	5	0	0	0	3	1	1	0	9	0	0	0	14
1989	22244	Valle de Lierp	28	25	3	2	1	11	2	2	0	8	0	0	0	6	1	0	1	14	2	4	1	7
1989	22245	Velilla de Cinca	121	73	48	39	9	34	37	30	7	29	1	1	0	10	10	8	2	55	24	7	3	32
1989	22246	Beranuy	61	50	11	11	0	24	5	5	0	12	1	1	0	14	5	5	0	33	7	5	1	15
1989	22247	Viacamp y Litera	34	26	8	8	0	20	3	3	0	2	1	1	0	4	4	4	0	23	3	1	2	5
1989	22248	Vicién	16	11	5	5	0	5	3	3	0	1	0	0	0	5	2	2	0	8	4	3	1	0
1989	22249	Villanova	10	9	1	1	0	7	1	1	0	1	0	0	0	1	0	0	0	0	3	1	3	3
1989	22250	Villanúa	30	24	6	6	0	17	6	6	0	6	0	0	0	1	0	0	0	22	1	2	0	5
1989	22251	Villanueva de Sigena	116	73	43	29	14	61	39	25	14	8	1	1	0	4	3	3	0	23	20	27	29	17
1989	22252	Yebra de Basa	37	20	17	16	1	16	8	7	1	2	0	0	0	2	9	9	0	18	4	2	9	4
1989	22253	Yésero	36	26	10	10	0	13	5	5	0	9	0	0	0	4	5	5	0	25	3	2	1	5
1989	22254	Zaidín	632	524	108	94	14	276	72	61	11	135	10	9	1	113	26	24	2	232	92	33	9	266
1989	22901	Valle de Hecho	281	188	93	76	17	134	56	46	10	24	1	1	0	30	36	29	7	174	29	15	3	60
1989	22902	Puente la Reina de Jaca	99	74	25	23	2	45	23	21	2	16	0	0	0	13	2	2	0	29	15	7	17	31
1989	22903	San Miguel del Cinca	426	320	106	70	36	181	87	55	32	84	4	1	3	55	15	14	1	134	93	17	4	178
1989	22904	Sotonera (La)	483	277	206	204	2	244	157	155	2	11	2	2	0	22	47	47	0	396	17	3	0	67
1989	22905	Lupiñén-Ortilla	116	88	28	27	1	77	25	24	1	2	0	0	0	9	3	3	0	66	6	6	7	31
1989	22906	Santa María de Dulcis	90	65	25	17	8	59	21	14	7	3	0	0	0	3	4	3	1	29	22	20	15	4
1989	22907	Aínsa-Sobrarbe	191	139	52	44	8	117	42	35	7	12	3	2	1	10	7	7	0	99	13	5	3	71
1989	22908	Hoz y Costeán	218	150	68	67	1	127	39	38	1	14	2	2	0	9	27	27	0	166	11	12	12	17
1989	22909	Vencillón	128	101	27	22	5	65	17	15	2	13	0	0	0	23	10	7	3	39	11	8	11	59
1989	44001	Ababuj	52	45	7	4	3	25	4	2	2	11	1	1	0	9	2	1	1	18	13	7	5	9
1989	44002	Abejuela	25	23	2	2	0	19	1	1	0	4	1	1	0	0	0	0	0	17	3	0	0	5
1989	44003	Aguatón	18	17	1	1	0	10	1	1	0	7	0	0	0	0	0	0	0	7	2	1	0	8
1989	44004	Aguaviva	220	153	67	49	18	87	64	48	16	60	0	0	0	6	3	1	2	113	38	15	8	46
1989	44005	Aguilar del Alfambra	52	50	2	1	1	30	1	1	0	17	0	0	0	3	1	0	1	15	2	1	1	33
1989	44006	Alacón	200	176	24	17	7	101	12	9	3	63	1	0	1	12	11	8	3	115	19	9	10	47
1989	44007	Alba	107	91	16	16	0	52	16	16	0	17	0	0	0	22	0	0	0	35	8	18	2	44
1989	44008	Albalate del Arzobispo	518	231	287	246	41	129	230	195	35	83	25	25	0	19	32	26	6	308	88	20	17	85
1989	44009	Albarracín	103	76	27	23	4	61	18	16	2	4	1	1	0	11	8	6	2	65	9	7	1	21
1989	44010	Albentosa	181	124	57	53	4	108	50	47	3	12	3	2	1	4	4	4	0	151	6	4	7	13
1989	44011	Alcaine	34	13	21	21	0	10	19	19	0	2	1	1	0	1	1	1	0	24	2	0	0	8
1989	44012	Alcalá de la Selva	200	138	62	53	9	121	60	52	8	13	0	0	0	4	2	1	1	140	10	4	0	46
1989	44013	Alcañiz	1414	985	429	403	26	573	295	276	19	276	38	36	2	136	96	91	5	895	80	32	12	395
1989	44014	Alcorisa	729	473	256	253	3	304	180	177	3	117	15	15	0	52	61	61	0	584	53	11	46	35
1989	44016	Alfambra	220	187	33	29	4	129	30	26	4	46	0	0	0	12	3	3	0	124	32	14	20	30
1989	44017	Aliaga	177	150	27	26	1	127	26	25	1	17	0	0	0	6	1	1	0	119	7	9	0	42
1989	44018	Almohaja	6	6	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	3
1989	44019	Alobras	70	62	8	3	5	30	6	3	3	20	0	0	0	12	2	0	2	38	14	9	3	6
1989	44020	Alpeñés	20	18	2	0	2	18	2	0	2	0	0	0	0	0	0	0	0	5	2	4	5	4
1989	44021	Allepuz	121	106	15	15	0	80	14	14	0	11	0	0	0	15	1	1	0	59	0	0	2	60
1989	44022	Alloza	249	187	62	59	3	130	39	36	3	44	1	1	0	13	22	22	0	139	55	24	12	19
