Municipio código	Municipio nombre	SAU (Ha.)	Superficie total (Ha.)	Porcentaje de SAU sobre la superficie total de explotaciones (%)
44020	Alpeñés	2400,49	2658,15	90,3067923179655
44021	Allepuz	3040,51	4359,44	69,7454260180207
44022	Alloza	3989,17	6066,61	65,7561636564737
44023	Allueva	163,74	163,74	100
44024	Anadón	1073,12	1405,52	76,3503898912858
44025	Andorra	9345,46	9565,32	97,7014882931256
44026	Arcos de las Salinas	6708,85	9932,71	67,5429968256397
44027	Arens de Lledó	772,36	1236,26	62,4755310371605
44028	Argente	5301,15	5533,83	95,7953171673145
44029	Ariño	752,17	774,69	97,0930307606914
44031	Azaila	5571,9	6393,79	87,1454958639555
44032	Bádenas	437,41	471,84	92,7030349270939
44033	Báguena	1009,43	1262,87	79,9314260375177
44034	Bañón	3606,01	4896,57	73,6435913302577
44035	Barrachina	1162,27	2244,27	51,7883320634327
44036	Bea	1113,09	1214,24	91,6696863881934
44037	Beceite	1242,07	2618,46	47,4351336281631
44038	Belmonte de San José	442,46	716,4	61,7615857063093
44039	Bello	4072,09	4178,31	97,457823857014
44040	Berge	2042,08	2107,48	96,8967677036081
44041	Bezas	654,97	2095,67	31,2534893375388
44042	Blancas	4989,56	5056,86	98,6691346013139
44043	Blesa	2841,72	3219,87	88,2557370328616
44044	Bordón	1998,19	2390,1	83,6027781264382
44045	Bronchales	2549,76	4106,6	62,0893196318122
44046	Bueña	1502,53	1866,58	80,4964159050242
44047	Burbáguena	1730,17	3066,88	56,4146624582638
44048	Cabra de Mora	366,4	728,5	50,2951269732327
44049	Calaceite	3663,14	4985,92	73,4696906488672
44050	Calamocha	19573,96	21911,36	89,3324741138843
44051	Calanda	6414,79	8508,19	75,3954718923766
44052	Calomarde	2326,59	2541,25	91,5529758976881
44053	Camañas	4503,71	5626,46	80,0451793845509
44054	Camarena de la Sierra	4252,57	7830,55	54,3074241272963
44055	Camarillas	2904,12	4650,42	62,4485530339195
44056	Caminreal	3532,53	3687,42	95,7995020908928
44059	Cantavieja	8501,37	10343,55	82,1900604724683
44060	Cañada de Benatanduz	1781,5	2833,3	62,8772103201214
44061	Cañada de Verich (La)	69,02	84,82	81,3723178495638
44062	Cañada Vellida	1877,92	2086,22	90,0154346137991
44063	Cañizar del Olivar	58,9	431,2	13,6595547309833
44064	Cascante del Río	1617,56	2123,15	76,1867979181876
44065	Castejón de Tornos	1417,74	1432,79	98,9496018258084
44066	Castel de Cabra	951,44	1048,93	90,7057668290544
44067	Castelnou	3267,42	3285,88	99,438202247191
44068	Castelserás	1464	1471,63	99,4815272860705
44070	Castellar (El)	1140,1	3985,97	28,6028244066062
44071	Castellote	5697,72	14290,22	39,8714645400841
44074	Cedrillas	4229,46	6699,66	63,129472241875
44075	Celadas	8407,94	8892,15	94,554635268186
44076	Cella	9382,79	10348,16	90,6710951512153
44077	Cerollera (La)	176,25	201,08	87,6516809230157
44080	Codoñera (La)	1144,09	1159,76	98,6488583844933
44082	Corbalán	3372,23	5489,39	61,4317802160167
44084	Cortes de Aragón	1885,89	1900,51	99,2307328033002
44085	Cosa	3867,64	4961,75	77,9491106968308
44086	Cretas	2530,43	2852,78	88,700495656868
44087	Crivillén	1897,35	1905,89	99,5519153781173
44088	Cuba (La)	326,14	380,47	85,7202933214182
44089	Cubla	1615	4407,11	36,6453299327677
44090	Cucalón	1591,01	1811,7	87,8186233923939
44092	Cuervo (El)	57,21	73,39	77,9533996457283
44093	Cuevas de Almudén	1765,74	2047,34	86,2455674191878
44094	Cuevas Labradas	1960,01	2249,99	87,1119427197454
44096	Ejulve	1891,97	3869,82	48,8903876666098
44097	Escorihuela	3682,46	3753,8	98,099525813842
44099	Escucha	632,28	636,09	99,401028156393
44100	Estercuel	396,9	432,95	91,6734033953112
44101	Ferreruela de Huerva	2003,58	2013,64	99,5004072227409
44102	Fonfría	1119,44	1601,16	69,9143121237103
44103	Formiche Alto	3298,09	6860,04	48,076833371234
44105	Fórnoles	341,73	556,11	61,4500728273183
44106	Fortanete	4216,75	6629,35	63,6072918159397
44107	Foz-Calanda	1611,52	2837,84	56,7868519719223
44108	Fresneda (La)	1130,08	1372,42	82,3421401611752
44109	Frías de Albarracín	3132,3	4835,23	64,7807860225884
44110	Fuenferrada	1470,75	2011,86	73,1039933196147
44111	Fuentes Calientes	2040,31	2043,86	99,8263090426937
44112	Fuentes Claras	2579,67	2603,22	99,0953511420472
44113	Fuentes de Rubielos	265,36	1392,55	19,0556892032602
44114	Fuentespalda	785,48	2167,27	36,2428308424885
44115	Galve	3041,06	5006,17	60,7462391409001
44116	Gargallo	501,28	1734,02	28,9085477676151
44117	Gea de Albarracín	2085,85	3004,68	69,420038073938
44118	Ginebrosa (La)	3120,65	6072,99	51,3857259768253
44119	Griegos	1476,5	2757,6	53,5429358862779
44120	Guadalaviar	1680,19	2687,58	62,5168367081166
44121	Gúdar	3039,2	5756,82	52,7930350436526
44122	Híjar	13746,31	15613,82	88,0393779357006
44123	Hinojosa de Jarque	3314,05	3373,19	98,2467634494351
44124	Hoz de la Vieja (La)	2295,96	3914,46	58,6533008384298
44125	Huesa del Común	3824,56	4341,47	88,0936641275881
44126	Iglesuela del Cid (La)	1659,97	1946,52	85,2788566261842
44127	Jabaloyas	1370,19	4517,47	30,3309153132174
44128	Jarque de la Val	2011,32	2385,48	84,3151063936818
44129	Jatiel	682,57	697,02	97,9268887549855
44130	Jorcas	787,68	787,68	100
44131	Josa	1459,19	1478,31	98,7066312207859
44132	Lagueruela	2408,72	2421,46	99,4738711355959
44133	Lanzuela	712,81	750,67	94,9565055217339
44135	Libros	870,69	1115,75	78,0362984539547
44136	Lidón	1849,82	3947,55	46,8599511089157
44137	Linares de Mora	4486,29	9185,57	48,8406272011427
44138	Loscos	3179,63	3755,35	84,6693384105343
44141	Lledó	537,75	764,94	70,2996313436348
44142	Maicas	627,1	627,1	100
44143	Manzanera	2868,2	12175,49	23,5571627918055
44144	Martín del Río	645,11	661,44	97,5311441702951
44145	Mas de las Matas	1645,71	1689,7	97,3965792744274
44146	Mata de los Olmos (La)	1205,31	1218,02	98,9565031772877
44147	Mazaleón	3096,57	3567,88	86,7901947374912
44148	Mezquita de Jarque	1798,35	2661,45	67,5703094177986
44149	Mirambel	2767,2	3157,48	87,6395099889786
44150	Miravete de la Sierra	1892,13	2369,96	79,8380563385036
44151	Molinos	5262,93	6776,68	77,6623656421729
44152	Monforte de Moyuela	2161,69	2178,87	99,2115178968915
44153	Monreal del Campo	7487,58	7549,85	99,1752154016305
44154	Monroyo	1718,88	3184,47	53,9769569190478
44155	Montalbán	1634,19	5663,56	28,85446609553
44156	Monteagudo del Castillo	1577,85	1665,08	94,7612126744661
44157	Monterde de Albarracín	843,22	4756,24	17,7287100735034
44158	Mora de Rubielos	5608,48	8657,03	64,7852670026556
44159	Moscardón	247,53	348,73	70,980414647435
44160	Mosqueruela	6877,29	13862	49,6125378733228
44161	Muniesa	6899,13	8364,04	82,485616998484
44163	Noguera de Albarracín	1273,12	3771,74	33,754182419785
44164	Nogueras	1039	1406,02	73,8965306325657
44165	Nogueruelas	578,57	3617,03	15,9957202456159
44167	Obón	4898,6	5930,6	82,5987252554548
44168	Odón	5932,77	6079,09	97,5930608035084
44169	Ojos Negros	6245,65	6649,93	93,9205375094174
44171	Olba	113,14	940,47	12,0301551351984
44172	Oliete	3048,53	3080,09	98,9753546162612
44173	Olmos (Los)	1456,69	1476,81	98,6376040248915
44174	Orihuela del Tremedal	3049,78	4376,1	69,6917346495738
44175	Orrios	4196,69	4267,33	98,3446323579381
44176	Palomar de Arroyos	709,21	847,21	83,711240424452
44177	Pancrudo	8005,1	8425,67	95,0084681692969
44178	Parras de Castellote (Las)	1839,43	2498,89	73,6098827879579
44179	Peñarroya de Tastavins	1944,93	3684,23	52,7906781064157
44180	Peracense	469,3	2029,26	23,1266570079733
44181	Peralejos	1502,38	1506,16	99,7490306474744
44182	Perales del Alfambra	6557,1	7039,33	93,1494900793115
44183	Pitarque	1300,85	2048,18	63,5124842543136
44184	Plou	621,39	668,75	92,9181308411215
44185	Pobo (El)	4612,37	5364,92	85,9727638063569
44187	Portellada (La)	690,56	1090,89	63,302441126053
44189	Pozondón	1344,37	5845,47	22,9984928500189
44190	Pozuel del Campo	1539,92	1949,44	78,9929415627052
44191	Puebla de Híjar (La)	4108,5	4414,36	93,0712492864198
44192	Puebla de Valverde (La)	15268,84	19089,25	79,9865893107377
44193	Puertomingalvo	2299,72	3384,61	67,9463808237877
44194	Ráfales	664,7	1353,14	49,1227810869533
44195	Rillo	3560,85	3710,94	95,9554721984187
44196	Riodeva	795,16	1942,27	40,9397251669438
44197	Ródenas	3311,78	4096,6	80,8421617927061
44198	Royuela	674,36	972,22	69,3629014009175
44199	Rubiales	1019,05	1126,67	90,4479572545643
44200	Rubielos de la Cérida	1015,36	1113,94	91,1503312566206
44201	Rubielos de Mora	1462,21	4601,14	31,7792981739308
44203	Salcedillo	535,4	1615,05	33,1506764496455
44204	Saldón	1699,24	2149,25	79,061998371525
44205	Samper de Calanda	8667,12	9147,07	94,7529646105256
44206	San Agustín	2118,54	2296,54	92,24920968065
44207	San Martín del Río	435,67	554,93	78,5090011352783
44208	Santa Cruz de Nogueras	234,52	234,52	100
44209	Santa Eulalia	5021,04	7299,42	68,7868351184067
44210	Sarrión	8987,4	11837,54	75,9228691096292
44211	Segura de los Baños	1396,21	5254,58	26,5712958980546
44212	Seno	767,28	1668,43	45,9881445430734
44213	Singra	2512,1	2550,24	98,5044544827154
44215	Terriente	3193,97	4548,96	70,2131915866484
44216	Teruel	22847,91	25288,09	90,3504772404717
44217	Toril y Masegoso	235,29	242,98	96,8351304634126
44219	Tornos	2818,76	4208,29	66,9811253502016
44220	Torralba de los Sisones	3024,68	4136,02	73,1302073007384
44221	Torrecilla de Alcañiz	1676,4	1743,1	96,1734840227181
44222	Torrecilla del Rebollar	3706,82	5074,28	73,0511520846307
44223	Torre de Arcas	439,4	1418,46	30,9772570252245
44224	Torre de las Arcas	2582,03	2626,11	98,3214716824505
44225	Torre del Compte	925,18	1171,76	78,9564415921349
44226	Torrelacárcel	2567,07	2600,25	98,7239688491491
44227	Torre los Negros	2126,72	2500,97	85,0358061072304
44228	Torremocha de Jiloca	1458,95	2806,68	51,9813445066769
44229	Torres de Albarracín	253,52	319,22	79,4185827955642
44230	Torrevelilla	1100,97	1379,29	79,8215023671599
44231	Torrijas	2130,11	5123,71	41,573586327095
44232	Torrijo del Campo	3779,27	4044,68	93,4380470148442
44234	Tramacastiel	454,52	1280,13	35,5057689453415
44235	Tramacastilla	237,05	248,55	95,3731643532488
44236	Tronchón	2994,94	3502,63	85,5054630377745
44237	Urrea de Gaén	2718,4	3961,23	68,6251492591947
44238	Utrillas	1212,04	1235,86	98,0725972197498
44239	Valacloche	605,27	1435,34	42,1691027909764
44240	Valbona	1043,19	2026,66	51,4733601097372
44241	Valdealgorfa	3182,58	4114,73	77,3460227037983
44243	Valdecuenca	409,67	427,95	95,7284729524477
44244	Valdelinares	546,43	546,43	100
44245	Valdeltormo	866,18	1095,04	79,1003068381064
44246	Valderrobres	3988,9	5734,79	69,5561650906136
44247	Valjunquera	1794,31	1853,59	96,8018817537859
44249	Vallecillo (El)	564,44	1872,28	30,1472002050975
44250	Veguillas de la Sierra	332,27	332,29	99,993981161034
44251	Villafranca del Campo	5472,16	6229,88	87,8373259196004
44252	Villahermosa del Campo	1619,3	1671,02	96,9048844418379
44256	Villanueva del Rebollar de la Sierra	996,04	1047,89	95,0519615608509
44257	Villar del Cobo	2128,66	4047,43	52,5928799262742
44258	Villar del Salz	1039,57	1047,78	99,2164385653477
44260	Villarluengo	6108,93	9292,07	65,7434780409532
44261	Villarquemado	4314,03	4446,37	97,0236395081831
44262	Villarroya de los Pinares	3518,18	5127,74	68,6107329934825
44263	Villastar	1090,48	1292,72	84,3554675413082
44264	Villel	5209,5	6553,51	79,4917532741996
44265	Vinaceite	4952,92	4954,23	99,9735579494694
44266	Visiedo	4613,96	5425,16	85,0474456052909
44267	Vivel del Río Martín	1811,39	3944,2	45,9254094619948
44268	Zoma (La)	411,74	1376,75	29,9066642455057
50001	Abanto	1338,61	1338,61	100
50002	Acered	1136,61	1184,62	95,9472235822458
50003	Agón	984,75	1003,18	98,1628421619251
50004	Aguarón	2277,44	2391,76	95,220256212998
50005	Aguilón	3288,85	3465,04	94,9152102140235
50006	Ainzón	1894,78	2194,55	86,3402519878791
50007	Aladrén	511,24	528,84	96,6719612737312
50008	Alagón	1782,23	1936,37	92,0397444703233
50009	Alarba	872,47	910,04	95,8716100391192
50010	Alberite de San Juan	511,69	779,44	65,6484142461254
50011	Albeta	186,55	186,55	100
50012	Alborge	302,18	302,18	100
50013	Alcalá de Ebro	600,27	881,59	68,0894746991232
50014	Alcalá de Moncayo	467,54	493,64	94,7127461307836
50015	Alconchel de Ariza	3383,51	3389,57	99,8212162604696
50016	Aldehuela de Liestos	795,8	1070,06	74,3696615143076
50017	Alfajarín	8129,58	10291,06	78,9965270827301
50018	Alfamén	7704,75	7840,64	98,2668506652518
50019	Alforque	552,7	552,7	100
50020	Alhama de Aragón	731,59	774,07	94,5121242264911
50021	Almochuel	1593,35	1615,76	98,6130365895925
50022	Almolda (La)	9469,28	9772,54	96,8968149529191
50023	Almonacid de la Cuba	4375,29	4385,61	99,7646849583068
50024	Almonacid de la Sierra	3391,77	3489,93	97,1873361356818
50025	Almunia de Doña Godina (La)	3648,21	3785,55	96,3719935016048
50026	Alpartir	1295,53	2036,44	63,6173911335468
50027	Ambel	3390,43	4073,71	83,22708292932
50028	Anento	873,17	1016,79	85,8751561286008
50029	Aniñón	2533,76	4332,04	58,4888412849374
50030	Añón de Moncayo	404,34	417,45	96,8595041322314
50031	Aranda de Moncayo	1353,91	2212,77	61,1862055252014
50032	Arándiga	1507,33	1676,74	89,8964657609409
50033	Ardisa	696,95	796,17	87,5378373965359
50034	Ariza	4468,99	4789,44	93,3092386583818
50035	Artieda	634,45	1307,43	48,5264985505916
50036	Asín	520,6	1185,66	43,908034343741
50037	Atea	1270,19	1426,1	89,0673865787813
50038	Ateca	4220,27	4950,97	85,2412759519852
50039	Azuara	11060,29	11525,23	95,9658939561293
50040	Badules	1016,9	1053,78	96,5002182618763
50041	Bagüés	1328,85	2818,92	47,1403941935209
50042	Balconchán	1023,38	1350,48	75,7789822877792
50043	Bárboles	1225,94	1255,43	97,6510040384569
50044	Bardallur	1513,32	1551,57	97,5347551190085
50045	Belchite	22821,88	25833,06	88,3436960236224
50046	Belmonte de Gracián	1580,82	1655,85	95,4687924630854
50047	Berdejo	292,61	292,61	100
50048	Berrueco	507,84	512,54	99,0829984001249
50050	Bijuesca	1696,91	1903,22	89,1599499795084
50051	Biota	7259,78	8309,01	87,3723825100704
50052	Bisimbre	860,34	863,04	99,6871523915462
50053	Boquiñeni	911,84	981,56	92,8970210685032
50054	Bordalba	2224,35	2262,35	98,320330629655
50055	Borja	8222,8	8498,56	96,7552150011296
50056	Botorrita	1110,13	1332,9	83,2868182159202
50057	Brea de Aragón	1165,35	1186,28	98,2356610580976
50058	Bubierca	673,22	678,62	99,2042674840117
50059	Bujaraloz	10479,87	10757,98	97,4148492560871
50060	Bulbuente	1996,87	2086,65	95,6974097237198
50061	Bureta	983,37	997,3	98,6032287175374
50062	Burgo de Ebro (El)	2166,2	2185,42	99,1205351831685
50063	Buste (El)	619,4	619,65	99,9596546437505
50064	Cabañas de Ebro	741,58	820,66	90,3638534837813
50065	Cabolafuente	2109,13	2167,03	97,3281403580015
