Municipio código	Municipio nombre	Superficie útil agrupada (m2)	Número de viviendas
50094	Daroca	106 - 120	74
50094	Daroca	121 - 150	47
50094	Daroca	151 o más	41
50095	Ejea de los Caballeros	045 o menos	85
50095	Ejea de los Caballeros	046 - 060	393
50095	Ejea de los Caballeros	061 - 075	773
50095	Ejea de los Caballeros	076 - 090	2143
50095	Ejea de los Caballeros	091 - 105	979
50095	Ejea de los Caballeros	106 - 120	584
50095	Ejea de los Caballeros	121 - 150	323
50095	Ejea de los Caballeros	151 o más	199
50096	Embid de Ariza	045 o menos	1
50096	Embid de Ariza	046 - 060	7
50096	Embid de Ariza	061 - 075	7
50096	Embid de Ariza	076 - 090	5
50096	Embid de Ariza	091 - 105	2
50096	Embid de Ariza	106 - 120	3
50096	Embid de Ariza	121 - 150	3
50096	Embid de Ariza	151 o más	2
50098	Encinacorba	045 o menos	2
50098	Encinacorba	046 - 060	12
50098	Encinacorba	061 - 075	13
50098	Encinacorba	076 - 090	64
50098	Encinacorba	091 - 105	24
50098	Encinacorba	106 - 120	8
50098	Encinacorba	121 - 150	6
50098	Encinacorba	151 o más	7
50099	Épila	045 o menos	34
50099	Épila	046 - 060	86
50099	Épila	061 - 075	196
50099	Épila	076 - 090	427
50099	Épila	091 - 105	273
50099	Épila	106 - 120	197
50099	Épila	121 - 150	123
50099	Épila	151 o más	89
50100	Erla	045 o menos	7
50100	Erla	046 - 060	17
50100	Erla	061 - 075	15
50100	Erla	076 - 090	44
50100	Erla	091 - 105	33
50100	Erla	106 - 120	12
50100	Erla	121 - 150	22
50100	Erla	151 o más	15
50101	Escatrón	045 o menos	11
50101	Escatrón	046 - 060	63
50101	Escatrón	061 - 075	69
50101	Escatrón	076 - 090	208
50101	Escatrón	091 - 105	124
50101	Escatrón	106 - 120	50
50101	Escatrón	121 - 150	58
50101	Escatrón	151 o más	32
50102	Fabara	045 o menos	8
50102	Fabara	046 - 060	16
50102	Fabara	061 - 075	28
50102	Fabara	076 - 090	125
50102	Fabara	091 - 105	86
50102	Fabara	106 - 120	69
50102	Fabara	121 - 150	62
50102	Fabara	151 o más	43
50104	Farlete	046 - 060	1
50104	Farlete	061 - 075	6
50104	Farlete	076 - 090	24
50104	Farlete	091 - 105	27
50104	Farlete	106 - 120	19
50104	Farlete	121 - 150	33
50104	Farlete	151 o más	35
50105	Fayón	046 - 060	5
50105	Fayón	061 - 075	38
50105	Fayón	076 - 090	40
50105	Fayón	091 - 105	15
50105	Fayón	106 - 120	9
50105	Fayón	121 - 150	64
50105	Fayón	151 o más	4
50106	Fayos (Los)	046 - 060	4
50106	Fayos (Los)	061 - 075	3
50106	Fayos (Los)	076 - 090	35
50106	Fayos (Los)	091 - 105	13
50106	Fayos (Los)	106 - 120	11
50106	Fayos (Los)	121 - 150	7
50106	Fayos (Los)	151 o más	5
50107	Figueruelas	045 o menos	8
50107	Figueruelas	046 - 060	11
50107	Figueruelas	061 - 075	25
50107	Figueruelas	076 - 090	93
50107	Figueruelas	091 - 105	80
50107	Figueruelas	106 - 120	74
50107	Figueruelas	121 - 150	54
50107	Figueruelas	151 o más	26
50108	Fombuena	061 - 075	1
50108	Fombuena	076 - 090	3
50108	Fombuena	091 - 105	1
50108	Fombuena	106 - 120	2
50108	Fombuena	121 - 150	2
50109	Frago (El)	046 - 060	6
50109	Frago (El)	061 - 075	11
50109	Frago (El)	076 - 090	10
50109	Frago (El)	091 - 105	14
50109	Frago (El)	106 - 120	6
50109	Frago (El)	121 - 150	5
50109	Frago (El)	151 o más	7
50110	Frasno (El)	045 o menos	9
50110	Frasno (El)	046 - 060	28
50110	Frasno (El)	061 - 075	26
50110	Frasno (El)	076 - 090	74
50110	Frasno (El)	091 - 105	45
50110	Frasno (El)	106 - 120	31
50110	Frasno (El)	121 - 150	18
50110	Frasno (El)	151 o más	11
50111	Fréscano	045 o menos	1
50111	Fréscano	046 - 060	8
50111	Fréscano	061 - 075	9
50111	Fréscano	076 - 090	36
50111	Fréscano	091 - 105	16
50111	Fréscano	106 - 120	15
50111	Fréscano	121 - 150	7
50111	Fréscano	151 o más	5
50113	Fuendejalón	045 o menos	1
50113	Fuendejalón	046 - 060	4
50113	Fuendejalón	061 - 075	9
50113	Fuendejalón	076 - 090	83
50113	Fuendejalón	091 - 105	60
50113	Fuendejalón	106 - 120	76
50113	Fuendejalón	121 - 150	36
50113	Fuendejalón	151 o más	49
50114	Fuendetodos	046 - 060	2
50114	Fuendetodos	061 - 075	1
50114	Fuendetodos	076 - 090	7
50114	Fuendetodos	091 - 105	20
50114	Fuendetodos	106 - 120	18
50114	Fuendetodos	121 - 150	11
50114	Fuendetodos	151 o más	5
50115	Fuentes de Ebro	045 o menos	13
50115	Fuentes de Ebro	046 - 060	50
50115	Fuentes de Ebro	061 - 075	148
50115	Fuentes de Ebro	076 - 090	392
50115	Fuentes de Ebro	091 - 105	299
50115	Fuentes de Ebro	106 - 120	240
50115	Fuentes de Ebro	121 - 150	172
50115	Fuentes de Ebro	151 o más	91
50116	Fuentes de Jiloca	045 o menos	2
50116	Fuentes de Jiloca	046 - 060	16
50116	Fuentes de Jiloca	061 - 075	14
50116	Fuentes de Jiloca	076 - 090	51
50116	Fuentes de Jiloca	091 - 105	22
50116	Fuentes de Jiloca	106 - 120	16
50116	Fuentes de Jiloca	121 - 150	14
50116	Fuentes de Jiloca	151 o más	9
50117	Gallocanta	045 o menos	1
50117	Gallocanta	046 - 060	1
50117	Gallocanta	061 - 075	3
50117	Gallocanta	076 - 090	12
50117	Gallocanta	091 - 105	15
50117	Gallocanta	106 - 120	13
50117	Gallocanta	121 - 150	10
50117	Gallocanta	151 o más	9
50118	Gallur	045 o menos	13
50118	Gallur	046 - 060	107
50118	Gallur	061 - 075	156
50118	Gallur	076 - 090	304
50118	Gallur	091 - 105	217
50118	Gallur	106 - 120	133
50118	Gallur	121 - 150	82
50118	Gallur	151 o más	40
50119	Gelsa	045 o menos	13
50119	Gelsa	046 - 060	21
50119	Gelsa	061 - 075	49
50119	Gelsa	076 - 090	153
50119	Gelsa	091 - 105	86
50119	Gelsa	106 - 120	64
50119	Gelsa	121 - 150	54
50119	Gelsa	151 o más	25
50120	Godojos	046 - 060	2
50120	Godojos	061 - 075	3
50120	Godojos	076 - 090	5
50120	Godojos	091 - 105	11
50120	Godojos	106 - 120	7
50120	Godojos	121 - 150	4
50120	Godojos	151 o más	3
50121	Gotor	045 o menos	5
50121	Gotor	046 - 060	13
50121	Gotor	061 - 075	16
50121	Gotor	076 - 090	63
50121	Gotor	091 - 105	28
50121	Gotor	106 - 120	14
50121	Gotor	121 - 150	4
50121	Gotor	151 o más	6
50122	Grisel	045 o menos	2
50122	Grisel	046 - 060	5
50122	Grisel	061 - 075	4
50122	Grisel	076 - 090	8
50122	Grisel	091 - 105	7
50122	Grisel	106 - 120	3
50122	Grisel	121 - 150	3
50122	Grisel	151 o más	5
50123	Grisén	046 - 060	15
50123	Grisén	061 - 075	10
50123	Grisén	076 - 090	55
50123	Grisén	091 - 105	37
50123	Grisén	106 - 120	24
50123	Grisén	121 - 150	22
50123	Grisén	151 o más	24
50124	Herrera de los Navarros	045 o menos	12
50124	Herrera de los Navarros	046 - 060	18
50124	Herrera de los Navarros	061 - 075	22
50124	Herrera de los Navarros	076 - 090	50
50124	Herrera de los Navarros	091 - 105	40
50124	Herrera de los Navarros	106 - 120	36
50124	Herrera de los Navarros	121 - 150	38
50124	Herrera de los Navarros	151 o más	37
50125	Ibdes	045 o menos	6
50125	Ibdes	046 - 060	23
50125	Ibdes	061 - 075	20
50125	Ibdes	076 - 090	58
50125	Ibdes	091 - 105	45
50125	Ibdes	106 - 120	23
50125	Ibdes	121 - 150	26
50125	Ibdes	151 o más	12
50126	Illueca	045 o menos	1
50126	Illueca	046 - 060	39
50126	Illueca	061 - 075	189
50126	Illueca	076 - 090	513
50126	Illueca	091 - 105	169
50126	Illueca	106 - 120	76
50126	Illueca	121 - 150	70
50126	Illueca	151 o más	31
50128	Isuerre	046 - 060	1
50128	Isuerre	076 - 090	5
50128	Isuerre	091 - 105	3
50128	Isuerre	106 - 120	8
50128	Isuerre	121 - 150	4
50128	Isuerre	151 o más	3
50129	Jaraba	045 o menos	7
50129	Jaraba	046 - 060	16
50129	Jaraba	061 - 075	16
50129	Jaraba	076 - 090	46
50129	Jaraba	091 - 105	19
50129	Jaraba	106 - 120	10
50129	Jaraba	121 - 150	4
50129	Jaraba	151 o más	9
50130	Jarque	045 o menos	5
50130	Jarque	046 - 060	29
50130	Jarque	061 - 075	33
50130	Jarque	076 - 090	68
50130	Jarque	091 - 105	36
50130	Jarque	106 - 120	17
50130	Jarque	121 - 150	15
50130	Jarque	151 o más	9
50131	Jaulín	046 - 060	3
50131	Jaulín	061 - 075	9
50131	Jaulín	076 - 090	25
50131	Jaulín	091 - 105	23
50131	Jaulín	106 - 120	13
50131	Jaulín	121 - 150	23
50131	Jaulín	151 o más	16
50132	Joyosa (La)	045 o menos	2
50132	Joyosa (La)	046 - 060	4
50132	Joyosa (La)	061 - 075	8
50132	Joyosa (La)	076 - 090	21
50132	Joyosa (La)	091 - 105	20
50132	Joyosa (La)	106 - 120	17
50132	Joyosa (La)	121 - 150	16
50132	Joyosa (La)	151 o más	51
50133	Lagata	061 - 075	4
50133	Lagata	076 - 090	8
50133	Lagata	091 - 105	15
50133	Lagata	106 - 120	28
50133	Lagata	121 - 150	6
50133	Lagata	151 o más	19
50134	Langa del Castillo	045 o menos	3
50134	Langa del Castillo	046 - 060	4
50134	Langa del Castillo	061 - 075	11
50134	Langa del Castillo	076 - 090	19
50134	Langa del Castillo	091 - 105	15
50134	Langa del Castillo	106 - 120	14
50134	Langa del Castillo	121 - 150	7
50134	Langa del Castillo	151 o más	7
50135	Layana	046 - 060	5
50135	Layana	061 - 075	4
50135	Layana	076 - 090	17
50135	Layana	091 - 105	7
50135	Layana	106 - 120	5
50135	Layana	121 - 150	4
50135	Layana	151 o más	9
50136	Lécera	045 o menos	1
50136	Lécera	046 - 060	11
50136	Lécera	061 - 075	11
50136	Lécera	076 - 090	41
50136	Lécera	091 - 105	58
50136	Lécera	106 - 120	68
50136	Lécera	121 - 150	72
50136	Lécera	151 o más	91
50137	Leciñena	045 o menos	4
50137	Leciñena	046 - 060	32
50137	Leciñena	061 - 075	45
50137	Leciñena	076 - 090	106
50137	Leciñena	091 - 105	91
50137	Leciñena	106 - 120	89
50137	Leciñena	121 - 150	75
50137	Leciñena	151 o más	47
50138	Lechón	045 o menos	1
50138	Lechón	061 - 075	3
50138	Lechón	076 - 090	4
50138	Lechón	091 - 105	8
50138	Lechón	106 - 120	1
50138	Lechón	121 - 150	1
50138	Lechón	151 o más	4
50139	Letux	045 o menos	1
50139	Letux	046 - 060	2
50139	Letux	061 - 075	5
50139	Letux	076 - 090	37
50139	Letux	091 - 105	22
50139	Letux	106 - 120	42
50139	Letux	121 - 150	26
50139	Letux	151 o más	55
50140	Litago	046 - 060	3
50140	Litago	061 - 075	12
50140	Litago	076 - 090	24
50140	Litago	091 - 105	16
50140	Litago	106 - 120	15
50140	Litago	121 - 150	7
50140	Litago	151 o más	6
50141	Lituénigo	046 - 060	1
50141	Lituénigo	061 - 075	1
50141	Lituénigo	076 - 090	6
50141	Lituénigo	091 - 105	14
50141	Lituénigo	106 - 120	13
50141	Lituénigo	121 - 150	7
50141	Lituénigo	151 o más	7
50142	Lobera de Onsella	046 - 060	2
50142	Lobera de Onsella	061 - 075	3
50142	Lobera de Onsella	076 - 090	8
50142	Lobera de Onsella	091 - 105	2
50142	Lobera de Onsella	106 - 120	4
50142	Lobera de Onsella	121 - 150	3
50142	Lobera de Onsella	151 o más	9
50143	Longares	045 o menos	12
50143	Longares	046 - 060	29
50143	Longares	061 - 075	40
50143	Longares	076 - 090	88
50143	Longares	091 - 105	66
50143	Longares	106 - 120	31
50143	Longares	121 - 150	43
50143	Longares	151 o más	16
50144	Longás	046 - 060	2
50144	Longás	061 - 075	1
50144	Longás	076 - 090	2
50144	Longás	091 - 105	3
50144	Longás	106 - 120	2
50144	Longás	121 - 150	1
50144	Longás	151 o más	9
50146	Lucena de Jalón	046 - 060	5
50146	Lucena de Jalón	061 - 075	22
50146	Lucena de Jalón	076 - 090	21
50146	Lucena de Jalón	091 - 105	13
50146	Lucena de Jalón	106 - 120	18
50146	Lucena de Jalón	121 - 150	6
50146	Lucena de Jalón	151 o más	14
50147	Luceni	045 o menos	4
50147	Luceni	046 - 060	20
50147	Luceni	061 - 075	32
50147	Luceni	076 - 090	113
50147	Luceni	091 - 105	79
50147	Luceni	106 - 120	77
50147	Luceni	121 - 150	53
50147	Luceni	151 o más	37
50148	Luesia	045 o menos	1
50148	Luesia	046 - 060	13
50148	Luesia	061 - 075	18
50148	Luesia	076 - 090	40
50148	Luesia	091 - 105	25
50148	Luesia	106 - 120	18
50148	Luesia	121 - 150	23
50148	Luesia	151 o más	16
50149	Luesma	046 - 060	1
50149	Luesma	061 - 075	3
50149	Luesma	076 - 090	4
50149	Luesma	091 - 105	3
50149	Luesma	106 - 120	1
50149	Luesma	121 - 150	1
50150	Lumpiaque	045 o menos	6
50150	Lumpiaque	046 - 060	21
50150	Lumpiaque	061 - 075	28
50150	Lumpiaque	076 - 090	101
50150	Lumpiaque	091 - 105	79
50150	Lumpiaque	106 - 120	80
50150	Lumpiaque	121 - 150	30
50150	Lumpiaque	151 o más	13
50151	Luna	045 o menos	11
50151	Luna	046 - 060	27
50151	Luna	061 - 075	61
50151	Luna	076 - 090	138
50151	Luna	091 - 105	55
50151	Luna	106 - 120	41
50151	Luna	121 - 150	29
50151	Luna	151 o más	27
50152	Maella	045 o menos	37
50152	Maella	046 - 060	61
50152	Maella	061 - 075	96
50152	Maella	076 - 090	189
50152	Maella	091 - 105	125
50152	Maella	106 - 120	116
50152	Maella	121 - 150	85
50152	Maella	151 o más	50
50153	Magallón	045 o menos	4
50153	Magallón	046 - 060	28
50153	Magallón	061 - 075	57
50153	Magallón	076 - 090	163
50153	Magallón	091 - 105	89
50153	Magallón	106 - 120	58
50153	Magallón	121 - 150	39
50153	Magallón	151 o más	25
50154	Mainar	045 o menos	1
50154	Mainar	046 - 060	2
50154	Mainar	061 - 075	1
50154	Mainar	076 - 090	11
50154	Mainar	091 - 105	10
50154	Mainar	106 - 120	11
50154	Mainar	121 - 150	13
50154	Mainar	151 o más	20
50155	Malanquilla	046 - 060	1
50155	Malanquilla	076 - 090	17
50155	Malanquilla	091 - 105	12
50155	Malanquilla	106 - 120	22
50155	Malanquilla	121 - 150	11
50155	Malanquilla	151 o más	3
50156	Maleján	045 o menos	3
50156	Maleján	046 - 060	13
50156	Maleján	061 - 075	12
50156	Maleján	076 - 090	38
50156	Maleján	091 - 105	30
50156	Maleján	106 - 120	14
50156	Maleján	151 o más	10
50157	Malón	045 o menos	5
50157	Malón	046 - 060	7
50157	Malón	061 - 075	10
50157	Malón	076 - 090	65
50157	Malón	091 - 105	37
50157	Malón	106 - 120	19
50157	Malón	121 - 150	13
50157	Malón	151 o más	12
50159	Maluenda	045 o menos	9
50159	Maluenda	046 - 060	43
50159	Maluenda	061 - 075	57
50159	Maluenda	076 - 090	83
50159	Maluenda	091 - 105	53
50159	Maluenda	106 - 120	61
50159	Maluenda	121 - 150	41
50159	Maluenda	151 o más	17
50160	Mallén	045 o menos	13
50160	Mallén	046 - 060	25
50160	Mallén	061 - 075	100
50160	Mallén	076 - 090	465
50160	Mallén	091 - 105	207
50160	Mallén	106 - 120	149
50160	Mallén	121 - 150	89
50160	Mallén	151 o más	74
50161	Manchones	046 - 060	4
50161	Manchones	061 - 075	10
50161	Manchones	076 - 090	24
50161	Manchones	091 - 105	7
50161	Manchones	106 - 120	4
50161	Manchones	121 - 150	5
50161	Manchones	151 o más	5
50162	Mara	045 o menos	2
50162	Mara	046 - 060	9
50162	Mara	061 - 075	4
50162	Mara	076 - 090	24
50162	Mara	091 - 105	24
50162	Mara	106 - 120	9
50162	Mara	121 - 150	9
50162	Mara	151 o más	6
50163	María de Huerva	045 o menos	1
50163	María de Huerva	046 - 060	17
50163	María de Huerva	061 - 075	63
50163	María de Huerva	076 - 090	122
50163	María de Huerva	091 - 105	73
50163	María de Huerva	106 - 120	72
50163	María de Huerva	121 - 150	59
50163	María de Huerva	151 o más	109
50164	Mediana de Aragón	045 o menos	1
50164	Mediana de Aragón	046 - 060	9
50164	Mediana de Aragón	061 - 075	17
50164	Mediana de Aragón	076 - 090	25
50164	Mediana de Aragón	091 - 105	30
50164	Mediana de Aragón	106 - 120	33
50164	Mediana de Aragón	121 - 150	28
50164	Mediana de Aragón	151 o más	42
50165	Mequinenza	045 o menos	4
50165	Mequinenza	046 - 060	53
50165	Mequinenza	061 - 075	143
50165	Mequinenza	076 - 090	441
50165	Mequinenza	091 - 105	161
50165	Mequinenza	106 - 120	66
50165	Mequinenza	121 - 150	21
50165	Mequinenza	151 o más	15
50166	Mesones de Isuela	045 o menos	8
50166	Mesones de Isuela	046 - 060	23
50166	Mesones de Isuela	061 - 075	14
50166	Mesones de Isuela	076 - 090	21
50166	Mesones de Isuela	091 - 105	27
50166	Mesones de Isuela	106 - 120	18
50166	Mesones de Isuela	121 - 150	16
50166	Mesones de Isuela	151 o más	6
50167	Mezalocha	045 o menos	4
50167	Mezalocha	046 - 060	13
50167	Mezalocha	061 - 075	13
50167	Mezalocha	076 - 090	19
50167	Mezalocha	091 - 105	20
50167	Mezalocha	106 - 120	19
50167	Mezalocha	121 - 150	6
50167	Mezalocha	151 o más	13
50168	Mianos	045 o menos	1
50168	Mianos	061 - 075	1
50168	Mianos	076 - 090	3
50168	Mianos	091 - 105	3
50168	Mianos	106 - 120	1
50168	Mianos	121 - 150	4
50168	Mianos	151 o más	6
50169	Miedes de Aragón	045 o menos	2
50169	Miedes de Aragón	046 - 060	24
50169	Miedes de Aragón	061 - 075	14
50169	Miedes de Aragón	076 - 090	51
50169	Miedes de Aragón	091 - 105	38
50169	Miedes de Aragón	106 - 120	28
50169	Miedes de Aragón	121 - 150	16
50169	Miedes de Aragón	151 o más	9
50170	Monegrillo	046 - 060	12
50170	Monegrillo	061 - 075	10
50170	Monegrillo	076 - 090	29
50170	Monegrillo	091 - 105	40
50170	Monegrillo	106 - 120	29
50170	Monegrillo	121 - 150	21
50170	Monegrillo	151 o más	23
50171	Moneva	046 - 060	3
50171	Moneva	061 - 075	4
50171	Moneva	076 - 090	12
50171	Moneva	091 - 105	16
50171	Moneva	106 - 120	22
50171	Moneva	121 - 150	10
50171	Moneva	151 o más	13
50172	Monreal de Ariza	045 o menos	2
50172	Monreal de Ariza	061 - 075	5
50172	Monreal de Ariza	076 - 090	32
50172	Monreal de Ariza	091 - 105	17
50172	Monreal de Ariza	106 - 120	25
50172	Monreal de Ariza	121 - 150	25
50172	Monreal de Ariza	151 o más	16
50173	Monterde	045 o menos	3
50173	Monterde	046 - 060	17
50173	Monterde	061 - 075	21
50173	Monterde	076 - 090	36
50173	Monterde	091 - 105	15
50173	Monterde	106 - 120	7
50173	Monterde	121 - 150	12
50173	Monterde	151 o más	5
50174	Montón	045 o menos	1
50174	Montón	046 - 060	7
50174	Montón	061 - 075	9
50174	Montón	076 - 090	15
50174	Montón	091 - 105	17
50174	Montón	106 - 120	3
50174	Montón	121 - 150	7
50174	Montón	151 o más	2
50175	Morata de Jalón	045 o menos	6
50175	Morata de Jalón	046 - 060	53
50175	Morata de Jalón	061 - 075	120
50175	Morata de Jalón	076 - 090	196
50175	Morata de Jalón	091 - 105	85
50175	Morata de Jalón	106 - 120	52
50175	Morata de Jalón	121 - 150	31
50175	Morata de Jalón	151 o más	48
50176	Morata de Jiloca	045 o menos	6
50176	Morata de Jiloca	046 - 060	4
50176	Morata de Jiloca	061 - 075	13
50176	Morata de Jiloca	076 - 090	43
50176	Morata de Jiloca	091 - 105	23
50176	Morata de Jiloca	106 - 120	26
50176	Morata de Jiloca	121 - 150	9
50176	Morata de Jiloca	151 o más	8
50177	Morés	045 o menos	3
50177	Morés	046 - 060	20
50177	Morés	061 - 075	42
50177	Morés	076 - 090	61
50177	Morés	091 - 105	22
50177	Morés	106 - 120	16
50177	Morés	121 - 150	13
50177	Morés	151 o más	14
50178	Moros	045 o menos	6
50178	Moros	046 - 060	10
50178	Moros	061 - 075	37
50178	Moros	076 - 090	77
50178	Moros	091 - 105	61
50178	Moros	106 - 120	25
50178	Moros	121 - 150	5
50178	Moros	151 o más	1
50179	Moyuela	061 - 075	10
50179	Moyuela	076 - 090	59
50179	Moyuela	091 - 105	66
50179	Moyuela	106 - 120	10
50179	Moyuela	121 - 150	2
50180	Mozota	045 o menos	2
50180	Mozota	046 - 060	1
50180	Mozota	061 - 075	2
50180	Mozota	076 - 090	12
50180	Mozota	091 - 105	10
50180	Mozota	106 - 120	10
50180	Mozota	121 - 150	3
50180	Mozota	151 o más	8
50181	Muel	045 o menos	7
50181	Muel	046 - 060	20
50181	Muel	061 - 075	76
50181	Muel	076 - 090	92
50181	Muel	091 - 105	74
50181	Muel	106 - 120	65
50181	Muel	121 - 150	54
50181	Muel	151 o más	32
50182	Muela (La)	045 o menos	3
50182	Muela (La)	046 - 060	13
50182	Muela (La)	061 - 075	60
50182	Muela (La)	076 - 090	124
50182	Muela (La)	091 - 105	134
50182	Muela (La)	106 - 120	101
50182	Muela (La)	121 - 150	117
50182	Muela (La)	151 o más	115
50183	Munébrega	045 o menos	3
50183	Munébrega	046 - 060	20
50183	Munébrega	061 - 075	21
50183	Munébrega	076 - 090	50
50183	Munébrega	091 - 105	41
50183	Munébrega	106 - 120	27
50183	Munébrega	121 - 150	11
50183	Munébrega	151 o más	9
50184	Murero	045 o menos	3
50184	Murero	046 - 060	7
50184	Murero	061 - 075	5
50184	Murero	076 - 090	20
50184	Murero	091 - 105	15
50184	Murero	106 - 120	6
50184	Murero	121 - 150	3
50184	Murero	151 o más	4
50185	Murillo de Gállego	045 o menos	3
50185	Murillo de Gállego	046 - 060	6
50185	Murillo de Gállego	061 - 075	10
50185	Murillo de Gállego	076 - 090	15
50185	Murillo de Gállego	091 - 105	11
50185	Murillo de Gállego	106 - 120	13
50185	Murillo de Gállego	121 - 150	17
50185	Murillo de Gállego	151 o más	2
50186	Navardún	046 - 060	3
50186	Navardún	061 - 075	1
50186	Navardún	076 - 090	5
50186	Navardún	091 - 105	5
50186	Navardún	106 - 120	2
50186	Navardún	121 - 150	7
50186	Navardún	151 o más	2
50187	Nigüella	045 o menos	5
50187	Nigüella	046 - 060	8
50187	Nigüella	061 - 075	6
50187	Nigüella	076 - 090	9
50187	Nigüella	091 - 105	9
50187	Nigüella	106 - 120	4
50187	Nigüella	121 - 150	2
50187	Nigüella	151 o más	1
50188	Nombrevilla	046 - 060	3
50188	Nombrevilla	076 - 090	14
50188	Nombrevilla	091 - 105	5
50188	Nombrevilla	106 - 120	2
50188	Nombrevilla	121 - 150	2
50188	Nombrevilla	151 o más	1
50189	Nonaspe	045 o menos	30
50189	Nonaspe	046 - 060	43
50189	Nonaspe	061 - 075	62
50189	Nonaspe	076 - 090	105
50189	Nonaspe	091 - 105	81
50189	Nonaspe	106 - 120	52
50189	Nonaspe	121 - 150	35
50189	Nonaspe	151 o más	17
50190	Novallas	045 o menos	4
50190	Novallas	046 - 060	16
50190	Novallas	061 - 075	40
50190	Novallas	076 - 090	112
50190	Novallas	091 - 105	54
50190	Novallas	106 - 120	36
50190	Novallas	121 - 150	26
50190	Novallas	151 o más	17
50191	Novillas	045 o menos	5
50191	Novillas	046 - 060	29
50191	Novillas	061 - 075	36
50191	Novillas	076 - 090	59
50191	Novillas	091 - 105	38
50191	Novillas	106 - 120	33
50191	Novillas	121 - 150	29
50191	Novillas	151 o más	21
50192	Nuévalos	045 o menos	5
50192	Nuévalos	046 - 060	7
50192	Nuévalos	061 - 075	27
50192	Nuévalos	076 - 090	59
50192	Nuévalos	091 - 105	12
50192	Nuévalos	106 - 120	9
50192	Nuévalos	121 - 150	10
50192	Nuévalos	151 o más	6
50193	Nuez de Ebro	046 - 060	3
50193	Nuez de Ebro	061 - 075	9
50193	Nuez de Ebro	076 - 090	63
50193	Nuez de Ebro	091 - 105	33
50193	Nuez de Ebro	106 - 120	29
50193	Nuez de Ebro	121 - 150	31
50193	Nuez de Ebro	151 o más	37
50194	Olvés	045 o menos	2
50194	Olvés	046 - 060	4
50194	Olvés	061 - 075	3
50194	Olvés	076 - 090	17
50194	Olvés	091 - 105	15
50194	Olvés	106 - 120	7
50194	Olvés	121 - 150	8
50194	Olvés	151 o más	2
50195	Orcajo	046 - 060	1
50195	Orcajo	061 - 075	1
50195	Orcajo	076 - 090	6
50195	Orcajo	091 - 105	5
50195	Orcajo	106 - 120	2
50195	Orcajo	121 - 150	3
50195	Orcajo	151 o más	3
50196	Orera	046 - 060	9
50196	Orera	061 - 075	7
50196	Orera	076 - 090	20
50196	Orera	091 - 105	11
50196	Orera	106 - 120	2
50196	Orera	151 o más	2
50197	Orés	046 - 060	3
50197	Orés	061 - 075	4
50197	Orés	076 - 090	3
50197	Orés	091 - 105	9
50197	Orés	106 - 120	7
50197	Orés	121 - 150	7
50197	Orés	151 o más	18
50198	Oseja	061 - 075	1
50198	Oseja	076 - 090	5
50198	Oseja	091 - 105	6
50198	Oseja	106 - 120	9
50198	Oseja	121 - 150	3
50199	Osera de Ebro	046 - 060	10
50199	Osera de Ebro	061 - 075	10
50199	Osera de Ebro	076 - 090	28
50199	Osera de Ebro	091 - 105	32
50199	Osera de Ebro	106 - 120	21
50199	Osera de Ebro	121 - 150	11
50199	Osera de Ebro	151 o más	15
50200	Paniza	045 o menos	6
50200	Paniza	046 - 060	43
50200	Paniza	061 - 075	39
50200	Paniza	076 - 090	76
50200	Paniza	091 - 105	53
50200	Paniza	106 - 120	22
50200	Paniza	121 - 150	11
50200	Paniza	151 o más	12
50201	Paracuellos de Jiloca	045 o menos	16
50201	Paracuellos de Jiloca	046 - 060	21
50201	Paracuellos de Jiloca	061 - 075	20
50201	Paracuellos de Jiloca	076 - 090	37
50201	Paracuellos de Jiloca	091 - 105	37
50201	Paracuellos de Jiloca	106 - 120	18
50201	Paracuellos de Jiloca	121 - 150	23
50201	Paracuellos de Jiloca	151 o más	15
50202	Paracuellos de la Ribera	045 o menos	9
50202	Paracuellos de la Ribera	046 - 060	16
50202	Paracuellos de la Ribera	061 - 075	27
50202	Paracuellos de la Ribera	076 - 090	24
50202	Paracuellos de la Ribera	091 - 105	15
50202	Paracuellos de la Ribera	106 - 120	16
50202	Paracuellos de la Ribera	121 - 150	5
50202	Paracuellos de la Ribera	151 o más	8
50203	Pastriz	045 o menos	5
50203	Pastriz	046 - 060	9
50203	Pastriz	061 - 075	24
50203	Pastriz	076 - 090	121
50203	Pastriz	091 - 105	79
50203	Pastriz	106 - 120	63
50203	Pastriz	121 - 150	38
50203	Pastriz	151 o más	42
50204	Pedrola	045 o menos	4
50204	Pedrola	046 - 060	37
50204	Pedrola	061 - 075	111
50204	Pedrola	076 - 090	357
50204	Pedrola	091 - 105	156
50204	Pedrola	106 - 120	104
50204	Pedrola	121 - 150	127
50204	Pedrola	151 o más	97
50205	Pedrosas (Las)	046 - 060	2
50205	Pedrosas (Las)	061 - 075	4
50205	Pedrosas (Las)	076 - 090	8
50205	Pedrosas (Las)	091 - 105	8
50205	Pedrosas (Las)	106 - 120	6
50205	Pedrosas (Las)	121 - 150	9
50205	Pedrosas (Las)	151 o más	7
50206	Perdiguera	046 - 060	7
50206	Perdiguera	061 - 075	12
50206	Perdiguera	076 - 090	32
50206	Perdiguera	091 - 105	41
50206	Perdiguera	106 - 120	47
50206	Perdiguera	121 - 150	41
50206	Perdiguera	151 o más	37
50207	Piedratajada	046 - 060	10
