Año	Provincia	Municipio	Entidad singular	Núcleo
2019	22-Huesca	22035 - Arén	220350006 - Molinos (Los)	22035000699 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350007 - Puimolar	22035000799 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350008 - Rivera de Vall	22035000899 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350009 - San Martín	22035000999 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350010 - Sas (El)	22035001099 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350011 - Sobrecastell	22035001199 - *Diseminado*
2019	22-Huesca	22036 - Argavieso	220360001 - Argavieso	22036000101 - Argavieso
2019	22-Huesca	22036 - Argavieso	220360001 - Argavieso	22036000199 - *Diseminado*
2019	22-Huesca	22037 - Arguis	220370001 - Arguis	22037000101 - Arguis
2019	22-Huesca	22037 - Arguis	220370001 - Arguis	22037000199 - *Diseminado*
2019	22-Huesca	22037 - Arguis	220370002 - Bentué de Rasal	22037000201 - Bentué de Rasal
2019	22-Huesca	22037 - Arguis	220370002 - Bentué de Rasal	22037000299 - *Diseminado*
2019	22-Huesca	22039 - Ayerbe	220390001 - Ayerbe	22039000101 - Ayerbe
2019	22-Huesca	22039 - Ayerbe	220390001 - Ayerbe	22039000199 - *Diseminado*
2019	22-Huesca	22039 - Ayerbe	220390002 - Fontellas	22039000201 - Fontellas
2019	22-Huesca	22039 - Ayerbe	220390002 - Fontellas	22039000299 - *Diseminado*
2019	22-Huesca	22039 - Ayerbe	220390003 - Losanglis	22039000301 - Losanglis
2019	22-Huesca	22040 - Azanuy-Alins	220400001 - Alins del Monte	22040000101 - Alins del Monte
2019	22-Huesca	22040 - Azanuy-Alins	220400001 - Alins del Monte	22040000199 - *Diseminado*
2019	22-Huesca	22040 - Azanuy-Alins	220400002 - Azanuy	22040000201 - Azanuy
2019	22-Huesca	22040 - Azanuy-Alins	220400002 - Azanuy	22040000299 - *Diseminado*
2019	22-Huesca	22041 - Azara	220410001 - Azara	22041000101 - Azara
2019	22-Huesca	22041 - Azara	220410001 - Azara	22041000199 - *Diseminado*
2019	22-Huesca	22042 - Azlor	220420001 - Azlor	22042000101 - Azlor
2019	22-Huesca	22042 - Azlor	220420001 - Azlor	22042000199 - *Diseminado*
2019	22-Huesca	22043 - Baells	220430001 - Baells	22043000101 - Baells
2019	22-Huesca	22043 - Baells	220430001 - Baells	22043000199 - *Diseminado*
2019	22-Huesca	22043 - Baells	220430002 - Nacha	22043000201 - Nacha
2019	22-Huesca	22043 - Baells	220430002 - Nacha	22043000299 - *Diseminado*
