CCAA nombre	CCAA código	Año	Votos	Siglas	Candidatura
Aragón	02	2016	1868	MAS	MOVIMIENTO ARAGONÉS SOCIAL
Aragón	02	2016	765	ENTABAN	ENTABAN
Aragón	02	2016	301	FE de las JONS	FALANGE ESPAÑOLA DE LAS JONS
Aragón	02	2016	73	UDT	UNIÓN DE TODOS
Aragón	02	2015	650538	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON PARTIDO ARAGONÉS
Aragón	02	2015	470134	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2015	283968	PODEMOS	PODEMOS
Aragón	02	2015	269676	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
Aragón	02	2015	128176	IU-CHA-UPeC	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN
Aragón	02	2015	50355	PODEMOS-Ahora Alto Aragón en Común	PODEMOS-Ahora Alto Aragón en Común
Aragón	02	2015	33977	EB	ESCAÑOS EN BLANCO
Aragón	02	2015	24329	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2015	18613	UPyD	UNIÓN PROGRESO Y DEMOCRACIA
Aragón	02	2015	5739	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE
Aragón	02	2015	3877	VOX	VOX
Aragón	02	2015	2697	INDEPENDIENTES-FIA	INDEPENDIENTES POR ARAGÓN
Aragón	02	2015	2220	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2015	1179	BAR	BAR
Aragón	02	2011	933017	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
Aragón	02	2011	606351	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2011	182649	CHA-IU	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL
Aragón	02	2011	40732	UPyD	UNIÓN PROGRESO Y DEMOCRACIA
Aragón	02	2011	16513	EQUO	EQUO
Aragón	02	2011	14079	EB	ESCAÑOS EN BLANCO
Aragón	02	2011	12181	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2011	4390	PUM+J	POR UN MUNDO MÁS JUSTO
Aragón	02	2011	2544	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2011	1887	DeC	DEMOS EL CAMBIO
Aragón	02	2011	1360	UCE	UNIFICACIÓN COMUNISTA DE ESPAÑA
Aragón	02	2011	1209	PH	PARTIDO HUMANISTA
Aragón	02	2011	1041	P-LIB	PARTIDO DE LA LIBERTAD INDIVIDUAL
Aragón	02	2011	446	SXT	SOCIALISTAS POR TERUEL
Aragón	02	2008	993633	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2008	790626	PP	PARTIDO POPULAR
Aragón	02	2008	132738	PAR	PARTIDO ARAGONES
Aragón	02	2008	107282	CHA	CHUNTA ARAGONESISTA
Aragón	02	2008	60373	IU	IZQUIERDA UNIDA-ALTERNATIVA
Aragón	02	2008	25302	UPyD	UNION PROGRESO Y DEMOCRACIA
Aragón	02	2008	10906	LV	LOS VERDES-GRUPO VERDE
Aragón	02	2008	3160	C's	CIUDADANOS-PARTIDO DE LA CIUDADANIA
Aragón	02	2008	2900	PACMA	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
Aragón	02	2008	1797	PUM+J	POR UN MUNDO MAS JUSTO
Aragón	02	2008	1615	pCUA	PARTIDO CIUDADANOS UNIDOS DE ARAGON
Aragón	02	2008	1213	PSD-FIA	PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON
Aragón	02	2008	928	TA	TIERRA ARAGONESA
Aragón	02	2008	908	FE de las JONS	FALANGE ESPAÑOLA DE LAS JONS
Aragón	02	2008	802	PFyV	PARTIDO FAMILIA Y VIDA
Aragón	02	2008	696	DN	DEMOCRACIA NACIONAL
Aragón	02	2008	644	POSI	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
Aragón	02	2008	576	AuN	ALIANZA NACIONAL
Aragón	02	2008	538	FRENTE	FRENTE ESPAÑOL
Aragón	02	2008	461	AES	ALTERNATIVA ESPAÑOLA
Aragón	02	2008	348	FA	FALANGE AUTENTICA
Aragón	02	2008	338	PH	PARTIDO HUMANISTA
Aragón	02	2008	307	PODEMOS-EQUO	PODEMOS-EQUO
Aragón	02	2008	204	VOX	VOX
Aragón	02	2008	114	PAÑ	PLATAFORMA Ñ
