Régimen de tenencia	Régimen de tenencia, código	Municipio codigo	Municipio nombre	Nº viviendas
Propia, por compra, totalmente pagada	1	44122	Híjar	387,2911225671
Propia, por compra, totalmente pagada	1	44123	Hinojosa de Jarque	15,9868623608
Propia, por compra, totalmente pagada	1	44124	Hoz de la Vieja (La)	21,1725873312
Propia, por compra, totalmente pagada	1	44125	Huesa del Común	18,854013187
Propia, por compra, totalmente pagada	1	44126	Iglesuela del Cid (La)	83,3237111773
Propia, por compra, totalmente pagada	1	44127	Jabaloyas	7,2820122058
Propia, por compra, totalmente pagada	1	44128	Jarque de la Val	12,4165444831
Propia, por compra, totalmente pagada	1	44129	Jatiel	13,7679101285
Propia, por compra, totalmente pagada	1	44130	Jorcas	9,3819792367
Propia, por compra, totalmente pagada	1	44131	Josa	1,3203265894
Propia, por compra, totalmente pagada	1	44132	Lagueruela	17,9147575046
Propia, por compra, totalmente pagada	1	44133	Lanzuela	3,4853280019
Propia, por compra, totalmente pagada	1	44135	Libros	38,9202371307
Propia, por compra, totalmente pagada	1	44136	Lidón	6,0616045101
Propia, por compra, totalmente pagada	1	44137	Linares de Mora	72,0268474542
Propia, por compra, totalmente pagada	1	44138	Loscos	37,8873118366
Propia, por compra, totalmente pagada	1	44141	Lledó	16,8577458272
Propia, por compra, totalmente pagada	1	44142	Maicas	15,8826084119
Propia, por compra, totalmente pagada	1	44143	Manzanera	66,6003013211
Propia, por compra, totalmente pagada	1	44144	Martín del Río	84,1441226237
Propia, por compra, totalmente pagada	1	44145	Mas de las Matas	214,2872590388
Propia, por compra, totalmente pagada	1	44146	Mata de los Olmos (La)	27,7146077558
Propia, por compra, totalmente pagada	1	44147	Mazaleón	74,2825045343
Propia, por compra, totalmente pagada	1	44148	Mezquita de Jarque	19,9613279738
Propia, por compra, totalmente pagada	1	44149	Mirambel	15,0999684823
Propia, por compra, totalmente pagada	1	44150	Miravete de la Sierra	4,7507026784
Propia, por compra, totalmente pagada	1	44151	Molinos	64,0851645383
Propia, por compra, totalmente pagada	1	44152	Monforte de Moyuela	14,0668920326
Propia, por compra, totalmente pagada	1	44153	Monreal del Campo	439,1942015397
Propia, por compra, totalmente pagada	1	44154	Monroyo	56,2571065026
Propia, por compra, totalmente pagada	1	44155	Montalbán	287,16564584
Propia, por compra, totalmente pagada	1	44156	Monteagudo del Castillo	11,2221818836
Propia, por compra, totalmente pagada	1	44157	Monterde de Albarracín	10,7377087764
Propia, por compra, totalmente pagada	1	44158	Mora de Rubielos	281,1231458142
