Comarca codigo	Comarca nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
08	Cinca Medio	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	15029
08	Cinca Medio	Colmenas	Colmenas	81	8	19
08	Cinca Medio	Conejas madres	Conejas madres	71	7	2328
08	Cinca Medio	Equinos (caballos, mulas y asnos)	Equinos	41	4	118
08	Cinca Medio	Gallinas ponedoras	Aves	61	6	325
08	Cinca Medio	Lechones de menos de 20 kg	Porcinos	52	5	51968
08	Cinca Medio	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	22043
08	Cinca Medio	Otros bovinos de dos años o más	Bovinos	12	1	590
08	Cinca Medio	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	88
08	Cinca Medio	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2462
08	Cinca Medio	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	226198
08	Cinca Medio	Ovejas madres y corderas para reposición	Ovinos	21	2	23295
08	Cinca Medio	Pollos de carne	Aves	62	6	1078460
08	Cinca Medio	Vacas	Bovinos	11	1	1896
09	La Litera / La Llitera	Bovinos de entre uno y dos años	Bovinos	13	1	7903
09	La Litera / La Llitera	Bovinos de menos de un año	Bovinos	14	1	30572
09	La Litera / La Llitera	Cabras madres y chivas de reposición	Caprinos	31	3	790
09	La Litera / La Llitera	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	16737
09	La Litera / La Llitera	Colmenas	Colmenas	81	8	1399
09	La Litera / La Llitera	Conejas madres	Conejas madres	71	7	4843
09	La Litera / La Llitera	Equinos (caballos, mulas y asnos)	Equinos	41	4	39
09	La Litera / La Llitera	Gallinas ponedoras	Aves	61	6	15155
09	La Litera / La Llitera	Lechones de menos de 20 kg	Porcinos	52	5	77664
09	La Litera / La Llitera	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	510822
09	La Litera / La Llitera	Otros bovinos de dos años o más	Bovinos	12	1	1385
09	La Litera / La Llitera	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	52
09	La Litera / La Llitera	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3979
09	La Litera / La Llitera	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	315588
09	La Litera / La Llitera	Ovejas madres y corderas para reposición	Ovinos	21	2	18306
09	La Litera / La Llitera	Pollos de carne	Aves	62	6	827279
09	La Litera / La Llitera	Vacas	Bovinos	11	1	3060
10	Los Monegros	Bovinos de entre uno y dos años	Bovinos	13	1	4514
10	Los Monegros	Bovinos de menos de un año	Bovinos	14	1	10185
10	Los Monegros	Cabras madres y chivas de reposición	Caprinos	31	3	2192
10	Los Monegros	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	46153
10	Los Monegros	Colmenas	Colmenas	81	8	1387
10	Los Monegros	Conejas madres	Conejas madres	71	7	5838
10	Los Monegros	Equinos (caballos, mulas y asnos)	Equinos	41	4	31
10	Los Monegros	Gallinas ponedoras	Aves	61	6	443559
10	Los Monegros	Lechones de menos de 20 kg	Porcinos	52	5	145179
10	Los Monegros	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	171547
10	Los Monegros	Otros bovinos de dos años o más	Bovinos	12	1	861
10	Los Monegros	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	515
10	Los Monegros	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	16234
10	Los Monegros	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	594981
10	Los Monegros	Ovejas madres y corderas para reposición	Ovinos	21	2	122081
10	Los Monegros	Pollos de carne	Aves	62	6	724942
10	Los Monegros	Vacas	Bovinos	11	1	2733
11	Bajo Cinca / Baix Cinca	Bovinos de entre uno y dos años	Bovinos	13	1	2153
11	Bajo Cinca / Baix Cinca	Bovinos de menos de un año	Bovinos	14	1	13702
11	Bajo Cinca / Baix Cinca	Cabras madres y chivas de reposición	Caprinos	31	3	1690
11	Bajo Cinca / Baix Cinca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	40384
11	Bajo Cinca / Baix Cinca	Colmenas	Colmenas	81	8	1875
11	Bajo Cinca / Baix Cinca	Conejas madres	Conejas madres	71	7	6339
11	Bajo Cinca / Baix Cinca	Equinos (caballos, mulas y asnos)	Equinos	41	4	189
11	Bajo Cinca / Baix Cinca	Gallinas ponedoras	Aves	61	6	137977
11	Bajo Cinca / Baix Cinca	Lechones de menos de 20 kg	Porcinos	52	5	102646
11	Bajo Cinca / Baix Cinca	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	495369
11	Bajo Cinca / Baix Cinca	Otros bovinos de dos años o más	Bovinos	12	1	1375
11	Bajo Cinca / Baix Cinca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	288
11	Bajo Cinca / Baix Cinca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	4250
11	Bajo Cinca / Baix Cinca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	286310
11	Bajo Cinca / Baix Cinca	Ovejas madres y corderas para reposición	Ovinos	21	2	36843
11	Bajo Cinca / Baix Cinca	Pollos de carne	Aves	62	6	1683692
11	Bajo Cinca / Baix Cinca	Vacas	Bovinos	11	1	1286
12	Tarazona y el Moncayo	Bovinos de entre uno y dos años	Bovinos	13	1	20
12	Tarazona y el Moncayo	Bovinos de menos de un año	Bovinos	14	1	400
12	Tarazona y el Moncayo	Cabras madres y chivas de reposición	Caprinos	31	3	2339
12	Tarazona y el Moncayo	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	4550
12	Tarazona y el Moncayo	Colmenas	Colmenas	81	8	184
12	Tarazona y el Moncayo	Conejas madres	Conejas madres	71	7	978
