Municipio código	Municipio nombre	Núcleos en el hogar	Número hogares
44137	Linares de Mora	2	2
44138	Loscos	0	29
44138	Loscos	1	56
44141	Lledó	0	19
44141	Lledó	1	37
44141	Lledó	2	12
44142	Maicas	0	25
44142	Maicas	1	6
44143	Manzanera	0	85
44143	Manzanera	1	114
44143	Manzanera	2	4
44144	Martín del Río	0	59
44144	Martín del Río	1	124
44144	Martín del Río	2	2
44145	Mas de las Matas	0	138
44145	Mas de las Matas	1	368
44145	Mas de las Matas	2	9
44146	Mata de los Olmos (La)	0	26
44146	Mata de los Olmos (La)	1	70
44147	Mazaleón	0	70
44147	Mazaleón	1	145
44147	Mazaleón	2	9
44148	Mezquita de Jarque	0	18
44148	Mezquita de Jarque	1	32
44148	Mezquita de Jarque	2	2
44149	Mirambel	0	16
44149	Mirambel	1	35
44149	Mirambel	2	2
44150	Miravete de la Sierra	0	12
44150	Miravete de la Sierra	1	10
44151	Molinos	0	44
44151	Molinos	1	80
44151	Molinos	2	2
44152	Monforte de Moyuela	0	15
44152	Monforte de Moyuela	1	19
44152	Monforte de Moyuela	2	1
44153	Monreal del Campo	0	243
44153	Monreal del Campo	1	614
44153	Monreal del Campo	2	13
44154	Monroyo	0	40
44154	Monroyo	1	94
44154	Monroyo	2	6
44155	Montalbán	0	142
44155	Montalbán	1	404
44155	Montalbán	2	6
44156	Monteagudo del Castillo	0	10
44156	Monteagudo del Castillo	1	14
44156	Monteagudo del Castillo	2	2
44157	Monterde de Albarracín	0	20
44157	Monterde de Albarracín	1	18
44157	Monterde de Albarracín	2	1
44158	Mora de Rubielos	0	182
44158	Mora de Rubielos	1	349
44158	Mora de Rubielos	2	5
44159	Moscardón	0	16
44159	Moscardón	1	9
44159	Moscardón	2	2
44160	Mosqueruela	0	95
44160	Mosqueruela	1	166
44160	Mosqueruela	2	4
44161	Muniesa	0	107
44161	Muniesa	1	191
44161	Muniesa	2	1
44163	Noguera de Albarracín	0	33
44163	Noguera de Albarracín	1	42
44163	Noguera de Albarracín	2	2
44164	Nogueras	0	4
44164	Nogueras	1	4
44165	Nogueruelas	0	39
44165	Nogueruelas	1	46
44165	Nogueruelas	2	4
44167	Obón	0	18
44167	Obón	1	21
44168	Odón	0	22
44168	Odón	1	72
44168	Odón	2	3
44169	Ojos Negros	0	74
44169	Ojos Negros	1	154
44169	Ojos Negros	2	3
44171	Olba	0	51
44171	Olba	1	43
44171	Olba	2	2
44172	Oliete	0	82
44172	Oliete	1	134
44172	Oliete	2	2
44173	Olmos (Los)	0	16
44173	Olmos (Los)	1	38
44173	Olmos (Los)	2	1
44174	Orihuela del Tremedal	0	106
44174	Orihuela del Tremedal	1	146
44174	Orihuela del Tremedal	2	4
44175	Orrios	0	11
44175	Orrios	1	49
44175	Orrios	2	2
44176	Palomar de Arroyos	0	15
44176	Palomar de Arroyos	1	62
44176	Palomar de Arroyos	2	1
44177	Pancrudo	0	19
44177	Pancrudo	1	43
44177	Pancrudo	2	2
44178	Parras de Castellote (Las)	0	12
44178	Parras de Castellote (Las)	1	24
44179	Peñarroya de Tastavins	0	56
44179	Peñarroya de Tastavins	1	134
44179	Peñarroya de Tastavins	2	8
44180	Peracense	0	23
44180	Peracense	1	30
44181	Peralejos	0	12
44181	Peralejos	1	24
44182	Perales del Alfambra	0	28
44182	Perales del Alfambra	1	73
44182	Perales del Alfambra	2	6
44183	Pitarque	0	21
44183	Pitarque	1	23
44183	Pitarque	2	2
44184	Plou	0	14
44184	Plou	1	11
44184	Plou	2	1
44185	Pobo (El)	0	27
44185	Pobo (El)	1	33
44187	Portellada (La)	0	34
44187	Portellada (La)	1	75
44187	Portellada (La)	2	5
44189	Pozondón	0	18
44189	Pozondón	1	23
44190	Pozuel del Campo	0	28
44190	Pozuel del Campo	1	27
44191	Puebla de Híjar (La)	0	113
44191	Puebla de Híjar (La)	1	290
44191	Puebla de Híjar (La)	2	8
44192	Puebla de Valverde (La)	0	95
44192	Puebla de Valverde (La)	1	117
44192	Puebla de Valverde (La)	2	3
44193	Puertomingalvo	0	29
44193	Puertomingalvo	1	37
44193	Puertomingalvo	2	1
44194	Ráfales	0	34
44194	Ráfales	1	49
44194	Ráfales	2	3
44195	Rillo	0	19
44195	Rillo	1	35
44196	Riodeva	0	31
44196	Riodeva	1	58
44196	Riodeva	2	1
44197	Ródenas	0	14
44197	Ródenas	1	22
44197	Ródenas	2	1
44198	Royuela	0	33
44198	Royuela	1	55
44198	Royuela	2	2
44199	Rubiales	0	8
44199	Rubiales	1	14
44199	Rubiales	2	1
44200	Rubielos de la Cérida	0	14
44200	Rubielos de la Cérida	1	11
44201	Rubielos de Mora	0	100
44201	Rubielos de Mora	1	165
44201	Rubielos de Mora	2	1
44203	Salcedillo	0	5
44203	Salcedillo	1	1
44204	Saldón	0	12
44204	Saldón	1	9
44205	Samper de Calanda	0	141
44205	Samper de Calanda	1	261
44205	Samper de Calanda	2	6
44206	San Agustín	0	33
44206	San Agustín	1	30
44206	San Agustín	2	1
44207	San Martín del Río	0	42
44207	San Martín del Río	1	82
44207	San Martín del Río	2	3
44208	Santa Cruz de Nogueras	0	12
44208	Santa Cruz de Nogueras	1	5
44209	Santa Eulalia	0	171
44209	Santa Eulalia	1	316
44209	Santa Eulalia	2	4
44210	Sarrión	0	140
44210	Sarrión	1	262
44210	Sarrión	2	5
44211	Segura de los Baños	0	6
44211	Segura de los Baños	1	14
44212	Seno	0	11
44212	Seno	1	12
44213	Singra	0	17
44213	Singra	1	23
44213	Singra	2	1
44215	Terriente	0	28
44215	Terriente	1	41
44215	Terriente	2	2
44216	Teruel	0	2621
44216	Teruel	1	7919
44216	Teruel	2	175
44216	Teruel	3	6
44217	Toril y Masegoso	0	10
44217	Toril y Masegoso	1	4
44218	Tormón	0	11
44218	Tormón	1	9
44219	Tornos	0	52
44219	Tornos	1	56
44219	Tornos	2	4
44220	Torralba de los Sisones	0	23
44220	Torralba de los Sisones	1	60
44220	Torralba de los Sisones	2	4
44221	Torrecilla de Alcañiz	0	28
44221	Torrecilla de Alcañiz	1	130
44221	Torrecilla de Alcañiz	2	3
44222	Torrecilla del Rebollar	0	32
44222	Torrecilla del Rebollar	1	40
44222	Torrecilla del Rebollar	2	3
44223	Torre de Arcas	0	12
44223	Torre de Arcas	1	25
44223	Torre de Arcas	2	2
44224	Torre de las Arcas	0	10
44224	Torre de las Arcas	1	9
44225	Torre del Compte	0	33
44225	Torre del Compte	1	45
44226	Torrelacárcel	0	43
44226	Torrelacárcel	1	80
44227	Torre los Negros	0	9
44227	Torre los Negros	1	20
44227	Torre los Negros	2	5
44228	Torremocha de Jiloca	0	28
44228	Torremocha de Jiloca	1	40
44228	Torremocha de Jiloca	2	2
44229	Torres de Albarracín	0	28
44229	Torres de Albarracín	1	34
44229	Torres de Albarracín	2	4
44230	Torrevelilla	0	34
44230	Torrevelilla	1	53
44230	Torrevelilla	2	3
44231	Torrijas	0	19
44231	Torrijas	1	17
44232	Torrijo del Campo	0	76
44232	Torrijo del Campo	1	154
44232	Torrijo del Campo	2	1
44232	Torrijo del Campo	3	1
44234	Tramacastiel	0	19
44234	Tramacastiel	1	30
44235	Tramacastilla	0	25
44235	Tramacastilla	1	32
44235	Tramacastilla	2	1
44236	Tronchón	0	19
44236	Tronchón	1	25
44236	Tronchón	2	2
44237	Urrea de Gaén	0	74
44237	Urrea de Gaén	1	148
44237	Urrea de Gaén	2	6
44238	Utrillas	0	230
44238	Utrillas	1	858
44238	Utrillas	2	10
44239	Valacloche	0	9
44239	Valacloche	1	3
44240	Valbona	0	41
44240	Valbona	1	43
44240	Valbona	2	3
44241	Valdealgorfa	0	75
44241	Valdealgorfa	1	208
44241	Valdealgorfa	2	4
44243	Valdecuenca	0	10
44243	Valdecuenca	1	7
44244	Valdelinares	0	26
44244	Valdelinares	1	27
44244	Valdelinares	2	2
44245	Valdeltormo	0	43
44245	Valdeltormo	1	95
44245	Valdeltormo	2	4
44246	Valderrobres	0	238
44246	Valderrobres	1	479
44246	Valderrobres	2	20
44247	Valjunquera	0	49
44247	Valjunquera	1	115
44247	Valjunquera	2	5
44249	Vallecillo (El)	0	15
44249	Vallecillo (El)	1	11
44249	Vallecillo (El)	2	1
44250	Veguillas de la Sierra	0	7
44250	Veguillas de la Sierra	1	7
44251	Villafranca del Campo	0	51
44251	Villafranca del Campo	1	100
44251	Villafranca del Campo	2	3
44251	Villafranca del Campo	3	1
44252	Villahermosa del Campo	0	12
44252	Villahermosa del Campo	1	18
44252	Villahermosa del Campo	2	1
44256	Villanueva del Rebollar de la Sierra	0	8
44256	Villanueva del Rebollar de la Sierra	1	9
44256	Villanueva del Rebollar de la Sierra	2	2
44257	Villar del Cobo	0	36
44257	Villar del Cobo	1	52
44257	Villar del Cobo	2	1
44258	Villar del Salz	0	12
44258	Villar del Salz	1	27
44258	Villar del Salz	2	2
44260	Villarluengo	0	41
44260	Villarluengo	1	49
44261	Villarquemado	0	105
44261	Villarquemado	1	248
44261	Villarquemado	2	8
44262	Villarroya de los Pinares	0	34
44262	Villarroya de los Pinares	1	47
44263	Villastar	0	45
44263	Villastar	1	92
44263	Villastar	2	4
44264	Villel	0	73
44264	Villel	1	73
44264	Villel	2	5
44265	Vinaceite	0	50
44265	Vinaceite	1	68
44265	Vinaceite	2	2
44266	Visiedo	0	32
44266	Visiedo	1	50
44266	Visiedo	2	1
44267	Vivel del Río Martín	0	21
44267	Vivel del Río Martín	1	18
44267	Vivel del Río Martín	2	1
44268	Zoma (La)	1	6
44268	Zoma (La)	2	2
50001	Abanto	0	37
50001	Abanto	1	39
50001	Abanto	2	4
50002	Acered	0	37
50002	Acered	1	64
50002	Acered	2	8
50003	Agón	0	12
50003	Agón	1	43
50003	Agón	2	4
50003	Agón	3	1
50004	Aguarón	0	97
50004	Aguarón	1	193
50004	Aguarón	2	5
50005	Aguilón	0	60
50005	Aguilón	1	67
50005	Aguilón	2	7
50006	Ainzón	0	201
50006	Ainzón	1	302
50006	Ainzón	2	7
50007	Aladrén	0	23
50007	Aladrén	1	13
50007	Aladrén	2	1
50007	Aladrén	4 o más	1
50008	Alagón	0	425
50008	Alagón	1	1506
50008	Alagón	2	33
50008	Alagón	3	1
50009	Alarba	0	17
50009	Alarba	1	41
50009	Alarba	2	1
50010	Alberite de San Juan	0	15
50010	Alberite de San Juan	1	21
50010	Alberite de San Juan	2	1
50011	Albeta	0	16
50011	Albeta	1	35
50011	Albeta	2	1
50012	Alborge	0	7
50012	Alborge	1	42
50013	Alcalá de Ebro	0	26
50013	Alcalá de Ebro	1	79
50013	Alcalá de Ebro	2	4
50014	Alcalá de Moncayo	0	17
50014	Alcalá de Moncayo	1	33
50015	Alconchel de Ariza	0	21
50015	Alconchel de Ariza	1	32
50016	Aldehuela de Liestos	0	6
50016	Aldehuela de Liestos	1	12
50017	Alfajarín	0	120
50017	Alfajarín	1	433
50017	Alfajarín	2	6
50018	Alfamén	0	94
50018	Alfamén	1	336
50018	Alfamén	2	7
50019	Alforque	0	14
50019	Alforque	1	19
50019	Alforque	2	2
50020	Alhama de Aragón	0	153
50020	Alhama de Aragón	1	294
50020	Alhama de Aragón	2	12
50021	Almochuel	0	11
50021	Almochuel	1	14
50022	Almolda (La)	0	66
50022	Almolda (La)	1	149
50022	Almolda (La)	2	16
50023	Almonacid de la Cuba	0	29
50023	Almonacid de la Cuba	1	93
50023	Almonacid de la Cuba	2	2
50024	Almonacid de la Sierra	0	103
50024	Almonacid de la Sierra	1	201
50024	Almonacid de la Sierra	2	13
50025	Almunia de Doña Godina (La)	0	468
50025	Almunia de Doña Godina (La)	1	1512
50025	Almunia de Doña Godina (La)	2	16
50025	Almunia de Doña Godina (La)	3	1
50026	Alpartir	0	65
50026	Alpartir	1	154
50026	Alpartir	2	6
50027	Ambel	0	61
50027	Ambel	1	83
50027	Ambel	2	3
50028	Anento	0	19
50028	Anento	1	21
50028	Anento	2	1
50029	Aniñón	0	81
50029	Aniñón	1	236
50029	Aniñón	2	4
50030	Añón de Moncayo	0	51
50030	Añón de Moncayo	1	62
50030	Añón de Moncayo	2	2
50031	Aranda de Moncayo	0	44
50031	Aranda de Moncayo	1	52
50031	Aranda de Moncayo	2	3
50032	Arándiga	0	72
50032	Arándiga	1	127
50032	Arándiga	2	3
50033	Ardisa	0	15
50033	Ardisa	1	17
50033	Ardisa	2	1
50034	Ariza	0	184
50034	Ariza	1	294
50034	Ariza	2	13
50035	Artieda	0	15
50035	Artieda	1	22
50035	Artieda	2	2
50036	Asín	0	22
50036	Asín	1	14
50036	Asín	2	4
50037	Atea	0	57
50037	Atea	1	49
50037	Atea	2	1
50038	Ateca	0	197
50038	Ateca	1	543
50038	Ateca	2	13
50039	Azuara	0	97
50039	Azuara	1	181
50039	Azuara	2	5
50040	Badules	0	22
50040	Badules	1	26
50041	Bagüés	0	11
50041	Bagüés	1	6
50042	Balconchán	0	7
50042	Balconchán	1	4
50042	Balconchán	2	1
50043	Bárboles	0	47
50043	Bárboles	1	85
50044	Bardallur	0	42
50044	Bardallur	1	72
50044	Bardallur	2	3
50045	Belchite	0	181
50045	Belchite	1	461
50045	Belchite	2	10
50046	Belmonte de Gracián	0	46
50046	Belmonte de Gracián	1	63
50046	Belmonte de Gracián	2	2
50047	Berdejo	0	15
50047	Berdejo	1	10
50047	Berdejo	2	1
50048	Berrueco	0	5
50048	Berrueco	1	10
50048	Berrueco	2	1
50050	Bijuesca	0	23
50050	Bijuesca	1	28
50050	Bijuesca	2	3
50051	Biota	0	138
50051	Biota	1	304
50051	Biota	2	13
50051	Biota	3	1
50052	Bisimbre	0	20
50052	Bisimbre	1	30
50052	Bisimbre	2	1
50053	Boquiñeni	0	91
50053	Boquiñeni	1	262
50053	Boquiñeni	2	11
50054	Bordalba	0	9
50054	Bordalba	1	23
50055	Borja	0	433
50055	Borja	1	1100
50055	Borja	2	23
50055	Borja	3	1
50056	Botorrita	0	61
50056	Botorrita	1	127
50056	Botorrita	2	3
50057	Brea de Aragón	0	138
50057	Brea de Aragón	1	537
50057	Brea de Aragón	2	12
50058	Bubierca	0	22
50058	Bubierca	1	22
50059	Bujaraloz	0	82
50059	Bujaraloz	1	253
50059	Bujaraloz	2	15
50060	Bulbuente	0	56
50060	Bulbuente	1	63
50061	Bureta	0	49
50061	Bureta	1	62
50061	Bureta	2	8
50061	Bureta	3	1
50062	Burgo de Ebro (El)	0	161
50062	Burgo de Ebro (El)	1	436
50062	Burgo de Ebro (El)	2	9
50062	Burgo de Ebro (El)	3	1
50063	Buste (El)	0	12
50063	Buste (El)	1	26
50063	Buste (El)	2	1
50064	Cabañas de Ebro	0	54
50064	Cabañas de Ebro	1	136
50064	Cabañas de Ebro	2	6
50065	Cabolafuente	0	5
50065	Cabolafuente	1	14
50066	Cadrete	0	182
50066	Cadrete	1	488
50066	Cadrete	2	14
50067	Calatayud	0	1730
50067	Calatayud	1	4609
50067	Calatayud	2	129
50067	Calatayud	3	2
50067	Calatayud	4 o más	1
50068	Calatorao	0	241
50068	Calatorao	1	778
50068	Calatorao	2	19
50069	Calcena	0	33
50069	Calcena	1	21
50070	Calmarza	0	16
50070	Calmarza	1	23
50070	Calmarza	2	1
50071	Campillo de Aragón	0	32
50071	Campillo de Aragón	1	43
50071	Campillo de Aragón	2	1
50072	Carenas	0	44
50072	Carenas	1	52
50072	Carenas	2	1
50073	Cariñena	0	283
50073	Cariñena	1	774
50073	Cariñena	2	34
50073	Cariñena	3	4
50074	Caspe	0	735
50074	Caspe	1	2042
50074	Caspe	2	100
50074	Caspe	3	1
50075	Castejón de Alarba	0	14
50075	Castejón de Alarba	1	30
50076	Castejón de las Armas	0	23
50076	Castejón de las Armas	1	34
50077	Castejón de Valdejasa	0	47
50077	Castejón de Valdejasa	1	83
50077	Castejón de Valdejasa	2	2
50078	Castiliscar	0	56
50078	Castiliscar	1	88
50078	Castiliscar	2	3
50078	Castiliscar	3	1
50078	Castiliscar	4 o más	1
50079	Cervera de la Cañada	0	45
50079	Cervera de la Cañada	1	87
50079	Cervera de la Cañada	2	2
50080	Cerveruela	0	20
50080	Cerveruela	1	1
50081	Cetina	0	108
50081	Cetina	1	196
50081	Cetina	2	8
50082	Cimballa	0	21
50082	Cimballa	1	41
50083	Cinco Olivas	0	20
50083	Cinco Olivas	1	35
50084	Clarés de Ribota	0	23
50084	Clarés de Ribota	1	29
50084	Clarés de Ribota	2	1
50085	Codo	0	40
50085	Codo	1	73
50085	Codo	2	1
50086	Codos	0	68
50086	Codos	1	64
50086	Codos	2	1
50087	Contamina	0	14
50087	Contamina	1	12
50088	Cosuenda	0	59
50088	Cosuenda	1	103
50088	Cosuenda	2	6
50089	Cuarte de Huerva	0	105
50089	Cuarte de Huerva	1	500
50089	Cuarte de Huerva	2	15
50090	Cubel	0	20
50090	Cubel	1	59
50091	Cuerlas (Las)	0	15
50091	Cuerlas (Las)	1	24
50091	Cuerlas (Las)	2	2
50092	Chiprana	0	53
50092	Chiprana	1	101
50092	Chiprana	2	5
50093	Chodes	0	23
50093	Chodes	1	27
50093	Chodes	2	1
50094	Daroca	0	255
50094	Daroca	1	582
50094	Daroca	2	13
50095	Ejea de los Caballeros	0	1265
50095	Ejea de los Caballeros	1	4125
50095	Ejea de los Caballeros	2	85
50095	Ejea de los Caballeros	3	4
50096	Embid de Ariza	0	9
50096	Embid de Ariza	1	20
50096	Embid de Ariza	2	1
50098	Encinacorba	0	61
50098	Encinacorba	1	72
50098	Encinacorba	2	3
50099	Épila	0	360
50099	Épila	1	1039
50099	Épila	2	24
50099	Épila	3	2
50100	Erla	0	66
50100	Erla	1	94
50100	Erla	2	5
50101	Escatrón	0	306
50101	Escatrón	1	309
50102	Fabara	0	115
50102	Fabara	1	300
50102	Fabara	2	22
50104	Farlete	0	38
50104	Farlete	1	97
50104	Farlete	2	9
50104	Farlete	3	1
50105	Fayón	0	65
50105	Fayón	1	105
50105	Fayón	2	5
50106	Fayos (Los)	0	28
50106	Fayos (Los)	1	49
50106	Fayos (Los)	2	1
50107	Figueruelas	0	75
50107	Figueruelas	1	293
50107	Figueruelas	2	3
50108	Fombuena	0	5
50108	Fombuena	1	4
50109	Frago (El)	0	33
50109	Frago (El)	1	21
50109	Frago (El)	2	5
50110	Frasno (El)	0	99
50110	Frasno (El)	1	138
50110	Frasno (El)	2	5
50111	Fréscano	0	26
50111	Fréscano	1	71
50113	Fuendejalón	0	83
50113	Fuendejalón	1	227
50113	Fuendejalón	2	8
50114	Fuendetodos	0	15
50114	Fuendetodos	1	46
50114	Fuendetodos	2	3
50115	Fuentes de Ebro	0	340
50115	Fuentes de Ebro	1	1041
50115	Fuentes de Ebro	2	23
50115	Fuentes de Ebro	3	1
50116	Fuentes de Jiloca	0	54
50116	Fuentes de Jiloca	1	85
50116	Fuentes de Jiloca	2	5
50117	Gallocanta	0	22
50117	Gallocanta	1	42
50118	Gallur	0	267
50118	Gallur	1	761
50118	Gallur	2	23
50118	Gallur	3	1
50119	Gelsa	0	105
50119	Gelsa	1	350
50119	Gelsa	2	10
50120	Godojos	0	14
50120	Godojos	1	20
50120	Godojos	2	1
50121	Gotor	0	31
50121	Gotor	1	115
50121	Gotor	2	3
50122	Grisel	0	27
50122	Grisel	1	10
50123	Grisén	0	49
50123	Grisén	1	136
50123	Grisén	2	2
50124	Herrera de los Navarros	0	88
50124	Herrera de los Navarros	1	162
50124	Herrera de los Navarros	2	3
50125	Ibdes	0	66
50125	Ibdes	1	143
50125	Ibdes	2	4
50126	Illueca	0	191
50126	Illueca	1	889
50126	Illueca	2	7
50126	Illueca	3	1
50128	Isuerre	0	11
50128	Isuerre	1	13
50129	Jaraba	0	40
50129	Jaraba	1	87
50130	Jarque	0	66
50130	Jarque	1	142
50130	Jarque	2	4
50131	Jaulín	0	43
50131	Jaulín	1	67
50131	Jaulín	2	2
50132	Joyosa (La)	0	25
50132	Joyosa (La)	1	106
50132	Joyosa (La)	2	7
50132	Joyosa (La)	4 o más	1
50133	Lagata	0	36
50133	Lagata	1	43
50133	Lagata	2	1
50134	Langa del Castillo	0	31
50134	Langa del Castillo	1	49
50135	Layana	0	20
50135	Layana	1	28
50135	Layana	2	3
50136	Lécera	0	118
50136	Lécera	1	230
50136	Lécera	2	5
50137	Leciñena	0	150
50137	Leciñena	1	326
50137	Leciñena	2	13
50138	Lechón	0	8
50138	Lechón	1	13
50138	Lechón	2	1
50139	Letux	0	71
50139	Letux	1	114
50139	Letux	2	5
50140	Litago	0	44
50140	Litago	1	37
50140	Litago	2	2
50141	Lituénigo	0	20
50141	Lituénigo	1	28
50141	Lituénigo	2	1
50142	Lobera de Onsella	0	21
50142	Lobera de Onsella	1	9
50142	Lobera de Onsella	2	1
50143	Longares	0	97
50143	Longares	1	224
50143	Longares	2	4
50144	Longás	0	12
50144	Longás	1	8
50146	Lucena de Jalón	0	34
50146	Lucena de Jalón	1	64
50146	Lucena de Jalón	2	1
50147	Luceni	0	127
50147	Luceni	1	283
50147	Luceni	2	5
50148	Luesia	0	62
50148	Luesia	1	89
50148	Luesia	2	3
50149	Luesma	0	9
50149	Luesma	1	2
50149	Luesma	2	1
50149	Luesma	3	1
50150	Lumpiaque	0	117
50150	Lumpiaque	1	229
50150	Lumpiaque	2	12
50151	Luna	0	167
50151	Luna	1	211
50151	Luna	2	11
50152	Maella	0	229
50152	Maella	1	497
50152	Maella	2	33
50153	Magallón	0	134
50153	Magallón	1	325
50153	Magallón	2	4
50154	Mainar	0	19
50154	Mainar	1	49
50154	Mainar	2	1
50155	Malanquilla	0	37
50155	Malanquilla	1	28
50155	Malanquilla	2	1
50156	Maleján	0	43
50156	Maleján	1	74
50156	Maleján	2	3
50157	Malón	0	55
50157	Malón	1	112
50157	Malón	2	1
50159	Maluenda	0	115
50159	Maluenda	1	227
50159	Maluenda	2	21
50159	Maluenda	3	1
50160	Mallén	0	331
50160	Mallén	1	767
50160	Mallén	2	22
50160	Mallén	3	1
50160	Mallén	4 o más	1
50161	Manchones	0	27
50161	Manchones	1	29
50161	Manchones	2	3
50162	Mara	0	32
50162	Mara	1	53
50162	Mara	2	2
50163	María de Huerva	0	91
50163	María de Huerva	1	412
50163	María de Huerva	2	13
50164	Mediana de Aragón	0	61
50164	Mediana de Aragón	1	113
50164	Mediana de Aragón	2	11
50165	Mequinenza	0	195
50165	Mequinenza	1	668
50165	Mequinenza	2	41
50166	Mesones de Isuela	0	41
50166	Mesones de Isuela	1	89
50166	Mesones de Isuela	2	3
50167	Mezalocha	0	30
50167	Mezalocha	1	75
50167	Mezalocha	2	2
50168	Mianos	0	10
50168	Mianos	1	6
50168	Mianos	2	3
50169	Miedes de Aragón	0	47
50169	Miedes de Aragón	1	121
50169	Miedes de Aragón	2	14
50170	Monegrillo	0	53
50170	Monegrillo	1	101
50170	Monegrillo	2	10
50171	Moneva	0	47
50171	Moneva	1	31
50171	Moneva	2	1
50171	Moneva	3	1
50172	Monreal de Ariza	0	39
50172	Monreal de Ariza	1	83
50173	Monterde	0	62
50173	Monterde	1	53
50173	Monterde	2	1
50174	Montón	0	28
50174	Montón	1	32
50174	Montón	2	1
50175	Morata de Jalón	0	168
50175	Morata de Jalón	1	417
50175	Morata de Jalón	2	6
50176	Morata de Jiloca	0	54
50176	Morata de Jiloca	1	77
50176	Morata de Jiloca	2	1
50177	Morés	0	67
50177	Morés	1	121
50177	Morés	2	3
50178	Moros	0	76
50178	Moros	1	144
50178	Moros	2	2
50179	Moyuela	0	56
50179	Moyuela	1	88
50179	Moyuela	2	3
50180	Mozota	0	20
50180	Mozota	1	28
50181	Muel	0	110
50181	Muel	1	307
50181	Muel	2	3
50182	Muela (La)	0	192
50182	Muela (La)	1	462
50182	Muela (La)	2	12
50182	Muela (La)	3	1
50183	Munébrega	0	64
50183	Munébrega	1	111
50183	Munébrega	2	7
50184	Murero	0	25
50184	Murero	1	37
50184	Murero	2	1
50185	Murillo de Gállego	0	44
50185	Murillo de Gállego	1	32
50185	Murillo de Gállego	2	1
50186	Navardún	0	13
50186	Navardún	1	12
50187	Nigüella	0	21
50187	Nigüella	1	22
50187	Nigüella	2	1
50188	Nombrevilla	0	16
50188	Nombrevilla	1	10
50188	Nombrevilla	2	1
50189	Nonaspe	0	148
50189	Nonaspe	1	256
50189	Nonaspe	2	21
50190	Novallas	0	101
50190	Novallas	1	194
50190	Novallas	2	10
50191	Novillas	0	59
50191	Novillas	1	189
50191	Novillas	2	2
50192	Nuévalos	0	48
50192	Nuévalos	1	83
50192	Nuévalos	2	4
50193	Nuez de Ebro	0	40
50193	Nuez de Ebro	1	162
50193	Nuez de Ebro	2	3
50194	Olvés	0	19
50194	Olvés	1	35
50194	Olvés	2	4
50195	Orcajo	0	3
50195	Orcajo	1	18
50196	Orera	0	18
50196	Orera	1	31
50196	Orera	2	2
50197	Orés	0	29
50197	Orés	1	18
50197	Orés	2	4
50198	Oseja	0	15
50198	Oseja	1	9
50199	Osera de Ebro	0	34
50199	Osera de Ebro	1	90
50199	Osera de Ebro	2	3
50200	Paniza	0	80
50200	Paniza	1	176
50200	Paniza	2	6
50201	Paracuellos de Jiloca	0	67
50201	Paracuellos de Jiloca	1	114
50201	Paracuellos de Jiloca	2	6
50202	Paracuellos de la Ribera	0	43
50202	Paracuellos de la Ribera	1	76
50202	Paracuellos de la Ribera	2	1
50203	Pastriz	0	85
50203	Pastriz	1	283
50203	Pastriz	2	13
50204	Pedrola	0	228
50204	Pedrola	1	735
50204	Pedrola	2	30
50205	Pedrosas (Las)	0	20
50205	Pedrosas (Las)	1	22
50205	Pedrosas (Las)	2	2
50206	Perdiguera	0	84
50206	Perdiguera	1	128
50206	Perdiguera	2	5
50207	Piedratajada	0	20
50207	Piedratajada	1	33
50207	Piedratajada	2	3
50208	Pina de Ebro	0	254
50208	Pina de Ebro	1	625
50208	Pina de Ebro	2	3
50208	Pina de Ebro	3	2
50209	Pinseque	0	201
50209	Pinseque	1	479
50209	Pinseque	2	11
50210	Pintanos (Los)	0	16
50210	Pintanos (Los)	1	20
50211	Plasencia de Jalón	0	48
50211	Plasencia de Jalón	1	96
50211	Plasencia de Jalón	2	2
50212	Pleitas	0	8
50212	Pleitas	1	15
50213	Plenas	0	29
50213	Plenas	1	45
50213	Plenas	2	1
50214	Pomer	0	19
50214	Pomer	1	4
50215	Pozuel de Ariza	0	2
50215	Pozuel de Ariza	1	5
50216	Pozuelo de Aragón	0	31
50216	Pozuelo de Aragón	1	88
50217	Pradilla de Ebro	0	79
50217	Pradilla de Ebro	1	151
50217	Pradilla de Ebro	2	13
50218	Puebla de Albortón	0	26
50218	Puebla de Albortón	1	35
50218	Puebla de Albortón	2	1
50219	Puebla de Alfindén (La)	0	157
50219	Puebla de Alfindén (La)	1	671
50219	Puebla de Alfindén (La)	2	12
50220	Puendeluna	0	15
50220	Puendeluna	1	13
50221	Purujosa	0	20
50221	Purujosa	1	6
50221	Purujosa	2	1
50222	Quinto	0	209
50222	Quinto	1	540
50222	Quinto	2	22
50222	Quinto	3	1
50223	Remolinos	0	115
50223	Remolinos	1	346
50223	Remolinos	2	7
50224	Retascón	0	15
50224	Retascón	1	16
50224	Retascón	2	3
50225	Ricla	0	251
50225	Ricla	1	560
50225	Ricla	2	15
50227	Romanos	0	12
50227	Romanos	1	37
50228	Rueda de Jalón	0	57
50228	Rueda de Jalón	1	81
50228	Rueda de Jalón	2	5
50229	Ruesca	0	8
50229	Ruesca	1	23
50230	Sádaba	0	240
50230	Sádaba	1	388
50230	Sádaba	2	20
50230	Sádaba	3	1
50231	Salillas de Jalón	0	56
50231	Salillas de Jalón	1	97
50231	Salillas de Jalón	2	1
50232	Salvatierra de Esca	0	57
50232	Salvatierra de Esca	1	62
50232	Salvatierra de Esca	2	3
50233	Samper del Salz	0	26
