Mes y año	Provincia código	Provincia nombre	Edad (grupos quinquenales)	Sexo	Nº parados
Noviembre 2019	44	Teruel	35-39	Mujeres	378
Noviembre 2019	44	Teruel	40-44	Hombres	214
Noviembre 2019	44	Teruel	40-44	Mujeres	358
Noviembre 2019	44	Teruel	45-49	Hombres	265
Noviembre 2019	44	Teruel	45-49	Mujeres	353
Noviembre 2019	44	Teruel	50-54	Hombres	294
Noviembre 2019	44	Teruel	50-54	Mujeres	432
Noviembre 2019	44	Teruel	55-59	Hombres	336
Noviembre 2019	44	Teruel	55-59	Mujeres	410
Noviembre 2019	44	Teruel	60-64	Hombres	294
Noviembre 2019	44	Teruel	60-64	Mujeres	394
Noviembre 2019	50	Zaragoza	16-19	Hombres	742
Noviembre 2019	50	Zaragoza	16-19	Mujeres	585
Noviembre 2019	50	Zaragoza	20-24	Hombres	1675
Noviembre 2019	50	Zaragoza	20-24	Mujeres	1766
Noviembre 2019	50	Zaragoza	25-29	Hombres	1888
Noviembre 2019	50	Zaragoza	25-29	Mujeres	2536
Noviembre 2019	50	Zaragoza	30-34	Hombres	1703
Noviembre 2019	50	Zaragoza	30-34	Mujeres	2956
Noviembre 2019	50	Zaragoza	35-39	Hombres	1816
Noviembre 2019	50	Zaragoza	35-39	Mujeres	3337
Noviembre 2019	50	Zaragoza	40-44	Hombres	2116
Noviembre 2019	50	Zaragoza	40-44	Mujeres	3663
Noviembre 2019	50	Zaragoza	45-49	Hombres	2351
Noviembre 2019	50	Zaragoza	45-49	Mujeres	3651
Noviembre 2019	50	Zaragoza	50-54	Hombres	2573
Noviembre 2019	50	Zaragoza	50-54	Mujeres	3604
Noviembre 2019	50	Zaragoza	55-59	Hombres	2846
Noviembre 2019	50	Zaragoza	55-59	Mujeres	4251
Noviembre 2019	50	Zaragoza	60-64	Hombres	2527
Noviembre 2019	50	Zaragoza	60-64	Mujeres	4240
Octubre 2019	22	Huesca	16-19	Hombres	164
Octubre 2019	22	Huesca	16-19	Mujeres	121
Octubre 2019	22	Huesca	20-24	Hombres	390
Octubre 2019	22	Huesca	20-24	Mujeres	378
Octubre 2019	22	Huesca	25-29	Hombres	403
Octubre 2019	22	Huesca	25-29	Mujeres	521
Octubre 2019	22	Huesca	30-34	Hombres	357
Octubre 2019	22	Huesca	30-34	Mujeres	585
Octubre 2019	22	Huesca	35-39	Hombres	339
Octubre 2019	22	Huesca	35-39	Mujeres	635
Octubre 2019	22	Huesca	40-44	Hombres	362
Octubre 2019	22	Huesca	40-44	Mujeres	652
Octubre 2019	22	Huesca	45-49	Hombres	391
Octubre 2019	22	Huesca	45-49	Mujeres	544
Octubre 2019	22	Huesca	50-54	Hombres	367
Octubre 2019	22	Huesca	50-54	Mujeres	535
Octubre 2019	22	Huesca	55-59	Hombres	455
Octubre 2019	22	Huesca	55-59	Mujeres	570
Octubre 2019	22	Huesca	60-64	Hombres	417
Octubre 2019	22	Huesca	60-64	Mujeres	539
Octubre 2019	44	Teruel	16-19	Hombres	111
Octubre 2019	44	Teruel	16-19	Mujeres	69
Octubre 2019	44	Teruel	20-24	Hombres	276
Octubre 2019	44	Teruel	20-24	Mujeres	226
Octubre 2019	44	Teruel	25-29	Hombres	225
Octubre 2019	44	Teruel	25-29	Mujeres	335
Octubre 2019	44	Teruel	30-34	Hombres	183
Octubre 2019	44	Teruel	30-34	Mujeres	378
Octubre 2019	44	Teruel	35-39	Hombres	218
Octubre 2019	44	Teruel	35-39	Mujeres	347
Octubre 2019	44	Teruel	40-44	Hombres	209
Octubre 2019	44	Teruel	40-44	Mujeres	343
Octubre 2019	44	Teruel	45-49	Hombres	257
Octubre 2019	44	Teruel	45-49	Mujeres	343
Octubre 2019	44	Teruel	50-54	Hombres	284
Octubre 2019	44	Teruel	50-54	Mujeres	391
Octubre 2019	44	Teruel	55-59	Hombres	331
Octubre 2019	44	Teruel	55-59	Mujeres	406
Octubre 2019	44	Teruel	60-64	Hombres	286
Octubre 2019	44	Teruel	60-64	Mujeres	386
Octubre 2019	50	Zaragoza	16-19	Hombres	765
Octubre 2019	50	Zaragoza	16-19	Mujeres	630
Octubre 2019	50	Zaragoza	20-24	Hombres	1657
Octubre 2019	50	Zaragoza	20-24	Mujeres	1767
Octubre 2019	50	Zaragoza	25-29	Hombres	1907
Octubre 2019	50	Zaragoza	25-29	Mujeres	2597
Octubre 2019	50	Zaragoza	30-34	Hombres	1718
Octubre 2019	50	Zaragoza	30-34	Mujeres	2957
Octubre 2019	50	Zaragoza	35-39	Hombres	1808
Octubre 2019	50	Zaragoza	35-39	Mujeres	3295
Octubre 2019	50	Zaragoza	40-44	Hombres	2131
Octubre 2019	50	Zaragoza	40-44	Mujeres	3661
Octubre 2019	50	Zaragoza	45-49	Hombres	2367
Octubre 2019	50	Zaragoza	45-49	Mujeres	3729
Octubre 2019	50	Zaragoza	50-54	Hombres	2531
Octubre 2019	50	Zaragoza	50-54	Mujeres	3581
Octubre 2019	50	Zaragoza	55-59	Hombres	2869
Octubre 2019	50	Zaragoza	55-59	Mujeres	4250
Octubre 2019	50	Zaragoza	60-64	Hombres	2496
Octubre 2019	50	Zaragoza	60-64	Mujeres	4190
Septiembre 2019	22	Huesca	16-19	Hombres	167
Septiembre 2019	22	Huesca	16-19	Mujeres	130
Septiembre 2019	22	Huesca	20-24	Hombres	346
Septiembre 2019	22	Huesca	20-24	Mujeres	342
Septiembre 2019	22	Huesca	25-29	Hombres	360
Septiembre 2019	22	Huesca	25-29	Mujeres	469
Septiembre 2019	22	Huesca	30-34	Hombres	336
Septiembre 2019	22	Huesca	30-34	Mujeres	523
Septiembre 2019	22	Huesca	35-39	Hombres	320
Septiembre 2019	22	Huesca	35-39	Mujeres	579
Septiembre 2019	22	Huesca	40-44	Hombres	343
Septiembre 2019	22	Huesca	40-44	Mujeres	597
Septiembre 2019	22	Huesca	45-49	Hombres	369
Septiembre 2019	22	Huesca	45-49	Mujeres	518
Septiembre 2019	22	Huesca	50-54	Hombres	368
Septiembre 2019	22	Huesca	50-54	Mujeres	462
Septiembre 2019	22	Huesca	55-59	Hombres	439
Septiembre 2019	22	Huesca	55-59	Mujeres	557
Septiembre 2019	22	Huesca	60-64	Hombres	413
Septiembre 2019	22	Huesca	60-64	Mujeres	530
Septiembre 2019	44	Teruel	16-19	Hombres	104
Septiembre 2019	44	Teruel	16-19	Mujeres	62
Septiembre 2019	44	Teruel	20-24	Hombres	217
Septiembre 2019	44	Teruel	20-24	Mujeres	212
Septiembre 2019	44	Teruel	25-29	Hombres	224
Septiembre 2019	44	Teruel	25-29	Mujeres	307
Septiembre 2019	44	Teruel	30-34	Hombres	160
Septiembre 2019	44	Teruel	30-34	Mujeres	341
Septiembre 2019	44	Teruel	35-39	Hombres	190
Septiembre 2019	44	Teruel	35-39	Mujeres	317
Septiembre 2019	44	Teruel	40-44	Hombres	200
Septiembre 2019	44	Teruel	40-44	Mujeres	322
Septiembre 2019	44	Teruel	45-49	Hombres	234
Septiembre 2019	44	Teruel	45-49	Mujeres	310
Septiembre 2019	44	Teruel	50-54	Hombres	258
Septiembre 2019	44	Teruel	50-54	Mujeres	368
Septiembre 2019	44	Teruel	55-59	Hombres	297
Septiembre 2019	44	Teruel	55-59	Mujeres	389
Septiembre 2019	44	Teruel	60-64	Hombres	260
Septiembre 2019	44	Teruel	60-64	Mujeres	371
Septiembre 2019	50	Zaragoza	16-19	Hombres	785
Septiembre 2019	50	Zaragoza	16-19	Mujeres	641
Septiembre 2019	50	Zaragoza	20-24	Hombres	1621
Septiembre 2019	50	Zaragoza	20-24	Mujeres	1727
Septiembre 2019	50	Zaragoza	25-29	Hombres	1833
Septiembre 2019	50	Zaragoza	25-29	Mujeres	2494
Septiembre 2019	50	Zaragoza	30-34	Hombres	1643
Septiembre 2019	50	Zaragoza	30-34	Mujeres	2872
Septiembre 2019	50	Zaragoza	35-39	Hombres	1706
Septiembre 2019	50	Zaragoza	35-39	Mujeres	3234
Septiembre 2019	50	Zaragoza	40-44	Hombres	2018
Septiembre 2019	50	Zaragoza	40-44	Mujeres	3626
Septiembre 2019	50	Zaragoza	45-49	Hombres	2291
Septiembre 2019	50	Zaragoza	45-49	Mujeres	3630
Septiembre 2019	50	Zaragoza	50-54	Hombres	2426
Septiembre 2019	50	Zaragoza	50-54	Mujeres	3553
Septiembre 2019	50	Zaragoza	55-59	Hombres	2764
Septiembre 2019	50	Zaragoza	55-59	Mujeres	4189
Septiembre 2019	50	Zaragoza	60-64	Hombres	2389
Septiembre 2019	50	Zaragoza	60-64	Mujeres	4110
Agosto 2019	22	Huesca	16-19	Hombres	148
Agosto 2019	22	Huesca	16-19	Mujeres	117
Agosto 2019	22	Huesca	20-24	Hombres	279
Agosto 2019	22	Huesca	20-24	Mujeres	266
Agosto 2019	22	Huesca	25-29	Hombres	307
Agosto 2019	22	Huesca	25-29	Mujeres	427
Agosto 2019	22	Huesca	30-34	Hombres	305
Agosto 2019	22	Huesca	30-34	Mujeres	515
Agosto 2019	22	Huesca	35-39	Hombres	288
Agosto 2019	22	Huesca	35-39	Mujeres	563
Agosto 2019	22	Huesca	40-44	Hombres	324
Agosto 2019	22	Huesca	40-44	Mujeres	580
Agosto 2019	22	Huesca	45-49	Hombres	342
Agosto 2019	22	Huesca	45-49	Mujeres	493
Agosto 2019	22	Huesca	50-54	Hombres	333
Agosto 2019	22	Huesca	50-54	Mujeres	444
Agosto 2019	22	Huesca	55-59	Hombres	423
Agosto 2019	22	Huesca	55-59	Mujeres	542
Agosto 2019	22	Huesca	60-64	Hombres	384
Agosto 2019	22	Huesca	60-64	Mujeres	533
Agosto 2019	44	Teruel	16-19	Hombres	110
Agosto 2019	44	Teruel	16-19	Mujeres	53
Agosto 2019	44	Teruel	20-24	Hombres	169
Agosto 2019	44	Teruel	20-24	Mujeres	159
Agosto 2019	44	Teruel	25-29	Hombres	224
Agosto 2019	44	Teruel	25-29	Mujeres	300
Agosto 2019	44	Teruel	30-34	Hombres	164
Agosto 2019	44	Teruel	30-34	Mujeres	336
Agosto 2019	44	Teruel	35-39	Hombres	194
Agosto 2019	44	Teruel	35-39	Mujeres	319
Agosto 2019	44	Teruel	40-44	Hombres	200
Agosto 2019	44	Teruel	40-44	Mujeres	314
Agosto 2019	44	Teruel	45-49	Hombres	232
Agosto 2019	44	Teruel	45-49	Mujeres	300
Agosto 2019	44	Teruel	50-54	Hombres	246
Agosto 2019	44	Teruel	50-54	Mujeres	338
Agosto 2019	44	Teruel	55-59	Hombres	273
Agosto 2019	44	Teruel	55-59	Mujeres	378
Agosto 2019	44	Teruel	60-64	Hombres	251
Agosto 2019	44	Teruel	60-64	Mujeres	356
Agosto 2019	50	Zaragoza	16-19	Hombres	765
Agosto 2019	50	Zaragoza	16-19	Mujeres	613
Agosto 2019	50	Zaragoza	20-24	Hombres	1526
Agosto 2019	50	Zaragoza	20-24	Mujeres	1548
Agosto 2019	50	Zaragoza	25-29	Hombres	1787
Agosto 2019	50	Zaragoza	25-29	Mujeres	2532
Agosto 2019	50	Zaragoza	30-34	Hombres	1600
Agosto 2019	50	Zaragoza	30-34	Mujeres	2932
Agosto 2019	50	Zaragoza	35-39	Hombres	1762
Agosto 2019	50	Zaragoza	35-39	Mujeres	3152
Agosto 2019	50	Zaragoza	40-44	Hombres	2068
Agosto 2019	50	Zaragoza	40-44	Mujeres	3544
Agosto 2019	50	Zaragoza	45-49	Hombres	2283
Agosto 2019	50	Zaragoza	45-49	Mujeres	3536
Agosto 2019	50	Zaragoza	50-54	Hombres	2400
Agosto 2019	50	Zaragoza	50-54	Mujeres	3514
Agosto 2019	50	Zaragoza	55-59	Hombres	2784
Agosto 2019	50	Zaragoza	55-59	Mujeres	4194
Agosto 2019	50	Zaragoza	60-64	Hombres	2330
Agosto 2019	50	Zaragoza	60-64	Mujeres	4084
Julio 2019	22	Huesca	16-19	Hombres	180
Julio 2019	22	Huesca	16-19	Mujeres	128
Julio 2019	22	Huesca	20-24	Hombres	256
Julio 2019	22	Huesca	20-24	Mujeres	242
Julio 2019	22	Huesca	25-29	Hombres	280
Julio 2019	22	Huesca	25-29	Mujeres	416
Julio 2019	22	Huesca	30-34	Hombres	304
Julio 2019	22	Huesca	30-34	Mujeres	507
Julio 2019	22	Huesca	35-39	Hombres	280
Julio 2019	22	Huesca	35-39	Mujeres	528
Julio 2019	22	Huesca	40-44	Hombres	315
Julio 2019	22	Huesca	40-44	Mujeres	572
Julio 2019	22	Huesca	45-49	Hombres	334
Julio 2019	22	Huesca	45-49	Mujeres	486
Julio 2019	22	Huesca	50-54	Hombres	336
Julio 2019	22	Huesca	50-54	Mujeres	453
Julio 2019	22	Huesca	55-59	Hombres	405
Julio 2019	22	Huesca	55-59	Mujeres	534
Julio 2019	22	Huesca	60-64	Hombres	387
Julio 2019	22	Huesca	60-64	Mujeres	528
Julio 2019	44	Teruel	16-19	Hombres	113
Julio 2019	44	Teruel	16-19	Mujeres	68
Julio 2019	44	Teruel	20-24	Hombres	153
Julio 2019	44	Teruel	20-24	Mujeres	145
Julio 2019	44	Teruel	25-29	Hombres	207
Julio 2019	44	Teruel	25-29	Mujeres	280
Julio 2019	44	Teruel	30-34	Hombres	163
Julio 2019	44	Teruel	30-34	Mujeres	330
Julio 2019	44	Teruel	35-39	Hombres	178
Julio 2019	44	Teruel	35-39	Mujeres	318
Julio 2019	44	Teruel	40-44	Hombres	189
Julio 2019	44	Teruel	40-44	Mujeres	327
Julio 2019	44	Teruel	45-49	Hombres	240
Julio 2019	44	Teruel	45-49	Mujeres	295
Julio 2019	44	Teruel	50-54	Hombres	242
Julio 2019	44	Teruel	50-54	Mujeres	360
Julio 2019	44	Teruel	55-59	Hombres	271
Julio 2019	44	Teruel	55-59	Mujeres	394
Julio 2019	44	Teruel	60-64	Hombres	253
Julio 2019	44	Teruel	60-64	Mujeres	343
Julio 2019	50	Zaragoza	16-19	Hombres	846
Julio 2019	50	Zaragoza	16-19	Mujeres	647
Julio 2019	50	Zaragoza	20-24	Hombres	1424
Julio 2019	50	Zaragoza	20-24	Mujeres	1427
Julio 2019	50	Zaragoza	25-29	Hombres	1639
Julio 2019	50	Zaragoza	25-29	Mujeres	2423
Julio 2019	50	Zaragoza	30-34	Hombres	1547
Julio 2019	50	Zaragoza	30-34	Mujeres	2882
Julio 2019	50	Zaragoza	35-39	Hombres	1688
Julio 2019	50	Zaragoza	35-39	Mujeres	3202
Julio 2019	50	Zaragoza	40-44	Hombres	1963
Julio 2019	50	Zaragoza	40-44	Mujeres	3539
Julio 2019	50	Zaragoza	45-49	Hombres	2239
Julio 2019	50	Zaragoza	45-49	Mujeres	3483
Julio 2019	50	Zaragoza	50-54	Hombres	2334
Julio 2019	50	Zaragoza	50-54	Mujeres	3507
Julio 2019	50	Zaragoza	55-59	Hombres	2767
Julio 2019	50	Zaragoza	55-59	Mujeres	4156
Julio 2019	50	Zaragoza	60-64	Hombres	2336
Julio 2019	50	Zaragoza	60-64	Mujeres	4065
Junio 2019	22	Huesca	16-19	Hombres	195
Junio 2019	22	Huesca	16-19	Mujeres	151
Junio 2019	22	Huesca	20-24	Hombres	274
Junio 2019	22	Huesca	20-24	Mujeres	236
Junio 2019	22	Huesca	25-29	Hombres	301
Junio 2019	22	Huesca	25-29	Mujeres	418
Junio 2019	22	Huesca	30-34	Hombres	308
Junio 2019	22	Huesca	30-34	Mujeres	500
Junio 2019	22	Huesca	35-39	Hombres	292
Junio 2019	22	Huesca	35-39	Mujeres	543
Junio 2019	22	Huesca	40-44	Hombres	293
Junio 2019	22	Huesca	40-44	Mujeres	558
Junio 2019	22	Huesca	45-49	Hombres	327
Junio 2019	22	Huesca	45-49	Mujeres	490
Junio 2019	22	Huesca	50-54	Hombres	320
Junio 2019	22	Huesca	50-54	Mujeres	481
Junio 2019	22	Huesca	55-59	Hombres	409
Junio 2019	22	Huesca	55-59	Mujeres	540
Junio 2019	22	Huesca	60-64	Hombres	392
Junio 2019	22	Huesca	60-64	Mujeres	508
Junio 2019	44	Teruel	16-19	Hombres	145
Junio 2019	44	Teruel	16-19	Mujeres	83
Junio 2019	44	Teruel	20-24	Hombres	183
Junio 2019	44	Teruel	20-24	Mujeres	167
Junio 2019	44	Teruel	25-29	Hombres	200
Junio 2019	44	Teruel	25-29	Mujeres	274
Junio 2019	44	Teruel	30-34	Hombres	169
Junio 2019	44	Teruel	30-34	Mujeres	307
Junio 2019	44	Teruel	35-39	Hombres	177
Junio 2019	44	Teruel	35-39	Mujeres	324
Junio 2019	44	Teruel	40-44	Hombres	163
Junio 2019	44	Teruel	40-44	Mujeres	326
Junio 2019	44	Teruel	45-49	Hombres	230
Junio 2019	44	Teruel	45-49	Mujeres	312
Junio 2019	44	Teruel	50-54	Hombres	256
Junio 2019	44	Teruel	50-54	Mujeres	366
Junio 2019	44	Teruel	55-59	Hombres	277
Junio 2019	44	Teruel	55-59	Mujeres	413
Junio 2019	44	Teruel	60-64	Hombres	253
Junio 2019	44	Teruel	60-64	Mujeres	345
Junio 2019	50	Zaragoza	16-19	Hombres	838
Junio 2019	50	Zaragoza	16-19	Mujeres	609
Junio 2019	50	Zaragoza	20-24	Hombres	1402
Junio 2019	50	Zaragoza	20-24	Mujeres	1432
Junio 2019	50	Zaragoza	25-29	Hombres	1618
Junio 2019	50	Zaragoza	25-29	Mujeres	2326
Junio 2019	50	Zaragoza	30-34	Hombres	1499
Junio 2019	50	Zaragoza	30-34	Mujeres	2771
Junio 2019	50	Zaragoza	35-39	Hombres	1662
Junio 2019	50	Zaragoza	35-39	Mujeres	3120
Junio 2019	50	Zaragoza	40-44	Hombres	1878
Junio 2019	50	Zaragoza	40-44	Mujeres	3470
Junio 2019	50	Zaragoza	45-49	Hombres	2121
Junio 2019	50	Zaragoza	45-49	Mujeres	3447
Junio 2019	50	Zaragoza	50-54	Hombres	2256
Junio 2019	50	Zaragoza	50-54	Mujeres	3477
Junio 2019	50	Zaragoza	55-59	Hombres	2662
Junio 2019	50	Zaragoza	55-59	Mujeres	4147
Junio 2019	50	Zaragoza	60-64	Hombres	2260
Junio 2019	50	Zaragoza	60-64	Mujeres	4007
Mayo 2019	22	Huesca	16-19	Hombres	177
Mayo 2019	22	Huesca	16-19	Mujeres	143
Mayo 2019	22	Huesca	20-24	Hombres	298
Mayo 2019	22	Huesca	20-24	Mujeres	278
Mayo 2019	22	Huesca	25-29	Hombres	296
Mayo 2019	22	Huesca	25-29	Mujeres	432
Mayo 2019	22	Huesca	30-34	Hombres	307
Mayo 2019	22	Huesca	30-34	Mujeres	510
Mayo 2019	22	Huesca	35-39	Hombres	309
Mayo 2019	22	Huesca	35-39	Mujeres	561
Mayo 2019	22	Huesca	40-44	Hombres	305
Mayo 2019	22	Huesca	40-44	Mujeres	571
Mayo 2019	22	Huesca	45-49	Hombres	343
Mayo 2019	22	Huesca	45-49	Mujeres	506
Mayo 2019	22	Huesca	50-54	Hombres	348
Mayo 2019	22	Huesca	50-54	Mujeres	516
Mayo 2019	22	Huesca	55-59	Hombres	420
Mayo 2019	22	Huesca	55-59	Mujeres	560
Mayo 2019	22	Huesca	60-64	Hombres	407
Mayo 2019	22	Huesca	60-64	Mujeres	521
Mayo 2019	44	Teruel	16-19	Hombres	91
Mayo 2019	44	Teruel	16-19	Mujeres	80
Mayo 2019	44	Teruel	20-24	Hombres	170
Mayo 2019	44	Teruel	20-24	Mujeres	191
Mayo 2019	44	Teruel	25-29	Hombres	188
Mayo 2019	44	Teruel	25-29	Mujeres	301
Mayo 2019	44	Teruel	30-34	Hombres	157
Mayo 2019	44	Teruel	30-34	Mujeres	322
Mayo 2019	44	Teruel	35-39	Hombres	174
Mayo 2019	44	Teruel	35-39	Mujeres	339
Mayo 2019	44	Teruel	40-44	Hombres	172
Mayo 2019	44	Teruel	40-44	Mujeres	327
Mayo 2019	44	Teruel	45-49	Hombres	230
Mayo 2019	44	Teruel	45-49	Mujeres	357
Mayo 2019	44	Teruel	50-54	Hombres	253
Mayo 2019	44	Teruel	50-54	Mujeres	391
Mayo 2019	44	Teruel	55-59	Hombres	296
Mayo 2019	44	Teruel	55-59	Mujeres	422
Mayo 2019	44	Teruel	60-64	Hombres	248
Mayo 2019	44	Teruel	60-64	Mujeres	341
Mayo 2019	50	Zaragoza	16-19	Hombres	782
Mayo 2019	50	Zaragoza	16-19	Mujeres	600
Mayo 2019	50	Zaragoza	20-24	Hombres	1504
Mayo 2019	50	Zaragoza	20-24	Mujeres	1611
Mayo 2019	50	Zaragoza	25-29	Hombres	1721
Mayo 2019	50	Zaragoza	25-29	Mujeres	2429
Mayo 2019	50	Zaragoza	30-34	Hombres	1550
Mayo 2019	50	Zaragoza	30-34	Mujeres	2824
Mayo 2019	50	Zaragoza	35-39	Hombres	1690
Mayo 2019	50	Zaragoza	35-39	Mujeres	3092
Mayo 2019	50	Zaragoza	40-44	Hombres	1956
Mayo 2019	50	Zaragoza	40-44	Mujeres	3484
Mayo 2019	50	Zaragoza	45-49	Hombres	2155
Mayo 2019	50	Zaragoza	45-49	Mujeres	3489
Mayo 2019	50	Zaragoza	50-54	Hombres	2340
Mayo 2019	50	Zaragoza	50-54	Mujeres	3567
Mayo 2019	50	Zaragoza	55-59	Hombres	2672
Mayo 2019	50	Zaragoza	55-59	Mujeres	4181
Mayo 2019	50	Zaragoza	60-64	Hombres	2227
Mayo 2019	50	Zaragoza	60-64	Mujeres	3999
Abril 2019	22	Huesca	16-19	Hombres	162
Abril 2019	22	Huesca	16-19	Mujeres	141
Abril 2019	22	Huesca	20-24	Hombres	314
Abril 2019	22	Huesca	20-24	Mujeres	286
Abril 2019	22	Huesca	25-29	Hombres	307
Abril 2019	22	Huesca	25-29	Mujeres	444
Abril 2019	22	Huesca	30-34	Hombres	309
Abril 2019	22	Huesca	30-34	Mujeres	538
Abril 2019	22	Huesca	35-39	Hombres	337
Abril 2019	22	Huesca	35-39	Mujeres	591
Abril 2019	22	Huesca	40-44	Hombres	334
Abril 2019	22	Huesca	40-44	Mujeres	601
Abril 2019	22	Huesca	45-49	Hombres	362
Abril 2019	22	Huesca	45-49	Mujeres	540
Abril 2019	22	Huesca	50-54	Hombres	360
Abril 2019	22	Huesca	50-54	Mujeres	543
Abril 2019	22	Huesca	55-59	Hombres	448
Abril 2019	22	Huesca	55-59	Mujeres	567
Abril 2019	22	Huesca	60-64	Hombres	418
Abril 2019	22	Huesca	60-64	Mujeres	520
Abril 2019	44	Teruel	16-19	Hombres	85
Abril 2019	44	Teruel	16-19	Mujeres	81
Abril 2019	44	Teruel	20-24	Hombres	170
Abril 2019	44	Teruel	20-24	Mujeres	205
Abril 2019	44	Teruel	25-29	Hombres	205
Abril 2019	44	Teruel	25-29	Mujeres	320
