Año	Personas	VAB	VAB per cápita	Comarca código	Comarca nombre
2018	45962	1293314	28138,7668073626	29	Comunidad de Teruel
2018	3196	60326,2	18875,5319148936	30	Maestrazgo
2018	4423	71273,4	16114,2663350667	31	Sierra de Albarracín
2018	7367	169221,8	22970,2456902403	32	Gúdar-Javalambre
2018	8222	165309,1	20105,7042082218	33	Matarraña / Matarranya
2017	17744	373529,5	21051,0313345356	01	La Jacetania
2017	13480	304906,6	22619,1839762611	02	Alto Gállego
2017	7317	196264,9	26823,1378980456	03	Sobrarbe
2017	12067	346892,5	28747,203115936	04	La Ribagorza
2017	30557	878453,2	28748,0184573093	05	Cinco Villas
2017	67393	1714908,9	25446,3950261897	06	Hoya de Huesca / Plana de Uesca
2017	23652	522078,7	22073,3426348723	07	Somontano de Barbastro
2017	23760	487512,7	20518,2112794613	08	Cinca Medio
2017	18209	438257	24068,1531110989	09	La Litera / La Llitera
2017	18794	433130,5	23046,2115568799	10	Los Monegros
2017	24470	589137,4	24075,9051900286	11	Bajo Cinca / Baix Cinca
2017	13842	268591,7	19404,1106776477	12	Tarazona y el Moncayo
2017	13965	321633,6	23031,4070891515	13	Campo de Borja
2017	6828	167390,9	24515,3632103105	14	Aranda
2017	27016	1065906,5	39454,6379923009	15	Ribera Alta del Ebro
2017	28340	784223,4	27671,9618913197	16	Valdejalón
2017	744579	18574102,2	24945,7776810788	17	Central
2017	8634	375375,3	43476,4072272411	18	Ribera Baja del Ebro
2017	14459	350737,3	24257,3691126634	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	37700	663742,9	17605,9124668435	20	Comunidad de Calatayud
2017	10062	283115,3	28137,0801033592	21	Campo de Cariñena
2017	4660	120822,2	25927,5107296137	22	Campo de Belchite
2017	6447	153904,7	23872,2971924926	23	Bajo Martín
2017	5660	124487,7	21994,2932862191	24	Campo de Daroca
2017	12490	200807,2	16077,4379503603	25	Jiloca
2017	8230	123696,8	15029,9878493317	26	Cuencas Mineras
2017	10339	208059,7	20123,7740593868	27	Andorra-Sierra de Arcos
2017	28708	554493,4	19314,9435697367	28	Bajo Aragón
2017	45937	1233777,8	26858,040359623	29	Comunidad de Teruel
2017	3209	58198,8	18136,1171704581	30	Maestrazgo
2017	4483	68463,9	15271,8938211019	31	Sierra de Albarracín
2017	7460	157934,6	21170,8579088472	32	Gúdar-Javalambre
2017	8259	160020,3	19375,2633490737	33	Matarraña / Matarranya
2016	17863	366925,5	20541,0905223087	01	La Jacetania
2016	13539	308418,5	22780,0059088559	02	Alto Gállego
2016	7411	193123,4	26059,0203751181	03	Sobrarbe
2016	12115	339070,4	27987,6516714816	04	La Ribagorza
2016	30681	837510,3	27297,3599295981	05	Cinco Villas
2016	67697	1688900,1	24947,9312229493	06	Hoya de Huesca / Plana de Uesca
2016	23735	520648,7	21935,9047819676	07	Somontano de Barbastro
2016	23934	492912,5	20594,656137712	08	Cinca Medio
2016	18368	443130	24125,1088850174	09	La Litera / La Llitera
2016	19171	434060,4	22641,5106149914	10	Los Monegros
2016	24457	595493	24348,570961279	11	Bajo Cinca / Baix Cinca
2016	14106	245848,4	17428,64029491	12	Tarazona y el Moncayo
2016	14112	323573,4	22928,9540816327	13	Campo de Borja
2016	6975	165403,6	23713,7777777778	14	Aranda
2016	26922	972961,9	36140,0304583612	15	Ribera Alta del Ebro
2016	28489	754824,9	26495,310470708	16	Valdejalón
2016	739788	17579751,1	23763,2282491741	17	Central
2016	8760	357026	40756,3926940639	18	Ribera Baja del Ebro
2016	14521	337083,9	23213,5458990428	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	38228	638418,7	16700,2903630846	20	Comunidad de Calatayud
2016	10164	262313,1	25808,0578512397	21	Campo de Cariñena
2016	4775	116992,2	24500,9842931937	22	Campo de Belchite
2016	6524	155201,8	23789,3623543838	23	Bajo Martín
