Municipio código	Municipio nombre	Segunda residencia	Número hogares
22113	Fueva (La)	No dispone de segunda residencia	149
22114	Gistaín	Dispone de segunda residencia	5
22114	Gistaín	No dispone de segunda residencia	62
22115	Grado (El)	Dispone de segunda residencia	36
22115	Grado (El)	No dispone de segunda residencia	189
22116	Grañén	Dispone de segunda residencia	77
22116	Grañén	No dispone de segunda residencia	610
22117	Graus	Dispone de segunda residencia	121
22117	Graus	No dispone de segunda residencia	1045
22119	Gurrea de Gállego	Dispone de segunda residencia	77
22119	Gurrea de Gállego	No dispone de segunda residencia	577
22122	Hoz de Jaca	Dispone de segunda residencia	7
22122	Hoz de Jaca	No dispone de segunda residencia	19
22124	Huerto	Dispone de segunda residencia	52
22124	Huerto	No dispone de segunda residencia	49
22125	Huesca	Dispone de segunda residencia	3092
22125	Huesca	No dispone de segunda residencia	13378
22126	Ibieca	Dispone de segunda residencia	9
22126	Ibieca	No dispone de segunda residencia	32
22127	Igriés	Dispone de segunda residencia	21
22127	Igriés	No dispone de segunda residencia	62
22128	Ilche	Dispone de segunda residencia	13
22128	Ilche	No dispone de segunda residencia	72
22129	Isábena	Dispone de segunda residencia	11
22129	Isábena	No dispone de segunda residencia	83
22130	Jaca	Dispone de segunda residencia	544
22130	Jaca	No dispone de segunda residencia	3583
22131	Jasa	Dispone de segunda residencia	11
22131	Jasa	No dispone de segunda residencia	37
22133	Labuerda	Dispone de segunda residencia	12
22133	Labuerda	No dispone de segunda residencia	54
22135	Laluenga	Dispone de segunda residencia	13
22135	Laluenga	No dispone de segunda residencia	87
22136	Lalueza	Dispone de segunda residencia	76
22136	Lalueza	No dispone de segunda residencia	353
22137	Lanaja	Dispone de segunda residencia	62
22137	Lanaja	No dispone de segunda residencia	525
22139	Laperdiguera	Dispone de segunda residencia	7
22139	Laperdiguera	No dispone de segunda residencia	28
22141	Lascellas-Ponzano	Dispone de segunda residencia	7
22141	Lascellas-Ponzano	No dispone de segunda residencia	63
22142	Lascuarre	Dispone de segunda residencia	15
22142	Lascuarre	No dispone de segunda residencia	42
22143	Laspaúles	Dispone de segunda residencia	27
22143	Laspaúles	No dispone de segunda residencia	75
22144	Laspuña	Dispone de segunda residencia	35
22144	Laspuña	No dispone de segunda residencia	47
22149	Loarre	Dispone de segunda residencia	42
22149	Loarre	No dispone de segunda residencia	115
22150	Loporzano	Dispone de segunda residencia	82
22150	Loporzano	No dispone de segunda residencia	89
22151	Loscorrales	Dispone de segunda residencia	18
22151	Loscorrales	No dispone de segunda residencia	27
22155	Monesma y Cajigar	Dispone de segunda residencia	21
22155	Monesma y Cajigar	No dispone de segunda residencia	7
22156	Monflorite-Lascasas	Dispone de segunda residencia	24
22156	Monflorite-Lascasas	No dispone de segunda residencia	50
22157	Montanuy	Dispone de segunda residencia	21
22157	Montanuy	No dispone de segunda residencia	86
22158	Monzón	Dispone de segunda residencia	785
22158	Monzón	No dispone de segunda residencia	4533
22160	Naval	Dispone de segunda residencia	33
22160	Naval	No dispone de segunda residencia	88
22162	Novales	Dispone de segunda residencia	13
22162	Novales	No dispone de segunda residencia	51
22163	Nueno	Dispone de segunda residencia	28
22163	Nueno	No dispone de segunda residencia	103
22164	Olvena	Dispone de segunda residencia	6
22164	Olvena	No dispone de segunda residencia	18
22165	Ontiñena	Dispone de segunda residencia	13
22165	Ontiñena	No dispone de segunda residencia	218
22167	Osso de Cinca	Dispone de segunda residencia	14
22167	Osso de Cinca	No dispone de segunda residencia	218
22168	Palo	Dispone de segunda residencia	2
22168	Palo	No dispone de segunda residencia	14
22170	Panticosa	Dispone de segunda residencia	62
22170	Panticosa	No dispone de segunda residencia	211
22172	Peñalba	Dispone de segunda residencia	16
22172	Peñalba	No dispone de segunda residencia	220
22173	Peñas de Riglos (Las)	Dispone de segunda residencia	37
22173	Peñas de Riglos (Las)	No dispone de segunda residencia	92
22174	Peralta de Alcofea	Dispone de segunda residencia	53
22174	Peralta de Alcofea	No dispone de segunda residencia	189
22175	Peralta de Calasanz	Dispone de segunda residencia	20
22175	Peralta de Calasanz	No dispone de segunda residencia	106
22176	Peraltilla	Dispone de segunda residencia	10
22176	Peraltilla	No dispone de segunda residencia	48
22177	Perarrúa	Dispone de segunda residencia	6
22177	Perarrúa	No dispone de segunda residencia	48
22178	Pertusa	Dispone de segunda residencia	9
22178	Pertusa	No dispone de segunda residencia	43
22181	Piracés	Dispone de segunda residencia	12
22181	Piracés	No dispone de segunda residencia	23
22182	Plan	Dispone de segunda residencia	18
22182	Plan	No dispone de segunda residencia	95
22184	Poleñino	Dispone de segunda residencia	8
22184	Poleñino	No dispone de segunda residencia	74
22186	Pozán de Vero	Dispone de segunda residencia	2
22186	Pozán de Vero	No dispone de segunda residencia	89
22187	Puebla de Castro (La)	Dispone de segunda residencia	15
22187	Puebla de Castro (La)	No dispone de segunda residencia	121
22188	Puente de Montañana	Dispone de segunda residencia	10
22188	Puente de Montañana	No dispone de segunda residencia	41
22189	Puértolas	Dispone de segunda residencia	14
22189	Puértolas	No dispone de segunda residencia	60
22190	Pueyo de Araguás (El)	Dispone de segunda residencia	15
22190	Pueyo de Araguás (El)	No dispone de segunda residencia	33
22193	Pueyo de Santa Cruz	Dispone de segunda residencia	35
22193	Pueyo de Santa Cruz	No dispone de segunda residencia	73
22195	Quicena	Dispone de segunda residencia	14
22195	Quicena	No dispone de segunda residencia	27
22197	Robres	Dispone de segunda residencia	17
22197	Robres	No dispone de segunda residencia	212
22199	Sabiñánigo	Dispone de segunda residencia	427
22199	Sabiñánigo	No dispone de segunda residencia	2611
22200	Sahún	Dispone de segunda residencia	13
22200	Sahún	No dispone de segunda residencia	81
22201	Salas Altas	Dispone de segunda residencia	9
22201	Salas Altas	No dispone de segunda residencia	126
22202	Salas Bajas	Dispone de segunda residencia	8
22202	Salas Bajas	No dispone de segunda residencia	53
22203	Salillas	Dispone de segunda residencia	15
22203	Salillas	No dispone de segunda residencia	34
22204	Sallent de Gállego	Dispone de segunda residencia	68
22204	Sallent de Gállego	No dispone de segunda residencia	319
22205	San Esteban de Litera	Dispone de segunda residencia	35
22205	San Esteban de Litera	No dispone de segunda residencia	195
22206	Sangarrén	Dispone de segunda residencia	18
22206	Sangarrén	No dispone de segunda residencia	77
22207	San Juan de Plan	Dispone de segunda residencia	11
22207	San Juan de Plan	No dispone de segunda residencia	40
22208	Santa Cilia	Dispone de segunda residencia	10
22208	Santa Cilia	No dispone de segunda residencia	64
22209	Santa Cruz de la Serós	Dispone de segunda residencia	14
22209	Santa Cruz de la Serós	No dispone de segunda residencia	39
22212	Santaliestra y San Quílez	Dispone de segunda residencia	6
22212	Santaliestra y San Quílez	No dispone de segunda residencia	49
22213	Sariñena	Dispone de segunda residencia	222
22213	Sariñena	No dispone de segunda residencia	1149
22214	Secastilla	Dispone de segunda residencia	6
22214	Secastilla	No dispone de segunda residencia	38
22215	Seira	Dispone de segunda residencia	41
22215	Seira	No dispone de segunda residencia	32
22217	Sena	Dispone de segunda residencia	24
22217	Sena	No dispone de segunda residencia	185
22218	Senés de Alcubierre	Dispone de segunda residencia	7
22218	Senés de Alcubierre	No dispone de segunda residencia	9
22220	Sesa	Dispone de segunda residencia	12
22220	Sesa	No dispone de segunda residencia	81
22221	Sesué	Dispone de segunda residencia	17
22221	Sesué	No dispone de segunda residencia	35
22222	Siétamo	Dispone de segunda residencia	47
22222	Siétamo	No dispone de segunda residencia	125
22223	Sopeira	Dispone de segunda residencia	2
22223	Sopeira	No dispone de segunda residencia	44
22225	Tamarite de Litera	Dispone de segunda residencia	125
22225	Tamarite de Litera	No dispone de segunda residencia	1163
22226	Tardienta	Dispone de segunda residencia	66
22226	Tardienta	No dispone de segunda residencia	343
22227	Tella-Sin	Dispone de segunda residencia	38
22227	Tella-Sin	No dispone de segunda residencia	76
22228	Tierz	Dispone de segunda residencia	22
22228	Tierz	No dispone de segunda residencia	40
22229	Tolva	Dispone de segunda residencia	21
22229	Tolva	No dispone de segunda residencia	55
22230	Torla	Dispone de segunda residencia	20
22230	Torla	No dispone de segunda residencia	104
22232	Torralba de Aragón	Dispone de segunda residencia	11
22232	Torralba de Aragón	No dispone de segunda residencia	38
22233	Torre la Ribera	Dispone de segunda residencia	10
22233	Torre la Ribera	No dispone de segunda residencia	29
22234	Torrente de Cinca	Dispone de segunda residencia	20
22234	Torrente de Cinca	No dispone de segunda residencia	355
22235	Torres de Alcanadre	Dispone de segunda residencia	5
22235	Torres de Alcanadre	No dispone de segunda residencia	44
22236	Torres de Barbués	Dispone de segunda residencia	12
22236	Torres de Barbués	No dispone de segunda residencia	110
22239	Tramaced	Dispone de segunda residencia	8
22239	Tramaced	No dispone de segunda residencia	25
22242	Valfarta	Dispone de segunda residencia	2
22242	Valfarta	No dispone de segunda residencia	32
22243	Valle de Bardají	No dispone de segunda residencia	13
22244	Valle de Lierp	Dispone de segunda residencia	3
22244	Valle de Lierp	No dispone de segunda residencia	15
22245	Velilla de Cinca	Dispone de segunda residencia	6
22245	Velilla de Cinca	No dispone de segunda residencia	156
22246	Veracruz	Dispone de segunda residencia	5
22246	Veracruz	No dispone de segunda residencia	44
22247	Viacamp y Litera	No dispone de segunda residencia	13
22248	Vicién	Dispone de segunda residencia	19
22248	Vicién	No dispone de segunda residencia	24
22249	Villanova	Dispone de segunda residencia	20
22249	Villanova	No dispone de segunda residencia	31
22250	Villanúa	Dispone de segunda residencia	47
22250	Villanúa	No dispone de segunda residencia	98
22251	Villanueva de Sigena	Dispone de segunda residencia	14
22251	Villanueva de Sigena	No dispone de segunda residencia	140
22252	Yebra de Basa	Dispone de segunda residencia	15
22252	Yebra de Basa	No dispone de segunda residencia	39
22253	Yésero	Dispone de segunda residencia	21
22253	Yésero	No dispone de segunda residencia	12
22254	Zaidín	Dispone de segunda residencia	60
22254	Zaidín	No dispone de segunda residencia	505
22901	Valle de Hecho	Dispone de segunda residencia	57
22901	Valle de Hecho	No dispone de segunda residencia	293
22902	Puente la Reina de Jaca	Dispone de segunda residencia	11
22902	Puente la Reina de Jaca	No dispone de segunda residencia	83
22903	San Miguel del Cinca	Dispone de segunda residencia	43
22903	San Miguel del Cinca	No dispone de segunda residencia	253
22904	Sotonera (La)	Dispone de segunda residencia	93
22904	Sotonera (La)	No dispone de segunda residencia	336
22905	Lupiñén-Ortilla	Dispone de segunda residencia	42
22905	Lupiñén-Ortilla	No dispone de segunda residencia	81
22906	Santa María de Dulcis	Dispone de segunda residencia	7
22906	Santa María de Dulcis	No dispone de segunda residencia	79
22907	Aínsa-Sobrarbe	Dispone de segunda residencia	114
22907	Aínsa-Sobrarbe	No dispone de segunda residencia	464
22908	Hoz y Costeán	Dispone de segunda residencia	17
22908	Hoz y Costeán	No dispone de segunda residencia	68
22909	Vencillón	Dispone de segunda residencia	27
22909	Vencillón	No dispone de segunda residencia	131
44001	Ababuj	Dispone de segunda residencia	5
44001	Ababuj	No dispone de segunda residencia	29
44002	Abejuela	Dispone de segunda residencia	20
44002	Abejuela	No dispone de segunda residencia	12
44003	Aguatón	Dispone de segunda residencia	2
44003	Aguatón	No dispone de segunda residencia	8
44004	Aguaviva	Dispone de segunda residencia	20
44004	Aguaviva	No dispone de segunda residencia	240
44005	Aguilar del Alfambra	Dispone de segunda residencia	7
44005	Aguilar del Alfambra	No dispone de segunda residencia	25
44006	Alacón	Dispone de segunda residencia	53
44006	Alacón	No dispone de segunda residencia	113
44007	Alba	Dispone de segunda residencia	21
44007	Alba	No dispone de segunda residencia	88
44008	Albalate del Arzobispo	Dispone de segunda residencia	55
44008	Albalate del Arzobispo	No dispone de segunda residencia	784
44009	Albarracín	Dispone de segunda residencia	121
44009	Albarracín	No dispone de segunda residencia	245
44010	Albentosa	Dispone de segunda residencia	8
44010	Albentosa	No dispone de segunda residencia	89
44011	Alcaine	Dispone de segunda residencia	11
44011	Alcaine	No dispone de segunda residencia	33
44012	Alcalá de la Selva	Dispone de segunda residencia	27
44012	Alcalá de la Selva	No dispone de segunda residencia	179
44013	Alcañiz	Dispone de segunda residencia	695
44013	Alcañiz	No dispone de segunda residencia	4017
44014	Alcorisa	Dispone de segunda residencia	248
44014	Alcorisa	No dispone de segunda residencia	922
44016	Alfambra	Dispone de segunda residencia	24
44016	Alfambra	No dispone de segunda residencia	228
44017	Aliaga	Dispone de segunda residencia	48
44017	Aliaga	No dispone de segunda residencia	123
44018	Almohaja	Dispone de segunda residencia	3
44018	Almohaja	No dispone de segunda residencia	8
44019	Alobras	Dispone de segunda residencia	10
44019	Alobras	No dispone de segunda residencia	32
44020	Alpeñés	Dispone de segunda residencia	3
44020	Alpeñés	No dispone de segunda residencia	9
44021	Allepuz	Dispone de segunda residencia	2
44021	Allepuz	No dispone de segunda residencia	54
44022	Alloza	Dispone de segunda residencia	77
44022	Alloza	No dispone de segunda residencia	238
44023	Allueva	No dispone de segunda residencia	9
44024	Anadón	No dispone de segunda residencia	6
44025	Andorra	Dispone de segunda residencia	817
44025	Andorra	No dispone de segunda residencia	1804
44026	Arcos de las Salinas	Dispone de segunda residencia	25
44026	Arcos de las Salinas	No dispone de segunda residencia	40
44027	Arens de Lledó	Dispone de segunda residencia	2
44027	Arens de Lledó	No dispone de segunda residencia	67
44028	Argente	Dispone de segunda residencia	3
44028	Argente	No dispone de segunda residencia	101
44029	Ariño	Dispone de segunda residencia	67
44029	Ariño	No dispone de segunda residencia	258
44031	Azaila	Dispone de segunda residencia	29
44031	Azaila	No dispone de segunda residencia	50
44032	Bádenas	Dispone de segunda residencia	4
44032	Bádenas	No dispone de segunda residencia	9
44033	Báguena	Dispone de segunda residencia	57
44033	Báguena	No dispone de segunda residencia	140
44034	Bañón	Dispone de segunda residencia	3
44034	Bañón	No dispone de segunda residencia	66
44035	Barrachina	Dispone de segunda residencia	16
44035	Barrachina	No dispone de segunda residencia	53
44036	Bea	Dispone de segunda residencia	7
44036	Bea	No dispone de segunda residencia	11
44037	Beceite	Dispone de segunda residencia	12
44037	Beceite	No dispone de segunda residencia	225
44038	Belmonte de San José	Dispone de segunda residencia	10
44038	Belmonte de San José	No dispone de segunda residencia	52
44039	Bello	Dispone de segunda residencia	15
44039	Bello	No dispone de segunda residencia	144
44040	Berge	Dispone de segunda residencia	8
44040	Berge	No dispone de segunda residencia	90
44041	Bezas	Dispone de segunda residencia	5
44041	Bezas	No dispone de segunda residencia	29
44042	Blancas	Dispone de segunda residencia	2
44042	Blancas	No dispone de segunda residencia	72
44043	Blesa	Dispone de segunda residencia	17
44043	Blesa	No dispone de segunda residencia	50
44044	Bordón	Dispone de segunda residencia	9
44044	Bordón	No dispone de segunda residencia	48
44045	Bronchales	Dispone de segunda residencia	53
44045	Bronchales	No dispone de segunda residencia	140
44046	Bueña	Dispone de segunda residencia	5
44046	Bueña	No dispone de segunda residencia	37
44047	Burbáguena	Dispone de segunda residencia	20
44047	Burbáguena	No dispone de segunda residencia	101
44048	Cabra de Mora	Dispone de segunda residencia	17
44048	Cabra de Mora	No dispone de segunda residencia	25
44049	Calaceite	Dispone de segunda residencia	75
44049	Calaceite	No dispone de segunda residencia	379
44050	Calamocha	Dispone de segunda residencia	298
44050	Calamocha	No dispone de segunda residencia	1299
44051	Calanda	Dispone de segunda residencia	188
44051	Calanda	No dispone de segunda residencia	1036
44052	Calomarde	Dispone de segunda residencia	12
44052	Calomarde	No dispone de segunda residencia	21
44053	Camañas	Dispone de segunda residencia	3
44053	Camañas	No dispone de segunda residencia	54
44054	Camarena de la Sierra	Dispone de segunda residencia	15
44054	Camarena de la Sierra	No dispone de segunda residencia	51
44055	Camarillas	Dispone de segunda residencia	6
44055	Camarillas	No dispone de segunda residencia	37
44056	Caminreal	Dispone de segunda residencia	32
44056	Caminreal	No dispone de segunda residencia	276
44059	Cantavieja	Dispone de segunda residencia	100
44059	Cantavieja	No dispone de segunda residencia	165
44060	Cañada de Benatanduz	Dispone de segunda residencia	7
44060	Cañada de Benatanduz	No dispone de segunda residencia	18
44061	Cañada de Verich (La)	Dispone de segunda residencia	11
44061	Cañada de Verich (La)	No dispone de segunda residencia	34
44062	Cañada Vellida	Dispone de segunda residencia	7
44062	Cañada Vellida	No dispone de segunda residencia	14
44063	Cañizar del Olivar	Dispone de segunda residencia	12
44063	Cañizar del Olivar	No dispone de segunda residencia	32
44064	Cascante del Río	Dispone de segunda residencia	3
44064	Cascante del Río	No dispone de segunda residencia	49
44065	Castejón de Tornos	Dispone de segunda residencia	21
44065	Castejón de Tornos	No dispone de segunda residencia	22
44066	Castel de Cabra	Dispone de segunda residencia	12
44066	Castel de Cabra	No dispone de segunda residencia	50
44067	Castelnou	Dispone de segunda residencia	6
44067	Castelnou	No dispone de segunda residencia	36
44068	Castelserás	Dispone de segunda residencia	22
44068	Castelserás	No dispone de segunda residencia	287
44070	Castellar (El)	Dispone de segunda residencia	11
44070	Castellar (El)	No dispone de segunda residencia	27
44071	Castellote	Dispone de segunda residencia	48
44071	Castellote	No dispone de segunda residencia	287
44074	Cedrillas	Dispone de segunda residencia	18
44074	Cedrillas	No dispone de segunda residencia	173
44075	Celadas	Dispone de segunda residencia	12
44075	Celadas	No dispone de segunda residencia	188
44076	Cella	Dispone de segunda residencia	127
44076	Cella	No dispone de segunda residencia	959
44077	Cerollera (La)	Dispone de segunda residencia	8
44077	Cerollera (La)	No dispone de segunda residencia	33
44080	Codoñera (La)	Dispone de segunda residencia	22
44080	Codoñera (La)	No dispone de segunda residencia	107
44082	Corbalán	Dispone de segunda residencia	13
44082	Corbalán	No dispone de segunda residencia	25
44084	Cortes de Aragón	Dispone de segunda residencia	19
44084	Cortes de Aragón	No dispone de segunda residencia	31
44085	Cosa	Dispone de segunda residencia	2
44085	Cosa	No dispone de segunda residencia	36
44086	Cretas	Dispone de segunda residencia	18
44086	Cretas	No dispone de segunda residencia	200
44087	Crivillén	Dispone de segunda residencia	5
44087	Crivillén	No dispone de segunda residencia	43
44088	Cuba (La)	Dispone de segunda residencia	3
44088	Cuba (La)	No dispone de segunda residencia	24
44089	Cubla	Dispone de segunda residencia	10
44089	Cubla	No dispone de segunda residencia	13
44090	Cucalón	Dispone de segunda residencia	15
44090	Cucalón	No dispone de segunda residencia	17
44092	Cuervo (El)	Dispone de segunda residencia	12
44092	Cuervo (El)	No dispone de segunda residencia	44
44093	Cuevas de Almudén	Dispone de segunda residencia	5
44093	Cuevas de Almudén	No dispone de segunda residencia	32
44094	Cuevas Labradas	Dispone de segunda residencia	6
44094	Cuevas Labradas	No dispone de segunda residencia	57
44096	Ejulve	Dispone de segunda residencia	9
44096	Ejulve	No dispone de segunda residencia	79
44097	Escorihuela	Dispone de segunda residencia	5
44097	Escorihuela	No dispone de segunda residencia	85
44099	Escucha	Dispone de segunda residencia	70
44099	Escucha	No dispone de segunda residencia	301
44100	Estercuel	Dispone de segunda residencia	40
44100	Estercuel	No dispone de segunda residencia	85
44101	Ferreruela de Huerva	Dispone de segunda residencia	12
44101	Ferreruela de Huerva	No dispone de segunda residencia	27
44102	Fonfría	Dispone de segunda residencia	4
44102	Fonfría	No dispone de segunda residencia	8
44103	Formiche Alto	Dispone de segunda residencia	23
44103	Formiche Alto	No dispone de segunda residencia	59
44105	Fórnoles	Dispone de segunda residencia	14
44105	Fórnoles	No dispone de segunda residencia	34
