Mes y año	Mes (código)	Mes nombre	Año	CIF	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos	CCAA nombre
Octubre 2009	200910	Octubre	2009	A través de una ETT	Hombres	Temporal	1	1375	15528	11,29309090909090909090909090909090909091	Aragón
Octubre 2009	200910	Octubre	2009	A través de una ETT	Mujeres	Temporal	0	731	0	0	Aragón
Octubre 2009	200910	Octubre	2009	A través de una ETT	Mujeres	Temporal	1	813	12779	15,71832718327183271832718327183271832718	Aragón
Octubre 2009	200910	Octubre	2009	Otros	Hombres	Temporal	0	7545	0	0	Aragón
Octubre 2009	200910	Octubre	2009	Otros	Hombres	Temporal	1	6963	826625	118,716788740485422949877926181243716789	Aragón
Octubre 2009	200910	Octubre	2009	Otros	Mujeres	Temporal	0	5943	0	0	Aragón
Octubre 2009	200910	Octubre	2009	Otros	Mujeres	Temporal	1	8223	677472	82,38744983582634075155052900401313389274	Aragón
Septiembre 2009	200909	Septiembre	2009	A través de una ETT	Hombres	Temporal	0	1384	0	0	Aragón
Septiembre 2009	200909	Septiembre	2009	A través de una ETT	Hombres	Temporal	1	1197	14961	12,4987468671679197994987468671679197995	Aragón
Septiembre 2009	200909	Septiembre	2009	A través de una ETT	Mujeres	Temporal	0	720	0	0	Aragón
Septiembre 2009	200909	Septiembre	2009	A través de una ETT	Mujeres	Temporal	1	503	6680	13,28031809145129224652087475149105367793	Aragón
Septiembre 2009	200909	Septiembre	2009	Otros	Hombres	Temporal	0	9226	0	0	Aragón
Septiembre 2009	200909	Septiembre	2009	Otros	Hombres	Temporal	1	7785	928516	119,269877970456005138086062941554271034	Aragón
Septiembre 2009	200909	Septiembre	2009	Otros	Mujeres	Temporal	0	6712	0	0	Aragón
Septiembre 2009	200909	Septiembre	2009	Otros	Mujeres	Temporal	1	8471	860432	101,573840160547751150985715972140243183	Aragón
Agosto 2009	200908	Agosto	2009	A través de una ETT	Hombres	Temporal	0	1290	0	0	Aragón
Agosto 2009	200908	Agosto	2009	A través de una ETT	Hombres	Temporal	1	1051	12673	12,05803996194100856327307326355851569933	Aragón
Agosto 2009	200908	Agosto	2009	A través de una ETT	Mujeres	Temporal	0	517	0	0	Aragón
Agosto 2009	200908	Agosto	2009	A través de una ETT	Mujeres	Temporal	1	551	7714	14	Aragón
Agosto 2009	200908	Agosto	2009	Otros	Hombres	Temporal	0	6548	0	0	Aragón
Agosto 2009	200908	Agosto	2009	Otros	Hombres	Temporal	1	5658	444179	78,50459526334393778720395899611170024744	Aragón
