Comarca codigo	Comarca nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Sexo, código	Sexo	Personas
07	Somontano de Barbastro	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	230,763686346
08	Cinca Medio	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	218,6955180306
09	La Litera / La Llitera	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	149,1678014642
10	Los Monegros	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	95,5359397466
11	Bajo Cinca / Baix Cinca	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	166,1363841317
12	Tarazona y el Moncayo	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	108,6959556126
13	Campo de Borja	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	150,5843513982
14	Aranda	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	16,5853668239
15	Ribera Alta del Ebro	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	235,3256545403
16	Valdejalón	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	258,8405405695
17	D.C. Zaragoza	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	12829,009835808
18	Ribera Baja del Ebro	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	104,8972243534
19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	69,4216314281
20	Comunidad de Calatayud	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	386,1776485157
21	Campo de Cariñena	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	75,6389838496
22	Campo de Belchite	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	40,2279990828
23	Bajo Martín	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	30,6568797063
24	Campo de Daroca	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	40,2089646848
25	Jiloca	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	46,3200424788
26	Cuencas Mineras	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	48,9803644306
27	Andorra-Sierra de Arcos	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	79,4404945458
28	Bajo Aragón	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	232,0918646973
29	Comunidad de Teruel	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	673,8983612297
30	Maestrazgo	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	11,696607157
31	Sierra de Albarracín	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	25,7832656716
32	Gúdar-Javalambre	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	62,6837942384
33	Matarraña / Matarranya	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	61,3297908358
01	La Jacetania	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	627,5423800692
02	Alto Gállego	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	671,3516424869
03	Sobrarbe	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	242,0615771118
04	La Ribagorza	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	690,237321533
05	Cinco Villas	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	1242,3536490251
06	Hoya de Huesca / Plana de Uesca	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	2379,5083878093
07	Somontano de Barbastro	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	1100,339684631
08	Cinca Medio	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	1617,7152573217
09	La Litera / La Llitera	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	706,8853610978
10	Los Monegros	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	626,8905809018
