Año	Grupo Antigüedad	Nº Accidentes	Temporalidad	CCAA
2012	Hasta 3 meses	1599	Temporal	Aragón
2012	Hasta 3 meses	14	Sin clasificar	Aragón
2012	De 4 a 6 meses	192	Indefinido	Aragón
2012	De 4 a 6 meses	467	Temporal	Aragón
2012	De 4 a 6 meses	14	Sin clasificar	Aragón
2012	De 7 a 9 meses	179	Indefinido	Aragón
2012	De 7 a 9 meses	292	Temporal	Aragón
2012	De 7 a 9 meses	6	Sin clasificar	Aragón
2012	De 10 a 12 meses	160	Indefinido	Aragón
2012	De 10 a 12 meses	186	Temporal	Aragón
2012	De 10 a 12 meses	7	Sin clasificar	Aragón
2012	De 13 meses a 3 años	1396	Indefinido	Aragón
2012	De 13 meses a 3 años	522	Temporal	Aragón
2012	De 13 meses a 3 años	43	Sin clasificar	Aragón
2012	De 37 meses a 10 años	3521	Indefinido	Aragón
2012	De 37 meses a 10 años	314	Temporal	Aragón
2012	De 37 meses a 10 años	174	Sin clasificar	Aragón
2012	Más de 10 años	1617	Indefinido	Aragón
2012	Más de 10 años	51	Temporal	Aragón
2012	Más de 10 años	86	Sin clasificar	Aragón
2011	Hasta 3 meses	369	Indefinido	Aragón
2011	Hasta 3 meses	2087	Temporal	Aragón
2011	Hasta 3 meses	19	Sin clasificar	Aragón
2011	De 4 a 6 meses	281	Indefinido	Aragón
2011	De 4 a 6 meses	673	Temporal	Aragón
2011	De 4 a 6 meses	11	Sin clasificar	Aragón
2011	De 7 a 9 meses	234	Indefinido	Aragón
2011	De 7 a 9 meses	433	Temporal	Aragón
2011	De 7 a 9 meses	11	Sin clasificar	Aragón
2011	De 10 a 12 meses	247	Indefinido	Aragón
2011	De 10 a 12 meses	269	Temporal	Aragón
2011	De 10 a 12 meses	10	Sin clasificar	Aragón
2011	De 13 meses a 3 años	1716	Indefinido	Aragón
2011	De 13 meses a 3 años	631	Temporal	Aragón
2011	De 13 meses a 3 años	49	Sin clasificar	Aragón
2011	De 37 meses a 10 años	4248	Indefinido	Aragón
2011	De 37 meses a 10 años	378	Temporal	Aragón
2011	De 37 meses a 10 años	170	Sin clasificar	Aragón
2011	Más de 10 años	1784	Indefinido	Aragón
2011	Más de 10 años	42	Temporal	Aragón
2011	Más de 10 años	71	Sin clasificar	Aragón
2010	Hasta 3 meses	391	Indefinido	Aragón
2010	Hasta 3 meses	2194	Temporal	Aragón
2010	Hasta 3 meses	18	Sin clasificar	Aragón
2010	De 4 a 6 meses	221	Indefinido	Aragón
2010	De 4 a 6 meses	817	Temporal	Aragón
2010	De 4 a 6 meses	4	Sin clasificar	Aragón
2010	De 7 a 9 meses	222	Indefinido	Aragón
2010	De 7 a 9 meses	468	Temporal	Aragón
2010	De 7 a 9 meses	8	Sin clasificar	Aragón
2010	De 10 a 12 meses	238	Indefinido	Aragón
2010	De 10 a 12 meses	289	Temporal	Aragón
2010	De 10 a 12 meses	4	Sin clasificar	Aragón
2010	De 13 meses a 3 años	2165	Indefinido	Aragón
2010	De 13 meses a 3 años	835	Temporal	Aragón
2010	De 13 meses a 3 años	95	Sin clasificar	Aragón
2010	De 37 meses a 10 años	4225	Indefinido	Aragón
2010	De 37 meses a 10 años	400	Temporal	Aragón
2010	De 37 meses a 10 años	70	Sin clasificar	Aragón
2010	Más de 10 años	2370	Indefinido	Aragón
2010	Más de 10 años	60	Temporal	Aragón
2010	Más de 10 años	100	Sin clasificar	Aragón
2009	Hasta 3 meses	352	Indefinido	Aragón
2009	Hasta 3 meses	2330	Temporal	Aragón
2009	Hasta 3 meses	17	Sin clasificar	Aragón
2009	Hasta 3 meses	2		Aragón
2009	De 4 a 6 meses	276	Indefinido	Aragón
2009	De 4 a 6 meses	847	Temporal	Aragón
2009	De 4 a 6 meses	1		Aragón
2009	De 4 a 6 meses	6	Sin clasificar	Aragón
2009	De 7 a 9 meses	259	Indefinido	Aragón
2009	De 7 a 9 meses	481	Temporal	Aragón
2009	De 7 a 9 meses	7	Sin clasificar	Aragón
2009	De 10 a 12 meses	330	Indefinido	Aragón
2009	De 10 a 12 meses	386	Temporal	Aragón
2009	De 10 a 12 meses	11	Sin clasificar	Aragón
2009	De 13 meses a 3 años	2866	Indefinido	Aragón
2009	De 13 meses a 3 años	1043	Temporal	Aragón
2009	De 13 meses a 3 años	82	Sin clasificar	Aragón
2009	De 13 meses a 3 años	2		Aragón
2009	De 37 meses a 10 años	3937	Indefinido	Aragón
2009	De 37 meses a 10 años	381	Temporal	Aragón
2009	De 37 meses a 10 años	96	Sin clasificar	Aragón
2009	De 37 meses a 10 años	2		Aragón
2009	Más de 10 años	2180	Indefinido	Aragón
2009	Más de 10 años	40	Temporal	Aragón
2009	Más de 10 años	83	Sin clasificar	Aragón
2009	Más de 10 años	1		Aragón
2008	Hasta 3 meses	613	Indefinido	Aragón
2008	Hasta 3 meses	4501	Temporal	Aragón
2008	Hasta 3 meses	30	Sin clasificar	Aragón
2008	De 4 a 6 meses	452	Indefinido	Aragón
2008	De 4 a 6 meses	1768	Temporal	Aragón
2008	De 4 a 6 meses	26	Sin clasificar	Aragón
2008	De 7 a 9 meses	514	Indefinido	Aragón
2008	De 7 a 9 meses	1126	Temporal	Aragón
2008	De 7 a 9 meses	19	Sin clasificar	Aragón
2008	De 10 a 12 meses	591	Indefinido	Aragón
2008	De 10 a 12 meses	736	Temporal	Aragón
2008	De 10 a 12 meses	24	Sin clasificar	Aragón
2008	De 13 meses a 3 años	3644	Indefinido	Aragón
2008	De 13 meses a 3 años	1507	Temporal	Aragón
2008	De 13 meses a 3 años	59	Sin clasificar	Aragón
2008	De 37 meses a 10 años	4403	Indefinido	Aragón
2008	De 37 meses a 10 años	401	Temporal	Aragón
2008	De 37 meses a 10 años	81	Sin clasificar	Aragón
2008	Más de 10 años	2420	Indefinido	Aragón
2008	Más de 10 años	51	Temporal	Aragón
2008	Más de 10 años	84	Sin clasificar	Aragón
2007	Hasta 3 meses	680	Indefinido	Aragón
2007	Hasta 3 meses	5904	Temporal	Aragón
2007	Hasta 3 meses	3		Aragón
2007	Hasta 3 meses	13	Sin clasificar	Aragón
2007	De 4 a 6 meses	498	Indefinido	Aragón
2007	De 4 a 6 meses	2143	Temporal	Aragón
2007	De 4 a 6 meses	8	Sin clasificar	Aragón
2007	De 4 a 6 meses	2		Aragón
2007	De 7 a 9 meses	523	Indefinido	Aragón
2007	De 7 a 9 meses	1302	Temporal	Aragón
2007	De 7 a 9 meses	4		Aragón
2007	De 7 a 9 meses	3	Sin clasificar	Aragón
2007	De 10 a 12 meses	616	Indefinido	Aragón
2007	De 10 a 12 meses	843	Temporal	Aragón
