Comarca codigo	Comarca nombre	Sexo, código	Sexo	Relación lugar de residencia y nacimiento com	Relación lugar de residencia y nacimiento com, código	Personas
07	Somontano de Barbastro	1	Hombre	El Extranjero	06	1308,2964962854
07	Somontano de Barbastro	1	Hombre	El mismo municipio que reside	01	5493,3398349065
07	Somontano de Barbastro	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	2150,0097239727
07	Somontano de Barbastro	1	Hombre	Otro municipio de la misma comarca	02	1171,7291609777
07	Somontano de Barbastro	1	Hombre	Resto de España	05	1871,3200847229
08	Cinca Medio	1	Hombre	El Extranjero	06	1924,9945745545
08	Cinca Medio	1	Hombre	El mismo municipio que reside	01	4179,1412941971
08	Cinca Medio	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	4133,091068506
08	Cinca Medio	1	Hombre	Otro municipio de la misma comarca	02	371,5597282243
08	Cinca Medio	1	Hombre	Resto de España	05	1741,280343168
09	La Litera / La Llitera	1	Hombre	El Extranjero	06	1316,6699233269
09	La Litera / La Llitera	1	Hombre	El mismo municipio que reside	01	3899,0829121602
09	La Litera / La Llitera	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	2005,6057427674
09	La Litera / La Llitera	1	Hombre	Otro municipio de la misma comarca	02	426,6055658489
09	La Litera / La Llitera	1	Hombre	Resto de España	05	2181,3276390892
10	Los Monegros	1	Hombre	El Extranjero	06	1140,9804003953
10	Los Monegros	1	Hombre	El mismo municipio que reside	01	4394,8700019042
10	Los Monegros	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	3768,3295996032
10	Los Monegros	1	Hombre	Otro municipio de la misma comarca	02	355,2997600157
10	Los Monegros	1	Hombre	Resto de España	05	946,6695958103
11	Bajo Cinca / Baix Cinca	1	Hombre	El Extranjero	06	1917,156082351
11	Bajo Cinca / Baix Cinca	1	Hombre	El mismo municipio que reside	01	6284,4393423191
11	Bajo Cinca / Baix Cinca	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1010,2065290462
11	Bajo Cinca / Baix Cinca	1	Hombre	Otro municipio de la misma comarca	02	516,2185776517
11	Bajo Cinca / Baix Cinca	1	Hombre	Resto de España	05	2904,1406906624
12	Tarazona y el Moncayo	1	Hombre	El Extranjero	06	553,7513969672
12	Tarazona y el Moncayo	1	Hombre	El mismo municipio que reside	01	3541,101214839
12	Tarazona y el Moncayo	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1498,0755330274
12	Tarazona y el Moncayo	1	Hombre	Otro municipio de la misma comarca	02	248,8499187726
12	Tarazona y el Moncayo	1	Hombre	Resto de España	05	1434,7557675895
13	Campo de Borja	1	Hombre	El Extranjero	06	1048,7916917169
13	Campo de Borja	1	Hombre	El mismo municipio que reside	01	3587,1581210293
13	Campo de Borja	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	2247,3834581203
13	Campo de Borja	1	Hombre	Otro municipio de la misma comarca	02	349,5744064081
13	Campo de Borja	1	Hombre	Resto de España	05	572,1699980297
14	Aranda	1	Hombre	El Extranjero	06	421,4032869944
14	Aranda	1	Hombre	El mismo municipio que reside	01	1638,2918993384
14	Aranda	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1326,1825300323
14	Aranda	1	Hombre	Otro municipio de la misma comarca	02	301,5514460055
14	Aranda	1	Hombre	Resto de España	05	148,353498134
15	Ribera Alta del Ebro	1	Hombre	El Extranjero	06	1670,7397258946
15	Ribera Alta del Ebro	1	Hombre	El mismo municipio que reside	01	5375,6478961793
15	Ribera Alta del Ebro	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	5303,680541422
15	Ribera Alta del Ebro	1	Hombre	Otro municipio de la misma comarca	02	388,6374809013
15	Ribera Alta del Ebro	1	Hombre	Resto de España	05	1373,9059294828
16	Valdejalón	1	Hombre	El Extranjero	06	3355,2223964509
16	Valdejalón	1	Hombre	El mismo municipio que reside	01	5383,6836745315
16	Valdejalón	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	4856,3519090222
16	Valdejalón	1	Hombre	Otro municipio de la misma comarca	02	449,7614147788
16	Valdejalón	1	Hombre	Resto de España	05	1484,3734433175
17	D.C. Zaragoza	1	Hombre	El Extranjero	06	48812,1597482014
17	D.C. Zaragoza	1	Hombre	El mismo municipio que reside	01	193147,491198781
17	D.C. Zaragoza	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	51016,0209410686
17	D.C. Zaragoza	1	Hombre	Otro municipio de la misma comarca	02	19965,460319153
17	D.C. Zaragoza	1	Hombre	Resto de España	05	51629,6972090628
18	Ribera Baja del Ebro	1	Hombre	El Extranjero	06	270,9269757287
18	Ribera Baja del Ebro	1	Hombre	El mismo municipio que reside	01	2268,7180960716
18	Ribera Baja del Ebro	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1694,450921228
18	Ribera Baja del Ebro	1	Hombre	Otro municipio de la misma comarca	02	120,0483630884
18	Ribera Baja del Ebro	1	Hombre	Resto de España	05	428,6475502055
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Hombre	El Extranjero	06	1467,2065932106
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Hombre	El mismo municipio que reside	01	3713,5713757739
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1671,5642948221
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Hombre	Otro municipio de la misma comarca	02	83,6302890756
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Hombre	Resto de España	05	864,6623317463
20	Comunidad de Calatayud	1	Hombre	El Extranjero	06	3282,2983974943
20	Comunidad de Calatayud	1	Hombre	El mismo municipio que reside	01	10512,2384066237
20	Comunidad de Calatayud	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1694,9624495154
20	Comunidad de Calatayud	1	Hombre	Otro municipio de la misma comarca	02	3049,3653669088
20	Comunidad de Calatayud	1	Hombre	Resto de España	05	2095,7044052629
21	Campo de Cariñena	1	Hombre	El Extranjero	06	1307,6539483265
21	Campo de Cariñena	1	Hombre	El mismo municipio que reside	01	2422,9233511232
21	Campo de Cariñena	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1771,8500834868
21	Campo de Cariñena	1	Hombre	Otro municipio de la misma comarca	02	121,0651740062
21	Campo de Cariñena	1	Hombre	Resto de España	05	238,8633430348
22	Campo de Belchite	1	Hombre	El Extranjero	06	251,9064123594
22	Campo de Belchite	1	Hombre	El mismo municipio que reside	01	1447,556136746
22	Campo de Belchite	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	880,4482898308
22	Campo de Belchite	1	Hombre	Otro municipio de la misma comarca	02	90,9899405284
22	Campo de Belchite	1	Hombre	Resto de España	05	122,4618337948
23	Bajo Martín	1	Hombre	El Extranjero	06	387,5187124773
23	Bajo Martín	1	Hombre	El mismo municipio que reside	01	1806,6251026648
23	Bajo Martín	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1001,5585000515
23	Bajo Martín	1	Hombre	Otro municipio de la misma comarca	02	91,3071555663
23	Bajo Martín	1	Hombre	Resto de España	05	223,4441591519
24	Campo de Daroca	1	Hombre	El Extranjero	06	295,7243242081
24	Campo de Daroca	1	Hombre	El mismo municipio que reside	01	1628,2369144379
24	Campo de Daroca	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	993,0686042658
24	Campo de Daroca	1	Hombre	Otro municipio de la misma comarca	02	228,0300291672
24	Campo de Daroca	1	Hombre	Resto de España	05	125,6456484544
25	Jiloca	1	Hombre	El Extranjero	06	793,1313891467
25	Jiloca	1	Hombre	El mismo municipio que reside	01	3375,5304340834
25	Jiloca	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1971,2504938976
25	Jiloca	1	Hombre	Otro municipio de la misma comarca	02	475,3433824399
25	Jiloca	1	Hombre	Resto de España	05	408,1240958424
26	Cuencas Mineras	1	Hombre	El Extranjero	06	714,2119489429
26	Cuencas Mineras	1	Hombre	El mismo municipio que reside	01	1769,7552173577
26	Cuencas Mineras	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1320,9184172959
26	Cuencas Mineras	1	Hombre	Otro municipio de la misma comarca	02	269,507138274
26	Cuencas Mineras	1	Hombre	Resto de España	05	655,6547920391
27	Andorra-Sierra de Arcos	1	Hombre	El Extranjero	06	661,1084448235
27	Andorra-Sierra de Arcos	1	Hombre	El mismo municipio que reside	01	2677,1035264598
27	Andorra-Sierra de Arcos	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1642,3641895457
27	Andorra-Sierra de Arcos	1	Hombre	Otro municipio de la misma comarca	02	105,3116530958
27	Andorra-Sierra de Arcos	1	Hombre	Resto de España	05	676,5166496597
28	Bajo Aragón	1	Hombre	El Extranjero	06	2421,9786690847
28	Bajo Aragón	1	Hombre	El mismo municipio que reside	01	7042,2851608102
28	Bajo Aragón	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	2205,5014702361
28	Bajo Aragón	1	Hombre	Otro municipio de la misma comarca	02	1654,8095235365
28	Bajo Aragón	1	Hombre	Resto de España	05	1777,442403617
29	Comunidad de Teruel	1	Hombre	El Extranjero	06	2454,2847720651
29	Comunidad de Teruel	1	Hombre	El mismo municipio que reside	01	12617,4872785391
29	Comunidad de Teruel	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	2386,948702839
29	Comunidad de Teruel	1	Hombre	Otro municipio de la misma comarca	02	2658,0978919012
29	Comunidad de Teruel	1	Hombre	Resto de España	05	2822,6198038784
30	Maestrazgo	1	Hombre	El Extranjero	06	178,6896587601
30	Maestrazgo	1	Hombre	El mismo municipio que reside	01	949,2565415892
30	Maestrazgo	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	518,0734159287
30	Maestrazgo	1	Hombre	Otro municipio de la misma comarca	02	74,9709375724
30	Maestrazgo	1	Hombre	Resto de España	05	192,1671806423
31	Sierra de Albarracín	1	Hombre	El Extranjero	06	186,3403567123
31	Sierra de Albarracín	1	Hombre	El mismo municipio que reside	01	1364,5574541707
31	Sierra de Albarracín	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	657,8068325485
31	Sierra de Albarracín	1	Hombre	Otro municipio de la misma comarca	02	117,3076075931
31	Sierra de Albarracín	1	Hombre	Resto de España	05	328,1978569575
32	Gúdar-Javalambre	1	Hombre	El Extranjero	06	594,0686214547
32	Gúdar-Javalambre	1	Hombre	El mismo municipio que reside	01	1850,1724069076
32	Gúdar-Javalambre	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	894,0061432941
32	Gúdar-Javalambre	1	Hombre	Otro municipio de la misma comarca	02	284,5711183262
32	Gúdar-Javalambre	1	Hombre	Resto de España	05	781,889218098
33	Matarraña / Matarranya	1	Hombre	El Extranjero	06	552,4987013823
33	Matarraña / Matarranya	1	Hombre	El mismo municipio que reside	01	2249,9402970355
33	Matarraña / Matarranya	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	799,5461416282
33	Matarraña / Matarranya	1	Hombre	Otro municipio de la misma comarca	02	267,7400137511
33	Matarraña / Matarranya	1	Hombre	Resto de España	05	670,9200633925
01	La Jacetania	6	Mujer	El Extranjero	06	871,8638682782
01	La Jacetania	6	Mujer	El mismo municipio que reside	01	3519,5233670848
01	La Jacetania	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	2085,3401696554
01	La Jacetania	6	Mujer	Otro municipio de la misma comarca	02	883,1759489097
01	La Jacetania	6	Mujer	Resto de España	05	1444,2967999383
02	Alto Gállego	6	Mujer	El Extranjero	06	1034,4476738051
02	Alto Gállego	6	Mujer	El mismo municipio que reside	01	1777,1342819624
02	Alto Gállego	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	2882,5097834096
02	Alto Gállego	6	Mujer	Otro municipio de la misma comarca	02	389,9689122899
02	Alto Gállego	6	Mujer	Resto de España	05	868,1342142643
03	Sobrarbe	6	Mujer	El Extranjero	06	575,194242687
03	Sobrarbe	6	Mujer	El mismo municipio que reside	01	1205,2792468859
03	Sobrarbe	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	905,8770368325
03	Sobrarbe	6	Mujer	Otro municipio de la misma comarca	02	332,6957978212
03	Sobrarbe	6	Mujer	Resto de España	05	536,9469888936
04	La Ribagorza	6	Mujer	El Extranjero	06	833,4013209614
04	La Ribagorza	6	Mujer	El mismo municipio que reside	01	1814,2305508781
04	La Ribagorza	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1503,9846008287
04	La Ribagorza	6	Mujer	Otro municipio de la misma comarca	02	605,4952929861
04	La Ribagorza	6	Mujer	Resto de España	05	1284,4585791904
05	Cinco Villas	6	Mujer	El Extranjero	06	1435,5167508901
05	Cinco Villas	6	Mujer	El mismo municipio que reside	01	7669,5071936439
05	Cinco Villas	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	4539,8072156089
05	Cinco Villas	6	Mujer	Otro municipio de la misma comarca	02	831,9857106005
05	Cinco Villas	6	Mujer	Resto de España	05	1078,4602863545
06	Hoya de Huesca / Plana de Uesca	6	Mujer	El Extranjero	06	3120,5852505036
06	Hoya de Huesca / Plana de Uesca	6	Mujer	El mismo municipio que reside	01	15362,3469813818
06	Hoya de Huesca / Plana de Uesca	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	6277,3214056286
06	Hoya de Huesca / Plana de Uesca	6	Mujer	Otro municipio de la misma comarca	02	4766,3697110787
06	Hoya de Huesca / Plana de Uesca	6	Mujer	Resto de España	05	4305,5631603964
07	Somontano de Barbastro	6	Mujer	El Extranjero	06	1128,5799920518
07	Somontano de Barbastro	6	Mujer	El mismo municipio que reside	01	5024,8991261576
07	Somontano de Barbastro	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	2682,9863424781
07	Somontano de Barbastro	6	Mujer	Otro municipio de la misma comarca	02	1372,2230608393
07	Somontano de Barbastro	6	Mujer	Resto de España	05	1798,3235902695
08	Cinca Medio	6	Mujer	El Extranjero	06	1361,0895600671
08	Cinca Medio	6	Mujer	El mismo municipio que reside	01	4134,336888512
08	Cinca Medio	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	3807,9008905888
08	Cinca Medio	6	Mujer	Otro municipio de la misma comarca	02	369,8597219813
08	Cinca Medio	6	Mujer	Resto de España	05	1888,8534961956
09	La Litera / La Llitera	6	Mujer	El Extranjero	06	994,2914682584
09	La Litera / La Llitera	6	Mujer	El mismo municipio que reside	01	3657,3133161715
09	La Litera / La Llitera	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1717,91314791
09	La Litera / La Llitera	6	Mujer	Otro municipio de la misma comarca	02	642,9771667268
09	La Litera / La Llitera	6	Mujer	Resto de España	05	1931,9164509082
10	Los Monegros	6	Mujer	El Extranjero	06	879,5191448725
10	Los Monegros	6	Mujer	El mismo municipio que reside	01	3843,3230975265
10	Los Monegros	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	3494,0991604115
10	Los Monegros	6	Mujer	Otro municipio de la misma comarca	02	639,9152614549
10	Los Monegros	6	Mujer	Resto de España	05	972,9642547652
11	Bajo Cinca / Baix Cinca	6	Mujer	El Extranjero	06	1581,4096693236
11	Bajo Cinca / Baix Cinca	6	Mujer	El mismo municipio que reside	01	5871,1382374111
11	Bajo Cinca / Baix Cinca	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	985,9993481125
11	Bajo Cinca / Baix Cinca	6	Mujer	Otro municipio de la misma comarca	02	620,7486527597
11	Bajo Cinca / Baix Cinca	6	Mujer	Resto de España	05	2756,9828738838
12	Tarazona y el Moncayo	6	Mujer	El Extranjero	06	549,7324445563
12	Tarazona y el Moncayo	6	Mujer	El mismo municipio que reside	01	3295,7791098306
12	Tarazona y el Moncayo	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1702,2525577535
12	Tarazona y el Moncayo	6	Mujer	Otro municipio de la misma comarca	02	296,7533100251
12	Tarazona y el Moncayo	6	Mujer	Resto de España	05	1283,4048468807
13	Campo de Borja	6	Mujer	El Extranjero	06	707,8003455116
13	Campo de Borja	6	Mujer	El mismo municipio que reside	01	3283,7010586012
13	Campo de Borja	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	2145,0975503764
13	Campo de Borja	6	Mujer	Otro municipio de la misma comarca	02	463,481208529
13	Campo de Borja	6	Mujer	Resto de España	05	474,317137405
14	Aranda	6	Mujer	El Extranjero	06	352,3119549425
14	Aranda	6	Mujer	El mismo municipio que reside	01	1601,1174223884
14	Aranda	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1154,8891542533
14	Aranda	6	Mujer	Otro municipio de la misma comarca	02	257,5148771311
14	Aranda	6	Mujer	Resto de España	05	178,5372306995
15	Ribera Alta del Ebro	6	Mujer	El Extranjero	06	1418,5689331631
15	Ribera Alta del Ebro	6	Mujer	El mismo municipio que reside	01	4733,9174525126
15	Ribera Alta del Ebro	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	5433,1011767432
15	Ribera Alta del Ebro	6	Mujer	Otro municipio de la misma comarca	02	342,4874582325
15	Ribera Alta del Ebro	6	Mujer	Resto de España	05	1197,9225136995
16	Valdejalón	6	Mujer	El Extranjero	06	2711,6405122973
16	Valdejalón	6	Mujer	El mismo municipio que reside	01	4671,9756647321
16	Valdejalón	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	4678,103098671
16	Valdejalón	6	Mujer	Otro municipio de la misma comarca	02	760,5191217439
16	Valdejalón	6	Mujer	Resto de España	05	1096,1270290771
17	D.C. Zaragoza	6	Mujer	El Extranjero	06	45722,82118117
17	D.C. Zaragoza	6	Mujer	El mismo municipio que reside	01	193085,986711462
17	D.C. Zaragoza	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	65173,2916617312
17	D.C. Zaragoza	6	Mujer	Otro municipio de la misma comarca	02	19105,7070096293
17	D.C. Zaragoza	6	Mujer	Resto de España	05	59610,7233160079
18	Ribera Baja del Ebro	6	Mujer	El Extranjero	06	278,7573071621
18	Ribera Baja del Ebro	6	Mujer	El mismo municipio que reside	01	2006,6361843796
18	Ribera Baja del Ebro	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1605,6077918106
18	Ribera Baja del Ebro	6	Mujer	Otro municipio de la misma comarca	02	174,45631723
18	Ribera Baja del Ebro	6	Mujer	Resto de España	05	485,7770535077
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Mujer	El Extranjero	06	1062,3992392751
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Mujer	El mismo municipio que reside	01	3301,8441898159
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1638,9136615275
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Mujer	Otro municipio de la misma comarca	02	110,1704914032
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Mujer	Resto de España	05	908,2139335172
20	Comunidad de Calatayud	6	Mujer	El Extranjero	06	2964,3227419717
20	Comunidad de Calatayud	6	Mujer	El mismo municipio que reside	01	9430,2605530776
20	Comunidad de Calatayud	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	2006,8062551697
20	Comunidad de Calatayud	6	Mujer	Otro municipio de la misma comarca	02	3072,2510597819
20	Comunidad de Calatayud	6	Mujer	Resto de España	05	2056,8925088415
21	Campo de Cariñena	6	Mujer	El Extranjero	06	732,9517907661
21	Campo de Cariñena	6	Mujer	El mismo municipio que reside	01	2230,4652965091
21	Campo de Cariñena	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1654,2506307981
21	Campo de Cariñena	6	Mujer	Otro municipio de la misma comarca	02	230,6696613065
21	Campo de Cariñena	6	Mujer	Resto de España	05	246,2048032863
22	Campo de Belchite	6	Mujer	El Extranjero	06	146,8238234938
22	Campo de Belchite	6	Mujer	El mismo municipio que reside	01	1249,0099012528
22	Campo de Belchite	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	744,6802043222
22	Campo de Belchite	6	Mujer	Otro municipio de la misma comarca	02	83,5665098506
22	Campo de Belchite	6	Mujer	Resto de España	05	125,0433557609
23	Bajo Martín	6	Mujer	El Extranjero	06	305,8405373489
23	Bajo Martín	6	Mujer	El mismo municipio que reside	01	1820,1938119018
23	Bajo Martín	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	881,5546913482
23	Bajo Martín	6	Mujer	Otro municipio de la misma comarca	02	151,2301231532
23	Bajo Martín	6	Mujer	Resto de España	05	213,6535798305
24	Campo de Daroca	6	Mujer	El Extranjero	06	250,704148629
24	Campo de Daroca	6	Mujer	El mismo municipio que reside	01	1282,7797026174
24	Campo de Daroca	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	893,3724458972
24	Campo de Daroca	6	Mujer	Otro municipio de la misma comarca	02	251,595685383
24	Campo de Daroca	6	Mujer	Resto de España	05	135,7713710449
25	Jiloca	6	Mujer	El Extranjero	06	687,2961220237
25	Jiloca	6	Mujer	El mismo municipio que reside	01	2829,8448288501
25	Jiloca	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1836,5875581536
25	Jiloca	6	Mujer	Otro municipio de la misma comarca	02	549,8881302841
25	Jiloca	6	Mujer	Resto de España	05	455,8240150599
26	Cuencas Mineras	6	Mujer	El Extranjero	06	457,3046483609
26	Cuencas Mineras	6	Mujer	El mismo municipio que reside	01	1466,8126637505
26	Cuencas Mineras	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1245,0381929631
26	Cuencas Mineras	6	Mujer	Otro municipio de la misma comarca	02	270,81552624
26	Cuencas Mineras	6	Mujer	Resto de España	05	660,5726574103
27	Andorra-Sierra de Arcos	6	Mujer	El Extranjero	06	513,4186871887
27	Andorra-Sierra de Arcos	6	Mujer	El mismo municipio que reside	01	2364,9502166422
27	Andorra-Sierra de Arcos	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	1543,2895632655
27	Andorra-Sierra de Arcos	6	Mujer	Otro municipio de la misma comarca	02	171,9577377286
27	Andorra-Sierra de Arcos	6	Mujer	Resto de España	05	787,5475848417
28	Bajo Aragón	6	Mujer	El Extranjero	06	1832,0883023491
28	Bajo Aragón	6	Mujer	El mismo municipio que reside	01	7055,6569894649
28	Bajo Aragón	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	2372,7920774244
28	Bajo Aragón	6	Mujer	Otro municipio de la misma comarca	02	1537,1230595956
28	Bajo Aragón	6	Mujer	Resto de España	05	1794,2348498024
29	Comunidad de Teruel	6	Mujer	El Extranjero	06	2440,5821358028
29	Comunidad de Teruel	6	Mujer	El mismo municipio que reside	01	12052,5249800767
29	Comunidad de Teruel	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	2799,424470402
29	Comunidad de Teruel	6	Mujer	Otro municipio de la misma comarca	02	2850,2037424602
29	Comunidad de Teruel	6	Mujer	Resto de España	05	2847,4720725329
30	Maestrazgo	6	Mujer	El Extranjero	06	171,1188625967
30	Maestrazgo	6	Mujer	El mismo municipio que reside	01	795,2135637263
30	Maestrazgo	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	390,3509197114
30	Maestrazgo	6	Mujer	Otro municipio de la misma comarca	02	91,5692933103
30	Maestrazgo	6	Mujer	Resto de España	05	188,3269974088
31	Sierra de Albarracín	6	Mujer	El Extranjero	06	166,3421108422
31	Sierra de Albarracín	6	Mujer	El mismo municipio que reside	01	1002,8565937787
31	Sierra de Albarracín	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	516,9068431603
31	Sierra de Albarracín	6	Mujer	Otro municipio de la misma comarca	02	202,971569632
31	Sierra de Albarracín	6	Mujer	Resto de España	05	284,4152486157
32	Gúdar-Javalambre	6	Mujer	El Extranjero	06	485,245740282
32	Gúdar-Javalambre	6	Mujer	El mismo municipio que reside	01	1440,1352241982
32	Gúdar-Javalambre	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	647,3727623208
32	Gúdar-Javalambre	6	Mujer	Otro municipio de la misma comarca	02	332,7552996369
32	Gúdar-Javalambre	6	Mujer	Resto de España	05	865,2377686168
33	Matarraña / Matarranya	6	Mujer	El Extranjero	06	363,8996003016
33	Matarraña / Matarranya	6	Mujer	El mismo municipio que reside	01	1914,585162363
33	Matarraña / Matarranya	6	Mujer	Otro municipio de Aragón fuera de la comarca	03	665,7762740777
33	Matarraña / Matarranya	6	Mujer	Otro municipio de la misma comarca	02	363,8232947767
33	Matarraña / Matarranya	6	Mujer	Resto de España	05	745,501165437
