Municipio código	Municipio nombre	Explotaciones	Formación jefe explotación
22029	Antillón	2	Estudios universitarios agrarios
22029	Antillón	29	Experiencia agraria exclusivamente
22029	Antillón	7	Otra formación agraria o cursos agrarios
22032	Aragüés del Puerto	5	Experiencia agraria exclusivamente
22032	Aragüés del Puerto	4	Otra formación agraria o cursos agrarios
22035	Arén	5	Estudios profesionales agrarios
22035	Arén	3	Estudios universitarios agrarios
22035	Arén	66	Experiencia agraria exclusivamente
22035	Arén	11	Otra formación agraria o cursos agrarios
22036	Argavieso	2	Estudios profesionales agrarios
22036	Argavieso	21	Experiencia agraria exclusivamente
22036	Argavieso	5	Otra formación agraria o cursos agrarios
22037	Arguis	1	Estudios universitarios agrarios
22037	Arguis	11	Experiencia agraria exclusivamente
22037	Arguis	2	Otra formación agraria o cursos agrarios
22039	Ayerbe	7	Estudios profesionales agrarios
22039	Ayerbe	4	Estudios universitarios agrarios
22039	Ayerbe	69	Experiencia agraria exclusivamente
22039	Ayerbe	11	Otra formación agraria o cursos agrarios
22040	Azanuy-Alins	2	Estudios profesionales agrarios
22040	Azanuy-Alins	1	Estudios universitarios agrarios
22040	Azanuy-Alins	53	Experiencia agraria exclusivamente
22040	Azanuy-Alins	6	Otra formación agraria o cursos agrarios
22041	Azara	1	Estudios profesionales agrarios
22041	Azara	38	Experiencia agraria exclusivamente
22042	Azlor	3	Estudios profesionales agrarios
22042	Azlor	1	Estudios universitarios agrarios
22042	Azlor	30	Experiencia agraria exclusivamente
22042	Azlor	6	Otra formación agraria o cursos agrarios
22043	Baells	1	Estudios profesionales agrarios
22043	Baells	5	Estudios universitarios agrarios
22043	Baells	32	Experiencia agraria exclusivamente
22043	Baells	8	Otra formación agraria o cursos agrarios
22044	Bailo	6	Estudios profesionales agrarios
22044	Bailo	7	Estudios universitarios agrarios
22044	Bailo	50	Experiencia agraria exclusivamente
22044	Bailo	8	Otra formación agraria o cursos agrarios
22045	Baldellou	1	Estudios universitarios agrarios
22045	Baldellou	45	Experiencia agraria exclusivamente
22045	Baldellou	5	Otra formación agraria o cursos agrarios
22046	Ballobar	11	Estudios profesionales agrarios
22046	Ballobar	3	Estudios universitarios agrarios
22046	Ballobar	111	Experiencia agraria exclusivamente
22046	Ballobar	22	Otra formación agraria o cursos agrarios
22047	Banastás	1	Estudios universitarios agrarios
22047	Banastás	4	Experiencia agraria exclusivamente
22048	Barbastro	17	Estudios profesionales agrarios
22048	Barbastro	7	Estudios universitarios agrarios
22048	Barbastro	321	Experiencia agraria exclusivamente
22048	Barbastro	29	Otra formación agraria o cursos agrarios
22049	Barbués	3	Estudios profesionales agrarios
22049	Barbués	20	Experiencia agraria exclusivamente
22049	Barbués	8	Otra formación agraria o cursos agrarios
22050	Barbuñales	1	Estudios profesionales agrarios
22050	Barbuñales	2	Estudios universitarios agrarios
22050	Barbuñales	19	Experiencia agraria exclusivamente
22050	Barbuñales	3	Otra formación agraria o cursos agrarios
22051	Bárcabo	12	Estudios profesionales agrarios
22051	Bárcabo	7	Estudios universitarios agrarios
22051	Bárcabo	35	Experiencia agraria exclusivamente
22051	Bárcabo	14	Otra formación agraria o cursos agrarios
22052	Belver de Cinca	22	Estudios profesionales agrarios
22052	Belver de Cinca	10	Estudios universitarios agrarios
22052	Belver de Cinca	158	Experiencia agraria exclusivamente
22052	Belver de Cinca	41	Otra formación agraria o cursos agrarios
22053	Benabarre	20	Estudios profesionales agrarios
22053	Benabarre	5	Estudios universitarios agrarios
22053	Benabarre	112	Experiencia agraria exclusivamente
22053	Benabarre	27	Otra formación agraria o cursos agrarios
22054	Benasque	3	Estudios profesionales agrarios
22054	Benasque	1	Estudios universitarios agrarios
22054	Benasque	33	Experiencia agraria exclusivamente
22054	Benasque	3	Otra formación agraria o cursos agrarios
22055	Berbegal	10	Estudios profesionales agrarios
22055	Berbegal	4	Estudios universitarios agrarios
22055	Berbegal	61	Experiencia agraria exclusivamente
22055	Berbegal	14	Otra formación agraria o cursos agrarios
22057	Bielsa	6	Estudios profesionales agrarios
22057	Bielsa	17	Experiencia agraria exclusivamente
22057	Bielsa	2	Otra formación agraria o cursos agrarios
22058	Bierge	14	Estudios profesionales agrarios
22058	Bierge	4	Estudios universitarios agrarios
22058	Bierge	79	Experiencia agraria exclusivamente
22058	Bierge	14	Otra formación agraria o cursos agrarios
22059	Biescas	5	Estudios profesionales agrarios
22059	Biescas	2	Estudios universitarios agrarios
22059	Biescas	67	Experiencia agraria exclusivamente
22059	Biescas	10	Otra formación agraria o cursos agrarios
22060	Binaced	26	Estudios profesionales agrarios
22060	Binaced	9	Estudios universitarios agrarios
22060	Binaced	196	Experiencia agraria exclusivamente
22060	Binaced	41	Otra formación agraria o cursos agrarios
22061	Binéfar	8	Estudios profesionales agrarios
22061	Binéfar	4	Estudios universitarios agrarios
22061	Binéfar	149	Experiencia agraria exclusivamente
22061	Binéfar	20	Otra formación agraria o cursos agrarios
22062	Bisaurri	5	Estudios profesionales agrarios
22062	Bisaurri	1	Estudios universitarios agrarios
22062	Bisaurri	29	Experiencia agraria exclusivamente
22062	Bisaurri	13	Otra formación agraria o cursos agrarios
22063	Biscarrués	9	Estudios profesionales agrarios
22063	Biscarrués	3	Estudios universitarios agrarios
22063	Biscarrués	31	Experiencia agraria exclusivamente
22063	Biscarrués	7	Otra formación agraria o cursos agrarios
22064	Blecua y Torres	4	Estudios profesionales agrarios
22064	Blecua y Torres	1	Estudios universitarios agrarios
22064	Blecua y Torres	33	Experiencia agraria exclusivamente
22064	Blecua y Torres	5	Otra formación agraria o cursos agrarios
22066	Boltaña	10	Estudios profesionales agrarios
22066	Boltaña	2	Estudios universitarios agrarios
22066	Boltaña	31	Experiencia agraria exclusivamente
22066	Boltaña	3	Otra formación agraria o cursos agrarios
22067	Bonansa	7	Experiencia agraria exclusivamente
22067	Bonansa	6	Otra formación agraria o cursos agrarios
22068	Borau	1	Estudios profesionales agrarios
22068	Borau	5	Experiencia agraria exclusivamente
22069	Broto	5	Estudios profesionales agrarios
22069	Broto	2	Estudios universitarios agrarios
22069	Broto	39	Experiencia agraria exclusivamente
22069	Broto	3	Otra formación agraria o cursos agrarios
22072	Caldearenas	8	Estudios profesionales agrarios
22072	Caldearenas	1	Estudios universitarios agrarios
22072	Caldearenas	48	Experiencia agraria exclusivamente
22072	Caldearenas	7	Otra formación agraria o cursos agrarios
22074	Campo	2	Estudios profesionales agrarios
22074	Campo	1	Estudios universitarios agrarios
22074	Campo	8	Experiencia agraria exclusivamente
22074	Campo	2	Otra formación agraria o cursos agrarios
22075	Camporrells	2	Estudios profesionales agrarios
22075	Camporrells	1	Estudios universitarios agrarios
22075	Camporrells	33	Experiencia agraria exclusivamente
22075	Camporrells	12	Otra formación agraria o cursos agrarios
22076	Canal de Berdún	7	Estudios profesionales agrarios
22076	Canal de Berdún	2	Estudios universitarios agrarios
22076	Canal de Berdún	77	Experiencia agraria exclusivamente
22076	Canal de Berdún	16	Otra formación agraria o cursos agrarios
22077	Candasnos	9	Estudios profesionales agrarios
22077	Candasnos	2	Estudios universitarios agrarios
22077	Candasnos	63	Experiencia agraria exclusivamente
22077	Candasnos	28	Otra formación agraria o cursos agrarios
22078	Canfranc	2	Experiencia agraria exclusivamente
22078	Canfranc	2	Otra formación agraria o cursos agrarios
22079	Capdesaso	7	Estudios profesionales agrarios
22079	Capdesaso	13	Experiencia agraria exclusivamente
22079	Capdesaso	3	Otra formación agraria o cursos agrarios
22080	Capella	5	Estudios profesionales agrarios
22080	Capella	3	Estudios universitarios agrarios
22080	Capella	47	Experiencia agraria exclusivamente
22080	Capella	10	Otra formación agraria o cursos agrarios
22081	Casbas de Huesca	1	Estudios profesionales agrarios
22081	Casbas de Huesca	3	Estudios universitarios agrarios
22081	Casbas de Huesca	84	Experiencia agraria exclusivamente
22081	Casbas de Huesca	11	Otra formación agraria o cursos agrarios
22082	Castejón del Puente	11	Estudios profesionales agrarios
22082	Castejón del Puente	4	Estudios universitarios agrarios
22082	Castejón del Puente	32	Experiencia agraria exclusivamente
22082	Castejón del Puente	6	Otra formación agraria o cursos agrarios
22083	Castejón de Monegros	15	Estudios profesionales agrarios
22083	Castejón de Monegros	2	Estudios universitarios agrarios
22083	Castejón de Monegros	91	Experiencia agraria exclusivamente
22083	Castejón de Monegros	19	Otra formación agraria o cursos agrarios
22084	Castejón de Sos	3	Estudios profesionales agrarios
22084	Castejón de Sos	21	Experiencia agraria exclusivamente
22084	Castejón de Sos	4	Otra formación agraria o cursos agrarios
22085	Castelflorite	7	Estudios profesionales agrarios
22085	Castelflorite	1	Estudios universitarios agrarios
22085	Castelflorite	25	Experiencia agraria exclusivamente
22085	Castelflorite	9	Otra formación agraria o cursos agrarios
22086	Castiello de Jaca	1	Estudios universitarios agrarios
22086	Castiello de Jaca	14	Experiencia agraria exclusivamente
22087	Castigaleu	3	Estudios profesionales agrarios
22087	Castigaleu	1	Estudios universitarios agrarios
22087	Castigaleu	12	Experiencia agraria exclusivamente
22087	Castigaleu	4	Otra formación agraria o cursos agrarios
22088	Castillazuelo	2	Estudios profesionales agrarios
22088	Castillazuelo	4	Estudios universitarios agrarios
22088	Castillazuelo	37	Experiencia agraria exclusivamente
22088	Castillazuelo	3	Otra formación agraria o cursos agrarios
22089	Castillonroy	3	Estudios profesionales agrarios
22089	Castillonroy	3	Estudios universitarios agrarios
22089	Castillonroy	60	Experiencia agraria exclusivamente
22089	Castillonroy	11	Otra formación agraria o cursos agrarios
22090	Colungo	3	Estudios profesionales agrarios
22090	Colungo	1	Estudios universitarios agrarios
22090	Colungo	35	Experiencia agraria exclusivamente
22090	Colungo	4	Otra formación agraria o cursos agrarios
22094	Chalamera	1	Estudios universitarios agrarios
22094	Chalamera	23	Experiencia agraria exclusivamente
22094	Chalamera	4	Otra formación agraria o cursos agrarios
22095	Chía	12	Experiencia agraria exclusivamente
22096	Chimillas	10	Experiencia agraria exclusivamente
22096	Chimillas	2	Otra formación agraria o cursos agrarios
22099	Esplús	8	Estudios profesionales agrarios
22099	Esplús	8	Estudios universitarios agrarios
22099	Esplús	86	Experiencia agraria exclusivamente
22099	Esplús	15	Otra formación agraria o cursos agrarios
22102	Estada	2	Estudios profesionales agrarios
22102	Estada	2	Estudios universitarios agrarios
22102	Estada	22	Experiencia agraria exclusivamente
22102	Estada	5	Otra formación agraria o cursos agrarios
22103	Estadilla	10	Estudios profesionales agrarios
22103	Estadilla	3	Estudios universitarios agrarios
22103	Estadilla	99	Experiencia agraria exclusivamente
22103	Estadilla	19	Otra formación agraria o cursos agrarios
22105	Estopiñán del Castillo	2	Estudios profesionales agrarios
22105	Estopiñán del Castillo	8	Estudios universitarios agrarios
22105	Estopiñán del Castillo	70	Experiencia agraria exclusivamente
22105	Estopiñán del Castillo	5	Otra formación agraria o cursos agrarios
22106	Fago	1	Experiencia agraria exclusivamente
22107	Fanlo	2	Estudios profesionales agrarios
22107	Fanlo	3	Estudios universitarios agrarios
22107	Fanlo	23	Experiencia agraria exclusivamente
22107	Fanlo	3	Otra formación agraria o cursos agrarios
22109	Fiscal	4	Estudios profesionales agrarios
22109	Fiscal	1	Estudios universitarios agrarios
22109	Fiscal	25	Experiencia agraria exclusivamente
22109	Fiscal	6	Otra formación agraria o cursos agrarios
22110	Fonz	15	Estudios profesionales agrarios
22110	Fonz	3	Estudios universitarios agrarios
22110	Fonz	148	Experiencia agraria exclusivamente
22110	Fonz	14	Otra formación agraria o cursos agrarios
22111	Foradada del Toscar	4	Estudios profesionales agrarios
22111	Foradada del Toscar	3	Estudios universitarios agrarios
22111	Foradada del Toscar	52	Experiencia agraria exclusivamente
22111	Foradada del Toscar	10	Otra formación agraria o cursos agrarios
22112	Fraga	107	Estudios profesionales agrarios
22112	Fraga	23	Estudios universitarios agrarios
22112	Fraga	560	Experiencia agraria exclusivamente
22112	Fraga	141	Otra formación agraria o cursos agrarios
22113	Fueva (La)	11	Estudios profesionales agrarios
22113	Fueva (La)	4	Estudios universitarios agrarios
22113	Fueva (La)	98	Experiencia agraria exclusivamente
22113	Fueva (La)	15	Otra formación agraria o cursos agrarios
22114	Gistaín	1	Estudios profesionales agrarios
22114	Gistaín	29	Experiencia agraria exclusivamente
22114	Gistaín	4	Otra formación agraria o cursos agrarios
22115	Grado (El)	6	Estudios profesionales agrarios
22115	Grado (El)	2	Estudios universitarios agrarios
22115	Grado (El)	86	Experiencia agraria exclusivamente
22115	Grado (El)	10	Otra formación agraria o cursos agrarios
22116	Grañén	23	Estudios profesionales agrarios
22116	Grañén	6	Estudios universitarios agrarios
22116	Grañén	139	Experiencia agraria exclusivamente
22116	Grañén	38	Otra formación agraria o cursos agrarios
22117	Graus	37	Estudios profesionales agrarios
22117	Graus	7	Estudios universitarios agrarios
22117	Graus	209	Experiencia agraria exclusivamente
22117	Graus	30	Otra formación agraria o cursos agrarios
22119	Gurrea de Gállego	31	Estudios profesionales agrarios
22119	Gurrea de Gállego	8	Estudios universitarios agrarios
22119	Gurrea de Gállego	147	Experiencia agraria exclusivamente
22119	Gurrea de Gállego	25	Otra formación agraria o cursos agrarios
22122	Hoz de Jaca	2	Estudios profesionales agrarios
22122	Hoz de Jaca	2	Experiencia agraria exclusivamente
22122	Hoz de Jaca	1	Otra formación agraria o cursos agrarios
22124	Huerto	28	Estudios profesionales agrarios
22124	Huerto	2	Estudios universitarios agrarios
22124	Huerto	38	Experiencia agraria exclusivamente
22124	Huerto	19	Otra formación agraria o cursos agrarios
22125	Huesca	28	Estudios profesionales agrarios
22125	Huesca	11	Estudios universitarios agrarios
22125	Huesca	244	Experiencia agraria exclusivamente
22125	Huesca	33	Otra formación agraria o cursos agrarios
22126	Ibieca	3	Estudios profesionales agrarios
22126	Ibieca	1	Estudios universitarios agrarios
22126	Ibieca	15	Experiencia agraria exclusivamente
22126	Ibieca	4	Otra formación agraria o cursos agrarios
22127	Igriés	6	Estudios profesionales agrarios
22127	Igriés	22	Experiencia agraria exclusivamente
22127	Igriés	3	Otra formación agraria o cursos agrarios
22128	Ilche	11	Estudios profesionales agrarios
22128	Ilche	3	Estudios universitarios agrarios
22128	Ilche	60	Experiencia agraria exclusivamente
22128	Ilche	14	Otra formación agraria o cursos agrarios
22129	Isábena	10	Estudios profesionales agrarios
22129	Isábena	1	Estudios universitarios agrarios
22129	Isábena	35	Experiencia agraria exclusivamente
22129	Isábena	7	Otra formación agraria o cursos agrarios
22130	Jaca	21	Estudios profesionales agrarios
22130	Jaca	6	Estudios universitarios agrarios
22130	Jaca	156	Experiencia agraria exclusivamente
22130	Jaca	23	Otra formación agraria o cursos agrarios
22131	Jasa	1	Estudios profesionales agrarios
22131	Jasa	2	Experiencia agraria exclusivamente
22131	Jasa	3	Otra formación agraria o cursos agrarios
22133	Labuerda	1	Estudios profesionales agrarios
22133	Labuerda	7	Experiencia agraria exclusivamente
22133	Labuerda	1	Otra formación agraria o cursos agrarios
22135	Laluenga	10	Estudios profesionales agrarios
22135	Laluenga	2	Estudios universitarios agrarios
22135	Laluenga	34	Experiencia agraria exclusivamente
22135	Laluenga	12	Otra formación agraria o cursos agrarios
22136	Lalueza	44	Estudios profesionales agrarios
22136	Lalueza	3	Estudios universitarios agrarios
22136	Lalueza	114	Experiencia agraria exclusivamente
22136	Lalueza	35	Otra formación agraria o cursos agrarios
22137	Lanaja	23	Estudios profesionales agrarios
22137	Lanaja	2	Estudios universitarios agrarios
22137	Lanaja	177	Experiencia agraria exclusivamente
22137	Lanaja	32	Otra formación agraria o cursos agrarios
22139	Laperdiguera	2	Estudios profesionales agrarios
22139	Laperdiguera	15	Experiencia agraria exclusivamente
22139	Laperdiguera	4	Otra formación agraria o cursos agrarios
22141	Lascellas-Ponzano	3	Estudios profesionales agrarios
22141	Lascellas-Ponzano	1	Estudios universitarios agrarios
22141	Lascellas-Ponzano	32	Experiencia agraria exclusivamente
22141	Lascellas-Ponzano	12	Otra formación agraria o cursos agrarios
22142	Lascuarre	1	Estudios profesionales agrarios
22142	Lascuarre	2	Estudios universitarios agrarios
22142	Lascuarre	20	Experiencia agraria exclusivamente
22142	Lascuarre	6	Otra formación agraria o cursos agrarios
22143	Laspaúles	4	Estudios profesionales agrarios
22143	Laspaúles	3	Estudios universitarios agrarios
22143	Laspaúles	25	Experiencia agraria exclusivamente
22143	Laspaúles	6	Otra formación agraria o cursos agrarios
22144	Laspuña	2	Estudios profesionales agrarios
22144	Laspuña	25	Experiencia agraria exclusivamente
22144	Laspuña	5	Otra formación agraria o cursos agrarios
22149	Loarre	5	Estudios profesionales agrarios
22149	Loarre	3	Estudios universitarios agrarios
22149	Loarre	62	Experiencia agraria exclusivamente
22149	Loarre	11	Otra formación agraria o cursos agrarios
22150	Loporzano	6	Estudios profesionales agrarios
22150	Loporzano	6	Estudios universitarios agrarios
22150	Loporzano	89	Experiencia agraria exclusivamente
22150	Loporzano	15	Otra formación agraria o cursos agrarios
22151	Loscorrales	3	Estudios profesionales agrarios
22151	Loscorrales	1	Estudios universitarios agrarios
22151	Loscorrales	30	Experiencia agraria exclusivamente
22151	Loscorrales	3	Otra formación agraria o cursos agrarios
22155	Monesma y Cajigar	5	Estudios profesionales agrarios
22155	Monesma y Cajigar	3	Estudios universitarios agrarios
22155	Monesma y Cajigar	21	Experiencia agraria exclusivamente
22155	Monesma y Cajigar	3	Otra formación agraria o cursos agrarios
22156	Monflorite-Lascasas	7	Estudios profesionales agrarios
22156	Monflorite-Lascasas	5	Estudios universitarios agrarios
22156	Monflorite-Lascasas	31	Experiencia agraria exclusivamente
22156	Monflorite-Lascasas	2	Otra formación agraria o cursos agrarios
22157	Montanuy	6	Estudios profesionales agrarios
22157	Montanuy	2	Estudios universitarios agrarios
22157	Montanuy	61	Experiencia agraria exclusivamente
22157	Montanuy	29	Otra formación agraria o cursos agrarios
22158	Monzón	36	Estudios profesionales agrarios
22158	Monzón	16	Estudios universitarios agrarios
22158	Monzón	366	Experiencia agraria exclusivamente
22158	Monzón	59	Otra formación agraria o cursos agrarios
22160	Naval	6	Estudios profesionales agrarios
22160	Naval	2	Estudios universitarios agrarios
22160	Naval	24	Experiencia agraria exclusivamente
22160	Naval	6	Otra formación agraria o cursos agrarios
22162	Novales	1	Estudios universitarios agrarios
22162	Novales	22	Experiencia agraria exclusivamente
22162	Novales	1	Otra formación agraria o cursos agrarios
22163	Nueno	5	Estudios profesionales agrarios
22163	Nueno	2	Estudios universitarios agrarios
22163	Nueno	47	Experiencia agraria exclusivamente
22163	Nueno	14	Otra formación agraria o cursos agrarios
22164	Olvena	1	Estudios profesionales agrarios
22164	Olvena	1	Estudios universitarios agrarios
22164	Olvena	20	Experiencia agraria exclusivamente
22164	Olvena	1	Otra formación agraria o cursos agrarios
22165	Ontiñena	13	Estudios profesionales agrarios
22165	Ontiñena	2	Estudios universitarios agrarios
22165	Ontiñena	102	Experiencia agraria exclusivamente
22165	Ontiñena	21	Otra formación agraria o cursos agrarios
22167	Osso de Cinca	12	Estudios profesionales agrarios
22167	Osso de Cinca	2	Estudios universitarios agrarios
22167	Osso de Cinca	86	Experiencia agraria exclusivamente
22167	Osso de Cinca	24	Otra formación agraria o cursos agrarios
22168	Palo	2	Estudios profesionales agrarios
22168	Palo	1	Estudios universitarios agrarios
22168	Palo	9	Experiencia agraria exclusivamente
22170	Panticosa	15	Experiencia agraria exclusivamente
22170	Panticosa	4	Otra formación agraria o cursos agrarios
22172	Peñalba	7	Estudios profesionales agrarios
22172	Peñalba	8	Estudios universitarios agrarios
22172	Peñalba	94	Experiencia agraria exclusivamente
22172	Peñalba	28	Otra formación agraria o cursos agrarios
22173	Peñas de Riglos (Las)	1	Estudios profesionales agrarios
22173	Peñas de Riglos (Las)	1	Estudios universitarios agrarios
22173	Peñas de Riglos (Las)	42	Experiencia agraria exclusivamente
22173	Peñas de Riglos (Las)	6	Otra formación agraria o cursos agrarios
22174	Peralta de Alcofea	16	Estudios profesionales agrarios
22174	Peralta de Alcofea	11	Estudios universitarios agrarios
22174	Peralta de Alcofea	94	Experiencia agraria exclusivamente
22174	Peralta de Alcofea	20	Otra formación agraria o cursos agrarios
22175	Peralta de Calasanz	5	Estudios profesionales agrarios
22175	Peralta de Calasanz	1	Estudios universitarios agrarios
22175	Peralta de Calasanz	89	Experiencia agraria exclusivamente
22175	Peralta de Calasanz	11	Otra formación agraria o cursos agrarios
22176	Peraltilla	4	Estudios profesionales agrarios
22176	Peraltilla	25	Experiencia agraria exclusivamente
22176	Peraltilla	8	Otra formación agraria o cursos agrarios
22177	Perarrúa	3	Estudios profesionales agrarios
22177	Perarrúa	2	Estudios universitarios agrarios
22177	Perarrúa	19	Experiencia agraria exclusivamente
22177	Perarrúa	1	Otra formación agraria o cursos agrarios
22178	Pertusa	3	Estudios profesionales agrarios
22178	Pertusa	23	Experiencia agraria exclusivamente
22178	Pertusa	7	Otra formación agraria o cursos agrarios
22181	Piracés	3	Estudios profesionales agrarios
22181	Piracés	13	Experiencia agraria exclusivamente
22181	Piracés	9	Otra formación agraria o cursos agrarios
22182	Plan	2	Estudios profesionales agrarios
22182	Plan	33	Experiencia agraria exclusivamente
22182	Plan	5	Otra formación agraria o cursos agrarios
22184	Poleñino	5	Estudios profesionales agrarios
22184	Poleñino	1	Estudios universitarios agrarios
22184	Poleñino	43	Experiencia agraria exclusivamente
22184	Poleñino	6	Otra formación agraria o cursos agrarios
22186	Pozán de Vero	6	Estudios profesionales agrarios
22186	Pozán de Vero	1	Estudios universitarios agrarios
22186	Pozán de Vero	48	Experiencia agraria exclusivamente
22186	Pozán de Vero	5	Otra formación agraria o cursos agrarios
22187	Puebla de Castro (La)	6	Estudios profesionales agrarios
22187	Puebla de Castro (La)	1	Estudios universitarios agrarios
22187	Puebla de Castro (La)	32	Experiencia agraria exclusivamente
22187	Puebla de Castro (La)	1	Otra formación agraria o cursos agrarios
22188	Puente de Montañana	2	Estudios universitarios agrarios
22188	Puente de Montañana	7	Experiencia agraria exclusivamente
22188	Puente de Montañana	1	Otra formación agraria o cursos agrarios
22189	Puértolas	6	Estudios profesionales agrarios
22189	Puértolas	17	Experiencia agraria exclusivamente
22189	Puértolas	2	Otra formación agraria o cursos agrarios
22190	Pueyo de Araguás (El)	5	Estudios profesionales agrarios
22190	Pueyo de Araguás (El)	28	Experiencia agraria exclusivamente
22190	Pueyo de Araguás (El)	3	Otra formación agraria o cursos agrarios
22193	Pueyo de Santa Cruz	2	Estudios profesionales agrarios
22193	Pueyo de Santa Cruz	3	Estudios universitarios agrarios
22193	Pueyo de Santa Cruz	29	Experiencia agraria exclusivamente
22193	Pueyo de Santa Cruz	2	Otra formación agraria o cursos agrarios
22195	Quicena	2	Estudios profesionales agrarios
22195	Quicena	3	Estudios universitarios agrarios
22195	Quicena	10	Experiencia agraria exclusivamente
22197	Robres	10	Estudios profesionales agrarios
