Comarca codigo	Comarca nombre	Especie ganadería 	Subespecie ganadería	Explotaciones ganadería
03	Sobrarbe	Porcinos	Lechones de menos de 20 kg	23
03	Sobrarbe	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	40
04	La Ribagorza	Aves	Gallinas ponedoras	149
04	La Ribagorza	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	21
04	La Ribagorza	Aves	Pollos de carne	58
04	La Ribagorza	Bovinos	Bovinos de entre uno y dos años	143
04	La Ribagorza	Bovinos	Bovinos de menos de un año	350
04	La Ribagorza	Bovinos	Otros bovinos de dos años o más	142
04	La Ribagorza	Bovinos	Vacas	168
04	La Ribagorza	Caprinos	Cabras madres y chivas de reposición	112
04	La Ribagorza	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	83
04	La Ribagorza	Colmenas	Colmenas	22
04	La Ribagorza	Conejas madres	Conejas madres	82
04	La Ribagorza	Equinos	Equinos (caballos, mulas y asnos)	54
04	La Ribagorza	Otros animales no de compañía	Otros animales no de compañía	9
04	La Ribagorza	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	155
04	La Ribagorza	Ovinos	Ovejas madres y corderas para reposición	217
04	La Ribagorza	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	66
04	La Ribagorza	Porcinos	Lechones de menos de 20 kg	63
04	La Ribagorza	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	111
05	Cinco Villas	Aves	Gallinas ponedoras	41
05	Cinco Villas	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	7
05	Cinco Villas	Aves	Pollos de carne	23
05	Cinco Villas	Bovinos	Bovinos de entre uno y dos años	46
05	Cinco Villas	Bovinos	Bovinos de menos de un año	48
05	Cinco Villas	Bovinos	Otros bovinos de dos años o más	23
05	Cinco Villas	Bovinos	Vacas	24
05	Cinco Villas	Caprinos	Cabras madres y chivas de reposición	104
05	Cinco Villas	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	79
05	Cinco Villas	Colmenas	Colmenas	31
05	Cinco Villas	Conejas madres	Conejas madres	12
05	Cinco Villas	Equinos	Equinos (caballos, mulas y asnos)	25
05	Cinco Villas	Otros animales no de compañía	Otros animales no de compañía	13
05	Cinco Villas	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	174
05	Cinco Villas	Ovinos	Ovejas madres y corderas para reposición	220
05	Cinco Villas	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	108
05	Cinco Villas	Porcinos	Lechones de menos de 20 kg	105
05	Cinco Villas	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	233
06	Hoya de Huesca / Plana de Uesca	Aves	Gallinas ponedoras	61
06	Hoya de Huesca / Plana de Uesca	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	10
06	Hoya de Huesca / Plana de Uesca	Aves	Pollos de carne	35
06	Hoya de Huesca / Plana de Uesca	Bovinos	Bovinos de entre uno y dos años	48
06	Hoya de Huesca / Plana de Uesca	Bovinos	Bovinos de menos de un año	104
06	Hoya de Huesca / Plana de Uesca	Bovinos	Otros bovinos de dos años o más	27
06	Hoya de Huesca / Plana de Uesca	Bovinos	Vacas	31
06	Hoya de Huesca / Plana de Uesca	Caprinos	Cabras madres y chivas de reposición	66
06	Hoya de Huesca / Plana de Uesca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	53
06	Hoya de Huesca / Plana de Uesca	Colmenas	Colmenas	27
06	Hoya de Huesca / Plana de Uesca	Conejas madres	Conejas madres	18
06	Hoya de Huesca / Plana de Uesca	Equinos	Equinos (caballos, mulas y asnos)	30
06	Hoya de Huesca / Plana de Uesca	Otros animales no de compañía	Otros animales no de compañía	5
06	Hoya de Huesca / Plana de Uesca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	114
06	Hoya de Huesca / Plana de Uesca	Ovinos	Ovejas madres y corderas para reposición	154
06	Hoya de Huesca / Plana de Uesca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	30
06	Hoya de Huesca / Plana de Uesca	Porcinos	Lechones de menos de 20 kg	35
06	Hoya de Huesca / Plana de Uesca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	117
07	Somontano de Barbastro	Aves	Gallinas ponedoras	66
07	Somontano de Barbastro	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	13
07	Somontano de Barbastro	Aves	Pollos de carne	27
07	Somontano de Barbastro	Bovinos	Bovinos de entre uno y dos años	39
07	Somontano de Barbastro	Bovinos	Bovinos de menos de un año	86
07	Somontano de Barbastro	Bovinos	Otros bovinos de dos años o más	11
07	Somontano de Barbastro	Bovinos	Vacas	12
07	Somontano de Barbastro	Caprinos	Cabras madres y chivas de reposición	46
07	Somontano de Barbastro	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	37
07	Somontano de Barbastro	Colmenas	Colmenas	16
07	Somontano de Barbastro	Conejas madres	Conejas madres	25
07	Somontano de Barbastro	Equinos	Equinos (caballos, mulas y asnos)	18
07	Somontano de Barbastro	Otros animales no de compañía	Otros animales no de compañía	4
07	Somontano de Barbastro	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	83
07	Somontano de Barbastro	Ovinos	Ovejas madres y corderas para reposición	107
07	Somontano de Barbastro	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	31
07	Somontano de Barbastro	Porcinos	Lechones de menos de 20 kg	26
07	Somontano de Barbastro	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	109
08	Cinca Medio	Aves	Gallinas ponedoras	35
08	Cinca Medio	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	9
08	Cinca Medio	Aves	Pollos de carne	22
08	Cinca Medio	Bovinos	Bovinos de entre uno y dos años	51
08	Cinca Medio	Bovinos	Bovinos de menos de un año	104
08	Cinca Medio	Bovinos	Otros bovinos de dos años o más	26
08	Cinca Medio	Bovinos	Vacas	30
08	Cinca Medio	Caprinos	Cabras madres y chivas de reposición	22
08	Cinca Medio	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	16
08	Cinca Medio	Colmenas	Colmenas	4
08	Cinca Medio	Conejas madres	Conejas madres	7
08	Cinca Medio	Equinos	Equinos (caballos, mulas y asnos)	19
08	Cinca Medio	Otros animales no de compañía	Otros animales no de compañía	2
08	Cinca Medio	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	36
08	Cinca Medio	Ovinos	Ovejas madres y corderas para reposición	44
08	Cinca Medio	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	23
08	Cinca Medio	Porcinos	Lechones de menos de 20 kg	30
08	Cinca Medio	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	135
09	La Litera / La Llitera	Aves	Gallinas ponedoras	71
09	La Litera / La Llitera	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	18
09	La Litera / La Llitera	Aves	Pollos de carne	39
09	La Litera / La Llitera	Bovinos	Bovinos de entre uno y dos años	71
09	La Litera / La Llitera	Bovinos	Bovinos de menos de un año	204
09	La Litera / La Llitera	Bovinos	Otros bovinos de dos años o más	17
09	La Litera / La Llitera	Bovinos	Vacas	21
09	La Litera / La Llitera	Caprinos	Cabras madres y chivas de reposición	23
09	La Litera / La Llitera	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	19
09	La Litera / La Llitera	Colmenas	Colmenas	11
09	La Litera / La Llitera	Conejas madres	Conejas madres	30
09	La Litera / La Llitera	Equinos	Equinos (caballos, mulas y asnos)	8
09	La Litera / La Llitera	Otros animales no de compañía	Otros animales no de compañía	2
09	La Litera / La Llitera	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	38
09	La Litera / La Llitera	Ovinos	Ovejas madres y corderas para reposición	52
09	La Litera / La Llitera	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	51
09	La Litera / La Llitera	Porcinos	Lechones de menos de 20 kg	61
09	La Litera / La Llitera	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	266
10	Los Monegros	Aves	Gallinas ponedoras	46
10	Los Monegros	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	11
10	Los Monegros	Aves	Pollos de carne	44
10	Los Monegros	Bovinos	Bovinos de entre uno y dos años	68
10	Los Monegros	Bovinos	Bovinos de menos de un año	126
10	Los Monegros	Bovinos	Otros bovinos de dos años o más	32
10	Los Monegros	Bovinos	Vacas	41
10	Los Monegros	Caprinos	Cabras madres y chivas de reposición	106
10	Los Monegros	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	85
10	Los Monegros	Colmenas	Colmenas	20
10	Los Monegros	Conejas madres	Conejas madres	9
10	Los Monegros	Equinos	Equinos (caballos, mulas y asnos)	15
10	Los Monegros	Otros animales no de compañía	Otros animales no de compañía	5
10	Los Monegros	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	190
10	Los Monegros	Ovinos	Ovejas madres y corderas para reposición	229
10	Los Monegros	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	67
10	Los Monegros	Porcinos	Lechones de menos de 20 kg	69
10	Los Monegros	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	321
11	Bajo Cinca / Baix Cinca	Aves	Gallinas ponedoras	44
11	Bajo Cinca / Baix Cinca	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	12
11	Bajo Cinca / Baix Cinca	Aves	Pollos de carne	41
11	Bajo Cinca / Baix Cinca	Bovinos	Bovinos de entre uno y dos años	23
11	Bajo Cinca / Baix Cinca	Bovinos	Bovinos de menos de un año	122
11	Bajo Cinca / Baix Cinca	Bovinos	Otros bovinos de dos años o más	11
11	Bajo Cinca / Baix Cinca	Bovinos	Vacas	10
11	Bajo Cinca / Baix Cinca	Caprinos	Cabras madres y chivas de reposición	33
11	Bajo Cinca / Baix Cinca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	30
11	Bajo Cinca / Baix Cinca	Colmenas	Colmenas	10
11	Bajo Cinca / Baix Cinca	Conejas madres	Conejas madres	7
11	Bajo Cinca / Baix Cinca	Equinos	Equinos (caballos, mulas y asnos)	12
11	Bajo Cinca / Baix Cinca	Otros animales no de compañía	Otros animales no de compañía	4
11	Bajo Cinca / Baix Cinca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	65
11	Bajo Cinca / Baix Cinca	Ovinos	Ovejas madres y corderas para reposición	79
11	Bajo Cinca / Baix Cinca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	31
11	Bajo Cinca / Baix Cinca	Porcinos	Lechones de menos de 20 kg	45
11	Bajo Cinca / Baix Cinca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	164
12	Tarazona y el Moncayo	Aves	Gallinas ponedoras	18
12	Tarazona y el Moncayo	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	6
12	Tarazona y el Moncayo	Aves	Pollos de carne	12
12	Tarazona y el Moncayo	Bovinos	Bovinos de entre uno y dos años	2
12	Tarazona y el Moncayo	Bovinos	Bovinos de menos de un año	1
12	Tarazona y el Moncayo	Bovinos	Vacas	2
12	Tarazona y el Moncayo	Caprinos	Cabras madres y chivas de reposición	23
12	Tarazona y el Moncayo	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	16
12	Tarazona y el Moncayo	Colmenas	Colmenas	6
12	Tarazona y el Moncayo	Conejas madres	Conejas madres	7
12	Tarazona y el Moncayo	Equinos	Equinos (caballos, mulas y asnos)	6
12	Tarazona y el Moncayo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	24
12	Tarazona y el Moncayo	Ovinos	Ovejas madres y corderas para reposición	32
12	Tarazona y el Moncayo	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	14
12	Tarazona y el Moncayo	Porcinos	Lechones de menos de 20 kg	15
12	Tarazona y el Moncayo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	21
13	Campo de Borja	Aves	Gallinas ponedoras	7
13	Campo de Borja	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	4
13	Campo de Borja	Aves	Pollos de carne	3
13	Campo de Borja	Bovinos	Bovinos de entre uno y dos años	19
13	Campo de Borja	Bovinos	Bovinos de menos de un año	22
13	Campo de Borja	Bovinos	Otros bovinos de dos años o más	7
13	Campo de Borja	Bovinos	Vacas	10
13	Campo de Borja	Caprinos	Cabras madres y chivas de reposición	25
13	Campo de Borja	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	19
13	Campo de Borja	Colmenas	Colmenas	5
13	Campo de Borja	Conejas madres	Conejas madres	2
13	Campo de Borja	Equinos	Equinos (caballos, mulas y asnos)	16
13	Campo de Borja	Otros animales no de compañía	Otros animales no de compañía	1
13	Campo de Borja	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	51
13	Campo de Borja	Ovinos	Ovejas madres y corderas para reposición	53
13	Campo de Borja	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	19
13	Campo de Borja	Porcinos	Lechones de menos de 20 kg	12
13	Campo de Borja	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	52
14	Aranda	Aves	Gallinas ponedoras	7
14	Aranda	Aves	Pollos de carne	3
14	Aranda	Bovinos	Bovinos de menos de un año	2
14	Aranda	Caprinos	Cabras madres y chivas de reposición	34
14	Aranda	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	25
14	Aranda	Colmenas	Colmenas	7
14	Aranda	Conejas madres	Conejas madres	4
14	Aranda	Equinos	Equinos (caballos, mulas y asnos)	11
14	Aranda	Otros animales no de compañía	Otros animales no de compañía	1
14	Aranda	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	40
14	Aranda	Ovinos	Ovejas madres y corderas para reposición	50
14	Aranda	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	4
14	Aranda	Porcinos	Lechones de menos de 20 kg	4
14	Aranda	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	4
15	Ribera Alta del Ebro	Aves	Gallinas ponedoras	9
15	Ribera Alta del Ebro	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	4
15	Ribera Alta del Ebro	Aves	Pollos de carne	6
15	Ribera Alta del Ebro	Bovinos	Bovinos de entre uno y dos años	21
15	Ribera Alta del Ebro	Bovinos	Bovinos de menos de un año	33
15	Ribera Alta del Ebro	Bovinos	Otros bovinos de dos años o más	7
15	Ribera Alta del Ebro	Bovinos	Vacas	12
15	Ribera Alta del Ebro	Caprinos	Cabras madres y chivas de reposición	16
15	Ribera Alta del Ebro	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	12
15	Ribera Alta del Ebro	Colmenas	Colmenas	3
15	Ribera Alta del Ebro	Conejas madres	Conejas madres	3
15	Ribera Alta del Ebro	Equinos	Equinos (caballos, mulas y asnos)	12
15	Ribera Alta del Ebro	Otros animales no de compañía	Otros animales no de compañía	2
15	Ribera Alta del Ebro	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	41
15	Ribera Alta del Ebro	Ovinos	Ovejas madres y corderas para reposición	39
15	Ribera Alta del Ebro	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	7
15	Ribera Alta del Ebro	Porcinos	Lechones de menos de 20 kg	7
15	Ribera Alta del Ebro	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	40
16	Valdejalón	Aves	Gallinas ponedoras	10
16	Valdejalón	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
16	Valdejalón	Aves	Pollos de carne	13
16	Valdejalón	Bovinos	Bovinos de entre uno y dos años	19
16	Valdejalón	Bovinos	Bovinos de menos de un año	17
16	Valdejalón	Bovinos	Otros bovinos de dos años o más	4
16	Valdejalón	Bovinos	Vacas	4
16	Valdejalón	Caprinos	Cabras madres y chivas de reposición	29
16	Valdejalón	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	23
16	Valdejalón	Colmenas	Colmenas	7
16	Valdejalón	Conejas madres	Conejas madres	2
16	Valdejalón	Equinos	Equinos (caballos, mulas y asnos)	11
16	Valdejalón	Otros animales no de compañía	Otros animales no de compañía	3
16	Valdejalón	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	65
16	Valdejalón	Ovinos	Ovejas madres y corderas para reposición	94
16	Valdejalón	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	14
16	Valdejalón	Porcinos	Lechones de menos de 20 kg	12
16	Valdejalón	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	22
17	D.C. Zaragoza	Aves	Gallinas ponedoras	25
17	D.C. Zaragoza	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	8
17	D.C. Zaragoza	Aves	Pollos de carne	23
17	D.C. Zaragoza	Bovinos	Bovinos de entre uno y dos años	57
17	D.C. Zaragoza	Bovinos	Bovinos de menos de un año	54
17	D.C. Zaragoza	Bovinos	Otros bovinos de dos años o más	21
17	D.C. Zaragoza	Bovinos	Vacas	26
17	D.C. Zaragoza	Caprinos	Cabras madres y chivas de reposición	67
17	D.C. Zaragoza	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	54
17	D.C. Zaragoza	Colmenas	Colmenas	4
17	D.C. Zaragoza	Conejas madres	Conejas madres	7
17	D.C. Zaragoza	Equinos	Equinos (caballos, mulas y asnos)	33
17	D.C. Zaragoza	Otros animales no de compañía	Otros animales no de compañía	7
17	D.C. Zaragoza	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	102
17	D.C. Zaragoza	Ovinos	Ovejas madres y corderas para reposición	121
17	D.C. Zaragoza	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	12
17	D.C. Zaragoza	Porcinos	Lechones de menos de 20 kg	13
17	D.C. Zaragoza	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	44
18	Ribera Baja del Ebro	Aves	Gallinas ponedoras	3
18	Ribera Baja del Ebro	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	2
18	Ribera Baja del Ebro	Aves	Pollos de carne	6
18	Ribera Baja del Ebro	Bovinos	Bovinos de entre uno y dos años	35
18	Ribera Baja del Ebro	Bovinos	Bovinos de menos de un año	42
18	Ribera Baja del Ebro	Bovinos	Otros bovinos de dos años o más	6
18	Ribera Baja del Ebro	Bovinos	Vacas	9
18	Ribera Baja del Ebro	Caprinos	Cabras madres y chivas de reposición	9
18	Ribera Baja del Ebro	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	7
18	Ribera Baja del Ebro	Colmenas	Colmenas	3
18	Ribera Baja del Ebro	Equinos	Equinos (caballos, mulas y asnos)	6
18	Ribera Baja del Ebro	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	46
18	Ribera Baja del Ebro	Ovinos	Ovejas madres y corderas para reposición	59
18	Ribera Baja del Ebro	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
18	Ribera Baja del Ebro	Porcinos	Lechones de menos de 20 kg	4
18	Ribera Baja del Ebro	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	43
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Aves	Gallinas ponedoras	16
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Aves	Pollos de carne	14
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Bovinos	Bovinos de entre uno y dos años	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Bovinos	Bovinos de menos de un año	13
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Bovinos	Vacas	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Caprinos	Cabras madres y chivas de reposición	37
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	29
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Colmenas	Colmenas	8
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Conejas madres	Conejas madres	28
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Equinos	Equinos (caballos, mulas y asnos)	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros animales no de compañía	Otros animales no de compañía	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	68
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ovinos	Ovejas madres y corderas para reposición	84
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	39
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Porcinos	Lechones de menos de 20 kg	35
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	71
20	Comunidad de Calatayud	Aves	Gallinas ponedoras	26
20	Comunidad de Calatayud	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	6
20	Comunidad de Calatayud	Aves	Pollos de carne	20
20	Comunidad de Calatayud	Bovinos	Bovinos de entre uno y dos años	15
20	Comunidad de Calatayud	Bovinos	Bovinos de menos de un año	21
20	Comunidad de Calatayud	Bovinos	Otros bovinos de dos años o más	3
20	Comunidad de Calatayud	Bovinos	Vacas	5
20	Comunidad de Calatayud	Caprinos	Cabras madres y chivas de reposición	73
20	Comunidad de Calatayud	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	46
20	Comunidad de Calatayud	Colmenas	Colmenas	24
20	Comunidad de Calatayud	Conejas madres	Conejas madres	12
20	Comunidad de Calatayud	Equinos	Equinos (caballos, mulas y asnos)	31
20	Comunidad de Calatayud	Otros animales no de compañía	Otros animales no de compañía	5
20	Comunidad de Calatayud	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	148
20	Comunidad de Calatayud	Ovinos	Ovejas madres y corderas para reposición	188
20	Comunidad de Calatayud	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	12
20	Comunidad de Calatayud	Porcinos	Lechones de menos de 20 kg	9
20	Comunidad de Calatayud	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	22
21	Campo de Cariñena	Aves	Gallinas ponedoras	10
21	Campo de Cariñena	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	6
21	Campo de Cariñena	Aves	Pollos de carne	12
21	Campo de Cariñena	Bovinos	Bovinos de entre uno y dos años	3
21	Campo de Cariñena	Bovinos	Bovinos de menos de un año	4
21	Campo de Cariñena	Caprinos	Cabras madres y chivas de reposición	7
21	Campo de Cariñena	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	3
21	Campo de Cariñena	Colmenas	Colmenas	6
21	Campo de Cariñena	Conejas madres	Conejas madres	1
21	Campo de Cariñena	Equinos	Equinos (caballos, mulas y asnos)	4
21	Campo de Cariñena	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	12
21	Campo de Cariñena	Ovinos	Ovejas madres y corderas para reposición	24
21	Campo de Cariñena	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
21	Campo de Cariñena	Porcinos	Lechones de menos de 20 kg	2
21	Campo de Cariñena	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	6
22	Campo de Belchite	Aves	Gallinas ponedoras	6
22	Campo de Belchite	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
22	Campo de Belchite	Aves	Pollos de carne	20
22	Campo de Belchite	Bovinos	Bovinos de entre uno y dos años	34
22	Campo de Belchite	Bovinos	Bovinos de menos de un año	37
22	Campo de Belchite	Bovinos	Otros bovinos de dos años o más	6
22	Campo de Belchite	Bovinos	Vacas	5
22	Campo de Belchite	Caprinos	Cabras madres y chivas de reposición	32
22	Campo de Belchite	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	23
22	Campo de Belchite	Colmenas	Colmenas	3
22	Campo de Belchite	Equinos	Equinos (caballos, mulas y asnos)	14
22	Campo de Belchite	Otros animales no de compañía	Otros animales no de compañía	4
