Municipio código	Municipio nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
22007	Albalate de Cinca	Bovinos de entre uno y dos años	Bovinos	13	1	325
22007	Albalate de Cinca	Bovinos de menos de un año	Bovinos	14	1	3036
22007	Albalate de Cinca	Cabras madres y chivas de reposición	Caprinos	31	3	7
22007	Albalate de Cinca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	180
22007	Albalate de Cinca	Gallinas ponedoras	Aves	61	6	23
22007	Albalate de Cinca	Lechones de menos de 20 kg	Porcinos	52	5	2418
22007	Albalate de Cinca	Otros bovinos de dos años o más	Bovinos	12	1	83
22007	Albalate de Cinca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	2
22007	Albalate de Cinca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	150
22007	Albalate de Cinca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	13192
22007	Albalate de Cinca	Ovejas madres y corderas para reposición	Ovinos	21	2	496
22007	Albalate de Cinca	Pollos de carne	Aves	62	6	59400
22007	Albalate de Cinca	Vacas	Bovinos	11	1	691
22008	Albalatillo	Bovinos de entre uno y dos años	Bovinos	13	1	218
22008	Albalatillo	Bovinos de menos de un año	Bovinos	14	1	436
22008	Albalatillo	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	2812
22008	Albalatillo	Lechones de menos de 20 kg	Porcinos	52	5	9154
22008	Albalatillo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2809
22008	Albalatillo	Pollos de carne	Aves	62	6	19305
22008	Albalatillo	Vacas	Bovinos	11	1	30
22009	Albelda	Bovinos de entre uno y dos años	Bovinos	13	1	566
22009	Albelda	Bovinos de menos de un año	Bovinos	14	1	2826
22009	Albelda	Cabras madres y chivas de reposición	Caprinos	31	3	205
22009	Albelda	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	585
22009	Albelda	Colmenas	Colmenas	81	8	779
22009	Albelda	Conejas madres	Conejas madres	71	7	20
22009	Albelda	Equinos (caballos, mulas y asnos)	Equinos	41	4	10
22009	Albelda	Gallinas ponedoras	Aves	61	6	14694
22009	Albelda	Lechones de menos de 20 kg	Porcinos	52	5	8083
22009	Albelda	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	230714
22009	Albelda	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	5
22009	Albelda	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	68
22009	Albelda	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	29712
22009	Albelda	Ovejas madres y corderas para reposición	Ovinos	21	2	2905
22009	Albelda	Pollos de carne	Aves	62	6	18778
22009	Albelda	Vacas	Bovinos	11	1	46
22011	Albero Alto	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	10342
22012	Albero Bajo	Bovinos de menos de un año	Bovinos	14	1	90
22012	Albero Bajo	Cabras madres y chivas de reposición	Caprinos	31	3	6
22012	Albero Bajo	Lechones de menos de 20 kg	Porcinos	52	5	600
22012	Albero Bajo	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	3
22012	Albero Bajo	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	18
22012	Albero Bajo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2418
22012	Albero Bajo	Ovejas madres y corderas para reposición	Ovinos	21	2	695
22013	Alberuela de Tubo	Bovinos de entre uno y dos años	Bovinos	13	1	712
22013	Alberuela de Tubo	Bovinos de menos de un año	Bovinos	14	1	116
22013	Alberuela de Tubo	Otros bovinos de dos años o más	Bovinos	12	1	8
22013	Alberuela de Tubo	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	17
22013	Alberuela de Tubo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	3300
22013	Alberuela de Tubo	Ovejas madres y corderas para reposición	Ovinos	21	2	698
22014	Alcalá de Gurrea	Bovinos de entre uno y dos años	Bovinos	13	1	125
22014	Alcalá de Gurrea	Colmenas	Colmenas	81	8	60
22014	Alcalá de Gurrea	Gallinas ponedoras	Aves	61	6	24
22014	Alcalá de Gurrea	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	7
22014	Alcalá de Gurrea	Ovejas madres y corderas para reposición	Ovinos	21	2	631
22014	Alcalá de Gurrea	Pollos de carne	Aves	62	6	8
22015	Alcalá del Obispo	Bovinos de entre uno y dos años	Bovinos	13	1	100
22015	Alcalá del Obispo	Bovinos de menos de un año	Bovinos	14	1	230
22015	Alcalá del Obispo	Cabras madres y chivas de reposición	Caprinos	31	3	5
22015	Alcalá del Obispo	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	2600
22015	Alcalá del Obispo	Equinos (caballos, mulas y asnos)	Equinos	41	4	1
22015	Alcalá del Obispo	Lechones de menos de 20 kg	Porcinos	52	5	9500
22015	Alcalá del Obispo	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	10
22015	Alcalá del Obispo	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	227
22015	Alcalá del Obispo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	29304
22015	Alcalá del Obispo	Ovejas madres y corderas para reposición	Ovinos	21	2	1440
22015	Alcalá del Obispo	Pollos de carne	Aves	62	6	75000
22015	Alcalá del Obispo	Vacas	Bovinos	11	1	148
22016	Alcampell	Bovinos de entre uno y dos años	Bovinos	13	1	559
22016	Alcampell	Bovinos de menos de un año	Bovinos	14	1	1228
22016	Alcampell	Cabras madres y chivas de reposición	Caprinos	31	3	53
22016	Alcampell	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1559
22016	Alcampell	Colmenas	Colmenas	81	8	45
22016	Alcampell	Conejas madres	Conejas madres	71	7	1007
22016	Alcampell	Equinos (caballos, mulas y asnos)	Equinos	41	4	12
22016	Alcampell	Gallinas ponedoras	Aves	61	6	35
22016	Alcampell	Lechones de menos de 20 kg	Porcinos	52	5	5546
22016	Alcampell	Otros bovinos de dos años o más	Bovinos	12	1	2
22016	Alcampell	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	8
22016	Alcampell	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	617
22016	Alcampell	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	32261
22016	Alcampell	Ovejas madres y corderas para reposición	Ovinos	21	2	2380
22016	Alcampell	Pollos de carne	Aves	62	6	74030
22016	Alcampell	Vacas	Bovinos	11	1	22
22017	Alcolea de Cinca	Bovinos de entre uno y dos años	Bovinos	13	1	90
22017	Alcolea de Cinca	Bovinos de menos de un año	Bovinos	14	1	433
22017	Alcolea de Cinca	Cabras madres y chivas de reposición	Caprinos	31	3	35
22017	Alcolea de Cinca	Colmenas	Colmenas	81	8	8
22017	Alcolea de Cinca	Conejas madres	Conejas madres	71	7	550
22017	Alcolea de Cinca	Equinos (caballos, mulas y asnos)	Equinos	41	4	16
22017	Alcolea de Cinca	Gallinas ponedoras	Aves	61	6	7
22017	Alcolea de Cinca	Lechones de menos de 20 kg	Porcinos	52	5	3340
22017	Alcolea de Cinca	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	12000
22017	Alcolea de Cinca	Otros bovinos de dos años o más	Bovinos	12	1	136
22017	Alcolea de Cinca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	8
22017	Alcolea de Cinca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	177
22017	Alcolea de Cinca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	39616
22017	Alcolea de Cinca	Ovejas madres y corderas para reposición	Ovinos	21	2	1639
22017	Alcolea de Cinca	Pollos de carne	Aves	62	6	28302
22017	Alcolea de Cinca	Vacas	Bovinos	11	1	44
22018	Alcubierre	Bovinos de menos de un año	Bovinos	14	1	380
22018	Alcubierre	Cabras madres y chivas de reposición	Caprinos	31	3	37
22018	Alcubierre	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1590
22018	Alcubierre	Colmenas	Colmenas	81	8	10
22018	Alcubierre	Conejas madres	Conejas madres	71	7	310
22018	Alcubierre	Gallinas ponedoras	Aves	61	6	9
22018	Alcubierre	Lechones de menos de 20 kg	Porcinos	52	5	2750
22018	Alcubierre	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	13
22018	Alcubierre	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	460
22018	Alcubierre	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	56878
22018	Alcubierre	Ovejas madres y corderas para reposición	Ovinos	21	2	2019
22019	Alerre	Cabras madres y chivas de reposición	Caprinos	31	3	19
22019	Alerre	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	3
22019	Alerre	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	50
22019	Alerre	Ovejas madres y corderas para reposición	Ovinos	21	2	1530
22020	Alfántega	Bovinos de menos de un año	Bovinos	14	1	350
22020	Alfántega	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	473
22020	Alfántega	Gallinas ponedoras	Aves	61	6	6
22020	Alfántega	Lechones de menos de 20 kg	Porcinos	52	5	1100
22020	Alfántega	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	8
22020	Alfántega	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3
22020	Alfántega	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	12768
22020	Alfántega	Ovejas madres y corderas para reposición	Ovinos	21	2	250
22021	Almudévar	Bovinos de entre uno y dos años	Bovinos	13	1	409
22021	Almudévar	Bovinos de menos de un año	Bovinos	14	1	1286
22021	Almudévar	Cabras madres y chivas de reposición	Caprinos	31	3	100
22021	Almudévar	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	300
22021	Almudévar	Colmenas	Colmenas	81	8	160
22021	Almudévar	Conejas madres	Conejas madres	71	7	700
22021	Almudévar	Equinos (caballos, mulas y asnos)	Equinos	41	4	4
22021	Almudévar	Gallinas ponedoras	Aves	61	6	26
22021	Almudévar	Lechones de menos de 20 kg	Porcinos	52	5	2200
22021	Almudévar	Otros bovinos de dos años o más	Bovinos	12	1	668
22021	Almudévar	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	42
22021	Almudévar	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	222
22021	Almudévar	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	11528
22021	Almudévar	Ovejas madres y corderas para reposición	Ovinos	21	2	6877
22021	Almudévar	Pollos de carne	Aves	62	6	11036
22021	Almudévar	Vacas	Bovinos	11	1	1115
22022	Almunia de San Juan	Bovinos de menos de un año	Bovinos	14	1	690
22022	Almunia de San Juan	Cabras madres y chivas de reposición	Caprinos	31	3	3
22022	Almunia de San Juan	Colmenas	Colmenas	81	8	8
22022	Almunia de San Juan	Equinos (caballos, mulas y asnos)	Equinos	41	4	5
22022	Almunia de San Juan	Gallinas ponedoras	Aves	61	6	13
22022	Almunia de San Juan	Otros bovinos de dos años o más	Bovinos	12	1	3
22022	Almunia de San Juan	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	1
22022	Almunia de San Juan	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	5
22022	Almunia de San Juan	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	11322
22022	Almunia de San Juan	Ovejas madres y corderas para reposición	Ovinos	21	2	58
22022	Almunia de San Juan	Pollos de carne	Aves	62	6	125000
22022	Almunia de San Juan	Vacas	Bovinos	11	1	94
22023	Almuniente	Bovinos de entre uno y dos años	Bovinos	13	1	110
22023	Almuniente	Bovinos de menos de un año	Bovinos	14	1	15
22023	Almuniente	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	7280
22023	Almuniente	Colmenas	Colmenas	81	8	5
22023	Almuniente	Gallinas ponedoras	Aves	61	6	12
22023	Almuniente	Lechones de menos de 20 kg	Porcinos	52	5	15800
22023	Almuniente	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	12
22023	Almuniente	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	23650
22023	Almuniente	Ovejas madres y corderas para reposición	Ovinos	21	2	1542
22024	Alquézar	Bovinos de menos de un año	Bovinos	14	1	160
22024	Alquézar	Cabras madres y chivas de reposición	Caprinos	31	3	46
22024	Alquézar	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	2
22024	Alquézar	Colmenas	Colmenas	81	8	35
22024	Alquézar	Conejas madres	Conejas madres	71	7	202
22024	Alquézar	Gallinas ponedoras	Aves	61	6	24
22024	Alquézar	Lechones de menos de 20 kg	Porcinos	52	5	14
22024	Alquézar	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	4
22024	Alquézar	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	11
22024	Alquézar	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	503
22024	Alquézar	Ovejas madres y corderas para reposición	Ovinos	21	2	2074
22024	Alquézar	Pollos de carne	Aves	62	6	14
22025	Altorricón	Bovinos de entre uno y dos años	Bovinos	13	1	1005
22025	Altorricón	Bovinos de menos de un año	Bovinos	14	1	3606
22025	Altorricón	Cabras madres y chivas de reposición	Caprinos	31	3	77
22025	Altorricón	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	3777
22025	Altorricón	Conejas madres	Conejas madres	71	7	11
22025	Altorricón	Equinos (caballos, mulas y asnos)	Equinos	41	4	3
22025	Altorricón	Gallinas ponedoras	Aves	61	6	54
22025	Altorricón	Lechones de menos de 20 kg	Porcinos	52	5	14465
22025	Altorricón	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	30022
22025	Altorricón	Otros bovinos de dos años o más	Bovinos	12	1	250
22025	Altorricón	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	14
22025	Altorricón	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	409
22025	Altorricón	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	61243
22025	Altorricón	Ovejas madres y corderas para reposición	Ovinos	21	2	2878
22025	Altorricón	Pollos de carne	Aves	62	6	231025
22025	Altorricón	Vacas	Bovinos	11	1	244
22027	Angüés	Bovinos de entre uno y dos años	Bovinos	13	1	177
22027	Angüés	Bovinos de menos de un año	Bovinos	14	1	604
22027	Angüés	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1000
22027	Angüés	Otros bovinos de dos años o más	Bovinos	12	1	250
22027	Angüés	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	4480
22027	Angüés	Pollos de carne	Aves	62	6	17000
22028	Ansó	Bovinos de entre uno y dos años	Bovinos	13	1	158
22028	Ansó	Bovinos de menos de un año	Bovinos	14	1	168
22028	Ansó	Cabras madres y chivas de reposición	Caprinos	31	3	118
22028	Ansó	Conejas madres	Conejas madres	71	7	1
22028	Ansó	Equinos (caballos, mulas y asnos)	Equinos	41	4	19
22028	Ansó	Gallinas ponedoras	Aves	61	6	12
22028	Ansó	Otros bovinos de dos años o más	Bovinos	12	1	51
22028	Ansó	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	27
22028	Ansó	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	982
22028	Ansó	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2
22028	Ansó	Ovejas madres y corderas para reposición	Ovinos	21	2	4877
22028	Ansó	Vacas	Bovinos	11	1	547
22029	Antillón	Bovinos de entre uno y dos años	Bovinos	13	1	220
22029	Antillón	Bovinos de menos de un año	Bovinos	14	1	275
22029	Antillón	Cabras madres y chivas de reposición	Caprinos	31	3	86
22029	Antillón	Lechones de menos de 20 kg	Porcinos	52	5	2000
22029	Antillón	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	3
22029	Antillón	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	110
22029	Antillón	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	7299
22029	Antillón	Ovejas madres y corderas para reposición	Ovinos	21	2	970
22029	Antillón	Vacas	Bovinos	11	1	30
22032	Aragüés del Puerto	Bovinos de entre uno y dos años	Bovinos	13	1	10
22032	Aragüés del Puerto	Bovinos de menos de un año	Bovinos	14	1	14
22032	Aragüés del Puerto	Cabras madres y chivas de reposición	Caprinos	31	3	40
22032	Aragüés del Puerto	Conejas madres	Conejas madres	71	7	2
22032	Aragüés del Puerto	Gallinas ponedoras	Aves	61	6	22
22032	Aragüés del Puerto	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	12
22032	Aragüés del Puerto	Otros bovinos de dos años o más	Bovinos	12	1	64
22032	Aragüés del Puerto	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	3
22032	Aragüés del Puerto	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	5
22032	Aragüés del Puerto	Ovejas madres y corderas para reposición	Ovinos	21	2	270
22032	Aragüés del Puerto	Pollos de carne	Aves	62	6	30
22035	Arén	Bovinos de entre uno y dos años	Bovinos	13	1	322
22035	Arén	Bovinos de menos de un año	Bovinos	14	1	1676
22035	Arén	Cabras madres y chivas de reposición	Caprinos	31	3	1132
22035	Arén	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	454
22035	Arén	Conejas madres	Conejas madres	71	7	5
22035	Arén	Equinos (caballos, mulas y asnos)	Equinos	41	4	3
22035	Arén	Gallinas ponedoras	Aves	61	6	58
22035	Arén	Lechones de menos de 20 kg	Porcinos	52	5	3497
22035	Arén	Otros bovinos de dos años o más	Bovinos	12	1	9
22035	Arén	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	109
22035	Arén	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2692
22035	Arén	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	5504
22035	Arén	Ovejas madres y corderas para reposición	Ovinos	21	2	15656
22035	Arén	Pollos de carne	Aves	62	6	61428
22035	Arén	Vacas	Bovinos	11	1	148
22036	Argavieso	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2
22036	Argavieso	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	6950
22036	Argavieso	Ovejas madres y corderas para reposición	Ovinos	21	2	28
22037	Arguis	Bovinos de entre uno y dos años	Bovinos	13	1	249
22037	Arguis	Bovinos de menos de un año	Bovinos	14	1	261
22037	Arguis	Equinos (caballos, mulas y asnos)	Equinos	41	4	3
22037	Arguis	Gallinas ponedoras	Aves	61	6	25
22037	Arguis	Otros bovinos de dos años o más	Bovinos	12	1	25
22037	Arguis	Ovejas madres y corderas para reposición	Ovinos	21	2	6
22037	Arguis	Pollos de carne	Aves	62	6	37
22037	Arguis	Vacas	Bovinos	11	1	424
22039	Ayerbe	Bovinos de entre uno y dos años	Bovinos	13	1	90
22039	Ayerbe	Bovinos de menos de un año	Bovinos	14	1	159
22039	Ayerbe	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	160
22039	Ayerbe	Colmenas	Colmenas	81	8	230
22039	Ayerbe	Gallinas ponedoras	Aves	61	6	24
22039	Ayerbe	Lechones de menos de 20 kg	Porcinos	52	5	300
22039	Ayerbe	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	7
22039	Ayerbe	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2
22039	Ayerbe	Ovejas madres y corderas para reposición	Ovinos	21	2	455
22040	Azanuy-Alins	Bovinos de entre uno y dos años	Bovinos	13	1	125
22040	Azanuy-Alins	Bovinos de menos de un año	Bovinos	14	1	118
22040	Azanuy-Alins	Cabras madres y chivas de reposición	Caprinos	31	3	120
22040	Azanuy-Alins	Conejas madres	Conejas madres	71	7	400
22040	Azanuy-Alins	Gallinas ponedoras	Aves	61	6	6
22040	Azanuy-Alins	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	2
22040	Azanuy-Alins	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	9
22040	Azanuy-Alins	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2520
22040	Azanuy-Alins	Ovejas madres y corderas para reposición	Ovinos	21	2	441
22040	Azanuy-Alins	Pollos de carne	Aves	62	6	24001
22040	Azanuy-Alins	Vacas	Bovinos	11	1	28
22041	Azara	Cabras madres y chivas de reposición	Caprinos	31	3	26
22041	Azara	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	349
22041	Azara	Conejas madres	Conejas madres	71	7	7
22041	Azara	Gallinas ponedoras	Aves	61	6	34
22041	Azara	Lechones de menos de 20 kg	Porcinos	52	5	1010
22041	Azara	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	2
22041	Azara	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2
22041	Azara	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	1805
22041	Azara	Ovejas madres y corderas para reposición	Ovinos	21	2	15
22042	Azlor	Bovinos de entre uno y dos años	Bovinos	13	1	123
22042	Azlor	Bovinos de menos de un año	Bovinos	14	1	280
22042	Azlor	Cabras madres y chivas de reposición	Caprinos	31	3	11
22042	Azlor	Colmenas	Colmenas	81	8	14
22042	Azlor	Conejas madres	Conejas madres	71	7	9
22042	Azlor	Gallinas ponedoras	Aves	61	6	64
22042	Azlor	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	2
22042	Azlor	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	212
22042	Azlor	Ovejas madres y corderas para reposición	Ovinos	21	2	861
22042	Azlor	Pollos de carne	Aves	62	6	58
22042	Azlor	Vacas	Bovinos	11	1	51
22043	Baells	Bovinos de menos de un año	Bovinos	14	1	160
22043	Baells	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	200
22043	Baells	Colmenas	Colmenas	81	8	90
22043	Baells	Gallinas ponedoras	Aves	61	6	6
22043	Baells	Lechones de menos de 20 kg	Porcinos	52	5	300
22043	Baells	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	1910
22043	Baells	Pollos de carne	Aves	62	6	30000
22044	Bailo	Bovinos de entre uno y dos años	Bovinos	13	1	11
22044	Bailo	Bovinos de menos de un año	Bovinos	14	1	56
22044	Bailo	Cabras madres y chivas de reposición	Caprinos	31	3	51
22044	Bailo	Colmenas	Colmenas	81	8	15
22044	Bailo	Conejas madres	Conejas madres	71	7	5
22044	Bailo	Equinos (caballos, mulas y asnos)	Equinos	41	4	32
22044	Bailo	Gallinas ponedoras	Aves	61	6	46
22044	Bailo	Otros bovinos de dos años o más	Bovinos	12	1	4
22044	Bailo	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	17
22044	Bailo	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	411
22044	Bailo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2001
22044	Bailo	Ovejas madres y corderas para reposición	Ovinos	21	2	7503
22044	Bailo	Pollos de carne	Aves	62	6	42
22044	Bailo	Vacas	Bovinos	11	1	111
22045	Baldellou	Bovinos de menos de un año	Bovinos	14	1	350
22045	Baldellou	Cabras madres y chivas de reposición	Caprinos	31	3	2
22045	Baldellou	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	804
22045	Baldellou	Colmenas	Colmenas	81	8	20
22045	Baldellou	Conejas madres	Conejas madres	71	7	350
22045	Baldellou	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2
22045	Baldellou	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	1980
22045	Baldellou	Ovejas madres y corderas para reposición	Ovinos	21	2	32
22046	Ballobar	Bovinos de entre uno y dos años	Bovinos	13	1	90
