Mes y año	Mes (código)	Sexo	Edad (grupos quinquenales)	Número de contratos	CCAA nombre
Septiembre 2020	202009	Mujeres	Más de 64	46	Aragón
Agosto 2020	202008	Hombres	16-19	1187	Aragón
Agosto 2020	202008	Mujeres	16-19	648	Aragón
Agosto 2020	202008	Hombres	20-24	3251	Aragón
Agosto 2020	202008	Mujeres	20-24	2217	Aragón
Agosto 2020	202008	Hombres	25-29	2737	Aragón
Agosto 2020	202008	Mujeres	25-29	2156	Aragón
Agosto 2020	202008	Hombres	30-34	2452	Aragón
Agosto 2020	202008	Mujeres	30-34	1857	Aragón
Agosto 2020	202008	Hombres	35-39	2411	Aragón
Agosto 2020	202008	Mujeres	35-39	1859	Aragón
Agosto 2020	202008	Hombres	40-44	2609	Aragón
Agosto 2020	202008	Mujeres	40-44	1993	Aragón
Agosto 2020	202008	Hombres	45-49	2241	Aragón
Agosto 2020	202008	Mujeres	45-49	2146	Aragón
Agosto 2020	202008	Hombres	50-54	1768	Aragón
Agosto 2020	202008	Mujeres	50-54	1618	Aragón
Agosto 2020	202008	Hombres	55-59	999	Aragón
Agosto 2020	202008	Mujeres	55-59	877	Aragón
Agosto 2020	202008	Hombres	60-64	515	Aragón
Agosto 2020	202008	Mujeres	60-64	336	Aragón
Agosto 2020	202008	Hombres	Más de 64	61	Aragón
Agosto 2020	202008	Mujeres	Más de 64	33	Aragón
Julio 2020	202007	Hombres	16-19	1941	Aragón
Julio 2020	202007	Mujeres	16-19	1158	Aragón
Julio 2020	202007	Hombres	20-24	4799	Aragón
Julio 2020	202007	Mujeres	20-24	3323	Aragón
Julio 2020	202007	Hombres	25-29	3652	Aragón
Julio 2020	202007	Mujeres	25-29	2903	Aragón
Julio 2020	202007	Hombres	30-34	3255	Aragón
Julio 2020	202007	Mujeres	30-34	2426	Aragón
Julio 2020	202007	Hombres	35-39	3061	Aragón
Julio 2020	202007	Mujeres	35-39	2294	Aragón
Julio 2020	202007	Hombres	40-44	3305	Aragón
Julio 2020	202007	Mujeres	40-44	2523	Aragón
Julio 2020	202007	Hombres	45-49	2772	Aragón
Julio 2020	202007	Mujeres	45-49	2470	Aragón
Julio 2020	202007	Hombres	50-54	2025	Aragón
Julio 2020	202007	Mujeres	50-54	1785	Aragón
Julio 2020	202007	Hombres	55-59	1270	Aragón
Julio 2020	202007	Mujeres	55-59	1023	Aragón
Julio 2020	202007	Hombres	60-64	638	Aragón
Julio 2020	202007	Mujeres	60-64	418	Aragón
Julio 2020	202007	Hombres	Más de 64	91	Aragón
Julio 2020	202007	Mujeres	Más de 64	60	Aragón
Junio 2020	202006	Hombres	16-19	1668	Aragón
Junio 2020	202006	Mujeres	16-19	753	Aragón
Junio 2020	202006	Hombres	20-24	3567	Aragón
Junio 2020	202006	Mujeres	20-24	2260	Aragón
Junio 2020	202006	Hombres	25-29	2906	Aragón
Junio 2020	202006	Mujeres	25-29	2113	Aragón
Junio 2020	202006	Hombres	30-34	2848	Aragón
Junio 2020	202006	Mujeres	30-34	1827	Aragón
Junio 2020	202006	Hombres	35-39	2780	Aragón
Junio 2020	202006	Mujeres	35-39	1885	Aragón
Junio 2020	202006	Hombres	40-44	2960	Aragón
Junio 2020	202006	Mujeres	40-44	2053	Aragón
Junio 2020	202006	Hombres	45-49	2622	Aragón
Junio 2020	202006	Mujeres	45-49	2034	Aragón
Junio 2020	202006	Hombres	50-54	1944	Aragón
Junio 2020	202006	Mujeres	50-54	1536	Aragón
Junio 2020	202006	Hombres	55-59	1162	Aragón
Junio 2020	202006	Mujeres	55-59	887	Aragón
Junio 2020	202006	Hombres	60-64	616	Aragón
Junio 2020	202006	Mujeres	60-64	317	Aragón
Junio 2020	202006	Hombres	Más de 64	96	Aragón
Junio 2020	202006	Mujeres	Más de 64	39	Aragón
Mayo 2020	202005	Hombres	16-19	1035	Aragón
Mayo 2020	202005	Mujeres	16-19	434	Aragón
Mayo 2020	202005	Hombres	20-24	2587	Aragón
Mayo 2020	202005	Mujeres	20-24	1493	Aragón
Mayo 2020	202005	Hombres	25-29	2327	Aragón
Mayo 2020	202005	Mujeres	25-29	1532	Aragón
Mayo 2020	202005	Hombres	30-34	2304	Aragón
Mayo 2020	202005	Mujeres	30-34	1337	Aragón
Mayo 2020	202005	Hombres	35-39	2490	Aragón
Mayo 2020	202005	Mujeres	35-39	1419	Aragón
Mayo 2020	202005	Hombres	40-44	2646	Aragón
Mayo 2020	202005	Mujeres	40-44	1592	Aragón
Mayo 2020	202005	Hombres	45-49	2294	Aragón
Mayo 2020	202005	Mujeres	45-49	1477	Aragón
Mayo 2020	202005	Hombres	50-54	1695	Aragón
Mayo 2020	202005	Mujeres	50-54	1090	Aragón
Mayo 2020	202005	Hombres	55-59	1001	Aragón
Mayo 2020	202005	Mujeres	55-59	572	Aragón
Mayo 2020	202005	Hombres	60-64	449	Aragón
Mayo 2020	202005	Mujeres	60-64	179	Aragón
Mayo 2020	202005	Hombres	Más de 64	71	Aragón
Mayo 2020	202005	Mujeres	Más de 64	11	Aragón
Abril 2020	202004	Hombres	16-19	569	Aragón
Abril 2020	202004	Mujeres	16-19	224	Aragón
Abril 2020	202004	Hombres	20-24	1495	Aragón
Abril 2020	202004	Mujeres	20-24	977	Aragón
Abril 2020	202004	Hombres	25-29	1377	Aragón
Abril 2020	202004	Mujeres	25-29	972	Aragón
Abril 2020	202004	Hombres	30-34	1435	Aragón
Abril 2020	202004	Mujeres	30-34	915	Aragón
Abril 2020	202004	Hombres	35-39	1545	Aragón
Abril 2020	202004	Mujeres	35-39	963	Aragón
Abril 2020	202004	Hombres	40-44	1664	Aragón
Abril 2020	202004	Mujeres	40-44	1036	Aragón
Abril 2020	202004	Hombres	45-49	1465	Aragón
Abril 2020	202004	Mujeres	45-49	954	Aragón
Abril 2020	202004	Hombres	50-54	1041	Aragón
Abril 2020	202004	Mujeres	50-54	778	Aragón
Abril 2020	202004	Hombres	55-59	638	Aragón
Abril 2020	202004	Mujeres	55-59	396	Aragón
Abril 2020	202004	Hombres	60-64	311	Aragón
Abril 2020	202004	Mujeres	60-64	156	Aragón
Abril 2020	202004	Hombres	Más de 64	48	Aragón
Abril 2020	202004	Mujeres	Más de 64	11	Aragón
Marzo 2020	202003	Hombres	16-19	838	Aragón
Marzo 2020	202003	Mujeres	16-19	500	Aragón
Marzo 2020	202003	Hombres	20-24	2849	Aragón
Marzo 2020	202003	Mujeres	20-24	2282	Aragón
Marzo 2020	202003	Hombres	25-29	2720	Aragón
Marzo 2020	202003	Mujeres	25-29	2367	Aragón
Marzo 2020	202003	Hombres	30-34	2350	Aragón
Marzo 2020	202003	Mujeres	30-34	1876	Aragón
Marzo 2020	202003	Hombres	35-39	2343	Aragón
Marzo 2020	202003	Mujeres	35-39	1890	Aragón
Marzo 2020	202003	Hombres	40-44	2525	Aragón
Marzo 2020	202003	Mujeres	40-44	2051	Aragón
Marzo 2020	202003	Hombres	45-49	2093	Aragón
Marzo 2020	202003	Mujeres	45-49	1849	Aragón
Marzo 2020	202003	Hombres	50-54	1405	Aragón
Marzo 2020	202003	Mujeres	50-54	1460	Aragón
Marzo 2020	202003	Hombres	55-59	923	Aragón
Marzo 2020	202003	Mujeres	55-59	828	Aragón
Marzo 2020	202003	Hombres	60-64	356	Aragón
Marzo 2020	202003	Mujeres	60-64	321	Aragón
Marzo 2020	202003	Hombres	Más de 64	57	Aragón
Marzo 2020	202003	Mujeres	Más de 64	31	Aragón
Febrero 2020	202002	Hombres	16-19	1154	Aragón
Febrero 2020	202002	Mujeres	16-19	703	Aragón
Febrero 2020	202002	Hombres	20-24	3828	Aragón
Febrero 2020	202002	Mujeres	20-24	3089	Aragón
Febrero 2020	202002	Hombres	25-29	3590	Aragón
Febrero 2020	202002	Mujeres	25-29	3221	Aragón
Febrero 2020	202002	Hombres	30-34	2988	Aragón
Febrero 2020	202002	Mujeres	30-34	2541	Aragón
Febrero 2020	202002	Hombres	35-39	2964	Aragón
Febrero 2020	202002	Mujeres	35-39	2396	Aragón
Febrero 2020	202002	Hombres	40-44	3216	Aragón
Febrero 2020	202002	Mujeres	40-44	2652	Aragón
Febrero 2020	202002	Hombres	45-49	2657	Aragón
Febrero 2020	202002	Mujeres	45-49	2558	Aragón
Febrero 2020	202002	Hombres	50-54	1915	Aragón
Febrero 2020	202002	Mujeres	50-54	1847	Aragón
Febrero 2020	202002	Hombres	55-59	1326	Aragón
Febrero 2020	202002	Mujeres	55-59	1157	Aragón
Febrero 2020	202002	Hombres	60-64	532	Aragón
Febrero 2020	202002	Mujeres	60-64	428	Aragón
Febrero 2020	202002	Hombres	Más de 64	82	Aragón
Febrero 2020	202002	Mujeres	Más de 64	39	Aragón
Enero 2020	202001	Hombres	16-19	1138	Aragón
Enero 2020	202001	Mujeres	16-19	798	Aragón
Enero 2020	202001	Hombres	20-24	4123	Aragón
Enero 2020	202001	Mujeres	20-24	3275	Aragón
Enero 2020	202001	Hombres	25-29	3754	Aragón
Enero 2020	202001	Mujeres	25-29	3332	Aragón
Enero 2020	202001	Hombres	30-34	3208	Aragón
Enero 2020	202001	Mujeres	30-34	2724	Aragón
Enero 2020	202001	Hombres	35-39	3156	Aragón
Enero 2020	202001	Mujeres	35-39	2513	Aragón
Enero 2020	202001	Hombres	40-44	3312	Aragón
Enero 2020	202001	Mujeres	40-44	2830	Aragón
Enero 2020	202001	Hombres	45-49	2695	Aragón
Enero 2020	202001	Mujeres	45-49	2624	Aragón
Enero 2020	202001	Hombres	50-54	1933	Aragón
Enero 2020	202001	Mujeres	50-54	1807	Aragón
Enero 2020	202001	Hombres	55-59	1275	Aragón
Enero 2020	202001	Mujeres	55-59	1154	Aragón
Enero 2020	202001	Hombres	60-64	499	Aragón
Enero 2020	202001	Mujeres	60-64	413	Aragón
Enero 2020	202001	Hombres	Más de 64	51	Aragón
Enero 2020	202001	Mujeres	Más de 64	32	Aragón
Diciembre 2019	201912	Hombres	16-19	1181	Aragón
Diciembre 2019	201912	Mujeres	16-19	971	Aragón
Diciembre 2019	201912	Hombres	20-24	4061	Aragón
Diciembre 2019	201912	Mujeres	20-24	3678	Aragón
Diciembre 2019	201912	Hombres	25-29	3218	Aragón
Diciembre 2019	201912	Mujeres	25-29	3154	Aragón
Diciembre 2019	201912	Hombres	30-34	2731	Aragón
Diciembre 2019	201912	Mujeres	30-34	2418	Aragón
Diciembre 2019	201912	Hombres	35-39	2544	Aragón
Diciembre 2019	201912	Mujeres	35-39	2378	Aragón
Diciembre 2019	201912	Hombres	40-44	2703	Aragón
Diciembre 2019	201912	Mujeres	40-44	2648	Aragón
Diciembre 2019	201912	Hombres	45-49	2258	Aragón
Diciembre 2019	201912	Mujeres	45-49	2413	Aragón
Diciembre 2019	201912	Hombres	50-54	1577	Aragón
Diciembre 2019	201912	Mujeres	50-54	1844	Aragón
Diciembre 2019	201912	Hombres	55-59	986	Aragón
Diciembre 2019	201912	Mujeres	55-59	1157	Aragón
Diciembre 2019	201912	Hombres	60-64	437	Aragón
Diciembre 2019	201912	Mujeres	60-64	424	Aragón
Diciembre 2019	201912	Hombres	Más de 64	63	Aragón
Diciembre 2019	201912	Mujeres	Más de 64	39	Aragón
Noviembre 2019	201911	Hombres	16-19	1141	Aragón
Noviembre 2019	201911	Mujeres	16-19	876	Aragón
Noviembre 2019	201911	Hombres	20-24	4081	Aragón
Noviembre 2019	201911	Mujeres	20-24	3567	Aragón
Noviembre 2019	201911	Hombres	25-29	3592	Aragón
Noviembre 2019	201911	Mujeres	25-29	3453	Aragón
Noviembre 2019	201911	Hombres	30-34	3110	Aragón
Noviembre 2019	201911	Mujeres	30-34	2598	Aragón
Noviembre 2019	201911	Hombres	35-39	3018	Aragón
Noviembre 2019	201911	Mujeres	35-39	2555	Aragón
Noviembre 2019	201911	Hombres	40-44	3255	Aragón
Noviembre 2019	201911	Mujeres	40-44	2760	Aragón
Noviembre 2019	201911	Hombres	45-49	2625	Aragón
Noviembre 2019	201911	Mujeres	45-49	2628	Aragón
Noviembre 2019	201911	Hombres	50-54	1840	Aragón
Noviembre 2019	201911	Mujeres	50-54	1910	Aragón
Noviembre 2019	201911	Hombres	55-59	1202	Aragón
Noviembre 2019	201911	Mujeres	55-59	1292	Aragón
Noviembre 2019	201911	Hombres	60-64	506	Aragón
Noviembre 2019	201911	Mujeres	60-64	411	Aragón
Noviembre 2019	201911	Hombres	Más de 64	64	Aragón
Noviembre 2019	201911	Mujeres	Más de 64	45	Aragón
Octubre 2019	201910	Hombres	16-19	1593	Aragón
Octubre 2019	201910	Mujeres	16-19	1225	Aragón
Octubre 2019	201910	Hombres	20-24	5529	Aragón
Octubre 2019	201910	Mujeres	20-24	4825	Aragón
Octubre 2019	201910	Hombres	25-29	4597	Aragón
Octubre 2019	201910	Mujeres	25-29	4325	Aragón
Octubre 2019	201910	Hombres	30-34	3895	Aragón
Octubre 2019	201910	Mujeres	30-34	3469	Aragón
Octubre 2019	201910	Hombres	35-39	3958	Aragón
Octubre 2019	201910	Mujeres	35-39	3387	Aragón
Octubre 2019	201910	Hombres	40-44	4023	Aragón
Octubre 2019	201910	Mujeres	40-44	3630	Aragón
Octubre 2019	201910	Hombres	45-49	3393	Aragón
Octubre 2019	201910	Mujeres	45-49	3397	Aragón
Octubre 2019	201910	Hombres	50-54	2513	Aragón
Octubre 2019	201910	Mujeres	50-54	2617	Aragón
Octubre 2019	201910	Hombres	55-59	1630	Aragón
Octubre 2019	201910	Mujeres	55-59	1572	Aragón
Octubre 2019	201910	Hombres	60-64	686	Aragón
Octubre 2019	201910	Mujeres	60-64	565	Aragón
Octubre 2019	201910	Hombres	Más de 64	86	Aragón
Octubre 2019	201910	Mujeres	Más de 64	87	Aragón
Septiembre 2019	201909	Hombres	16-19	1952	Aragón
Septiembre 2019	201909	Mujeres	16-19	1303	Aragón
Septiembre 2019	201909	Hombres	20-24	5348	Aragón
Septiembre 2019	201909	Mujeres	20-24	4345	Aragón
Septiembre 2019	201909	Hombres	25-29	4648	Aragón
Septiembre 2019	201909	Mujeres	25-29	4284	Aragón
Septiembre 2019	201909	Hombres	30-34	3933	Aragón
Septiembre 2019	201909	Mujeres	30-34	3445	Aragón
Septiembre 2019	201909	Hombres	35-39	4067	Aragón
Septiembre 2019	201909	Mujeres	35-39	3234	Aragón
Septiembre 2019	201909	Hombres	40-44	4261	Aragón
Septiembre 2019	201909	Mujeres	40-44	3662	Aragón
Septiembre 2019	201909	Hombres	45-49	3537	Aragón
Septiembre 2019	201909	Mujeres	45-49	3310	Aragón
Septiembre 2019	201909	Hombres	50-54	2683	Aragón
Septiembre 2019	201909	Mujeres	50-54	2425	Aragón
Septiembre 2019	201909	Hombres	55-59	1726	Aragón
Septiembre 2019	201909	Mujeres	55-59	1460	Aragón
Septiembre 2019	201909	Hombres	60-64	780	Aragón
Septiembre 2019	201909	Mujeres	60-64	499	Aragón
Septiembre 2019	201909	Hombres	Más de 64	104	Aragón
Septiembre 2019	201909	Mujeres	Más de 64	64	Aragón
Agosto 2019	201908	Hombres	16-19	1899	Aragón
Agosto 2019	201908	Mujeres	16-19	1114	Aragón
Agosto 2019	201908	Hombres	20-24	4281	Aragón
Agosto 2019	201908	Mujeres	20-24	3126	Aragón
Agosto 2019	201908	Hombres	25-29	3562	Aragón
Agosto 2019	201908	Mujeres	25-29	2727	Aragón
Agosto 2019	201908	Hombres	30-34	3110	Aragón
Agosto 2019	201908	Mujeres	30-34	2339	Aragón
Agosto 2019	201908	Hombres	35-39	3240	Aragón
Agosto 2019	201908	Mujeres	35-39	2465	Aragón
Agosto 2019	201908	Hombres	40-44	3442	Aragón
Agosto 2019	201908	Mujeres	40-44	2741	Aragón
Agosto 2019	201908	Hombres	45-49	2874	Aragón
Agosto 2019	201908	Mujeres	45-49	2473	Aragón
Agosto 2019	201908	Hombres	50-54	2099	Aragón
Agosto 2019	201908	Mujeres	50-54	1890	Aragón
Agosto 2019	201908	Hombres	55-59	1374	Aragón
Agosto 2019	201908	Mujeres	55-59	1036	Aragón
Agosto 2019	201908	Hombres	60-64	587	Aragón
Agosto 2019	201908	Mujeres	60-64	357	Aragón
Agosto 2019	201908	Hombres	Más de 64	88	Aragón
Agosto 2019	201908	Mujeres	Más de 64	41	Aragón
Julio 2019	201907	Hombres	16-19	3180	Aragón
Julio 2019	201907	Mujeres	16-19	2061	Aragón
Julio 2019	201907	Hombres	20-24	6437	Aragón
Julio 2019	201907	Mujeres	20-24	5323	Aragón
Julio 2019	201907	Hombres	25-29	4870	Aragón
Julio 2019	201907	Mujeres	25-29	4046	Aragón
Julio 2019	201907	Hombres	30-34	4008	Aragón
Julio 2019	201907	Mujeres	30-34	3203	Aragón
Julio 2019	201907	Hombres	35-39	4190	Aragón
Julio 2019	201907	Mujeres	35-39	3158	Aragón
Julio 2019	201907	Hombres	40-44	4530	Aragón
Julio 2019	201907	Mujeres	40-44	3488	Aragón
Julio 2019	201907	Hombres	45-49	3690	Aragón
Julio 2019	201907	Mujeres	45-49	3228	Aragón
Julio 2019	201907	Hombres	50-54	2728	Aragón
Julio 2019	201907	Mujeres	50-54	2415	Aragón
Julio 2019	201907	Hombres	55-59	1675	Aragón
Julio 2019	201907	Mujeres	55-59	1405	Aragón
Julio 2019	201907	Hombres	60-64	737	Aragón
Julio 2019	201907	Mujeres	60-64	431	Aragón
Julio 2019	201907	Hombres	Más de 64	109	Aragón
Julio 2019	201907	Mujeres	Más de 64	53	Aragón
Junio 2019	201906	Hombres	16-19	2585	Aragón
Junio 2019	201906	Mujeres	16-19	1588	Aragón
Junio 2019	201906	Hombres	20-24	5734	Aragón
Junio 2019	201906	Mujeres	20-24	4588	Aragón
Junio 2019	201906	Hombres	25-29	4739	Aragón
Junio 2019	201906	Mujeres	25-29	3858	Aragón
Junio 2019	201906	Hombres	30-34	4190	Aragón
Junio 2019	201906	Mujeres	30-34	3198	Aragón
Junio 2019	201906	Hombres	35-39	4135	Aragón
Junio 2019	201906	Mujeres	35-39	3052	Aragón
Junio 2019	201906	Hombres	40-44	4639	Aragón
Junio 2019	201906	Mujeres	40-44	3683	Aragón
Junio 2019	201906	Hombres	45-49	3865	Aragón
Junio 2019	201906	Mujeres	45-49	3207	Aragón
Junio 2019	201906	Hombres	50-54	2952	Aragón
Junio 2019	201906	Mujeres	50-54	2460	Aragón
Junio 2019	201906	Hombres	55-59	1671	Aragón
Junio 2019	201906	Mujeres	55-59	1387	Aragón
Junio 2019	201906	Hombres	60-64	799	Aragón
Junio 2019	201906	Mujeres	60-64	511	Aragón
Junio 2019	201906	Hombres	Más de 64	110	Aragón
Junio 2019	201906	Mujeres	Más de 64	60	Aragón
Mayo 2019	201905	Hombres	16-19	1854	Aragón
Mayo 2019	201905	Mujeres	16-19	1171	Aragón
Mayo 2019	201905	Hombres	20-24	5518	Aragón
Mayo 2019	201905	Mujeres	20-24	4172	Aragón
Mayo 2019	201905	Hombres	25-29	4983	Aragón
Mayo 2019	201905	Mujeres	25-29	4000	Aragón
Mayo 2019	201905	Hombres	30-34	4387	Aragón
Mayo 2019	201905	Mujeres	30-34	3438	Aragón
Mayo 2019	201905	Hombres	35-39	4947	Aragón
Mayo 2019	201905	Mujeres	35-39	3331	Aragón
Mayo 2019	201905	Hombres	40-44	5321	Aragón
Mayo 2019	201905	Mujeres	40-44	4047	Aragón
Mayo 2019	201905	Hombres	45-49	4456	Aragón
Mayo 2019	201905	Mujeres	45-49	3485	Aragón
Mayo 2019	201905	Hombres	50-54	3227	Aragón
Mayo 2019	201905	Mujeres	50-54	2526	Aragón
Mayo 2019	201905	Hombres	55-59	2045	Aragón
Mayo 2019	201905	Mujeres	55-59	1473	Aragón
Mayo 2019	201905	Hombres	60-64	930	Aragón
Mayo 2019	201905	Mujeres	60-64	413	Aragón
Mayo 2019	201905	Hombres	Más de 64	131	Aragón
Mayo 2019	201905	Mujeres	Más de 64	78	Aragón
Abril 2019	201904	Hombres	16-19	1265	Aragón
Abril 2019	201904	Mujeres	16-19	850	Aragón
Abril 2019	201904	Hombres	20-24	4105	Aragón
Abril 2019	201904	Mujeres	20-24	3273	Aragón
Abril 2019	201904	Hombres	25-29	3779	Aragón
Abril 2019	201904	Mujeres	25-29	3102	Aragón
Abril 2019	201904	Hombres	30-34	3256	Aragón
Abril 2019	201904	Mujeres	30-34	2736	Aragón
Abril 2019	201904	Hombres	35-39	3245	Aragón
Abril 2019	201904	Mujeres	35-39	2520	Aragón
Abril 2019	201904	Hombres	40-44	3328	Aragón
Abril 2019	201904	Mujeres	40-44	2809	Aragón
Abril 2019	201904	Hombres	45-49	2682	Aragón
Abril 2019	201904	Mujeres	45-49	2446	Aragón
Abril 2019	201904	Hombres	50-54	2026	Aragón
Abril 2019	201904	Mujeres	50-54	1871	Aragón
Abril 2019	201904	Hombres	55-59	1197	Aragón
Abril 2019	201904	Mujeres	55-59	1014	Aragón
Abril 2019	201904	Hombres	60-64	617	Aragón
Abril 2019	201904	Mujeres	60-64	352	Aragón
Abril 2019	201904	Hombres	Más de 64	61	Aragón
Abril 2019	201904	Mujeres	Más de 64	34	Aragón
Marzo 2019	201903	Hombres	16-19	1018	Aragón
Marzo 2019	201903	Mujeres	16-19	779	Aragón
Marzo 2019	201903	Hombres	20-24	3931	Aragón
Marzo 2019	201903	Mujeres	20-24	3300	Aragón
Marzo 2019	201903	Hombres	25-29	3616	Aragón
Marzo 2019	201903	Mujeres	25-29	3229	Aragón
Marzo 2019	201903	Hombres	30-34	3126	Aragón
Marzo 2019	201903	Mujeres	30-34	2724	Aragón
Marzo 2019	201903	Hombres	35-39	3203	Aragón
Marzo 2019	201903	Mujeres	35-39	2529	Aragón
Marzo 2019	201903	Hombres	40-44	3323	Aragón
Marzo 2019	201903	Mujeres	40-44	2789	Aragón
Marzo 2019	201903	Hombres	45-49	2566	Aragón
Marzo 2019	201903	Mujeres	45-49	2254	Aragón
Marzo 2019	201903	Hombres	50-54	1933	Aragón
Marzo 2019	201903	Mujeres	50-54	1831	Aragón
Marzo 2019	201903	Hombres	55-59	1148	Aragón
Marzo 2019	201903	Mujeres	55-59	1020	Aragón
Marzo 2019	201903	Hombres	60-64	460	Aragón
Marzo 2019	201903	Mujeres	60-64	339	Aragón
Marzo 2019	201903	Hombres	Más de 64	51	Aragón
Marzo 2019	201903	Mujeres	Más de 64	26	Aragón
Febrero 2019	201902	Hombres	16-19	933	Aragón
Febrero 2019	201902	Mujeres	16-19	630	Aragón
Febrero 2019	201902	Hombres	20-24	3540	Aragón
Febrero 2019	201902	Mujeres	20-24	2768	Aragón
Febrero 2019	201902	Hombres	25-29	3481	Aragón
Febrero 2019	201902	Mujeres	25-29	3069	Aragón
Febrero 2019	201902	Hombres	30-34	2802	Aragón
Febrero 2019	201902	Mujeres	30-34	2446	Aragón
Febrero 2019	201902	Hombres	35-39	2880	Aragón
Febrero 2019	201902	Mujeres	35-39	2411	Aragón
Febrero 2019	201902	Hombres	40-44	2964	Aragón
Febrero 2019	201902	Mujeres	40-44	2540	Aragón
Febrero 2019	201902	Hombres	45-49	2308	Aragón
Febrero 2019	201902	Mujeres	45-49	2231	Aragón
Febrero 2019	201902	Hombres	50-54	1825	Aragón
Febrero 2019	201902	Mujeres	50-54	1759	Aragón
Febrero 2019	201902	Hombres	55-59	1144	Aragón
Febrero 2019	201902	Mujeres	55-59	1036	Aragón
Febrero 2019	201902	Hombres	60-64	416	Aragón
Febrero 2019	201902	Mujeres	60-64	327	Aragón
Febrero 2019	201902	Hombres	Más de 64	51	Aragón
Febrero 2019	201902	Mujeres	Más de 64	19	Aragón
Enero 2019	201901	Hombres	16-19	973	Aragón
Enero 2019	201901	Mujeres	16-19	673	Aragón
Enero 2019	201901	Hombres	20-24	4196	Aragón
Enero 2019	201901	Mujeres	20-24	3324	Aragón
Enero 2019	201901	Hombres	25-29	4130	Aragón
Enero 2019	201901	Mujeres	25-29	3391	Aragón
Enero 2019	201901	Hombres	30-34	3385	Aragón
