Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
22029	Antillón	2007	2	PP	2
22029	Antillón	2007	3	PAR	1
22029	Antillón	2007	4	CHA	1
22029	Antillón	2011	1	PP	2
22029	Antillón	2011	2	PSOE	2
22029	Antillón	2011	3	PAR	1
22029	Antillón	2015	1	PP	1
22029	Antillón	2015	2	PSOE	3
22029	Antillón	2015	4	PAR	1
22032	Aragüés del Puerto	2007	1	PSOE	4
22032	Aragüés del Puerto	2007	2	PP	1
22032	Aragüés del Puerto	2007	3	PAR	0
22032	Aragüés del Puerto	2007	4	CHA	0
22032	Aragüés del Puerto	2011	1	PP	0
22032	Aragüés del Puerto	2011	2	PSOE	3
22032	Aragüés del Puerto	2011	3	PAR	2
22032	Aragüés del Puerto	2015	1	PP	0
22032	Aragüés del Puerto	2015	2	PSOE	4
22032	Aragüés del Puerto	2015	4	PAR	1
22035	Arén	2007	1	PSOE	5
22035	Arén	2007	2	PP	1
22035	Arén	2007	4	CHA	1
22035	Arén	2011	1	PP	1
22035	Arén	2011	2	PSOE	6
22035	Arén	2011	4	CHA	0
22035	Arén	2011	20	CDF	0
22035	Arén	2015	2	PSOE	7
22036	Argavieso	2007	1	PSOE	2
22036	Argavieso	2007	2	PP	3
22036	Argavieso	2007	3	PAR	0
22036	Argavieso	2007	4	CHA	0
22036	Argavieso	2011	1	PP	3
22036	Argavieso	2011	2	PSOE	2
22036	Argavieso	2011	3	PAR	0
22036	Argavieso	2015	1	PP	4
22036	Argavieso	2015	2	PSOE	1
22036	Argavieso	2015	4	PAR	0
22037	Arguis	2007	1	PSOE	0
22037	Arguis	2007	2	PP	1
22037	Arguis	2007	3	PAR	0
22037	Arguis	2007	4	CHA	0
22037	Arguis	2011	1	PP	4
22037	Arguis	2011	2	PSOE	1
22037	Arguis	2011	3	PAR	0
22037	Arguis	2011	4	CHA	0
22037	Arguis	2015	1	PP	1
22037	Arguis	2015	2	PSOE	1
22037	Arguis	2015	4	PAR	2
22037	Arguis	2015	7	CHA	1
22039	Ayerbe	2007	1	PSOE	4
22039	Ayerbe	2007	2	PP	3
22039	Ayerbe	2007	3	PAR	1
22039	Ayerbe	2007	4	CHA	1
22039	Ayerbe	2011	1	PP	3
22039	Ayerbe	2011	2	PSOE	3
22039	Ayerbe	2011	3	PAR	1
22039	Ayerbe	2011	4	CHA	2
22039	Ayerbe	2015	1	PP	3
22039	Ayerbe	2015	2	PSOE	5
22039	Ayerbe	2015	4	PAR	0
22039	Ayerbe	2015	7	CHA	1
22040	Azanuy-Alins	2007	1	PSOE	1
22040	Azanuy-Alins	2007	2	PP	0
22040	Azanuy-Alins	2007	3	PAR	4
22040	Azanuy-Alins	2007	4	CHA	0
22040	Azanuy-Alins	2011	1	PP	1
22040	Azanuy-Alins	2011	2	PSOE	1
22040	Azanuy-Alins	2011	3	PAR	3
22040	Azanuy-Alins	2011	4	CHA	0
22040	Azanuy-Alins	2015	1	PP	0
22040	Azanuy-Alins	2015	2	PSOE	2
22040	Azanuy-Alins	2015	4	PAR	3
22040	Azanuy-Alins	2015	7	CHA	0
22041	Azara	2007	1	PSOE	3
22041	Azara	2007	2	PP	2
22041	Azara	2007	4	CHA	0
22041	Azara	2011	1	PP	2
22041	Azara	2011	2	PSOE	3
22041	Azara	2011	3	PAR	0
22041	Azara	2015	1	PP	1
22041	Azara	2015	2	PSOE	4
22041	Azara	2015	4	PAR	0
22042	Azlor	2007	1	PSOE	4
22042	Azlor	2007	2	PP	1
22042	Azlor	2007	4	CHA	0
22042	Azlor	2011	1	PP	0
22042	Azlor	2011	2	PSOE	4
22042	Azlor	2011	3	PAR	1
22042	Azlor	2015	1	PP	1
22042	Azlor	2015	2	PSOE	4
22042	Azlor	2015	4	PAR	0
22043	Baells	2007	1	PSOE	1
22043	Baells	2007	2	PP	0
22043	Baells	2007	3	PAR	4
22043	Baells	2007	4	CHA	0
22043	Baells	2011	1	PP	1
22043	Baells	2011	2	PSOE	0
22043	Baells	2011	3	PAR	4
22043	Baells	2015	1	PP	0
22043	Baells	2015	2	PSOE	1
22043	Baells	2015	4	PAR	4
22044	Bailo	2007	1	PSOE	4
22044	Bailo	2007	2	PP	0
22044	Bailo	2007	3	PAR	1
22044	Bailo	2007	4	CHA	0
22044	Bailo	2011	1	PP	2
22044	Bailo	2011	2	PSOE	5
22044	Bailo	2015	1	PP	2
22044	Bailo	2015	2	PSOE	5
22045	Baldellou	2007	1	PSOE	4
22045	Baldellou	2007	2	PP	0
22045	Baldellou	2007	3	PAR	1
22045	Baldellou	2007	4	CHA	0
22045	Baldellou	2011	1	PP	0
22045	Baldellou	2011	2	PSOE	4
22045	Baldellou	2011	3	PAR	1
22045	Baldellou	2011	4	CHA	0
22045	Baldellou	2015	1	PP	0
22045	Baldellou	2015	2	PSOE	3
22045	Baldellou	2015	4	PAR	0
22045	Baldellou	2015	7	CHA	0
22046	Ballobar	2007	1	PSOE	4
22046	Ballobar	2007	2	PP	2
22046	Ballobar	2007	3	PAR	1
22046	Ballobar	2011	1	PP	3
22046	Ballobar	2011	2	PSOE	3
22046	Ballobar	2011	3	PAR	1
22046	Ballobar	2015	1	PP	3
22046	Ballobar	2015	2	PSOE	4
22046	Ballobar	2015	4	PAR	0
22047	Banastás	2007	1	PSOE	0
22047	Banastás	2007	2	PP	5
22047	Banastás	2007	3	PAR	0
22047	Banastás	2007	4	CHA	0
22047	Banastás	2011	1	PP	4
22047	Banastás	2011	2	PSOE	3
22047	Banastás	2015	1	PP	4
22047	Banastás	2015	2	PSOE	3
22048	Barbastro	2007	1	PSOE	10
22048	Barbastro	2007	2	PP	4
22048	Barbastro	2007	3	PAR	1
22048	Barbastro	2007	4	CHA	1
22048	Barbastro	2007	5	IU	1
22048	Barbastro	2011	1	PP	6
22048	Barbastro	2011	2	PSOE	8
22048	Barbastro	2011	3	PAR	1
22048	Barbastro	2011	4	CHA	1
22048	Barbastro	2011	5	IU	1
22048	Barbastro	2015	1	PP	5
22048	Barbastro	2015	2	PSOE	8
22048	Barbastro	2015	4	PAR	1
22048	Barbastro	2015	5	C's	2
22048	Barbastro	2015	7	CHA	0
22048	Barbastro	2015	13	ARAGONSIPUEDE	0
22048	Barbastro	2015	15	CAMBIAR	1
22048	Barbastro	2015	47	C.P.Btro	0
22049	Barbués	2007	1	PSOE	1
22049	Barbués	2007	2	PP	4
22049	Barbués	2007	3	PAR	0
22049	Barbués	2007	4	CHA	0
22049	Barbués	2011	1	PP	2
22049	Barbués	2011	2	PSOE	1
22049	Barbués	2011	3	PAR	0
22049	Barbués	2015	1	PP	2
22049	Barbués	2015	2	PSOE	1
22049	Barbués	2015	4	PAR	0
22050	Barbuñales	2007	1	PSOE	2
22050	Barbuñales	2007	2	PP	3
22050	Barbuñales	2007	3	PAR	0
22050	Barbuñales	2007	4	CHA	0
22050	Barbuñales	2011	1	PP	4
22050	Barbuñales	2011	2	PSOE	1
22050	Barbuñales	2011	3	PAR	0
22050	Barbuñales	2015	1	PP	1
22050	Barbuñales	2015	2	PSOE	1
22050	Barbuñales	2015	4	PAR	1
22051	Bárcabo	2007	1	PSOE	3
22051	Bárcabo	2007	2	PP	2
22051	Bárcabo	2007	4	CHA	0
22051	Bárcabo	2011	1	PP	2
22051	Bárcabo	2011	2	PSOE	3
22051	Bárcabo	2011	3	PAR	0
22051	Bárcabo	2011	4	CHA	0
22051	Bárcabo	2015	1	PP	1
22051	Bárcabo	2015	2	PSOE	4
22051	Bárcabo	2015	4	PAR	0
22051	Bárcabo	2015	7	CHA	0
22052	Belver de Cinca	2007	1	PSOE	5
22052	Belver de Cinca	2007	2	PP	3
22052	Belver de Cinca	2007	3	PAR	1
22052	Belver de Cinca	2011	1	PP	3
22052	Belver de Cinca	2011	2	PSOE	5
22052	Belver de Cinca	2011	3	PAR	1
22052	Belver de Cinca	2015	1	PP	2
22052	Belver de Cinca	2015	2	PSOE	4
22052	Belver de Cinca	2015	4	PAR	3
22053	Benabarre	2007	1	PSOE	6
22053	Benabarre	2007	2	PP	2
22053	Benabarre	2007	3	PAR	0
22053	Benabarre	2007	4	CHA	1
22053	Benabarre	2011	1	PP	3
22053	Benabarre	2011	2	PSOE	5
22053	Benabarre	2011	4	CHA	1
22053	Benabarre	2011	20	CDF	0
22053	Benabarre	2015	1	PP	4
22053	Benabarre	2015	2	PSOE	4
22053	Benabarre	2015	4	PAR	0
22053	Benabarre	2015	13	ARAGONSIPUEDE	1
22054	Benasque	2007	1	PSOE	3
22054	Benasque	2007	2	PP	1
22054	Benasque	2007	3	PAR	6
22054	Benasque	2007	4	CHA	0
22054	Benasque	2007	5	IU	1
22054	Benasque	2011	1	PP	4
22054	Benasque	2011	2	PSOE	2
22054	Benasque	2011	3	PAR	4
22054	Benasque	2011	5	IU	1
22054	Benasque	2011	33	CCD	0
22054	Benasque	2015	1	PP	3
22054	Benasque	2015	2	PSOE	2
22054	Benasque	2015	4	PAR	5
22054	Benasque	2015	5	C's	0
22054	Benasque	2015	7	CHA	0
22054	Benasque	2015	15	CAMBIAR	1
22055	Berbegal	2007	1	PSOE	3
22055	Berbegal	2007	2	PP	0
22055	Berbegal	2007	4	CHA	4
22055	Berbegal	2011	1	PP	1
22055	Berbegal	2011	2	PSOE	3
22055	Berbegal	2011	4	CHA	3
22055	Berbegal	2011	8	FIA	0
22055	Berbegal	2015	1	PP	3
22055	Berbegal	2015	2	PSOE	4
22057	Bielsa	2007	1	PSOE	5
22057	Bielsa	2007	2	PP	0
22057	Bielsa	2007	4	CHA	2
22057	Bielsa	2011	2	PSOE	5
22057	Bielsa	2011	4	CHA	2
22057	Bielsa	2015	2	PSOE	5
22057	Bielsa	2015	7	CHA	2
22058	Bierge	2007	1	PSOE	4
22058	Bierge	2007	2	PP	0
22058	Bierge	2007	3	PAR	0
22058	Bierge	2007	4	CHA	1
22058	Bierge	2011	1	PP	3
22058	Bierge	2011	2	PSOE	4
22058	Bierge	2011	3	PAR	0
22058	Bierge	2015	1	PP	3
22058	Bierge	2015	2	PSOE	2
22058	Bierge	2015	4	PAR	0
22058	Bierge	2015	15	CAMBIAR	0
22059	Biescas	2007	1	PSOE	3
22059	Biescas	2007	2	PP	0
22059	Biescas	2007	3	PAR	4
22059	Biescas	2007	4	CHA	1
22059	Biescas	2007	5	IU	1
22059	Biescas	2011	1	PP	2
22059	Biescas	2011	2	PSOE	3
22059	Biescas	2011	3	PAR	3
22059	Biescas	2011	4	CHA	0
22059	Biescas	2011	5	IU	1
22059	Biescas	2015	1	PP	1
22059	Biescas	2015	2	PSOE	3
22059	Biescas	2015	4	PAR	5
22060	Binaced	2007	1	PSOE	5
22060	Binaced	2007	2	PP	2
22060	Binaced	2007	3	PAR	2
22060	Binaced	2007	5	IU	0
22060	Binaced	2011	1	PP	2
22060	Binaced	2011	2	PSOE	4
22060	Binaced	2011	3	PAR	3
22060	Binaced	2015	1	PP	1
22060	Binaced	2015	2	PSOE	5
22060	Binaced	2015	4	PAR	3
22061	Binéfar	2007	1	PSOE	6
22061	Binéfar	2007	2	PP	4
22061	Binéfar	2007	3	PAR	2
22061	Binéfar	2007	4	CHA	1
22061	Binéfar	2007	10	IU-A	0
22061	Binéfar	2011	1	PP	5
22061	Binéfar	2011	2	PSOE	5
22061	Binéfar	2011	3	PAR	3
22061	Binéfar	2011	4	CHA	0
22061	Binéfar	2011	5	IU	0
22061	Binéfar	2015	1	PP	5
22061	Binéfar	2015	2	PSOE	4
22061	Binéfar	2015	4	PAR	1
22061	Binéfar	2015	7	CHA	0
22061	Binéfar	2015	15	CAMBIAR	3
22062	Bisaurri	2007	1	PSOE	4
22062	Bisaurri	2007	2	PP	1
22062	Bisaurri	2007	3	PAR	0
22062	Bisaurri	2007	4	CHA	0
22062	Bisaurri	2011	1	PP	3
22062	Bisaurri	2011	2	PSOE	0
22062	Bisaurri	2011	3	PAR	2
22062	Bisaurri	2015	1	PP	4
22062	Bisaurri	2015	2	PSOE	1
22062	Bisaurri	2015	4	PAR	0
22062	Bisaurri	2015	7	CHA	0
22063	Biscarrués	2007	1	PSOE	1
22063	Biscarrués	2007	2	PP	0
22063	Biscarrués	2007	3	PAR	0
22063	Biscarrués	2007	4	CHA	4
22063	Biscarrués	2011	1	PP	0
22063	Biscarrués	2011	2	PSOE	0
22063	Biscarrués	2011	3	PAR	2
22063	Biscarrués	2011	4	CHA	3
22063	Biscarrués	2015	1	PP	1
22063	Biscarrués	2015	2	PSOE	0
22063	Biscarrués	2015	7	CHA	4
22064	Blecua y Torres	2007	1	PSOE	4
22064	Blecua y Torres	2007	2	PP	0
22064	Blecua y Torres	2007	3	PAR	0
22064	Blecua y Torres	2007	4	CHA	1
22064	Blecua y Torres	2011	1	PP	1
22064	Blecua y Torres	2011	2	PSOE	4
22064	Blecua y Torres	2011	3	PAR	0
22064	Blecua y Torres	2015	1	PP	1
22064	Blecua y Torres	2015	2	PSOE	4
22066	Boltaña	2007	1	PSOE	4
22066	Boltaña	2007	2	PP	1
22066	Boltaña	2007	3	PAR	1
22066	Boltaña	2007	4	CHA	1
22066	Boltaña	2011	1	PP	2
22066	Boltaña	2011	2	PSOE	5
22066	Boltaña	2011	3	PAR	1
22066	Boltaña	2011	4	CHA	1
22066	Boltaña	2015	1	PP	3
22066	Boltaña	2015	2	PSOE	3
22066	Boltaña	2015	4	PAR	2
22066	Boltaña	2015	7	CHA	1
22067	Bonansa	2007	1	PSOE	5
22067	Bonansa	2007	2	PP	0
22067	Bonansa	2007	4	CHA	0
22067	Bonansa	2011	2	PSOE	5
22067	Bonansa	2011	3	PAR	0
22067	Bonansa	2015	1	PP	0
22067	Bonansa	2015	2	PSOE	3
22067	Bonansa	2015	4	PAR	0
22068	Borau	2007	1	PSOE	1
22068	Borau	2007	2	PP	0
22068	Borau	2007	3	PAR	0
22068	Borau	2011	1	PP	1
22068	Borau	2011	2	PSOE	2
22068	Borau	2015	1	PP	1
22068	Borau	2015	2	PSOE	2
22068	Borau	2015	4	PAR	0
22069	Broto	2007	1	PSOE	3
22069	Broto	2007	2	PP	2
22069	Broto	2007	3	PAR	1
22069	Broto	2007	4	CHA	1
22069	Broto	2011	1	PP	2
22069	Broto	2011	2	PSOE	3
22069	Broto	2011	3	PAR	1
22069	Broto	2011	4	CHA	1
22069	Broto	2011	5	IU	0
22069	Broto	2015	2	PSOE	4
22069	Broto	2015	4	PAR	1
22069	Broto	2015	7	CHA	2
22072	Caldearenas	2007	1	PSOE	4
22072	Caldearenas	2007	2	PP	0
22072	Caldearenas	2007	3	PAR	0
22072	Caldearenas	2007	4	CHA	1
22072	Caldearenas	2011	1	PP	1
22072	Caldearenas	2011	2	PSOE	3
22072	Caldearenas	2011	3	PAR	1
22072	Caldearenas	2011	4	CHA	0
22072	Caldearenas	2015	1	PP	1
22072	Caldearenas	2015	2	PSOE	2
22072	Caldearenas	2015	4	PAR	1
22072	Caldearenas	2015	7	CHA	1
22074	Campo	2007	1	PSOE	2
22074	Campo	2007	3	PAR	5
22074	Campo	2011	1	PP	0
22074	Campo	2011	2	PSOE	1
22074	Campo	2011	3	PAR	6
22074	Campo	2015	2	PSOE	1
22074	Campo	2015	4	PAR	6
22075	Camporrells	2007	1	PSOE	5
22075	Camporrells	2007	2	PP	0
22075	Camporrells	2007	4	CHA	0
22075	Camporrells	2011	1	PP	0
22075	Camporrells	2011	2	PSOE	5
22075	Camporrells	2011	3	PAR	0
22075	Camporrells	2011	4	CHA	0
