Tipo de vivienda	Tipo de vivienda, código	Tipo de vivienda principal	Tipo de vivienda principal, código	Comarca nombre	Comarca codigo	Nº viviendas
Vivienda principal	1	Vivienda principal convencional	1	Tarazona y el Moncayo	12	5937,9011127827
Vivienda principal	1	Vivienda principal convencional	1	Valdejalón	16	11385,411545436
Vivienda principal	1	Alojamiento	2	Cuencas Mineras	26	2,3347714998
Vivienda principal	1	Alojamiento	2	D.C. Zaragoza	17	177,133873343
Vivienda principal	1	Alojamiento	2	Hoya de Huesca / Plana de Uesca	06	2,1340888642
Vivienda principal	1	Alojamiento	2	La Jacetania	01	4,3030305536
Vivienda principal	1	Alojamiento	2	Matarraña / Matarranya	33	1,0930733505
Vivienda principal	1	Alojamiento	2	Sierra de Albarracín	31	4,013866482
Vivienda principal	1	Alojamiento	2	Valdejalón	16	1,4040002391
Vivienda no principal secundaria	2			Alto Gállego	02	7911,7561601512
Vivienda no principal secundaria	2			Andorra-Sierra de Arcos	27	2307,3730533267
Vivienda no principal secundaria	2			Aranda	14	1199,8924640653
Vivienda no principal secundaria	2			Bajo Aragón	28	4312,2725110641
Vivienda no principal secundaria	2			Bajo Aragón-Caspe / Baix Aragó-Casp	19	1915,9181638653
Vivienda no principal secundaria	2			Bajo Cinca / Baix Cinca	11	1031,3241541755
Vivienda no principal secundaria	2			Bajo Martín	23	1499,8374523067
Vivienda no principal secundaria	2			Campo de Belchite	22	2275,7599241961
Vivienda no principal secundaria	2			Campo de Borja	13	2657,5309453274
Vivienda no principal secundaria	2			Campo de Cariñena	21	1666,6941097295
Vivienda no principal secundaria	2			Campo de Daroca	24	3212,0088300309
Vivienda no principal secundaria	2			Cinca Medio	08	1415,4417140989
Vivienda no principal secundaria	2			Cinco Villas	05	3939,8395701321
Vivienda no principal secundaria	2			Comunidad de Calatayud	20	9444,710347002
Vivienda no principal secundaria	2			Comunidad de Teruel	29	6642,5533012748
Vivienda no principal secundaria	2			Cuencas Mineras	26	3969,9111835
Vivienda no principal secundaria	2			D.C. Zaragoza	17	17556,3749646645
Vivienda no principal secundaria	2			Gúdar-Javalambre	32	8168,3670379208
Vivienda no principal secundaria	2			Hoya de Huesca / Plana de Uesca	06	5885,4621732759
Vivienda no principal secundaria	2			Jiloca	25	5154,7435265151
Vivienda no principal secundaria	2			La Jacetania	01	14636,0213926824
Vivienda no principal secundaria	2			La Litera / La Llitera	09	1521,156857574
Vivienda no principal secundaria	2			La Ribagorza	04	6434,0943972961
Vivienda no principal secundaria	2			Los Monegros	10	2166,5211916485
Vivienda no principal secundaria	2			Maestrazgo	30	2401,9349828916
Vivienda no principal secundaria	2			Matarraña / Matarranya	33	3359,7839323703
Vivienda no principal secundaria	2			Ribera Alta del Ebro	15	1429,456055189
Vivienda no principal secundaria	2			Ribera Baja del Ebro	18	1333,2577809908
Vivienda no principal secundaria	2			Sierra de Albarracín	31	2855,0658885731
Vivienda no principal secundaria	2			Sobrarbe	03	2949,5304176139
Vivienda no principal secundaria	2			Somontano de Barbastro	07	2611,8237617985
Vivienda no principal secundaria	2			Tarazona y el Moncayo	12	2317,3657283467
Vivienda no principal secundaria	2			Valdejalón	16	2925,5526268602
Vivienda no principal vacía	3			Alto Gállego	02	2324,2438398504
Vivienda no principal vacía	3			Andorra-Sierra de Arcos	27	643,6269466793
Vivienda no principal vacía	3			Aranda	14	902,1075359364
Vivienda no principal vacía	3			Bajo Aragón	28	2916,7274889589
Vivienda no principal vacía	3			Bajo Aragón-Caspe / Baix Aragó-Casp	19	1295,0818361399
Vivienda no principal vacía	3			Bajo Cinca / Baix Cinca	11	1500,6758458257
Vivienda no principal vacía	3			Bajo Martín	23	1089,1625476854
Vivienda no principal vacía	3			Campo de Belchite	22	450,2400758013
Vivienda no principal vacía	3			Campo de Borja	13	2051,4690547086
Vivienda no principal vacía	3			Campo de Cariñena	21	735,3058902619
Vivienda no principal vacía	3			Campo de Daroca	24	729,9911699733
Vivienda no principal vacía	3			Cinca Medio	08	1969,5582858895
Vivienda no principal vacía	3			Cinco Villas	05	3469,1604298769
Vivienda no principal vacía	3			Comunidad de Calatayud	20	4953,289653005
Vivienda no principal vacía	3			Comunidad de Teruel	29	4572,4466987058
Vivienda no principal vacía	3			Cuencas Mineras	26	929,0888164904
Vivienda no principal vacía	3			D.C. Zaragoza	17	40383,6250353126
Vivienda no principal vacía	3			Gúdar-Javalambre	32	1511,6329620953
Vivienda no principal vacía	3			Hoya de Huesca / Plana de Uesca	06	5958,5378267507
Vivienda no principal vacía	3			Jiloca	25	1703,2564734957
Vivienda no principal vacía	3			La Jacetania	01	2840,9786073347
Vivienda no principal vacía	3			La Litera / La Llitera	09	1724,8431424412
Vivienda no principal vacía	3			La Ribagorza	04	1511,9056027086
Vivienda no principal vacía	3			Los Monegros	10	1482,4788083471
Vivienda no principal vacía	3			Maestrazgo	30	457,0650171049
Vivienda no principal vacía	3			Matarraña / Matarranya	33	856,2160676101
Vivienda no principal vacía	3			Ribera Alta del Ebro	15	2537,5439448208
Vivienda no principal vacía	3			Ribera Baja del Ebro	18	1116,7422189945
Vivienda no principal vacía	3			Sierra de Albarracín	31	675,9341114225
Vivienda no principal vacía	3			Sobrarbe	03	506,4695823783
Vivienda no principal vacía	3			Somontano de Barbastro	07	1889,1762382119
Vivienda no principal vacía	3			Tarazona y el Moncayo	12	2109,6342716546
Vivienda no principal vacía	3			Valdejalón	16	2538,4473731397
