Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2006	23	Bajo Martín	5723	371	47	11	654	12	10	9	10	25	2	2345	1190	4	8068
2006	24	Campo de Daroca	8338	148	47	54	1665	37	18	10	25	72	0	3296	1214	6	11634
2006	25	Jiloca	12926	715	93	26	3036	31	15	22	31	90	3	6992	2921	9	19918
2006	26	Cuencas Mineras	7921	767	101	19	2932	19	22	18	32	56	1	5636	1663	6	13557
2006	27	Andorra-Sierra de Arcos	7147	1169	109	15	1301	18	9	31	8	29	3	3638	941	5	10785
2006	28	Bajo Aragón	16486	4371	454	29	2553	38	34	73	24	59	9	10318	2659	15	26804
2006	29	Comunidad de Teruel	24427	7143	658	40	4497	77	34	191	75	120	6	17972	5105	26	42399
2006	30	Maestrazgo	3565	111	27	14	2023	12	5	2	26	63	3	2898	609	3	6463
2006	31	Sierra de Albarracín	6388	262	27	25	539	16	12	7	20	49	3	3138	2170	8	9526
2006	32	Gúdar-Javalambre	10833	712	51	44	2287	31	29	13	32	71	1	7022	3739	12	17855
2006	33	Matarraña / Matarranya	7240	313	31	21	1191	31	26	8	16	42	6	2922	1228	9	10162
2007	01	La Jacetania	21828	11656	946	402	3645	31	34	74	31	120	2	19063	2106	16	40891
2007	02	Alto Gállego	14016	6592	464	241	2046	20	32	48	14	71	6	11502	1954	14	25518
2007	03	Sobrarbe	5181	537	136	95	2008	20	25	22	34	123	1	4105	1098	6	9286
2007	04	La Ribagorza	10997	2015	238	109	3557	34	33	19	37	235	3	8707	2415	12	19704
2007	05	Cinco Villas	18800	3137	514	36	4088	65	56	79	40	99	21	10838	2689	14	29638
2007	06	Hoya de Huesca / Plana de Uesca	34935	14988	2568	93	7197	76	253	429	58	186	9	29322	3421	44	64257
2007	07	Somontano de Barbastro	13101	3198	704	117	2432	34	61	85	44	94	5	8824	2029	21	21925
2007	08	Cinca Medio	11358	2548	537	15	2494	31	25	67	16	24	5	7311	1531	18	18669
2007	09	La Litera / La Llitera	9920	1339	296	18	4128	20	56	54	12	42	0	7614	1638	11	17534
2007	10	Los Monegros	11565	392	133	31	5521	48	59	27	35	90	11	8414	2042	25	19979
2007	11	Bajo Cinca / Baix Cinca	11596	1519	336	123	3087	32	40	90	15	31	5	6527	1228	21	18123
2007	12	Tarazona y el Moncayo	10432	868	170	19	3179	25	22	23	4	41	4	5517	1151	11	15949
2007	13	Campo de Borja	9125	357	121	24	2446	20	29	25	10	37	7	4371	1285	10	13496
2007	14	Aranda	5888	444	130	6	2601	14	13	24	11	30	1	4200	921	5	10088
2007	15	Ribera Alta del Ebro	12002	883	218	23	2504	30	33	64	17	31	5	6477	2648	21	18479
2007	16	Valdejalón	13536	497	196	35	4614	27	47	59	15	33	6	8007	2465	13	21543
2007	17	Central	322614	107887	19924	499	22807	486	378	4605	117	212	42	168634	11334	343	491248
2007	18	Ribera Baja del Ebro	5685	103	42	21	1343	11	27	13	11	30	1	2339	732	5	8024
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7791	676	185	17	2324	20	23	15	9	23	5	4355	1046	12	12146
2007	20	Comunidad de Calatayud	31998	4461	789	44	7049	75	66	91	53	201	11	17456	4588	28	49454
2007	21	Campo de Cariñena	7151	237	57	14	1909	22	16	17	11	32	9	3516	1190	2	10667
2007	22	Campo de Belchite	5640	4	19	5	957	11	7	6	25	28	3	1569	500	4	7209
2007	23	Bajo Martín	5723	388	47	11	656	12	10	9	10	26	2	2374	1193	10	8097
2007	24	Campo de Daroca	8425	150	47	54	1582	35	21	10	26	70	0	3313	1311	7	11738
2007	25	Jiloca	12945	715	93	26	3036	31	15	22	31	90	3	6999	2928	9	19944
2007	26	Cuencas Mineras	7805	787	106	20	3062	21	25	18	33	55	1	5840	1705	7	13645
2007	27	Andorra-Sierra de Arcos	7165	1168	109	16	1296	18	11	31	7	29	3	3643	949	6	10808
2007	28	Bajo Aragón	16652	4330	454	29	2568	38	34	73	24	59	9	10279	2646	15	26931
2007	29	Comunidad de Teruel	24658	7443	678	41	4512	77	35	191	75	120	6	18309	5104	27	42967
2007	30	Maestrazgo	3569	111	27	14	2029	12	5	2	26	63	3	2906	611	3	6475
2007	31	Sierra de Albarracín	6389	264	27	26	541	17	12	7	20	50	3	3151	2176	8	9540
2007	32	Gúdar-Javalambre	10864	718	53	44	2295	31	29	13	33	71	1	7069	3769	12	17933
2007	33	Matarraña / Matarranya	7247	313	31	21	1193	31	26	8	16	42	6	2922	1226	9	10169
2008	01	La Jacetania	22900	12176	947	434	3650	31	36	78	31	119	2	19590	2070	16	42490
2008	02	Alto Gállego	15140	7308	463	196	2024	20	33	48	15	71	6	12120	1922	14	27260
2008	03	Sobrarbe	5517	652	144	96	1989	20	24	21	36	122	1	4282	1172	5	9799
2008	04	La Ribagorza	11428	2196	260	108	3550	34	34	21	37	235	3	8913	2423	12	20341
2008	05	Cinco Villas	19123	3287	534	38	4125	65	58	84	40	98	21	11125	2758	17	30248
2008	06	Hoya de Huesca / Plana de Uesca	35726	16074	2594	91	7150	76	250	437	56	185	9	30563	3597	44	66289
2008	07	Somontano de Barbastro	13297	3286	702	116	2378	35	58	85	44	94	5	8848	2024	21	22145
2008	08	Cinca Medio	11459	2641	545	15	2497	31	25	67	15	24	5	7407	1524	18	18866
2008	09	La Litera / La Llitera	10035	1398	301	18	4120	20	56	55	12	42	0	7658	1625	11	17693
2008	10	Los Monegros	11627	390	134	31	5065	47	62	26	34	88	11	8190	2277	25	19817
2008	11	Bajo Cinca / Baix Cinca	11697	1568	342	123	3062	34	39	88	15	31	5	6584	1256	21	18281
2008	12	Tarazona y el Moncayo	10539	978	175	21	3093	26	22	23	4	41	4	5693	1294	12	16232
2008	13	Campo de Borja	9295	377	129	25	2446	20	31	25	10	37	7	4504	1387	10	13799
2008	14	Aranda	5771	706	138	6	2302	15	12	23	11	29	1	4530	1281	6	10301
2008	15	Ribera Alta del Ebro	12735	1037	230	23	2533	30	33	104	17	31	4	6635	2572	21	19370
2008	16	Valdejalón	14191	716	214	39	4598	28	49	70	14	32	6	8551	2771	14	22742
2008	17	Central	328606	113231	20203	498	22998	489	385	4878	117	214	41	175630	12228	348	504236
2008	18	Ribera Baja del Ebro	5592	104	51	21	1330	10	27	13	10	26	0	2655	1058	5	8247
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7944	828	202	17	2162	22	23	18	10	23	4	4789	1467	13	12733
2008	20	Comunidad de Calatayud	32557	4836	826	45	7042	76	66	99	53	198	11	17948	4668	28	50505
2008	21	Campo de Cariñena	7208	299	61	14	1889	22	19	16	11	32	9	3634	1260	2	10842
2008	22	Campo de Belchite	5553	6	19	8	1006	11	8	7	25	28	3	1660	535	4	7213
2008	23	Bajo Martín	5747	387	48	11	669	12	10	10	10	26	2	2428	1233	10	8175
2008	24	Campo de Daroca	8475	166	52	56	1569	36	22	10	26	70	0	3328	1314	7	11803
2008	25	Jiloca	13071	831	102	26	3131	31	19	23	33	91	3	7291	2992	9	20362
2008	26	Cuencas Mineras	7876	862	108	20	2995	20	26	18	32	55	1	5871	1725	9	13747
2008	27	Andorra-Sierra de Arcos	7215	1221	108	17	1391	19	12	30	7	29	3	3668	822	9	10883
2008	28	Bajo Aragón	17107	4552	515	31	2739	39	38	81	24	55	9	10906	2807	16	28013
2008	29	Comunidad de Teruel	25327	8624	737	45	4516	77	36	192	75	120	5	19538	5084	27	44865
2008	30	Maestrazgo	3630	142	29	14	2023	13	5	2	26	63	3	2931	608	3	6561
2008	31	Sierra de Albarracín	6519	296	27	28	563	17	13	8	19	53	3	3234	2199	8	9753
2008	32	Gúdar-Javalambre	11087	786	54	44	2378	31	31	13	34	70	1	7308	3854	12	18395
2008	33	Matarraña / Matarranya	7269	319	31	29	1188	34	27	8	19	43	4	3154	1443	9	10423
2009	01	La Jacetania	23795	12548	934	427	3256	32	38	90	40	104	1	19651	2165	16	43446
2009	02	Alto Gállego	16847	8230	471	198	2009	20	33	48	14	71	6	13026	1913	13	29873
2009	03	Sobrarbe	5881	945	161	102	1985	20	24	21	38	122	1	4750	1326	5	10631
2009	04	La Ribagorza	12139	2531	269	109	3280	34	33	21	36	233	3	9160	2597	14	21299
2009	05	Cinco Villas	19547	3621	555	36	4055	69	59	93	39	95	20	11397	2736	19	30944
2009	06	Hoya de Huesca / Plana de Uesca	37093	17525	2626	97	7179	78	250	453	55	185	9	32274	3772	45	69367
2009	07	Somontano de Barbastro	13844	3689	722	118	2386	35	58	89	44	96	5	9306	2043	21	23150
2009	08	Cinca Medio	11779	2941	564	17	2469	30	25	68	15	23	5	7742	1567	18	19521
2009	09	La Litera / La Llitera	10257	1805	307	15	3898	20	56	54	12	42	0	7942	1720	13	18199
2009	10	Los Monegros	11804	392	141	31	5055	48	62	25	34	88	11	8214	2302	25	20018
2009	11	Bajo Cinca / Baix Cinca	12076	1946	378	127	3070	34	40	89	16	32	5	7074	1316	21	19150
2009	12	Tarazona y el Moncayo	10768	1108	191	23	2997	25	23	24	3	41	4	5798	1347	12	16566
2009	13	Campo de Borja	9614	489	144	24	2388	20	30	25	11	37	6	4605	1421	10	14219
2009	14	Aranda	5803	727	139	6	2300	15	12	24	11	28	1	4553	1283	7	10356
2009	15	Ribera Alta del Ebro	13303	1416	248	23	2589	30	33	104	18	31	4	7132	2616	20	20435
2009	16	Valdejalón	15202	1558	234	33	4170	31	51	71	15	29	6	9669	3456	15	24871
2009	17	Central	337119	120699	20399	500	23220	492	386	5371	117	215	40	184058	12249	370	521177
2009	18	Ribera Baja del Ebro	5657	131	52	21	1336	10	27	13	10	27	0	2691	1058	6	8348
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8077	855	216	18	2163	22	23	18	10	23	4	4822	1457	13	12899
2009	20	Comunidad de Calatayud	33129	5186	836	47	6915	76	68	101	53	197	11	18207	4688	29	51336
2009	21	Campo de Cariñena	7474	461	70	14	1762	23	19	16	11	30	9	3740	1323	2	11214
2009	22	Campo de Belchite	5606	25	19	9	915	10	9	7	25	27	3	1599	546	4	7205
2009	23	Bajo Martín	5792	390	48	11	665	12	10	10	10	26	2	2429	1235	10	8221
2009	24	Campo de Daroca	8788	273	49	56	1124	37	23	13	24	67	0	3023	1350	7	11811
