Mes y año	Mes (código)	Mes nombre	Año	Sector código	Sector descripción	Sexo	Temporalidad	Duración contrato * 1.00 / Número de contratos	Días duración contrato	Número de contratos	Duración contrato	CCAA nombre
Marzo 2019	201903	Marzo	2019	3	Construcción	Hombres	Temporal	135,007075471698113207547169811320754717	1	424	57243	Aragón
Marzo 2019	201903	Marzo	2019	3	Construcción	Mujeres	Temporal	0	0	52	0	Aragón
Marzo 2019	201903	Marzo	2019	3	Construcción	Mujeres	Temporal	147,142857142857142857142857142857142857	1	35	5150	Aragón
Marzo 2019	201903	Marzo	2019	4	Servicios	Hombres	Temporal	0	0	3289	0	Aragón
Marzo 2019	201903	Marzo	2019	4	Servicios	Hombres	Temporal	39,59230769230769230769230769230769230769	1	8840	349996	Aragón
Marzo 2019	201903	Marzo	2019	4	Servicios	Mujeres	Temporal	0	0	4821	0	Aragón
Marzo 2019	201903	Marzo	2019	4	Servicios	Mujeres	Temporal	40,78362516836636521069847989224552626515	1	10394	423905	Aragón
Febrero 2019	201902	Febrero	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	1424	0	Aragón
Febrero 2019	201902	Febrero	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	53,49795918367346938775510204081632653061	1	490	26214	Aragón
Febrero 2019	201902	Febrero	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	250	0	Aragón
Febrero 2019	201902	Febrero	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	69,47435897435897435897435897435897435897	1	78	5419	Aragón
Febrero 2019	201902	Febrero	2019	2	Industria y energía	Hombres	Temporal	0	0	1280	0	Aragón
Febrero 2019	201902	Febrero	2019	2	Industria y energía	Hombres	Temporal	44,52312516331330023517115233864645936765	1	3827	170390	Aragón
Febrero 2019	201902	Febrero	2019	2	Industria y energía	Mujeres	Temporal	0	0	712	0	Aragón
Febrero 2019	201902	Febrero	2019	2	Industria y energía	Mujeres	Temporal	25,36425033768572714993246285457001350743	1	2221	56334	Aragón
Febrero 2019	201902	Febrero	2019	3	Construcción	Hombres	Temporal	0	0	1524	0	Aragón
Febrero 2019	201902	Febrero	2019	3	Construcción	Hombres	Temporal	118,271099744245524296675191815856777494	1	391	46244	Aragón
Febrero 2019	201902	Febrero	2019	3	Construcción	Mujeres	Temporal	0	0	64	0	Aragón
Febrero 2019	201902	Febrero	2019	3	Construcción	Mujeres	Temporal	141,711111111111111111111111111111111111	1	45	6377	Aragón
Febrero 2019	201902	Febrero	2019	4	Servicios	Hombres	Temporal	0	0	3074	0	Aragón
Febrero 2019	201902	Febrero	2019	4	Servicios	Hombres	Temporal	52,53261006686009839788066103191623565031	1	7927	416426	Aragón
Febrero 2019	201902	Febrero	2019	4	Servicios	Mujeres	Temporal	0	0	4468	0	Aragón
Febrero 2019	201902	Febrero	2019	4	Servicios	Mujeres	Temporal	53,8068835652264881263730515744324720159	1	9559	514340	Aragón
Enero 2019	201901	Enero	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	1374	0	Aragón
Enero 2019	201901	Enero	2019	1	Agricultura, ganadería y pesca	Hombres	Temporal	76,2978208232445520581113801452784503632	1	413	31511	Aragón
Enero 2019	201901	Enero	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	199	0	Aragón
Enero 2019	201901	Enero	2019	1	Agricultura, ganadería y pesca	Mujeres	Temporal	71,39705882352941176470588235294117647059	1	68	4855	Aragón
Enero 2019	201901	Enero	2019	2	Industria y energía	Hombres	Temporal	0	0	1644	0	Aragón
Enero 2019	201901	Enero	2019	2	Industria y energía	Hombres	Temporal	52,28383530308806709874189858940144872284	1	5246	274281	Aragón
Enero 2019	201901	Enero	2019	2	Industria y energía	Mujeres	Temporal	0	0	884	0	Aragón
Enero 2019	201901	Enero	2019	2	Industria y energía	Mujeres	Temporal	33,3000326477309826967025791707476330395	1	3063	101998	Aragón
Enero 2019	201901	Enero	2019	3	Construcción	Hombres	Temporal	0	0	1447	0	Aragón
Enero 2019	201901	Enero	2019	3	Construcción	Hombres	Temporal	125,687830687830687830687830687830687831	1	378	47510	Aragón
Enero 2019	201901	Enero	2019	3	Construcción	Mujeres	Temporal	0	0	52	0	Aragón
Enero 2019	201901	Enero	2019	3	Construcción	Mujeres	Temporal	144,6	1	40	5784	Aragón
Enero 2019	201901	Enero	2019	4	Servicios	Hombres	Temporal	0	0	3659	0	Aragón
Enero 2019	201901	Enero	2019	4	Servicios	Hombres	Temporal	47,19388566882600295488123650414819865894	1	8799	415259	Aragón
Enero 2019	201901	Enero	2019	4	Servicios	Mujeres	Temporal	0	0	5117	0	Aragón
Enero 2019	201901	Enero	2019	4	Servicios	Mujeres	Temporal	44,52089665653495440729483282674772036474	1	10528	468716	Aragón
Diciembre 2018	201812	Diciembre	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	1367	0	Aragón
Diciembre 2018	201812	Diciembre	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	79,95789473684210526315789473684210526316	1	285	22788	Aragón
Diciembre 2018	201812	Diciembre	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	241	0	Aragón
Diciembre 2018	201812	Diciembre	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	40,10344827586206896551724137931034482759	1	58	2326	Aragón
Diciembre 2018	201812	Diciembre	2018	2	Industria y energía	Hombres	Temporal	0	0	793	0	Aragón
Diciembre 2018	201812	Diciembre	2018	2	Industria y energía	Hombres	Temporal	56,0608579088471849865951742627345844504	1	3730	209107	Aragón
Diciembre 2018	201812	Diciembre	2018	2	Industria y energía	Mujeres	Temporal	0	0	402	0	Aragón
Diciembre 2018	201812	Diciembre	2018	2	Industria y energía	Mujeres	Temporal	23,90295169946332737030411449016100178891	1	2236	53447	Aragón
Diciembre 2018	201812	Diciembre	2018	3	Construcción	Hombres	Temporal	0	0	814	0	Aragón
Diciembre 2018	201812	Diciembre	2018	3	Construcción	Hombres	Temporal	142,042372881355932203389830508474576271	1	236	33522	Aragón
Diciembre 2018	201812	Diciembre	2018	3	Construcción	Mujeres	Temporal	0	0	26	0	Aragón
Diciembre 2018	201812	Diciembre	2018	3	Construcción	Mujeres	Temporal	143,166666666666666666666666666666666667	1	30	4295	Aragón
Diciembre 2018	201812	Diciembre	2018	4	Servicios	Hombres	Temporal	0	0	2818	0	Aragón
Diciembre 2018	201812	Diciembre	2018	4	Servicios	Hombres	Temporal	44,49614010830740868763682451895379652034	1	8679	386182	Aragón
Diciembre 2018	201812	Diciembre	2018	4	Servicios	Mujeres	Temporal	0	0	4096	0	Aragón
Diciembre 2018	201812	Diciembre	2018	4	Servicios	Mujeres	Temporal	41,35040947900331068130336295521867921241	1	11478	474620	Aragón
Noviembre 2018	201811	Noviembre	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	1947	0	Aragón
Noviembre 2018	201811	Noviembre	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	59,51207729468599033816425120772946859903	1	414	24638	Aragón
Noviembre 2018	201811	Noviembre	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	333	0	Aragón
Noviembre 2018	201811	Noviembre	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	40,83333333333333333333333333333333333333	1	132	5390	Aragón
Noviembre 2018	201811	Noviembre	2018	2	Industria y energía	Hombres	Temporal	0	0	1217	0	Aragón
Noviembre 2018	201811	Noviembre	2018	2	Industria y energía	Hombres	Temporal	48,40838052095130237825594563986409966025	1	4415	213723	Aragón
Noviembre 2018	201811	Noviembre	2018	2	Industria y energía	Mujeres	Temporal	0	0	621	0	Aragón
Noviembre 2018	201811	Noviembre	2018	2	Industria y energía	Mujeres	Temporal	27,9365658038643820634341961356179365658	1	2743	76630	Aragón
Noviembre 2018	201811	Noviembre	2018	3	Construcción	Hombres	Temporal	0	0	1266	0	Aragón
Noviembre 2018	201811	Noviembre	2018	3	Construcción	Hombres	Temporal	127,744623655913978494623655913978494624	1	372	47521	Aragón
Noviembre 2018	201811	Noviembre	2018	3	Construcción	Mujeres	Temporal	0	0	39	0	Aragón
Noviembre 2018	201811	Noviembre	2018	3	Construcción	Mujeres	Temporal	99,18181818181818181818181818181818181818	1	44	4364	Aragón
Noviembre 2018	201811	Noviembre	2018	4	Servicios	Hombres	Temporal	0	0	3303	0	Aragón
Noviembre 2018	201811	Noviembre	2018	4	Servicios	Hombres	Temporal	46,69839932603201347935973041280539174389	1	9496	443448	Aragón
Noviembre 2018	201811	Noviembre	2018	4	Servicios	Mujeres	Temporal	0	0	4821	0	Aragón
Noviembre 2018	201811	Noviembre	2018	4	Servicios	Mujeres	Temporal	46,344085099082096594321008835892596723	1	11657	540233	Aragón
Octubre 2018	201810	Octubre	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	2398	0	Aragón
Octubre 2018	201810	Octubre	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	47,18891402714932126696832579185520361991	1	884	41715	Aragón
Octubre 2018	201810	Octubre	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	575	0	Aragón
Octubre 2018	201810	Octubre	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	35,28285714285714285714285714285714285714	1	350	12349	Aragón
Octubre 2018	201810	Octubre	2018	2	Industria y energía	Hombres	Temporal	0	0	1573	0	Aragón
Octubre 2018	201810	Octubre	2018	2	Industria y energía	Hombres	Temporal	51,7278557114228456913827655310621242485	1	4990	258122	Aragón
Octubre 2018	201810	Octubre	2018	2	Industria y energía	Mujeres	Temporal	0	0	990	0	Aragón
Octubre 2018	201810	Octubre	2018	2	Industria y energía	Mujeres	Temporal	29,5421383647798742138364779874213836478	1	3180	93944	Aragón
Octubre 2018	201810	Octubre	2018	3	Construcción	Hombres	Temporal	0	0	1402	0	Aragón
Octubre 2018	201810	Octubre	2018	3	Construcción	Hombres	Temporal	142,111363636363636363636363636363636364	1	440	62529	Aragón
Octubre 2018	201810	Octubre	2018	3	Construcción	Mujeres	Temporal	0	0	45	0	Aragón
Octubre 2018	201810	Octubre	2018	3	Construcción	Mujeres	Temporal	130,943396226415094339622641509433962264	1	53	6940	Aragón
Octubre 2018	201810	Octubre	2018	4	Servicios	Hombres	Temporal	0	0	5354	0	Aragón
Octubre 2018	201810	Octubre	2018	4	Servicios	Hombres	Temporal	50,26188271604938271604938271604938271605	1	12960	651394	Aragón
Octubre 2018	201810	Octubre	2018	4	Servicios	Mujeres	Temporal	0	0	6780	0	Aragón
Octubre 2018	201810	Octubre	2018	4	Servicios	Mujeres	Temporal	48,3213257448945430197522597924338801473	1	14935	721679	Aragón
Septiembre 2018	201809	Septiembre	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	3919	0	Aragón
Septiembre 2018	201809	Septiembre	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	35,14613423959218351741716227697536108751	1	1177	41367	Aragón
Septiembre 2018	201809	Septiembre	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	968	0	Aragón
Septiembre 2018	201809	Septiembre	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	28,19866071428571428571428571428571428571	1	448	12633	Aragón
Septiembre 2018	201809	Septiembre	2018	2	Industria y energía	Hombres	Temporal	0	0	1563	0	Aragón
Septiembre 2018	201809	Septiembre	2018	2	Industria y energía	Hombres	Temporal	61,59724576271186440677966101694915254237	1	4720	290739	Aragón
Septiembre 2018	201809	Septiembre	2018	2	Industria y energía	Mujeres	Temporal	0	0	911	0	Aragón
Septiembre 2018	201809	Septiembre	2018	2	Industria y energía	Mujeres	Temporal	35,28639182780007296607077708865377599416	1	2741	96720	Aragón
Septiembre 2018	201809	Septiembre	2018	3	Construcción	Hombres	Temporal	0	0	1252	0	Aragón
Septiembre 2018	201809	Septiembre	2018	3	Construcción	Hombres	Temporal	105,06801007556675062972292191435768262	1	397	41712	Aragón
Septiembre 2018	201809	Septiembre	2018	3	Construcción	Mujeres	Temporal	0	0	52	0	Aragón
Septiembre 2018	201809	Septiembre	2018	3	Construcción	Mujeres	Temporal	164,571428571428571428571428571428571429	1	42	6912	Aragón
Septiembre 2018	201809	Septiembre	2018	4	Servicios	Hombres	Temporal	0	0	4238	0	Aragón
Septiembre 2018	201809	Septiembre	2018	4	Servicios	Hombres	Temporal	51,18007525533058591650241892134026160186	1	11162	571272	Aragón
Septiembre 2018	201809	Septiembre	2018	4	Servicios	Mujeres	Temporal	0	0	6139	0	Aragón
Septiembre 2018	201809	Septiembre	2018	4	Servicios	Mujeres	Temporal	59,97328514182446766716429637777952384694	1	12727	763280	Aragón
Agosto 2018	201808	Agosto	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	4458	0	Aragón
Agosto 2018	201808	Agosto	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	28,94667370644139387539598732840549102429	1	1894	54825	Aragón
Agosto 2018	201808	Agosto	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	1080	0	Aragón
Agosto 2018	201808	Agosto	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	25,6702508960573476702508960573476702509	1	837	21486	Aragón
Agosto 2018	201808	Agosto	2018	2	Industria y energía	Hombres	Temporal	0	0	1481	0	Aragón
Agosto 2018	201808	Agosto	2018	2	Industria y energía	Hombres	Temporal	43,17959590920429034671988026939386380644	1	4009	173107	Aragón
Agosto 2018	201808	Agosto	2018	2	Industria y energía	Mujeres	Temporal	0	0	1223	0	Aragón
Agosto 2018	201808	Agosto	2018	2	Industria y energía	Mujeres	Temporal	25,94146948941469489414694894146948941469	1	2409	62493	Aragón
Agosto 2018	201808	Agosto	2018	3	Construcción	Hombres	Temporal	0	0	1152	0	Aragón
Agosto 2018	201808	Agosto	2018	3	Construcción	Hombres	Temporal	96,69411764705882352941176470588235294118	1	340	32876	Aragón
Agosto 2018	201808	Agosto	2018	3	Construcción	Mujeres	Temporal	0	0	35	0	Aragón
