Municipio código	Municipio nombre	Viviendas en el edificio	Número de edificios
22105	Estopiñán del Castillo	00	4
22105	Estopiñán del Castillo	01	175
22105	Estopiñán del Castillo	02	3
22106	Fago	00	3
22106	Fago	01	77
22107	Fanlo	00	9
22107	Fanlo	01	119
22107	Fanlo	02	6
22107	Fanlo	03	1
22109	Fiscal	00	21
22109	Fiscal	01	200
22109	Fiscal	02	10
22109	Fiscal	03	2
22109	Fiscal	04	1
22110	Fonz	00	11
22110	Fonz	01	518
22110	Fonz	02	69
22110	Fonz	03	6
22110	Fonz	04	1
22110	Fonz	05 a 09	1
22111	Foradada del Toscar	00	11
22111	Foradada del Toscar	01	136
22111	Foradada del Toscar	02	2
22111	Foradada del Toscar	04	1
22112	Fraga	00	228
22112	Fraga	01	1473
22112	Fraga	02	358
22112	Fraga	03	104
22112	Fraga	04	50
22112	Fraga	05 a 09	139
22112	Fraga	10 a 19	81
22112	Fraga	20 a 39	25
22112	Fraga	40 o más	1
22113	Fueva (La)	00	37
22113	Fueva (La)	01	266
22113	Fueva (La)	02	11
22113	Fueva (La)	03	1
22113	Fueva (La)	04	1
22114	Gistaín	00	3
22114	Gistaín	01	55
22114	Gistaín	02	7
22115	Grado (El)	00	10
22115	Grado (El)	01	361
22115	Grado (El)	02	37
22115	Grado (El)	03	5
22115	Grado (El)	04	3
22115	Grado (El)	05 a 09	1
22115	Grado (El)	40 o más	1
22116	Grañén	00	56
22116	Grañén	01	613
22116	Grañén	02	67
22116	Grañén	03	8
22116	Grañén	04	1
22116	Grañén	05 a 09	13
22116	Grañén	10 a 19	3
22117	Graus	00	89
22117	Graus	01	1112
22117	Graus	02	83
22117	Graus	03	46
22117	Graus	04	8
22117	Graus	05 a 09	76
22117	Graus	10 a 19	15
22117	Graus	20 a 39	5
22117	Graus	40 o más	1
22119	Gurrea de Gállego	00	77
22119	Gurrea de Gállego	01	756
22119	Gurrea de Gállego	02	32
22119	Gurrea de Gállego	03	6
22119	Gurrea de Gállego	05 a 09	6
22119	Gurrea de Gállego	10 a 19	1
22122	Hoz de Jaca	00	34
22122	Hoz de Jaca	01	66
22122	Hoz de Jaca	02	4
22122	Hoz de Jaca	05 a 09	1
22124	Huerto	00	13
22124	Huerto	01	193
22124	Huerto	02	7
22125	Huesca	00	858
22125	Huesca	01	1099
22125	Huesca	02	194
22125	Huesca	03	175
22125	Huesca	04	126
22125	Huesca	05 a 09	476
22125	Huesca	10 a 19	436
22125	Huesca	20 a 39	279
22125	Huesca	40 o más	77
22126	Ibieca	00	4
22126	Ibieca	01	77
22126	Ibieca	02	2
22127	Igriés	01	104
22127	Igriés	02	6
22127	Igriés	03	1
22128	Ilche	00	16
22128	Ilche	01	137
22128	Ilche	02	4
22129	Isábena	00	8
22129	Isábena	01	135
22129	Isábena	02	7
22129	Isábena	03	1
22129	Isábena	04	2
22130	Jaca	00	190
22130	Jaca	01	1120
22130	Jaca	02	169
22130	Jaca	03	108
22130	Jaca	04	62
22130	Jaca	05 a 09	241
22130	Jaca	10 a 19	209
22130	Jaca	20 a 39	107
22130	Jaca	40 o más	53
22131	Jasa	00	10
22131	Jasa	01	112
22131	Jasa	02	13
22131	Jasa	03	6
22131	Jasa	04	1
22133	Labuerda	00	9
22133	Labuerda	01	85
22133	Labuerda	02	2
22133	Labuerda	03	2
22133	Labuerda	05 a 09	1
22133	Labuerda	10 a 19	1
22135	Laluenga	00	2
22135	Laluenga	01	150
22135	Laluenga	02	9
22136	Lalueza	00	29
22136	Lalueza	01	532
22136	Lalueza	02	14
22137	Lanaja	00	14
22137	Lanaja	01	743
22137	Lanaja	02	41
22137	Lanaja	03	1
22137	Lanaja	04	2
22137	Lanaja	05 a 09	1
22139	Laperdiguera	00	2
22139	Laperdiguera	01	75
22141	Lascellas-Ponzano	00	5
22141	Lascellas-Ponzano	01	143
22141	Lascellas-Ponzano	02	3
22142	Lascuarre	00	3
22142	Lascuarre	01	108
22142	Lascuarre	02	8
22142	Lascuarre	03	1
22143	Laspaúles	00	12
22143	Laspaúles	01	160
22143	Laspaúles	02	7
22143	Laspaúles	03	5
22143	Laspaúles	05 a 09	3
22143	Laspaúles	10 a 19	2
22144	Laspuña	00	13
22144	Laspuña	01	107
22144	Laspuña	02	3
22144	Laspuña	03	3
22149	Loarre	00	40
22149	Loarre	01	261
22149	Loarre	02	16
22149	Loarre	05 a 09	1
22150	Loporzano	00	24
22150	Loporzano	01	211
22150	Loporzano	02	14
22150	Loporzano	03	3
22151	Loscorrales	01	63
22151	Loscorrales	02	7
22155	Monesma y Cajigar	00	6
22155	Monesma y Cajigar	01	60
22155	Monesma y Cajigar	02	2
22156	Monflorite-Lascasas	00	6
22156	Monflorite-Lascasas	01	86
22157	Montanuy	00	23
22157	Montanuy	01	178
22157	Montanuy	02	9
22158	Monzón	00	297
22158	Monzón	01	2306
22158	Monzón	02	236
22158	Monzón	03	88
22158	Monzón	04	61
22158	Monzón	05 a 09	207
22158	Monzón	10 a 19	130
22158	Monzón	20 a 39	23
22158	Monzón	40 o más	3
22160	Naval	00	6
22160	Naval	01	138
22160	Naval	02	12
22160	Naval	03	3
22160	Naval	04	1
22160	Naval	05 a 09	1
22160	Naval	10 a 19	1
22162	Novales	00	20
22162	Novales	01	73
22162	Novales	02	1
22162	Novales	05 a 09	1
22163	Nueno	00	1
22163	Nueno	01	214
22163	Nueno	02	3
22163	Nueno	03	1
22164	Olvena	00	2
22164	Olvena	01	39
22164	Olvena	02	1
22165	Ontiñena	00	15
22165	Ontiñena	01	395
22165	Ontiñena	02	12
22165	Ontiñena	03	1
22167	Osso de Cinca	00	15
22167	Osso de Cinca	01	249
22167	Osso de Cinca	02	21
22167	Osso de Cinca	10 a 19	1
22168	Palo	00	5
22168	Palo	01	38
22168	Palo	02	1
22168	Palo	04	1
22170	Panticosa	00	110
22170	Panticosa	01	205
22170	Panticosa	02	22
22170	Panticosa	03	8
22170	Panticosa	04	7
22170	Panticosa	05 a 09	46
22170	Panticosa	10 a 19	8
22170	Panticosa	20 a 39	6
22170	Panticosa	40 o más	3
22172	Peñalba	00	12
22172	Peñalba	01	243
22172	Peñalba	02	15
22172	Peñalba	03	1
22172	Peñalba	04	1
22172	Peñalba	05 a 09	2
22173	Peñas de Riglos (Las)	00	25
22173	Peñas de Riglos (Las)	01	394
22173	Peñas de Riglos (Las)	02	21
22173	Peñas de Riglos (Las)	03	2
22173	Peñas de Riglos (Las)	05 a 09	1
22174	Peralta de Alcofea	00	24
22174	Peralta de Alcofea	01	404
22174	Peralta de Alcofea	02	8
22174	Peralta de Alcofea	03	1
22174	Peralta de Alcofea	05 a 09	1
22175	Peralta de Calasanz	00	7
22175	Peralta de Calasanz	01	335
22175	Peralta de Calasanz	02	6
22175	Peralta de Calasanz	03	2
22176	Peraltilla	00	4
22176	Peraltilla	01	89
22176	Peraltilla	02	4
22176	Peraltilla	03	1
22177	Perarrúa	00	4
22177	Perarrúa	01	96
22177	Perarrúa	02	1
22178	Pertusa	00	3
22178	Pertusa	01	98
22178	Pertusa	02	3
22181	Piracés	00	7
22181	Piracés	01	46
22182	Plan	00	13
22182	Plan	01	124
22182	Plan	02	5
22182	Plan	03	5
22182	Plan	05 a 09	2
22184	Poleñino	00	10
22184	Poleñino	01	113
22184	Poleñino	02	5
22184	Poleñino	03	2
22186	Pozán de Vero	00	6
22186	Pozán de Vero	01	139
22186	Pozán de Vero	02	1
22187	Puebla de Castro (La)	00	11
22187	Puebla de Castro (La)	01	289
22187	Puebla de Castro (La)	02	6
22188	Puente de Montañana	00	5
22188	Puente de Montañana	01	88
22188	Puente de Montañana	02	5
22188	Puente de Montañana	03	1
22189	Puértolas	00	8
22189	Puértolas	01	93
22189	Puértolas	02	6
22189	Puértolas	03	1
22189	Puértolas	04	1
22189	Puértolas	05 a 09	4
22190	Pueyo de Araguás (El)	00	10
22190	Pueyo de Araguás (El)	01	55
22190	Pueyo de Araguás (El)	02	3
22190	Pueyo de Araguás (El)	03	1
22193	Pueyo de Santa Cruz	00	7
22193	Pueyo de Santa Cruz	01	152
22193	Pueyo de Santa Cruz	02	1
22195	Quicena	00	8
22195	Quicena	01	51
22195	Quicena	02	6
22197	Robres	00	4
22197	Robres	01	241
22197	Robres	02	20
22197	Robres	03	2
22197	Robres	04	3
22199	Sabiñánigo	00	377
22199	Sabiñánigo	01	901
22199	Sabiñánigo	02	140
22199	Sabiñánigo	03	48
22199	Sabiñánigo	04	43
22199	Sabiñánigo	05 a 09	167
22199	Sabiñánigo	10 a 19	112
22199	Sabiñánigo	20 a 39	20
22199	Sabiñánigo	40 o más	3
22200	Sahún	00	24
22200	Sahún	01	157
22200	Sahún	02	20
22200	Sahún	03	4
22200	Sahún	04	3
22200	Sahún	05 a 09	4
22200	Sahún	20 a 39	1
22200	Sahún	40 o más	1
22201	Salas Altas	00	20
22201	Salas Altas	01	141
22201	Salas Altas	02	8
22202	Salas Bajas	00	17
22202	Salas Bajas	01	104
22202	Salas Bajas	02	1
22203	Salillas	00	4
22203	Salillas	01	78
22203	Salillas	02	1
22204	Sallent de Gállego	00	97
22204	Sallent de Gállego	01	328
22204	Sallent de Gállego	02	45
22204	Sallent de Gállego	03	19
22204	Sallent de Gállego	04	19
22204	Sallent de Gállego	05 a 09	80
22204	Sallent de Gállego	10 a 19	40
22204	Sallent de Gállego	20 a 39	19
22204	Sallent de Gállego	40 o más	8
22205	San Esteban de Litera	00	9
22205	San Esteban de Litera	01	445
22205	San Esteban de Litera	02	10
22205	San Esteban de Litera	03	2
22205	San Esteban de Litera	04	1
22206	Sangarrén	00	2
22206	Sangarrén	01	121
22206	Sangarrén	02	7
22206	Sangarrén	04	1
22207	San Juan de Plan	00	5
22207	San Juan de Plan	01	44
22207	San Juan de Plan	02	4
22207	San Juan de Plan	04	1
22208	Santa Cilia	00	8
22208	Santa Cilia	01	105
22208	Santa Cilia	02	2
22209	Santa Cruz de la Serós	00	9
22209	Santa Cruz de la Serós	01	74
22209	Santa Cruz de la Serós	02	1
22212	Santaliestra y San Quílez	00	5
22212	Santaliestra y San Quílez	01	72
22212	Santaliestra y San Quílez	02	4
22212	Santaliestra y San Quílez	03	2
22213	Sariñena	00	76
22213	Sariñena	01	1438
22213	Sariñena	02	70
22213	Sariñena	03	20
22213	Sariñena	04	13
22213	Sariñena	05 a 09	22
22213	Sariñena	10 a 19	14
22213	Sariñena	20 a 39	3
22214	Secastilla	00	9
22214	Secastilla	01	68
22214	Secastilla	02	4
22215	Seira	00	17
22215	Seira	01	89
22215	Seira	02	2
22215	Seira	03	2
22215	Seira	05 a 09	4
22215	Seira	10 a 19	2
22217	Sena	00	14
22217	Sena	01	330
22217	Sena	02	9
22218	Senés de Alcubierre	00	1
22218	Senés de Alcubierre	01	37
22220	Sesa	00	6
22220	Sesa	01	138
22220	Sesa	02	7
22221	Sesué	00	6
22221	Sesué	01	79
22221	Sesué	02	2
22221	Sesué	04	1
22221	Sesué	05 a 09	3
22221	Sesué	10 a 19	3
22222	Siétamo	00	7
22222	Siétamo	01	231
22222	Siétamo	02	5
22223	Sopeira	00	4
22223	Sopeira	01	60
22223	Sopeira	02	2
22225	Tamarite de Litera	00	143
22225	Tamarite de Litera	01	1060
22225	Tamarite de Litera	02	76
22225	Tamarite de Litera	03	30
22225	Tamarite de Litera	04	15
22225	Tamarite de Litera	05 a 09	55
22225	Tamarite de Litera	10 a 19	8
22225	Tamarite de Litera	20 a 39	5
22226	Tardienta	00	60
22226	Tardienta	01	293
22226	Tardienta	02	62
22226	Tardienta	03	16
22226	Tardienta	04	31
22226	Tardienta	05 a 09	9
22226	Tardienta	10 a 19	1
22227	Tella-Sin	00	13
22227	Tella-Sin	01	83
22227	Tella-Sin	02	5
22227	Tella-Sin	03	1
22227	Tella-Sin	04	1
22227	Tella-Sin	05 a 09	6
22227	Tella-Sin	10 a 19	1
22228	Tierz	00	4
22228	Tierz	01	64
22228	Tierz	02	9
22229	Tolva	00	9
22229	Tolva	01	157
22229	Tolva	02	9
22230	Torla	00	17
22230	Torla	01	137
22230	Torla	02	13
22230	Torla	03	2
22230	Torla	04	3
22230	Torla	05 a 09	2
22230	Torla	10 a 19	2
22230	Torla	20 a 39	4
22232	Torralba de Aragón	00	6
22232	Torralba de Aragón	01	71
22232	Torralba de Aragón	02	2
22233	Torre la Ribera	00	6
22233	Torre la Ribera	01	49
22233	Torre la Ribera	02	1
22234	Torrente de Cinca	00	28
22234	Torrente de Cinca	01	374
22234	Torrente de Cinca	02	47
22234	Torrente de Cinca	03	3
22234	Torrente de Cinca	05 a 09	3
22235	Torres de Alcanadre	00	8
22235	Torres de Alcanadre	01	90
22235	Torres de Alcanadre	02	1
22236	Torres de Barbués	00	7
22236	Torres de Barbués	01	152
22239	Tramaced	00	5
22239	Tramaced	01	45
22239	Tramaced	02	2
22242	Valfarta	00	3
22242	Valfarta	01	59
22243	Valle de Bardají	00	4
22243	Valle de Bardají	01	20
22244	Valle de Lierp	00	4
22244	Valle de Lierp	01	39
22244	Valle de Lierp	02	1
22245	Velilla de Cinca	00	5
22245	Velilla de Cinca	01	225
22245	Velilla de Cinca	02	12
22245	Velilla de Cinca	03	1
22246	Veracruz	00	2
22246	Veracruz	01	74
22246	Veracruz	02	1
22246	Veracruz	04	1
22247	Viacamp y Litera	00	2
22247	Viacamp y Litera	01	23
22247	Viacamp y Litera	02	1
22248	Vicién	00	1
22248	Vicién	01	48
22248	Vicién	02	8
22249	Villanova	00	18
22249	Villanova	01	99
22249	Villanova	02	3
22249	Villanova	03	2
22249	Villanova	04	1
22249	Villanova	05 a 09	2
22249	Villanova	10 a 19	1
22250	Villanúa	00	5
22250	Villanúa	01	271
22250	Villanúa	02	43
22250	Villanúa	03	5
22250	Villanúa	04	3
22250	Villanúa	05 a 09	40
22250	Villanúa	10 a 19	18
22250	Villanúa	20 a 39	18
22250	Villanúa	40 o más	2
22251	Villanueva de Sigena	00	26
22251	Villanueva de Sigena	01	231
22251	Villanueva de Sigena	02	9
22251	Villanueva de Sigena	04	4
22252	Yebra de Basa	00	5
22252	Yebra de Basa	01	63
22252	Yebra de Basa	02	2
22253	Yésero	00	3
22253	Yésero	01	53
22253	Yésero	02	4
22253	Yésero	03	1
22253	Yésero	05 a 09	1
22254	Zaidín	00	34
22254	Zaidín	01	520
