Municipio código	Municipio nombre	Clase de propietario	Número de edificios
22119	Gurrea de Gállego	Una persona	797
22119	Gurrea de Gállego	La comunidad	1
22122	Hoz de Jaca	Una persona	71
22124	Huerto	Una persona	198
22124	Huerto	La comunidad	1
22125	Huesca	Una persona	1533
22125	Huesca	La comunidad	1290
22125	Huesca	Una sociedad	10
22125	Huesca	Un organismo público	5
22126	Ibieca	Una persona	79
22127	Igriés	Una persona	111
22128	Ilche	Una persona	141
22129	Isábena	Una persona	144
22129	Isábena	La comunidad	1
22130	Jaca	Una persona	1364
22130	Jaca	La comunidad	682
22130	Jaca	Una sociedad	5
22130	Jaca	Un organismo público	1
22131	Jasa	Una persona	127
22131	Jasa	La comunidad	4
22131	Jasa	Una sociedad	1
22133	Labuerda	Una persona	90
22133	Labuerda	La comunidad	1
22135	Laluenga	Una persona	157
22135	Laluenga	La comunidad	2
22136	Lalueza	Una persona	545
22137	Lanaja	Una persona	786
22137	Lanaja	La comunidad	1
22139	Laperdiguera	Una persona	75
22141	Lascellas-Ponzano	Una persona	146
22142	Lascuarre	Una persona	116
22143	Laspaúles	Una persona	176
22143	Laspaúles	La comunidad	1
22144	Laspuña	Una persona	111
22144	Laspuña	La comunidad	1
22149	Loarre	Una persona	275
22149	Loarre	La comunidad	2
22149	Loarre	Una sociedad	1
22150	Loporzano	Una persona	227
22150	Loporzano	La comunidad	1
22151	Loscorrales	Una persona	69
22155	Monesma y Cajigar	Una persona	62
22156	Monflorite-Lascasas	Una persona	85
22156	Monflorite-Lascasas	La comunidad	1
22157	Montanuy	Una persona	186
22157	Montanuy	La comunidad	1
22158	Monzón	Una persona	2558
22158	Monzón	La comunidad	465
22158	Monzón	Una sociedad	11
22158	Monzón	Un organismo público	1
22160	Naval	Una persona	155
22160	Naval	La comunidad	1
22162	Novales	Una persona	74
22162	Novales	La comunidad	1
22163	Nueno	Una persona	217
22163	Nueno	La comunidad	1
22164	Olvena	Una persona	40
22165	Ontiñena	Una persona	407
22165	Ontiñena	La comunidad	1
22167	Osso de Cinca	Una persona	267
22167	Osso de Cinca	La comunidad	1
22167	Osso de Cinca	Una sociedad	1
22168	Palo	Una persona	40
22170	Panticosa	Una persona	224
22170	Panticosa	La comunidad	77
22170	Panticosa	Una sociedad	2
22172	Peñalba	Una persona	255
22172	Peñalba	La comunidad	2
22173	Peñas de Riglos (Las)	Una persona	410
22173	Peñas de Riglos (Las)	La comunidad	7
22174	Peralta de Alcofea	Una persona	412
22174	Peralta de Alcofea	La comunidad	1
22175	Peralta de Calasanz	Una persona	340
22175	Peralta de Calasanz	La comunidad	3
22175	Peralta de Calasanz	Una sociedad	1
22176	Peraltilla	Una persona	93
22177	Perarrúa	Una persona	97
22178	Pertusa	Una persona	101
22181	Piracés	Una persona	46
22182	Plan	Una persona	132
22182	Plan	La comunidad	3
22184	Poleñino	Una persona	120
22186	Pozán de Vero	Una persona	140
22187	Puebla de Castro (La)	Una persona	295
22188	Puente de Montañana	Una persona	91
22189	Puértolas	Una persona	98
22189	Puértolas	La comunidad	3
22190	Pueyo de Araguás (El)	Una persona	59
22193	Pueyo de Santa Cruz	Una persona	149
22193	Pueyo de Santa Cruz	La comunidad	1
22195	Quicena	Una persona	58
22195	Quicena	La comunidad	1
22197	Robres	Una persona	263
22197	Robres	La comunidad	2
22199	Sabiñánigo	Una persona	1075
22199	Sabiñánigo	La comunidad	334
22199	Sabiñánigo	Una sociedad	12
22199	Sabiñánigo	Un organismo público	1
22200	Sahún	Una persona	180
22200	Sahún	La comunidad	3
22200	Sahún	Una sociedad	4
22201	Salas Altas	Una persona	149
22202	Salas Bajas	Una persona	105
22203	Salillas	Una persona	79
22204	Sallent de Gállego	Una persona	406
22204	Sallent de Gállego	La comunidad	146
22204	Sallent de Gállego	Una sociedad	3
22205	San Esteban de Litera	Una persona	453
22205	San Esteban de Litera	La comunidad	3
22206	Sangarrén	Una persona	129
22207	San Juan de Plan	Una persona	49
22208	Santa Cilia	Una persona	104
22208	Santa Cilia	La comunidad	1
22209	Santa Cruz de la Serós	Una persona	74
22209	Santa Cruz de la Serós	La comunidad	1
22212	Santaliestra y San Quílez	Una persona	76
22212	Santaliestra y San Quílez	La comunidad	1
22213	Sariñena	Una persona	1557
22213	Sariñena	La comunidad	14
22213	Sariñena	Una sociedad	1
22214	Secastilla	Una persona	73
22214	Secastilla	La comunidad	1
22214	Secastilla	Una sociedad	1
22215	Seira	Una persona	92
22215	Seira	La comunidad	6
22215	Seira	Una sociedad	1
22217	Sena	Una persona	339
22218	Senés de Alcubierre	Una persona	37
22220	Sesa	Una persona	143
22220	Sesa	La comunidad	2
22221	Sesué	Una persona	81
22221	Sesué	La comunidad	7
22222	Siétamo	Una persona	236
22223	Sopeira	Una persona	62
22225	Tamarite de Litera	Una persona	1142
22225	Tamarite de Litera	La comunidad	100
22225	Tamarite de Litera	Un organismo público	1
22226	Tardienta	Una persona	405
22226	Tardienta	La comunidad	3
22226	Tardienta	Una sociedad	1
22227	Tella-Sin	Una persona	88
22227	Tella-Sin	La comunidad	9
22228	Tierz	Una persona	73
22229	Tolva	Una persona	165
22230	Torla	Una persona	146
22230	Torla	La comunidad	11
22230	Torla	Una sociedad	1
22232	Torralba de Aragón	Una persona	73
22233	Torre la Ribera	Una persona	52
22234	Torrente de Cinca	Una persona	423
22234	Torrente de Cinca	La comunidad	4
22235	Torres de Alcanadre	Una persona	90
22235	Torres de Alcanadre	La comunidad	1
22236	Torres de Barbués	Una persona	152
22239	Tramaced	Una persona	47
22242	Valfarta	Una persona	59
22243	Valle de Bardají	Una persona	19
22243	Valle de Bardají	La comunidad	1
22244	Valle de Lierp	Una persona	40
22245	Velilla de Cinca	Una persona	235
22245	Velilla de Cinca	La comunidad	2
22246	Veracruz	Una persona	75
22246	Veracruz	La comunidad	1
22247	Viacamp y Litera	Una persona	24
22248	Vicién	Una persona	56
22249	Villanova	Una persona	98
22249	Villanova	La comunidad	9
22250	Villanúa	Una persona	231
22250	Villanúa	La comunidad	168
22251	Villanueva de Sigena	Una persona	237
22251	Villanueva de Sigena	La comunidad	5
22252	Yebra de Basa	Una persona	64
22252	Yebra de Basa	La comunidad	1
22253	Yésero	Una persona	59
22254	Zaidín	Una persona	576
22254	Zaidín	La comunidad	18
22901	Valle de Hecho	Una persona	505
22901	Valle de Hecho	La comunidad	33
22902	Puente la Reina de Jaca	Una persona	129
22902	Puente la Reina de Jaca	La comunidad	4
22903	San Miguel del Cinca	Una persona	416
22904	Sotonera (La)	Una persona	691
22904	Sotonera (La)	Una sociedad	1
22905	Lupiñén-Ortilla	Una persona	202
22905	Lupiñén-Ortilla	La comunidad	1
22905	Lupiñén-Ortilla	Una sociedad	1
22906	Santa María de Dulcis	Una persona	103
22907	Aínsa-Sobrarbe	Una persona	599
22907	Aínsa-Sobrarbe	La comunidad	7
22907	Aínsa-Sobrarbe	Una sociedad	1
22908	Hoz y Costeán	Una persona	151
22909	Vencillón	Una persona	166
22909	Vencillón	La comunidad	1
44001	Ababuj	Una persona	84
44002	Abejuela	Una persona	139
44003	Aguatón	Una persona	33
44004	Aguaviva	Una persona	510
44005	Aguilar del Alfambra	Una persona	86
44006	Alacón	Una persona	350
44006	Alacón	La comunidad	1
44007	Alba	Una persona	223
44007	Alba	La comunidad	1
44008	Albalate del Arzobispo	Una persona	1124
44008	Albalate del Arzobispo	La comunidad	21
44008	Albalate del Arzobispo	Una sociedad	1
44008	Albalate del Arzobispo	Un organismo público	1
44009	Albarracín	Una persona	418
44009	Albarracín	La comunidad	71
44009	Albarracín	Un organismo público	1
44010	Albentosa	Una persona	253
44010	Albentosa	La comunidad	1
44011	Alcaine	Una persona	213
44012	Alcalá de la Selva	Una persona	871
44012	Alcalá de la Selva	La comunidad	3
44013	Alcañiz	Una persona	2309
44013	Alcañiz	La comunidad	136
44013	Alcañiz	Una sociedad	3
44014	Alcorisa	Una persona	1058
44014	Alcorisa	La comunidad	99
44014	Alcorisa	Una sociedad	3
44016	Alfambra	Una persona	405
44016	Alfambra	La comunidad	5
44017	Aliaga	Una persona	474
44018	Almohaja	Una persona	50
44019	Alobras	Una persona	106
44020	Alpeñés	Una persona	37
44021	Allepuz	Una persona	175
44021	Allepuz	La comunidad	1
44022	Alloza	Una persona	531
44022	Alloza	La comunidad	21
44023	Allueva	Una persona	58
44024	Anadón	Una persona	56
44025	Andorra	Una persona	1876
44025	Andorra	La comunidad	173
44026	Arcos de las Salinas	Una persona	220
44026	Arcos de las Salinas	La comunidad	1
44027	Arens de Lledó	Una persona	139
44028	Argente	Una persona	161
44029	Ariño	Una persona	531
44029	Ariño	La comunidad	12
44031	Azaila	Una persona	163
44032	Bádenas	Una persona	40
44033	Báguena	Una persona	398
44033	Báguena	Una sociedad	1
44034	Bañón	Una persona	160
44034	Bañón	La comunidad	1
44035	Barrachina	Una persona	184
44036	Bea	Una persona	42
44036	Bea	La comunidad	1
44037	Beceite	Una persona	455
44037	Beceite	Una sociedad	1
44038	Belmonte de San José	Una persona	125
44039	Bello	Una persona	339
44040	Berge	Una persona	176
44040	Berge	La comunidad	1
44041	Bezas	Una persona	96
44041	Bezas	La comunidad	1
44042	Blancas	Una persona	241
44042	Blancas	La comunidad	1
44043	Blesa	Una persona	275
44044	Bordón	Una persona	154
44045	Bronchales	Una persona	414
44045	Bronchales	La comunidad	88
44046	Bueña	Una persona	79
44047	Burbáguena	Una persona	281
44047	Burbáguena	Un organismo público	2
44048	Cabra de Mora	Una persona	90
44048	Cabra de Mora	La comunidad	1
44049	Calaceite	Una persona	712
44049	Calaceite	La comunidad	1
44050	Calamocha	Una persona	2032
44050	Calamocha	La comunidad	96
44050	Calamocha	Una sociedad	2
44051	Calanda	Una persona	1213
44051	Calanda	La comunidad	39
44051	Calanda	Una sociedad	3
44052	Calomarde	Una persona	102
44053	Camañas	Una persona	96
44053	Camañas	La comunidad	1
44054	Camarena de la Sierra	Una persona	295
44055	Camarillas	Una persona	171
44055	Camarillas	La comunidad	1
44056	Caminreal	Una persona	453
44056	Caminreal	La comunidad	3
44059	Cantavieja	Una persona	346
44059	Cantavieja	La comunidad	5
44059	Cantavieja	Una sociedad	1
44060	Cañada de Benatanduz	Una persona	74
44060	Cañada de Benatanduz	La comunidad	2
44061	Cañada de Verich (La)	Una persona	78
44062	Cañada Vellida	Una persona	54
44062	Cañada Vellida	La comunidad	1
44063	Cañizar del Olivar	Una persona	125
44064	Cascante del Río	Una persona	190
44064	Cascante del Río	La comunidad	1
44065	Castejón de Tornos	Una persona	134
44066	Castel de Cabra	Una persona	150
44066	Castel de Cabra	La comunidad	1
44067	Castelnou	Una persona	129
44068	Castelserás	Una persona	501
44070	Castellar (El)	Una persona	101
44071	Castellote	Una persona	765
44071	Castellote	La comunidad	4
44074	Cedrillas	Una persona	298
44074	Cedrillas	La comunidad	10
44074	Cedrillas	Un organismo público	1
44075	Celadas	Una persona	199
44075	Celadas	La comunidad	1
44076	Cella	Una persona	1124
44076	Cella	La comunidad	6
44077	Cerollera (La)	Una persona	78
44080	Codoñera (La)	Una persona	278
44082	Corbalán	Una persona	96
44084	Cortes de Aragón	Una persona	131
44085	Cosa	Una persona	97
44086	Cretas	Una persona	327
44086	Cretas	La comunidad	4
44087	Crivillén	Una persona	172
44087	Crivillén	La comunidad	3
44088	Cuba (La)	Una persona	73
44088	Cuba (La)	La comunidad	1
44089	Cubla	Una persona	106
44089	Cubla	La comunidad	1
44090	Cucalón	Una persona	143
44092	Cuervo (El)	Una persona	135
44093	Cuevas de Almudén	Una persona	58
44094	Cuevas Labradas	Una persona	99
44096	Ejulve	Una persona	246
44096	Ejulve	La comunidad	1
44097	Escorihuela	Una persona	186
44099	Escucha	Una persona	282
44099	Escucha	La comunidad	49
44099	Escucha	Una sociedad	1
44099	Escucha	Un organismo público	1
44100	Estercuel	Una persona	222
44100	Estercuel	La comunidad	4
44100	Estercuel	Una sociedad	1
44101	Ferreruela de Huerva	Una persona	72
44102	Fonfría	Una persona	44
44103	Formiche Alto	Una persona	196
44105	Fórnoles	Una persona	152
44106	Fortanete	Una persona	230
44107	Foz-Calanda	Una persona	188
44108	Fresneda (La)	Una persona	482
44109	Frías de Albarracín	Una persona	158
44110	Fuenferrada	Una persona	93
44111	Fuentes Calientes	Una persona	98
44112	Fuentes Claras	Una persona	392
44112	Fuentes Claras	La comunidad	2
44113	Fuentes de Rubielos	Una persona	135
44114	Fuentespalda	Una persona	219
44114	Fuentespalda	La comunidad	5
44115	Galve	Una persona	84
44116	Gargallo	Una persona	135
44117	Gea de Albarracín	Una persona	347
44117	Gea de Albarracín	La comunidad	1
44118	Ginebrosa (La)	Una persona	243
44118	Ginebrosa (La)	La comunidad	1
44119	Griegos	Una persona	146
44120	Guadalaviar	Una persona	169
44121	Gúdar	Una persona	142
44121	Gúdar	La comunidad	1
44122	Híjar	Una persona	946
44122	Híjar	La comunidad	10
44123	Hinojosa de Jarque	Una persona	104
44124	Hoz de la Vieja (La)	Una persona	256
44125	Huesa del Común	Una persona	222
44126	Iglesuela del Cid (La)	Una persona	309
44126	Iglesuela del Cid (La)	La comunidad	4
44127	Jabaloyas	Una persona	142
44128	Jarque de la Val	Una persona	75
44129	Jatiel	Una persona	79
44130	Jorcas	Una persona	86
44131	Josa	Una persona	136
44132	Lagueruela	Una persona	77
44133	Lanzuela	Una persona	33
44135	Libros	Una persona	172
44135	Libros	La comunidad	2
44135	Libros	Una sociedad	1
44136	Lidón	Una persona	73
44137	Linares de Mora	Una persona	312
44137	Linares de Mora	La comunidad	2
44138	Loscos	Una persona	200
44141	Lledó	Una persona	106
44142	Maicas	Una persona	81
44143	Manzanera	Una persona	757
44143	Manzanera	La comunidad	17
44144	Martín del Río	Una persona	254
44144	Martín del Río	La comunidad	4
44145	Mas de las Matas	Una persona	708
44145	Mas de las Matas	La comunidad	2
44146	Mata de los Olmos (La)	Una persona	171
44146	Mata de los Olmos (La)	La comunidad	1
44147	Mazaleón	Una persona	384
44147	Mazaleón	La comunidad	2
44147	Mazaleón	Una sociedad	2
44148	Mezquita de Jarque	Una persona	83
44149	Mirambel	Una persona	115
44150	Miravete de la Sierra	Una persona	79
44151	Molinos	Una persona	282
44151	Molinos	La comunidad	6
44152	Monforte de Moyuela	Una persona	121
44153	Monreal del Campo	Una persona	1090
44153	Monreal del Campo	La comunidad	10
44154	Monroyo	Una persona	216
44155	Montalbán	Una persona	655
44155	Montalbán	Una sociedad	1
44156	Monteagudo del Castillo	Una persona	101
44157	Monterde de Albarracín	Una persona	150
44158	Mora de Rubielos	Una persona	806
44158	Mora de Rubielos	La comunidad	117
44158	Mora de Rubielos	Una sociedad	3
44159	Moscardón	Una persona	83
44160	Mosqueruela	Una persona	477
44160	Mosqueruela	La comunidad	3
44161	Muniesa	Una persona	503
44161	Muniesa	La comunidad	1
44161	Muniesa	Un organismo público	1
44163	Noguera de Albarracín	Una persona	147
44164	Nogueras	Una persona	84
44165	Nogueruelas	Una persona	259
44165	Nogueruelas	La comunidad	1
44165	Nogueruelas	Un organismo público	1
44167	Obón	Una persona	250
44168	Odón	Una persona	229
44169	Ojos Negros	Una persona	493
44169	Ojos Negros	La comunidad	5
44169	Ojos Negros	Una sociedad	1
44171	Olba	Una persona	428
44172	Oliete	Una persona	596
44172	Oliete	La comunidad	3
44173	Olmos (Los)	Una persona	163
44173	Olmos (Los)	La comunidad	2
44174	Orihuela del Tremedal	Una persona	419
44174	Orihuela del Tremedal	La comunidad	4
44175	Orrios	Una persona	123
44176	Palomar de Arroyos	Una persona	175
44176	Palomar de Arroyos	La comunidad	4
44177	Pancrudo	Una persona	195
44177	Pancrudo	La comunidad	2
44178	Parras de Castellote (Las)	Una persona	206
44179	Peñarroya de Tastavins	Una persona	393
44179	Peñarroya de Tastavins	La comunidad	1
44179	Peñarroya de Tastavins	Una sociedad	1
44180	Peracense	Una persona	115
44181	Peralejos	Una persona	72
44182	Perales del Alfambra	Una persona	195
44182	Perales del Alfambra	La comunidad	2
44183	Pitarque	Una persona	137
44184	Plou	Una persona	78
44185	Pobo (El)	Una persona	148
44185	Pobo (El)	La comunidad	1
44187	Portellada (La)	Una persona	200
44187	Portellada (La)	La comunidad	1
44189	Pozondón	Una persona	125
44190	Pozuel del Campo	Una persona	159
44191	Puebla de Híjar (La)	Una persona	779
44191	Puebla de Híjar (La)	La comunidad	4
44191	Puebla de Híjar (La)	Una sociedad	1
44192	Puebla de Valverde (La)	Una persona	413
44192	Puebla de Valverde (La)	La comunidad	1
44193	Puertomingalvo	Una persona	197
44194	Ráfales	Una persona	177
44195	Rillo	Una persona	114
44196	Riodeva	Una persona	201
44196	Riodeva	La comunidad	1
44197	Ródenas	Una persona	116
44198	Royuela	Una persona	152
44198	Royuela	La comunidad	5
44199	Rubiales	Una persona	51
44200	Rubielos de la Cérida	Una persona	80
44201	Rubielos de Mora	Una persona	594
44201	Rubielos de Mora	La comunidad	16
44203	Salcedillo	Una persona	33
44204	Saldón	Una persona	92
44205	Samper de Calanda	Una persona	672
44205	Samper de Calanda	La comunidad	4
44206	San Agustín	Una persona	194
44207	San Martín del Río	Una persona	286
44207	San Martín del Río	La comunidad	1
44208	Santa Cruz de Nogueras	Una persona	53
44209	Santa Eulalia	Una persona	751
44209	Santa Eulalia	La comunidad	7
44210	Sarrión	Una persona	740
44210	Sarrión	La comunidad	5
44211	Segura de los Baños	Una persona	91
44212	Seno	Una persona	93
44213	Singra	Una persona	98
44215	Terriente	Una persona	188
44216	Teruel	Una persona	3714
44216	Teruel	La comunidad	1162
44216	Teruel	Una sociedad	6
44216	Teruel	Un organismo público	5
44217	Toril y Masegoso	Una persona	91
44218	Tormón	Una persona	69
44219	Tornos	Una persona	259
44220	Torralba de los Sisones	Una persona	141
44220	Torralba de los Sisones	La comunidad	1
44221	Torrecilla de Alcañiz	Una persona	276
44222	Torrecilla del Rebollar	Una persona	208
44223	Torre de Arcas	Una persona	89
44224	Torre de las Arcas	Una persona	93
44224	Torre de las Arcas	La comunidad	1
44225	Torre del Compte	Una persona	188
44226	Torrelacárcel	Una persona	241
44227	Torre los Negros	Una persona	121
44228	Torremocha de Jiloca	Una persona	125
44229	Torres de Albarracín	Una persona	137
44229	Torres de Albarracín	La comunidad	3
44230	Torrevelilla	Una persona	173
44230	Torrevelilla	La comunidad	1
44231	Torrijas	Una persona	175
44231	Torrijas	La comunidad	1
44232	Torrijo del Campo	Una persona	361
44232	Torrijo del Campo	La comunidad	2
44234	Tramacastiel	Una persona	173
44235	Tramacastilla	Una persona	128
44236	Tronchón	Una persona	124
44236	Tronchón	La comunidad	1
44237	Urrea de Gaén	Una persona	392
44237	Urrea de Gaén	La comunidad	1
44238	Utrillas	Una persona	640
44238	Utrillas	La comunidad	67
44238	Utrillas	Un organismo público	1
44239	Valacloche	Una persona	67
44239	Valacloche	La comunidad	1
44240	Valbona	Una persona	245
44240	Valbona	La comunidad	1
44241	Valdealgorfa	Una persona	384
44241	Valdealgorfa	La comunidad	4
44241	Valdealgorfa	Una sociedad	1
44243	Valdecuenca	Una persona	82
44244	Valdelinares	Una persona	143
44245	Valdeltormo	Una persona	229
44246	Valderrobres	Una persona	946
44246	Valderrobres	La comunidad	7
44246	Valderrobres	Una sociedad	1
44247	Valjunquera	Una persona	289
44249	Vallecillo (El)	Una persona	78
44250	Veguillas de la Sierra	Una persona	49
44251	Villafranca del Campo	Una persona	274
44251	Villafranca del Campo	La comunidad	2
44252	Villahermosa del Campo	Una persona	63
44256	Villanueva del Rebollar de la Sierra	Una persona	91
44257	Villar del Cobo	Una persona	131
44258	Villar del Salz	Una persona	97
44260	Villarluengo	Una persona	182
44260	Villarluengo	Una sociedad	1
44261	Villarquemado	Una persona	501
44261	Villarquemado	La comunidad	1
44262	Villarroya de los Pinares	Una persona	188
44263	Villastar	Una persona	242
44263	Villastar	La comunidad	1
44264	Villel	Una persona	335
44264	Villel	La comunidad	1
44265	Vinaceite	Una persona	185
44266	Visiedo	Una persona	143
44266	Visiedo	La comunidad	1
44266	Visiedo	Una sociedad	1
44267	Vivel del Río Martín	Una persona	214
44268	Zoma (La)	Una persona	20
50001	Abanto	Una persona	149
50002	Acered	Una persona	201
50002	Acered	La comunidad	1
50003	Agón	Una persona	110
50004	Aguarón	Una persona	472
50004	Aguarón	La comunidad	1
50004	Aguarón	Una sociedad	1
50004	Aguarón	Un organismo público	1
50005	Aguilón	Una persona	244
50006	Ainzón	Una persona	520
50006	Ainzón	La comunidad	23
50007	Aladrén	Una persona	150
50008	Alagón	Una persona	1470
50008	Alagón	La comunidad	94
50008	Alagón	Una sociedad	5
50009	Alarba	Una persona	190
50010	Alberite de San Juan	Una persona	64
50010	Alberite de San Juan	La comunidad	1
50011	Albeta	Una persona	71
50011	Albeta	La comunidad	2
50012	Alborge	Una persona	100
50013	Alcalá de Ebro	Una persona	176
50014	Alcalá de Moncayo	Una persona	73
50015	Alconchel de Ariza	Una persona	161
50015	Alconchel de Ariza	La comunidad	2
50016	Aldehuela de Liestos	Una persona	96
50016	Aldehuela de Liestos	La comunidad	2
50017	Alfajarín	Una persona	680
50017	Alfajarín	La comunidad	6
50018	Alfamén	Una persona	532
50018	Alfamén	La comunidad	4
50019	Alforque	Una persona	107
50019	Alforque	La comunidad	1
50020	Alhama de Aragón	Una persona	535
50020	Alhama de Aragón	La comunidad	14
50021	Almochuel	Una persona	30
50022	Almolda (La)	Una persona	325
50022	Almolda (La)	La comunidad	2
50022	Almolda (La)	Una sociedad	1
50023	Almonacid de la Cuba	Una persona	160
50023	Almonacid de la Cuba	La comunidad	1
50024	Almonacid de la Sierra	Una persona	475
50024	Almonacid de la Sierra	La comunidad	5
50025	Almunia de Doña Godina (La)	Una persona	1703
50025	Almunia de Doña Godina (La)	La comunidad	55
50026	Alpartir	Una persona	314
50026	Alpartir	La comunidad	1
50027	Ambel	Una persona	250
