Municipio código	Municipio nombre	Número habitaciones	Número habitaciones
22037	Arguis	10 o más	3
22039	Ayerbe	02	1
22039	Ayerbe	03	16
22039	Ayerbe	04	54
22039	Ayerbe	05	131
22039	Ayerbe	06	133
22039	Ayerbe	07	56
22039	Ayerbe	08	23
22039	Ayerbe	09	14
22039	Ayerbe	10 o más	19
22040	Azanuy-Alins	03	1
22040	Azanuy-Alins	04	17
22040	Azanuy-Alins	05	22
22040	Azanuy-Alins	06	20
22040	Azanuy-Alins	07	6
22040	Azanuy-Alins	08	6
22040	Azanuy-Alins	09	1
22040	Azanuy-Alins	10 o más	3
22041	Azara	03	1
22041	Azara	04	2
22041	Azara	05	27
22041	Azara	06	22
22041	Azara	07	12
22041	Azara	08	3
22041	Azara	09	3
22041	Azara	10 o más	1
22042	Azlor	03	1
22042	Azlor	04	4
22042	Azlor	05	5
22042	Azlor	06	20
22042	Azlor	07	14
22042	Azlor	08	8
22042	Azlor	09	5
22042	Azlor	10 o más	2
22043	Baells	01	1
22043	Baells	04	5
22043	Baells	05	13
22043	Baells	06	15
22043	Baells	07	20
22043	Baells	08	5
22043	Baells	09	2
22044	Bailo	01	2
22044	Bailo	02	1
22044	Bailo	03	7
22044	Bailo	04	12
22044	Bailo	05	23
22044	Bailo	06	23
22044	Bailo	07	21
22044	Bailo	08	7
22044	Bailo	09	5
22044	Bailo	10 o más	11
22045	Baldellou	02	2
22045	Baldellou	03	3
22045	Baldellou	04	16
22045	Baldellou	05	11
22045	Baldellou	06	12
22045	Baldellou	07	4
22045	Baldellou	08	3
22045	Baldellou	09	3
22045	Baldellou	10 o más	1
22046	Ballobar	03	11
22046	Ballobar	04	34
22046	Ballobar	05	95
22046	Ballobar	06	85
22046	Ballobar	07	46
22046	Ballobar	08	22
22046	Ballobar	09	11
22046	Ballobar	10 o más	25
22047	Banastás	03	6
22047	Banastás	04	7
22047	Banastás	05	11
22047	Banastás	06	13
22047	Banastás	07	9
22047	Banastás	08	5
22047	Banastás	09	3
22047	Banastás	10 o más	6
22048	Barbastro	01	2
22048	Barbastro	02	18
22048	Barbastro	03	139
22048	Barbastro	04	614
22048	Barbastro	05	2015
22048	Barbastro	06	1957
22048	Barbastro	07	318
22048	Barbastro	08	121
22048	Barbastro	09	60
22048	Barbastro	10 o más	67
22049	Barbués	04	4
22049	Barbués	05	8
22049	Barbués	06	9
22049	Barbués	07	3
22049	Barbués	08	8
22049	Barbués	09	1
22049	Barbués	10 o más	5
22050	Barbuñales	03	2
22050	Barbuñales	04	7
22050	Barbuñales	05	10
22050	Barbuñales	06	15
22050	Barbuñales	07	6
22050	Barbuñales	08	7
22050	Barbuñales	09	4
22051	Bárcabo	02	3
22051	Bárcabo	03	1
22051	Bárcabo	05	8
22051	Bárcabo	06	5
22051	Bárcabo	07	6
22051	Bárcabo	08	10
22051	Bárcabo	09	4
22051	Bárcabo	10 o más	10
22052	Belver de Cinca	02	3
22052	Belver de Cinca	03	68
22052	Belver de Cinca	04	210
22052	Belver de Cinca	05	130
22052	Belver de Cinca	06	26
22052	Belver de Cinca	07	6
22052	Belver de Cinca	08	2
22052	Belver de Cinca	09	1
22052	Belver de Cinca	10 o más	1
22053	Benabarre	02	6
22053	Benabarre	03	43
22053	Benabarre	04	74
22053	Benabarre	05	113
22053	Benabarre	06	82
22053	Benabarre	07	51
22053	Benabarre	08	22
22053	Benabarre	09	9
22053	Benabarre	10 o más	15
22054	Benasque	01	8
22054	Benasque	02	46
22054	Benasque	03	87
22054	Benasque	04	118
22054	Benasque	05	176
22054	Benasque	06	101
22054	Benasque	07	42
22054	Benasque	08	20
22054	Benasque	09	5
22054	Benasque	10 o más	27
22055	Berbegal	02	3
22055	Berbegal	03	4
22055	Berbegal	04	23
22055	Berbegal	05	45
22055	Berbegal	06	35
22055	Berbegal	07	24
22055	Berbegal	08	13
22055	Berbegal	09	11
22055	Berbegal	10 o más	17
22057	Bielsa	01	1
22057	Bielsa	02	3
22057	Bielsa	03	15
22057	Bielsa	04	36
22057	Bielsa	05	51
22057	Bielsa	06	29
22057	Bielsa	07	14
22057	Bielsa	08	14
22057	Bielsa	09	4
22057	Bielsa	10 o más	5
22058	Bierge	01	1
22058	Bierge	03	3
22058	Bierge	04	13
22058	Bierge	05	27
22058	Bierge	06	20
22058	Bierge	07	11
22058	Bierge	08	7
22058	Bierge	09	7
22058	Bierge	10 o más	7
22059	Biescas	01	3
22059	Biescas	02	28
22059	Biescas	03	41
22059	Biescas	04	78
22059	Biescas	05	174
22059	Biescas	06	93
22059	Biescas	07	29
22059	Biescas	08	17
22059	Biescas	09	13
22059	Biescas	10 o más	11
22060	Binaced	02	2
22060	Binaced	03	20
22060	Binaced	04	62
22060	Binaced	05	126
22060	Binaced	06	165
22060	Binaced	07	64
22060	Binaced	08	34
22060	Binaced	09	16
22060	Binaced	10 o más	23
22061	Binéfar	01	5
22061	Binéfar	02	5
22061	Binéfar	03	63
22061	Binéfar	04	421
22061	Binéfar	05	1234
22061	Binéfar	06	883
22061	Binéfar	07	207
22061	Binéfar	08	67
22061	Binéfar	09	36
22061	Binéfar	10 o más	27
22062	Bisaurri	03	4
22062	Bisaurri	04	8
22062	Bisaurri	05	12
22062	Bisaurri	06	24
22062	Bisaurri	07	13
22062	Bisaurri	08	8
22062	Bisaurri	09	17
22062	Bisaurri	10 o más	5
22063	Biscarrués	03	3
22063	Biscarrués	04	15
22063	Biscarrués	05	10
22063	Biscarrués	06	20
22063	Biscarrués	07	12
22063	Biscarrués	08	9
22063	Biscarrués	09	4
22063	Biscarrués	10 o más	10
22064	Blecua y Torres	03	1
22064	Blecua y Torres	04	6
22064	Blecua y Torres	05	15
22064	Blecua y Torres	06	22
22064	Blecua y Torres	07	11
22064	Blecua y Torres	08	8
22064	Blecua y Torres	09	2
22064	Blecua y Torres	10 o más	5
22066	Boltaña	01	2
22066	Boltaña	02	1
22066	Boltaña	03	9
22066	Boltaña	04	9
22066	Boltaña	05	39
22066	Boltaña	06	61
22066	Boltaña	07	78
22066	Boltaña	08	50
22066	Boltaña	09	27
22066	Boltaña	10 o más	44
22067	Bonansa	02	1
22067	Bonansa	03	2
22067	Bonansa	04	7
22067	Bonansa	05	10
22067	Bonansa	06	4
22067	Bonansa	07	1
22067	Bonansa	08	1
22067	Bonansa	09	1
22067	Bonansa	10 o más	3
22068	Borau	01	2
22068	Borau	02	1
22068	Borau	03	5
22068	Borau	04	4
22068	Borau	05	3
22068	Borau	06	3
22068	Borau	07	5
22068	Borau	08	6
22068	Borau	09	1
22068	Borau	10 o más	3
22069	Broto	02	3
22069	Broto	03	11
22069	Broto	04	28
22069	Broto	05	54
22069	Broto	06	45
22069	Broto	07	25
22069	Broto	08	8
22069	Broto	09	2
22069	Broto	10 o más	12
22072	Caldearenas	03	8
22072	Caldearenas	04	16
22072	Caldearenas	05	13
22072	Caldearenas	06	27
22072	Caldearenas	07	16
22072	Caldearenas	08	10
22072	Caldearenas	09	2
22072	Caldearenas	10 o más	10
22074	Campo	03	7
22074	Campo	04	8
22074	Campo	05	26
22074	Campo	06	44
22074	Campo	07	20
22074	Campo	08	14
22074	Campo	09	5
22074	Campo	10 o más	5
22075	Camporrells	03	8
22075	Camporrells	04	14
22075	Camporrells	05	25
22075	Camporrells	06	37
22075	Camporrells	07	13
22075	Camporrells	08	8
22075	Camporrells	09	4
22075	Camporrells	10 o más	2
22076	Canal de Berdún	02	3
22076	Canal de Berdún	03	7
22076	Canal de Berdún	04	27
22076	Canal de Berdún	05	42
22076	Canal de Berdún	06	38
22076	Canal de Berdún	07	24
22076	Canal de Berdún	08	11
22076	Canal de Berdún	09	11
22076	Canal de Berdún	10 o más	13
22077	Candasnos	02	1
22077	Candasnos	03	5
22077	Candasnos	04	27
22077	Candasnos	05	40
22077	Candasnos	06	43
22077	Candasnos	07	31
22077	Candasnos	08	22
22077	Candasnos	09	10
22077	Candasnos	10 o más	17
22078	Canfranc	01	6
22078	Canfranc	02	29
22078	Canfranc	03	53
22078	Canfranc	04	59
22078	Canfranc	05	43
22078	Canfranc	06	21
22078	Canfranc	07	5
22078	Canfranc	08	7
22078	Canfranc	09	7
22078	Canfranc	10 o más	5
22079	Capdesaso	01	1
22079	Capdesaso	02	1
22079	Capdesaso	03	3
22079	Capdesaso	04	14
22079	Capdesaso	05	17
22079	Capdesaso	06	15
22079	Capdesaso	07	6
22079	Capdesaso	08	4
22079	Capdesaso	09	4
22080	Capella	03	3
22080	Capella	04	6
22080	Capella	05	32
22080	Capella	06	43
22080	Capella	07	30
22080	Capella	08	10
22080	Capella	09	5
22080	Capella	10 o más	10
22081	Casbas de Huesca	03	2
22081	Casbas de Huesca	04	13
22081	Casbas de Huesca	05	17
22081	Casbas de Huesca	06	20
22081	Casbas de Huesca	07	31
22081	Casbas de Huesca	08	13
22081	Casbas de Huesca	09	7
22081	Casbas de Huesca	10 o más	12
22082	Castejón del Puente	02	1
22082	Castejón del Puente	03	4
22082	Castejón del Puente	04	18
22082	Castejón del Puente	05	45
22082	Castejón del Puente	06	56
22082	Castejón del Puente	07	7
22082	Castejón del Puente	08	3
22082	Castejón del Puente	09	2
22082	Castejón del Puente	10 o más	4
22083	Castejón de Monegros	03	5
22083	Castejón de Monegros	04	9
22083	Castejón de Monegros	05	44
22083	Castejón de Monegros	06	68
22083	Castejón de Monegros	07	49
22083	Castejón de Monegros	08	29
22083	Castejón de Monegros	09	15
22083	Castejón de Monegros	10 o más	27
22084	Castejón de Sos	01	3
22084	Castejón de Sos	02	10
22084	Castejón de Sos	03	22
22084	Castejón de Sos	04	41
22084	Castejón de Sos	05	44
22084	Castejón de Sos	06	43
22084	Castejón de Sos	07	29
22084	Castejón de Sos	08	10
22084	Castejón de Sos	09	8
22084	Castejón de Sos	10 o más	13
22085	Castelflorite	04	3
22085	Castelflorite	05	8
22085	Castelflorite	06	10
22085	Castelflorite	07	9
22085	Castelflorite	08	4
22085	Castelflorite	09	7
22085	Castelflorite	10 o más	7
22086	Castiello de Jaca	02	1
22086	Castiello de Jaca	03	12
22086	Castiello de Jaca	04	22
22086	Castiello de Jaca	05	17
22086	Castiello de Jaca	06	17
22086	Castiello de Jaca	07	4
22086	Castiello de Jaca	08	3
22086	Castiello de Jaca	09	1
22086	Castiello de Jaca	10 o más	3
22087	Castigaleu	01	1
22087	Castigaleu	03	3
22087	Castigaleu	04	2
22087	Castigaleu	05	5
22087	Castigaleu	06	3
22087	Castigaleu	07	3
22087	Castigaleu	08	5
22087	Castigaleu	09	1
22087	Castigaleu	10 o más	3
22088	Castillazuelo	03	2
22088	Castillazuelo	04	18
22088	Castillazuelo	05	28
22088	Castillazuelo	06	20
22088	Castillazuelo	07	18
22088	Castillazuelo	08	6
22088	Castillazuelo	09	2
22088	Castillazuelo	10 o más	2
22089	Castillonroy	02	1
22089	Castillonroy	03	9
22089	Castillonroy	04	28
22089	Castillonroy	05	27
22089	Castillonroy	06	29
22089	Castillonroy	07	17
22089	Castillonroy	08	20
22089	Castillonroy	09	5
22089	Castillonroy	10 o más	10
22090	Colungo	02	2
22090	Colungo	03	4
22090	Colungo	04	21
22090	Colungo	05	9
22090	Colungo	06	12
22090	Colungo	07	8
22090	Colungo	08	3
22090	Colungo	10 o más	3
22094	Chalamera	02	1
22094	Chalamera	03	6
22094	Chalamera	04	3
22094	Chalamera	05	14
22094	Chalamera	06	28
22094	Chalamera	07	8
22094	Chalamera	08	1
22094	Chalamera	09	2
22094	Chalamera	10 o más	1
22095	Chía	03	2
22095	Chía	04	3
22095	Chía	05	9
22095	Chía	06	13
22095	Chía	07	10
22095	Chía	08	5
22095	Chía	09	1
22096	Chimillas	01	1
22096	Chimillas	03	2
22096	Chimillas	04	7
22096	Chimillas	05	14
22096	Chimillas	06	12
22096	Chimillas	07	20
22096	Chimillas	08	11
22096	Chimillas	09	6
22096	Chimillas	10 o más	4
22099	Esplús	02	2
22099	Esplús	03	31
22099	Esplús	04	67
22099	Esplús	05	65
22099	Esplús	06	51
22099	Esplús	07	22
22099	Esplús	08	6
22099	Esplús	09	2
22099	Esplús	10 o más	1
22102	Estada	05	19
22102	Estada	06	23
22102	Estada	07	19
22102	Estada	08	9
22102	Estada	09	4
22102	Estada	10 o más	4
22103	Estadilla	03	5
22103	Estadilla	04	14
22103	Estadilla	05	63
22103	Estadilla	06	112
22103	Estadilla	07	61
22103	Estadilla	08	31
22103	Estadilla	09	14
22103	Estadilla	10 o más	27
22105	Estopiñán del Castillo	01	1
22105	Estopiñán del Castillo	03	2
22105	Estopiñán del Castillo	04	19
22105	Estopiñán del Castillo	05	28
22105	Estopiñán del Castillo	06	20
22105	Estopiñán del Castillo	07	14
22105	Estopiñán del Castillo	08	4
22105	Estopiñán del Castillo	09	2
22105	Estopiñán del Castillo	10 o más	5
22106	Fago	02	1
22106	Fago	03	1
22106	Fago	04	8
22106	Fago	05	6
22106	Fago	06	3
22106	Fago	07	2
22107	Fanlo	02	1
22107	Fanlo	03	11
22107	Fanlo	04	11
22107	Fanlo	05	18
22107	Fanlo	06	16
22107	Fanlo	07	8
22107	Fanlo	08	6
22107	Fanlo	09	1
22109	Fiscal	01	2
22109	Fiscal	03	6
22109	Fiscal	04	10
22109	Fiscal	05	27
22109	Fiscal	06	19
22109	Fiscal	07	12
22109	Fiscal	08	12
22109	Fiscal	09	2
22109	Fiscal	10 o más	11
22110	Fonz	02	5
22110	Fonz	03	16
22110	Fonz	04	62
22110	Fonz	05	110
22110	Fonz	06	105
22110	Fonz	07	57
22110	Fonz	08	41
22110	Fonz	09	15
22110	Fonz	10 o más	27
22111	Foradada del Toscar	03	3
22111	Foradada del Toscar	04	5
22111	Foradada del Toscar	05	19
22111	Foradada del Toscar	06	19
22111	Foradada del Toscar	07	9
22111	Foradada del Toscar	08	8
22111	Foradada del Toscar	09	3
22111	Foradada del Toscar	10 o más	10
22112	Fraga	01	1
22112	Fraga	02	79
22112	Fraga	03	259
22112	Fraga	04	708
22112	Fraga	05	1313
22112	Fraga	06	1106
22112	Fraga	07	247
22112	Fraga	08	126
22112	Fraga	09	40
22112	Fraga	10 o más	43
22113	Fueva (La)	01	1
22113	Fueva (La)	02	3
22113	Fueva (La)	03	1
22113	Fueva (La)	04	8
22113	Fueva (La)	05	17
22113	Fueva (La)	06	45
22113	Fueva (La)	07	31
22113	Fueva (La)	08	27
22113	Fueva (La)	09	18
22113	Fueva (La)	10 o más	25
22114	Gistaín	03	5
22114	Gistaín	04	12
22114	Gistaín	05	22
22114	Gistaín	06	12
22114	Gistaín	07	5
22114	Gistaín	08	1
22114	Gistaín	09	4
22114	Gistaín	10 o más	6
22115	Grado (El)	01	1
22115	Grado (El)	02	1
22115	Grado (El)	03	6
22115	Grado (El)	04	28
22115	Grado (El)	05	55
22115	Grado (El)	06	70
22115	Grado (El)	07	26
22115	Grado (El)	08	15
22115	Grado (El)	09	4
22115	Grado (El)	10 o más	19
22116	Grañén	02	3
22116	Grañén	03	19
22116	Grañén	04	69
22116	Grañén	05	232
22116	Grañén	06	224
22116	Grañén	07	58
22116	Grañén	08	48
22116	Grañén	09	12
22116	Grañén	10 o más	22
22117	Graus	01	2
22117	Graus	02	2
22117	Graus	03	48
22117	Graus	04	91
22117	Graus	05	356
22117	Graus	06	439
22117	Graus	07	110
22117	Graus	08	52
22117	Graus	09	25
22117	Graus	10 o más	41
22119	Gurrea de Gállego	01	1
22119	Gurrea de Gállego	02	4
22119	Gurrea de Gállego	03	33
22119	Gurrea de Gállego	04	86
22119	Gurrea de Gállego	05	225
22119	Gurrea de Gállego	06	190
22119	Gurrea de Gállego	07	64
22119	Gurrea de Gállego	08	34
22119	Gurrea de Gállego	09	9
22119	Gurrea de Gállego	10 o más	8
22122	Hoz de Jaca	04	4
22122	Hoz de Jaca	05	4
22122	Hoz de Jaca	06	5
22122	Hoz de Jaca	07	3
22122	Hoz de Jaca	08	3
22122	Hoz de Jaca	09	1
22122	Hoz de Jaca	10 o más	6
22124	Huerto	02	2
22124	Huerto	03	1
22124	Huerto	04	2
22124	Huerto	05	9
22124	Huerto	06	21
22124	Huerto	07	16
22124	Huerto	08	18
22124	Huerto	09	14
22124	Huerto	10 o más	18
22125	Huesca	01	25
22125	Huesca	02	144
22125	Huesca	03	539
22125	Huesca	04	2311
22125	Huesca	05	6451
22125	Huesca	06	5498
22125	Huesca	07	879
22125	Huesca	08	329
22125	Huesca	09	145
22125	Huesca	10 o más	149
22126	Ibieca	02	1
22126	Ibieca	04	3
22126	Ibieca	05	9
22126	Ibieca	06	12
22126	Ibieca	07	10
22126	Ibieca	08	5
22126	Ibieca	09	1
22127	Igriés	03	5
22127	Igriés	04	5
22127	Igriés	05	23
22127	Igriés	06	20
22127	Igriés	07	15
22127	Igriés	08	5
22127	Igriés	09	3
22127	Igriés	10 o más	7
22128	Ilche	01	1
22128	Ilche	02	1
22128	Ilche	03	7
22128	Ilche	04	10
22128	Ilche	05	13
22128	Ilche	06	18
22128	Ilche	07	18
22128	Ilche	08	2
22128	Ilche	09	3
22128	Ilche	10 o más	12
22129	Isábena	01	2
22129	Isábena	02	2
22129	Isábena	03	8
22129	Isábena	04	15
22129	Isábena	05	22
22129	Isábena	06	21
22129	Isábena	07	10
22129	Isábena	08	5
22129	Isábena	09	5
22129	Isábena	10 o más	4
22130	Jaca	01	21
22130	Jaca	02	111
22130	Jaca	03	270
22130	Jaca	04	624
22130	Jaca	05	1744
22130	Jaca	06	866
22130	Jaca	07	240
22130	Jaca	08	116
22130	Jaca	09	69
22130	Jaca	10 o más	66
22131	Jasa	01	3
22131	Jasa	02	2
22131	Jasa	03	2
22131	Jasa	04	5
22131	Jasa	05	11
22131	Jasa	06	6
22131	Jasa	07	3
22131	Jasa	08	8
22131	Jasa	09	3
22131	Jasa	10 o más	5
22133	Labuerda	03	13
22133	Labuerda	04	5
22133	Labuerda	05	8
22133	Labuerda	06	12
22133	Labuerda	07	7
22133	Labuerda	08	4
22133	Labuerda	09	4
22133	Labuerda	10 o más	13
22135	Laluenga	03	1
22135	Laluenga	04	12
22135	Laluenga	05	21
22135	Laluenga	06	30
22135	Laluenga	07	15
22135	Laluenga	08	11
22135	Laluenga	09	4
22135	Laluenga	10 o más	6
22136	Lalueza	02	1
22136	Lalueza	03	6
22136	Lalueza	04	38
22136	Lalueza	05	116
22136	Lalueza	06	129
22136	Lalueza	07	70
22136	Lalueza	08	33
22136	Lalueza	09	17
22136	Lalueza	10 o más	19
22137	Lanaja	01	1
22137	Lanaja	02	4
22137	Lanaja	03	15
22137	Lanaja	04	55
22137	Lanaja	05	215
22137	Lanaja	06	179
22137	Lanaja	07	70
22137	Lanaja	08	21
22137	Lanaja	09	6
22137	Lanaja	10 o más	21
22139	Laperdiguera	04	3
22139	Laperdiguera	05	6
22139	Laperdiguera	06	13
22139	Laperdiguera	07	6
22139	Laperdiguera	08	7
22141	Lascellas-Ponzano	03	6
22141	Lascellas-Ponzano	04	6
22141	Lascellas-Ponzano	05	24
22141	Lascellas-Ponzano	06	24
22141	Lascellas-Ponzano	07	5
22141	Lascellas-Ponzano	08	2
22141	Lascellas-Ponzano	09	2
22141	Lascellas-Ponzano	10 o más	1
22142	Lascuarre	03	4
22142	Lascuarre	04	6
22142	Lascuarre	05	14
22142	Lascuarre	06	9
22142	Lascuarre	07	10
22142	Lascuarre	08	8
22142	Lascuarre	09	2
22142	Lascuarre	10 o más	4
22143	Laspaúles	02	4
22143	Laspaúles	03	15
22143	Laspaúles	04	26
22143	Laspaúles	05	14
22143	Laspaúles	06	11
22143	Laspaúles	07	10
22143	Laspaúles	08	6
22143	Laspaúles	09	4
22143	Laspaúles	10 o más	12
22144	Laspuña	03	3
22144	Laspuña	04	7
22144	Laspuña	05	11
22144	Laspuña	06	25
22144	Laspuña	07	17
22144	Laspuña	08	8
22144	Laspuña	09	4
22144	Laspuña	10 o más	7
22149	Loarre	03	4
22149	Loarre	04	14
22149	Loarre	05	39
22149	Loarre	06	53
22149	Loarre	07	27
22149	Loarre	08	12
22149	Loarre	09	5
22149	Loarre	10 o más	3
22150	Loporzano	01	1
22150	Loporzano	02	1
22150	Loporzano	03	7
22150	Loporzano	04	18
22150	Loporzano	05	42
22150	Loporzano	06	33
22150	Loporzano	07	30
22150	Loporzano	08	19
22150	Loporzano	09	4
22150	Loporzano	10 o más	16
22151	Loscorrales	01	1
22151	Loscorrales	03	3
22151	Loscorrales	04	9
22151	Loscorrales	05	14
22151	Loscorrales	06	9
22151	Loscorrales	07	5
