Comarca código	Comarca nombre	Año de construcción	Número de edificios
06	Hoya de Huesca / Plana de Uesca	1996	113
06	Hoya de Huesca / Plana de Uesca	1997	118
06	Hoya de Huesca / Plana de Uesca	1998	76
06	Hoya de Huesca / Plana de Uesca	1999	193
06	Hoya de Huesca / Plana de Uesca	2000	113
06	Hoya de Huesca / Plana de Uesca	2001	187
07	Somontano de Barbastro	 Antes de 1900	1594
07	Somontano de Barbastro	1900 - 1920	436
07	Somontano de Barbastro	1921 - 1940	431
07	Somontano de Barbastro	1941 - 1950	341
07	Somontano de Barbastro	1951 - 1960	542
07	Somontano de Barbastro	1961 - 1970	586
07	Somontano de Barbastro	1971 - 1980	899
07	Somontano de Barbastro	1981 - 1990	1010
07	Somontano de Barbastro	1991	63
07	Somontano de Barbastro	1992	46
07	Somontano de Barbastro	1993	60
07	Somontano de Barbastro	1994	82
07	Somontano de Barbastro	1995	62
07	Somontano de Barbastro	1996	84
07	Somontano de Barbastro	1997	64
07	Somontano de Barbastro	1998	79
07	Somontano de Barbastro	1999	74
07	Somontano de Barbastro	2000	67
07	Somontano de Barbastro	2001	68
08	Cinca Medio	 Antes de 1900	929
08	Cinca Medio	1900 - 1920	391
08	Cinca Medio	1921 - 1940	445
08	Cinca Medio	1941 - 1950	470
08	Cinca Medio	1951 - 1960	715
08	Cinca Medio	1961 - 1970	873
08	Cinca Medio	1971 - 1980	646
08	Cinca Medio	1981 - 1990	649
08	Cinca Medio	1991	63
08	Cinca Medio	1992	54
08	Cinca Medio	1993	59
08	Cinca Medio	1994	45
08	Cinca Medio	1995	86
08	Cinca Medio	1996	143
08	Cinca Medio	1997	82
08	Cinca Medio	1998	71
08	Cinca Medio	1999	94
08	Cinca Medio	2000	91
08	Cinca Medio	2001	135
09	La Litera / La Llitera	 Antes de 1900	1042
09	La Litera / La Llitera	1900 - 1920	449
09	La Litera / La Llitera	1921 - 1940	633
09	La Litera / La Llitera	1941 - 1950	721
09	La Litera / La Llitera	1951 - 1960	943
09	La Litera / La Llitera	1961 - 1970	920
09	La Litera / La Llitera	1971 - 1980	689
09	La Litera / La Llitera	1981 - 1990	639
09	La Litera / La Llitera	1991	83
09	La Litera / La Llitera	1992	71
09	La Litera / La Llitera	1993	54
09	La Litera / La Llitera	1994	42
09	La Litera / La Llitera	1995	46
09	La Litera / La Llitera	1996	56
09	La Litera / La Llitera	1997	57
09	La Litera / La Llitera	1998	58
09	La Litera / La Llitera	1999	63
09	La Litera / La Llitera	2000	84
09	La Litera / La Llitera	2001	48
10	Los Monegros	 Antes de 1900	1146
10	Los Monegros	1900 - 1920	403
10	Los Monegros	1921 - 1940	560
10	Los Monegros	1941 - 1950	733
10	Los Monegros	1951 - 1960	1484
10	Los Monegros	1961 - 1970	1846
10	Los Monegros	1971 - 1980	1170
10	Los Monegros	1981 - 1990	968
10	Los Monegros	1991	52
10	Los Monegros	1992	70
10	Los Monegros	1993	58
10	Los Monegros	1994	59
10	Los Monegros	1995	50
10	Los Monegros	1996	53
10	Los Monegros	1997	79
10	Los Monegros	1998	122
10	Los Monegros	1999	84
10	Los Monegros	2000	136
10	Los Monegros	2001	59
11	Bajo Cinca / Baix Cinca	 Antes de 1900	933
11	Bajo Cinca / Baix Cinca	1900 - 1920	354
11	Bajo Cinca / Baix Cinca	1921 - 1940	538
11	Bajo Cinca / Baix Cinca	1941 - 1950	642
11	Bajo Cinca / Baix Cinca	1951 - 1960	766
11	Bajo Cinca / Baix Cinca	1961 - 1970	702
11	Bajo Cinca / Baix Cinca	1971 - 1980	1151
11	Bajo Cinca / Baix Cinca	1981 - 1990	732
11	Bajo Cinca / Baix Cinca	1991	50
11	Bajo Cinca / Baix Cinca	1992	83
11	Bajo Cinca / Baix Cinca	1993	50
11	Bajo Cinca / Baix Cinca	1994	29
11	Bajo Cinca / Baix Cinca	1995	60
11	Bajo Cinca / Baix Cinca	1996	47
11	Bajo Cinca / Baix Cinca	1997	55
11	Bajo Cinca / Baix Cinca	1998	69
11	Bajo Cinca / Baix Cinca	1999	60
11	Bajo Cinca / Baix Cinca	2000	64
11	Bajo Cinca / Baix Cinca	2001	74
12	Tarazona y el Moncayo	 Antes de 1900	2017
12	Tarazona y el Moncayo	1900 - 1920	361
12	Tarazona y el Moncayo	1921 - 1940	332
12	Tarazona y el Moncayo	1941 - 1950	259
12	Tarazona y el Moncayo	1951 - 1960	382
12	Tarazona y el Moncayo	1961 - 1970	213
12	Tarazona y el Moncayo	1971 - 1980	402
12	Tarazona y el Moncayo	1981 - 1990	279
12	Tarazona y el Moncayo	1991	36
12	Tarazona y el Moncayo	1992	37
12	Tarazona y el Moncayo	1993	42
12	Tarazona y el Moncayo	1994	36
12	Tarazona y el Moncayo	1995	80
12	Tarazona y el Moncayo	1996	18
12	Tarazona y el Moncayo	1997	19
12	Tarazona y el Moncayo	1998	57
12	Tarazona y el Moncayo	1999	32
12	Tarazona y el Moncayo	2000	30
12	Tarazona y el Moncayo	2001	41
13	Campo de Borja	 Antes de 1900	1843
13	Campo de Borja	1900 - 1920	534
13	Campo de Borja	1921 - 1940	795
13	Campo de Borja	1941 - 1950	643
13	Campo de Borja	1951 - 1960	488
13	Campo de Borja	1961 - 1970	538
13	Campo de Borja	1971 - 1980	642
13	Campo de Borja	1981 - 1990	674
13	Campo de Borja	1991	60
13	Campo de Borja	1992	49
13	Campo de Borja	1993	75
13	Campo de Borja	1994	65
13	Campo de Borja	1995	61
13	Campo de Borja	1996	93
13	Campo de Borja	1997	81
13	Campo de Borja	1998	93
13	Campo de Borja	1999	56
13	Campo de Borja	2000	140
13	Campo de Borja	2001	84
14	Aranda	 Antes de 1900	1202
14	Aranda	1900 - 1920	477
14	Aranda	1921 - 1940	125
14	Aranda	1941 - 1950	187
14	Aranda	1951 - 1960	292
14	Aranda	1961 - 1970	224
14	Aranda	1971 - 1980	227
14	Aranda	1981 - 1990	180
14	Aranda	1991	33
14	Aranda	1992	32
14	Aranda	1993	14
14	Aranda	1994	31
14	Aranda	1995	22
14	Aranda	1996	22
14	Aranda	1997	13
14	Aranda	1998	30
14	Aranda	1999	33
14	Aranda	2000	19
14	Aranda	2001	30
15	Ribera Alta del Ebro	 Antes de 1900	1182
15	Ribera Alta del Ebro	1900 - 1920	632
15	Ribera Alta del Ebro	1921 - 1940	601
15	Ribera Alta del Ebro	1941 - 1950	619
15	Ribera Alta del Ebro	1951 - 1960	1111
15	Ribera Alta del Ebro	1961 - 1970	707
15	Ribera Alta del Ebro	1971 - 1980	1369
15	Ribera Alta del Ebro	1981 - 1990	1049
15	Ribera Alta del Ebro	1991	111
15	Ribera Alta del Ebro	1992	112
15	Ribera Alta del Ebro	1993	104
15	Ribera Alta del Ebro	1994	107
15	Ribera Alta del Ebro	1995	118
15	Ribera Alta del Ebro	1996	212
15	Ribera Alta del Ebro	1997	107
15	Ribera Alta del Ebro	1998	198
15	Ribera Alta del Ebro	1999	126
15	Ribera Alta del Ebro	2000	150
15	Ribera Alta del Ebro	2001	341
16	Valdejalón	 Antes de 1900	2037
16	Valdejalón	1900 - 1920	853
16	Valdejalón	1921 - 1940	796
16	Valdejalón	1941 - 1950	721
16	Valdejalón	1951 - 1960	922
16	Valdejalón	1961 - 1970	1131
16	Valdejalón	1971 - 1980	1439
16	Valdejalón	1981 - 1990	1132
16	Valdejalón	1991	100
16	Valdejalón	1992	153
16	Valdejalón	1993	124
16	Valdejalón	1994	110
16	Valdejalón	1995	109
16	Valdejalón	1996	125
16	Valdejalón	1997	113
16	Valdejalón	1998	177
16	Valdejalón	1999	197
16	Valdejalón	2000	132
16	Valdejalón	2001	149
17	D.C. Zaragoza	 Antes de 1900	1975
17	D.C. Zaragoza	1900 - 1920	1133
17	D.C. Zaragoza	1921 - 1940	2497
17	D.C. Zaragoza	1941 - 1950	3210
17	D.C. Zaragoza	1951 - 1960	7317
17	D.C. Zaragoza	1961 - 1970	7030
17	D.C. Zaragoza	1971 - 1980	7917
17	D.C. Zaragoza	1981 - 1990	6742
17	D.C. Zaragoza	1991	1259
17	D.C. Zaragoza	1992	836
17	D.C. Zaragoza	1993	947
17	D.C. Zaragoza	1994	900
17	D.C. Zaragoza	1995	784
17	D.C. Zaragoza	1996	1159
17	D.C. Zaragoza	1997	1226
17	D.C. Zaragoza	1998	1466
17	D.C. Zaragoza	1999	861
17	D.C. Zaragoza	2000	1188
17	D.C. Zaragoza	2001	1353
18	Ribera Baja del Ebro	 Antes de 1900	695
18	Ribera Baja del Ebro	1900 - 1920	389
18	Ribera Baja del Ebro	1921 - 1940	442
18	Ribera Baja del Ebro	1941 - 1950	414
18	Ribera Baja del Ebro	1951 - 1960	862
18	Ribera Baja del Ebro	1961 - 1970	478
18	Ribera Baja del Ebro	1971 - 1980	676
18	Ribera Baja del Ebro	1981 - 1990	576
18	Ribera Baja del Ebro	1991	65
18	Ribera Baja del Ebro	1992	60
18	Ribera Baja del Ebro	1993	33
18	Ribera Baja del Ebro	1994	63
18	Ribera Baja del Ebro	1995	34
18	Ribera Baja del Ebro	1996	41
18	Ribera Baja del Ebro	1997	44
18	Ribera Baja del Ebro	1998	55
18	Ribera Baja del Ebro	1999	67
18	Ribera Baja del Ebro	2000	64
18	Ribera Baja del Ebro	2001	71
19	Bajo Aragón-Caspe / Baix Aragó-Casp	 Antes de 1900	257
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1900 - 1920	477
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1921 - 1940	600
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1941 - 1950	475
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1951 - 1960	527
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1961 - 1970	837
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1971 - 1980	1269
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1981 - 1990	563
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1991	42
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1992	55
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1993	38
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1994	38
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1995	36
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1996	44
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1997	36
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1998	57
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1999	94
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2000	88
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2001	44
20	Comunidad de Calatayud	 Antes de 1900	6494
20	Comunidad de Calatayud	1900 - 1920	2224
20	Comunidad de Calatayud	1921 - 1940	1285
20	Comunidad de Calatayud	1941 - 1950	1568
20	Comunidad de Calatayud	1951 - 1960	1576
20	Comunidad de Calatayud	1961 - 1970	1099
20	Comunidad de Calatayud	1971 - 1980	1653
20	Comunidad de Calatayud	1981 - 1990	1069
20	Comunidad de Calatayud	1991	129
20	Comunidad de Calatayud	1992	137
20	Comunidad de Calatayud	1993	112
20	Comunidad de Calatayud	1994	112
20	Comunidad de Calatayud	1995	142
20	Comunidad de Calatayud	1996	103
20	Comunidad de Calatayud	1997	83
20	Comunidad de Calatayud	1998	106
20	Comunidad de Calatayud	1999	115
20	Comunidad de Calatayud	2000	120
20	Comunidad de Calatayud	2001	132
21	Campo de Cariñena	 Antes de 1900	1234
21	Campo de Cariñena	1900 - 1920	548
21	Campo de Cariñena	1921 - 1940	491
21	Campo de Cariñena	1941 - 1950	303
21	Campo de Cariñena	1951 - 1960	307
21	Campo de Cariñena	1961 - 1970	392
21	Campo de Cariñena	1971 - 1980	613
21	Campo de Cariñena	1981 - 1990	434
21	Campo de Cariñena	1991	40
21	Campo de Cariñena	1992	31
21	Campo de Cariñena	1993	34
21	Campo de Cariñena	1994	33
21	Campo de Cariñena	1995	33
21	Campo de Cariñena	1996	46
21	Campo de Cariñena	1997	46
21	Campo de Cariñena	1998	32
21	Campo de Cariñena	1999	31
21	Campo de Cariñena	2000	42
21	Campo de Cariñena	2001	35
22	Campo de Belchite	 Antes de 1900	791
22	Campo de Belchite	1900 - 1920	522
22	Campo de Belchite	1921 - 1940	390
22	Campo de Belchite	1941 - 1950	593
22	Campo de Belchite	1951 - 1960	584
22	Campo de Belchite	1961 - 1970	353
22	Campo de Belchite	1971 - 1980	298
22	Campo de Belchite	1981 - 1990	408
22	Campo de Belchite	1991	27
22	Campo de Belchite	1992	20
22	Campo de Belchite	1993	12
22	Campo de Belchite	1994	16
22	Campo de Belchite	1995	19
22	Campo de Belchite	1996	20
22	Campo de Belchite	1997	20
22	Campo de Belchite	1998	19
22	Campo de Belchite	1999	24
22	Campo de Belchite	2000	30
22	Campo de Belchite	2001	11
23	Bajo Martín	 Antes de 1900	1411
23	Bajo Martín	1900 - 1920	273
23	Bajo Martín	1921 - 1940	304
23	Bajo Martín	1941 - 1950	500
23	Bajo Martín	1951 - 1960	336
23	Bajo Martín	1961 - 1970	360
23	Bajo Martín	1971 - 1980	476
23	Bajo Martín	1981 - 1990	519
23	Bajo Martín	1991	25
23	Bajo Martín	1992	42
23	Bajo Martín	1993	25
23	Bajo Martín	1994	33
23	Bajo Martín	1995	39
23	Bajo Martín	1996	20
23	Bajo Martín	1997	27
23	Bajo Martín	1998	32
23	Bajo Martín	1999	19
23	Bajo Martín	2000	31
23	Bajo Martín	2001	40
24	Campo de Daroca	 Antes de 1900	674
24	Campo de Daroca	1900 - 1920	596
24	Campo de Daroca	1921 - 1940	623
24	Campo de Daroca	1941 - 1950	421
24	Campo de Daroca	1951 - 1960	659
24	Campo de Daroca	1961 - 1970	473
24	Campo de Daroca	1971 - 1980	703
24	Campo de Daroca	1981 - 1990	784
24	Campo de Daroca	1991	32
24	Campo de Daroca	1992	21
24	Campo de Daroca	1993	19
24	Campo de Daroca	1994	25
24	Campo de Daroca	1995	39
24	Campo de Daroca	1996	21
24	Campo de Daroca	1997	26
24	Campo de Daroca	1998	39
24	Campo de Daroca	1999	32
24	Campo de Daroca	2000	37
24	Campo de Daroca	2001	30
25	Jiloca	 Antes de 1900	3334
25	Jiloca	1900 - 1920	1118
25	Jiloca	1921 - 1940	757
25	Jiloca	1941 - 1950	666
25	Jiloca	1951 - 1960	629
25	Jiloca	1961 - 1970	681
25	Jiloca	1971 - 1980	1331
25	Jiloca	1981 - 1990	803
25	Jiloca	1991	45
25	Jiloca	1992	58
25	Jiloca	1993	46
25	Jiloca	1994	38
25	Jiloca	1995	55
25	Jiloca	1996	55
25	Jiloca	1997	52
25	Jiloca	1998	64
25	Jiloca	1999	64
25	Jiloca	2000	92
25	Jiloca	2001	74
26	Cuencas Mineras	 Antes de 1900	2646
26	Cuencas Mineras	1900 - 1920	638
26	Cuencas Mineras	1921 - 1940	396
26	Cuencas Mineras	1941 - 1950	516
26	Cuencas Mineras	1951 - 1960	502
26	Cuencas Mineras	1961 - 1970	252
26	Cuencas Mineras	1971 - 1980	437
26	Cuencas Mineras	1981 - 1990	426
26	Cuencas Mineras	1991	23
26	Cuencas Mineras	1992	14
26	Cuencas Mineras	1993	19
26	Cuencas Mineras	1994	21
26	Cuencas Mineras	1995	4
26	Cuencas Mineras	1996	31
26	Cuencas Mineras	1997	20
26	Cuencas Mineras	1998	22
26	Cuencas Mineras	1999	15
26	Cuencas Mineras	2000	29
26	Cuencas Mineras	2001	32
27	Andorra-Sierra de Arcos	 Antes de 1900	1026
27	Andorra-Sierra de Arcos	1900 - 1920	451
27	Andorra-Sierra de Arcos	1921 - 1940	365
27	Andorra-Sierra de Arcos	1941 - 1950	402
27	Andorra-Sierra de Arcos	1951 - 1960	770
27	Andorra-Sierra de Arcos	1961 - 1970	349
27	Andorra-Sierra de Arcos	1971 - 1980	542
27	Andorra-Sierra de Arcos	1981 - 1990	507
27	Andorra-Sierra de Arcos	1991	52
27	Andorra-Sierra de Arcos	1992	44
27	Andorra-Sierra de Arcos	1993	150
27	Andorra-Sierra de Arcos	1994	27
27	Andorra-Sierra de Arcos	1995	19
27	Andorra-Sierra de Arcos	1996	27
27	Andorra-Sierra de Arcos	1997	27
27	Andorra-Sierra de Arcos	1998	46
27	Andorra-Sierra de Arcos	1999	19
27	Andorra-Sierra de Arcos	2000	21
27	Andorra-Sierra de Arcos	2001	34
28	Bajo Aragón	 Antes de 1900	2234
28	Bajo Aragón	1900 - 1920	884
28	Bajo Aragón	1921 - 1940	760
28	Bajo Aragón	1941 - 1950	676
28	Bajo Aragón	1951 - 1960	762
28	Bajo Aragón	1961 - 1970	703
28	Bajo Aragón	1971 - 1980	1132
28	Bajo Aragón	1981 - 1990	976
28	Bajo Aragón	1991	120
28	Bajo Aragón	1992	83
28	Bajo Aragón	1993	97
28	Bajo Aragón	1994	108
28	Bajo Aragón	1995	116
28	Bajo Aragón	1996	97
28	Bajo Aragón	1997	66
28	Bajo Aragón	1998	83
28	Bajo Aragón	1999	98
28	Bajo Aragón	2000	104
28	Bajo Aragón	2001	128
29	Comunidad de Teruel	 Antes de 1900	2744
29	Comunidad de Teruel	1900 - 1920	993
29	Comunidad de Teruel	1921 - 1940	1301
29	Comunidad de Teruel	1941 - 1950	1159
29	Comunidad de Teruel	1951 - 1960	1168
29	Comunidad de Teruel	1961 - 1970	1181
29	Comunidad de Teruel	1971 - 1980	1465
29	Comunidad de Teruel	1981 - 1990	1722
29	Comunidad de Teruel	1991	107
29	Comunidad de Teruel	1992	140
29	Comunidad de Teruel	1993	124
29	Comunidad de Teruel	1994	202
29	Comunidad de Teruel	1995	203
29	Comunidad de Teruel	1996	177
29	Comunidad de Teruel	1997	107
29	Comunidad de Teruel	1998	82
29	Comunidad de Teruel	1999	94
29	Comunidad de Teruel	2000	119
29	Comunidad de Teruel	2001	147
30	Maestrazgo	 Antes de 1900	1528
30	Maestrazgo	1900 - 1920	86
30	Maestrazgo	1921 - 1940	100
30	Maestrazgo	1941 - 1950	232
30	Maestrazgo	1951 - 1960	242
30	Maestrazgo	1961 - 1970	232
30	Maestrazgo	1971 - 1980	354
30	Maestrazgo	1981 - 1990	330
30	Maestrazgo	1991	12
30	Maestrazgo	1992	12
30	Maestrazgo	1993	10
30	Maestrazgo	1994	11
30	Maestrazgo	1995	9
30	Maestrazgo	1996	17
30	Maestrazgo	1997	11
30	Maestrazgo	1998	19
30	Maestrazgo	1999	19
30	Maestrazgo	2000	25
30	Maestrazgo	2001	10
31	Sierra de Albarracín	 Antes de 1900	996
31	Sierra de Albarracín	1900 - 1920	524
31	Sierra de Albarracín	1921 - 1940	362
31	Sierra de Albarracín	1941 - 1950	240
31	Sierra de Albarracín	1951 - 1960	363
31	Sierra de Albarracín	1961 - 1970	322
31	Sierra de Albarracín	1971 - 1980	515
31	Sierra de Albarracín	1981 - 1990	568
31	Sierra de Albarracín	1991	18
31	Sierra de Albarracín	1992	36
31	Sierra de Albarracín	1993	38
31	Sierra de Albarracín	1994	41
31	Sierra de Albarracín	1995	42
31	Sierra de Albarracín	1996	51
31	Sierra de Albarracín	1997	38
31	Sierra de Albarracín	1998	44
31	Sierra de Albarracín	1999	46
31	Sierra de Albarracín	2000	51
31	Sierra de Albarracín	2001	41
32	Gúdar-Javalambre	 Antes de 1900	2313
32	Gúdar-Javalambre	1900 - 1920	584
32	Gúdar-Javalambre	1921 - 1940	566
32	Gúdar-Javalambre	1941 - 1950	451
32	Gúdar-Javalambre	1951 - 1960	888
32	Gúdar-Javalambre	1961 - 1970	704
32	Gúdar-Javalambre	1971 - 1980	1222
32	Gúdar-Javalambre	1981 - 1990	921
32	Gúdar-Javalambre	1991	39
32	Gúdar-Javalambre	1992	51
32	Gúdar-Javalambre	1993	38
32	Gúdar-Javalambre	1994	44
32	Gúdar-Javalambre	1995	85
32	Gúdar-Javalambre	1996	52
32	Gúdar-Javalambre	1997	83
32	Gúdar-Javalambre	1998	57
32	Gúdar-Javalambre	1999	80
32	Gúdar-Javalambre	2000	112
32	Gúdar-Javalambre	2001	67
33	Matarraña / Matarranya	 Antes de 1900	3015
33	Matarraña / Matarranya	1900 - 1920	359
33	Matarraña / Matarranya	1921 - 1940	242
33	Matarraña / Matarranya	1941 - 1950	164
33	Matarraña / Matarranya	1951 - 1960	222
33	Matarraña / Matarranya	1961 - 1970	295
33	Matarraña / Matarranya	1971 - 1980	514
33	Matarraña / Matarranya	1981 - 1990	556
33	Matarraña / Matarranya	1991	32
33	Matarraña / Matarranya	1992	34
33	Matarraña / Matarranya	1993	33
33	Matarraña / Matarranya	1994	19
33	Matarraña / Matarranya	1995	52
33	Matarraña / Matarranya	1996	33
33	Matarraña / Matarranya	1997	21
33	Matarraña / Matarranya	1998	40
33	Matarraña / Matarranya	1999	46
33	Matarraña / Matarranya	2000	29
33	Matarraña / Matarranya	2001	23
