Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22181	Piracés	Liquidaciones	Consolidada	335854,36	3750	98939,86	0	199186,39	4170,43	29807,68
2010	22182	Plan	Liquidaciones	Consolidada	450615,33	10226,02	169413,55	0	11578,35	17822,36	241575,05
2010	22184	Poleñino	Liquidaciones	Consolidada	371894,65	7306,99	169157,67	0	63256,32	12000	120173,67
2010	22186	Pozán de Vero	Liquidaciones	Consolidada	474052,14	5357,3	0	0	68235,22	326136,57	74323,05
2010	22187	Puebla de Castro (La)	Liquidaciones	Consolidada	659384,68	16770,31	326478,51	28036,11	51572,71	62831,2	173695,84
2010	22188	Puente de Montañana	Liquidaciones	Consolidada	428972,49	0	112864,77	5123,52	0	130410,97	180573,23
2010	22189	Puértolas	Liquidaciones	Consolidada	950687,05	527083,42	199526,87	2265,13	11379,4	73700	136732,23
2010	22190	Pueyo de Araguás (El)	Liquidaciones	Consolidada	405995,5	0	0	0	304352,47	0	101643,03
2010	22193	Pueyo de Santa Cruz	Liquidaciones	Consolidada	275056,2	11846,2	143586,04	830,07	34534,12	540	83719,77
2010	22195	Quicena	Liquidaciones	Consolidada	339823,51	19780,43	79413,86	13630,24	13604,63	138968,61	74425,74
2010	22197	Robres	Liquidaciones	Consolidada	1240775,1	12066,66	74066,12	23251,9	11998,41	890379,64	229012,37
2010	22199	Sabiñánigo	Liquidaciones	Consolidada	11251945	568469,76	4204606,13	997702,99	3131906,39	577454,98	1771804,75
2010	22200	Sahún	Liquidaciones	Consolidada	594484,56	26322,45	267296,79	10593,15	76388,52	661,2	213222,45
2010	22201	Salas Altas	Liquidaciones	Consolidada	571902,26	0	137984,15	0	11601,94	24471,15	397845,02
2010	22202	Salas Bajas	Liquidaciones	Consolidada	513402,39	2238,68	103612,8	0	9256,68	42894,23	355400
2010	22203	Salillas	Liquidaciones	Consolidada	167248,04	4304,87	74570,61	0	21925,51	7433,88	59013,17
2010	22204	Sallent de Gállego	Liquidaciones	Consolidada	3291357,77	84687,79	0	0	0	654245,93	2552424,05
2010	22205	San Esteban de Litera	Liquidaciones	Consolidada	824980,93	15795,68	246903,25	0	343363,63	11287,84	207630,53
2010	22206	Sangarrén	Liquidaciones	Consolidada	225066,99	12589,77	0	14708,95	113373,26	1684,19	82710,82
2010	22207	San Juan de Plan	Liquidaciones	Consolidada	321857,21	8846,09	220919,37	0	17919,19	0	74172,56
2010	22208	Santa Cilia	Liquidaciones	Consolidada	433156,58	53436,67	35324,02	27488,41	8943,85	171923,29	136040,34
2010	22209	Santa Cruz de la Serós	Liquidaciones	Consolidada	146289,16	11821,56	12317,51	6965,99	7990,55	15459,01	91734,54
2010	22212	Santaliestra y San Quílez	Liquidaciones	Consolidada	229773,93	31232,92	71662,45	0	32841,18	13154,35	80883,03
2010	22213	Sariñena	Liquidaciones	Consolidada	7245468	336037,29	1469201,33	1142876,64	1477946,58	869398,6	1950007,56
