Nº de habitaciones de la vivienda	Municipio codigo	Provincia codigo	Municipio nombre	Nº habitaciones
2 habitaciones	22254	22	Zaidín	8,7126847161
2 habitaciones	22901	22	Valle de Hecho	5,136858312
2 habitaciones	22902	22	Puente la Reina de Jaca	6,0434883344
2 habitaciones	22903	22	San Miguel del Cinca	2,523612349
2 habitaciones	22904	22	Sotonera (La)	19,2731482953
2 habitaciones	22905	22	Lupiñén-Ortilla	2,356325762
2 habitaciones	22907	22	Aínsa-Sobrarbe	67,4674724719
2 habitaciones	22909	22	Vencillón	1,6780931216
2 habitaciones	44001	44	Ababuj	3,5670653861
2 habitaciones	44002	44	Abejuela	1,2720378035
2 habitaciones	44008	44	Albalate del Arzobispo	11,8576557942
2 habitaciones	44009	44	Albarracín	7,7976001081
2 habitaciones	44010	44	Albentosa	6,3884587287
2 habitaciones	44012	44	Alcalá de la Selva	4,0951006841
2 habitaciones	44013	44	Alcañiz	164,6587939922
2 habitaciones	44014	44	Alcorisa	12,9748266398
2 habitaciones	44016	44	Alfambra	5,9473799566
2 habitaciones	44017	44	Aliaga	4,8533874014
2 habitaciones	44021	44	Allepuz	1,1699736538
2 habitaciones	44025	44	Andorra	9,1619415692
2 habitaciones	44027	44	Arens de Lledó	1,9813955283
2 habitaciones	44029	44	Ariño	4,9364291775
2 habitaciones	44031	44	Azaila	3,1707189754
2 habitaciones	44037	44	Beceite	3,4211349919
2 habitaciones	44047	44	Burbáguena	3,5577510707
2 habitaciones	44048	44	Cabra de Mora	1,0505726113
2 habitaciones	44049	44	Calaceite	16,9280230361
2 habitaciones	44050	44	Calamocha	9,6832340418
2 habitaciones	44055	44	Camarillas	2,1167509517
2 habitaciones	44056	44	Caminreal	5,0930737104
2 habitaciones	44059	44	Cantavieja	8,8261306835
2 habitaciones	44060	44	Cañada de Benatanduz	4,3862233799
2 habitaciones	44064	44	Cascante del Río	0,8709249788
2 habitaciones	44066	44	Castel de Cabra	1,2298604601
2 habitaciones	44068	44	Castelserás	5,2686610233
2 habitaciones	44071	44	Castellote	3,5445380899
2 habitaciones	44074	44	Cedrillas	2,8565699658
2 habitaciones	44076	44	Cella	29,4977903363
2 habitaciones	44077	44	Cerollera (La)	1,3100336422
2 habitaciones	44086	44	Cretas	12,7781199921
2 habitaciones	44087	44	Crivillén	1,0114024418
2 habitaciones	44089	44	Cubla	1,2428369193
2 habitaciones	44092	44	Cuervo (El)	1,6605678245
2 habitaciones	44093	44	Cuevas de Almudén	3,8278193009
2 habitaciones	44094	44	Cuevas Labradas	1,0083569134
2 habitaciones	44096	44	Ejulve	0,8576947538
2 habitaciones	44100	44	Estercuel	1,9592422226
2 habitaciones	44103	44	Formiche Alto	1,6844510911
2 habitaciones	44106	44	Fortanete	14,4171523208
2 habitaciones	44107	44	Foz-Calanda	1,9442500817
2 habitaciones	44108	44	Fresneda (La)	11,7525959143
2 habitaciones	44112	44	Fuentes Claras	2,2797880476
2 habitaciones	44113	44	Fuentes de Rubielos	2,0944841915
2 habitaciones	44114	44	Fuentespalda	4,3607674073
2 habitaciones	44115	44	Galve	1,6995871362
2 habitaciones	44117	44	Gea de Albarracín	3,609544486
2 habitaciones	44120	44	Guadalaviar	3,3327433349
2 habitaciones	44125	44	Huesa del Común	2,3347714998
2 habitaciones	44126	44	Iglesuela del Cid (La)	4,4442202148
2 habitaciones	44132	44	Lagueruela	1,7320427539
2 habitaciones	44135	44	Libros	1,5819496606
2 habitaciones	44137	44	Linares de Mora	5,0756420233
2 habitaciones	44143	44	Manzanera	11,8555748087
2 habitaciones	44144	44	Martín del Río	2,135517976
2 habitaciones	44145	44	Mas de las Matas	6,6803295487
2 habitaciones	44147	44	Mazaleón	1,781694358
2 habitaciones	44149	44	Mirambel	1,7769729325
2 habitaciones	44151	44	Molinos	5,5772476114
2 habitaciones	44153	44	Monreal del Campo	6,1887397527
2 habitaciones	44156	44	Monteagudo del Castillo	1,7281458434
2 habitaciones	44158	44	Mora de Rubielos	39,7584229202
2 habitaciones	44159	44	Moscardón	1,6333698246
2 habitaciones	44160	44	Mosqueruela	3,8621791282
2 habitaciones	44161	44	Muniesa	3,8495087464
2 habitaciones	44163	44	Noguera de Albarracín	4,1317716893
2 habitaciones	44165	44	Nogueruelas	1,580033317
2 habitaciones	44169	44	Ojos Negros	7,9229760661
2 habitaciones	44171	44	Olba	5,9049316635
2 habitaciones	44172	44	Oliete	7,0224112979
2 habitaciones	44174	44	Orihuela del Tremedal	3,6093716745
2 habitaciones	44178	44	Parras de Castellote (Las)	1,6698505138
2 habitaciones	44179	44	Peñarroya de Tastavins	9,1629053597
2 habitaciones	44182	44	Perales del Alfambra	4,5694843165
2 habitaciones	44183	44	Pitarque	0,9208871397
2 habitaciones	44187	44	Portellada (La)	2,2864332026
2 habitaciones	44189	44	Pozondón	5,3112187193
2 habitaciones	44191	44	Puebla de Híjar (La)	6,3199734332
2 habitaciones	44192	44	Puebla de Valverde (La)	9,1232921195
2 habitaciones	44193	44	Puertomingalvo	4,2496496494
2 habitaciones	44198	44	Royuela	1,4388337858
2 habitaciones	44199	44	Rubiales	0,6090044453
2 habitaciones	44201	44	Rubielos de Mora	7,6098082016
2 habitaciones	44204	44	Saldón	1,6065552439
2 habitaciones	44205	44	Samper de Calanda	3,3048242907
2 habitaciones	44206	44	San Agustín	0,8907938093
2 habitaciones	44209	44	Santa Eulalia	3,2460618969
2 habitaciones	44210	44	Sarrión	4,9165730682
2 habitaciones	44215	44	Terriente	1,7434482972
2 habitaciones	44216	44	Teruel	308,080893982
2 habitaciones	44219	44	Tornos	2,2662033442
2 habitaciones	44223	44	Torre de Arcas	2,3665455637
2 habitaciones	44225	44	Torre del Compte	1,053166568
2 habitaciones	44229	44	Torres de Albarracín	1,7033539566
2 habitaciones	44230	44	Torrevelilla	3,7582661699
2 habitaciones	44231	44	Torrijas	2,0673193382
2 habitaciones	44232	44	Torrijo del Campo	1,3391862454
2 habitaciones	44234	44	Tramacastiel	6,0273642152
2 habitaciones	44238	44	Utrillas	17,4846905767
2 habitaciones	44240	44	Valbona	1,7543885759
2 habitaciones	44243	44	Valdecuenca	0,9036698676
2 habitaciones	44245	44	Valdeltormo	5,1786995121
2 habitaciones	44246	44	Valderrobres	13,85440547
2 habitaciones	44247	44	Valjunquera	2,01164144
2 habitaciones	44251	44	Villafranca del Campo	2,4380557173
2 habitaciones	44252	44	Villahermosa del Campo	2,2243218415
2 habitaciones	44260	44	Villarluengo	1,6439714468
2 habitaciones	44263	44	Villastar	4,7297239826
2 habitaciones	44264	44	Villel	5,6357290883
2 habitaciones	50002	50	Acered	1,7532065031
2 habitaciones	50004	50	Aguarón	10,5563663536
2 habitaciones	50008	50	Alagón	28,4918620958
2 habitaciones	50014	50	Alcalá de Moncayo	2,3930249958
2 habitaciones	50015	50	Alconchel de Ariza	2,1429026988
2 habitaciones	50016	50	Aldehuela de Liestos	2,9153850538
2 habitaciones	50017	50	Alfajarín	6,4560010632
2 habitaciones	50018	50	Alfamén	39,5594273343
2 habitaciones	50019	50	Alforque	1,539243377
2 habitaciones	50023	50	Almonacid de la Cuba	1,4931564481
2 habitaciones	50025	50	Almunia de Doña Godina (La)	96,1812588763
2 habitaciones	50026	50	Alpartir	3,3733289837
2 habitaciones	50027	50	Ambel	3,3659692466
2 habitaciones	50028	50	Anento	1,5003998348
2 habitaciones	50032	50	Arándiga	3,1865491625
2 habitaciones	50034	50	Ariza	1,8900323209
2 habitaciones	50038	50	Ateca	16,6881116432
2 habitaciones	50041	50	Bagüés	1,5463398866
2 habitaciones	50043	50	Bárboles	1,3068165725
2 habitaciones	50051	50	Biota	6,0612086086
2 habitaciones	50053	50	Boquiñeni	2,9534989217
2 habitaciones	50055	50	Borja	49,5484604297
2 habitaciones	50057	50	Brea de Aragón	4,0951542355
2 habitaciones	50058	50	Bubierca	1,6325190711
2 habitaciones	50059	50	Bujaraloz	7,2935835857
2 habitaciones	50060	50	Bulbuente	3,3143704351
2 habitaciones	50062	50	Burgo de Ebro (El)	16,185400954
2 habitaciones	50064	50	Cabañas de Ebro	1,8459623997
2 habitaciones	50066	50	Cadrete	55,8860160851
2 habitaciones	50067	50	Calatayud	50,8242721764
2 habitaciones	50068	50	Calatorao	68,113597749
2 habitaciones	50070	50	Calmarza	3,3932197111
2 habitaciones	50071	50	Campillo de Aragón	8,0985214468
2 habitaciones	50072	50	Carenas	2,9171225854
2 habitaciones	50073	50	Cariñena	57,5939905311
2 habitaciones	50074	50	Caspe	17,4053883906
2 habitaciones	50077	50	Castejón de Valdejasa	0,7856985002
2 habitaciones	50081	50	Cetina	4,9611038632
2 habitaciones	50082	50	Cimballa	1,9815915134
2 habitaciones	50085	50	Codo	1,9296855696
2 habitaciones	50089	50	Cuarte de Huerva	158,2745190559
2 habitaciones	50092	50	Chiprana	2,078658711
2 habitaciones	50094	50	Daroca	6,660245993
2 habitaciones	50095	50	Ejea de los Caballeros	70,481629959
2 habitaciones	50096	50	Embid de Ariza	1,3185115365
2 habitaciones	50098	50	Encinacorba	1,1669075084
2 habitaciones	50099	50	Épila	19,0323711977
2 habitaciones	50100	50	Erla	4,3823952302
2 habitaciones	50101	50	Escatrón	4,1584202235
2 habitaciones	50102	50	Fabara	8,5264850958
2 habitaciones	50105	50	Fayón	1,6343673697
2 habitaciones	50106	50	Fayos (Los)	1,1149740068
2 habitaciones	50109	50	Frago (El)	0,8721519295
2 habitaciones	50110	50	Frasno (El)	6,612565503
2 habitaciones	50111	50	Fréscano	2,6435421242
2 habitaciones	50113	50	Fuendejalón	2,8101492726
2 habitaciones	50115	50	Fuentes de Ebro	34,6328592062
2 habitaciones	50118	50	Gallur	10,943084001
2 habitaciones	50120	50	Godojos	1,9017899945
2 habitaciones	50121	50	Gotor	2,0582071071
2 habitaciones	50122	50	Grisel	3,9131471634
2 habitaciones	50126	50	Illueca	9,3135328374
2 habitaciones	50129	50	Jaraba	4,1332805987
2 habitaciones	50131	50	Jaulín	1,4155848474
2 habitaciones	50133	50	Lagata	2,4392430996
2 habitaciones	50134	50	Langa del Castillo	3,502095897
2 habitaciones	50139	50	Letux	1,6053494789
2 habitaciones	50140	50	Litago	3,5159170082
2 habitaciones	50141	50	Lituénigo	3,6622224306
2 habitaciones	50150	50	Lumpiaque	2,037409678
2 habitaciones	50152	50	Maella	21,8739700187
2 habitaciones	50153	50	Magallón	5,2493352048
2 habitaciones	50156	50	Maleján	1,837914216
2 habitaciones	50159	50	Maluenda	3,4099154717
2 habitaciones	50160	50	Mallén	14,240237731
2 habitaciones	50162	50	Mara	1,4776074121
2 habitaciones	50163	50	María de Huerva	26,6591563741
2 habitaciones	50167	50	Mezalocha	1,8549478058
2 habitaciones	50169	50	Miedes de Aragón	3,0804085506
2 habitaciones	50170	50	Monegrillo	3,5203100404
2 habitaciones	50173	50	Monterde	4,0028113103
2 habitaciones	50174	50	Montón	1,5683770606
2 habitaciones	50175	50	Morata de Jalón	13,9739935187
2 habitaciones	50177	50	Morés	1,0821416904
2 habitaciones	50180	50	Mozota	2,7765103078
2 habitaciones	50181	50	Muel	4,9074280652
2 habitaciones	50182	50	Muela (La)	34,9845721016
2 habitaciones	50183	50	Munébrega	2,7701830394
2 habitaciones	50184	50	Murero	4,4693132892
2 habitaciones	50185	50	Murillo de Gállego	5,8068955308
2 habitaciones	50189	50	Nonaspe	16,4856997039
2 habitaciones	50191	50	Novillas	2,2586247043
2 habitaciones	50197	50	Orés	1,4945008516
2 habitaciones	50199	50	Osera de Ebro	2,7832103635
2 habitaciones	50200	50	Paniza	1,8285297574
2 habitaciones	50201	50	Paracuellos de Jiloca	7,2516261192
2 habitaciones	50202	50	Paracuellos de la Ribera	3,8948813919
2 habitaciones	50204	50	Pedrola	20,243568303
2 habitaciones	50208	50	Pina de Ebro	8,3677760268
2 habitaciones	50209	50	Pinseque	7,1075605247
2 habitaciones	50210	50	Pintanos (Los)	5,4168218057
2 habitaciones	50211	50	Plasencia de Jalón	3,3705400948
2 habitaciones	50217	50	Pradilla de Ebro	2,4495731957
2 habitaciones	50219	50	Puebla de Alfindén (La)	35,3017967523
2 habitaciones	50222	50	Quinto	2,2689788328
2 habitaciones	50225	50	Ricla	15,490866342
2 habitaciones	50227	50	Romanos	1,7599360572
2 habitaciones	50232	50	Salvatierra de Esca	4,4328154427
2 habitaciones	50234	50	San Martín de la Virgen de Moncayo	1,4775282392
2 habitaciones	50235	50	San Mateo de Gállego	28,9808946362
2 habitaciones	50237	50	Santa Cruz de Moncayo	2,2547471969
2 habitaciones	50239	50	Santed	4,4683719051
2 habitaciones	50241	50	Saviñán	3,7399752141
2 habitaciones	50242	50	Sediles	1,1517809049
2 habitaciones	50244	50	Sierra de Luna	1,2494356043
2 habitaciones	50247	50	Sobradiel	2,7483081133
2 habitaciones	50248	50	Sos del Rey Católico	7,871358795
2 habitaciones	50249	50	Tabuenca	2,5917601798
2 habitaciones	50251	50	Tarazona	72,1519546919
2 habitaciones	50252	50	Tauste	46,832502186
2 habitaciones	50254	50	Tierga	1,0130571849
2 habitaciones	50257	50	Torralba de Ribota	3,2024285319
2 habitaciones	50258	50	Torralbilla	3,0860849653
2 habitaciones	50260	50	Torrelapaja	1,4164757398
2 habitaciones	50261	50	Torrellas	1,4265399033
2 habitaciones	50263	50	Torrijo de la Cañada	2,0018432054
2 habitaciones	50264	50	Tosos	7,3157044898
2 habitaciones	50266	50	Trasobares	1,4221193593
2 habitaciones	50267	50	Uncastillo	3,2763839556
2 habitaciones	50271	50	Used	1,5093895891
2 habitaciones	50272	50	Utebo	50,8520679597
2 habitaciones	50281	50	Vierlas	1,8025315245
2 habitaciones	50284	50	Villafeliche	1,4549515688
2 habitaciones	50285	50	Villafranca de Ebro	6,0310470766
2 habitaciones	50288	50	Villanueva de Gállego	15,745673382
2 habitaciones	50290	50	Villanueva de Huerva	10,888950523
2 habitaciones	50297	50	Zaragoza	5613,7001606654
2 habitaciones	50298	50	Zuera	112,6650030726
2 habitaciones	50901	50	Biel	4,3501496473
3 habitaciones	22001	22	Abiego	4,1313838107
3 habitaciones	22002	22	Abizanda	5,2866768749
3 habitaciones	22003	22	Adahuesca	1,737158684
3 habitaciones	22004	22	Agüero	4,6423967889
3 habitaciones	22006	22	Aísa	8,5633155019
3 habitaciones	22007	22	Albalate de Cinca	20,384570225
3 habitaciones	22008	22	Albalatillo	3,441947608
3 habitaciones	22009	22	Albelda	16,6791668433
3 habitaciones	22012	22	Albero Bajo	2,5333302369
3 habitaciones	22013	22	Alberuela de Tubo	3,4780957074
3 habitaciones	22014	22	Alcalá de Gurrea	6,7659612396
3 habitaciones	22015	22	Alcalá del Obispo	2,7319898922
3 habitaciones	22016	22	Alcampell	7,372515615
3 habitaciones	22017	22	Alcolea de Cinca	26,5377810462
3 habitaciones	22018	22	Alcubierre	9,1364208594
3 habitaciones	22019	22	Alerre	1,7643484604
3 habitaciones	22020	22	Alfántega	5,9609988838
3 habitaciones	22021	22	Almudévar	41,8015202965
3 habitaciones	22022	22	Almunia de San Juan	16,508432423
3 habitaciones	22023	22	Almuniente	5,0567850578
3 habitaciones	22024	22	Alquézar	17,882537088
3 habitaciones	22025	22	Altorricón	36,4228663879
3 habitaciones	22027	22	Angüés	8,5617596182
3 habitaciones	22028	22	Ansó	23,246247187
3 habitaciones	22032	22	Aragüés del Puerto	3,9830627353
3 habitaciones	22035	22	Arén	11,6519038023
3 habitaciones	22036	22	Argavieso	1,794848877
3 habitaciones	22037	22	Arguis	6,970559812
3 habitaciones	22039	22	Ayerbe	15,7567343783
3 habitaciones	22040	22	Azanuy-Alins	3,6838048133
3 habitaciones	22041	22	Azara	0,8660127051
3 habitaciones	22042	22	Azlor	3,5291477586
3 habitaciones	22043	22	Baells	3,6954105955
3 habitaciones	22044	22	Bailo	4,2724977156
3 habitaciones	22045	22	Baldellou	1,2710157027
3 habitaciones	22046	22	Ballobar	20,2025813295
3 habitaciones	22047	22	Banastás	7,225127024
3 habitaciones	22048	22	Barbastro	433,2033664474
3 habitaciones	22049	22	Barbués	1,1481288583
3 habitaciones	22051	22	Bárcabo	3,2576455702
3 habitaciones	22052	22	Belver de Cinca	41,373770815
3 habitaciones	22053	22	Benabarre	66,6880088857
3 habitaciones	22054	22	Benasque	172,0946155799
3 habitaciones	22055	22	Berbegal	9,9746595335
3 habitaciones	22057	22	Bielsa	24,6654922886
3 habitaciones	22058	22	Bierge	6,3148318478
3 habitaciones	22059	22	Biescas	78,8243153911
3 habitaciones	22060	22	Binaced	26,2002716507
3 habitaciones	22061	22	Binéfar	275,0404533384
