Municipio código	Municipio nombre	Superficie agrícola utilizada código	Superficie agrícola utilizada	Explotaciones
22003	Adahuesca	15	i) >=100 Ha de SAU	3
22003	Adahuesca	17	i) >=100 Ha de SAU	1
22004	Agüero	05	b) <2 Ha de SAU	3
22004	Agüero	06	c) >=2 a <5 Ha de SAU	4
22004	Agüero	07	c) >=2 a <5 Ha de SAU	1
22004	Agüero	08	c) >=2 a <5 Ha de SAU	3
22004	Agüero	09	d) >=5 a < 10 Ha de SAU	4
22004	Agüero	10	e) >=10 a <20 Ha de SAU	3
22004	Agüero	11	f) >=20 a < 30 Ha de SAU	1
22004	Agüero	12	g) >=30 a < 50 Ha de SAU	3
22004	Agüero	13	h) >=50 a < 100 Ha de SAU	1
22004	Agüero	14	h) >=50 a < 100 Ha de SAU	1
22004	Agüero	15	i) >=100 Ha de SAU	2
22006	Aísa	05	b) <2 Ha de SAU	2
22006	Aísa	08	c) >=2 a <5 Ha de SAU	1
22006	Aísa	09	d) >=5 a < 10 Ha de SAU	1
22006	Aísa	10	e) >=10 a <20 Ha de SAU	4
22006	Aísa	11	f) >=20 a < 30 Ha de SAU	2
22006	Aísa	12	g) >=30 a < 50 Ha de SAU	1
22006	Aísa	14	h) >=50 a < 100 Ha de SAU	3
22006	Aísa	15	i) >=100 Ha de SAU	1
22006	Aísa	16	i) >=100 Ha de SAU	2
22006	Aísa	19	i) >=100 Ha de SAU	1
22006	Aísa	20	i) >=100 Ha de SAU	1
22006	Aísa	21	i) >=100 Ha de SAU	1
22007	Albalate de Cinca	01	a) Sin SAU	6
22007	Albalate de Cinca	02	b) <2 Ha de SAU	1
22007	Albalate de Cinca	04	b) <2 Ha de SAU	1
22007	Albalate de Cinca	05	b) <2 Ha de SAU	14
22007	Albalate de Cinca	06	c) >=2 a <5 Ha de SAU	15
22007	Albalate de Cinca	07	c) >=2 a <5 Ha de SAU	10
22007	Albalate de Cinca	08	c) >=2 a <5 Ha de SAU	7
22007	Albalate de Cinca	09	d) >=5 a < 10 Ha de SAU	25
22007	Albalate de Cinca	10	e) >=10 a <20 Ha de SAU	32
22007	Albalate de Cinca	11	f) >=20 a < 30 Ha de SAU	11
22007	Albalate de Cinca	12	g) >=30 a < 50 Ha de SAU	21
22007	Albalate de Cinca	13	h) >=50 a < 100 Ha de SAU	5
22007	Albalate de Cinca	14	h) >=50 a < 100 Ha de SAU	1
22007	Albalate de Cinca	15	i) >=100 Ha de SAU	1
22007	Albalate de Cinca	16	i) >=100 Ha de SAU	1
22007	Albalate de Cinca	17	i) >=100 Ha de SAU	3
22008	Albalatillo	01	a) Sin SAU	3
22008	Albalatillo	10	e) >=10 a <20 Ha de SAU	3
22008	Albalatillo	12	g) >=30 a < 50 Ha de SAU	6
22008	Albalatillo	13	h) >=50 a < 100 Ha de SAU	1
22008	Albalatillo	14	h) >=50 a < 100 Ha de SAU	1
22008	Albalatillo	15	i) >=100 Ha de SAU	1
22008	Albalatillo	16	i) >=100 Ha de SAU	2
22009	Albelda	01	a) Sin SAU	2
22009	Albelda	02	b) <2 Ha de SAU	1
22009	Albelda	03	b) <2 Ha de SAU	1
22009	Albelda	04	b) <2 Ha de SAU	2
22009	Albelda	05	b) <2 Ha de SAU	22
22009	Albelda	06	c) >=2 a <5 Ha de SAU	21
22009	Albelda	07	c) >=2 a <5 Ha de SAU	14
22009	Albelda	08	c) >=2 a <5 Ha de SAU	17
22009	Albelda	09	d) >=5 a < 10 Ha de SAU	72
22009	Albelda	10	e) >=10 a <20 Ha de SAU	57
22009	Albelda	11	f) >=20 a < 30 Ha de SAU	23
22009	Albelda	12	g) >=30 a < 50 Ha de SAU	11
22009	Albelda	13	h) >=50 a < 100 Ha de SAU	7
22009	Albelda	14	h) >=50 a < 100 Ha de SAU	3
22009	Albelda	15	i) >=100 Ha de SAU	4
22009	Albelda	16	i) >=100 Ha de SAU	1
22009	Albelda	17	i) >=100 Ha de SAU	1
22011	Albero Alto	01	a) Sin SAU	2
22011	Albero Alto	09	d) >=5 a < 10 Ha de SAU	1
22011	Albero Alto	11	f) >=20 a < 30 Ha de SAU	1
22011	Albero Alto	12	g) >=30 a < 50 Ha de SAU	5
22011	Albero Alto	13	h) >=50 a < 100 Ha de SAU	5
22011	Albero Alto	14	h) >=50 a < 100 Ha de SAU	2
22011	Albero Alto	15	i) >=100 Ha de SAU	2
22011	Albero Alto	17	i) >=100 Ha de SAU	3
22012	Albero Bajo	06	c) >=2 a <5 Ha de SAU	1
22012	Albero Bajo	09	d) >=5 a < 10 Ha de SAU	1
22012	Albero Bajo	10	e) >=10 a <20 Ha de SAU	4
22012	Albero Bajo	11	f) >=20 a < 30 Ha de SAU	6
22012	Albero Bajo	12	g) >=30 a < 50 Ha de SAU	9
22012	Albero Bajo	13	h) >=50 a < 100 Ha de SAU	5
22012	Albero Bajo	14	h) >=50 a < 100 Ha de SAU	2
22012	Albero Bajo	15	i) >=100 Ha de SAU	4
22013	Alberuela de Tubo	05	b) <2 Ha de SAU	1
22013	Alberuela de Tubo	07	c) >=2 a <5 Ha de SAU	1
22013	Alberuela de Tubo	08	c) >=2 a <5 Ha de SAU	1
22013	Alberuela de Tubo	09	d) >=5 a < 10 Ha de SAU	2
22013	Alberuela de Tubo	10	e) >=10 a <20 Ha de SAU	6
22013	Alberuela de Tubo	11	f) >=20 a < 30 Ha de SAU	7
22013	Alberuela de Tubo	12	g) >=30 a < 50 Ha de SAU	6
22013	Alberuela de Tubo	13	h) >=50 a < 100 Ha de SAU	8
22013	Alberuela de Tubo	14	h) >=50 a < 100 Ha de SAU	3
22013	Alberuela de Tubo	15	i) >=100 Ha de SAU	4
22013	Alberuela de Tubo	16	i) >=100 Ha de SAU	1
22013	Alberuela de Tubo	17	i) >=100 Ha de SAU	1
22014	Alcalá de Gurrea	05	b) <2 Ha de SAU	1
22014	Alcalá de Gurrea	07	c) >=2 a <5 Ha de SAU	1
22014	Alcalá de Gurrea	08	c) >=2 a <5 Ha de SAU	2
22014	Alcalá de Gurrea	09	d) >=5 a < 10 Ha de SAU	5
22014	Alcalá de Gurrea	10	e) >=10 a <20 Ha de SAU	2
22014	Alcalá de Gurrea	11	f) >=20 a < 30 Ha de SAU	3
22014	Alcalá de Gurrea	12	g) >=30 a < 50 Ha de SAU	2
22014	Alcalá de Gurrea	13	h) >=50 a < 100 Ha de SAU	2
22014	Alcalá de Gurrea	14	h) >=50 a < 100 Ha de SAU	9
22014	Alcalá de Gurrea	15	i) >=100 Ha de SAU	6
22014	Alcalá de Gurrea	16	i) >=100 Ha de SAU	2
22014	Alcalá de Gurrea	17	i) >=100 Ha de SAU	3
22014	Alcalá de Gurrea	18	i) >=100 Ha de SAU	5
22014	Alcalá de Gurrea	19	i) >=100 Ha de SAU	1
22015	Alcalá del Obispo	01	a) Sin SAU	6
22015	Alcalá del Obispo	03	b) <2 Ha de SAU	1
22015	Alcalá del Obispo	05	b) <2 Ha de SAU	3
22015	Alcalá del Obispo	07	c) >=2 a <5 Ha de SAU	2
22015	Alcalá del Obispo	08	c) >=2 a <5 Ha de SAU	4
22015	Alcalá del Obispo	09	d) >=5 a < 10 Ha de SAU	11
22015	Alcalá del Obispo	10	e) >=10 a <20 Ha de SAU	14
22015	Alcalá del Obispo	11	f) >=20 a < 30 Ha de SAU	4
22015	Alcalá del Obispo	12	g) >=30 a < 50 Ha de SAU	12
22015	Alcalá del Obispo	13	h) >=50 a < 100 Ha de SAU	3
22015	Alcalá del Obispo	14	h) >=50 a < 100 Ha de SAU	7
22015	Alcalá del Obispo	15	i) >=100 Ha de SAU	7
22015	Alcalá del Obispo	16	i) >=100 Ha de SAU	2
22015	Alcalá del Obispo	17	i) >=100 Ha de SAU	1
22015	Alcalá del Obispo	18	i) >=100 Ha de SAU	2
22015	Alcalá del Obispo	19	i) >=100 Ha de SAU	1
22016	Alcampell	01	a) Sin SAU	6
22016	Alcampell	05	b) <2 Ha de SAU	16
22016	Alcampell	06	c) >=2 a <5 Ha de SAU	13
22016	Alcampell	07	c) >=2 a <5 Ha de SAU	10
22016	Alcampell	08	c) >=2 a <5 Ha de SAU	8
22016	Alcampell	09	d) >=5 a < 10 Ha de SAU	33
22016	Alcampell	10	e) >=10 a <20 Ha de SAU	38
22016	Alcampell	11	f) >=20 a < 30 Ha de SAU	27
22016	Alcampell	12	g) >=30 a < 50 Ha de SAU	27
22016	Alcampell	13	h) >=50 a < 100 Ha de SAU	8
22016	Alcampell	14	h) >=50 a < 100 Ha de SAU	6
22016	Alcampell	16	i) >=100 Ha de SAU	3
22017	Alcolea de Cinca	01	a) Sin SAU	8
22017	Alcolea de Cinca	02	b) <2 Ha de SAU	1
22017	Alcolea de Cinca	03	b) <2 Ha de SAU	2
22017	Alcolea de Cinca	04	b) <2 Ha de SAU	2
22017	Alcolea de Cinca	05	b) <2 Ha de SAU	3
22017	Alcolea de Cinca	06	c) >=2 a <5 Ha de SAU	3
22017	Alcolea de Cinca	07	c) >=2 a <5 Ha de SAU	12
22017	Alcolea de Cinca	08	c) >=2 a <5 Ha de SAU	5
22017	Alcolea de Cinca	09	d) >=5 a < 10 Ha de SAU	16
22017	Alcolea de Cinca	10	e) >=10 a <20 Ha de SAU	28
22017	Alcolea de Cinca	11	f) >=20 a < 30 Ha de SAU	27
22017	Alcolea de Cinca	12	g) >=30 a < 50 Ha de SAU	21
22017	Alcolea de Cinca	13	h) >=50 a < 100 Ha de SAU	19
22017	Alcolea de Cinca	14	h) >=50 a < 100 Ha de SAU	8
22017	Alcolea de Cinca	15	i) >=100 Ha de SAU	7
22017	Alcolea de Cinca	16	i) >=100 Ha de SAU	1
22017	Alcolea de Cinca	17	i) >=100 Ha de SAU	1
22018	Alcubierre	01	a) Sin SAU	7
22018	Alcubierre	05	b) <2 Ha de SAU	2
22018	Alcubierre	07	c) >=2 a <5 Ha de SAU	2
22018	Alcubierre	08	c) >=2 a <5 Ha de SAU	2
22018	Alcubierre	09	d) >=5 a < 10 Ha de SAU	5
22018	Alcubierre	10	e) >=10 a <20 Ha de SAU	14
22018	Alcubierre	11	f) >=20 a < 30 Ha de SAU	4
22018	Alcubierre	12	g) >=30 a < 50 Ha de SAU	10
22018	Alcubierre	13	h) >=50 a < 100 Ha de SAU	10
22018	Alcubierre	14	h) >=50 a < 100 Ha de SAU	11
22018	Alcubierre	15	i) >=100 Ha de SAU	6
22018	Alcubierre	16	i) >=100 Ha de SAU	2
22018	Alcubierre	17	i) >=100 Ha de SAU	3
22018	Alcubierre	19	i) >=100 Ha de SAU	1
22019	Alerre	05	b) <2 Ha de SAU	1
22019	Alerre	09	d) >=5 a < 10 Ha de SAU	2
22019	Alerre	10	e) >=10 a <20 Ha de SAU	3
22019	Alerre	11	f) >=20 a < 30 Ha de SAU	1
22019	Alerre	13	h) >=50 a < 100 Ha de SAU	4
22019	Alerre	14	h) >=50 a < 100 Ha de SAU	1
22019	Alerre	15	i) >=100 Ha de SAU	2
22020	Alfántega	01	a) Sin SAU	4
22020	Alfántega	05	b) <2 Ha de SAU	4
22020	Alfántega	06	c) >=2 a <5 Ha de SAU	1
22020	Alfántega	09	d) >=5 a < 10 Ha de SAU	4
22020	Alfántega	10	e) >=10 a <20 Ha de SAU	2
22020	Alfántega	11	f) >=20 a < 30 Ha de SAU	2
22020	Alfántega	12	g) >=30 a < 50 Ha de SAU	2
22020	Alfántega	13	h) >=50 a < 100 Ha de SAU	2
22020	Alfántega	14	h) >=50 a < 100 Ha de SAU	1
22020	Alfántega	16	i) >=100 Ha de SAU	1
22021	Almudévar	01	a) Sin SAU	5
22021	Almudévar	02	b) <2 Ha de SAU	3
22021	Almudévar	03	b) <2 Ha de SAU	2
22021	Almudévar	04	b) <2 Ha de SAU	2
22021	Almudévar	05	b) <2 Ha de SAU	38
22021	Almudévar	06	c) >=2 a <5 Ha de SAU	16
22021	Almudévar	07	c) >=2 a <5 Ha de SAU	13
22021	Almudévar	08	c) >=2 a <5 Ha de SAU	11
22021	Almudévar	09	d) >=5 a < 10 Ha de SAU	50
22021	Almudévar	10	e) >=10 a <20 Ha de SAU	49
22021	Almudévar	11	f) >=20 a < 30 Ha de SAU	25
22021	Almudévar	12	g) >=30 a < 50 Ha de SAU	31
22021	Almudévar	13	h) >=50 a < 100 Ha de SAU	19
22021	Almudévar	14	h) >=50 a < 100 Ha de SAU	19
22021	Almudévar	15	i) >=100 Ha de SAU	20
22021	Almudévar	16	i) >=100 Ha de SAU	6
22021	Almudévar	17	i) >=100 Ha de SAU	16
22021	Almudévar	18	i) >=100 Ha de SAU	4
22021	Almudévar	19	i) >=100 Ha de SAU	2
22022	Almunia de San Juan	03	b) <2 Ha de SAU	1
22022	Almunia de San Juan	05	b) <2 Ha de SAU	13
22022	Almunia de San Juan	06	c) >=2 a <5 Ha de SAU	3
22022	Almunia de San Juan	07	c) >=2 a <5 Ha de SAU	2
22022	Almunia de San Juan	08	c) >=2 a <5 Ha de SAU	5
22022	Almunia de San Juan	09	d) >=5 a < 10 Ha de SAU	9
22022	Almunia de San Juan	10	e) >=10 a <20 Ha de SAU	13
22022	Almunia de San Juan	11	f) >=20 a < 30 Ha de SAU	3
22022	Almunia de San Juan	12	g) >=30 a < 50 Ha de SAU	8
22022	Almunia de San Juan	13	h) >=50 a < 100 Ha de SAU	4
22022	Almunia de San Juan	14	h) >=50 a < 100 Ha de SAU	7
22022	Almunia de San Juan	15	i) >=100 Ha de SAU	7
22022	Almunia de San Juan	16	i) >=100 Ha de SAU	1
22022	Almunia de San Juan	17	i) >=100 Ha de SAU	1
22023	Almuniente	01	a) Sin SAU	4
22023	Almuniente	02	b) <2 Ha de SAU	1
22023	Almuniente	03	b) <2 Ha de SAU	1
22023	Almuniente	05	b) <2 Ha de SAU	1
22023	Almuniente	06	c) >=2 a <5 Ha de SAU	2
22023	Almuniente	07	c) >=2 a <5 Ha de SAU	2
22023	Almuniente	08	c) >=2 a <5 Ha de SAU	1
22023	Almuniente	09	d) >=5 a < 10 Ha de SAU	27
22023	Almuniente	10	e) >=10 a <20 Ha de SAU	34
22023	Almuniente	11	f) >=20 a < 30 Ha de SAU	9
22023	Almuniente	12	g) >=30 a < 50 Ha de SAU	13
22023	Almuniente	13	h) >=50 a < 100 Ha de SAU	4
22023	Almuniente	14	h) >=50 a < 100 Ha de SAU	2
22023	Almuniente	15	i) >=100 Ha de SAU	4
22023	Almuniente	17	i) >=100 Ha de SAU	1
22023	Almuniente	19	i) >=100 Ha de SAU	1
22024	Alquézar	01	a) Sin SAU	1
22024	Alquézar	05	b) <2 Ha de SAU	8
22024	Alquézar	06	c) >=2 a <5 Ha de SAU	6
22024	Alquézar	07	c) >=2 a <5 Ha de SAU	7
22024	Alquézar	08	c) >=2 a <5 Ha de SAU	6
22024	Alquézar	09	d) >=5 a < 10 Ha de SAU	10
22024	Alquézar	10	e) >=10 a <20 Ha de SAU	7
22024	Alquézar	11	f) >=20 a < 30 Ha de SAU	1
22024	Alquézar	12	g) >=30 a < 50 Ha de SAU	7
22024	Alquézar	15	i) >=100 Ha de SAU	1
22024	Alquézar	16	i) >=100 Ha de SAU	1
22025	Altorricón	01	a) Sin SAU	14
22025	Altorricón	02	b) <2 Ha de SAU	2
22025	Altorricón	03	b) <2 Ha de SAU	4
22025	Altorricón	04	b) <2 Ha de SAU	2
22025	Altorricón	05	b) <2 Ha de SAU	12
22025	Altorricón	06	c) >=2 a <5 Ha de SAU	10
22025	Altorricón	07	c) >=2 a <5 Ha de SAU	11
22025	Altorricón	08	c) >=2 a <5 Ha de SAU	14
22025	Altorricón	09	d) >=5 a < 10 Ha de SAU	36
22025	Altorricón	10	e) >=10 a <20 Ha de SAU	28
22025	Altorricón	11	f) >=20 a < 30 Ha de SAU	14
22025	Altorricón	12	g) >=30 a < 50 Ha de SAU	21
22025	Altorricón	13	h) >=50 a < 100 Ha de SAU	8
22025	Altorricón	14	h) >=50 a < 100 Ha de SAU	1
22025	Altorricón	16	i) >=100 Ha de SAU	3
22027	Angüés	05	b) <2 Ha de SAU	7
22027	Angüés	06	c) >=2 a <5 Ha de SAU	3
22027	Angüés	07	c) >=2 a <5 Ha de SAU	2
22027	Angüés	08	c) >=2 a <5 Ha de SAU	2
22027	Angüés	09	d) >=5 a < 10 Ha de SAU	7
22027	Angüés	10	e) >=10 a <20 Ha de SAU	11
22027	Angüés	11	f) >=20 a < 30 Ha de SAU	9
22027	Angüés	12	g) >=30 a < 50 Ha de SAU	7
22027	Angüés	13	h) >=50 a < 100 Ha de SAU	1
22027	Angüés	14	h) >=50 a < 100 Ha de SAU	5
22027	Angüés	15	i) >=100 Ha de SAU	4
22027	Angüés	16	i) >=100 Ha de SAU	3
22027	Angüés	17	i) >=100 Ha de SAU	2
22027	Angüés	18	i) >=100 Ha de SAU	2
22028	Ansó	01	a) Sin SAU	3
22028	Ansó	02	b) <2 Ha de SAU	2
22028	Ansó	04	b) <2 Ha de SAU	1
22028	Ansó	05	b) <2 Ha de SAU	4
22028	Ansó	06	c) >=2 a <5 Ha de SAU	2
22028	Ansó	07	c) >=2 a <5 Ha de SAU	1
22028	Ansó	08	c) >=2 a <5 Ha de SAU	1
22028	Ansó	09	d) >=5 a < 10 Ha de SAU	4
22028	Ansó	11	f) >=20 a < 30 Ha de SAU	1
22028	Ansó	12	g) >=30 a < 50 Ha de SAU	1
22028	Ansó	13	h) >=50 a < 100 Ha de SAU	2
22028	Ansó	15	i) >=100 Ha de SAU	1
22028	Ansó	19	i) >=100 Ha de SAU	1
22028	Ansó	21	i) >=100 Ha de SAU	1
22029	Antillón	05	b) <2 Ha de SAU	1
22029	Antillón	07	c) >=2 a <5 Ha de SAU	3
22029	Antillón	08	c) >=2 a <5 Ha de SAU	1
22029	Antillón	09	d) >=5 a < 10 Ha de SAU	4
22029	Antillón	10	e) >=10 a <20 Ha de SAU	2
22029	Antillón	11	f) >=20 a < 30 Ha de SAU	2
22029	Antillón	12	g) >=30 a < 50 Ha de SAU	11
22029	Antillón	13	h) >=50 a < 100 Ha de SAU	7
22029	Antillón	14	h) >=50 a < 100 Ha de SAU	3
22029	Antillón	15	i) >=100 Ha de SAU	5
22029	Antillón	16	i) >=100 Ha de SAU	1
22032	Aragüés del Puerto	06	c) >=2 a <5 Ha de SAU	2
22032	Aragüés del Puerto	07	c) >=2 a <5 Ha de SAU	1
22032	Aragüés del Puerto	08	c) >=2 a <5 Ha de SAU	1
22032	Aragüés del Puerto	09	d) >=5 a < 10 Ha de SAU	1
22032	Aragüés del Puerto	10	e) >=10 a <20 Ha de SAU	1
22032	Aragüés del Puerto	14	h) >=50 a < 100 Ha de SAU	2
22032	Aragüés del Puerto	20	i) >=100 Ha de SAU	1
22035	Arén	01	a) Sin SAU	2
22035	Arén	05	b) <2 Ha de SAU	2
22035	Arén	07	c) >=2 a <5 Ha de SAU	2
22035	Arén	08	c) >=2 a <5 Ha de SAU	1
22035	Arén	09	d) >=5 a < 10 Ha de SAU	11
22035	Arén	10	e) >=10 a <20 Ha de SAU	10
22035	Arén	11	f) >=20 a < 30 Ha de SAU	6
22035	Arén	12	g) >=30 a < 50 Ha de SAU	24
22035	Arén	13	h) >=50 a < 100 Ha de SAU	8
22035	Arén	14	h) >=50 a < 100 Ha de SAU	4
22035	Arén	15	i) >=100 Ha de SAU	7
22035	Arén	16	i) >=100 Ha de SAU	2
22035	Arén	17	i) >=100 Ha de SAU	2
22035	Arén	18	i) >=100 Ha de SAU	3
22035	Arén	19	i) >=100 Ha de SAU	1
22036	Argavieso	01	a) Sin SAU	2
22036	Argavieso	05	b) <2 Ha de SAU	1
22036	Argavieso	08	c) >=2 a <5 Ha de SAU	2
22036	Argavieso	09	d) >=5 a < 10 Ha de SAU	2
22036	Argavieso	10	e) >=10 a <20 Ha de SAU	9
22036	Argavieso	11	f) >=20 a < 30 Ha de SAU	5
22036	Argavieso	12	g) >=30 a < 50 Ha de SAU	4
22036	Argavieso	15	i) >=100 Ha de SAU	2
22036	Argavieso	16	i) >=100 Ha de SAU	1
22037	Arguis	05	b) <2 Ha de SAU	1
22037	Arguis	09	d) >=5 a < 10 Ha de SAU	1
22037	Arguis	11	f) >=20 a < 30 Ha de SAU	4
22037	Arguis	12	g) >=30 a < 50 Ha de SAU	1
22037	Arguis	14	h) >=50 a < 100 Ha de SAU	1
22037	Arguis	15	i) >=100 Ha de SAU	1
22037	Arguis	16	i) >=100 Ha de SAU	2
22037	Arguis	17	i) >=100 Ha de SAU	2
22037	Arguis	19	i) >=100 Ha de SAU	1
22039	Ayerbe	04	b) <2 Ha de SAU	1
22039	Ayerbe	05	b) <2 Ha de SAU	12
22039	Ayerbe	06	c) >=2 a <5 Ha de SAU	9
22039	Ayerbe	07	c) >=2 a <5 Ha de SAU	11
22039	Ayerbe	08	c) >=2 a <5 Ha de SAU	3
22039	Ayerbe	09	d) >=5 a < 10 Ha de SAU	15
22039	Ayerbe	10	e) >=10 a <20 Ha de SAU	9
22039	Ayerbe	11	f) >=20 a < 30 Ha de SAU	6
22039	Ayerbe	12	g) >=30 a < 50 Ha de SAU	7
22039	Ayerbe	13	h) >=50 a < 100 Ha de SAU	3
22039	Ayerbe	14	h) >=50 a < 100 Ha de SAU	4
22039	Ayerbe	15	i) >=100 Ha de SAU	4
22039	Ayerbe	16	i) >=100 Ha de SAU	2
22039	Ayerbe	17	i) >=100 Ha de SAU	2
22039	Ayerbe	18	i) >=100 Ha de SAU	3
22040	Azanuy-Alins	01	a) Sin SAU	1
22040	Azanuy-Alins	05	b) <2 Ha de SAU	4
22040	Azanuy-Alins	06	c) >=2 a <5 Ha de SAU	5
22040	Azanuy-Alins	07	c) >=2 a <5 Ha de SAU	1
22040	Azanuy-Alins	08	c) >=2 a <5 Ha de SAU	2
22040	Azanuy-Alins	09	d) >=5 a < 10 Ha de SAU	8
22040	Azanuy-Alins	10	e) >=10 a <20 Ha de SAU	11
22040	Azanuy-Alins	11	f) >=20 a < 30 Ha de SAU	7
22040	Azanuy-Alins	12	g) >=30 a < 50 Ha de SAU	5
22040	Azanuy-Alins	13	h) >=50 a < 100 Ha de SAU	4
22040	Azanuy-Alins	14	h) >=50 a < 100 Ha de SAU	6
22040	Azanuy-Alins	15	i) >=100 Ha de SAU	5
22040	Azanuy-Alins	16	i) >=100 Ha de SAU	2
22040	Azanuy-Alins	17	i) >=100 Ha de SAU	1
22041	Azara	05	b) <2 Ha de SAU	3
22041	Azara	06	c) >=2 a <5 Ha de SAU	5
22041	Azara	07	c) >=2 a <5 Ha de SAU	4
22041	Azara	08	c) >=2 a <5 Ha de SAU	1
22041	Azara	09	d) >=5 a < 10 Ha de SAU	3
22041	Azara	10	e) >=10 a <20 Ha de SAU	7
22041	Azara	11	f) >=20 a < 30 Ha de SAU	8
22041	Azara	12	g) >=30 a < 50 Ha de SAU	4
22041	Azara	13	h) >=50 a < 100 Ha de SAU	1
22041	Azara	14	h) >=50 a < 100 Ha de SAU	2
22041	Azara	16	i) >=100 Ha de SAU	1
22042	Azlor	05	b) <2 Ha de SAU	3
22042	Azlor	07	c) >=2 a <5 Ha de SAU	4
22042	Azlor	08	c) >=2 a <5 Ha de SAU	2
22042	Azlor	09	d) >=5 a < 10 Ha de SAU	6
22042	Azlor	10	e) >=10 a <20 Ha de SAU	11
22042	Azlor	11	f) >=20 a < 30 Ha de SAU	3
22042	Azlor	12	g) >=30 a < 50 Ha de SAU	6
22042	Azlor	13	h) >=50 a < 100 Ha de SAU	1
22042	Azlor	14	h) >=50 a < 100 Ha de SAU	3
22042	Azlor	15	i) >=100 Ha de SAU	1
22043	Baells	01	a) Sin SAU	1
22043	Baells	05	b) <2 Ha de SAU	3
22043	Baells	07	c) >=2 a <5 Ha de SAU	1
22043	Baells	08	c) >=2 a <5 Ha de SAU	2
22043	Baells	09	d) >=5 a < 10 Ha de SAU	3
22043	Baells	10	e) >=10 a <20 Ha de SAU	9
22043	Baells	11	f) >=20 a < 30 Ha de SAU	5
22043	Baells	12	g) >=30 a < 50 Ha de SAU	9
22043	Baells	13	h) >=50 a < 100 Ha de SAU	7
22043	Baells	14	h) >=50 a < 100 Ha de SAU	5
22043	Baells	15	i) >=100 Ha de SAU	1
22044	Bailo	01	a) Sin SAU	1
22044	Bailo	05	b) <2 Ha de SAU	3
22044	Bailo	07	c) >=2 a <5 Ha de SAU	1
22044	Bailo	08	c) >=2 a <5 Ha de SAU	1
22044	Bailo	09	d) >=5 a < 10 Ha de SAU	6
22044	Bailo	10	e) >=10 a <20 Ha de SAU	13
22044	Bailo	11	f) >=20 a < 30 Ha de SAU	12
22044	Bailo	12	g) >=30 a < 50 Ha de SAU	10
22044	Bailo	13	h) >=50 a < 100 Ha de SAU	1
22044	Bailo	14	h) >=50 a < 100 Ha de SAU	5
22044	Bailo	15	i) >=100 Ha de SAU	5
22044	Bailo	16	i) >=100 Ha de SAU	4
22044	Bailo	17	i) >=100 Ha de SAU	5
22044	Bailo	18	i) >=100 Ha de SAU	1
22044	Bailo	19	i) >=100 Ha de SAU	2
22044	Bailo	20	i) >=100 Ha de SAU	1
22045	Baldellou	05	b) <2 Ha de SAU	9
22045	Baldellou	06	c) >=2 a <5 Ha de SAU	1
22045	Baldellou	07	c) >=2 a <5 Ha de SAU	3
22045	Baldellou	08	c) >=2 a <5 Ha de SAU	4
22045	Baldellou	09	d) >=5 a < 10 Ha de SAU	18
22045	Baldellou	10	e) >=10 a <20 Ha de SAU	7
22045	Baldellou	12	g) >=30 a < 50 Ha de SAU	5
22045	Baldellou	13	h) >=50 a < 100 Ha de SAU	2
22045	Baldellou	14	h) >=50 a < 100 Ha de SAU	2
