Año	Provincia nombre	Municipio código	Municipio nombre	Saldo Vegetativo	Nacidos vivos residentes	Matrimonios residentes	Defunciones residentes
2019	Zaragoza	50235	San Mateo de Gállego	-15	20	11	35
2019	Zaragoza	50238	Santa Eulalia de Gállego	1	1		
2019	Zaragoza	50239	Santed	-1	1		2
2019	Zaragoza	50240	Sástago	-24	3	2	27
2019	Zaragoza	50241	Saviñán	-9	5	2	14
2019	Zaragoza	50242	Sediles	0	1		1
2019	Zaragoza	50243	Sestrica	-5	1		6
2019	Zaragoza	50244	Sierra de Luna	-2	1		3
2019	Zaragoza	50247	Sobradiel	0	10	3	10
2019	Zaragoza	50248	Sos del Rey Católico	-15	1	2	16
2019	Zaragoza	50249	Tabuenca	-4	1	1	5
2019	Zaragoza	50251	Tarazona	-61	40	25	101
2019	Zaragoza	50252	Tauste	-55	50	16	105
2019	Zaragoza	50253	Terrer	-12	1		13
2019	Zaragoza	50254	Tierga	-2	2	1	4
2019	Zaragoza	50255	Tobed	-7	1		8
2019	Zaragoza	50262	Torres de Berrellén	-9	9	3	18
2019	Zaragoza	50263	Torrijo de la Cañada	-3	1	1	4
2019	Zaragoza	50267	Uncastillo	-11	4	2	15
2019	Zaragoza	50269	Urrea de Jalón	-11	2		13
2019	Zaragoza	50271	Used	1	3		2
2019	Zaragoza	50272	Utebo	26	133	45	107
2019	Zaragoza	50285	Villafranca de Ebro	-8	3	3	11
2019	Zaragoza	50287	Villalengua	-3	1		4
2019	Zaragoza	50288	Villanueva de Gállego	-9	35	26	44
2019	Zaragoza	50292	Villarreal de Huerva	0	4		4
2019	Zaragoza	50296	Zaida (La)	0	2	1	2
2019	Zaragoza	50297	Zaragoza	-1334	5121	2064	6455
2019	Zaragoza	50298	Zuera	11	65	26	54
2019	Zaragoza	50901	Biel	-1	1		2
2019	Zaragoza	50902	Marracos	-3	1		4
2019	Zaragoza	50903	Villamayor de Gállego	3	22	9	19
2018	Huesca	22001	Abiego	-6	1		7
2018	Huesca	22003	Adahuesca	-2	1	3	3
2018	Huesca	22006	Aísa	-2	2		4
2018	Huesca	22007	Albalate de Cinca	-5	14	3	19
2018	Huesca	22009	Albelda	-16	3	2	19
2018	Huesca	22011	Albero Alto	1	1		
2018	Huesca	22013	Alberuela de Tubo	-3	2	1	5
2018	Huesca	22014	Alcalá de Gurrea	0	1	1	1
2018	Huesca	22015	Alcalá del Obispo	1	3	1	2
2018	Huesca	22017	Alcolea de Cinca	-3	12	3	15
2018	Huesca	22018	Alcubierre	-11	3	1	14
2018	Huesca	22019	Alerre	0	1		1
2018	Huesca	22020	Alfántega	-1	2		3
2018	Huesca	22021	Almudévar	-14	27	8	41
2018	Huesca	22022	Almunia de San Juan	-3	6	2	9
2018	Huesca	22023	Almuniente	-3	1	1	4
2018	Huesca	22024	Alquézar	2	5	1	3
2018	Huesca	22025	Altorricón	-8	7	6	15
2018	Huesca	22028	Ansó	-10	1	2	11
2018	Huesca	22037	Arguis	0	1		1
2018	Huesca	22039	Ayerbe	-14	4	1	18
2018	Huesca	22040	Azanuy-Alins	1	1		
2018	Huesca	22042	Azlor	-1	1		2
2018	Huesca	22044	Bailo	-6	2		8
2018	Huesca	22046	Ballobar	-7	5		12
2018	Huesca	22048	Barbastro	-44	142	43	186
2018	Huesca	22052	Belver de Cinca	-18	4	7	22
2018	Huesca	22053	Benabarre	-19	8	3	27
2018	Huesca	22054	Benasque	8	16	7	8
2018	Huesca	22055	Berbegal	0	1	1	1
2018	Huesca	22057	Bielsa	-1	4	2	5
2018	Huesca	22058	Bierge	-2	1		3
2018	Huesca	22059	Biescas	-13	7	9	20
2018	Huesca	22060	Binaced	0	13	2	13
2018	Huesca	22061	Binéfar	-11	90	17	101
2018	Huesca	22063	Biscarrués	0	2		2
2018	Huesca	22066	Boltaña	-7	6	7	13
2018	Huesca	22067	Bonansa	1	1	1	
2018	Huesca	22069	Broto	0	3	4	3
2018	Huesca	22072	Caldearenas	-1	2		3
2018	Huesca	22074	Campo	-3	3		6
2018	Huesca	22075	Camporrells	-1	1		2
2018	Huesca	22078	Canfranc	-3	1	2	4
2018	Huesca	22079	Capdesaso	1	2	1	1
2018	Huesca	22080	Capella	-4	2	2	6
2018	Huesca	22082	Castejón del Puente	-3	1	2	4
2018	Huesca	22083	Castejón de Monegros	-10	1		11
2018	Huesca	22086	Castiello de Jaca	0	1	2	1
2018	Huesca	22089	Castillonroy	-2	1		3
2018	Huesca	22090	Colungo	-5	1		6
2018	Huesca	22099	Esplús	-4	7	1	11
2018	Huesca	22102	Estada	-2	1		3
2018	Huesca	22103	Estadilla	-12	3	3	15
2018	Huesca	22110	Fonz	-13	1		14
2018	Huesca	22111	Foradada del Toscar	-2	1	1	3
2018	Huesca	22112	Fraga	7	135	32	128
2018	Huesca	22113	Fueva (La)	-1	6		7
2018	Huesca	22115	Grado (El)	-7	1	1	8
2018	Huesca	22116	Grañén	-17	14		31
2018	Huesca	22117	Graus	-27	27	6	54
2018	Huesca	22119	Gurrea de Gállego	-13	9	6	22
2018	Huesca	22124	Huerto	-2	1		3
2018	Huesca	22125	Huesca	-66	464	189	530
2018	Huesca	22127	Igriés	4	8	4	4
2018	Huesca	22129	Isábena	-6	1		7
2018	Huesca	22130	Jaca	-58	92	51	150
2018	Huesca	22133	Labuerda	0	2		2
2018	Huesca	22135	Laluenga	-2	2		4
2018	Huesca	22136	Lalueza	-14	2		16
2018	Huesca	22137	Lanaja	-23	6	1	29
2018	Huesca	22144	Laspuña	1	4	1	3
2018	Huesca	22149	Loarre	1	2		1
2018	Huesca	22150	Loporzano	-2	2	1	4
2018	Huesca	22156	Monflorite-Lascasas	3	5	2	2
2018	Huesca	22158	Monzón	7	181	71	174
2018	Huesca	22160	Naval	0	3		3
2018	Huesca	22162	Novales	-1	1		2
2018	Huesca	22164	Olvena	0	1		1
2018	Huesca	22167	Osso de Cinca	-11	4	2	15
2018	Huesca	22168	Palo	1	1		
2018	Huesca	22170	Panticosa	-1	6	2	7
2018	Huesca	22172	Peñalba	-2	2		4
2018	Huesca	22173	Peñas de Riglos (Las)	0	1	2	1
2018	Huesca	22178	Pertusa	1	1		
2018	Huesca	22182	Plan	-4	1	1	5
2018	Huesca	22186	Pozán de Vero	-4	2	1	6
2018	Huesca	22187	Puebla de Castro (La)	-1	4	1	5
2018	Huesca	22189	Puértolas	2	3		1
2018	Huesca	22190	Pueyo de Araguás (El)	1	1		
2018	Huesca	22193	Pueyo de Santa Cruz	-1	3		4
2018	Huesca	22197	Robres	-4	2		6
2018	Huesca	22199	Sabiñánigo	-47	60	31	107
2018	Huesca	22202	Salas Bajas	1	1		
2018	Huesca	22204	Sallent de Gállego	1	10	3	9
2018	Huesca	22205	San Esteban de Litera	-7	2	2	9
2018	Huesca	22206	Sangarrén	2	4	2	2
2018	Huesca	22208	Santa Cilia	2	2		
2018	Huesca	22213	Sariñena	-13	32	13	45
2018	Huesca	22214	Secastilla	0	1		1
2018	Huesca	22217	Sena	-2	3	1	5
2018	Huesca	22221	Sesué	0	1		1
2018	Huesca	22222	Siétamo	1	4	1	3
2018	Huesca	22225	Tamarite de Litera	-32	21	4	53
2018	Huesca	22226	Tardienta	-21	1	1	22
2018	Huesca	22227	Tella-Sin	0	2	1	2
2018	Huesca	22228	Tierz	9	10	3	1
2018	Huesca	22230	Torla-Ordesa	-1	1		2
2018	Huesca	22232	Torralba de Aragón	0	1		1
2018	Huesca	22234	Torrente de Cinca	-11	1	1	12
2018	Huesca	22245	Velilla de Cinca	0	4		4
2018	Huesca	22246	Beranuy	0	1		1
2018	Huesca	22250	Villanúa	1	3	1	2
2018	Huesca	22251	Villanueva de Sigena	-7	2		9
2018	Huesca	22254	Zaidín	-1	11	3	12
2018	Huesca	22901	Valle de Hecho	-18	2	1	20
2018	Huesca	22902	Puente la Reina de Jaca	-2	2	2	4
2018	Huesca	22903	San Miguel del Cinca	-6	7	1	13
2018	Huesca	22904	Sotonera (La)	-12	3	1	15
2018	Huesca	22906	Santa María de Dulcis	-3	1		4
2018	Huesca	22907	Aínsa-Sobrarbe	-1	24	7	25
