Provincia código	Provincia nombre	Continente	Area nacionalidad, código	Área	Nacionalidad, código	Nacionalidad, nombre	Personas
22	Huesca	África	04	Resto de África	227	MALI	256
22	Huesca	África	04	Resto de África	233	NIGER	3
22	Huesca	África	04	Resto de África	234	NIGERIA	32
22	Huesca	África	04	Resto de África	236	SUDAFRICA	2
22	Huesca	África	04	Resto de África	237	RUANDA	1
22	Huesca	África	04	Resto de África	239	SENEGAL	105
22	Huesca	África	04	Resto de África	241	SIERRA LEONA	5
22	Huesca	África	04	Resto de África	242	SOMALIA	2
22	Huesca	África	04	Resto de África	250	REP.DEMOCRATICA DEL CONGO	1
22	Huesca	América	05	América del Norte	301	CANADA	4
22	Huesca	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	48
22	Huesca	América	06	Resto de América	303	MEXICO	18
22	Huesca	América	06	Resto de América	314	COSTA RICA	2
22	Huesca	América	06	Resto de América	315	CUBA	117
22	Huesca	América	06	Resto de América	316	DOMINICA	8
22	Huesca	América	06	Resto de América	317	EL SALVADOR	2
22	Huesca	América	06	Resto de América	318	GRANADA	1
22	Huesca	América	06	Resto de América	319	GUATEMALA	19
22	Huesca	América	06	Resto de América	320	HAITI	1
22	Huesca	América	06	Resto de América	321	HONDURAS	11
22	Huesca	América	06	Resto de América	323	NICARAGUA	2
22	Huesca	América	06	Resto de América	324	PANAMA	8
22	Huesca	América	06	Resto de América	326	REPUBLICA DOMINICANA	157
22	Huesca	América	06	Resto de América	340	ARGENTINA	146
22	Huesca	América	06	Resto de América	341	BOLIVIA	32
22	Huesca	América	06	Resto de América	342	BRASIL	45
22	Huesca	América	06	Resto de América	343	COLOMBIA	470
22	Huesca	América	06	Resto de América	344	CHILE	14
22	Huesca	América	06	Resto de América	345	ECUADOR	482
22	Huesca	América	06	Resto de América	347	PARAGUAY	1
22	Huesca	América	06	Resto de América	348	PERU	71
22	Huesca	América	06	Resto de América	350	URUGUAY	14
22	Huesca	América	06	Resto de América	351	VENEZUELA	27
22	Huesca	Asia	07	Asia	401	AFGANISTAN	1
22	Huesca	Asia	07	Asia	407	CHINA	68
22	Huesca	Asia	07	Asia	409	FILIPINAS	8
22	Huesca	Asia	07	Asia	410	INDIA	2
22	Huesca	Asia	07	Asia	411	INDONESIA	1
22	Huesca	Asia	07	Asia	415	JAPON	2
22	Huesca	Asia	07	Asia	416	JORDANIA	1
22	Huesca	Asia	07	Asia	419	LAOS	4
22	Huesca	Asia	07	Asia	420	LIBANO	1
22	Huesca	Asia	07	Asia	423	MONGOLIA	1
22	Huesca	Asia	07	Asia	426	PAKISTAN	7
22	Huesca	Asia	07	Asia	430	COREA	8
22	Huesca	Asia	07	Asia	433	SIRIA	1
22	Huesca	Asia	07	Asia	435	TAILANDIA	5
22	Huesca	Asia	07	Asia	447	UZBEKISTAN	3
22	Huesca	Oceanía	08	Oceanía	501	AUSTRALIA	4
22	Huesca	Oceanía	08	Oceanía	511	MICRONESIA	2
22	Huesca	Oceanía	08	Oceanía	512	TUVALU	19
44	Teruel	Europa	01	UE-15	103	BELGICA	10
44	Teruel	Europa	01	UE-15	107	DINAMARCA	1
44	Teruel	Europa	01	UE-15	110	FRANCIA	73
44	Teruel	Europa	01	UE-15	111	GRECIA	1
44	Teruel	Europa	01	UE-15	115	ITALIA	24
44	Teruel	Europa	01	UE-15	121	PAISES BAJOS	9
44	Teruel	Europa	01	UE-15	123	PORTUGAL	47
44	Teruel	Europa	01	UE-15	125	REINO UNIDO	32
44	Teruel	Europa	01	UE-15	126	ALEMANIA	26
44	Teruel	Europa	02	Resto de Europa	104	BULGARIA	86
44	Teruel	Europa	02	Resto de Europa	112	HUNGRIA	1
44	Teruel	Europa	02	Resto de Europa	122	POLONIA	131
44	Teruel	Europa	02	Resto de Europa	128	RUMANIA	452
44	Teruel	Europa	02	Resto de Europa	132	SUIZA	5
44	Teruel	Europa	02	Resto de Europa	135	UCRANIA	62
44	Teruel	Europa	02	Resto de Europa	136	LETONIA	6
44	Teruel	Europa	02	Resto de Europa	137	MOLDAVA	5
44	Teruel	Europa	02	Resto de Europa	138	BIELORRUSIA	1
44	Teruel	Europa	02	Resto de Europa	142	LITUANIA	4
44	Teruel	Europa	02	Resto de Europa	143	REPUBLICA CHECA	17
44	Teruel	Europa	02	Resto de Europa	144	REPUBLICA ESLOVACA	1
44	Teruel	Europa	02	Resto de Europa	145	BOSNIA Y HERZEGOVINA	4
44	Teruel	Europa	02	Resto de Europa	154	RUSIA	10
44	Teruel	Europa	02	Resto de Europa	155	YUGOSLAVIA	4
44	Teruel	África	03	Magreb	203	ARGELIA	93
44	Teruel	África	03	Magreb	228	MARRUECOS	679
44	Teruel	África	03	Magreb	230	MAURITANIA	2
44	Teruel	África	04	Resto de África	207	CABO VERDE	43
44	Teruel	África	04	Resto de África	216	GAMBIA	9
44	Teruel	África	04	Resto de África	217	GHANA	3
44	Teruel	África	04	Resto de África	218	GUINEA	2
44	Teruel	África	04	Resto de África	219	GUINEA-BISSAU	2
44	Teruel	África	04	Resto de África	220	GUINEA ECUATORIAL	3
44	Teruel	África	04	Resto de África	227	MALI	1
44	Teruel	África	04	Resto de África	234	NIGERIA	3
44	Teruel	África	04	Resto de África	236	SUDAFRICA	1
44	Teruel	África	04	Resto de África	237	RUANDA	1
44	Teruel	África	04	Resto de África	239	SENEGAL	10
44	Teruel	África	04	Resto de África	241	SIERRA LEONA	1
44	Teruel	América	05	América del Norte	301	CANADA	1
44	Teruel	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	4
44	Teruel	América	06	Resto de América	303	MEXICO	9
44	Teruel	América	06	Resto de América	314	COSTA RICA	1
44	Teruel	América	06	Resto de América	315	CUBA	62
44	Teruel	América	06	Resto de América	316	DOMINICA	7
44	Teruel	América	06	Resto de América	321	HONDURAS	4
44	Teruel	América	06	Resto de América	323	NICARAGUA	2
44	Teruel	América	06	Resto de América	326	REPUBLICA DOMINICANA	64
44	Teruel	América	06	Resto de América	340	ARGENTINA	218
44	Teruel	América	06	Resto de América	341	BOLIVIA	9
44	Teruel	América	06	Resto de América	342	BRASIL	62
44	Teruel	América	06	Resto de América	343	COLOMBIA	336
44	Teruel	América	06	Resto de América	344	CHILE	27
44	Teruel	América	06	Resto de América	345	ECUADOR	178
44	Teruel	América	06	Resto de América	347	PARAGUAY	8
44	Teruel	América	06	Resto de América	348	PERU	12
44	Teruel	América	06	Resto de América	350	URUGUAY	40
44	Teruel	América	06	Resto de América	351	VENEZUELA	4
44	Teruel	Asia	07	Asia	407	CHINA	20
44	Teruel	Asia	07	Asia	409	FILIPINAS	1
44	Teruel	Asia	07	Asia	413	IRAN	3
44	Teruel	Asia	07	Asia	426	PAKISTAN	175
44	Teruel	Asia	07	Asia	434	SRI LANKA	2
44	Teruel	Oceanía	08	Oceanía	501	AUSTRALIA	1
44	Teruel	Oceanía	08	Oceanía	504	NUEVA ZELANDA	1
50	Zaragoza	Europa	01	UE-15	102	AUSTRIA	16
50	Zaragoza	Europa	01	UE-15	103	BELGICA	48
50	Zaragoza	Europa	01	UE-15	107	DINAMARCA	12
50	Zaragoza	Europa	01	UE-15	109	FINLANDIA	7
50	Zaragoza	Europa	01	UE-15	110	FRANCIA	626
50	Zaragoza	Europa	01	UE-15	111	GRECIA	4
50	Zaragoza	Europa	01	UE-15	113	IRLANDA	26
50	Zaragoza	Europa	01	UE-15	115	ITALIA	372
50	Zaragoza	Europa	01	UE-15	121	PAISES BAJOS	91
50	Zaragoza	Europa	01	UE-15	123	PORTUGAL	567
50	Zaragoza	Europa	01	UE-15	125	REINO UNIDO	216
50	Zaragoza	Europa	01	UE-15	126	ALEMANIA	248
50	Zaragoza	Europa	01	UE-15	131	SUECIA	17
50	Zaragoza	Europa	02	Resto de Europa	101	ALBANIA	16
50	Zaragoza	Europa	02	Resto de Europa	104	BULGARIA	507
50	Zaragoza	Europa	02	Resto de Europa	112	HUNGRIA	24
50	Zaragoza	Europa	02	Resto de Europa	118	MALTA	1
50	Zaragoza	Europa	02	Resto de Europa	119	MONACO	1
50	Zaragoza	Europa	02	Resto de Europa	120	NORUEGA	8
50	Zaragoza	Europa	02	Resto de Europa	122	POLONIA	210
50	Zaragoza	Europa	02	Resto de Europa	124	ANDORRA	3
50	Zaragoza	Europa	02	Resto de Europa	128	RUMANIA	3777
50	Zaragoza	Europa	02	Resto de Europa	132	SUIZA	31
50	Zaragoza	Europa	02	Resto de Europa	135	UCRANIA	569
50	Zaragoza	Europa	02	Resto de Europa	136	LETONIA	3
50	Zaragoza	Europa	02	Resto de Europa	137	MOLDAVA	53
50	Zaragoza	Europa	02	Resto de Europa	138	BIELORRUSIA	30
50	Zaragoza	Europa	02	Resto de Europa	139	GEORGIA	15
50	Zaragoza	Europa	02	Resto de Europa	141	ESTONIA	1
50	Zaragoza	Europa	02	Resto de Europa	142	LITUANIA	29
50	Zaragoza	Europa	02	Resto de Europa	143	REPUBLICA CHECA	32
50	Zaragoza	Europa	02	Resto de Europa	144	REPUBLICA ESLOVACA	10
50	Zaragoza	Europa	02	Resto de Europa	145	BOSNIA Y HERZEGOVINA	27
50	Zaragoza	Europa	02	Resto de Europa	146	CROACIA	5
50	Zaragoza	Europa	02	Resto de Europa	147	ESLOVENIA	5
50	Zaragoza	Europa	02	Resto de Europa	148	ARMENIA	24
50	Zaragoza	Europa	02	Resto de Europa	154	RUSIA	190
50	Zaragoza	Europa	02	Resto de Europa	155	YUGOSLAVIA	22
50	Zaragoza	Europa	02	Resto de Europa	436	TURQUIA	9
50	Zaragoza	África	03	Magreb	203	ARGELIA	2088
50	Zaragoza	África	03	Magreb	224	LIBIA	8
50	Zaragoza	África	03	Magreb	228	MARRUECOS	3121
50	Zaragoza	África	03	Magreb	230	MAURITANIA	85
50	Zaragoza	África	03	Magreb	248	TUNEZ	28
50	Zaragoza	África	04	Resto de África	201	BURKINA FASO	1
50	Zaragoza	África	04	Resto de África	202	ANGOLA	52
50	Zaragoza	África	04	Resto de África	204	BENIN	3
50	Zaragoza	África	04	Resto de África	207	CABO VERDE	217
50	Zaragoza	África	04	Resto de África	208	CAMERUN	79
50	Zaragoza	África	04	Resto de África	210	CONGO	31
50	Zaragoza	África	04	Resto de África	211	COSTA DE MARFIL	31
50	Zaragoza	África	04	Resto de África	213	EGIPTO	59
50	Zaragoza	África	04	Resto de África	214	ETIOPIA	1
50	Zaragoza	África	04	Resto de África	215	GABON	2
50	Zaragoza	África	04	Resto de África	216	GAMBIA	550
50	Zaragoza	África	04	Resto de África	217	GHANA	510
50	Zaragoza	África	04	Resto de África	218	GUINEA	245
50	Zaragoza	África	04	Resto de África	219	GUINEA-BISSAU	29
50	Zaragoza	África	04	Resto de África	220	GUINEA ECUATORIAL	453
50	Zaragoza	África	04	Resto de África	221	KENIA	5
50	Zaragoza	África	04	Resto de África	223	LIBERIA	38
50	Zaragoza	África	04	Resto de África	227	MALI	136
50	Zaragoza	África	04	Resto de África	231	MOZAMBIQUE	3
50	Zaragoza	África	04	Resto de África	233	NIGER	4
50	Zaragoza	África	04	Resto de África	234	NIGERIA	209
50	Zaragoza	África	04	Resto de África	235	REPUBLICA CENTROAFRICANA	3
50	Zaragoza	África	04	Resto de África	236	SUDAFRICA	9
50	Zaragoza	África	04	Resto de África	237	RUANDA	2
50	Zaragoza	África	04	Resto de África	238	SANTO TOME Y PRINCIPE	1
50	Zaragoza	África	04	Resto de África	239	SENEGAL	716
50	Zaragoza	África	04	Resto de África	241	SIERRA LEONA	15
50	Zaragoza	África	04	Resto de África	242	SOMALIA	1
50	Zaragoza	África	04	Resto de África	243	SUDAN	5
50	Zaragoza	África	04	Resto de África	246	CHAD	7
50	Zaragoza	África	04	Resto de África	247	TOGO	7
50	Zaragoza	África	04	Resto de África	250	REP.DEMOCRATICA DEL CONGO	31
50	Zaragoza	África	04	Resto de África	251	ZAMBIA	1
50	Zaragoza	América	05	América del Norte	301	CANADA	17
50	Zaragoza	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	310
50	Zaragoza	América	06	Resto de América	303	MEXICO	171
50	Zaragoza	América	06	Resto de América	314	COSTA RICA	7
50	Zaragoza	América	06	Resto de América	315	CUBA	501
50	Zaragoza	América	06	Resto de América	316	DOMINICA	6
50	Zaragoza	América	06	Resto de América	317	EL SALVADOR	33
50	Zaragoza	América	06	Resto de América	319	GUATEMALA	17
50	Zaragoza	América	06	Resto de América	321	HONDURAS	83
50	Zaragoza	América	06	Resto de América	322	JAMAICA	1
50	Zaragoza	América	06	Resto de América	323	NICARAGUA	44
50	Zaragoza	América	06	Resto de América	324	PANAMA	17
50	Zaragoza	América	06	Resto de América	326	REPUBLICA DOMINICANA	529
50	Zaragoza	América	06	Resto de América	340	ARGENTINA	456
50	Zaragoza	América	06	Resto de América	341	BOLIVIA	41
50	Zaragoza	América	06	Resto de América	342	BRASIL	396
50	Zaragoza	América	06	Resto de América	343	COLOMBIA	2790
50	Zaragoza	América	06	Resto de América	344	CHILE	171
50	Zaragoza	América	06	Resto de América	345	ECUADOR	5427
50	Zaragoza	América	06	Resto de América	347	PARAGUAY	15
50	Zaragoza	América	06	Resto de América	348	PERU	345
50	Zaragoza	América	06	Resto de América	350	URUGUAY	108
50	Zaragoza	América	06	Resto de América	351	VENEZUELA	240
50	Zaragoza	Asia	07	Asia	404	BANGLADESH	11
50	Zaragoza	Asia	07	Asia	405	MYANMAR	1
50	Zaragoza	Asia	07	Asia	407	CHINA	519
50	Zaragoza	Asia	07	Asia	409	FILIPINAS	11
50	Zaragoza	Asia	07	Asia	410	INDIA	30
50	Zaragoza	Asia	07	Asia	412	IRAQ	1
50	Zaragoza	Asia	07	Asia	413	IRAN	5
50	Zaragoza	Asia	07	Asia	414	ISRAEL	2
50	Zaragoza	Asia	07	Asia	415	JAPON	13
50	Zaragoza	Asia	07	Asia	416	JORDANIA	31
50	Zaragoza	Asia	07	Asia	419	LAOS	3
50	Zaragoza	Asia	07	Asia	420	LIBANO	19
50	Zaragoza	Asia	07	Asia	421	MALASIA	2
50	Zaragoza	Asia	07	Asia	426	PAKISTAN	93
50	Zaragoza	Asia	07	Asia	430	COREA	20
50	Zaragoza	Asia	07	Asia	432	SINGAPUR	1
50	Zaragoza	Asia	07	Asia	433	SIRIA	30
50	Zaragoza	Asia	07	Asia	434	SRI LANKA	1
50	Zaragoza	Asia	07	Asia	435	TAILANDIA	4
50	Zaragoza	Asia	07	Asia	437	VIETNAM	1
50	Zaragoza	Asia	07	Asia	442	AZERBAIYAN	5
50	Zaragoza	Asia	07	Asia	443	KAZAJSTAN	1
50	Zaragoza	Asia	07	Asia	447	UZBEKISTAN	4
50	Zaragoza	Oceanía	08	Oceanía	501	AUSTRALIA	9
50	Zaragoza	Oceanía	08	Oceanía	504	NUEVA ZELANDA	2
50	Zaragoza	Oceanía	08	Oceanía	511	MICRONESIA	1
50	Zaragoza	 Apátridas y no consta	09	Apátridas y no consta	555	APÁTRIDAS	11
50	Zaragoza	 Apátridas y no consta	09	Apátridas y no consta	600	PALESTINA	2
