Mes nombre	Año	Mes y año	Mes (código)	Comarca código	Comarca nombre	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Julio	2019	Julio 2019	201907	23	Bajo Martín	Mujeres	Temporal	1	46	1339	29,1086956521739130434782608695652173913
Julio	2019	Julio 2019	201907	24	Campo de Daroca	Hombres	Temporal	0	36	0	0
Julio	2019	Julio 2019	201907	24	Campo de Daroca	Hombres	Temporal	1	28	1610	57,5
Julio	2019	Julio 2019	201907	24	Campo de Daroca	Mujeres	Temporal	0	32	0	0
Julio	2019	Julio 2019	201907	24	Campo de Daroca	Mujeres	Temporal	1	41	3657	89,19512195121951219512195121951219512195
Julio	2019	Julio 2019	201907	25	Jiloca	Hombres	Temporal	0	73	0	0
Julio	2019	Julio 2019	201907	25	Jiloca	Hombres	Temporal	1	106	6148	58
Julio	2019	Julio 2019	201907	25	Jiloca	Mujeres	Temporal	0	30	0	0
Julio	2019	Julio 2019	201907	25	Jiloca	Mujeres	Temporal	1	80	4734	59,175
Julio	2019	Julio 2019	201907	26	Cuencas Mineras	Hombres	Temporal	0	137	0	0
Julio	2019	Julio 2019	201907	26	Cuencas Mineras	Hombres	Temporal	1	60	2906	48,43333333333333333333333333333333333333
Julio	2019	Julio 2019	201907	26	Cuencas Mineras	Mujeres	Temporal	0	56	0	0
Julio	2019	Julio 2019	201907	26	Cuencas Mineras	Mujeres	Temporal	1	104	2967	28,52884615384615384615384615384615384615
Julio	2019	Julio 2019	201907	27	Andorra-Sierra de Arcos	Hombres	Temporal	0	60	0	0
Julio	2019	Julio 2019	201907	27	Andorra-Sierra de Arcos	Hombres	Temporal	1	81	2028	25,03703703703703703703703703703703703704
Julio	2019	Julio 2019	201907	27	Andorra-Sierra de Arcos	Mujeres	Temporal	0	53	0	0
Julio	2019	Julio 2019	201907	27	Andorra-Sierra de Arcos	Mujeres	Temporal	1	107	2242	20,95327102803738317757009345794392523364
Julio	2019	Julio 2019	201907	28	Bajo Aragón	Hombres	Temporal	0	215	0	0
Julio	2019	Julio 2019	201907	28	Bajo Aragón	Hombres	Temporal	1	371	11272	30,38274932614555256064690026954177897574
Julio	2019	Julio 2019	201907	28	Bajo Aragón	Mujeres	Temporal	0	173	0	0
Julio	2019	Julio 2019	201907	28	Bajo Aragón	Mujeres	Temporal	1	330	8031	24,33636363636363636363636363636363636364
Julio	2019	Julio 2019	201907	29	Comunidad de Teruel	Hombres	Temporal	0	183	0	0
Julio	2019	Julio 2019	201907	29	Comunidad de Teruel	Hombres	Temporal	1	1252	29532	23,58785942492012779552715654952076677316
Julio	2019	Julio 2019	201907	29	Comunidad de Teruel	Mujeres	Temporal	0	138	0	0
Julio	2019	Julio 2019	201907	29	Comunidad de Teruel	Mujeres	Temporal	1	648	23947	36,95524691358024691358024691358024691358
Julio	2019	Julio 2019	201907	30	Maestrazgo	Hombres	Temporal	0	14	0	0
Julio	2019	Julio 2019	201907	30	Maestrazgo	Hombres	Temporal	1	29	3359	115,827586206896551724137931034482758621
Julio	2019	Julio 2019	201907	30	Maestrazgo	Mujeres	Temporal	0	14	0	0
Julio	2019	Julio 2019	201907	30	Maestrazgo	Mujeres	Temporal	1	44	2293	52,11363636363636363636363636363636363636
Julio	2019	Julio 2019	201907	31	Sierra de Albarracín	Hombres	Temporal	0	20	0	0
Julio	2019	Julio 2019	201907	31	Sierra de Albarracín	Hombres	Temporal	1	68	3083	45,33823529411764705882352941176470588235
Julio	2019	Julio 2019	201907	31	Sierra de Albarracín	Mujeres	Temporal	0	20	0	0
Julio	2019	Julio 2019	201907	31	Sierra de Albarracín	Mujeres	Temporal	1	67	4298	64,14925373134328358208955223880597014925
Julio	2019	Julio 2019	201907	32	Gúdar-Javalambre	Hombres	Temporal	0	49	0	0
Julio	2019	Julio 2019	201907	32	Gúdar-Javalambre	Hombres	Temporal	1	152	7117	46,82236842105263157894736842105263157895
Julio	2019	Julio 2019	201907	32	Gúdar-Javalambre	Mujeres	Temporal	0	41	0	0
Julio	2019	Julio 2019	201907	32	Gúdar-Javalambre	Mujeres	Temporal	1	164	7836	47,7804878048780487804878048780487804878
Julio	2019	Julio 2019	201907	33	Matarraña / Matarranya	Hombres	Temporal	0	58	0	0
Julio	2019	Julio 2019	201907	33	Matarraña / Matarranya	Hombres	Temporal	1	64	2411	37,671875
Julio	2019	Julio 2019	201907	33	Matarraña / Matarranya	Mujeres	Temporal	0	54	0	0
Julio	2019	Julio 2019	201907	33	Matarraña / Matarranya	Mujeres	Temporal	1	82	2422	29,53658536585365853658536585365853658537
Junio	2019	Junio 2019	201906	01	La Jacetania	Hombres	Temporal	0	130	0	0
Junio	2019	Junio 2019	201906	01	La Jacetania	Hombres	Temporal	1	188	9178	48,81914893617021276595744680851063829787
Junio	2019	Junio 2019	201906	01	La Jacetania	Mujeres	Temporal	0	99	0	0
Junio	2019	Junio 2019	201906	01	La Jacetania	Mujeres	Temporal	1	243	11342	46,67489711934156378600823045267489711934
Junio	2019	Junio 2019	201906	02	Alto Gállego	Hombres	Temporal	0	78	0	0
Junio	2019	Junio 2019	201906	02	Alto Gállego	Hombres	Temporal	1	140	8393	59,95
Junio	2019	Junio 2019	201906	02	Alto Gállego	Mujeres	Temporal	0	83	0	0
Junio	2019	Junio 2019	201906	02	Alto Gállego	Mujeres	Temporal	1	127	5723	45,06299212598425196850393700787401574803
Junio	2019	Junio 2019	201906	03	Sobrarbe	Hombres	Temporal	0	80	0	0
Junio	2019	Junio 2019	201906	03	Sobrarbe	Hombres	Temporal	1	178	7061	39,66853932584269662921348314606741573034
Junio	2019	Junio 2019	201906	03	Sobrarbe	Mujeres	Temporal	0	95	0	0
Junio	2019	Junio 2019	201906	03	Sobrarbe	Mujeres	Temporal	1	171	9598	56,12865497076023391812865497076023391813
Junio	2019	Junio 2019	201906	04	La Ribagorza	Hombres	Temporal	0	121	0	0
Junio	2019	Junio 2019	201906	04	La Ribagorza	Hombres	Temporal	1	102	5415	53,08823529411764705882352941176470588235
Junio	2019	Junio 2019	201906	04	La Ribagorza	Mujeres	Temporal	0	103	0	0
Junio	2019	Junio 2019	201906	04	La Ribagorza	Mujeres	Temporal	1	94	6380	67,87234042553191489361702127659574468085
Junio	2019	Junio 2019	201906	05	Cinco Villas	Hombres	Temporal	0	230	0	0
Junio	2019	Junio 2019	201906	05	Cinco Villas	Hombres	Temporal	1	230	18974	82,49565217391304347826086956521739130435
Junio	2019	Junio 2019	201906	05	Cinco Villas	Mujeres	Temporal	0	114	0	0
Junio	2019	Junio 2019	201906	05	Cinco Villas	Mujeres	Temporal	1	177	12328	69,64971751412429378531073446327683615819
Junio	2019	Junio 2019	201906	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	0	387	0	0
Junio	2019	Junio 2019	201906	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	1	928	36443	39,27047413793103448275862068965517241379
Junio	2019	Junio 2019	201906	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	0	310	0	0
Junio	2019	Junio 2019	201906	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	1	916	38199	41,701965065502183406113537117903930131
Junio	2019	Junio 2019	201906	07	Somontano de Barbastro	Hombres	Temporal	0	158	0	0
Junio	2019	Junio 2019	201906	07	Somontano de Barbastro	Hombres	Temporal	1	276	13320	48,26086956521739130434782608695652173913
Junio	2019	Junio 2019	201906	07	Somontano de Barbastro	Mujeres	Temporal	0	87	0	0
Junio	2019	Junio 2019	201906	07	Somontano de Barbastro	Mujeres	Temporal	1	249	13273	53,30522088353413654618473895582329317269
Junio	2019	Junio 2019	201906	08	Cinca Medio	Hombres	Temporal	0	356	0	0
Junio	2019	Junio 2019	201906	08	Cinca Medio	Hombres	Temporal	1	288	12356	42,90277777777777777777777777777777777778
Junio	2019	Junio 2019	201906	08	Cinca Medio	Mujeres	Temporal	0	120	0	0
Junio	2019	Junio 2019	201906	08	Cinca Medio	Mujeres	Temporal	1	309	11123	35,99676375404530744336569579288025889968
Junio	2019	Junio 2019	201906	09	La Litera / La Llitera	Hombres	Temporal	0	180	0	0
Junio	2019	Junio 2019	201906	09	La Litera / La Llitera	Hombres	Temporal	1	267	20039	75,05243445692883895131086142322097378277
Junio	2019	Junio 2019	201906	09	La Litera / La Llitera	Mujeres	Temporal	0	104	0	0
Junio	2019	Junio 2019	201906	09	La Litera / La Llitera	Mujeres	Temporal	1	145	8385	57,82758620689655172413793103448275862069
Junio	2019	Junio 2019	201906	10	Los Monegros	Hombres	Temporal	0	110	0	0
Junio	2019	Junio 2019	201906	10	Los Monegros	Hombres	Temporal	1	89	8578	96,38202247191011235955056179775280898876
Junio	2019	Junio 2019	201906	10	Los Monegros	Mujeres	Temporal	0	42	0	0
Junio	2019	Junio 2019	201906	10	Los Monegros	Mujeres	Temporal	1	90	5240	58,22222222222222222222222222222222222222
Junio	2019	Junio 2019	201906	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	0	2130	0	0
Junio	2019	Junio 2019	201906	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	1	417	14915	35,76738609112709832134292565947242206235
Junio	2019	Junio 2019	201906	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	0	1140	0	0
Junio	2019	Junio 2019	201906	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	1	310	7001	22,58387096774193548387096774193548387097
Junio	2019	Junio 2019	201906	12	Tarazona y el Moncayo	Hombres	Temporal	0	54	0	0
Junio	2019	Junio 2019	201906	12	Tarazona y el Moncayo	Hombres	Temporal	1	346	7007	20,25144508670520231213872832369942196532
Junio	2019	Junio 2019	201906	12	Tarazona y el Moncayo	Mujeres	Temporal	0	48	0	0
Junio	2019	Junio 2019	201906	12	Tarazona y el Moncayo	Mujeres	Temporal	1	257	4133	16,08171206225680933852140077821011673152
Junio	2019	Junio 2019	201906	13	Campo de Borja	Hombres	Temporal	0	84	0	0
Junio	2019	Junio 2019	201906	13	Campo de Borja	Hombres	Temporal	1	114	6351	55,71052631578947368421052631578947368421
Junio	2019	Junio 2019	201906	13	Campo de Borja	Mujeres	Temporal	0	88	0	0
Junio	2019	Junio 2019	201906	13	Campo de Borja	Mujeres	Temporal	1	130	5231	40,23846153846153846153846153846153846154
Junio	2019	Junio 2019	201906	14	Aranda	Hombres	Temporal	0	92	0	0
Junio	2019	Junio 2019	201906	14	Aranda	Hombres	Temporal	1	16	655	40,9375
Junio	2019	Junio 2019	201906	14	Aranda	Mujeres	Temporal	0	54	0	0
Junio	2019	Junio 2019	201906	14	Aranda	Mujeres	Temporal	1	24	2306	96,08333333333333333333333333333333333333
Junio	2019	Junio 2019	201906	15	Ribera Alta del Ebro	Hombres	Temporal	0	270	0	0
Junio	2019	Junio 2019	201906	15	Ribera Alta del Ebro	Hombres	Temporal	1	918	47444	51,68191721132897603485838779956427015251
Junio	2019	Junio 2019	201906	15	Ribera Alta del Ebro	Mujeres	Temporal	0	153	0	0
Junio	2019	Junio 2019	201906	15	Ribera Alta del Ebro	Mujeres	Temporal	1	637	34427	54,04552590266875981161695447409733124019
Junio	2019	Junio 2019	201906	16	Valdejalón	Hombres	Temporal	0	2400	0	0
Junio	2019	Junio 2019	201906	16	Valdejalón	Hombres	Temporal	1	903	26760	29,63455149501661129568106312292358803987
Junio	2019	Junio 2019	201906	16	Valdejalón	Mujeres	Temporal	0	945	0	0
Junio	2019	Junio 2019	201906	16	Valdejalón	Mujeres	Temporal	1	557	18032	32,37342908438061041292639138240574506284
Junio	2019	Junio 2019	201906	17	Central	Hombres	Temporal	0	3955	0	0
Junio	2019	Junio 2019	201906	17	Central	Hombres	Temporal	1	10088	432965	42,9188144329896907216494845360824742268
Junio	2019	Junio 2019	201906	17	Central	Mujeres	Temporal	0	3550	0	0
Junio	2019	Junio 2019	201906	17	Central	Mujeres	Temporal	1	9990	385200	38,55855855855855855855855855855855855856
Junio	2019	Junio 2019	201906	18	Ribera Baja del Ebro	Hombres	Temporal	0	206	0	0
Junio	2019	Junio 2019	201906	18	Ribera Baja del Ebro	Hombres	Temporal	1	164	7185	43,81097560975609756097560975609756097561
Junio	2019	Junio 2019	201906	18	Ribera Baja del Ebro	Mujeres	Temporal	0	69	0	0
Junio	2019	Junio 2019	201906	18	Ribera Baja del Ebro	Mujeres	Temporal	1	208	6698	32,20192307692307692307692307692307692308
Junio	2019	Junio 2019	201906	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Temporal	0	659	0	0
Junio	2019	Junio 2019	201906	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Temporal	1	378	17615	46,6005291005291005291005291005291005291
Junio	2019	Junio 2019	201906	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Temporal	0	245	0	0
Junio	2019	Junio 2019	201906	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Temporal	1	168	9257	55,10119047619047619047619047619047619048
Junio	2019	Junio 2019	201906	20	Comunidad de Calatayud	Hombres	Temporal	0	793	0	0
Junio	2019	Junio 2019	201906	20	Comunidad de Calatayud	Hombres	Temporal	1	349	14182	40,63610315186246418338108882521489971347
Junio	2019	Junio 2019	201906	20	Comunidad de Calatayud	Mujeres	Temporal	0	523	0	0
Junio	2019	Junio 2019	201906	20	Comunidad de Calatayud	Mujeres	Temporal	1	339	11244	33,16814159292035398230088495575221238938
Junio	2019	Junio 2019	201906	21	Campo de Cariñena	Hombres	Temporal	0	186	0	0
Junio	2019	Junio 2019	201906	21	Campo de Cariñena	Hombres	Temporal	1	273	9729	35,63736263736263736263736263736263736264
Junio	2019	Junio 2019	201906	21	Campo de Cariñena	Mujeres	Temporal	0	96	0	0
Junio	2019	Junio 2019	201906	21	Campo de Cariñena	Mujeres	Temporal	1	169	5661	33,49704142011834319526627218934911242604
Junio	2019	Junio 2019	201906	22	Campo de Belchite	Hombres	Temporal	0	14	0	0
Junio	2019	Junio 2019	201906	22	Campo de Belchite	Hombres	Temporal	1	15	962	64,13333333333333333333333333333333333333
Junio	2019	Junio 2019	201906	22	Campo de Belchite	Mujeres	Temporal	0	7	0	0
Junio	2019	Junio 2019	201906	22	Campo de Belchite	Mujeres	Temporal	1	29	1618	55,79310344827586206896551724137931034483
Junio	2019	Junio 2019	201906	23	Bajo Martín	Hombres	Temporal	0	100	0	0
Junio	2019	Junio 2019	201906	23	Bajo Martín	Hombres	Temporal	1	52	5381	103,480769230769230769230769230769230769
Junio	2019	Junio 2019	201906	23	Bajo Martín	Mujeres	Temporal	0	23	0	0
Junio	2019	Junio 2019	201906	23	Bajo Martín	Mujeres	Temporal	1	44	2188	49,72727272727272727272727272727272727273
