Municipio código	Municipio nombre	Personas	Sexo	Jefe explotación
22176	Peraltilla	33	Hombres	1
22176	Peraltilla	4	Mujeres	1
22177	Perarrúa	21	Hombres	1
22177	Perarrúa	4	Mujeres	1
22178	Pertusa	31	Hombres	1
22178	Pertusa	2	Mujeres	1
22181	Piracés	24	Hombres	1
22181	Piracés	1	Mujeres	1
22182	Plan	34	Hombres	1
22182	Plan	6	Mujeres	1
22184	Poleñino	47	Hombres	1
22184	Poleñino	8	Mujeres	1
22186	Pozán de Vero	47	Hombres	1
22186	Pozán de Vero	13	Mujeres	1
22187	Puebla de Castro (La)	34	Hombres	1
22187	Puebla de Castro (La)	6	Mujeres	1
22188	Puente de Montañana	10	Hombres	1
22189	Puértolas	22	Hombres	1
22189	Puértolas	3	Mujeres	1
22190	Pueyo de Araguás (El)	28	Hombres	1
22190	Pueyo de Araguás (El)	8	Mujeres	1
22193	Pueyo de Santa Cruz	26	Hombres	1
22193	Pueyo de Santa Cruz	10	Mujeres	1
22195	Quicena	14	Hombres	1
22195	Quicena	1	Mujeres	1
22197	Robres	117	Hombres	1
22197	Robres	14	Mujeres	1
22199	Sabiñánigo	148	Hombres	1
22199	Sabiñánigo	22	Mujeres	1
22200	Sahún	22	Hombres	1
22200	Sahún	3	Mujeres	1
22201	Salas Altas	79	Hombres	1
22201	Salas Altas	18	Mujeres	1
22202	Salas Bajas	40	Hombres	1
22202	Salas Bajas	5	Mujeres	1
22203	Salillas	20	Hombres	1
22203	Salillas	1	Mujeres	1
22204	Sallent de Gállego	56	Hombres	1
22204	Sallent de Gállego	8	Mujeres	1
22205	San Esteban de Litera	217	Hombres	1
22205	San Esteban de Litera	23	Mujeres	1
22206	Sangarrén	45	Hombres	1
22206	Sangarrén	2	Mujeres	1
22207	San Juan de Plan	22	Hombres	1
22207	San Juan de Plan	2	Mujeres	1
22208	Santa Cilia	28	Hombres	1
22208	Santa Cilia	3	Mujeres	1
22209	Santa Cruz de la Serós	20	Hombres	1
22209	Santa Cruz de la Serós	2	Mujeres	1
22212	Santaliestra y San Quílez	13	Hombres	1
22212	Santaliestra y San Quílez	1	Mujeres	1
22213	Sariñena	321	Hombres	1
22213	Sariñena	62	Mujeres	1
22214	Secastilla	22	Hombres	1
22214	Secastilla	3	Mujeres	1
