Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos	CCAA nombre
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	6	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	38	44695	1176,184210526315789473684210526315789474	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	10	12004	1200,4	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	1	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	1	360	360	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	2	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	15	16136	1075,733333333333333333333333333333333333	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	13	12455	958,076923076923076923076923076923076923	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	1	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	2	720	360	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	73	14226	194,876712328767123287671232876712328767	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	24	5494	228,916666666666666666666666666666666667	Aragón
