Municipio código	Municipio nombre	Año	Votos	Siglas	Candidatura
50272	Utebo	2011	2585	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50251	Tarazona	2008	2581	PP	PARTIDO POPULAR
22125	Huesca	2011	2573	CHA-IU	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL
50272	Utebo	2016	2562	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22130	Jaca	2008	2531	PP	PARTIDO POPULAR
44216	Teruel	2019	2517	VOX	VOX
22112	Fraga	2016	2502	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50067	Calatayud	2016	2496	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22158	Monzón	2015	2460	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50095	Ejea de los Caballeros	2015	2456	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
22061	Binéfar	2011	2446	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50067	Calatayud	2019	2433	PP	PARTIDO POPULAR
50074	Caspe	2008	2423	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22130	Jaca	2019	2408	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50067	Calatayud	2015	2401	ALTOARAGONenCOMUN	Alto Aragón en Común
50297	Zaragoza	2016	2379	EB	ESCAÑOS EN BLANCO
50272	Utebo	2019	2350	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
22112	Fraga	2015	2336	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50297	Zaragoza	2015	2305	EB	ESCAÑOS EN BLANCO
22061	Binéfar	2008	2302	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50251	Tarazona	2016	2282	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22158	Monzón	2015	2260	ALTOARAGONenCOMUN	Alto Aragón en Común
44013	Alcañiz	2011	2239	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50272	Utebo	2015	2229	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
22048	Barbastro	2019	2205	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
22158	Monzón	2016	2202	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22130	Jaca	2011	2193	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22048	Barbastro	2015	2182	ALTOARAGONenCOMUN	Alto Aragón en Común
50089	Cuarte de Huerva	2016	2163	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22130	Jaca	2016	2128	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50251	Tarazona	2015	2128	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50067	Calatayud	2019	2094	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50272	Utebo	2016	2082	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50251	Tarazona	2019	2063	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50272	Utebo	2015	2057	TA	TIERRA ARAGONESA
22048	Barbastro	2016	2054	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
44216	Teruel	2019	2048	PODEMOS-IU-EQUO	UNIDAS PODEMOS
50297	Zaragoza	2019	2046	EB	ESCAÑOS EN BLANCO
50252	Tauste	2011	2045	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22199	Sabiñánigo	2011	2039	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50297	Zaragoza	2011	2032	EB	ESCAÑOS EN BLANCO
50297	Zaragoza	2011	2030	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
50298	Zuera	2011	2027	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50272	Utebo	2015	2017	ALTOARAGONenCOMUN	Alto Aragón en Común
22061	Binéfar	2008	1979	PP	PARTIDO POPULAR
50089	Cuarte de Huerva	2019	1953	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50008	Alagón	2008	1951	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22130	Jaca	2015	1945	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
22048	Barbastro	2019	1942	PP	PARTIDO POPULAR
50272	Utebo	2016	1938	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
50272	Utebo	2015	1934	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
