Año	Residencia CCAA nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
2009	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	38102
2009	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2109
2009	Aragón	Extranjeros	03	Magreb	África	Mujeres	7819
2009	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3521
2009	Aragón	Extranjeros	05	América del Norte	América	Mujeres	189
2009	Aragón	Extranjeros	06	Resto de América	América	Mujeres	21998
2009	Aragón	Extranjeros	07	Asia	Asia	Mujeres	2382
2009	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	18
2009	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2010	Aragón	Españoles	01	UE-27	Europa	Mujeres	595908
2010	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	39330
2010	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2098
2010	Aragón	Extranjeros	03	Magreb	África	Mujeres	8589
2010	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3687
2010	Aragón	Extranjeros	05	América del Norte	América	Mujeres	182
2010	Aragón	Extranjeros	06	Resto de América	América	Mujeres	21545
2010	Aragón	Extranjeros	07	Asia	Asia	Mujeres	2548
2010	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	22
2010	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	9
2011	Aragón	Españoles	01	UE-27	Europa	Mujeres	596762
2011	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	40487
2011	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	2171
2011	Aragón	Extranjeros	03	Magreb	África	Mujeres	8828
2011	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3711
2011	Aragón	Extranjeros	05	América del Norte	América	Mujeres	193
2011	Aragón	Extranjeros	06	Resto de América	América	Mujeres	20177
2011	Aragón	Extranjeros	07	Asia	Asia	Mujeres	2648
2011	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	21
